	GTEX.SE5C.1026.SM.4BRUG	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.G4.6302.01A.11R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.ZAK1.1826.SM.5HL93	GTEX.145LS.2026.SM.5Q5D7	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.Y111.1726.SM.4SOIQ	GTEX.XUZC.0326.SM.4BOO8	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QLQW.0626.SM.447A6	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.RWSA.1326.SM.47JX9	TCGA.AG.3732.11A.01R.1660.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.FP.7735.11A.01R.2055.13
SNX13	105.15	656.11	674.59	599.49	1127.35	265.87	299.25	441.64	309.83	358.54	283.05	325.29	249.73	287.01	318.57	206.94	299.25	392.44	176.29	231.32	202.66	228.13	131.51	256.78	226.54	275.28	239.52	305.55	348.71	336.79	255.0	265.87	202.66	273.37	384.34	473.41	406.31	376.41	490.14	320.8	406.31	211.31
SP3	295.11	1617.0	2047.0	1721.16	2816.11	575.03	647.07	1044.52	902.89	651.58	543.96	555.41	325.29	483.38	579.04	441.64	679.29	954.43	397.93	521.76	379.04	466.88	351.14	607.87	358.54	547.75	435.55	775.05	684.02	454.09	429.54	514.56	490.14	551.56	1008.9	819.3	713.11	896.64	1088.92	693.58	934.76	466.88
SPTLC2	170.25	808.0	974.5	629.35	409.15	309.83	178.77	346.29	486.75	281.09	100.83	211.31	120.94	146.03	198.47	178.77	206.94	325.29	161.02	172.65	157.68	151.22	224.97	166.73	201.25	157.68	178.77	246.28	208.38	101.54	173.85	162.14	181.28	224.97	336.79	204.07	305.55	376.41	343.89	186.4	395.18	143.01
STRN	100.13	417.77	470.14	423.61	591.22	143.01	137.14	301.33	246.28	182.55	137.14	138.1	94.01	135.24	149.12	115.16	148.09	195.72	89.51	118.43	80.01	126.12	84.63	144.01	97.36	139.07	111.21	142.01	159.9	155.5	126.12	118.43	119.26	155.5	226.54	208.38	189.02	228.13	258.57	218.79	255.0	92.7
TAF1B	61.68	239.52	279.14	397.93	361.04	122.64	84.04	211.31	199.85	173.85	100.83	109.66	42.11	68.55	112.77	94.67	132.44	182.55	46.5	90.77	48.18	67.59	55.49	89.51	96.68	77.79	90.77	101.54	100.83	59.13	60.39	87.03	81.14	66.65	161.02	178.77	111.21	236.21	262.2	142.01	258.57	90.77
TMX3	154.42	808.0	974.5	884.29	1628.26	403.5	435.55	466.88	403.5	575.03	387.02	417.77	384.34	486.75	620.67	297.17	633.73	723.08	279.14	406.31	251.48	239.52	242.88	620.67	312.0	379.04	248.0	463.65	532.74	426.57	371.22	480.04	381.68	493.56	620.67	723.08	521.76	551.56	647.07	624.99	629.35	307.69
TRIM38	145.02	281.09	339.14	412.0	551.56	226.54	209.84	412.0	343.89	363.56	209.84	262.2	116.78	162.14	228.13	166.73	275.28	293.07	121.79	246.28	127.89	167.9	143.01	206.94	191.67	156.59	135.24	217.27	305.55	158.79	172.65	175.07	115.16	177.53	297.17	241.19	279.14	373.81	406.31	351.14	334.46	185.11
UBE2W	133.36	412.0	525.39	571.05	808.0	246.28	163.28	305.55	305.55	343.89	287.01	295.11	138.1	224.97	271.48	169.07	211.31	329.84	124.37	170.25	131.51	171.45	140.04	182.55	159.9	159.9	145.02	204.07	214.27	228.13	161.02	189.02	204.07	194.36	265.87	267.73	295.11	265.87	283.05	267.73	309.83	199.85
UBXN4	607.87	1909.85	2485.67	2573.36	3018.3	1030.12	796.86	1378.57	1127.35	1044.52	848.22	1111.82	808.0	775.05	1268.46	679.29	1143.1	1340.84	759.08	915.51	688.78	813.63	591.22	988.12	825.0	947.83	642.59	1015.93	1208.34	1096.5	830.75	813.63	915.51	1081.39	1322.37	1304.15	1199.98	1572.76	1277.29	1322.37	1259.69	703.28
UFM1	665.29	1617.0	2047.0	2119.22	2090.03	941.27	764.36	693.58	775.05	860.08	819.3	890.44	854.13	825.0	1295.13	743.43	1233.75	1551.09	567.1	988.12	703.28	547.75	551.56	988.12	559.28	866.07	607.87	1044.52	1233.75	884.29	791.35	928.3	796.86	1081.39	1167.14	1073.91	808.0	974.5	947.83	1073.91	1001.93	669.92
UHMK1	109.66	743.43	819.3	902.89	769.69	303.44	187.71	583.07	343.89	291.04	209.84	305.55	221.86	190.34	258.57	173.85	237.86	289.02	148.09	199.85	186.4	206.94	96.68	209.84	156.59	201.25	151.22	237.86	297.17	228.13	208.38	181.28	172.65	236.21	381.68	316.37	320.8	423.61	483.38	363.56	473.41	162.14
WDFY1	208.38	703.28	642.59	629.35	1135.2	387.02	291.04	514.56	403.5	373.81	249.73	297.17	220.32	299.25	409.15	353.59	368.65	616.37	253.23	186.4	291.04	221.86	172.65	273.37	226.54	314.17	241.19	363.56	412.0	267.73	293.07	265.87	251.48	363.56	466.88	426.57	384.34	616.37	698.41	480.04	551.56	226.54
ZNF121	154.42	373.81	769.69	563.18	607.87	389.72	161.02	521.76	457.25	389.72	316.37	379.04	363.56	327.56	361.04	256.78	420.68	348.71	229.72	417.77	271.48	229.72	291.04	417.77	239.52	264.03	228.13	414.87	384.34	283.05	305.55	309.83	251.48	325.29	223.41	426.57	466.88	497.0	567.1	480.04	665.29	244.57
ZNF644	341.51	665.29	1397.83	1331.57	961.07	403.5	381.68	555.41	444.72	403.5	423.61	457.25	239.52	490.14	473.41	336.79	525.39	684.02	309.83	392.44	334.46	368.65	314.17	514.56	423.61	412.0	336.79	493.56	525.39	483.38	389.72	423.61	420.68	466.88	551.56	536.45	571.05	532.74	503.95	551.56	547.75	423.61
