	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.11P7K.0626.SM.5985Z
GLI3	99.43	15.8	68.55	94.01	130.6	11.55	50.63	68.55	44.89	69.52	94.67	43.94	83.45	63.45	37.85	85.82	68.55	11.91	47.84	28.04	55.49	24.81	62.56	45.85	46.84	67.59	19.68	6.78	28.65	69.52	31.9	38.12	100.83	38.4	22.43	47.17	29.48	53.95	59.55	73.54	68.55	33.54	62.12	50.63	14.03	97.36	121.79	24.81	36.01	58.3	121.79	116.78	93.35	44.25	72.01	39.22	59.55	26.1	133.36	27.05	41.22	122.64	44.57	43.02	40.36	43.32	36.53	77.25	232.94	205.5	151.22	145.02	122.64	94.01	107.38	90.14	143.01	87.03	289.02	109.66	96.01	209.84	98.73	181.28	194.36	80.57	73.03	105.89	151.22	149.12	189.02
GNB5	403.5	138.1	438.59	379.04	366.09	194.36	301.33	358.54	366.09	327.56	406.31	201.25	420.68	132.44	119.26	463.65	414.87	153.34	217.27	295.11	153.34	157.68	297.17	277.2	140.04	320.8	199.85	81.71	255.0	384.34	199.85	341.51	470.14	262.2	197.09	447.82	457.25	320.8	387.02	397.93	371.22	173.85	214.27	153.34	343.89	366.09	417.77	215.77	142.01	212.78	281.09	189.02	275.28	651.58	392.44	239.52	351.14	175.07	426.57	348.71	341.51	500.46	249.73	258.57	166.73	224.97	277.2	514.56	718.08	679.29	466.88	532.74	397.93	660.68	432.53	612.11	603.67	395.18	813.63	432.53	417.77	819.3	540.19	536.45	713.11	450.94	260.38	503.95	638.15	571.05	579.04
GPLD1	28.86	5.45	19.25	20.71	68.07	6.84	22.1	13.83	4.78	24.63	58.3	15.11	31.0	9.78	6.73	24.99	19.82	3.56	28.04	16.63	6.36	9.85	13.12	20.26	13.22	24.11	5.96	2.58	9.48	21.63	12.55	8.92	23.42	5.23	3.56	29.48	9.48	32.36	11.82	16.75	88.88	11.38	10.31	13.72	2.18	48.18	82.87	15.22	8.32	26.1	80.57	5.77	50.63	13.62	20.86	2.48	8.92	8.58	23.76	27.84	7.0	30.78	8.25	16.39	11.13	7.57	19.39	30.56	49.21	63.45	52.08	45.53	41.81	74.58	33.78	44.25	47.5	22.1	86.43	58.71	72.01	71.5	51.71	66.18	65.72	32.82	20.11	80.01	34.02	49.91	69.03
GPR135	35.76	17.13	38.67	34.02	38.12	12.64	30.12	26.28	38.12	34.26	47.17	21.32	27.25	14.78	10.0	43.94	66.18	7.94	15.91	35.5	19.82	21.01	25.17	22.59	19.82	29.48	19.82	8.45	23.42	31.22	18.29	30.12	61.25	14.56	8.71	43.32	44.57	30.78	23.76	26.67	34.26	15.22	20.56	21.16	11.55	50.27	36.01	25.54	15.11	27.05	34.02	16.88	29.48	22.26	32.59	14.14	28.24	22.43	44.57	26.67	20.11	51.35	19.97	18.97	16.27	25.91	26.67	35.25	54.33	71.0	45.53	32.59	37.59	41.22	29.91	48.18	43.63	53.57	90.77	45.21	30.34	86.43	38.67	50.98	53.57	39.5	30.56	49.91	57.89	43.94	41.22
GPR75	31.45	2.03	13.42	26.47	46.5	9.48	10.39	14.24	5.41	19.68	26.47	12.09	28.24	7.22	8.65	22.1	15.56	3.5	7.69	14.56	4.43	7.51	15.45	12.93	11.38	8.92	11.91	1.04	3.41	14.67	1.62	3.11	20.11	14.14	6.01	9.85	6.52	12.74	9.41	15.68	18.97	8.71	17.0	10.08	3.63	37.05	27.64	17.9	2.81	8.85	31.0	3.63	19.25	6.89	16.03	7.57	9.56	8.25	24.99	11.91	3.59	25.35	14.78	10.47	7.69	9.2	14.89	30.34	62.56	47.84	44.57	46.5	37.59	46.5	32.59	25.54	41.22	11.47	43.63	18.7	35.76	34.75	35.0	42.41	62.12	23.42	9.56	40.36	43.32	51.71	66.18
GRIK2	33.06	8.78	11.47	24.28	36.27	31.0	15.68	15.8	12.18	8.32	23.08	8.99	19.39	4.7	13.72	23.08	19.97	2.34	8.85	6.06	9.2	14.67	11.21	12.83	12.74	10.31	4.28	1.58	9.06	16.39	3.96	4.35	21.63	1.66	3.41	21.16	4.82	8.71	10.16	10.08	20.56	3.26	9.56	8.0	1.51	15.91	31.9	9.06	4.74	8.38	24.99	11.64	18.97	8.32	12.83	3.56	13.62	6.31	13.32	20.41	11.91	25.91	5.82	6.21	11.13	6.78	9.48	21.47	61.25	34.26	29.06	29.7	21.32	42.71	22.1	23.42	28.45	26.28	52.45	12.18	13.62	44.25	29.06	38.12	59.97	19.11	20.71	23.59	48.52	16.15	13.93
HELQ	175.07	110.43	193.01	195.72	239.52	134.3	177.53	214.27	140.04	159.9	206.94	138.1	255.0	98.04	172.65	224.97	224.97	100.13	131.51	169.07	162.14	115.16	182.55	163.28	145.02	155.5	136.19	164.42	111.99	152.28	130.6	150.17	206.94	135.24	153.34	138.1	136.19	173.85	172.65	178.77	229.72	130.6	161.02	147.06	146.03	159.9	231.32	232.94	105.15	191.67	226.54	146.03	166.73	186.4	198.47	124.37	209.84	126.12	206.94	202.66	140.04	202.66	100.13	171.45	94.01	178.77	150.17	237.86	256.78	271.48	239.52	269.6	260.38	293.07	256.78	295.11	303.44	173.85	241.19	159.9	205.5	239.52	281.09	275.28	339.14	293.07	176.29	277.2	277.2	376.41	293.07
HHIP	87.03	8.78	92.05	84.04	166.73	6.01	74.58	57.49	78.89	65.72	113.56	8.19	92.05	54.72	109.66	143.01	85.82	11.73	30.78	28.24	37.59	55.89	44.25	22.1	9.34	234.57	31.67	3.59	64.8	87.03	45.85	9.78	110.43	9.2	2.23	13.83	95.34	69.03	67.12	69.03	114.36	7.17	37.59	12.09	5.11	134.3	202.66	3.56	19.25	17.25	170.25	40.07	78.34	35.25	63.89	3.89	43.32	8.58	108.14	18.43	120.1	68.07	19.11	55.1	11.73	32.82	41.52	39.79	99.43	117.6	215.77	43.63	125.24	147.06	68.55	91.41	58.3	89.51	426.57	132.44	63.0	395.18	98.73	373.81	339.14	31.0	29.06	265.87	277.2	135.24	239.52
HK1	1883.54	1059.11	1923.14	2090.03	2627.46	1159.07	1806.78	2119.22	1529.73	1781.89	2090.03	1769.57	1896.65	1304.15	1923.14	2573.36	2061.24	1037.29	1651.0	1857.6	1685.71	1487.87	1159.07	1583.71	1359.57	2061.24	1467.37	928.3	1674.06	1870.53	941.27	1295.13	1844.76	1388.16	669.92	1674.06	1199.98	1674.06	1628.26	2032.85	2255.7	1378.57	1561.89	1583.71	988.12	2777.33	1896.65	1088.92	1250.98	1427.22	2018.8	1225.22	2004.85	2018.8	1870.53	1551.09	1794.29	1268.46	2319.15	1304.15	1733.13	2319.15	743.43	1498.22	1794.29	1498.22	1417.35	1781.89	2119.22	2777.33	2591.27	1909.85	2032.85	1794.29	2502.97	1745.2	2032.85	2537.92	2417.67	2915.45	2573.36	2875.3	2417.67	2875.3	2075.59	1936.53	1651.0	2555.58	2627.46	2555.58	3168.41
HTRA1	1508.65	633.73	1844.76	2133.97	1498.22	343.89	1359.57	1066.48	1340.84	1143.1	1175.27	1208.34	1295.13	698.41	371.22	2119.22	1331.57	579.04	890.44	1073.91	638.15	780.44	947.83	693.58	563.18	981.29	703.28	397.93	909.17	1030.12	1447.15	896.64	2075.59	217.27	796.86	2682.69	1819.35	1073.91	1051.79	928.3	1359.57	808.0	651.58	759.08	571.05	1477.58	2255.7	480.04	638.15	651.58	1233.75	954.43	1008.9	1359.57	1498.22	660.68	890.44	647.07	2061.24	1467.37	1551.09	1794.29	713.11	1397.83	320.8	860.08	813.63	1709.26	1991.0	2367.9	1745.2	1639.59	1844.76	2119.22	1709.26	2271.4	2303.12	2148.82	2720.15	2555.58	1639.59	2163.77	1369.04	1781.89	2271.4	2417.67	1685.71	1870.53	2816.11	1417.35	1781.89
ICA1L	132.44	45.85	66.18	84.04	92.7	45.21	61.68	60.39	84.63	102.25	108.14	53.57	118.43	27.84	47.5	94.67	94.01	43.63	38.67	55.1	61.68	66.18	63.45	65.26	49.21	92.7	85.22	39.79	34.75	91.41	65.26	37.32	143.01	47.84	57.89	85.82	109.66	96.68	96.68	101.54	89.51	53.19	54.33	63.89	37.59	134.3	140.04	111.21	49.91	74.06	107.38	50.98	91.41	66.18	88.88	65.26	356.05	70.51	98.73	69.03	32.59	92.05	100.83	55.49	28.24	65.26	70.51	131.51	191.67	289.02	151.22	154.42	97.36	260.38	144.01	211.31	183.82	90.77	432.53	102.25	85.82	320.8	121.79	212.78	173.85	103.69	49.91	185.11	191.67	100.13	147.06
INPP5F	198.47	60.39	151.22	138.1	194.36	65.26	170.25	197.09	107.38	172.65	221.86	99.43	186.4	96.01	106.63	187.71	197.09	63.0	102.97	112.77	121.79	146.03	111.99	131.51	87.03	149.12	88.88	117.6	94.67	190.34	110.43	66.18	173.85	80.01	75.11	127.0	127.89	162.14	119.26	140.04	185.11	103.69	102.97	194.36	109.66	293.07	211.31	89.51	77.79	123.5	177.53	80.57	198.47	115.16	145.02	112.77	103.69	66.18	208.38	97.36	117.6	194.36	127.0	102.25	109.66	98.73	116.78	264.03	297.17	301.33	198.47	293.07	199.85	249.73	253.23	269.6	295.11	191.67	454.09	183.82	215.77	283.05	239.52	273.37	327.56	194.36	162.14	289.02	218.79	273.37	226.54
IQGAP1	2032.85	1073.91	1757.34	1697.45	1794.29	1208.34	1313.23	1909.85	1477.58	1127.35	1923.14	1498.22	1950.0	1044.52	1870.53	1977.24	1721.16	1096.5	1216.75	1583.71	1662.49	1487.87	1208.34	1721.16	1322.37	2163.77	1437.15	579.04	842.36	1529.73	1199.98	890.44	1674.06	860.08	1457.23	1721.16	1088.92	1685.71	1794.29	1447.15	1674.06	1199.98	1127.35	1073.91	1111.82	2555.58	1832.01	1572.76	1159.07	1427.22	2303.12	1242.34	1883.54	1757.34	1457.23	1950.0	1896.65	1378.57	2209.26	1540.37	1551.09	1857.6	1088.92	1540.37	1159.07	954.43	884.29	2133.97	3146.52	2417.67	2485.67	2591.27	1651.0	2047.0	2119.22	2133.97	2240.11	1572.76	2609.3	2047.0	2240.11	2682.69	2434.5	2417.67	3081.75	2193.99	1991.0	2451.44	2193.99	2664.15	2796.65
ITGA2	176.29	32.36	56.28	165.57	147.06	29.06	57.49	88.26	49.91	52.08	111.21	94.67	119.26	62.56	64.34	139.07	88.88	21.01	60.82	47.5	73.54	54.33	18.56	100.83	70.51	69.52	39.22	7.51	22.92	117.6	15.34	14.35	157.68	31.67	38.4	63.0	52.45	68.07	73.03	108.14	104.42	41.52	43.02	57.08	7.51	143.01	206.94	23.08	25.91	37.59	221.86	26.1	154.42	26.1	69.03	21.01	86.43	26.67	241.19	58.71	27.44	137.14	48.18	71.0	50.27	34.75	34.51	128.79	379.04	218.79	305.55	289.02	176.29	186.4	204.07	172.65	253.23	57.89	277.2	92.7	151.22	186.4	169.07	348.71	295.11	108.9	129.69	181.28	273.37	287.01	185.11
ITGB6	73.54	18.97	47.17	113.56	108.14	2.53	33.54	23.25	34.75	27.44	59.55	20.86	125.24	31.22	2.43	75.64	62.12	3.76	14.24	35.25	4.82	11.55	32.13	20.11	13.72	8.38	24.28	0.26	29.7	88.26	29.7	27.84	68.07	6.67	17.64	62.12	31.22	29.27	42.41	26.86	44.89	31.9	37.05	16.39	14.89	44.89	121.79	22.59	29.27	10.0	104.42	16.03	27.05	11.64	63.0	31.0	72.52	19.68	205.5	41.52	8.06	134.3	37.05	34.51	10.79	31.9	13.62	277.2	529.06	224.97	152.28	305.55	111.99	193.01	136.19	132.44	236.21	45.85	185.11	80.01	71.5	159.9	157.68	182.55	514.56	91.41	149.12	119.26	141.02	156.59	151.22
KANSL3	551.56	293.07	392.44	500.46	514.56	371.22	325.29	435.55	400.71	529.06	551.56	373.81	503.95	329.84	397.93	457.25	417.77	265.87	414.87	366.09	381.68	358.54	409.15	420.68	325.29	438.59	403.5	327.56	346.29	507.46	332.14	334.46	583.07	483.38	336.79	476.71	409.15	466.88	457.25	435.55	454.09	403.5	457.25	397.93	309.83	417.77	587.13	466.88	334.46	397.93	460.44	389.72	463.65	406.31	463.65	420.68	503.95	318.57	500.46	346.29	301.33	490.14	540.19	409.15	371.22	348.71	412.0	473.41	693.58	718.08	633.73	607.87	547.75	665.29	563.18	521.76	684.02	406.31	934.76	521.76	463.65	878.17	551.56	647.07	902.89	507.46	366.09	638.15	738.29	473.41	579.04
KAT7	567.1	303.44	476.71	607.87	551.56	379.04	454.09	490.14	441.64	438.59	555.41	511.0	507.46	334.46	454.09	665.29	454.09	273.37	493.56	379.04	366.09	341.51	463.65	426.57	450.94	559.28	417.77	343.89	301.33	480.04	301.33	376.41	470.14	441.64	395.18	447.82	389.72	529.06	358.54	490.14	591.22	400.71	473.41	426.57	348.71	559.28	612.11	493.56	339.14	420.68	559.28	429.54	567.1	507.46	493.56	368.65	476.71	395.18	587.13	507.46	400.71	470.14	368.65	336.79	466.88	389.72	417.77	417.77	647.07	728.11	647.07	591.22	555.41	536.45	583.07	460.44	579.04	563.18	684.02	567.1	612.11	780.44	575.03	660.68	759.08	514.56	536.45	612.11	679.29	713.11	825.0
KCNMA1	1015.93	123.5	309.83	769.69	583.07	232.94	389.72	466.88	351.14	603.67	563.18	819.3	312.0	164.42	163.28	902.89	358.54	173.85	197.09	249.73	239.52	420.68	136.19	180.02	283.05	599.49	1572.76	21.78	256.78	426.57	473.41	117.6	718.08	72.52	271.48	417.77	237.86	397.93	403.5	318.57	660.68	813.63	229.72	1407.55	82.87	684.02	1359.57	124.37	339.14	199.85	540.19	96.01	738.29	353.59	514.56	134.3	503.95	197.09	1066.48	193.01	414.87	612.11	161.02	248.0	96.01	117.6	146.03	587.13	1191.69	1397.83	878.17	988.12	836.53	1250.98	684.02	995.0	1111.82	647.07	2591.27	1015.93	764.36	2271.4	764.36	1397.83	1340.84	1044.52	802.41	1331.57	1295.13	802.41	1794.29
KDELC2	547.75	115.97	457.25	447.82	476.71	157.68	392.44	490.14	305.55	395.18	490.14	297.17	444.72	126.12	297.17	463.65	497.0	122.64	269.6	314.17	239.52	307.69	236.21	346.29	218.79	441.64	262.2	59.13	209.84	493.56	241.19	59.13	551.56	237.86	299.25	297.17	220.32	423.61	373.81	343.89	500.46	191.67	246.28	246.28	102.25	665.29	612.11	279.14	157.68	363.56	620.67	262.2	616.37	305.55	400.71	336.79	307.69	128.79	457.25	262.2	249.73	529.06	221.86	228.13	198.47	267.73	246.28	629.35	723.08	928.3	669.92	665.29	518.15	775.05	543.96	738.29	660.68	432.53	995.0	438.59	591.22	830.75	603.67	669.92	1015.93	579.04	371.22	620.67	866.07	830.75	624.99
KIAA0430	536.45	363.56	507.46	616.37	559.28	325.29	438.59	450.94	444.72	429.54	656.11	387.02	665.29	450.94	423.61	624.99	490.14	329.84	457.25	329.84	466.88	435.55	441.64	470.14	438.59	507.46	358.54	249.73	373.81	483.38	346.29	348.71	543.96	336.79	323.03	432.53	341.51	521.76	426.57	450.94	603.67	381.68	540.19	384.34	363.56	642.59	599.49	466.88	339.14	470.14	733.19	438.59	559.28	426.57	521.76	403.5	551.56	253.23	764.36	356.05	384.34	575.03	514.56	441.64	395.18	432.53	497.0	514.56	836.53	785.88	698.41	813.63	620.67	536.45	684.02	438.59	718.08	591.22	780.44	599.49	591.22	780.44	571.05	974.5	830.75	518.15	525.39	693.58	647.07	808.0	836.53
KIRREL	228.13	21.16	130.6	173.85	206.94	11.55	76.71	111.21	108.9	170.25	172.65	98.04	127.89	57.49	46.5	163.28	123.5	39.79	60.39	82.87	53.57	56.28	76.71	61.25	79.45	128.79	50.27	11.38	49.21	91.41	79.45	40.07	253.23	12.74	75.64	132.44	126.12	130.6	96.01	149.12	105.15	71.0	112.77	70.51	21.47	178.77	309.83	53.95	34.75	69.03	180.02	22.75	172.65	100.13	119.26	49.91	111.21	46.18	260.38	57.49	76.71	226.54	63.0	95.34	30.12	49.21	44.89	176.29	423.61	543.96	251.48	239.52	198.47	217.27	170.25	177.53	309.83	153.34	540.19	218.79	197.09	397.93	211.31	307.69	441.64	201.25	69.52	237.86	301.33	312.0	246.28
KLF12	66.18	4.82	21.47	38.67	41.52	10.08	23.42	32.82	26.67	30.78	48.87	28.45	29.06	41.81	83.45	41.52	28.24	11.04	21.47	9.93	16.51	20.56	9.63	16.75	30.12	49.56	46.5	3.99	12.27	19.53	29.06	7.06	48.52	11.13	38.4	35.0	17.13	31.22	37.32	38.12	35.5	15.68	20.41	34.75	2.63	58.3	82.29	11.64	20.71	22.43	50.63	5.19	64.34	27.05	36.53	11.64	34.02	21.78	53.95	22.26	22.59	44.25	15.68	16.39	10.55	12.83	18.97	34.26	71.5	100.83	60.82	46.84	50.27	69.03	41.22	48.18	63.45	25.35	161.02	43.02	39.5	128.79	44.57	79.45	159.9	51.35	31.9	47.17	84.04	77.79	74.06
KLF7	158.79	50.63	100.13	111.21	127.89	36.27	75.11	101.54	89.51	92.7	133.36	70.01	120.94	154.42	101.54	135.24	118.43	159.9	46.5	57.89	99.43	95.34	65.26	44.89	78.89	142.01	99.43	27.05	35.25	124.37	57.49	28.04	147.06	24.28	87.03	79.45	66.18	123.5	127.0	163.28	125.24	86.43	66.65	115.97	16.88	154.42	177.53	63.45	40.36	66.65	165.57	38.12	150.17	89.51	106.63	34.26	98.73	35.76	156.59	45.21	67.59	163.28	131.51	85.82	52.45	53.57	59.97	133.36	293.07	392.44	178.77	193.01	145.02	162.14	151.22	176.29	190.34	116.78	336.79	185.11	204.07	332.14	157.68	295.11	232.94	127.89	69.03	136.19	224.97	218.79	269.6
KLHL5	476.71	82.87	417.77	346.29	444.72	54.72	283.05	395.18	262.2	318.57	507.46	195.72	248.0	113.56	166.73	348.71	379.04	185.11	262.2	265.87	151.22	199.85	312.0	208.38	301.33	435.55	130.6	28.65	204.07	258.57	173.85	153.34	497.0	63.0	201.25	406.31	269.6	450.94	287.01	253.23	447.82	122.64	150.17	164.42	82.29	674.59	490.14	165.57	115.97	281.09	412.0	211.31	343.89	256.78	358.54	102.97	262.2	100.83	417.77	185.11	214.27	563.18	142.01	218.79	177.53	303.44	204.07	395.18	633.73	1151.06	642.59	400.71	738.29	842.36	320.8	713.11	759.08	559.28	1487.87	890.44	457.25	1572.76	420.68	915.51	1159.07	373.81	387.02	633.73	802.41	743.43	878.17
KLK3	772940.66	1345768.59	1005860.33	731246.37	632189.57	1116072.03	1212874.47	887875.81	1163466.92	1116072.03	691801.16	925580.18	751804.53	881742.8	1063212.58	1055868.42	767601.56	1255646.43	1187913.85	1093103.58	1139523.1	919186.72	1100706.72	881742.8	906531.99	1327240.99	751804.53	887875.81	1147449.11	925580.18	978355.0	1412675.8	726195.27	906531.99	919186.72	1238359.56	1327240.99	800198.39	1196176.45	985160.01	839981.65	869603.57	845824.19	851707.37	757033.75	767601.56	627822.72	1063212.58	1212874.47	1238359.56	654483.73	985160.01	751804.53	1048575.0	736332.6	1345768.59	938500.81	721179.07	585779.24	1472666.19	1229805.58	731246.37	1019901.63	828417.36	696613.03	938500.81	800198.39	805764.22	198667.0	260332.24	691801.16	391864.76	654483.73	456418.21	1019901.63	751804.53	318292.9	925580.18	78476.96	834179.46	794671.01	174152.51	602247.76	546551.29	195931.88	985160.01	1063212.58	554180.87	573724.06	472513.8	378516.38
KPNA3	277.2	55.89	241.19	224.97	255.0	53.95	229.72	201.25	190.34	153.34	224.97	144.01	167.9	59.97	135.24	239.52	163.28	104.42	183.82	185.11	98.73	137.14	182.55	209.84	242.88	361.04	131.51	75.64	127.0	173.85	120.94	138.1	241.19	151.22	180.02	146.03	147.06	193.01	172.65	220.32	231.32	90.77	95.34	107.38	127.89	379.04	281.09	103.69	119.26	177.53	279.14	199.85	180.02	176.29	164.42	164.42	148.09	100.83	279.14	138.1	133.36	258.57	89.51	142.01	123.5	161.02	139.07	301.33	381.68	438.59	303.44	341.51	318.57	414.87	198.47	312.0	373.81	312.0	620.67	318.57	277.2	555.41	223.41	423.61	470.14	221.86	265.87	299.25	395.18	435.55	457.25
LACC1	114.36	23.08	67.59	85.82	74.06	55.89	70.01	69.03	71.0	33.3	123.5	68.55	80.01	33.78	91.41	69.52	62.56	63.45	34.75	56.28	35.5	88.26	63.89	52.08	88.88	97.36	63.89	14.14	36.27	88.88	44.57	12.83	116.78	39.5	59.97	50.63	26.67	39.5	77.25	88.88	81.71	66.18	36.27	94.01	61.25	111.99	119.26	34.51	39.22	63.89	116.78	53.57	56.28	46.5	80.57	69.52	71.0	16.63	72.52	40.93	44.89	93.35	26.1	66.18	44.57	50.98	47.17	96.68	120.1	106.63	106.63	113.56	77.25	96.68	92.05	101.54	115.97	59.13	211.31	79.45	92.7	125.24	84.63	123.5	169.07	109.66	83.45	138.1	135.24	145.02	164.42
LAMB1	521.76	122.64	447.82	361.04	674.59	87.65	368.65	500.46	277.2	525.39	511.0	239.52	693.58	361.04	122.64	376.41	521.76	273.37	131.51	271.48	156.59	194.36	476.71	199.85	228.13	490.14	269.6	212.78	269.6	414.87	332.14	389.72	1628.26	138.1	186.4	480.04	417.77	463.65	647.07	633.73	490.14	206.94	363.56	447.82	146.03	432.53	813.63	329.84	226.54	208.38	669.92	660.68	309.83	432.53	329.84	297.17	967.76	228.13	591.22	293.07	283.05	733.19	412.0	397.93	153.34	473.41	555.41	521.76	1242.34	2148.82	698.41	612.11	493.56	791.35	825.0	1159.07	1066.48	660.68	2502.97	470.14	403.5	1295.13	753.83	1529.73	1407.55	660.68	299.25	1313.23	967.76	825.0	559.28
LEPROT	1127.35	497.0	769.69	854.13	1119.56	497.0	616.37	743.43	529.06	656.11	995.0	616.37	848.22	397.93	669.92	791.35	808.0	503.95	603.67	679.29	693.58	571.05	660.68	651.58	718.08	1378.57	518.15	279.14	373.81	860.08	595.34	575.03	928.3	642.59	775.05	764.36	647.07	733.19	665.29	1081.39	909.17	612.11	620.67	555.41	575.03	1295.13	1059.11	638.15	480.04	656.11	1143.1	420.68	1044.52	802.41	813.63	490.14	551.56	486.75	842.36	759.08	607.87	1001.93	638.15	679.29	500.46	514.56	500.46	1477.58	1359.57	1709.26	1151.06	1331.57	1397.83	1651.0	1044.52	1388.16	1369.04	830.75	1477.58	928.3	1340.84	1175.27	1175.27	1250.98	1794.29	1051.79	836.53	1250.98	1605.83	1769.57	1594.73
LOXL2	166.73	22.26	232.94	127.89	221.86	30.56	176.29	128.79	153.34	142.01	248.0	80.57	135.24	94.67	42.71	241.19	221.86	97.36	114.36	127.0	68.07	65.72	115.97	63.0	76.17	115.97	59.55	104.42	186.4	81.14	110.43	74.06	277.2	31.9	195.72	285.03	232.94	180.02	102.25	145.02	232.94	59.55	99.43	76.71	48.52	211.31	194.36	91.41	85.82	139.07	171.45	30.78	110.43	117.6	208.38	131.51	140.04	80.57	164.42	99.43	141.02	231.32	146.03	131.51	59.97	73.54	103.69	97.36	211.31	318.57	198.47	141.02	242.88	159.9	166.73	206.94	209.84	318.57	353.59	363.56	131.51	356.05	138.1	305.55	258.57	150.17	111.21	204.07	262.2	167.9	195.72
LPIN1	264.03	93.35	133.36	164.42	241.19	83.45	161.02	173.85	134.3	293.07	220.32	144.01	218.79	73.54	90.14	232.94	189.02	65.72	116.78	122.64	77.79	123.5	77.25	186.4	108.14	148.09	105.89	60.82	105.15	277.2	74.06	62.12	221.86	100.83	93.35	137.14	141.02	163.28	124.37	156.59	220.32	88.88	87.65	93.35	41.52	264.03	283.05	56.68	91.41	95.34	173.85	71.0	236.21	153.34	212.78	81.14	147.06	57.89	212.78	56.28	128.79	251.48	141.02	124.37	121.79	77.25	105.89	236.21	379.04	420.68	303.44	273.37	275.28	346.29	273.37	307.69	323.03	264.03	603.67	371.22	269.6	616.37	242.88	341.51	447.82	218.79	142.01	351.14	392.44	279.14	417.77
