	GTEX.SE5C.1026.SM.4BRUG	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.ZYFG.1926.SM.5GID5	GTEX.XUJ4.2126.SM.4BOOX	GTEX.13O61.1626.SM.5KM3T	GTEX.13FTW.2126.SM.5K7YG	GTEX.RWS6.1826.SM.47JXX	GTEX.SNOS.1226.SM.4DM5H	GTEX.X15G.1526.SM.4PQZM	GTEX.12WSJ.1426.SM.5GCON	GTEX.1399U.2226.SM.5KLZI	GTEX.YEC3.2026.SM.4WWFL	GTEX.13PL7.2426.SM.5J2N3	GTEX.13FH7.1526.SM.5J2N6	GTEX.QMRM.1226.SM.447C6	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.11P82.0426.SM.5HL5D	GTEX.1212Z.2026.SM.5N9EA	GTEX.131XE.1226.SM.5EGKF	GTEX.WYVS.0826.SM.4RTXB	GTEX.POMQ.0626.SM.3P61E	GTEX.WFJO.0726.SM.4LVM8	GTEX.13W3W.1726.SM.5LU4A	GTEX.131XF.0926.SM.5BC69	GTEX.YB5K.0726.SM.5LU8R	GTEX.WFG7.1026.SM.4LMK8	GTEX.TKQ2.1226.SM.4DXSV	GTEX.VJYA.0626.SM.4KL1S	GTEX.ZP4G.0926.SM.4WWF4	GTEX.1399R.0726.SM.5KM2A	GTEX.111CU.0626.SM.5EGHL	GTEX.11P81.0926.SM.59874	TCGA.AG.3732.11A.01R.1660.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZTX8.0426.SM.59HLG	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
GATAD2B	109.66	291.04	279.14	236.21	176.29	307.69	221.86	228.13	197.09	180.02	195.72	113.56	151.22	122.64	152.28	150.17	194.36	176.29	100.83	262.2	299.25	186.4	228.13	273.37	246.28	273.37	279.14	299.25	208.38	234.57	232.94	215.77	193.01	273.37	236.21	267.73	279.14	387.02	358.54	426.57	412.0	536.45	307.69	267.73	258.57	361.04	277.2	191.67	271.48	239.52	258.57	267.73	163.28	269.6	178.77	334.46	251.48	258.57	309.83	303.44	289.02
GUCY1B3	39.5	62.56	77.25	651.58	583.07	2384.37	429.54	248.0	320.8	473.41	417.77	105.89	316.37	346.29	309.83	567.1	525.39	507.46	224.97	2104.58	1051.79	301.33	633.73	470.14	511.0	599.49	255.0	860.08	603.67	387.02	830.75	260.38	397.93	669.92	909.17	995.0	1498.22	1605.83	2451.44	1721.16	1844.76	2075.59	848.22	728.11	1143.1	647.07	718.08	1008.9	1350.18	974.5	769.69	974.5	559.28	674.59	703.28	941.27	808.0	785.88	974.5	954.43	612.11
HIATL2	38.67	115.97	67.59	82.29	88.26	111.21	88.88	119.26	127.0	40.64	111.99	50.27	100.13	90.77	76.71	66.18	87.65	68.07	36.01	148.09	198.47	120.1	145.02	201.25	242.88	186.4	164.42	120.94	108.9	180.02	224.97	125.24	157.68	220.32	134.3	221.86	94.67	332.14	414.87	309.83	327.56	307.69	137.14	232.94	353.59	135.24	98.04	148.09	301.33	204.07	204.07	316.37	159.9	231.32	102.25	420.68	275.28	189.02	202.66	242.88	149.12
ICA1L	50.27	150.17	185.11	228.13	112.77	540.19	84.63	80.57	95.34	64.8	108.14	25.17	48.87	74.58	60.82	63.45	107.38	74.06	28.24	309.83	275.28	187.71	135.24	205.5	223.41	141.02	195.72	262.2	132.44	152.28	208.38	193.01	109.66	198.47	163.28	201.25	392.44	368.65	379.04	460.44	460.44	514.56	260.38	329.84	279.14	353.59	206.94	202.66	185.11	231.32	269.6	262.2	232.94	376.41	149.12	218.79	366.09	271.48	301.33	224.97	363.56
KAT6B	120.94	348.71	329.84	279.14	201.25	336.79	269.6	218.79	256.78	186.4	249.73	84.04	204.07	136.19	187.71	218.79	139.07	163.28	86.43	373.81	417.77	249.73	262.2	454.09	480.04	511.0	392.44	400.71	118.43	320.8	412.0	316.37	332.14	426.57	305.55	470.14	384.34	450.94	532.74	575.03	583.07	638.15	684.02	403.5	579.04	866.07	363.56	412.0	575.03	559.28	460.44	698.41	412.0	547.75	450.94	540.19	555.41	389.72	728.11	759.08	409.15
KAT7	738.29	902.89	780.44	518.15	470.14	819.3	603.67	486.75	486.75	503.95	521.76	289.02	460.44	423.61	536.45	470.14	486.75	447.82	309.83	693.58	890.44	373.81	559.28	674.59	785.88	665.29	603.67	713.11	595.34	624.99	674.59	656.11	511.0	733.19	656.11	764.36	647.07	934.76	1143.1	1175.27	981.29	1225.22	830.75	693.58	753.83	796.86	738.29	860.08	656.11	748.61	769.69	915.51	371.22	848.22	743.43	791.35	934.76	947.83	1088.92	954.43	848.22
KCNMA1	1572.76	3190.46	2573.36	3039.3	1697.45	7081.29	2319.15	2351.53	2061.24	2255.7	1844.76	412.0	1963.57	1963.57	1870.53	890.44	2061.24	1721.16	1015.93	7280.4	2335.28	1745.2	2271.4	2645.74	2520.38	2319.15	1662.49	2209.26	2148.82	2682.69	3060.45	2335.28	2384.37	2855.44	2682.69	3303.0	3901.01	5791.62	3540.14	4152.18	3665.02	4066.71	4736.79	2816.11	4181.07	3103.19	3794.3	3419.52	1832.01	3928.15	3564.78	3716.2	4388.98	7032.37	4543.8	3564.78	5292.48	5517.27	5041.77	2502.97	5751.61
KIAA1430	403.5	551.56	503.95	426.57	205.5	571.05	366.09	264.03	279.14	260.38	301.33	99.43	209.84	318.57	248.0	314.17	191.67	320.8	187.71	366.09	420.68	246.28	229.72	397.93	395.18	361.04	255.0	511.0	312.0	244.57	483.38	441.64	320.8	400.71	490.14	441.64	753.83	753.83	579.04	563.18	563.18	665.29	473.41	356.05	432.53	753.83	387.02	351.14	511.0	423.61	371.22	579.04	303.44	669.92	490.14	397.93	490.14	507.46	642.59	633.73	536.45
KIAA2026	99.43	195.72	211.31	201.25	177.53	251.48	191.67	140.04	264.03	157.68	206.94	75.64	142.01	145.02	71.5	146.03	129.69	130.6	91.41	260.38	234.57	102.25	177.53	244.57	275.28	228.13	255.0	299.25	178.77	163.28	262.2	305.55	183.82	269.6	224.97	323.03	241.19	379.04	426.57	476.71	490.14	473.41	341.51	473.41	423.61	348.71	208.38	197.09	497.0	229.72	264.03	397.93	277.2	356.05	253.23	221.86	285.03	426.57	301.33	529.06	285.03
KMT2A	93.35	353.59	289.02	358.54	175.07	420.68	339.14	267.73	256.78	201.25	246.28	92.7	226.54	155.5	141.02	221.86	239.52	256.78	124.37	336.79	412.0	177.53	279.14	420.68	470.14	334.46	329.84	336.79	156.59	226.54	559.28	339.14	295.11	435.55	314.17	432.53	447.82	629.35	620.67	647.07	599.49	813.63	543.96	265.87	353.59	559.28	603.67	285.03	476.71	441.64	444.72	813.63	271.48	591.22	289.02	525.39	460.44	540.19	647.07	669.92	379.04
KMT2E	244.57	629.35	703.28	733.19	555.41	748.61	708.18	420.68	514.56	435.55	540.19	273.37	450.94	379.04	275.28	620.67	267.73	447.82	293.07	728.11	954.43	332.14	651.58	825.0	872.1	791.35	633.73	791.35	483.38	500.46	860.08	688.78	660.68	796.86	764.36	896.64	934.76	1183.45	1208.34	1378.57	1127.35	1437.15	1208.34	1175.27	1023.0	1322.37	988.12	713.11	1191.69	1001.93	1066.48	1199.98	808.0	1295.13	651.58	884.29	1151.06	1008.9	1397.83	1331.57	872.1
KPNA5	53.57	181.28	129.69	97.36	66.18	158.79	76.71	85.82	90.77	76.17	79.45	40.93	96.01	66.18	74.58	69.03	80.01	63.89	41.22	130.6	141.02	88.88	111.21	151.22	120.1	81.14	102.97	164.42	84.63	78.34	136.19	115.97	76.17	123.5	81.14	132.44	206.94	246.28	217.27	208.38	251.48	249.73	146.03	157.68	214.27	151.22	117.6	96.01	141.02	151.22	148.09	171.45	87.65	165.57	115.16	163.28	123.5	121.79	166.73	171.45	138.1
LATS1	110.43	197.09	214.27	194.36	161.02	244.57	185.11	147.06	175.07	129.69	164.42	75.11	127.0	163.28	111.21	136.19	114.36	140.04	106.63	212.78	237.86	115.16	198.47	239.52	202.66	248.0	198.47	285.03	194.36	183.82	303.44	246.28	186.4	229.72	194.36	293.07	289.02	447.82	406.31	400.71	400.71	466.88	283.05	435.55	403.5	379.04	206.94	205.5	323.03	281.09	277.2	397.93	223.41	400.71	236.21	293.07	327.56	329.84	392.44	332.14	283.05
LNPEP	71.0	239.52	229.72	206.94	111.99	236.21	191.67	113.56	166.73	143.01	177.53	57.89	96.01	75.11	77.25	260.38	81.14	131.51	71.0	273.37	253.23	76.17	98.04	316.37	176.29	248.0	229.72	275.28	153.34	163.28	231.32	195.72	217.27	329.84	204.07	253.23	269.6	620.67	403.5	656.11	616.37	693.58	373.81	381.68	320.8	638.15	269.6	397.93	409.15	454.09	409.15	486.75	348.71	500.46	265.87	387.02	366.09	423.61	532.74	361.04	400.71
LRCH3	366.09	529.06	532.74	511.0	409.15	693.58	429.54	361.04	346.29	426.57	379.04	148.09	417.77	339.14	361.04	249.73	325.29	356.05	197.09	698.41	579.04	470.14	400.71	941.27	493.56	825.0	529.06	521.76	507.46	521.76	624.99	525.39	599.49	587.13	432.53	775.05	723.08	915.51	1175.27	890.44	808.0	1199.98	723.08	915.51	743.43	620.67	547.75	412.0	503.95	497.0	536.45	1088.92	463.65	595.34	620.67	698.41	591.22	500.46	708.18	612.11	387.02
MAP9	15.56	87.65	60.39	83.45	38.4	158.79	87.65	53.57	62.56	61.25	67.59	10.71	44.57	66.18	33.54	80.01	39.5	51.71	21.16	96.68	172.65	50.27	94.67	127.89	107.38	150.17	80.57	212.78	100.13	86.43	150.17	120.1	85.22	151.22	137.14	209.84	169.07	232.94	251.48	209.84	275.28	299.25	143.01	146.03	244.57	353.59	111.21	138.1	167.9	211.31	209.84	251.48	83.45	642.59	198.47	130.6	279.14	195.72	540.19	299.25	170.25
MBD5	406.31	547.75	343.89	591.22	264.03	884.29	406.31	363.56	293.07	318.57	356.05	113.56	262.2	332.14	353.59	273.37	262.2	258.57	187.71	470.14	392.44	246.28	285.03	387.02	441.64	348.71	287.01	423.61	217.27	336.79	473.41	490.14	414.87	466.88	447.82	480.04	665.29	624.99	620.67	728.11	693.58	902.89	454.09	497.0	575.03	796.86	599.49	447.82	791.35	698.41	447.82	713.11	603.67	497.0	507.46	660.68	536.45	718.08	665.29	624.99	607.87
MCC	122.64	208.38	157.68	90.77	68.55	110.43	60.82	28.24	47.84	29.06	33.06	19.68	57.89	68.07	16.15	87.03	27.25	47.5	29.91	157.68	163.28	74.58	140.04	146.03	131.51	96.68	98.04	113.56	52.08	58.71	178.77	52.45	55.49	133.36	72.01	101.54	103.69	234.57	218.79	208.38	185.11	242.88	204.07	454.09	381.68	447.82	223.41	258.57	231.32	229.72	334.46	223.41	152.28	514.56	199.85	417.77	688.78	297.17	473.41	363.56	241.19
MEF2A	518.15	947.83	934.76	684.02	429.54	1081.39	595.34	441.64	669.92	447.82	575.03	234.57	435.55	483.38	397.93	642.59	389.72	435.55	314.17	1135.2	848.22	587.13	579.04	988.12	791.35	651.58	947.83	981.29	769.69	733.19	1023.0	854.13	802.41	1030.12	791.35	981.29	1127.35	2816.11	1605.83	1757.34	1721.16	1674.06	825.0	1104.13	981.29	2004.85	785.88	540.19	1073.91	1378.57	1119.56	1322.37	748.61	1769.57	981.29	1977.24	1167.14	1605.83	1183.45	1407.55	1540.37
MYADM	11584.24	7589.61	7695.57	6607.01	4639.29	12853.63	3820.7	3955.48	3349.13	4481.23	2997.45	1519.15	3349.13	3146.52	2915.45	4450.27	2537.92	5711.87	2351.53	18304.63	6426.31	3212.66	2255.7	5995.9	4671.57	5913.33	4095.0	10368.08	4298.64	4769.75	6516.03	4450.27	6516.03	5751.61	6652.97	6037.61	5913.33	15934.98	21320.18	15392.14	19214.73	16269.83	10883.59	5041.77	10883.59	12160.22	10659.59	6561.36	15499.21	7130.55	10440.2	10368.08	14867.79	9279.58	14461.21	10368.08	9540.5	15075.35	11745.96	8421.31	9151.82
MYH11	479109.86	492579.5	453265.5	373305.21	144427.91	925580.18	102125.66	98646.85	87075.75	117311.73	84694.64	7032.37	45701.96	83528.61	71714.63	47313.67	68793.23	144427.91	22072.07	839981.65	271387.49	149521.18	136637.07	265802.39	253213.41	251464.33	220434.95	277089.94	220434.95	124863.17	286861.53	256748.15	218912.29	322736.12	215898.44	273275.14	400098.69	425853.18	301123.38	411347.03	336441.4	417089.23	397335.0	414208.18	527933.71	721179.07	513497.31	456418.21	606436.73	857631.47	462789.59	561916.97	520665.48	334117.42	682276.92	577714.63	527933.71	565825.41	466008.55	381149.17	696613.03
MYOCD	1529.73	2004.85	1745.2	1936.53	358.54	2004.85	493.56	497.0	432.53	447.82	511.0	67.59	346.29	409.15	332.14	353.59	353.59	423.61	157.68	1923.14	713.11	423.61	599.49	1119.56	954.43	400.71	1216.75	780.44	269.6	703.28	1295.13	842.36	708.18	1498.22	890.44	915.51	1757.34	1651.0	1183.45	1594.73	1313.23	2018.8	921.88	1066.48	2061.24	1733.13	1199.98	423.61	1733.13	1781.89	1167.14	2997.45	2075.59	1216.75	2209.26	3639.7	2816.11	3491.39	616.37	3146.52	2004.85
NBEA	567.1	366.09	476.71	358.54	199.85	743.43	190.34	165.57	152.28	256.78	194.36	46.84	143.01	142.01	173.85	212.78	159.9	164.42	87.03	423.61	341.51	189.02	218.79	376.41	241.19	234.57	239.52	285.03	127.0	237.86	392.44	327.56	199.85	341.51	269.6	320.8	551.56	507.46	532.74	571.05	547.75	603.67	373.81	507.46	555.41	748.61	341.51	368.65	902.89	941.27	473.41	536.45	373.81	665.29	476.71	511.0	514.56	748.61	521.76	587.13	674.59
NEGR1	1143.1	1757.34	1721.16	775.05	379.04	1477.58	587.13	403.5	518.15	389.72	470.14	104.42	387.02	237.86	339.14	454.09	318.57	267.73	162.14	1757.34	607.87	414.87	457.25	733.19	575.03	441.64	518.15	1081.39	341.51	348.71	1001.93	536.45	595.34	866.07	1104.13	890.44	1477.58	1191.69	1268.46	1397.83	1242.34	1540.37	1685.71	1175.27	1662.49	1605.83	1340.84	1427.22	1540.37	1487.87	1594.73	1304.15	802.41	1023.0	1143.1	1119.56	915.51	698.41	1378.57	1359.57	1268.46
NF1	105.15	289.02	236.21	309.83	224.97	255.0	275.28	170.25	208.38	154.42	146.03	139.07	134.3	169.07	81.71	214.27	92.05	199.85	119.26	260.38	307.69	159.9	237.86	334.46	264.03	265.87	221.86	435.55	226.54	185.11	295.11	277.2	255.0	327.56	279.14	314.17	320.8	651.58	540.19	429.54	441.64	536.45	323.03	267.73	406.31	429.54	358.54	283.05	334.46	251.48	356.05	540.19	271.48	547.75	307.69	231.32	287.01	358.54	575.03	409.15	325.29
NPAS3	12.45	8.25	15.34	28.86	20.11	72.52	33.78	25.35	35.0	20.86	25.17	5.54	28.45	8.92	20.11	11.73	26.1	9.13	6.36	83.45	37.59	43.63	46.5	44.89	44.57	42.11	22.75	35.76	25.91	29.48	65.26	65.26	18.16	63.45	41.52	67.59	57.08	53.95	80.01	65.26	92.05	84.63	35.0	41.22	115.97	59.97	37.59	90.77	71.5	43.32	34.51	81.14	41.22	70.51	40.64	49.56	65.26	54.72	40.07	78.89	38.67
PBRM1	387.02	624.99	583.07	483.38	320.8	525.39	511.0	371.22	403.5	379.04	463.65	173.85	267.73	392.44	273.37	480.04	260.38	397.93	299.25	587.13	473.41	191.67	271.48	563.18	480.04	514.56	435.55	638.15	309.83	351.14	624.99	507.46	511.0	633.73	547.75	620.67	647.07	854.13	748.61	813.63	819.3	1001.93	764.36	423.61	567.1	830.75	503.95	463.65	896.64	848.22	669.92	954.43	595.34	1059.11	698.41	728.11	679.29	866.07	1096.5	909.17	647.07
PDZRN3	2240.11	2485.67	2240.11	2004.85	1397.83	4181.07	1487.87	1437.15	1304.15	1519.15	1359.57	316.37	1175.27	854.13	1662.49	1175.27	1594.73	1295.13	406.31	2915.45	2240.11	1605.83	1508.65	1551.09	2468.49	1540.37	1909.85	2835.7	1909.85	1844.76	1721.16	1769.57	1936.53	2032.85	2384.37	1844.76	3146.52	2645.74	2935.74	3018.3	2591.27	2875.3	4903.87	1977.24	2537.92	3081.75	2573.36	3955.48	2701.35	3039.3	2956.17	2502.97	2573.36	3212.66	3443.31	2555.58	3039.3	3039.3	3280.18	2502.97	2777.33
PHC3	143.01	483.38	341.51	256.78	185.11	277.2	320.8	148.09	206.94	201.25	185.11	83.45	142.01	258.57	100.13	177.53	173.85	251.48	100.13	293.07	358.54	115.97	208.38	503.95	397.93	426.57	341.51	540.19	166.73	208.38	348.71	361.04	358.54	327.56	353.59	476.71	299.25	1208.34	928.3	988.12	813.63	1175.27	624.99	866.07	928.3	1183.45	583.07	314.17	836.53	723.08	612.11	728.11	595.34	713.11	454.09	620.67	860.08	1073.91	909.17	775.05	525.39
PIK3C2A	183.82	454.09	435.55	379.04	212.78	371.22	334.46	232.94	291.04	204.07	346.29	111.99	185.11	258.57	185.11	376.41	163.28	221.86	154.42	392.44	460.44	195.72	293.07	429.54	438.59	403.5	429.54	620.67	400.71	343.89	406.31	426.57	381.68	483.38	444.72	500.46	497.0	791.35	665.29	616.37	642.59	723.08	543.96	507.46	571.05	642.59	429.54	307.69	684.02	514.56	547.75	547.75	351.14	941.27	368.65	438.59	567.1	555.41	708.18	660.68	480.04
POU2F1	37.59	87.03	63.0	68.07	62.56	94.67	85.82	76.17	79.45	66.18	69.52	61.25	53.19	62.12	31.9	47.5	64.34	52.82	47.5	91.41	106.63	85.22	91.41	127.0	92.05	87.65	116.78	145.02	76.17	87.03	98.73	93.35	106.63	99.43	95.34	98.73	96.01	206.94	231.32	267.73	232.94	244.57	176.29	187.71	170.25	371.22	177.53	117.6	201.25	182.55	251.48	175.07	134.3	260.38	73.03	148.09	156.59	291.04	189.02	173.85	273.37
PPM1L	199.85	679.29	595.34	236.21	100.13	309.83	183.82	130.6	147.06	88.26	138.1	46.84	68.55	148.09	109.66	208.38	121.79	79.45	39.79	239.52	536.45	122.64	244.57	336.79	237.86	309.83	195.72	368.65	90.77	275.28	460.44	239.52	143.01	409.15	269.6	426.57	248.0	490.14	620.67	624.99	753.83	860.08	521.76	289.02	271.48	406.31	406.31	511.0	624.99	819.3	299.25	629.35	403.5	1143.1	629.35	723.08	547.75	728.11	591.22	1066.48	624.99
PRICKLE2	738.29	718.08	713.11	842.36	325.29	1447.15	363.56	277.2	281.09	271.48	281.09	68.07	226.54	206.94	214.27	197.09	198.47	208.38	90.14	1286.18	551.56	457.25	688.78	878.17	708.18	679.29	633.73	612.11	414.87	559.28	1096.5	808.0	483.38	1037.29	571.05	703.28	961.07	1508.65	1388.16	1662.49	1268.46	1870.53	718.08	878.17	928.3	947.83	612.11	703.28	1051.79	941.27	551.56	1313.23	693.58	1191.69	961.07	915.51	1059.11	1015.93	884.29	1051.79	890.44
PUM1	417.77	842.36	848.22	836.53	703.28	848.22	802.41	629.35	629.35	693.58	703.28	429.54	493.56	624.99	669.92	718.08	470.14	647.07	532.74	723.08	808.0	432.53	532.74	819.3	764.36	915.51	698.41	848.22	595.34	612.11	890.44	684.02	684.02	872.1	775.05	995.0	928.3	967.76	995.0	1529.73	1233.75	1605.83	1135.2	825.0	941.27	1242.34	848.22	884.29	1059.11	928.3	1111.82	1388.16	890.44	1183.45	775.05	1135.2	1008.9	878.17	1286.18	1088.92	941.27
PURA	218.79	371.22	309.83	297.17	224.97	348.71	327.56	182.55	206.94	185.11	223.41	129.69	165.57	228.13	258.57	356.05	144.01	228.13	197.09	368.65	356.05	177.53	234.57	244.57	373.81	435.55	316.37	483.38	297.17	291.04	381.68	316.37	379.04	395.18	406.31	490.14	356.05	457.25	591.22	693.58	718.08	703.28	743.43	567.1	575.03	947.83	547.75	454.09	543.96	599.49	543.96	642.59	543.96	915.51	647.07	543.96	473.41	532.74	813.63	693.58	616.37
PYGO1	140.04	128.79	110.43	114.36	54.72	183.82	45.21	41.81	38.12	38.95	45.85	10.31	38.67	29.06	28.86	37.05	29.91	35.0	18.97	134.3	107.38	52.82	100.13	131.51	80.57	69.52	77.25	118.43	108.14	73.54	114.36	111.99	63.0	134.3	92.7	118.43	165.57	214.27	183.82	224.97	212.78	293.07	117.6	193.01	198.47	165.57	88.26	103.69	215.77	149.12	145.02	157.68	119.26	242.88	96.68	126.12	108.14	146.03	141.02	158.79	126.12
RAB12	1119.56	1378.57	1467.37	848.22	698.41	1662.49	647.07	669.92	633.73	728.11	575.03	361.04	486.75	543.96	769.69	825.0	575.03	607.87	366.09	1167.14	988.12	703.28	748.61	1023.0	738.29	842.36	713.11	1216.75	967.76	854.13	1073.91	1081.39	785.88	1191.69	1030.12	1183.45	1508.65	1359.57	1331.57	1628.26	1721.16	1583.71	974.5	1259.69	1350.18	1697.45	1008.9	1277.29	1225.22	1313.23	1331.57	1183.45	1073.91	1733.13	1250.98	1359.57	974.5	961.07	1313.23	1417.35	1066.48
RAB2B	165.57	339.14	309.83	314.17	283.05	417.77	301.33	177.53	316.37	234.57	327.56	187.71	246.28	251.48	189.02	339.14	260.38	214.27	176.29	480.04	329.84	312.0	368.65	414.87	450.94	381.68	438.59	480.04	395.18	283.05	414.87	400.71	287.01	387.02	376.41	493.56	420.68	551.56	583.07	708.18	769.69	738.29	406.31	669.92	536.45	567.1	371.22	303.44	444.72	441.64	483.38	490.14	392.44	376.41	480.04	473.41	353.59	435.55	518.15	536.45	361.04
RBFOX2	1487.87	1617.0	1745.2	2193.99	921.88	6079.61	1216.75	1008.9	1159.07	1059.11	1023.0	395.18	1073.91	1119.56	743.43	813.63	954.43	1066.48	503.95	2468.49	1909.85	890.44	1191.69	2032.85	1685.71	1467.37	1487.87	1639.59	759.08	1313.23	2018.8	1487.87	1540.37	1883.54	1561.89	1685.71	3146.52	2895.31	2319.15	2627.46	2417.67	2935.74	1844.76	1639.59	1594.73	1896.65	1540.37	1295.13	2209.26	1794.29	1757.34	2133.97	1378.57	1757.34	1605.83	2047.0	1963.57	2004.85	1857.6	1745.2	1769.57
RBM41	74.58	187.71	163.28	152.28	110.43	166.73	161.02	165.57	127.0	91.41	148.09	74.58	82.29	89.51	99.43	125.24	85.82	82.87	98.73	206.94	137.14	100.83	140.04	140.04	234.57	145.02	126.12	256.78	108.9	134.3	228.13	170.25	105.89	162.14	194.36	195.72	204.07	346.29	299.25	273.37	329.84	358.54	201.25	336.79	305.55	214.27	181.28	140.04	186.4	228.13	223.41	348.71	72.52	327.56	214.27	220.32	193.01	177.53	249.73	312.0	195.72
REEP3	633.73	651.58	698.41	567.1	339.14	563.18	529.06	368.65	559.28	444.72	429.54	177.53	325.29	392.44	480.04	511.0	309.83	371.22	289.02	764.36	688.78	334.46	348.71	563.18	417.77	583.07	441.64	764.36	486.75	521.76	500.46	412.0	521.76	595.34	547.75	629.35	785.88	1023.0	802.41	981.29	1015.93	1023.0	791.35	514.56	842.36	1051.79	555.41	836.53	1023.0	878.17	688.78	500.46	536.45	1183.45	842.36	536.45	518.15	583.07	988.12	679.29	651.58
REST	89.51	234.57	217.27	202.66	150.17	251.48	215.77	115.97	152.28	138.1	161.02	87.65	110.43	94.01	85.82	152.28	111.99	167.9	112.77	209.84	256.78	106.63	138.1	214.27	178.77	199.85	153.34	239.52	150.17	186.4	239.52	147.06	126.12	269.6	182.55	214.27	283.05	387.02	373.81	309.83	329.84	389.72	223.41	256.78	358.54	318.57	223.41	154.42	269.6	190.34	220.32	289.02	105.15	389.72	226.54	297.17	297.17	269.6	412.0	327.56	199.85
RNF38	358.54	967.76	947.83	559.28	438.59	1059.11	511.0	406.31	450.94	379.04	490.14	218.79	353.59	309.83	454.09	397.93	376.41	409.15	281.09	974.5	753.83	323.03	466.88	638.15	698.41	733.19	521.76	909.17	514.56	551.56	808.0	587.13	447.82	848.22	665.29	941.27	981.29	1605.83	1407.55	1350.18	1191.69	1857.6	1286.18	723.08	1088.92	1295.13	890.44	947.83	947.83	743.43	775.05	1242.34	571.05	1151.06	884.29	1159.07	854.13	1008.9	1378.57	1313.23	813.63
RP11-122A3.2	1119.56	1081.39	1081.39	954.43	486.75	4152.18	497.0	381.68	363.56	426.57	547.75	115.16	231.32	511.0	476.71	376.41	281.09	483.38	143.01	1143.1	819.3	358.54	361.04	620.67	511.0	1151.06	819.3	921.88	669.92	854.13	693.58	490.14	703.28	647.07	612.11	738.29	1936.53	1721.16	1044.52	1909.85	1519.15	1870.53	836.53	1073.91	718.08	2004.85	884.29	1151.06	1437.15	2090.03	988.12	1135.2	909.17	1628.26	1909.85	1127.35	1066.48	1870.53	1561.89	1191.69	1605.83
RSF1	154.42	483.38	454.09	316.37	208.38	426.57	334.46	305.55	332.14	329.84	251.48	147.06	236.21	194.36	185.11	297.17	170.25	187.71	152.28	547.75	497.0	209.84	307.69	438.59	406.31	463.65	397.93	540.19	341.51	435.55	389.72	255.0	435.55	591.22	490.14	514.56	406.31	941.27	921.88	934.76	954.43	854.13	674.59	743.43	723.08	825.0	532.74	483.38	543.96	490.14	540.19	872.1	348.71	872.1	587.13	660.68	591.22	728.11	981.29	733.19	511.0
SETBP1	323.03	305.55	361.04	267.73	139.07	656.11	265.87	187.71	150.17	182.55	215.77	39.79	152.28	134.3	134.3	137.14	187.71	167.9	71.5	205.5	334.46	133.36	232.94	248.0	273.37	287.01	181.28	316.37	182.55	117.6	346.29	316.37	279.14	283.05	271.48	406.31	376.41	387.02	473.41	493.56	497.0	647.07	559.28	403.5	447.82	1167.14	251.48	339.14	769.69	540.19	521.76	346.29	356.05	363.56	271.48	435.55	521.76	336.79	624.99	384.34	444.72
SLC25A53	78.34	136.19	155.5	147.06	96.01	133.36	63.45	78.34	53.57	54.33	55.89	45.85	87.65	77.79	88.26	124.37	62.12	81.14	78.34	152.28	150.17	88.26	67.59	133.36	119.26	186.4	80.01	100.13	51.35	101.54	127.89	96.01	151.22	164.42	142.01	144.01	149.12	246.28	348.71	339.14	260.38	343.89	214.27	248.0	190.34	223.41	127.0	191.67	186.4	246.28	255.0	209.84	123.5	138.1	125.24	131.51	312.0	159.9	353.59	221.86	190.34
SMAD5	172.65	500.46	420.68	397.93	234.57	460.44	307.69	291.04	264.03	172.65	255.0	128.79	211.31	260.38	175.07	256.78	190.34	214.27	191.67	389.72	361.04	187.71	285.03	429.54	341.51	309.83	291.04	476.71	281.09	285.03	426.57	314.17	253.23	420.68	303.44	447.82	559.28	587.13	603.67	473.41	567.1	612.11	423.61	878.17	733.19	567.1	351.14	392.44	518.15	460.44	432.53	688.78	384.34	647.07	318.57	518.15	514.56	400.71	587.13	665.29	483.38
