	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
EFCAB7	145.02	92.05	151.22	204.07	239.52	132.44	74.58	236.21	91.41	111.21	133.36	158.79	211.31	83.45	111.21	127.0	204.07	110.43	140.04	113.56	309.83	197.09	301.33	80.57	94.01	307.69	154.42	87.03	232.94	208.38	91.41	152.28	75.64	289.02	341.51	204.07	67.59	25.35	30.12	25.72	17.38	14.56	15.68	15.45	16.75	38.4	5.15	17.38	16.03	23.42	11.91	26.28	10.79	2.46	0.0	0.0
ELAVL2	22.43	90.77	10.63	87.03	8.06	74.06	14.35	3.56	7.0	8.32	47.84	18.16	12.83	115.16	42.41	24.46	29.06	6.62	34.51	3.72	69.52	68.07	26.86	5.54	5.23	18.03	4.43	72.52	11.47	48.87	6.41	12.09	279.14	229.72	30.12	414.87	3.41	0.0	0.0	0.0	0.0	0.0	0.46	0.51	0.0	0.0	0.0	0.0	0.47	0.0	0.49	0.0	0.0	0.0	0.0	0.07
EMD	2627.46	2956.17	3212.66	1909.85	1963.57	2502.97	1617.0	2451.44	2303.12	1487.87	1923.14	2591.27	3564.78	1051.79	2148.82	2591.27	2758.13	2148.82	2178.83	3742.05	2287.2	1651.0	2417.67	1757.34	3146.52	1963.57	2682.69	2555.58	3190.46	2335.28	1769.57	1909.85	2502.97	1487.87	2104.58	3235.01	1883.54	1081.39	1286.18	1059.11	1447.15	1259.69	1350.18	1350.18	1322.37	1151.06	1508.65	1127.35	1143.1	1225.22	1427.22	1304.15	1250.98	1572.76	0.0	0.8
FAM117B	109.66	73.54	165.57	214.27	118.43	117.6	67.59	67.59	60.39	108.9	109.66	112.77	258.57	138.1	181.28	98.73	153.34	126.12	152.28	125.24	136.19	224.97	118.43	90.14	95.34	211.31	193.01	63.45	83.45	119.26	147.06	100.83	136.19	157.68	167.9	271.48	44.25	19.82	48.18	27.05	11.55	17.13	12.27	15.56	9.41	30.56	19.25	26.28	40.36	15.56	30.56	20.41	7.75	14.14	0.0	0.18
FAM196A	91.41	215.77	262.2	90.77	100.83	1359.57	1.77	39.79	40.64	8.25	1340.84	536.45	73.54	115.16	0.42	38.95	450.94	244.57	16.15	142.01	26.28	39.79	1119.56	32.59	2.78	28.65	45.21	3.72	4.62	3.86	23.08	89.51	373.81	1008.9	836.53	1674.06	108.14	0.0	0.74	0.0	0.66	0.0	0.0	1.23	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.13	0.06	0.0	0.22
FAM219A	299.25	183.82	279.14	387.02	406.31	204.07	381.68	144.01	140.04	218.79	253.23	149.12	327.56	283.05	366.09	154.42	353.59	215.77	217.27	265.87	497.0	441.64	381.68	277.2	148.09	500.46	178.77	529.06	242.88	392.44	129.69	242.88	309.83	493.56	361.04	551.56	316.37	84.63	127.89	69.03	93.35	47.5	58.3	65.72	45.53	83.45	61.25	77.79	73.03	69.52	92.05	66.65	56.28	35.25	0.0	0.75
FAM81A	36.53	24.46	65.72	95.34	38.12	14.89	30.78	69.03	45.53	23.42	32.36	77.79	57.49	29.7	32.59	25.54	94.01	31.45	63.89	27.05	124.37	291.04	27.05	42.41	18.43	55.89	19.53	88.88	5.68	40.36	55.89	244.57	62.56	64.8	14.24	1.17	1.69	0.68	8.38	3.35	1.11	2.51	1.5	0.6	0.0	0.65	6.16	3.2	2.48	3.76	5.96	0.62	3.69	49.21	0.0	0.0
FBXO3	1066.48	591.22	684.02	775.05	629.35	633.73	543.96	483.38	995.0	521.76	764.36	441.64	612.11	638.15	738.29	575.03	1051.79	559.28	825.0	525.39	759.08	1008.9	808.0	529.06	723.08	638.15	438.59	2915.45	579.04	738.29	466.88	842.36	780.44	1628.26	669.92	934.76	463.65	511.0	493.56	567.1	529.06	379.04	397.93	400.71	450.94	529.06	395.18	420.68	616.37	476.71	480.04	480.04	423.61	267.73	0.0	0.56
FBXO41	126.12	36.01	82.87	108.14	208.38	100.13	83.45	108.14	82.87	65.72	82.87	39.5	204.07	95.34	102.25	80.57	78.34	125.24	154.42	40.07	197.09	164.42	170.25	143.01	45.21	130.6	52.45	395.18	104.42	217.27	33.54	20.56	77.79	368.65	164.42	209.84	164.42	6.01	8.38	3.96	3.14	0.85	2.41	1.48	0.87	5.19	1.33	1.5	7.06	3.29	8.92	3.89	0.0	1.89	0.0	0.51
FHOD3	218.79	49.21	218.79	82.87	92.05	41.22	33.06	36.53	86.43	90.77	31.9	246.28	82.87	62.56	112.77	57.08	262.2	55.1	236.21	173.85	291.04	63.89	103.69	52.82	38.4	59.97	87.65	181.28	44.57	61.68	62.56	279.14	353.59	860.08	73.54	555.41	31.67	27.05	45.53	21.94	22.43	6.06	12.36	25.35	16.27	17.13	13.83	23.08	12.64	18.84	36.27	17.13	1.73	43.32	0.0	0.35
FSBP	48.18	10.88	34.75	31.45	12.83	15.34	28.04	21.63	21.78	18.03	8.45	14.67	12.36	24.63	27.64	21.63	40.36	16.03	21.32	11.38	26.86	46.5	16.75	15.0	11.55	36.53	24.99	46.5	25.35	44.57	27.44	16.39	16.63	37.59	11.55	20.41	10.39	9.78	19.39	10.47	11.91	9.27	7.88	6.41	8.51	9.93	4.13	4.78	20.71	10.79	3.5	11.38	20.71	3.86	0.0	0.21
FSD1L	98.04	40.07	55.1	141.02	88.26	71.0	33.06	35.5	10.96	31.9	74.06	33.06	106.63	32.59	124.37	31.9	96.68	48.52	91.41	19.68	85.82	447.82	120.1	23.08	33.3	107.38	51.35	98.04	34.75	45.85	37.05	11.3	63.89	289.02	129.69	102.25	22.92	7.11	9.93	3.99	8.13	2.32	4.06	4.43	9.34	3.32	2.78	14.67	7.75	1.83	8.13	7.22	2.92	12.64	0.0	0.31
FUNDC2	2004.85	2682.69	3212.66	2935.74	3081.75	3018.3	1477.58	3212.66	2664.15	2384.37	2777.33	3280.18	4066.71	1819.35	2976.74	2835.7	4152.18	2537.92	2777.33	4972.34	2468.49	2816.11	2193.99	3039.3	2351.53	2502.97	2816.11	3060.45	6792.79	2351.53	3039.3	4095.0	2935.74	1662.49	2976.74	3794.3	1697.45	1697.45	1639.59	1447.15	1685.71	1883.54	1059.11	1923.14	1844.76	1529.73	1617.0	1551.09	1259.69	1605.83	1781.89	2609.3	1857.6	819.3	0.0	1.01
GABRD	22.75	132.44	63.45	133.36	57.89	49.21	29.06	34.26	45.85	116.78	100.83	56.68	99.43	52.45	37.59	43.32	80.57	32.36	73.54	55.49	149.12	36.53	44.89	100.83	62.12	271.48	79.45	255.0	87.03	59.97	77.79	45.53	52.45	435.55	40.64	28.86	5.45	1.89	8.25	2.34	1.13	0.0	3.89	2.73	0.59	1.79	3.29	1.16	1.57	1.73	3.17	2.27	0.0	0.68	0.0	0.2
GALNT8	7.28	3.59	2.86	6.06	26.67	2.12	12.27	4.78	0.73	8.38	0.68	4.78	5.02	112.77	55.49	6.26	8.13	3.23	4.86	9.93	4.54	0.0	3.47	44.25	2.39	3.2	3.0	209.84	16.88	16.27	0.0	89.51	22.92	1.91	7.57	4.13	2.61	3.23	13.32	5.32	3.35	0.0	0.0	0.0	0.0	0.71	0.0	0.0	3.17	6.84	5.96	0.0	2.07	0.45	0.0	0.25
GEMIN8	575.03	575.03	915.51	1015.93	759.08	728.11	212.78	656.11	764.36	679.29	928.3	289.02	1104.13	447.82	1233.75	155.5	450.94	567.1	563.18	559.28	1073.91	723.08	718.08	438.59	638.15	1909.85	728.11	339.14	674.59	813.63	476.71	1167.14	620.67	713.11	928.3	1111.82	638.15	218.79	303.44	246.28	267.73	256.78	209.84	267.73	199.85	301.33	253.23	248.0	277.2	212.78	301.33	228.13	186.4	309.83	0.0	0.42
GPRIN1	65.26	53.57	96.01	269.6	244.57	48.18	63.0	6.16	25.91	21.63	13.83	131.51	187.71	183.82	450.94	34.75	78.89	25.17	275.28	150.17	212.78	136.19	172.65	98.04	57.08	289.02	37.32	307.69	146.03	215.77	30.78	39.5	12.45	214.27	191.67	414.87	20.26	4.43	3.23	7.57	2.29	0.65	1.64	3.41	1.75	1.91	3.0	1.81	3.2	4.1	2.84	1.85	2.01	0.37	0.0	0.28
HEATR5B	285.03	190.34	287.01	351.14	366.09	273.37	246.28	170.25	165.57	165.57	241.19	226.54	253.23	309.83	392.44	195.72	275.28	228.13	293.07	154.42	283.05	612.11	595.34	220.32	260.38	305.55	217.27	234.57	232.94	463.65	246.28	224.97	224.97	518.15	400.71	228.13	123.5	99.43	132.44	92.05	71.0	62.56	56.68	106.63	56.28	87.03	75.11	84.04	118.43	65.72	108.14	82.29	40.93	31.22	0.0	0.27
HECTD2	137.14	74.58	131.51	122.64	123.5	135.24	122.64	104.42	142.01	117.6	67.59	193.01	267.73	79.45	76.17	178.77	336.79	175.07	187.71	110.43	187.71	206.94	73.54	102.97	58.71	204.07	195.72	116.78	376.41	275.28	149.12	84.63	470.14	244.57	118.43	228.13	92.7	31.9	45.85	28.45	21.32	17.64	6.52	31.45	17.77	26.28	31.67	19.53	24.11	12.55	30.34	16.27	8.38	8.45	0.0	0.48
HIPK3	656.11	273.37	612.11	860.08	332.14	607.87	400.71	265.87	718.08	476.71	547.75	500.46	318.57	447.82	368.65	397.93	961.07	500.46	802.41	368.65	493.56	723.08	583.07	305.55	366.09	417.77	450.94	2319.15	376.41	679.29	389.72	483.38	902.89	921.88	490.14	387.02	291.04	353.59	287.01	432.53	301.33	251.48	133.36	356.05	414.87	232.94	547.75	366.09	336.79	273.37	463.65	244.57	423.61	480.04	0.0	0.39
HIST1H1T	4.43	0.0	0.73	6.78	8.0	4.06	1.33	0.0	1.03	3.82	16.63	0.0	0.96	8.19	3.59	5.15	0.0	11.91	2.73	2.94	23.08	0.0	6.67	3.38	0.0	40.93	0.0	0.0	3.76	9.56	0.0	27.64	11.73	3.96	7.4	1.19	0.0	2.34	0.0	2.2	0.0	0.0	0.0	2.07	0.0	0.0	0.0	4.82	0.0	0.0	0.0	2.16	0.0	0.0	0.0	0.0
HIST1H2BF	0.0	12.83	39.22	137.14	59.97	34.26	127.0	7.51	23.08	94.67	381.68	35.5	2.34	22.92	95.34	42.71	74.06	100.13	0.77	194.36	169.07	57.08	104.42	30.78	51.71	102.25	5.87	12.93	17.77	70.51	13.72	318.57	139.07	141.02	59.55	81.14	66.65	1.66	1.66	4.31	1.46	0.0	1.38	1.5	0.0	2.27	0.0	0.0	0.0	1.55	0.0	0.88	0.15	0.0	0.0	0.57
HIST1H4D	0.0	8.38	16.75	57.89	13.62	7.28	35.0	9.56	15.45	65.72	249.73	16.75	7.28	11.13	72.52	17.0	11.21	44.57	0.0	30.78	71.0	15.22	24.63	29.91	14.03	120.1	15.8	10.31	18.03	24.63	10.55	113.56	48.87	38.95	28.24	43.94	31.22	0.0	0.0	0.0	6.06	0.0	0.0	12.93	0.0	0.0	0.0	0.0	6.89	0.0	0.0	5.15	0.0	0.0	0.0	0.21
HK1	3039.3	2335.28	1806.78	1508.65	3589.58	2178.83	3874.05	2537.92	1639.59	1909.85	2351.53	1769.57	1225.22	2520.38	1781.89	3349.13	1551.09	2271.4	2816.11	2875.3	1529.73	2468.49	3443.31	2468.49	1572.76	2367.9	1487.87	1457.23	1745.2	2997.45	2255.7	1378.57	3103.19	3467.27	2434.5	1081.39	1721.16	115.16	193.01	144.01	153.34	45.21	103.69	130.6	91.41	79.45	162.14	119.26	133.36	99.43	166.73	113.56	73.03	55.1	921.88	119.26
HOXB6	19.25	21.78	21.16	21.63	15.0	18.03	30.12	18.97	84.04	37.05	9.63	19.97	21.01	44.25	152.28	341.51	42.41	295.11	334.46	275.28	848.22	16.27	547.75	18.43	31.0	11.64	29.48	140.04	21.32	36.27	86.43	62.12	19.39	13.62	624.99	9.85	204.07	14.03	25.91	33.54	12.27	5.19	6.41	7.51	5.36	10.71	14.03	11.21	14.89	12.45	6.41	12.45	5.28	0.09	0.0	0.66
HPRT1	921.88	842.36	1844.76	825.0	665.29	1104.13	872.1	1295.13	1529.73	934.76	718.08	947.83	769.69	902.89	1191.69	1159.07	2319.15	995.0	2351.53	2287.2	928.3	2701.35	954.43	728.11	1639.59	1340.84	674.59	1259.69	1015.93	866.07	1350.18	1233.75	1044.52	1242.34	1286.18	2032.85	540.19	536.45	647.07	435.55	764.36	607.87	432.53	454.09	423.61	638.15	703.28	612.11	457.25	638.15	703.28	934.76	567.1	854.13	0.0	0.6
HTATSF1	1023.0	1407.55	1857.6	1331.57	1268.46	1044.52	1277.29	1242.34	1407.55	825.0	1127.35	1313.23	1037.29	967.76	1268.46	1447.15	2796.65	1044.52	1427.22	1991.0	1498.22	961.07	2303.12	1250.98	1359.57	2701.35	1059.11	1457.23	1923.14	1268.46	1023.0	1733.13	1594.73	1044.52	1331.57	1794.29	896.64	438.59	480.04	483.38	441.64	348.71	255.0	460.44	358.54	432.53	368.65	392.44	470.14	470.14	435.55	384.34	358.54	325.29	1286.18	145.02
IDH3G	1167.14	1594.73	1331.57	961.07	1277.29	1313.23	1794.29	902.89	1447.15	961.07	1407.55	1081.39	2520.38	995.0	1225.22	836.53	915.51	1044.52	1111.82	1950.0	1111.82	848.22	1159.07	1594.73	1259.69	941.27	1143.1	1242.34	1529.73	780.44	1030.12	1322.37	1104.13	759.08	1529.73	1081.39	1001.93	808.0	860.08	698.41	961.07	780.44	1111.82	713.11	718.08	866.07	748.61	842.36	848.22	890.44	808.0	738.29	616.37	579.04	0.0	0.93
IL19	14.56	0.0	616.37	1.53	0.72	1.06	3.56	0.0	2.34	0.0	0.0	1.3	38.95	97.36	72.52	1.75	8.19	10.71	39.79	4.39	2.25	56.28	0.38	8.65	0.0	8.25	4.35	1508.65	1.6	97.36	13.62	0.0	38.67	1.57	0.0	145.02	3.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09
INPP4A	218.79	94.01	244.57	195.72	194.36	169.07	152.28	101.54	140.04	95.34	120.1	135.24	167.9	202.66	151.22	116.78	253.23	193.01	224.97	176.29	208.38	229.72	260.38	143.01	137.14	156.59	134.3	260.38	129.69	173.85	193.01	111.99	178.77	239.52	202.66	224.97	114.36	70.51	63.45	65.26	44.57	20.86	43.32	41.81	32.82	35.76	40.36	43.02	61.25	39.5	63.45	38.4	22.75	20.86	0.0	0.6
IRAK1	1304.15	954.43	2468.49	1151.06	2163.77	954.43	1407.55	1407.55	1639.59	1233.75	1008.9	1051.79	3039.3	1369.04	1870.53	1651.0	2075.59	2047.0	1857.6	1427.22	2895.31	848.22	1806.78	2061.24	1322.37	1378.57	884.29	2178.83	1844.76	1199.98	981.29	728.11	1477.58	1340.84	1331.57	1331.57	1769.57	693.58	529.06	518.15	579.04	559.28	947.83	381.68	460.44	629.35	444.72	514.56	607.87	693.58	909.17	748.61	371.22	842.36	0.0	0.83
KCNJ6	1.77	2.41	4.58	0.65	111.21	0.38	3.32	0.62	1.71	2.16	0.0	0.0	34.26	13.72	206.94	0.39	4.43	0.0	1.07	9.27	1.31	185.11	16.88	0.66	0.62	18.7	1.14	28.45	0.67	3.11	0.66	8.13	0.0	102.25	138.1	70.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	1.58	1.97	0.0	0.0	0.0	0.0	0.0
KIAA1279	638.15	825.0	642.59	435.55	796.86	785.88	708.18	802.41	651.58	620.67	559.28	514.56	848.22	587.13	409.15	842.36	583.07	764.36	934.76	616.37	483.38	1427.22	934.76	708.18	559.28	759.08	514.56	387.02	629.35	1008.9	830.75	511.0	961.07	1208.34	872.1	703.28	532.74	199.85	170.25	197.09	150.17	122.64	107.38	199.85	147.06	170.25	198.47	220.32	169.07	132.44	234.57	154.42	91.41	100.13	0.0	0.0
KIAA1549	105.89	67.12	138.1	149.12	115.16	46.18	87.03	41.52	47.84	55.1	110.43	63.45	83.45	115.97	102.97	49.56	113.56	42.41	107.38	96.01	144.01	253.23	190.34	51.71	78.89	74.06	37.05	63.0	75.11	80.57	63.89	45.85	66.65	228.13	64.8	123.5	48.87	14.45	4.7	6.16	3.59	0.82	2.86	9.41	2.53	3.32	4.66	4.82	4.94	3.79	7.22	4.9	5.96	3.63	0.0	0.27
LEMD3	237.86	242.88	318.57	220.32	246.28	195.72	265.87	208.38	334.46	205.5	299.25	178.77	291.04	348.71	314.17	325.29	346.29	224.97	237.86	209.84	1167.14	511.0	260.38	215.77	166.73	269.6	143.01	262.2	281.09	271.48	285.03	307.69	450.94	309.83	236.21	177.53	169.07	109.66	143.01	122.64	112.77	77.79	63.89	102.25	118.43	103.69	150.17	120.94	129.69	82.29	152.28	114.36	60.39	108.9	0.0	0.59
LETM2	59.97	53.19	76.17	521.76	173.85	101.54	76.71	93.35	15.91	124.37	182.55	154.42	94.01	72.01	173.85	50.98	75.64	109.66	237.86	73.03	100.83	595.34	189.02	82.87	63.45	1617.0	55.49	397.93	33.54	175.07	33.78	61.68	35.0	1498.22	180.02	1561.89	103.69	10.47	25.35	7.17	14.67	17.25	7.57	14.35	5.59	6.67	3.66	5.28	10.63	14.35	12.64	10.24	2.43	9.2	0.0	0.46
LHFPL5	0.0	0.0	0.4	34.75	74.58	3.2	0.0	2.16	20.86	11.3	0.0	4.82	1.01	0.0	38.12	0.0	2.46	0.0	102.97	1.19	63.0	24.11	22.59	1.62	3.89	27.64	0.0	29.48	0.0	0.37	1.62	4.98	0.0	103.69	28.45	52.82	4.31	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13
LMO3	78.34	10.16	21.94	253.23	148.09	4.21	5.32	22.1	248.0	19.25	26.67	22.75	22.75	9.2	37.59	30.34	128.79	36.79	27.25	7.51	69.03	47.17	94.01	9.93	18.7	281.09	34.02	2163.77	87.03	2.51	56.28	18.84	11.55	105.89	356.05	33.54	6.01	5.45	12.93	1.1	6.01	2.25	6.16	13.32	0.0	6.52	0.96	3.69	3.41	2.43	5.41	8.85	0.1	1.66	0.0	0.43
LSM11	47.84	34.02	65.72	42.71	43.94	44.57	36.27	42.71	39.5	35.5	69.03	41.52	79.45	46.84	38.67	35.0	60.82	37.05	80.57	46.84	66.65	80.57	38.67	38.12	30.56	55.1	48.87	78.34	38.95	74.58	40.93	55.1	63.0	59.97	43.94	58.3	23.08	12.83	19.68	13.32	14.03	10.31	12.0	14.24	10.16	22.26	7.11	12.18	18.97	10.16	16.15	14.78	6.62	6.57	0.0	0.21
MADD	915.51	718.08	753.83	638.15	1183.45	543.96	748.61	420.68	688.78	381.68	647.07	277.2	688.78	511.0	1044.52	392.44	599.49	579.04	921.88	346.29	1135.2	1023.0	1268.46	743.43	500.46	954.43	392.44	665.29	392.44	915.51	239.52	473.41	733.19	1991.0	974.5	1001.93	575.03	198.47	307.69	236.21	178.77	197.09	193.01	248.0	185.11	201.25	152.28	249.73	255.0	218.79	343.89	220.32	123.5	46.84	0.0	0.8
MAPK8IP1	387.02	161.02	173.85	341.51	1304.15	336.79	143.01	141.02	87.65	178.77	190.34	93.35	406.31	158.79	738.29	104.42	232.94	148.09	796.86	234.57	769.69	346.29	830.75	175.07	420.68	791.35	100.83	483.38	101.54	497.0	85.82	181.28	74.06	1745.2	753.83	1259.69	299.25	98.73	71.0	93.35	75.64	114.36	128.79	70.01	80.57	107.38	75.11	101.54	96.01	81.14	117.6	113.56	95.34	74.58	0.0	0.39
MARCH4	1.41	5.77	5.5	126.12	71.0	3.08	1.01	0.62	4.62	1.77	8.85	1.6	21.78	1.04	647.07	0.73	19.25	0.36	55.1	6.16	55.49	149.12	3.06	0.35	0.61	125.24	4.7	559.28	2.84	6.31	2.48	0.68	7.06	246.28	2.07	38.67	0.32	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0
MDM1	228.13	191.67	166.73	351.14	205.5	183.82	212.78	255.0	241.19	123.5	239.52	217.27	221.86	206.94	356.05	133.36	327.56	237.86	170.25	98.04	1030.12	253.23	220.32	142.01	206.94	476.71	197.09	201.25	204.07	273.37	134.3	205.5	426.57	314.17	183.82	251.48	126.12	75.11	104.42	48.18	63.0	30.34	26.1	43.02	21.47	81.71	23.59	50.98	65.26	58.71	36.53	49.56	21.01	23.25	0.0	0.21
MECP2	460.44	395.18	941.27	426.57	441.64	679.29	366.09	293.07	629.35	395.18	414.87	287.01	599.49	293.07	493.56	397.93	583.07	417.77	348.71	698.41	543.96	309.83	403.5	373.81	460.44	423.61	395.18	497.0	463.65	607.87	314.17	563.18	291.04	412.0	454.09	629.35	457.25	193.01	327.56	228.13	287.01	211.31	271.48	187.71	309.83	260.38	303.44	265.87	255.0	277.2	358.54	277.2	327.56	318.57	299.25	1167.14
MPP3	226.54	131.51	138.1	579.04	379.04	215.77	118.43	114.36	74.58	100.83	178.77	234.57	212.78	169.07	351.14	162.14	148.09	246.28	283.05	63.89	438.59	301.33	346.29	193.01	186.4	158.79	75.64	733.19	126.12	255.0	136.19	106.63	145.02	656.11	363.56	305.55	211.31	46.18	27.64	20.11	13.03	5.5	7.22	25.91	16.15	14.78	6.41	43.63	16.63	10.24	16.88	13.03	6.26	48.87	0.0	0.8
NAA10	1896.65	2434.5	2287.2	1617.0	2351.53	1540.37	1498.22	1674.06	1745.2	1757.34	1745.2	1936.53	4704.07	1322.37	2255.7	2451.44	2417.67	2720.15	2739.08	3103.19	2468.49	1331.57	1870.53	2485.67	2417.67	1896.65	1721.16	3103.19	2796.65	3540.14	1685.71	2032.85	2384.37	1447.15	1794.29	3039.3	1529.73	1191.69	1369.04	1044.52	1295.13	1295.13	1721.16	1350.18	1159.07	1304.15	1340.84	1277.29	1250.98	1467.37	1437.15	1250.98	1001.93	1340.84	0.0	1.07
NAPB	193.01	46.5	120.1	387.02	785.88	125.24	236.21	204.07	115.16	81.14	215.77	73.54	193.01	185.11	718.08	126.12	136.19	120.94	669.92	99.43	486.75	1991.0	802.41	79.45	100.13	698.41	197.09	607.87	97.36	363.56	96.01	80.01	236.21	1583.71	669.92	909.17	117.6	63.89	71.0	60.39	45.85	43.63	37.32	57.89	52.08	62.12	62.56	62.12	100.83	42.41	52.82	39.79	37.85	33.54	0.0	0.54
NAT10	796.86	698.41	684.02	708.18	660.68	718.08	921.88	532.74	854.13	896.64	995.0	603.67	842.36	819.3	563.18	607.87	698.41	1066.48	1015.93	796.86	1015.93	1096.5	878.17	934.76	1015.93	825.0	915.51	4903.87	703.28	1467.37	567.1	708.18	759.08	2004.85	679.29	1088.92	543.96	301.33	348.71	371.22	351.14	281.09	275.28	291.04	341.51	323.03	343.89	258.57	318.57	258.57	403.5	260.38	180.02	540.19	0.0	0.37
NDUFA5	1143.1	1844.76	2075.59	2351.53	1583.71	1870.53	1551.09	1457.23	1015.93	2133.97	2319.15	1870.53	2104.58	1159.07	2047.0	1467.37	2485.67	1477.58	2193.99	1081.39	1529.73	3614.55	2163.77	1135.2	1250.98	2032.85	1819.35	1794.29	1936.53	1857.6	2047.0	3303.0	1277.29	2835.7	2303.12	2400.97	1250.98	1437.15	1350.18	1388.16	1359.57	1250.98	1059.11	1572.76	1175.27	1378.57	1757.34	1277.29	1561.89	1322.37	1111.82	1467.37	1529.73	1216.75	0.0	0.56
NKX2-5	1.43	0.0	0.0	0.35	0.0	0.0	3.32	0.0	0.0	1.1	0.0	0.0	1.6	0.0	0.37	3.17	0.38	6.94	0.0	1.16	1.0	21.78	0.39	52.45	0.0	7.51	0.4	253.23	0.0	53.57	0.0	1.03	0.0	70.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.66	0.0	0.0	0.26
NOVA1	595.34	85.82	21.47	1073.91	743.43	8.65	173.85	103.69	15.11	138.1	116.78	38.95	698.41	299.25	36.01	46.18	1340.84	62.12	1051.79	102.25	12.74	1447.15	1639.59	48.18	204.07	2209.26	193.01	1781.89	127.89	167.9	563.18	89.51	135.24	6250.56	884.29	2609.3	11.04	12.09	19.97	20.41	7.0	7.22	5.5	14.89	6.46	14.78	4.86	6.67	11.55	6.78	5.92	18.43	11.04	0.0	0.0	0.38
NUP107	447.82	624.99	497.0	629.35	371.22	269.6	551.56	612.11	591.22	351.14	500.46	616.37	638.15	521.76	860.08	503.95	603.67	511.0	575.03	392.44	3467.27	785.88	291.04	466.88	406.31	791.35	547.75	567.1	470.14	854.13	514.56	529.06	1001.93	674.59	348.71	444.72	260.38	127.0	176.29	140.04	175.07	112.77	94.67	110.43	115.16	121.79	157.68	125.24	163.28	126.12	191.67	96.68	81.14	595.34	0.0	0.65
OFD1	490.14	387.02	796.86	775.05	854.13	708.18	206.94	412.0	473.41	595.34	743.43	318.57	620.67	218.79	1378.57	92.7	325.29	620.67	441.64	307.69	1111.82	532.74	571.05	351.14	353.59	1628.26	620.67	387.02	486.75	967.76	264.03	1096.5	563.18	480.04	995.0	909.17	480.04	190.34	267.73	111.99	246.28	182.55	23.59	187.71	125.24	136.19	197.09	199.85	175.07	132.44	171.45	94.01	75.11	180.02	0.0	0.72
