	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.49.4510.01A.01R.1206.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.97.A4M3.01A.11R.A24X.07	TCGA.86.A4JF.01A.11R.A24X.07	TCGA.35.3615.01A.01R.0946.07	TCGA.91.6849.01A.11R.1949.07	TCGA.86.8281.01A.11R.2287.07	TCGA.62.8397.01A.11R.2326.07	TCGA.67.6215.01A.11R.1755.07	TCGA.80.5608.01A.31R.1949.07	TCGA.50.8460.01A.11R.2326.07	TCGA.44.2655.01A.01R.0946.07	TCGA.49.4486.01A.01R.1206.07	TCGA.49.4506.01A.01R.1206.07	TCGA.73.4677.01A.01R.1206.07	TCGA.64.5774.01A.01R.1628.07	TCGA.78.7537.01A.11R.2066.07	TCGA.49.4494.01A.01R.1206.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.NJ.A7XG.01A.12R.A39D.07	GTEX.Y5V6.0226.SM.4V6G7	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.11DXX.0626.SM.5Q5AG	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.11DXZ.0726.SM.5N9C4	GTEX.13CF3.0426.SM.5IJEU	GTEX.QDVN.0726.SM.4B64L	GTEX.11EQ9.0226.SM.5A5JX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.XYKS.0526.SM.4BRW2	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.111CU.0326.SM.5GZXO	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.R55C.0526.SM.3GIKA	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.RWS6.0226.SM.2XCA9	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.139YR.0926.SM.5LZYB	GTEX.133LE.0526.SM.5N9EJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.YEC3.0226.SM.5IFJO	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.144GM.0126.SM.5Q5AX	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.WHPG.1426.SM.3NMBB	GTEX.P4QS.0526.SM.2I3ET	GTEX.1122O.0126.SM.5GICA	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.ZDTT.0926.SM.5J2MS	GTEX.PWOO.0726.SM.2I3EB	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.ZY6K.0326.SM.5SIBB	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8E4.0526.SM.4V6GC	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.RUSQ.0626.SM.2TF5V	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.13OVG.0326.SM.5KM57	GTEX.WYVS.0526.SM.3NM9W	TCGA.D7.6820.01A.11R.1884.13
MAML2	19.68	26.28	92.05	46.5	41.22	95.34	34.02	45.53	40.36	51.71	158.79	76.71	96.68	59.55	38.12	98.73	61.68	48.87	16.03	95.34	18.97	59.13	79.45	22.92	42.41	146.03	162.14	163.28	212.78	137.14	135.24	85.82	155.5	130.6	121.79	295.11	166.73	120.1	92.7	50.98	120.1	209.84	161.02	224.97	177.53	52.82	92.05	165.57	92.7	165.57	206.94	59.97	49.91	56.28	131.51	255.0	265.87	241.19	151.22	281.09	134.3	98.73	64.34	170.25	111.99	102.97	241.19	193.01	267.73	82.29	132.44	271.48	167.9	166.73	187.71	191.67	423.61	208.38	50.63	96.68	131.51	129.69	460.44	74.06	110.43	138.1	122.64	170.25	231.32	555.41	164.42	86.43	212.78	157.68	63.45	91.41	232.94	318.57	470.14	214.27	178.77	170.25	146.03	143.01	164.42	122.64	63.89	90.14	208.38	99.43	39.79	85.82	154.42	103.69	57.49	183.82	149.12	117.6	226.54	101.54	187.71	351.14	182.55	130.6	149.12	176.29	152.28	128.79	389.72	332.14	249.73	185.11	99.43	47.84
MTM1	102.97	57.89	65.72	62.56	81.14	180.02	42.71	99.43	88.88	77.25	135.24	232.94	166.73	212.78	148.09	95.34	134.3	71.0	28.04	129.69	103.69	88.26	52.82	120.1	80.57	156.59	314.17	267.73	397.93	262.2	314.17	140.04	242.88	256.78	392.44	480.04	299.25	217.27	183.82	183.82	327.56	361.04	301.33	316.37	341.51	127.89	346.29	379.04	363.56	334.46	159.9	183.82	130.6	271.48	262.2	607.87	551.56	457.25	325.29	323.03	295.11	297.17	244.57	248.0	368.65	260.38	325.29	289.02	450.94	223.41	575.03	426.57	460.44	420.68	409.15	343.89	301.33	463.65	111.99	194.36	351.14	305.55	406.31	217.27	217.27	239.52	384.34	201.25	232.94	414.87	320.8	264.03	373.81	432.53	101.54	204.07	325.29	426.57	218.79	400.71	232.94	460.44	403.5	204.07	323.03	366.09	166.73	279.14	309.83	312.0	111.21	293.07	253.23	323.03	162.14	244.57	339.14	264.03	361.04	356.05	373.81	356.05	358.54	305.55	236.21	285.03	343.89	371.22	450.94	587.13	381.68	327.56	285.03	164.42
NAPSA	17.0	5.45	33.78	18.56	73221.53	112532.89	47974.16	47974.16	56657.31	51775.15	54727.32	63302.6	73221.53	48982.22	33224.42	142439.51	51775.15	67846.12	493.56	61999.83	10014.87	80683.28	29736.59	30999.42	76330.98	50011.46	313910.86	610654.84	569761.05	408505.64	348306.01	373305.21	177811.84	177811.84	246289.25	365622.68	263966.36	408505.64	60723.88	140478.49	290865.98	345900.08	573724.06	305326.92	402881.61	220434.95	472513.8	242898.5	414208.18	443937.41	577714.63	164758.26	101420.22	267651.2	269512.87	251464.33	220434.95	397335.0	338781.54	248002.34	246289.25	290865.98	348306.01	153724.82	341137.96	383800.28	170568.48	282912.21	172949.54	400098.69	236256.4	309589.14	190574.09	218912.29	311742.51	368165.8	358098.26	400098.69	143430.26	244588.0	280957.98	350728.68	383800.28	440870.9	360589.03	115696.65	253213.41	425853.18	269512.87	169390.27	417089.23	358098.26	286861.53	275175.93	111755.56	254974.66	350728.68	345900.08	290865.98	341137.96	383800.28	211455.3	329517.51	368165.8	378516.38	262143.0	338781.54	209994.66	292889.12	469249.9	116501.39	513497.31	158046.64	456418.21	341137.96	309589.14	288856.81	253213.41	237899.7	313910.86	383800.28	198667.0	383800.28	506427.83	226632.25	431797.89	313910.86	375901.76	296977.71	116501.39	414208.18	263966.36	127486.83	2.53
PARD3B	1.66	1.31	14.03	5.82	43.02	92.05	24.81	68.07	23.93	41.52	65.72	58.3	52.82	45.53	48.18	55.1	54.33	26.47	6.31	37.05	11.55	47.17	15.34	13.42	43.32	45.85	208.38	132.44	204.07	102.97	77.25	45.53	64.34	167.9	138.1	303.44	136.19	67.12	15.11	30.12	141.02	181.28	163.28	130.6	111.99	34.51	55.1	155.5	125.24	102.97	66.65	12.18	63.0	73.54	94.67	309.83	167.9	166.73	108.14	244.57	53.57	78.34	93.35	52.45	119.26	66.18	145.02	127.89	201.25	54.72	170.25	214.27	327.56	172.65	103.69	133.36	138.1	183.82	23.59	68.07	94.01	96.01	170.25	36.79	77.25	18.56	148.09	112.77	135.24	575.03	95.34	76.71	167.9	182.55	10.71	156.59	112.77	262.2	151.22	221.86	84.04	198.47	105.15	42.71	125.24	136.19	35.76	76.17	143.01	61.25	15.68	127.0	87.65	57.89	10.55	52.82	99.43	90.77	178.77	120.94	117.6	242.88	154.42	74.58	60.39	88.26	147.06	111.99	242.88	339.14	100.13	223.41	38.4	79.45
PDZD2	67.59	40.64	14.14	31.45	92.05	161.02	153.34	135.24	54.33	136.19	194.36	107.38	89.51	53.19	104.42	111.99	108.14	173.85	26.67	204.07	10.63	246.28	14.03	19.25	92.05	137.14	563.18	470.14	1066.48	728.11	1037.29	258.57	136.19	961.07	674.59	1832.01	842.36	277.2	40.07	136.19	808.0	1259.69	660.68	1378.57	450.94	121.79	941.27	1397.83	684.02	307.69	163.28	110.43	41.81	529.06	547.75	728.11	1529.73	1923.14	743.43	1628.26	660.68	1259.69	339.14	82.29	392.44	283.05	1322.37	435.55	2451.44	409.15	1674.06	2502.97	2915.45	718.08	551.56	878.17	802.41	1322.37	57.49	161.02	684.02	698.41	1397.83	197.09	521.76	103.69	1159.07	995.0	1073.91	1199.98	463.65	633.73	1583.71	1407.55	51.71	218.79	713.11	1457.23	703.28	1870.53	271.48	785.88	563.18	759.08	638.15	764.36	226.54	297.17	808.0	555.41	54.33	1378.57	260.38	279.14	105.15	305.55	688.78	426.57	1529.73	476.71	941.27	1322.37	909.17	830.75	229.72	1529.73	1437.15	808.0	2148.82	1794.29	1397.83	896.64	106.63	15.8
PIK3R1	53.19	229.72	79.45	50.98	197.09	256.78	96.01	202.66	157.68	258.57	295.11	228.13	242.88	312.0	190.34	309.83	181.28	151.22	82.87	264.03	157.68	301.33	244.57	177.53	291.04	346.29	981.29	316.37	1096.5	525.39	703.28	277.2	473.41	1819.35	547.75	825.0	813.63	351.14	253.23	656.11	493.56	429.54	624.99	351.14	728.11	490.14	363.56	748.61	414.87	1111.82	189.02	395.18	166.73	228.13	802.41	1199.98	1037.29	470.14	397.93	1883.54	281.09	1617.0	470.14	400.71	373.81	348.71	753.83	896.64	921.88	246.28	518.15	748.61	780.44	819.3	381.68	1259.69	1135.2	688.78	120.1	301.33	796.86	995.0	473.41	555.41	237.86	420.68	1008.9	371.22	872.1	1883.54	728.11	1119.56	753.83	934.76	197.09	109.66	651.58	1427.22	241.19	1015.93	211.31	1001.93	351.14	651.58	961.07	1104.13	318.57	368.65	642.59	624.99	116.78	1233.75	262.2	599.49	366.09	884.29	780.44	318.57	1175.27	769.69	703.28	981.29	532.74	1030.12	525.39	265.87	1340.84	1059.11	525.39	1769.57	896.64	693.58	215.77	167.9
PLCL1	7.69	7.0	8.78	4.78	23.59	22.43	7.51	14.14	8.58	11.13	23.42	14.67	31.67	8.38	9.13	19.82	13.52	8.92	4.78	17.0	15.11	17.77	5.02	9.63	11.64	3.99	96.01	93.35	96.01	60.39	78.34	22.75	45.53	65.26	82.29	154.42	65.72	22.92	16.39	30.34	66.18	158.79	70.51	96.68	44.89	11.47	53.57	77.25	55.1	80.57	19.53	59.97	11.21	44.57	47.5	125.24	137.14	88.88	73.03	70.01	52.45	48.52	38.4	53.57	111.99	37.85	134.3	60.39	163.28	24.99	95.34	144.01	236.21	52.45	73.03	52.08	50.98	102.25	5.23	49.21	64.34	35.25	90.77	17.25	40.64	18.03	87.03	46.18	52.08	209.84	62.56	72.01	143.01	119.26	7.63	28.24	87.65	143.01	55.89	131.51	61.25	95.34	85.82	53.95	73.54	65.26	14.67	77.79	82.87	50.63	11.47	71.5	35.76	59.97	8.38	39.22	73.54	59.97	98.73	39.79	76.17	167.9	65.26	69.52	31.67	55.89	120.1	66.65	82.87	176.29	70.01	140.04	29.48	14.35
PLSCR4	15.56	71.0	40.36	126.12	208.38	170.25	54.33	197.09	208.38	135.24	232.94	137.14	122.64	156.59	88.88	277.2	242.88	83.45	59.97	178.77	72.52	86.43	74.58	109.66	161.02	125.24	1167.14	836.53	921.88	403.5	361.04	215.77	371.22	808.0	785.88	1295.13	476.71	612.11	209.84	559.28	379.04	518.15	603.67	500.46	878.17	211.31	397.93	368.65	660.68	400.71	343.89	218.79	555.41	441.64	332.14	1322.37	1295.13	587.13	583.07	486.75	363.56	473.41	312.0	318.57	529.06	283.05	954.43	974.5	599.49	198.47	896.64	836.53	1088.92	669.92	536.45	603.67	1540.37	493.56	136.19	426.57	366.09	543.96	555.41	198.47	620.67	199.85	463.65	860.08	336.79	1088.92	518.15	514.56	547.75	656.11	144.01	543.96	748.61	1359.57	860.08	587.13	563.18	1081.39	514.56	283.05	579.04	638.15	201.25	607.87	297.17	878.17	256.78	220.32	555.41	480.04	180.02	738.29	511.0	525.39	595.34	241.19	1250.98	947.83	819.3	348.71	507.46	583.07	567.1	320.8	842.36	1561.89	656.11	928.3	265.87	42.11
PLXDC2	438.59	156.59	237.86	33.06	144.01	134.3	67.12	221.86	202.66	166.73	289.02	191.67	283.05	316.37	137.14	273.37	155.5	41.22	96.01	159.9	152.28	180.02	165.57	291.04	163.28	75.11	1015.93	612.11	1119.56	329.84	642.59	208.38	723.08	934.76	450.94	1199.98	339.14	460.44	105.15	351.14	373.81	532.74	463.65	480.04	607.87	258.57	426.57	368.65	616.37	511.0	108.14	341.51	202.66	234.57	285.03	633.73	890.44	884.29	624.99	698.41	567.1	444.72	432.53	860.08	373.81	379.04	656.11	1733.13	511.0	271.48	728.11	1015.93	718.08	483.38	1030.12	521.76	988.12	769.69	95.34	633.73	373.81	486.75	909.17	327.56	371.22	718.08	441.64	463.65	559.28	1030.12	457.25	454.09	629.35	866.07	307.69	583.07	728.11	1023.0	332.14	476.71	688.78	713.11	842.36	376.41	603.67	738.29	435.55	267.73	603.67	591.22	518.15	457.25	287.01	514.56	212.78	954.43	536.45	400.71	587.13	674.59	567.1	1331.57	1175.27	665.29	361.04	555.41	470.14	603.67	1277.29	825.0	679.29	540.19	414.87	50.27
PRKD1	7.51	4.9	9.63	3.44	35.76	42.71	8.85	30.56	29.27	39.22	47.84	29.48	118.43	96.01	86.43	108.14	92.05	32.82	9.7	32.13	30.34	31.0	40.93	50.27	36.27	67.12	301.33	256.78	358.54	148.09	265.87	133.36	218.79	624.99	303.44	480.04	307.69	120.1	84.04	148.09	221.86	420.68	371.22	186.4	234.57	139.07	262.2	312.0	397.93	265.87	41.22	119.26	64.8	212.78	305.55	329.84	575.03	511.0	299.25	463.65	108.9	373.81	133.36	76.17	273.37	106.63	571.05	265.87	486.75	63.0	358.54	579.04	379.04	316.37	255.0	483.38	212.78	753.83	29.48	98.04	146.03	417.77	447.82	115.16	133.36	108.14	293.07	185.11	529.06	341.51	204.07	291.04	189.02	423.61	76.17	141.02	299.25	281.09	115.97	400.71	94.67	327.56	177.53	127.0	208.38	329.84	154.42	223.41	185.11	444.72	112.77	186.4	80.57	175.07	138.1	202.66	135.24	260.38	420.68	136.19	162.14	607.87	220.32	195.72	223.41	231.32	395.18	361.04	466.88	356.05	260.38	379.04	80.57	13.32
PTPN21	50.98	74.58	20.41	131.51	91.41	173.85	61.25	130.6	41.81	108.9	106.63	164.42	102.97	72.01	24.28	76.17	127.89	108.9	26.28	201.25	15.68	110.43	35.76	40.93	125.24	85.82	1081.39	480.04	759.08	438.59	518.15	412.0	234.57	866.07	647.07	1697.45	825.0	224.97	107.38	218.79	1051.79	1331.57	743.43	909.17	460.44	295.11	579.04	791.35	543.96	532.74	221.86	162.14	111.99	620.67	579.04	884.29	728.11	665.29	551.56	1096.5	339.14	679.29	229.72	368.65	454.09	273.37	759.08	540.19	1286.18	264.03	1073.91	1143.1	2075.59	547.75	532.74	728.11	454.09	1051.79	108.9	358.54	579.04	679.29	1304.15	320.8	480.04	169.07	688.78	368.65	728.11	1340.84	642.59	417.77	825.0	1199.98	109.66	305.55	620.67	1037.29	297.17	1008.9	438.59	819.3	521.76	358.54	665.29	620.67	279.14	591.22	559.28	497.0	98.04	567.1	409.15	363.56	123.5	329.84	518.15	718.08	884.29	281.09	423.61	723.08	620.67	571.05	587.13	500.46	902.89	567.1	642.59	941.27	514.56	848.22	158.79	76.71
RAI2	12.09	10.31	22.43	6.31	141.02	123.5	37.32	198.47	55.89	79.45	82.29	127.0	122.64	53.95	76.17	242.88	118.43	139.07	28.45	114.36	45.85	126.12	35.25	55.1	122.64	154.42	1216.75	830.75	1340.84	368.65	808.0	246.28	301.33	860.08	1037.29	2018.8	665.29	195.72	126.12	395.18	775.05	2148.82	1208.34	679.29	1023.0	193.01	866.07	1397.83	878.17	902.89	131.51	155.5	251.48	493.56	647.07	1242.34	1096.5	1407.55	460.44	902.89	961.07	1159.07	441.64	170.25	713.11	438.59	1487.87	1073.91	1909.85	476.71	1331.57	2119.22	1233.75	941.27	587.13	1127.35	575.03	1216.75	103.69	351.14	703.28	1350.18	616.37	417.77	295.11	334.46	1572.76	591.22	723.08	974.5	967.76	642.59	802.41	1331.57	62.56	447.82	1697.45	1015.93	236.21	1733.13	361.04	1529.73	921.88	208.38	738.29	1183.45	214.27	1081.39	1143.1	1023.0	220.32	1096.5	587.13	466.88	110.43	249.73	995.0	540.19	1437.15	426.57	909.17	1508.65	785.88	866.07	414.87	329.84	1088.92	551.56	1369.04	995.0	423.61	1519.15	77.25	103.69
RANBP3L	0.34	0.34	2.07	0.49	10.88	8.85	1.23	4.74	0.69	2.92	3.56	6.16	7.0	2.12	3.11	23.25	8.78	2.18	0.84	4.62	1.69	2.29	1.57	1.03	4.1	1.04	118.43	32.82	46.18	38.95	11.13	3.0	41.52	75.11	7.34	108.9	53.57	60.82	8.13	15.11	21.63	37.85	29.91	22.75	78.34	34.75	58.3	65.26	34.51	56.28	0.05	18.16	1.43	14.89	18.16	161.02	108.9	93.35	45.85	77.25	21.01	52.45	21.94	25.35	32.82	18.97	140.04	59.13	309.83	28.24	64.8	70.51	92.05	71.5	62.12	54.33	5.63	48.18	0.82	36.27	48.52	24.63	20.26	4.21	29.27	9.85	89.51	8.51	12.0	88.26	35.25	28.65	107.38	92.7	36.79	42.41	14.89	82.87	11.82	45.85	43.94	114.36	51.35	8.58	41.52	29.7	52.82	50.27	14.67	45.85	19.39	11.3	34.02	20.86	9.48	124.37	48.87	6.21	107.38	14.67	57.08	42.41	51.71	68.55	8.45	88.26	78.34	74.58	34.51	90.14	20.41	55.1	14.89	0.0
RNF38	93.35	93.35	118.43	123.5	158.79	226.54	154.42	283.05	191.67	182.55	161.02	237.86	220.32	220.32	295.11	228.13	150.17	72.52	63.89	237.86	253.23	239.52	93.35	283.05	232.94	176.29	438.59	450.94	521.76	353.59	470.14	163.28	215.77	665.29	493.56	753.83	389.72	327.56	177.53	217.27	473.41	571.05	466.88	511.0	444.72	162.14	470.14	473.41	444.72	389.72	295.11	262.2	187.71	295.11	291.04	633.73	718.08	493.56	525.39	723.08	361.04	358.54	299.25	255.0	356.05	366.09	651.58	438.59	981.29	277.2	599.49	872.1	1159.07	559.28	323.03	412.0	511.0	470.14	189.02	241.19	441.64	403.5	536.45	258.57	414.87	234.57	543.96	417.77	343.89	1119.56	387.02	406.31	698.41	624.99	122.64	208.38	559.28	728.11	529.06	651.58	258.57	536.45	366.09	314.17	483.38	460.44	231.32	339.14	454.09	379.04	156.59	353.59	435.55	332.14	119.26	264.03	366.09	316.37	579.04	371.22	607.87	708.18	583.07	392.44	339.14	312.0	599.49	361.04	616.37	909.17	540.19	587.13	208.38	269.6
ROR1	1.62	1.62	1.93	4.66	15.11	28.45	9.06	14.24	25.17	6.73	25.54	22.75	30.34	19.53	21.94	23.59	16.39	3.06	5.36	13.72	8.65	28.45	21.63	13.52	23.76	5.96	303.44	483.38	503.95	119.26	571.05	285.03	497.0	575.03	246.28	684.02	571.05	169.07	202.66	98.04	466.88	463.65	218.79	269.6	120.1	123.5	103.69	348.71	299.25	559.28	122.64	161.02	93.35	127.0	373.81	934.76	679.29	277.2	103.69	514.56	36.01	486.75	208.38	307.69	242.88	460.44	303.44	138.1	463.65	55.49	620.67	301.33	1477.58	429.54	251.48	444.72	190.34	379.04	25.54	103.69	186.4	283.05	229.72	27.84	305.55	187.71	180.02	150.17	633.73	166.73	414.87	215.77	409.15	490.14	37.32	46.5	133.36	518.15	651.58	665.29	139.07	318.57	158.79	441.64	753.83	223.41	138.1	220.32	226.54	316.37	32.59	490.14	62.56	226.54	128.79	529.06	155.5	309.83	511.0	371.22	273.37	303.44	320.8	176.29	138.1	117.6	249.73	620.67	231.32	480.04	281.09	202.66	183.82	62.12
SCN7A	0.0	0.0	0.0	0.0	106.63	72.01	4.74	90.77	10.39	23.08	76.71	74.58	96.68	24.81	28.65	115.97	60.39	25.54	2.86	100.83	14.45	6.26	11.47	22.26	49.91	19.68	1605.83	1059.11	1277.29	205.5	1015.93	221.86	126.12	2090.03	476.71	2209.26	1322.37	64.8	12.74	473.41	567.1	1127.35	928.3	406.31	780.44	283.05	563.18	1088.92	1051.79	389.72	4.24	39.5	68.07	271.48	599.49	5329.3	1963.57	1447.15	303.44	2682.69	279.14	2935.74	409.15	24.46	629.35	60.39	2224.63	1127.35	3395.89	140.04	1208.34	1175.27	5555.65	1674.06	353.59	1651.0	249.73	1721.16	14.03	72.52	974.5	1030.12	567.1	239.52	138.1	76.17	1857.6	191.67	543.96	759.08	599.49	353.59	902.89	1883.54	7.82	60.39	698.41	1322.37	132.44	2537.92	110.43	1529.73	555.41	171.45	1143.1	759.08	81.71	353.59	796.86	563.18	13.52	414.87	148.09	420.68	22.1	435.55	1561.89	334.46	3190.46	684.02	444.72	1277.29	175.07	718.08	153.34	180.02	1697.45	854.13	1175.27	1295.13	293.07	674.59	20.11	0.71
SH3D19	98.73	156.59	31.0	366.09	426.57	563.18	194.36	543.96	409.15	426.57	412.0	507.46	633.73	450.94	309.83	497.0	638.15	253.23	98.73	571.05	363.56	320.8	420.68	314.17	536.45	400.71	1277.29	1295.13	1378.57	1233.75	1081.39	400.71	684.02	1167.14	1135.2	1721.16	902.89	728.11	303.44	651.58	1417.35	1487.87	1651.0	872.1	1378.57	447.82	1030.12	1111.82	1233.75	1268.46	373.81	463.65	387.02	571.05	830.75	1467.37	1583.71	1183.45	928.3	1639.59	1015.93	1023.0	642.59	497.0	1191.69	620.67	1277.29	1350.18	1674.06	830.75	1628.26	1617.0	1073.91	1794.29	928.3	1119.56	624.99	1733.13	277.2	708.18	1259.69	1295.13	934.76	842.36	656.11	536.45	1457.23	928.3	1617.0	1529.73	1096.5	738.29	1175.27	1369.04	316.37	718.08	1457.23	2004.85	842.36	1242.34	738.29	1651.0	1216.75	447.82	967.76	1529.73	624.99	1015.93	1030.12	1044.52	447.82	890.44	921.88	703.28	361.04	995.0	1628.26	909.17	1044.52	769.69	1529.73	1242.34	813.63	1175.27	665.29	1023.0	1015.93	974.5	1259.69	2163.77	624.99	1721.16	518.15	273.37
SLIT2	5.82	10.24	12.09	38.4	59.97	105.15	12.09	102.25	25.91	52.82	61.68	88.26	74.58	66.18	41.22	119.26	104.42	31.67	45.53	88.26	40.64	145.02	26.1	43.32	87.65	26.67	860.08	769.69	1572.76	470.14	769.69	255.0	559.28	2255.7	1008.9	2895.31	1191.69	226.54	46.5	353.59	967.76	616.37	813.63	1015.93	759.08	493.56	507.46	941.27	848.22	361.04	68.07	199.85	277.2	507.46	559.28	1331.57	1757.34	866.07	808.0	1508.65	361.04	878.17	420.68	211.31	988.12	100.83	1709.26	1051.79	1378.57	291.04	830.75	708.18	1304.15	728.11	1216.75	1457.23	536.45	2178.83	88.26	518.15	457.25	884.29	825.0	176.29	748.61	325.29	1208.34	351.14	1487.87	921.88	599.49	435.55	607.87	1991.0	101.54	463.65	599.49	902.89	305.55	1119.56	320.8	1208.34	738.29	198.47	1044.52	583.07	181.28	603.67	532.74	802.41	173.85	825.0	303.44	536.45	154.42	480.04	334.46	423.61	1030.12	376.41	551.56	1794.29	708.18	351.14	175.07	624.99	743.43	616.37	1304.15	1183.45	223.41	785.88	161.02	5.63
STARD13	20.71	29.27	28.24	28.45	47.17	85.22	17.25	50.63	90.14	59.55	76.17	44.25	44.89	29.27	42.11	61.25	48.87	61.68	51.35	108.9	51.35	38.4	37.59	38.67	57.89	36.27	447.82	579.04	514.56	171.45	177.53	122.64	152.28	583.07	275.28	954.43	409.15	251.48	65.26	336.79	256.78	514.56	287.01	400.71	260.38	141.02	514.56	703.28	212.78	208.38	291.04	101.54	327.56	297.17	171.45	392.44	397.93	444.72	190.34	563.18	142.01	406.31	144.01	208.38	480.04	169.07	460.44	412.0	1447.15	175.07	397.93	571.05	842.36	373.81	303.44	406.31	318.57	529.06	190.34	135.24	417.77	460.44	379.04	194.36	256.78	127.0	441.64	312.0	212.78	363.56	420.68	231.32	579.04	753.83	76.71	151.22	341.51	547.75	379.04	507.46	299.25	603.67	246.28	279.14	244.57	301.33	193.01	229.72	224.97	127.89	64.8	260.38	132.44	204.07	61.68	232.94	223.41	256.78	583.07	242.88	242.88	595.34	199.85	244.57	684.02	277.2	457.25	361.04	490.14	961.07	208.38	460.44	122.64	52.45
