	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13O61.1226.SM.5KM21	TCGA.55.7815.01A.11R.2170.07	TCGA.55.7727.01A.11R.2170.07	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.2656.01A.02R.A278.07	TCGA.55.7725.01A.11R.2170.07	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	TCGA.BK.A26L.01A.11R.A277.07
MAEA	713.11	620.67	1183.45	698.41	748.61	575.03	403.5	1639.59	412.0	620.67	493.56	457.25	532.74	497.0	1015.93	1208.34	1073.91	1594.73	1250.98	1594.73	1191.69	884.29	1066.48	941.27	1242.34	1639.59	1322.37	1794.29	1313.23	1233.75	1242.34	1331.57	1259.69	1175.27	1225.22	454.09
MAP2K7	154.42	212.78	708.18	265.87	303.44	256.78	224.97	785.88	100.83	229.72	81.71	128.79	109.66	198.47	493.56	450.94	599.49	525.39	723.08	507.46	381.68	325.29	293.07	518.15	267.73	381.68	507.46	525.39	612.11	525.39	476.71	454.09	486.75	435.55	447.82	117.6
MBD3	132.44	271.48	2664.15	438.59	301.33	223.41	297.17	1135.2	90.14	253.23	81.71	193.01	66.18	175.07	1001.93	836.53	1561.89	995.0	1359.57	1304.15	497.0	397.93	273.37	928.3	351.14	624.99	995.0	1183.45	1295.13	947.83	902.89	1015.93	1111.82	1044.52	775.05	107.38
MED16	201.25	356.05	1359.57	312.0	312.0	224.97	147.06	698.41	58.3	163.28	24.81	94.67	35.5	155.5	511.0	703.28	1322.37	1001.93	878.17	1023.0	733.19	435.55	332.14	967.76	389.72	607.87	1447.15	1088.92	1498.22	1259.69	988.12	1008.9	1304.15	921.88	808.0	64.34
MED25	503.95	376.41	1923.14	511.0	368.65	316.37	435.55	1397.83	134.3	353.59	163.28	325.29	164.42	409.15	1844.76	1167.14	1572.76	1304.15	1594.73	1508.65	884.29	764.36	967.76	1519.15	915.51	1397.83	1628.26	1447.15	1477.58	1369.04	1001.93	1331.57	1651.0	1388.16	1191.69	665.29
MVB12A	432.53	503.95	2573.36	567.1	490.14	466.88	441.64	921.88	209.84	379.04	241.19	271.48	271.48	543.96	1059.11	764.36	2193.99	1073.91	1369.04	1233.75	1427.22	660.68	633.73	1417.35	1081.39	825.0	1617.0	1709.26	1733.13	1199.98	1286.18	1350.18	1794.29	1551.09	1605.83	511.0
MXD4	165.57	543.96	1572.76	629.35	450.94	320.8	332.14	1143.1	144.01	264.03	123.5	244.57	176.29	214.27	1757.34	764.36	775.05	967.76	1628.26	665.29	432.53	723.08	503.95	1051.79	624.99	1477.58	1030.12	1127.35	1250.98	1268.46	1322.37	1340.84	1286.18	808.0	981.29	139.07
NCDN	241.19	316.37	915.51	275.28	204.07	121.79	135.24	463.65	105.89	195.72	49.21	180.02	118.43	162.14	223.41	316.37	432.53	473.41	612.11	500.46	187.71	249.73	231.32	514.56	426.57	571.05	358.54	287.01	384.34	403.5	318.57	366.09	299.25	198.47	332.14	61.25
NECAB3	525.39	305.55	1277.29	277.2	223.41	153.34	215.77	1277.29	131.51	429.54	129.69	145.02	327.56	521.76	1350.18	429.54	842.36	660.68	607.87	866.07	624.99	400.71	353.59	974.5	480.04	607.87	651.58	995.0	819.3	981.29	791.35	961.07	775.05	981.29	780.44	180.02
NFKBIB	83.45	134.3	941.27	143.01	92.05	102.25	77.25	679.29	125.24	131.51	105.15	134.3	125.24	111.21	571.05	480.04	1350.18	728.11	733.19	974.5	447.82	301.33	376.41	967.76	217.27	473.41	872.1	890.44	848.22	708.18	660.68	764.36	878.17	759.08	775.05	125.24
NR1H2	559.28	587.13	2701.35	647.07	521.76	543.96	397.93	2645.74	226.54	287.01	264.03	334.46	334.46	371.22	2835.7	961.07	2240.11	1143.1	2997.45	1388.16	1359.57	665.29	665.29	1175.27	902.89	1378.57	1733.13	1757.34	1963.57	1572.76	1583.71	1721.16	1721.16	1605.83	1697.45	177.53
NUBP2	314.17	389.72	2997.45	406.31	297.17	202.66	208.38	1183.45	62.56	269.6	87.65	132.44	127.89	195.72	1175.27	915.51	1519.15	1191.69	1447.15	1369.04	860.08	656.11	412.0	1561.89	525.39	1127.35	1313.23	1286.18	1313.23	1081.39	1023.0	1605.83	1572.76	1159.07	1733.13	138.1
PGC	0.0	0.0	2.34	4.82	1.39	3.79	0.0	8046889.67	3168.41	3257.52	47.84	1001.93	1407.55	329.84	2729110.67	2310861.52	1535204.12	2310861.52	1212874.47	2310861.52	3200796.55	284880.02	1393227.06	1.011504819E7	1600397.78	5128124.01	1851161.35	1956711.0	2068278.89	5690009.96	2025714.3	2025714.3	2126426.15	4885245.74	2654482.97	18.56
PIGQ	265.87	323.03	1457.23	316.37	318.57	251.48	155.5	866.07	159.9	231.32	77.25	151.22	94.01	130.6	1073.91	536.45	1096.5	748.61	928.3	511.0	466.88	438.59	336.79	660.68	514.56	599.49	954.43	703.28	1175.27	780.44	642.59	629.35	819.3	543.96	559.28	180.02
PNPLA2	1369.04	2018.8	4512.4	4123.49	1457.23	2018.8	2417.67	5751.61	140.04	346.29	120.1	242.88	177.53	356.05	3665.02	2417.67	2895.31	3540.14	2777.33	4298.64	3325.99	1781.89	1923.14	2682.69	2271.4	3419.52	4152.18	4736.79	4903.87	4066.71	3280.18	2758.13	4181.07	3235.01	2627.46	329.84
POLR2E	764.36	1407.55	4869.99	1572.76	842.36	915.51	1844.76	2209.26	457.25	848.22	420.68	866.07	669.92	603.67	4358.66	1721.16	4512.4	2609.3	4769.75	3639.7	2855.44	2502.97	2319.15	3325.99	2255.7	2351.53	3168.41	4419.52	3467.27	2537.92	3168.41	3589.58	3874.05	4010.71	4704.07	503.95
PPP1R9B	172.65	500.46	961.07	295.11	202.66	229.72	204.07	497.0	281.09	497.0	157.68	438.59	389.72	389.72	457.25	723.08	1066.48	796.86	1066.48	748.61	409.15	490.14	470.14	743.43	409.15	769.69	532.74	555.41	684.02	660.68	599.49	802.41	743.43	480.04	591.22	201.25
PRPF31	575.03	669.92	2303.12	651.58	518.15	476.71	583.07	1135.2	567.1	638.15	417.77	728.11	529.06	660.68	1199.98	808.0	1388.16	1066.48	1331.57	934.76	684.02	723.08	769.69	836.53	988.12	854.13	1081.39	915.51	1008.9	813.63	842.36	1001.93	896.64	819.3	1066.48	1023.0
RABEP2	59.13	159.9	896.64	105.15	66.18	49.56	209.84	220.32	78.34	92.05	73.03	55.89	90.14	69.03	642.59	532.74	669.92	476.71	412.0	493.56	281.09	214.27	205.5	379.04	226.54	387.02	417.77	500.46	483.38	460.44	373.81	583.07	435.55	303.44	536.45	116.78
RALY	2240.11	1963.57	5255.91	2018.8	1572.76	1572.76	1651.0	2682.69	1216.75	2178.83	1819.35	2224.63	1733.13	2090.03	3794.3	1963.57	4268.94	3060.45	3540.14	3349.13	2537.92	1674.06	2520.38	4736.79	1757.34	1936.53	3665.02	3443.31	4450.27	2956.17	3564.78	3212.66	3665.02	3491.39	3589.58	1936.53
RBM42	379.04	555.41	3280.18	567.1	389.72	358.54	269.6	1639.59	166.73	547.75	327.56	432.53	426.57	450.94	1313.23	854.13	2502.97	1407.55	2090.03	1844.76	1427.22	738.29	941.27	2271.4	1008.9	1208.34	1769.57	1757.34	1781.89	1268.46	1498.22	1477.58	1819.35	1561.89	1745.2	728.11
