	TCGA.E7.A6ME.01A.22R.A32O.07	TCGA.BH.A0B6.01A.11R.A19W.07	TCGA.S3.AA0Z.01A.11R.A41B.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.CJ.4640.01A.02R.1325.07	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.PX3G.0526.SM.2I3EM	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13VXU.2726.SM.5LU4N	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
MRPL34	2777.33	4450.27	4972.34	2664.15	1605.83	2609.3	1477.58	3443.31	1733.13	1286.18	1378.57	1605.83	1277.29	1561.89	1250.98	543.96	2032.85	896.64	2178.83	1233.75	507.46	836.53	1044.52	476.71	1963.57	1096.5	1008.9	518.15	381.68	1073.91	1008.9	2400.97	2018.8	2537.92	928.3	629.35	878.17	733.19	1369.04	896.64	1143.1
MRPL9	2720.15	1628.26	3280.18	1936.53	1143.1	1467.37	1073.91	2018.8	1135.2	836.53	825.0	902.89	1583.71	1037.29	1594.73	277.2	1119.56	463.65	1242.34	1277.29	567.1	395.18	665.29	332.14	1216.75	1008.9	624.99	518.15	397.93	1001.93	642.59	1151.06	1250.98	1051.79	511.0	476.71	242.88	884.29	679.29	536.45	733.19
MRPS11	1806.78	1183.45	1088.92	1175.27	842.36	1397.83	947.83	1477.58	995.0	836.53	642.59	684.02	909.17	713.11	860.08	158.79	703.28	379.04	1208.34	775.05	309.83	262.2	503.95	260.38	1540.37	718.08	518.15	327.56	303.44	620.67	444.72	1051.79	896.64	884.29	457.25	334.46	181.28	536.45	497.0	318.57	339.14
MRPS14	1427.22	791.35	1183.45	896.64	486.75	567.1	493.56	941.27	620.67	480.04	493.56	567.1	555.41	438.59	954.43	199.85	406.31	551.56	693.58	587.13	256.78	275.28	454.09	251.48	775.05	332.14	403.5	190.34	269.6	536.45	334.46	728.11	518.15	470.14	406.31	323.03	215.77	239.52	518.15	351.14	283.05
NDUFA8	2417.67	2224.63	2090.03	2573.36	1477.58	3081.75	1417.35	2816.11	1427.22	1359.57	1143.1	1540.37	1447.15	1331.57	1151.06	529.06	1487.87	909.17	1628.26	1369.04	563.18	591.22	567.1	403.5	1977.24	753.83	660.68	555.41	587.13	884.29	647.07	1757.34	1268.46	1304.15	669.92	848.22	450.94	842.36	785.88	665.29	915.51
NELFB	1350.18	1119.56	1151.06	1088.92	896.64	791.35	785.88	759.08	819.3	718.08	518.15	819.3	759.08	764.36	941.27	371.22	1159.07	961.07	1225.22	1111.82	336.79	551.56	703.28	647.07	1605.83	791.35	780.44	379.04	540.19	791.35	718.08	1030.12	1268.46	1135.2	665.29	343.89	285.03	660.68	703.28	511.0	497.0
NFKBIL1	738.29	748.61	866.07	748.61	490.14	684.02	343.89	521.76	616.37	470.14	267.73	299.25	389.72	629.35	363.56	307.69	392.44	332.14	599.49	769.69	241.19	293.07	309.83	309.83	473.41	476.71	351.14	164.42	332.14	373.81	414.87	303.44	463.65	836.53	271.48	147.06	166.73	466.88	249.73	173.85	384.34
NHLRC1	114.36	112.77	96.68	56.68	32.82	50.63	45.85	130.6	55.1	31.0	30.12	19.97	16.63	24.99	48.52	5.77	53.95	7.11	71.0	62.56	13.32	5.63	7.75	6.26	83.45	27.64	4.94	7.51	8.58	27.25	14.89	57.89	88.26	81.71	7.75	10.71	10.63	18.7	11.91	11.47	10.71
NOSIP	2855.44	2739.08	1167.14	1487.87	1119.56	1551.09	1008.9	1529.73	1757.34	1216.75	713.11	1143.1	1721.16	961.07	1304.15	915.51	2434.5	1135.2	2835.7	2018.8	693.58	780.44	928.3	1477.58	2555.58	1583.71	890.44	733.19	1044.52	1088.92	848.22	1857.6	1794.29	1769.57	808.0	1151.06	1225.22	830.75	1225.22	674.59	703.28
NR2C2AP	1457.23	651.58	1216.75	559.28	497.0	698.41	514.56	579.04	392.44	348.71	361.04	358.54	295.11	285.03	466.88	90.14	224.97	153.34	480.04	567.1	153.34	122.64	127.0	171.45	753.83	343.89	176.29	131.51	246.28	275.28	130.6	397.93	291.04	414.87	137.14	146.03	140.04	198.47	187.71	98.73	144.01
NSL1	1088.92	743.43	1551.09	1119.56	633.73	624.99	656.11	1096.5	669.92	368.65	420.68	728.11	738.29	486.75	764.36	271.48	414.87	371.22	902.89	575.03	262.2	260.38	521.76	228.13	583.07	301.33	366.09	281.09	244.57	299.25	493.56	872.1	507.46	346.29	387.02	346.29	287.01	195.72	351.14	295.11	265.87
NUDT15	387.02	301.33	579.04	341.51	226.54	186.4	260.38	309.83	228.13	194.36	301.33	301.33	231.32	169.07	256.78	194.36	237.86	185.11	229.72	212.78	118.43	140.04	140.04	113.56	312.0	118.43	146.03	127.0	159.9	129.69	130.6	400.71	234.57	262.2	212.78	229.72	277.2	76.71	154.42	148.09	139.07
NUDT16L1	651.58	2351.53	1167.14	603.67	591.22	743.43	603.67	607.87	759.08	441.64	316.37	651.58	559.28	567.1	616.37	131.51	753.83	361.04	921.88	1037.29	190.34	242.88	283.05	248.0	819.3	555.41	551.56	197.09	172.65	400.71	305.55	825.0	802.41	934.76	281.09	221.86	224.97	473.41	277.2	211.31	291.04
NUDT5	2956.17	1340.84	3103.19	1519.15	981.29	2004.85	1208.34	1806.78	1015.93	974.5	728.11	921.88	909.17	995.0	780.44	353.59	1199.98	595.34	1225.22	1051.79	320.8	486.75	387.02	336.79	1216.75	791.35	896.64	454.09	325.29	693.58	518.15	1073.91	1208.34	1359.57	454.09	447.82	389.72	1008.9	400.71	540.19	579.04
OAZ3	79.45	559.28	346.29	130.6	42.11	38.12	56.68	136.19	87.03	34.75	48.18	38.95	59.13	39.79	59.97	48.18	97.36	16.03	97.36	139.07	59.55	8.13	17.9	8.19	97.36	37.59	44.57	10.31	6.78	41.81	19.11	82.29	191.67	127.0	32.13	104.42	35.0	64.34	10.31	16.15	43.94
PAGR1	1225.22	842.36	1167.14	896.64	379.04	759.08	466.88	521.76	432.53	395.18	336.79	412.0	470.14	381.68	483.38	353.59	381.68	497.0	599.49	595.34	249.73	423.61	583.07	341.51	547.75	486.75	241.19	205.5	248.0	373.81	373.81	571.05	358.54	327.56	429.54	320.8	348.71	327.56	339.14	316.37	297.17
PAM16	890.44	1819.35	3168.41	620.67	547.75	1191.69	738.29	540.19	1073.91	674.59	1023.0	748.61	785.88	555.41	591.22	147.06	764.36	483.38	1286.18	567.1	432.53	518.15	551.56	206.94	728.11	579.04	674.59	363.56	381.68	540.19	555.41	748.61	1008.9	1030.12	381.68	320.8	170.25	612.11	260.38	353.59	325.29
PEX16	1216.75	928.3	486.75	796.86	620.67	872.1	563.18	669.92	579.04	791.35	583.07	371.22	571.05	713.11	688.78	172.65	872.1	237.86	743.43	967.76	299.25	195.72	305.55	379.04	679.29	728.11	503.95	486.75	241.19	638.15	547.75	555.41	769.69	909.17	260.38	244.57	157.68	698.41	447.82	361.04	629.35
PHF5A	902.89	633.73	1540.37	674.59	688.78	647.07	684.02	738.29	684.02	698.41	1167.14	825.0	872.1	511.0	514.56	387.02	830.75	316.37	1001.93	629.35	412.0	246.28	206.94	441.64	1583.71	414.87	273.37	214.27	353.59	325.29	406.31	967.76	780.44	728.11	194.36	490.14	769.69	470.14	507.46	327.56	575.03
PHYH	1350.18	376.41	1883.54	1685.71	493.56	723.08	232.94	1605.83	733.19	447.82	384.34	688.78	503.95	679.29	435.55	371.22	713.11	441.64	493.56	674.59	329.84	178.77	400.71	194.36	723.08	260.38	389.72	429.54	156.59	669.92	346.29	759.08	915.51	1073.91	246.28	420.68	258.57	559.28	438.59	409.15	414.87
PIGC	1350.18	819.3	1883.54	1457.23	559.28	1044.52	629.35	1151.06	679.29	525.39	356.05	575.03	575.03	633.73	703.28	177.53	559.28	194.36	748.61	753.83	275.28	162.14	325.29	129.69	813.63	450.94	379.04	368.65	186.4	473.41	305.55	866.07	759.08	703.28	237.86	285.03	139.07	480.04	395.18	221.86	255.0
PIGO	703.28	796.86	1551.09	595.34	612.11	575.03	480.04	647.07	624.99	483.38	373.81	397.93	563.18	447.82	638.15	150.17	616.37	167.9	616.37	708.18	271.48	208.38	312.0	166.73	612.11	486.75	281.09	303.44	118.43	486.75	269.6	599.49	718.08	748.61	249.73	244.57	125.24	358.54	253.23	334.46	231.32
PIN1	2451.44	2287.2	1498.22	1662.49	1561.89	1628.26	1127.35	1697.45	1721.16	1819.35	1397.83	1628.26	2104.58	1685.71	2047.0	432.53	1769.57	1268.46	2777.33	2417.67	961.07	961.07	1183.45	860.08	2956.17	1883.54	1277.29	854.13	532.74	1487.87	928.3	2287.2	2075.59	2417.67	1059.11	1015.93	414.87	1001.93	890.44	866.07	1277.29
PMF1	2468.49	1662.49	2609.3	2816.11	1572.76	2119.22	1508.65	2104.58	1923.14	2032.85	1051.79	1340.84	1551.09	1378.57	1733.13	848.22	2400.97	1001.93	2104.58	1639.59	1143.1	698.41	1437.15	1508.65	3955.48	1883.54	954.43	1259.69	791.35	1685.71	947.83	1819.35	1572.76	2090.03	890.44	1286.18	785.88	1286.18	1259.69	854.13	961.07
POLD2	3742.05	2816.11	3955.48	2520.38	2255.7	2178.83	2997.45	2224.63	1191.69	1313.23	1191.69	1259.69	1870.53	1685.71	1963.57	785.88	1540.37	1605.83	1781.89	1233.75	941.27	1208.34	1023.0	764.36	2855.44	1001.93	921.88	872.1	981.29	1388.16	591.22	1331.57	2178.83	2104.58	842.36	967.76	616.37	825.0	616.37	567.1	1639.59
POLDIP2	2319.15	2148.82	3716.2	2119.22	1529.73	1769.57	1540.37	2018.8	1059.11	1044.52	878.17	941.27	1030.12	1397.83	961.07	665.29	1572.76	698.41	1407.55	1119.56	830.75	457.25	759.08	878.17	2047.0	866.07	579.04	718.08	633.73	934.76	688.78	1001.93	1487.87	1457.23	633.73	674.59	511.0	872.1	974.5	651.58	718.08
POLR1C	1051.79	616.37	1044.52	620.67	543.96	603.67	547.75	575.03	525.39	454.09	543.96	454.09	656.11	285.03	503.95	299.25	463.65	379.04	665.29	571.05	275.28	281.09	279.14	353.59	563.18	470.14	149.12	260.38	318.57	289.02	173.85	587.13	473.41	483.38	191.67	262.2	483.38	215.77	301.33	231.32	262.2
POLR2F	2367.9	1806.78	2468.49	2319.15	1769.57	2163.77	1540.37	1806.78	1745.2	1508.65	1883.54	2451.44	1721.16	1991.0	1135.2	967.76	1540.37	1191.69	3039.3	1936.53	785.88	1030.12	967.76	848.22	2061.24	1183.45	802.41	830.75	571.05	1417.35	848.22	3372.43	1794.29	1857.6	738.29	1066.48	848.22	1143.1	954.43	718.08	981.29
PPAN	1030.12	743.43	713.11	603.67	607.87	642.59	384.34	329.84	376.41	441.64	447.82	312.0	647.07	371.22	486.75	239.52	444.72	212.78	679.29	518.15	332.14	180.02	204.07	356.05	540.19	563.18	244.57	303.44	341.51	293.07	223.41	384.34	363.56	457.25	197.09	204.07	379.04	251.48	358.54	244.57	223.41
PPAPDC2	249.73	339.14	239.52	112.77	113.56	129.69	133.36	152.28	154.42	92.05	73.54	64.34	127.0	117.6	208.38	76.17	121.79	73.54	136.19	206.94	34.75	36.27	104.42	24.46	151.22	92.7	131.51	94.67	35.5	90.77	50.27	127.89	209.84	120.94	37.85	51.71	21.01	59.97	55.49	67.59	102.97
PRKCSH	6745.86	10014.87	6516.03	7230.1	5006.93	6699.25	4671.57	5183.54	4869.99	3690.52	2468.49	4095.0	2739.08	5479.15	5751.61	2047.0	3742.05	3395.89	4152.18	6121.9	2335.28	3928.15	4704.07	3614.55	6792.79	3564.78	3928.15	3257.52	2061.24	4769.75	4358.66	3690.52	5672.41	4836.35	4419.52	2915.45	1857.6	4769.75	3039.3	3081.75	3280.18
PSMD4	7857.29	3716.2	8022.41	6294.04	2997.45	4802.93	2816.11	4671.57	3039.3	3190.46	2468.49	2075.59	3665.02	2739.08	2739.08	1397.83	2997.45	1437.15	4704.07	2895.31	1487.87	1304.15	1127.35	1467.37	4210.15	2193.99	1242.34	1388.16	1143.1	3018.3	2061.24	3564.78	2895.31	2434.5	1378.57	1561.89	896.64	1498.22	2178.83	1529.73	1685.71
PYCR2	3146.52	2255.7	3146.52	2777.33	1498.22	2193.99	1191.69	1883.54	1605.83	1437.15	1457.23	1832.01	1529.73	902.89	1819.35	532.74	1378.57	748.61	2351.53	2104.58	961.07	693.58	785.88	417.77	2434.5	1286.18	693.58	665.29	688.78	1498.22	909.17	2224.63	1896.65	1268.46	947.83	860.08	575.03	688.78	1073.91	866.07	1250.98
RBX1	1551.09	1529.73	2193.99	1806.78	1340.84	1551.09	1322.37	1551.09	1832.01	2758.13	2935.74	1427.22	1605.83	1286.18	1369.04	743.43	1639.59	1191.69	2720.15	1304.15	780.44	896.64	854.13	674.59	2720.15	1104.13	743.43	723.08	995.0	1498.22	1151.06	2758.13	1350.18	1199.98	1191.69	1208.34	1467.37	802.41	1733.13	1216.75	1369.04
RPP21	4095.0	2303.12	3280.18	1340.84	981.29	1378.57	743.43	1008.9	1378.57	802.41	928.3	1167.14	988.12	808.0	830.75	191.67	1216.75	518.15	1427.22	1104.13	336.79	490.14	547.75	309.83	1685.71	854.13	540.19	450.94	325.29	703.28	435.55	1191.69	1242.34	1135.2	514.56	587.13	397.93	532.74	591.22	305.55	507.46
RPP25L	1540.37	1044.52	796.86	915.51	599.49	728.11	400.71	995.0	733.19	346.29	346.29	379.04	389.72	450.94	444.72	111.21	555.41	190.34	796.86	808.0	165.57	139.07	260.38	84.04	947.83	275.28	269.6	198.47	201.25	329.84	186.4	616.37	836.53	775.05	212.78	148.09	101.54	303.44	190.34	158.79	202.66
RRN3	595.34	518.15	1119.56	476.71	412.0	432.53	460.44	435.55	395.18	299.25	376.41	325.29	497.0	229.72	305.55	273.37	426.57	231.32	353.59	395.18	285.03	185.11	226.54	180.02	341.51	376.41	264.03	551.56	323.03	332.14	193.01	423.61	438.59	457.25	264.03	267.73	193.01	316.37	211.31	198.47	361.04
RUVBL2	2956.17	2032.85	1104.13	1721.16	1066.48	1819.35	1331.57	1508.65	967.76	1819.35	713.11	748.61	1674.06	1369.04	1242.34	813.63	1378.57	638.15	1733.13	1733.13	551.56	934.76	480.04	769.69	2047.0	769.69	612.11	688.78	563.18	961.07	591.22	1447.15	1407.55	1259.69	587.13	660.68	438.59	684.02	753.83	579.04	1081.39
SCAMP3	3349.13	3018.3	4607.24	4123.49	1457.23	2555.58	1697.45	2434.5	1519.15	1304.15	1304.15	1477.58	1467.37	1388.16	1477.58	718.08	1832.01	981.29	1519.15	1674.06	1081.39	848.22	854.13	1322.37	2271.4	1151.06	1199.98	796.86	941.27	1208.34	902.89	1628.26	1936.53	2061.24	915.51	967.76	934.76	1191.69	1199.98	819.3	934.76
SCNM1	2075.59	1008.9	2224.63	2090.03	1167.14	1991.0	1322.37	1397.83	1313.23	1023.0	934.76	802.41	1225.22	1104.13	1119.56	267.73	1066.48	406.31	1977.24	1378.57	246.28	454.09	555.41	426.57	1427.22	1143.1	518.15	555.41	412.0	780.44	642.59	1529.73	934.76	995.0	351.14	379.04	376.41	703.28	497.0	480.04	587.13
SEPHS1	1508.65	1447.15	2537.92	1225.22	718.08	633.73	848.22	1369.04	981.29	1225.22	802.41	981.29	563.18	500.46	674.59	583.07	954.43	616.37	854.13	1059.11	450.94	441.64	595.34	334.46	1662.49	503.95	289.02	599.49	329.84	941.27	571.05	1242.34	1313.23	656.11	444.72	540.19	656.11	660.68	642.59	674.59	435.55
SH3BP5L	748.61	543.96	1127.35	878.17	334.46	540.19	536.45	540.19	450.94	236.21	260.38	329.84	323.03	327.56	493.56	239.52	358.54	341.51	473.41	381.68	93.35	334.46	414.87	202.66	483.38	373.81	223.41	223.41	169.07	241.19	277.2	486.75	358.54	320.8	356.05	176.29	283.05	131.51	220.32	199.85	111.21
SLC35B2	1369.04	1350.18	2468.49	1322.37	1066.48	909.17	1104.13	1369.04	743.43	679.29	423.61	684.02	769.69	713.11	647.07	412.0	1059.11	466.88	728.11	1216.75	525.39	521.76	679.29	796.86	2004.85	543.96	607.87	435.55	412.0	674.59	583.07	785.88	1183.45	1104.13	387.02	633.73	376.41	563.18	603.67	493.56	460.44
SMIM7	1991.0	3124.78	5329.3	1923.14	1832.01	2400.97	1870.53	2468.49	2193.99	1832.01	1963.57	2119.22	2400.97	2178.83	2835.7	860.08	1709.26	1359.57	2645.74	2119.22	988.12	1407.55	1651.0	848.22	2720.15	1733.13	1427.22	884.29	974.5	1540.37	1447.15	3103.19	2287.2	2384.37	1467.37	1359.57	878.17	1225.22	1259.69	1175.27	1487.87
SMUG1	1909.85	1191.69	947.83	769.69	733.19	1159.07	866.07	896.64	819.3	629.35	775.05	575.03	674.59	854.13	759.08	136.19	802.41	297.17	1066.48	802.41	244.57	246.28	361.04	177.53	1088.92	457.25	381.68	327.56	189.02	514.56	514.56	764.36	708.18	974.5	273.37	234.57	164.42	387.02	379.04	262.2	172.65
SNAP47	1111.82	974.5	1233.75	1304.15	808.0	854.13	890.44	967.76	559.28	420.68	309.83	395.18	450.94	486.75	547.75	271.48	674.59	397.93	567.1	718.08	223.41	269.6	435.55	320.8	796.86	381.68	277.2	234.57	232.94	420.68	181.28	511.0	532.74	551.56	273.37	242.88	299.25	301.33	351.14	258.57	269.6
SNAPIN	1540.37	1286.18	1477.58	2075.59	1037.29	1313.23	1331.57	1467.37	1259.69	1369.04	1143.1	1159.07	1191.69	1008.9	1242.34	336.79	1151.06	674.59	1923.14	1388.16	490.14	547.75	988.12	497.0	1583.71	791.35	511.0	435.55	457.25	819.3	599.49	1551.09	1143.1	1277.29	551.56	669.92	249.73	518.15	684.02	507.46	447.82
SSNA1	3124.78	2739.08	2645.74	2004.85	1427.22	2255.7	1467.37	1757.34	2047.0	1477.58	1551.09	1819.35	1781.89	1697.45	2018.8	476.71	2148.82	1023.0	2502.97	2119.22	688.78	785.88	791.35	860.08	2956.17	1250.98	1135.2	551.56	656.11	1008.9	802.41	2148.82	2047.0	2468.49	981.29	961.07	693.58	848.22	967.76	656.11	723.08
STOML2	3564.78	2609.3	3820.7	2609.3	1963.57	2591.27	1561.89	2400.97	1331.57	1322.37	1143.1	1151.06	1437.15	1617.0	1407.55	665.29	1674.06	567.1	1832.01	1583.71	555.41	363.56	450.94	591.22	2645.74	928.3	642.59	595.34	435.55	947.83	599.49	1628.26	1529.73	1709.26	470.14	684.02	591.22	872.1	796.86	698.41	693.58
SURF2	1008.9	473.41	684.02	825.0	435.55	902.89	392.44	591.22	476.71	480.04	299.25	403.5	660.68	400.71	373.81	267.73	633.73	312.0	583.07	612.11	181.28	239.52	229.72	295.11	629.35	480.04	373.81	287.01	131.51	368.65	234.57	728.11	486.75	536.45	312.0	265.87	169.07	303.44	289.02	281.09	249.73
SUV39H1	249.73	178.77	258.57	105.15	130.6	132.44	128.79	138.1	122.64	92.7	53.57	58.3	109.66	50.98	102.25	30.78	154.42	36.53	127.89	199.85	64.34	31.9	52.45	57.08	283.05	82.87	74.58	66.18	45.53	106.63	79.45	95.34	169.07	139.07	42.41	39.22	37.59	119.26	78.34	57.08	49.21
SWI5	1437.15	967.76	1051.79	947.83	525.39	995.0	579.04	688.78	679.29	463.65	503.95	629.35	376.41	872.1	579.04	334.46	329.84	514.56	693.58	684.02	244.57	387.02	483.38	412.0	890.44	392.44	260.38	231.32	406.31	473.41	400.71	884.29	629.35	660.68	371.22	432.53	255.0	366.09	417.77	256.78	412.0
TACO1	769.69	470.14	341.51	633.73	361.04	688.78	299.25	1208.34	381.68	299.25	223.41	258.57	339.14	299.25	384.34	70.51	397.93	129.69	447.82	373.81	124.37	95.34	131.51	94.01	532.74	312.0	158.79	175.07	107.38	256.78	150.17	409.15	389.72	403.5	128.79	118.43	85.22	209.84	211.31	117.6	127.0
TADA1	447.82	211.31	414.87	343.89	148.09	151.22	170.25	320.8	143.01	134.3	193.01	90.14	150.17	72.01	293.07	98.73	180.02	137.14	142.01	220.32	60.82	136.19	85.82	35.5	164.42	97.36	146.03	135.24	226.54	159.9	129.69	231.32	226.54	166.73	91.41	76.71	59.97	144.01	166.73	102.25	169.07
TARS2	1059.11	400.71	1088.92	825.0	473.41	961.07	454.09	660.68	450.94	303.44	194.36	226.54	312.0	309.83	483.38	76.17	366.09	87.03	435.55	490.14	258.57	92.7	262.2	81.14	514.56	366.09	281.09	185.11	147.06	414.87	195.72	373.81	500.46	400.71	214.27	96.01	72.01	343.89	165.57	158.79	197.09
TBC1D7	651.58	575.03	941.27	381.68	371.22	409.15	587.13	684.02	441.64	373.81	363.56	258.57	379.04	480.04	780.44	248.0	149.12	191.67	412.0	283.05	118.43	181.28	220.32	127.89	486.75	339.14	316.37	195.72	190.34	295.11	283.05	543.96	206.94	346.29	277.2	312.0	204.07	169.07	195.72	281.09	191.67
TBCC	1216.75	1073.91	884.29	435.55	414.87	543.96	483.38	599.49	674.59	327.56	371.22	368.65	406.31	353.59	563.18	135.24	473.41	258.57	532.74	642.59	120.94	123.5	258.57	258.57	532.74	543.96	249.73	177.53	136.19	239.52	262.2	395.18	457.25	587.13	172.65	171.45	265.87	244.57	242.88	163.28	151.22
TEFM	305.55	122.64	848.22	205.5	223.41	281.09	223.41	318.57	224.97	128.79	108.9	173.85	212.78	167.9	279.14	43.94	163.28	53.95	293.07	214.27	53.57	62.56	108.14	45.53	279.14	187.71	73.54	91.41	59.97	173.85	113.56	277.2	152.28	195.72	110.43	91.41	55.1	102.97	72.01	87.03	52.82
TFB2M	414.87	389.72	616.37	366.09	194.36	285.03	190.34	521.76	198.47	135.24	138.1	121.79	167.9	144.01	197.09	93.35	221.86	97.36	208.38	244.57	70.01	63.89	70.01	103.69	273.37	124.37	110.43	82.87	76.71	124.37	74.06	178.77	249.73	283.05	66.18	75.11	110.43	138.1	114.36	103.69	88.26
THAP7	698.41	1059.11	1540.37	842.36	521.76	860.08	567.1	708.18	718.08	981.29	381.68	460.44	703.28	543.96	825.0	366.09	915.51	325.29	890.44	1233.75	314.17	181.28	460.44	242.88	961.07	974.5	567.1	358.54	297.17	536.45	260.38	902.89	780.44	1208.34	295.11	279.14	297.17	521.76	454.09	221.86	320.8
THOP1	1135.2	309.83	961.07	438.59	480.04	497.0	348.71	289.02	397.93	265.87	206.94	309.83	476.71	426.57	460.44	109.66	403.5	271.48	514.56	660.68	139.07	234.57	279.14	165.57	842.36	353.59	271.48	181.28	189.02	336.79	173.85	373.81	417.77	417.77	253.23	130.6	77.79	175.07	244.57	194.36	197.09
TIMM13	3982.99	2875.3	1127.35	1605.83	1199.98	1697.45	1104.13	1674.06	1674.06	915.51	1191.69	1044.52	1331.57	1225.22	1037.29	307.69	1498.22	1008.9	1977.24	1051.79	444.72	587.13	878.17	947.83	2895.31	1023.0	842.36	397.93	490.14	796.86	647.07	1208.34	1304.15	2271.4	872.1	603.67	698.41	830.75	698.41	507.46	547.75
TIMM21	633.73	371.22	579.04	490.14	387.02	500.46	470.14	684.02	329.84	241.19	314.17	320.8	497.0	325.29	392.44	103.69	260.38	154.42	438.59	409.15	118.43	82.87	226.54	68.55	476.71	305.55	195.72	137.14	108.9	228.13	186.4	540.19	346.29	366.09	145.02	163.28	86.43	148.09	156.59	133.36	142.01
TIMMDC1	3325.99	1870.53	3168.41	1662.49	1594.73	2303.12	1259.69	2895.31	1498.22	1023.0	1685.71	1832.01	1135.2	1159.07	1617.0	808.0	1685.71	902.89	1806.78	1674.06	669.92	708.18	1322.37	387.02	1950.0	1268.46	669.92	607.87	1242.34	1096.5	1350.18	3235.01	1794.29	1583.71	961.07	1030.12	769.69	890.44	1225.22	785.88	878.17
TMED1	1313.23	1277.29	995.0	1051.79	954.43	1008.9	575.03	995.0	954.43	775.05	540.19	656.11	896.64	733.19	638.15	277.2	1096.5	575.03	1104.13	981.29	384.34	361.04	547.75	830.75	1551.09	518.15	314.17	429.54	312.0	651.58	551.56	928.3	825.0	1208.34	457.25	397.93	486.75	490.14	420.68	567.1	599.49
TMEM102	253.23	295.11	231.32	295.11	176.29	150.17	139.07	258.57	185.11	228.13	232.94	171.45	147.06	189.02	161.02	72.01	234.57	144.01	186.4	251.48	76.71	112.77	78.89	150.17	283.05	112.77	149.12	99.43	84.04	150.17	120.1	128.79	202.66	305.55	87.65	98.04	115.16	111.99	195.72	128.79	117.6
TMEM161A	1151.06	738.29	753.83	780.44	473.41	547.75	358.54	500.46	525.39	381.68	198.47	447.82	395.18	713.11	708.18	125.24	559.28	341.51	616.37	693.58	214.27	156.59	353.59	156.59	796.86	366.09	379.04	316.37	214.27	314.17	260.38	480.04	693.58	802.41	327.56	293.07	114.36	412.0	258.57	211.31	232.94
TMEM186	2090.03	239.52	426.57	376.41	202.66	346.29	255.0	291.04	224.97	156.59	172.65	156.59	155.5	133.36	241.19	88.26	255.0	110.43	258.57	255.0	86.43	66.18	77.79	55.89	275.28	172.65	117.6	82.87	62.12	152.28	110.43	251.48	204.07	267.73	69.03	74.06	68.07	104.42	138.1	80.57	87.03
TMEM203	1313.23	1135.2	1159.07	961.07	738.29	802.41	674.59	1268.46	698.41	796.86	575.03	728.11	703.28	698.41	909.17	291.04	1030.12	567.1	890.44	848.22	262.2	281.09	371.22	303.44	1059.11	575.03	466.88	409.15	249.73	620.67	356.05	1023.0	1023.0	890.44	318.57	336.79	314.17	579.04	583.07	435.55	351.14
TMEM223	836.53	629.35	346.29	587.13	473.41	738.29	497.0	743.43	460.44	297.17	265.87	373.81	397.93	334.46	368.65	149.12	447.82	258.57	441.64	432.53	118.43	185.11	197.09	167.9	529.06	303.44	220.32	163.28	136.19	320.8	234.57	480.04	384.34	444.72	214.27	208.38	198.47	215.77	258.57	194.36	172.65
TRUB2	896.64	575.03	738.29	748.61	470.14	679.29	371.22	808.0	384.34	376.41	246.28	281.09	299.25	384.34	356.05	88.26	447.82	171.45	486.75	444.72	134.3	100.83	155.5	95.34	532.74	277.2	221.86	149.12	115.16	285.03	197.09	376.41	447.82	466.88	154.42	136.19	115.97	299.25	187.71	153.34	150.17
UCHL5	775.05	447.82	1340.84	808.0	454.09	447.82	470.14	759.08	275.28	329.84	356.05	409.15	325.29	438.59	387.02	273.37	409.15	287.01	363.56	387.02	234.57	163.28	231.32	128.79	435.55	348.71	332.14	232.94	201.25	346.29	260.38	473.41	403.5	299.25	229.72	265.87	291.04	237.86	343.89	309.83	248.0
