	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13FLV.1326.SM.5L3EJ	GTEX.132NY.2026.SM.5L3FM	GTEX.12696.1526.SM.5EGL6	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.11ONC.1426.SM.5N9F4	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.145MH.1226.SM.5RQJT	GTEX.P4QT.0726.SM.3NMCM	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.RWSA.1326.SM.47JX9	GTEX.14C5O.2826.SM.5RQI6	GTEX.WK11.2626.SM.4OOSK	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.8371.01A.11R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.FP.7829.11A.01R.2055.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX
HSD17B3	63.89	3.14	0.0	1.79	5.32	16.27	15.68	11.21	14.03	24.99	28.24	33.54	36.01	25.35	51.71	76.17	181.28	103.69	115.97	56.28	44.25	75.64	101.54	68.07	98.73	144.01	108.9	144.01	64.8	121.79	75.11	63.0	111.21	146.03	92.05	120.1	12.83	91.41	127.89	131.51	133.36	156.59	57.49	66.65	99.43	105.15	30.34	83.45	17.51	85.22	84.04	136.19	85.82	19.25	7.57	26.1	14.89	22.59	18.43	9.34	26.86	14.56	19.53	7.34	19.11	10.96	11.04	17.64	2.97	2.56
IRGQ	325.29	232.94	221.86	283.05	122.64	253.23	303.44	214.27	170.25	256.78	327.56	334.46	392.44	457.25	379.04	490.14	466.88	412.0	587.13	283.05	389.72	318.57	400.71	423.61	438.59	473.41	476.71	503.95	392.44	327.56	420.68	423.61	476.71	389.72	470.14	450.94	339.14	277.2	325.29	406.31	441.64	423.61	368.65	400.71	457.25	457.25	389.72	450.94	279.14	438.59	457.25	476.71	339.14	191.67	185.11	202.66	231.32	358.54	334.46	301.33	429.54	368.65	363.56	248.0	318.57	214.27	339.14	175.07	197.09	153.34
KLC1	1870.53	1870.53	2148.82	2163.77	1923.14	2485.67	3060.45	2739.08	2287.2	4358.66	2400.97	3716.2	3768.09	4123.49	3820.7	4066.71	4639.29	4010.71	4607.24	2816.11	3614.55	3146.52	3982.99	4481.23	4388.98	4543.8	4388.98	5147.73	3303.0	4010.71	4095.0	3901.01	4512.4	4419.52	4836.35	3928.15	2915.45	3847.29	5183.54	4769.75	5112.16	4239.45	4575.41	4575.41	4512.4	4388.98	4181.07	3665.02	2351.53	4210.15	4639.29	4543.8	3742.05	2178.83	2303.12	3124.78	2434.5	2758.13	2935.74	2351.53	2573.36	2796.65	2777.33	2796.65	2351.53	2835.7	2451.44	2004.85	1551.09	2351.53
L3MBTL1	52.45	52.08	87.03	72.52	58.3	92.7	104.42	133.36	109.66	182.55	480.04	206.94	325.29	223.41	351.14	348.71	273.37	656.11	420.68	376.41	295.11	279.14	607.87	563.18	426.57	397.93	438.59	432.53	248.0	384.34	591.22	289.02	698.41	633.73	447.82	480.04	191.67	327.56	470.14	320.8	395.18	486.75	559.28	525.39	575.03	651.58	198.47	423.61	78.34	248.0	463.65	376.41	536.45	45.85	65.26	134.3	143.01	236.21	224.97	141.02	255.0	164.42	267.73	145.02	181.28	186.4	297.17	82.87	38.4	61.68
LCAT	392.44	242.88	339.14	353.59	231.32	229.72	503.95	406.31	493.56	872.1	1529.73	764.36	1477.58	1023.0	1519.15	2193.99	2178.83	1551.09	2555.58	1073.91	941.27	1508.65	1551.09	1721.16	1896.65	2271.4	1498.22	2976.74	1561.89	1233.75	2351.53	1304.15	3146.52	2061.24	1991.0	1183.45	629.35	1709.26	2209.26	1757.34	2591.27	1427.22	1233.75	1977.24	2224.63	2240.11	1617.0	1909.85	363.56	1781.89	2255.7	1832.01	1096.5	224.97	356.05	511.0	423.61	607.87	587.13	493.56	679.29	406.31	738.29	457.25	497.0	447.82	599.49	323.03	166.73	291.04
LRP5L	27.25	23.59	44.89	63.89	26.1	56.68	153.34	84.04	50.98	91.41	115.97	120.94	115.97	57.49	180.02	189.02	223.41	289.02	387.02	125.24	251.48	258.57	291.04	205.5	249.73	323.03	305.55	518.15	258.57	223.41	346.29	251.48	279.14	277.2	251.48	187.71	81.71	209.84	336.79	493.56	363.56	269.6	255.0	239.52	204.07	293.07	246.28	221.86	40.64	205.5	297.17	212.78	182.55	55.1	83.45	90.77	63.89	135.24	139.07	106.63	163.28	220.32	119.26	69.03	135.24	85.82	121.79	39.22	17.38	52.82
LRRC66	3.96	6.11	1.35	9.06	1.77	10.08	18.97	55.49	57.89	12.09	8.0	1.71	5.15	4.62	12.45	55.1	29.91	38.4	156.59	22.59	44.25	23.76	34.51	56.68	60.39	38.95	26.47	137.14	30.56	22.43	91.41	52.45	129.69	67.59	74.58	39.5	8.32	36.53	50.63	48.18	75.64	70.51	16.88	48.18	85.82	80.57	36.01	70.51	3.72	39.5	90.14	80.57	28.65	3.06	2.27	45.85	35.25	16.03	16.63	8.19	3.69	7.94	16.75	3.2	2.56	4.66	7.17	2.84	5.5	9.34
MAPRE3	638.15	275.28	423.61	521.76	476.71	389.72	381.68	642.59	624.99	587.13	759.08	642.59	595.34	775.05	674.59	1051.79	1059.11	1662.49	1685.71	884.29	1135.2	1135.2	1322.37	1127.35	1159.07	1378.57	1073.91	1561.89	1340.84	1540.37	1896.65	1175.27	1870.53	1651.0	1378.57	1583.71	769.69	1088.92	1605.83	988.12	1104.13	1685.71	1359.57	1508.65	1340.84	1639.59	819.3	1551.09	866.07	1044.52	1498.22	1417.35	1322.37	1015.93	435.55	571.05	679.29	638.15	555.41	796.86	733.19	571.05	743.43	961.07	802.41	723.08	674.59	336.79	190.34	175.07
MARCH9	153.34	155.5	154.42	162.14	61.25	153.34	480.04	264.03	269.6	356.05	237.86	381.68	267.73	239.52	312.0	547.75	669.92	651.58	728.11	334.46	454.09	486.75	684.02	412.0	466.88	470.14	490.14	890.44	665.29	466.88	651.58	426.57	503.95	497.0	444.72	417.77	273.37	293.07	486.75	387.02	674.59	497.0	536.45	361.04	480.04	511.0	432.53	361.04	303.44	454.09	466.88	642.59	441.64	371.22	164.42	295.11	264.03	525.39	215.77	406.31	351.14	466.88	275.28	297.17	269.6	320.8	279.14	146.03	218.79	191.67
METTL17	819.3	403.5	616.37	575.03	423.61	591.22	1037.29	1088.92	1225.22	1023.0	1936.53	1350.18	1242.34	785.88	1427.22	1963.57	1757.34	1896.65	2384.37	1199.98	1369.04	1447.15	2367.9	2193.99	1709.26	2240.11	2047.0	2895.31	1572.76	1572.76	2367.9	1487.87	2720.15	2434.5	1819.35	1662.49	728.11	2148.82	2032.85	1883.54	2720.15	2224.63	2047.0	2400.97	2004.85	2434.5	1268.46	1806.78	575.03	1745.2	2193.99	2485.67	1540.37	567.1	679.29	1135.2	1216.75	890.44	759.08	595.34	954.43	674.59	728.11	684.02	620.67	802.41	836.53	713.11	395.18	503.95
METTL3	444.72	387.02	417.77	389.72	316.37	417.77	540.19	723.08	607.87	713.11	1151.06	981.29	934.76	825.0	915.51	1127.35	1044.52	1583.71	1437.15	866.07	860.08	1066.48	1242.34	1233.75	1225.22	1233.75	1081.39	1467.37	1096.5	981.29	1286.18	1001.93	1477.58	1467.37	1467.37	1250.98	642.59	1191.69	1417.35	1111.82	1322.37	1340.84	1183.45	1216.75	1304.15	1583.71	759.08	1135.2	327.56	1073.91	1369.04	1407.55	1225.22	521.76	497.0	624.99	532.74	674.59	728.11	629.35	819.3	651.58	688.78	583.07	703.28	647.07	753.83	429.54	249.73	336.79
MLH3	211.31	242.88	303.44	301.33	201.25	283.05	332.14	269.6	182.55	226.54	674.59	454.09	483.38	320.8	314.17	397.93	503.95	368.65	403.5	256.78	191.67	260.38	406.31	444.72	384.34	616.37	476.71	444.72	371.22	429.54	503.95	403.5	651.58	480.04	514.56	447.82	182.55	438.59	441.64	423.61	389.72	521.76	358.54	269.6	463.65	457.25	348.71	353.59	166.73	406.31	543.96	551.56	373.81	258.57	320.8	318.57	163.28	223.41	348.71	226.54	301.33	246.28	320.8	186.4	232.94	232.94	189.02	153.34	152.28	123.5
MROH1	187.71	153.34	155.5	175.07	136.19	217.27	249.73	336.79	269.6	208.38	486.75	336.79	299.25	314.17	400.71	356.05	264.03	463.65	536.45	267.73	389.72	363.56	363.56	432.53	480.04	356.05	371.22	583.07	358.54	381.68	420.68	389.72	551.56	543.96	441.64	559.28	231.32	332.14	450.94	293.07	435.55	460.44	454.09	358.54	559.28	543.96	215.77	336.79	301.33	373.81	521.76	395.18	525.39	161.02	147.06	234.57	343.89	486.75	460.44	403.5	400.71	518.15	395.18	283.05	246.28	392.44	343.89	234.57	173.85	218.79
MRPS25	1457.23	693.58	819.3	796.86	748.61	728.11	1340.84	1313.23	1407.55	1250.98	656.11	902.89	1037.29	1167.14	1135.2	2451.44	2075.59	2303.12	2997.45	1359.57	1594.73	1259.69	1583.71	2303.12	1923.14	3564.78	2178.83	3928.15	2075.59	2502.97	2875.3	1870.53	3716.2	3212.66	2816.11	2287.2	1088.92	1923.14	2935.74	2591.27	3081.75	2997.45	2701.35	2895.31	3146.52	2777.33	1277.29	2997.45	543.96	2335.28	2739.08	2701.35	2367.9	854.13	896.64	1183.45	1331.57	842.36	1111.82	995.0	1066.48	854.13	884.29	836.53	878.17	791.35	896.64	830.75	638.15	420.68
MSS51	10.55	8.85	5.36	20.71	5.77	14.14	20.11	19.25	24.11	38.12	49.21	32.13	53.95	25.91	45.85	100.13	116.78	100.83	126.12	58.3	50.98	78.34	71.5	92.05	102.97	107.38	106.63	136.19	68.55	46.5	147.06	71.5	161.02	107.38	88.26	78.34	21.32	84.04	104.42	68.55	155.5	135.24	37.59	97.36	132.44	126.12	69.52	80.01	13.42	64.34	130.6	80.01	98.04	10.63	11.91	31.45	20.56	47.17	49.91	19.82	31.45	39.79	40.64	31.22	22.43	22.75	49.91	10.63	2.73	7.82
MUS81	1088.92	775.05	660.68	780.44	514.56	884.29	819.3	954.43	1030.12	1331.57	1175.27	928.3	1304.15	1044.52	1143.1	1896.65	1991.0	1883.54	1757.34	1628.26	1277.29	1769.57	1781.89	1572.76	1819.35	1950.0	1909.85	2004.85	1781.89	1519.15	1733.13	1498.22	1806.78	2061.24	2255.7	1781.89	1081.39	1519.15	1628.26	1950.0	2119.22	1909.85	1617.0	1674.06	1883.54	2032.85	1594.73	1781.89	764.36	1572.76	1685.71	1936.53	1277.29	703.28	988.12	1044.52	981.29	1023.0	836.53	713.11	947.83	698.41	928.3	1001.93	836.53	988.12	967.76	884.29	629.35	825.0
MXD3	103.69	575.03	33.78	23.59	31.0	46.5	151.22	115.97	148.09	93.35	563.18	218.79	232.94	75.11	301.33	376.41	470.14	514.56	536.45	182.55	316.37	241.19	480.04	389.72	395.18	595.34	463.65	656.11	363.56	500.46	728.11	316.37	567.1	603.67	412.0	392.44	88.26	255.0	567.1	547.75	450.94	473.41	341.51	392.44	500.46	514.56	293.07	423.61	97.36	329.84	480.04	444.72	366.09	18.97	32.82	91.41	142.01	119.26	172.65	189.02	145.02	138.1	109.66	46.84	60.82	65.72	105.89	105.89	47.17	65.26
NCKAP5L	87.03	195.72	237.86	181.28	158.79	187.71	400.71	236.21	166.73	503.95	583.07	312.0	521.76	384.34	334.46	620.67	559.28	460.44	651.58	356.05	312.0	547.75	603.67	529.06	595.34	559.28	521.76	638.15	457.25	376.41	607.87	473.41	708.18	599.49	559.28	559.28	271.48	403.5	567.1	525.39	674.59	490.14	612.11	441.64	647.07	607.87	532.74	361.04	242.88	373.81	860.08	466.88	525.39	115.16	212.78	239.52	197.09	285.03	248.0	376.41	309.83	267.73	318.57	287.01	264.03	329.84	314.17	226.54	172.65	217.27
NEIL1	159.9	150.17	81.71	156.59	91.41	147.06	221.86	400.71	361.04	363.56	356.05	351.14	633.73	346.29	890.44	1030.12	995.0	1529.73	1769.57	444.72	748.61	866.07	934.76	1066.48	848.22	1923.14	1191.69	1950.0	1008.9	1208.34	1697.45	902.89	1950.0	1844.76	1331.57	1073.91	279.14	896.64	1819.35	1304.15	1685.71	1674.06	1225.22	1388.16	1242.34	1757.34	738.29	1388.16	273.37	1088.92	1685.71	1540.37	941.27	138.1	187.71	358.54	339.14	718.08	339.14	426.57	571.05	540.19	651.58	299.25	397.93	343.89	412.0	100.13	70.51	100.13
NPIPA1	2004.85	947.83	1250.98	1143.1	1407.55	1183.45	1757.34	1977.24	1277.29	2075.59	3614.55	4239.45	3982.99	4903.87	5711.87	6745.86	5329.3	5147.73	5954.47	2855.44	5292.48	4802.93	3372.43	4512.4	5751.61	7280.4	5183.54	7382.04	3540.14	4481.23	6164.49	3768.09	5791.62	5954.47	5751.61	4010.71	1617.0	3395.89	5479.15	6652.97	7032.37	5403.7	4903.87	5672.41	6079.61	4769.75	2835.7	6294.04	2664.15	4575.41	6381.92	5112.16	3280.18	1259.69	1467.37	2502.97	2061.24	2061.24	2451.44	1594.73	2485.67	1540.37	1594.73	2090.03	1467.37	1896.65	1417.35	791.35	571.05	1015.93
OAZ2	1447.15	2018.8	1427.22	1286.18	1277.29	1529.73	3146.52	1685.71	2664.15	3589.58	2119.22	2303.12	2555.58	2915.45	2032.85	2835.7	3742.05	2720.15	3419.52	2555.58	2303.12	2502.97	2193.99	2720.15	3395.89	2875.3	2855.44	3372.43	2835.7	2758.13	3212.66	2255.7	3901.01	3060.45	3039.3	2758.13	2319.15	2451.44	2935.74	2855.44	2895.31	2997.45	2468.49	2915.45	3639.7	2915.45	2875.3	3103.19	2075.59	2224.63	3491.39	3372.43	2520.38	2193.99	2417.67	2502.97	1977.24	1340.84	1896.65	2075.59	1594.73	1721.16	1498.22	2104.58	1467.37	2520.38	1697.45	2287.2	1923.14	1697.45
PABPN1	1561.89	1081.39	1467.37	1233.75	1498.22	1143.1	2935.74	2537.92	2319.15	2075.59	3820.7	4066.71	2573.36	2335.28	2816.11	4869.99	5112.16	5711.87	6164.49	3103.19	4639.29	3257.52	4972.34	4210.15	5403.7	5831.91	5041.77	7032.37	4095.0	5441.3	5751.61	3665.02	7911.95	5791.62	5255.91	4358.66	2271.4	3589.58	5041.77	4836.35	4802.93	5366.37	4575.41	5517.27	5872.48	6516.03	3639.7	5633.22	1757.34	4639.29	6164.49	5041.77	4268.94	1697.45	1674.06	2335.28	2468.49	3639.7	1745.2	2537.92	2434.5	2303.12	1936.53	2075.59	2032.85	1457.23	2075.59	1529.73	1135.2	1199.98
PAN2	293.07	236.21	262.2	299.25	212.78	307.69	665.29	629.35	518.15	587.13	1697.45	890.44	1096.5	470.14	1378.57	1819.35	1369.04	2777.33	2434.5	1216.75	1427.22	1427.22	1991.0	1806.78	2163.77	2104.58	2018.8	2739.08	1781.89	1561.89	2335.28	1697.45	3124.78	3103.19	1936.53	2287.2	642.59	1923.14	2287.2	2224.63	2645.74	2875.3	2104.58	2255.7	2255.7	2627.46	1135.2	1977.24	389.72	1697.45	2451.44	2119.22	1639.59	387.02	483.38	688.78	698.41	723.08	884.29	511.0	848.22	679.29	884.29	435.55	684.02	759.08	896.64	429.54	143.01	236.21
PELP1	583.07	693.58	713.11	802.41	587.13	791.35	988.12	769.69	647.07	780.44	1417.35	884.29	733.19	791.35	860.08	866.07	902.89	1104.13	860.08	647.07	723.08	941.27	1350.18	819.3	1199.98	1175.27	934.76	1111.82	1015.93	759.08	1388.16	753.83	1127.35	1104.13	915.51	1051.79	748.61	808.0	902.89	1143.1	915.51	866.07	780.44	1088.92	1143.1	1081.39	854.13	909.17	529.06	656.11	1167.14	860.08	1088.92	447.82	567.1	620.67	638.15	1073.91	708.18	796.86	890.44	764.36	808.0	780.44	819.3	796.86	909.17	423.61	463.65	633.73
PHKA2	108.9	163.28	141.02	120.94	145.02	137.14	226.54	301.33	236.21	279.14	567.1	353.59	420.68	301.33	470.14	728.11	698.41	884.29	780.44	346.29	518.15	529.06	679.29	616.37	860.08	743.43	743.43	995.0	563.18	470.14	791.35	529.06	819.3	967.76	743.43	684.02	237.86	769.69	896.64	738.29	842.36	830.75	624.99	872.1	860.08	1015.93	583.07	540.19	164.42	647.07	738.29	708.18	532.74	309.83	262.2	301.33	334.46	351.14	287.01	194.36	336.79	271.48	285.03	231.32	229.72	339.14	237.86	147.06	81.14	96.68
PIDD	193.01	180.02	197.09	102.97	134.3	111.21	236.21	206.94	253.23	241.19	567.1	395.18	229.72	195.72	414.87	547.75	629.35	764.36	830.75	361.04	435.55	629.35	743.43	366.09	435.55	764.36	563.18	947.83	718.08	525.39	669.92	529.06	884.29	759.08	688.78	733.19	183.82	483.38	693.58	579.04	728.11	723.08	536.45	595.34	547.75	878.17	420.68	579.04	142.01	420.68	607.87	624.99	620.67	124.37	120.94	198.47	269.6	327.56	220.32	353.59	409.15	228.13	231.32	194.36	212.78	212.78	221.86	159.9	113.56	100.83
PLA2G4B	71.0	7.22	41.52	32.82	35.0	17.9	89.51	159.9	92.7	116.78	224.97	223.41	297.17	36.01	312.0	343.89	497.0	387.02	567.1	167.9	226.54	447.82	400.71	363.56	476.71	463.65	559.28	674.59	351.14	366.09	409.15	264.03	441.64	473.41	493.56	343.89	98.73	281.09	514.56	493.56	497.0	463.65	312.0	339.14	429.54	441.64	277.2	366.09	108.14	267.73	432.53	514.56	255.0	42.41	44.25	89.51	137.14	202.66	307.69	197.09	224.97	165.57	334.46	133.36	108.9	314.17	255.0	51.35	40.07	31.9
PPOX	208.38	297.17	226.54	299.25	241.19	295.11	438.59	441.64	318.57	587.13	607.87	395.18	409.15	397.93	551.56	1051.79	988.12	759.08	1199.98	651.58	612.11	961.07	769.69	872.1	909.17	1216.75	928.3	1477.58	934.76	723.08	1037.29	713.11	1359.57	1295.13	1008.9	825.0	525.39	728.11	1059.11	1008.9	780.44	1199.98	780.44	866.07	1073.91	1199.98	743.43	854.13	237.86	764.36	1096.5	1388.16	738.29	305.55	406.31	511.0	361.04	525.39	368.65	547.75	599.49	432.53	525.39	426.57	400.71	400.71	490.14	293.07	172.65	197.09
PRPF40B	249.73	237.86	332.14	358.54	255.0	368.65	525.39	323.03	334.46	563.18	961.07	507.46	660.68	470.14	612.11	808.0	954.43	1135.2	941.27	638.15	738.29	698.41	1175.27	629.35	819.3	954.43	878.17	1037.29	796.86	587.13	1051.79	669.92	1096.5	1066.48	890.44	813.63	429.54	693.58	860.08	624.99	909.17	884.29	830.75	842.36	802.41	1001.93	493.56	743.43	348.71	688.78	848.22	915.51	860.08	373.81	224.97	397.93	346.29	438.59	358.54	379.04	435.55	366.09	438.59	463.65	414.87	490.14	438.59	195.72	209.84	180.02
PRR14	1111.82	764.36	595.34	738.29	441.64	698.41	1073.91	995.0	961.07	1313.23	1023.0	995.0	1096.5	1008.9	1044.52	1551.09	1583.71	1733.13	1819.35	1175.27	1216.75	1437.15	1685.71	1216.75	1437.15	1963.57	1883.54	2384.37	1651.0	1477.58	1662.49	1225.22	1709.26	1806.78	1447.15	1605.83	928.3	1175.27	1508.65	1617.0	2018.8	1467.37	1359.57	1304.15	1594.73	1628.26	1487.87	1540.37	753.83	1388.16	1685.71	1674.06	1159.07	708.18	808.0	780.44	796.86	1250.98	1151.06	1322.37	1477.58	1088.92	1427.22	1096.5	1322.37	1096.5	1447.15	1030.12	866.07	819.3
PRSS53	24.46	10.55	3.14	9.56	3.56	15.45	19.68	12.83	10.96	91.41	61.25	30.34	120.94	19.97	115.97	115.16	91.41	154.42	176.29	107.38	148.09	157.68	175.07	90.77	260.38	119.26	145.02	189.02	107.38	106.63	134.3	146.03	197.09	164.42	114.36	111.21	29.27	91.41	125.24	118.43	127.89	128.79	255.0	231.32	177.53	164.42	67.12	117.6	29.91	73.03	224.97	105.15	102.25	52.82	28.65	23.25	21.32	86.43	46.84	18.43	36.79	26.67	34.02	20.41	25.54	35.25	32.36	20.26	4.62	12.45
PTH1R	229.72	201.25	164.42	183.82	191.67	151.22	161.02	90.77	191.67	182.55	303.44	651.58	902.89	1757.34	454.09	698.41	1111.82	503.95	616.37	379.04	293.07	607.87	332.14	368.65	563.18	921.88	629.35	723.08	511.0	603.67	559.28	466.88	753.83	514.56	395.18	384.34	176.29	307.69	759.08	563.18	693.58	441.64	555.41	497.0	392.44	547.75	486.75	429.54	105.15	379.04	400.71	490.14	199.85	39.79	29.27	111.99	111.99	173.85	34.75	172.65	82.87	55.1	220.32	229.72	102.25	323.03	131.51	40.93	83.45	77.79
RAB24	738.29	521.76	483.38	511.0	417.77	476.71	733.19	497.0	616.37	669.92	665.29	775.05	665.29	595.34	647.07	884.29	947.83	961.07	1199.98	775.05	764.36	941.27	1001.93	884.29	934.76	1096.5	928.3	1259.69	1081.39	1259.69	1159.07	748.61	1127.35	1159.07	890.44	941.27	486.75	848.22	1023.0	902.89	1037.29	1111.82	848.22	872.1	860.08	1023.0	878.17	961.07	463.65	878.17	967.76	1191.69	656.11	708.18	587.13	591.22	536.45	660.68	334.46	629.35	511.0	476.71	518.15	698.41	423.61	638.15	514.56	444.72	486.75	373.81
RBCK1	1175.27	1135.2	995.0	1001.93	878.17	1081.39	2485.67	1794.29	1685.71	1757.34	2075.59	1605.83	1498.22	1322.37	1551.09	2075.59	2032.85	1662.49	2417.67	1242.34	1519.15	2148.82	1832.01	1639.59	1870.53	2417.67	1896.65	2935.74	2004.85	2178.83	2367.9	1561.89	2303.12	2209.26	1950.0	1909.85	1519.15	1733.13	2061.24	2287.2	2163.77	1674.06	1674.06	1685.71	1991.0	2384.37	2335.28	1794.29	915.51	1745.2	2224.63	1977.24	1745.2	1233.75	1277.29	1561.89	1529.73	1806.78	1111.82	1397.83	1733.13	1388.16	1407.55	1674.06	1111.82	1437.15	1295.13	1015.93	1119.56	878.17
RBM6	1233.75	738.29	884.29	947.83	775.05	1127.35	1605.83	1457.23	1135.2	1639.59	2061.24	1923.14	2758.13	1594.73	3060.45	4328.55	4972.34	5403.7	6207.38	2271.4	3639.7	2664.15	3768.09	3928.15	4268.94	5183.54	4869.99	8247.98	3280.18	2997.45	5366.37	3443.31	5112.16	4010.71	5366.37	4298.64	1467.37	4123.49	4239.45	4704.07	5995.9	4388.98	4937.99	6121.9	5112.16	5366.37	3955.48	4328.55	1605.83	3372.43	5995.9	5183.54	3901.01	616.37	543.96	1369.04	1561.89	1923.14	2400.97	1832.01	1963.57	1697.45	1909.85	1233.75	1697.45	1225.22	2682.69	665.29	738.29	575.03
RP4-583P15.15	55.1	24.99	15.56	15.68	22.43	31.22	34.75	49.21	39.5	40.36	60.82	56.28	44.25	38.12	67.59	127.0	120.94	80.57	178.77	68.07	52.45	54.72	101.54	100.13	118.43	82.29	75.64	143.01	99.43	90.77	109.66	105.15	131.51	124.37	118.43	85.82	44.89	89.51	126.12	76.71	135.24	84.04	96.68	86.43	163.28	127.89	72.52	116.78	34.02	94.01	116.78	115.16	66.65	15.91	18.56	44.89	57.49	52.08	38.12	26.28	47.84	61.68	24.63	28.86	11.47	34.26	29.91	10.88	9.93	18.03
SELO	260.38	226.54	231.32	269.6	253.23	251.48	426.57	476.71	395.18	444.72	633.73	507.46	463.65	366.09	651.58	796.86	921.88	884.29	1001.93	426.57	559.28	785.88	884.29	748.61	759.08	1073.91	802.41	1388.16	967.76	575.03	890.44	708.18	909.17	813.63	775.05	612.11	332.14	579.04	813.63	884.29	1001.93	764.36	669.92	708.18	769.69	928.3	693.58	748.61	379.04	669.92	808.0	890.44	620.67	249.73	353.59	307.69	384.34	555.41	299.25	395.18	406.31	389.72	381.68	429.54	275.28	457.25	303.44	249.73	251.48	218.79
SFI1	98.73	132.44	103.69	131.51	94.67	159.9	343.89	351.14	218.79	283.05	921.88	547.75	423.61	173.85	463.65	679.29	665.29	651.58	660.68	314.17	713.11	693.58	688.78	638.15	624.99	819.3	785.88	733.19	638.15	620.67	780.44	514.56	866.07	967.76	775.05	647.07	320.8	723.08	836.53	830.75	753.83	733.19	551.56	738.29	713.11	967.76	551.56	638.15	134.3	591.22	769.69	587.13	529.06	248.0	156.59	297.17	305.55	791.35	460.44	435.55	503.95	457.25	409.15	234.57	231.32	255.0	269.6	381.68	85.82	108.9
SGSM2	547.75	693.58	836.53	825.0	616.37	872.1	1001.93	1151.06	796.86	1268.46	1721.16	1023.0	1685.71	1617.0	1844.76	2119.22	2434.5	2664.15	2609.3	1662.49	2178.83	1857.6	2520.38	2193.99	2935.74	2664.15	2133.97	3257.52	2351.53	1950.0	2796.65	1857.6	3018.3	2796.65	2417.67	2468.49	1199.98	2018.8	2627.46	2335.28	2555.58	2417.67	2777.33	2351.53	3235.01	3060.45	1721.16	2335.28	830.75	1936.53	2956.17	2485.67	2367.9	848.22	764.36	1001.93	941.27	1304.15	1457.23	1259.69	1639.59	1104.13	1685.71	1369.04	1143.1	1467.37	1369.04	738.29	426.57	483.38
SGSM3	764.36	503.95	559.28	559.28	470.14	575.03	981.29	1295.13	1295.13	743.43	981.29	733.19	813.63	684.02	1572.76	2032.85	2104.58	2468.49	2997.45	1417.35	1540.37	2047.0	2178.83	2004.85	2875.3	2303.12	2335.28	3794.3	2032.85	2485.67	2255.7	2018.8	3060.45	2701.35	2537.92	2104.58	1030.12	1883.54	2664.15	2502.97	2701.35	2119.22	2701.35	2061.24	3018.3	2701.35	1769.57	2303.12	854.13	2090.03	2701.35	2434.5	1991.0	1104.13	1015.93	1023.0	1551.09	1104.13	890.44	1143.1	1350.18	941.27	872.1	1159.07	665.29	1127.35	764.36	825.0	616.37	728.11
