	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.DV.5576.01A.01R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.HC.7737.11A.02R.2118.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.1211K.0726.SM.5FQUW	GTEX.12WSG.2126.SM.5EGJ7	GTEX.U3ZN.0726.SM.4DXT5
PCNT	417.77	173.85	190.34	209.84	201.25	129.69	283.05	87.03	154.42	180.02	172.65	148.09	115.16	420.68	201.25	102.97	126.12	133.36	185.11	143.01	229.72	167.9	116.78	211.31	65.72	132.44	145.02	81.71	208.38	226.54	198.47	244.57	281.09	312.0	277.2	387.02	218.79	406.31	285.03	392.44	316.37	241.19	336.79	358.54	283.05	318.57	228.13	305.55	395.18	221.86	291.04	249.73	258.57	211.31	289.02	157.68
PDE7A	253.23	1088.92	323.03	211.31	612.11	457.25	78.34	31.0	42.41	164.42	31.9	32.59	55.49	74.58	77.25	178.77	68.55	54.72	61.68	55.1	42.11	23.93	34.75	60.39	161.02	64.34	105.15	53.95	49.21	49.21	32.13	358.54	563.18	366.09	267.73	417.77	808.0	429.54	400.71	684.02	723.08	363.56	279.14	836.53	753.83	780.44	470.14	825.0	253.23	825.0	1119.56	514.56	291.04	713.11	195.72	110.43
PFKFB2	54.33	1111.82	101.54	173.85	77.25	63.0	139.07	30.34	35.0	47.5	70.51	30.34	20.26	70.51	36.79	25.35	37.85	42.11	30.56	68.07	39.22	59.55	30.34	30.56	21.32	46.18	28.65	13.52	78.34	39.22	36.01	127.0	229.72	251.48	176.29	164.42	406.31	264.03	211.31	224.97	262.2	346.29	183.82	211.31	137.14	129.69	182.55	277.2	620.67	575.03	1594.73	575.03	738.29	2287.2	58.71	129.69
PTPN9	688.78	511.0	723.08	579.04	571.05	536.45	239.52	144.01	215.77	403.5	256.78	223.41	181.28	429.54	231.32	172.65	215.77	387.02	186.4	277.2	457.25	178.77	228.13	796.86	202.66	246.28	165.57	281.09	281.09	234.57	285.03	414.87	848.22	493.56	684.02	713.11	1127.35	718.08	728.11	567.1	633.73	616.37	518.15	607.87	540.19	486.75	543.96	753.83	780.44	1008.9	954.43	507.46	669.92	954.43	583.07	460.44
RASSF4	116.78	1870.53	1794.29	579.04	1397.83	866.07	890.44	444.72	336.79	651.58	463.65	753.83	698.41	665.29	353.59	599.49	693.58	358.54	466.88	476.71	713.11	384.34	579.04	483.38	2148.82	825.0	785.88	204.07	967.76	563.18	397.93	995.0	1697.45	1745.2	1331.57	1477.58	3212.66	1191.69	1529.73	1359.57	3103.19	1477.58	1304.15	1561.89	1286.18	1199.98	2351.53	2335.28	4066.71	1819.35	3491.39	1096.5	3039.3	2682.69	110.43	122.64
RBM26	521.76	587.13	476.71	379.04	376.41	348.71	473.41	31.9	148.09	217.27	178.77	152.28	144.01	211.31	253.23	242.88	111.99	173.85	132.44	199.85	153.34	129.69	142.01	197.09	119.26	209.84	169.07	42.41	159.9	169.07	118.43	450.94	693.58	595.34	507.46	583.07	536.45	703.28	567.1	688.78	575.03	587.13	447.82	583.07	507.46	624.99	507.46	579.04	518.15	603.67	642.59	674.59	567.1	688.78	435.55	417.77
RGMB	131.51	295.11	209.84	173.85	95.34	145.02	133.36	136.19	64.34	224.97	81.71	31.22	42.71	49.21	46.18	108.9	98.04	54.33	45.21	65.26	41.81	218.79	46.18	58.3	120.94	58.71	343.89	988.12	84.63	41.81	74.06	293.07	279.14	579.04	218.79	279.14	265.87	242.88	275.28	466.88	249.73	356.05	205.5	241.19	281.09	301.33	395.18	316.37	194.36	223.41	339.14	559.28	246.28	226.54	157.68	368.65
RINT1	379.04	206.94	248.0	214.27	186.4	154.42	387.02	75.11	146.03	119.26	145.02	110.43	94.67	161.02	141.02	248.0	115.16	141.02	116.78	132.44	135.24	140.04	116.78	140.04	164.42	127.89	181.28	81.71	143.01	146.03	137.14	224.97	237.86	199.85	205.5	194.36	202.66	267.73	241.19	214.27	246.28	244.57	264.03	229.72	204.07	234.57	178.77	195.72	253.23	246.28	246.28	206.94	186.4	244.57	314.17	143.01
RNPC3	180.02	371.22	309.83	267.73	244.57	129.69	248.0	26.47	93.35	165.57	45.21	87.03	115.16	158.79	273.37	68.07	89.51	122.64	107.38	151.22	100.83	80.57	100.13	145.02	131.51	205.5	141.02	35.76	113.56	132.44	114.36	177.53	633.73	429.54	587.13	819.3	723.08	909.17	521.76	775.05	785.88	620.67	423.61	1369.04	583.07	1073.91	500.46	928.3	432.53	551.56	1073.91	660.68	476.71	974.5	265.87	170.25
RPS6KA1	271.48	1151.06	579.04	607.87	981.29	633.73	71.5	312.0	155.5	376.41	163.28	173.85	81.14	146.03	269.6	121.79	271.48	237.86	226.54	236.21	211.31	389.72	273.37	397.93	343.89	251.48	159.9	234.57	202.66	171.45	423.61	376.41	493.56	547.75	813.63	866.07	718.08	525.39	660.68	444.72	961.07	595.34	981.29	444.72	536.45	518.15	426.57	665.29	753.83	974.5	813.63	647.07	1008.9	1685.71	151.22	285.03
RSRC2	1498.22	1467.37	1721.16	1508.65	1467.37	1233.75	1529.73	309.83	473.41	1051.79	454.09	507.46	435.55	518.15	884.29	624.99	587.13	497.0	435.55	825.0	764.36	698.41	414.87	547.75	473.41	1037.29	629.35	490.14	603.67	633.73	444.72	1369.04	2224.63	2032.85	1977.24	1709.26	2502.97	1769.57	2032.85	1896.65	2075.59	1950.0	1216.75	2148.82	1883.54	2255.7	2502.97	1909.85	1769.57	1832.01	2061.24	2018.8	1540.37	1963.57	2468.49	1397.83
RUFY3	220.32	591.22	301.33	403.5	387.02	336.79	291.04	81.14	202.66	289.02	334.46	258.57	176.29	301.33	267.73	194.36	177.53	318.57	289.02	295.11	187.71	251.48	260.38	297.17	312.0	490.14	387.02	156.59	186.4	293.07	223.41	358.54	1457.23	1529.73	1199.98	1037.29	1977.24	1304.15	1242.34	1721.16	1259.69	1583.71	743.43	2502.97	1225.22	1487.87	1844.76	1685.71	1350.18	1088.92	1417.35	1295.13	1286.18	1340.84	599.49	607.87
SAV1	420.68	947.83	769.69	808.0	332.14	769.69	246.28	186.4	204.07	209.84	289.02	107.38	125.24	193.01	221.86	381.68	123.5	202.66	135.24	229.72	154.42	285.03	180.02	171.45	176.29	194.36	414.87	152.28	163.28	289.02	327.56	703.28	890.44	1175.27	638.15	688.78	896.64	802.41	802.41	1073.91	547.75	1023.0	540.19	808.0	896.64	866.07	1008.9	785.88	660.68	748.61	728.11	961.07	629.35	579.04	674.59	642.59
SCNN1G	88.26	8022.41	356.05	36.27	28.45	2.14	0.43	0.0	0.0	1.3	0.0	0.37	0.0	1.17	0.0	1.25	0.0	2.53	0.0	0.0	0.51	0.0	0.0	0.48	0.0	0.0	0.39	0.0	0.0	0.0	0.0	275.28	85.22	287.01	66.18	182.55	206.94	81.71	143.01	332.14	82.87	155.5	10.24	152.28	314.17	234.57	339.14	307.69	61.68	72.01	353.59	928.3	70.01	171.45	5.73	39.79
SH2D5	0.41	51.35	1.93	1.75	33.78	1.53	4.78	0.0	0.0	0.32	0.32	0.0	0.96	0.0	0.69	0.0	0.0	0.0	0.8	0.0	0.02	18.29	0.35	0.0	1.17	6.78	1.27	0.37	0.0	0.27	0.22	2.71	25.91	20.86	24.99	10.08	28.24	6.21	13.62	31.45	31.45	53.19	99.43	30.12	23.42	23.59	56.28	20.86	8.99	25.54	11.55	21.63	27.05	26.1	5.19	7.82
SH3D21	39.22	123.5	275.28	260.38	134.3	226.54	20.56	6.62	6.11	25.35	3.29	8.0	7.82	13.03	9.85	8.92	1.08	15.45	9.2	17.9	15.34	26.47	5.41	29.27	12.18	31.67	5.06	2.03	16.15	14.14	5.87	36.01	612.11	785.88	796.86	1378.57	791.35	1030.12	466.88	884.29	486.75	1143.1	94.01	1183.45	624.99	941.27	928.3	1304.15	500.46	368.65	775.05	239.52	241.19	1769.57	65.26	31.67
SLC39A10	155.5	616.37	473.41	202.66	346.29	255.0	126.12	14.89	19.97	83.45	16.39	47.5	43.94	93.35	116.78	31.0	43.02	49.91	53.57	108.9	40.07	14.67	60.82	40.93	17.9	249.73	14.03	10.08	62.56	88.26	75.11	191.67	1242.34	1183.45	1572.76	1447.15	1183.45	1794.29	1359.57	1870.53	1008.9	1572.76	896.64	1697.45	1216.75	1745.2	1268.46	1359.57	728.11	595.34	1561.89	551.56	909.17	941.27	540.19	400.71
SLC41A1	239.52	264.03	384.34	353.59	277.2	351.14	256.78	37.32	54.72	154.42	129.69	122.64	17.25	53.95	122.64	57.49	12.18	103.69	77.79	123.5	29.48	215.77	64.34	29.27	37.32	190.34	104.42	45.21	28.24	105.15	150.17	327.56	1081.39	947.83	872.1	884.29	759.08	1216.75	902.89	1023.0	759.08	1143.1	583.07	988.12	836.53	854.13	890.44	941.27	785.88	1159.07	1259.69	1044.52	1008.9	1477.58	728.11	412.0
SPG11	860.08	1313.23	1073.91	878.17	1191.69	802.41	954.43	460.44	591.22	830.75	633.73	813.63	738.29	860.08	638.15	579.04	684.02	981.29	633.73	909.17	651.58	409.15	802.41	656.11	785.88	909.17	638.15	397.93	536.45	684.02	603.67	1066.48	1225.22	1350.18	1295.13	1350.18	1175.27	1096.5	1498.22	1233.75	1304.15	1359.57	1059.11	1378.57	1286.18	961.07	1208.34	1250.98	1508.65	1551.09	1295.13	1322.37	1605.83	1487.87	674.59	738.29
SPRY1	915.51	2255.7	2434.5	3018.3	1167.14	4066.71	409.15	106.63	318.57	1051.79	175.07	92.05	228.13	277.2	232.94	854.13	242.88	244.57	115.97	244.57	206.94	373.81	271.48	209.84	387.02	493.56	660.68	260.38	217.27	285.03	199.85	1313.23	3589.58	5006.93	1397.83	2163.77	2303.12	4802.93	3257.52	6607.01	2997.45	3257.52	1340.84	5441.3	3235.01	6381.92	4388.98	3303.0	1447.15	1397.83	1081.39	1883.54	1674.06	909.17	2796.65	412.0
STX12	540.19	486.75	775.05	860.08	633.73	842.36	368.65	289.02	262.2	400.71	500.46	256.78	260.38	353.59	318.57	314.17	269.6	271.48	279.14	332.14	395.18	381.68	307.69	339.14	293.07	366.09	251.48	305.55	395.18	348.71	327.56	1233.75	2816.11	1662.49	1857.6	2193.99	3690.52	1794.29	1540.37	1268.46	1477.58	1844.76	1250.98	2367.9	1199.98	921.88	1304.15	2434.5	1757.34	2287.2	2417.67	1286.18	2148.82	2303.12	988.12	738.29
STX3	780.44	423.61	379.04	392.44	575.03	371.22	205.5	89.51	99.43	236.21	78.89	88.88	65.72	94.01	171.45	185.11	48.18	88.26	149.12	56.68	100.83	197.09	99.43	117.6	64.8	264.03	107.38	73.03	180.02	126.12	53.95	651.58	665.29	728.11	575.03	532.74	748.61	473.41	567.1	518.15	583.07	836.53	579.04	656.11	497.0	567.1	612.11	551.56	303.44	356.05	454.09	356.05	373.81	454.09	679.29	688.78
SUDS3	620.67	518.15	343.89	483.38	285.03	341.51	249.73	120.1	151.22	199.85	162.14	120.1	128.79	158.79	231.32	232.94	212.78	194.36	186.4	205.5	143.01	131.51	136.19	244.57	239.52	228.13	215.77	128.79	124.37	147.06	208.38	447.82	547.75	607.87	470.14	438.59	514.56	384.34	567.1	595.34	429.54	583.07	466.88	483.38	507.46	457.25	454.09	438.59	454.09	400.71	599.49	486.75	371.22	432.53	441.64	551.56
SYCE1L	7.28	368.65	85.82	99.43	941.27	98.04	27.84	27.64	38.4	42.71	9.48	64.8	47.84	2.97	33.3	1.5	16.51	29.91	51.71	12.93	39.5	20.71	11.04	40.36	25.72	21.32	24.46	12.0	12.74	25.91	46.5	52.08	72.52	262.2	260.38	115.16	684.02	293.07	142.01	214.27	180.02	167.9	132.44	291.04	392.44	373.81	612.11	165.57	76.71	63.89	217.27	79.45	90.14	90.77	507.46	76.17
TBL1XR1	660.68	775.05	902.89	921.88	718.08	693.58	532.74	128.79	223.41	309.83	262.2	211.31	181.28	368.65	297.17	295.11	214.27	277.2	138.1	343.89	215.77	293.07	234.57	293.07	244.57	351.14	255.0	226.54	339.14	271.48	138.1	536.45	941.27	1183.45	995.0	1059.11	1183.45	967.76	842.36	1151.06	1104.13	1104.13	981.29	764.36	934.76	1030.12	872.1	1008.9	830.75	967.76	1498.22	1225.22	866.07	1073.91	1059.11	896.64
TMEM233	10.47	0.0	115.97	37.32	1151.06	50.63	4.31	2.51	14.56	12.74	8.51	0.0	0.0	1.99	4.74	4.5	14.89	5.36	1.91	9.41	10.0	12.0	2.14	13.22	5.5	11.47	8.32	2.18	6.84	15.68	0.0	4.21	260.38	76.71	81.71	50.98	215.77	61.25	169.07	117.6	166.73	368.65	490.14	58.3	73.54	22.75	91.41	205.5	409.15	122.64	82.29	60.39	193.01	70.51	1.99	19.25
TMEM243	511.0	1883.54	872.1	713.11	915.51	733.19	154.42	28.24	108.14	567.1	212.78	112.77	22.1	136.19	148.09	71.0	25.91	164.42	275.28	170.25	157.68	78.89	72.52	92.05	156.59	267.73	61.25	28.86	120.1	105.89	126.12	836.53	3190.46	3395.89	2875.3	2032.85	2627.46	4152.18	4328.55	2537.92	1977.24	2537.92	1733.13	3540.14	2627.46	3124.78	2758.13	2271.4	1806.78	1709.26	2627.46	3716.2	2032.85	2287.2	1286.18	429.54
TMEM87A	1551.09	1369.04	1331.57	1417.35	921.88	915.51	356.05	148.09	295.11	395.18	320.8	198.47	129.69	500.46	341.51	500.46	146.03	283.05	146.03	307.69	480.04	281.09	248.0	392.44	285.03	186.4	591.22	397.93	536.45	194.36	95.34	1143.1	1909.85	2178.83	1883.54	2032.85	2004.85	1594.73	2061.24	1844.76	1242.34	1991.0	1457.23	1733.13	1709.26	1950.0	1674.06	1909.85	1295.13	1685.71	2032.85	1008.9	1313.23	1733.13	1388.16	909.17
TP53BP1	400.71	559.28	420.68	363.56	507.46	387.02	237.86	73.03	76.17	194.36	88.88	55.49	44.57	109.66	137.14	95.34	47.84	96.01	149.12	111.21	61.25	74.06	110.43	106.63	61.25	205.5	113.56	31.45	80.01	105.89	102.97	457.25	669.92	536.45	660.68	854.13	769.69	947.83	642.59	669.92	674.59	753.83	511.0	813.63	620.67	713.11	624.99	703.28	651.58	500.46	808.0	866.07	633.73	599.49	579.04	591.22
TRIM2	29.48	2701.35	785.88	808.0	769.69	483.38	75.11	55.49	101.54	73.54	99.43	28.45	75.11	126.12	60.82	202.66	218.79	84.04	47.17	61.25	127.0	237.86	50.98	79.45	115.16	99.43	148.09	40.07	94.01	50.27	96.01	599.49	493.56	551.56	470.14	785.88	327.56	543.96	559.28	612.11	441.64	698.41	301.33	417.77	384.34	353.59	470.14	529.06	921.88	651.58	764.36	866.07	1208.34	555.41	1304.15	215.77
TSHR	2.27	0.77	8.13	8.71	2.56	8.51	5.92	4.06	1.83	3.47	0.0	4.43	10.08	1.57	6.57	7.69	1.06	8.13	3.0	2.39	7.22	0.29	10.96	5.73	3.79	7.4	2.12	0.77	1.04	5.06	2.32	1.6	5403.7	5913.33	4575.41	7911.95	6887.62	2997.45	6121.9	5954.47	4095.0	6079.61	2255.7	5183.54	5954.47	5076.84	5872.48	9474.59	5403.7	4802.93	9279.58	1250.98	6935.54	6516.03	17.25	2.18
TTC19	358.54	603.67	890.44	718.08	674.59	571.05	314.17	271.48	406.31	441.64	426.57	395.18	563.18	567.1	341.51	616.37	1143.1	463.65	251.48	395.18	460.44	575.03	312.0	759.08	466.88	260.38	529.06	802.41	389.72	332.14	229.72	738.29	872.1	1008.9	728.11	769.69	775.05	909.17	791.35	934.76	796.86	967.76	902.89	830.75	860.08	947.83	775.05	825.0	718.08	1001.93	1199.98	559.28	842.36	1111.82	1331.57	420.68
TTC8	559.28	529.06	287.01	287.01	457.25	231.32	100.13	141.02	153.34	205.5	191.67	171.45	113.56	307.69	285.03	218.79	253.23	234.57	218.79	194.36	151.22	107.38	171.45	241.19	249.73	316.37	241.19	173.85	214.27	246.28	325.29	460.44	753.83	1030.12	764.36	759.08	974.5	620.67	961.07	1183.45	567.1	1023.0	878.17	954.43	961.07	674.59	890.44	698.41	599.49	507.46	860.08	543.96	872.1	738.29	665.29	703.28
USP54	190.34	1059.11	341.51	248.0	656.11	187.71	55.1	36.79	21.16	67.59	24.99	24.81	55.49	162.14	39.5	30.34	9.27	47.17	39.22	59.13	96.68	65.72	59.97	34.02	10.47	22.75	18.29	39.22	118.43	70.01	35.0	336.79	1268.46	796.86	1388.16	1844.76	1259.69	981.29	785.88	1350.18	1225.22	1369.04	1104.13	872.1	769.69	1008.9	1119.56	1651.0	2133.97	1909.85	2739.08	1709.26	1662.49	3982.99	264.03	229.72
VPS33B	571.05	193.01	295.11	244.57	232.94	277.2	249.73	155.5	149.12	182.55	154.42	127.89	125.24	185.11	140.04	162.14	90.77	105.89	122.64	122.64	105.89	102.25	110.43	161.02	98.73	115.16	113.56	59.97	149.12	124.37	109.66	249.73	329.84	339.14	341.51	265.87	329.84	341.51	218.79	381.68	327.56	277.2	265.87	244.57	318.57	343.89	186.4	291.04	381.68	229.72	255.0	186.4	264.03	232.94	400.71	163.28
WDR33	607.87	518.15	490.14	400.71	441.64	473.41	603.67	275.28	307.69	438.59	221.86	341.51	511.0	435.55	450.94	525.39	323.03	379.04	381.68	447.82	395.18	371.22	376.41	371.22	532.74	336.79	423.61	511.0	267.73	466.88	409.15	514.56	647.07	733.19	532.74	563.18	669.92	518.15	532.74	642.59	567.1	738.29	423.61	647.07	500.46	514.56	647.07	633.73	503.95	579.04	698.41	638.15	454.09	567.1	599.49	525.39
XKRX	3.86	44.89	2.25	1.69	5.45	4.82	5.32	0.0	1.22	2.89	0.0	0.56	0.0	1.04	0.0	1.66	0.0	0.14	0.05	2.43	0.0	0.51	0.14	1.31	1.17	1.55	3.41	0.15	0.11	0.54	0.05	70.01	647.07	64.8	133.36	205.5	392.44	392.44	2.32	90.14	118.43	229.72	57.89	500.46	123.5	104.42	47.17	450.94	3.08	3.03	23.59	1.81	2.39	8.92	5.11	12.83
ZBTB7C	57.08	336.79	59.97	299.25	397.93	379.04	3.03	42.71	12.09	25.17	3.69	15.8	11.04	7.0	69.52	8.25	20.26	24.11	4.58	22.75	65.26	12.09	14.03	13.42	29.27	12.09	6.84	4.28	9.06	6.89	8.71	173.85	575.03	642.59	764.36	723.08	718.08	500.46	460.44	660.68	674.59	866.07	480.04	567.1	785.88	551.56	802.41	748.61	387.02	575.03	392.44	1135.2	616.37	470.14	19.11	24.63
ZDHHC21	56.68	65.26	83.45	87.03	45.53	76.17	47.84	7.75	21.63	67.59	24.99	12.36	14.03	31.0	55.49	38.12	15.8	29.7	18.56	37.59	18.29	4.7	16.88	47.5	26.28	54.72	55.89	8.45	45.85	42.11	25.91	77.79	151.22	140.04	98.73	100.83	114.36	162.14	120.1	171.45	123.5	135.24	108.9	170.25	104.42	141.02	105.15	116.78	92.05	112.77	155.5	186.4	96.68	86.43	103.69	71.0
ZFAND1	723.08	902.89	651.58	1119.56	708.18	497.0	825.0	234.57	444.72	403.5	738.29	299.25	366.09	507.46	543.96	435.55	656.11	476.71	346.29	559.28	733.19	395.18	348.71	575.03	503.95	629.35	486.75	420.68	429.54	547.75	693.58	748.61	988.12	1030.12	836.53	974.5	1199.98	813.63	954.43	1104.13	796.86	1159.07	1059.11	860.08	830.75	1008.9	718.08	860.08	796.86	1151.06	1359.57	1674.06	825.0	1359.57	1359.57	769.69
ZNF430	234.57	215.77	132.44	106.63	120.1	64.8	34.26	1.2	6.21	34.02	14.67	11.04	2.89	26.28	54.72	21.32	3.03	6.84	1.87	6.01	16.51	8.58	11.91	16.03	68.07	26.86	41.81	2.18	16.51	7.63	14.78	128.79	348.71	381.68	244.57	327.56	289.02	185.11	265.87	423.61	193.01	420.68	220.32	277.2	353.59	351.14	264.03	314.17	125.24	277.2	194.36	169.07	114.36	171.45	138.1	127.89
ZNF431	295.11	246.28	143.01	138.1	134.3	76.71	92.05	5.15	5.15	74.58	25.91	1.57	13.32	26.28	34.26	25.17	4.24	6.16	13.72	28.24	29.06	7.28	31.45	18.16	36.79	63.0	50.63	26.1	8.92	32.59	4.13	172.65	536.45	583.07	753.83	1008.9	532.74	346.29	320.8	813.63	624.99	825.0	647.07	890.44	547.75	723.08	909.17	684.02	323.03	177.53	423.61	346.29	173.85	1104.13	236.21	150.17
