	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
CUL5	157.68	447.82	693.58	173.85	157.68	231.32	237.86	190.34	64.8	197.09	162.14	176.29	237.86	166.73	244.57	277.2	281.09	217.27	138.1	165.57	152.28	186.4	138.1	181.28	267.73	159.9	152.28	139.07	176.29	190.34	127.0	202.66	267.73	193.01	187.71	170.25	186.4	251.48	117.6	287.01	237.86	169.07	171.45	201.25	223.41	251.48	170.25	178.77	147.06	229.72	138.1	236.21	265.87	229.72	285.03	169.07	229.72	166.73	244.57	138.1	226.54	228.13	173.85	180.02	146.03	169.07	198.47	167.9	215.77	348.71	218.79	178.77	231.32	136.19	256.78	167.9	314.17	255.0	182.55	186.4	251.48	201.25	132.44	169.07
CYP20A1	177.53	366.09	476.71	140.04	152.28	226.54	242.88	212.78	185.11	173.85	150.17	122.64	301.33	170.25	211.31	249.73	228.13	205.5	173.85	186.4	111.99	137.14	175.07	189.02	224.97	139.07	202.66	189.02	134.3	164.42	134.3	197.09	237.86	193.01	182.55	169.07	156.59	198.47	194.36	246.28	187.71	147.06	121.79	125.24	187.71	220.32	146.03	165.57	156.59	198.47	123.5	237.86	224.97	183.82	218.79	155.5	171.45	180.02	281.09	172.65	194.36	239.52	152.28	181.28	153.34	185.11	173.85	206.94	199.85	303.44	193.01	114.36	183.82	180.02	242.88	157.68	237.86	205.5	178.77	199.85	305.55	218.79	164.42	169.07
DBT	126.12	166.73	139.07	59.55	54.33	85.22	102.97	81.71	34.26	80.01	61.68	57.08	97.36	61.68	94.01	90.14	120.1	85.22	53.57	47.17	50.98	64.34	63.0	76.17	109.66	72.01	67.12	46.18	59.55	82.29	45.53	74.58	90.77	58.3	80.57	73.03	103.69	111.21	46.18	114.36	103.69	65.26	60.39	54.33	84.63	115.97	58.3	68.07	53.57	88.26	40.36	94.01	111.21	94.67	111.99	73.54	91.41	57.89	94.01	48.87	105.15	120.1	57.08	59.55	46.18	63.45	74.58	70.51	99.43	121.79	77.79	67.59	81.14	49.21	126.12	55.49	102.25	100.83	61.68	69.03	123.5	72.52	41.52	59.13
DCAF17	88.88	231.32	115.97	88.26	72.01	139.07	136.19	111.99	38.67	127.0	102.25	85.82	156.59	108.14	111.21	166.73	176.29	124.37	78.89	85.82	78.89	102.97	84.63	132.44	143.01	112.77	111.99	56.68	97.36	118.43	47.17	123.5	108.9	96.01	134.3	96.68	100.13	167.9	82.87	158.79	117.6	78.34	104.42	129.69	119.26	154.42	87.03	116.78	98.73	128.79	66.18	125.24	171.45	121.79	153.34	108.9	116.78	108.9	134.3	81.71	126.12	182.55	88.88	132.44	78.89	99.43	125.24	100.83	125.24	251.48	110.43	129.69	126.12	77.25	159.9	96.68	171.45	137.14	98.04	115.97	180.02	97.36	81.14	85.82
DENND1B	134.3	441.64	297.17	71.0	74.06	148.09	158.79	115.16	54.33	96.01	78.89	93.35	123.5	90.77	137.14	167.9	161.02	104.42	73.03	67.12	80.57	117.6	94.67	104.42	176.29	104.42	116.78	90.14	100.13	124.37	69.03	124.37	144.01	110.43	91.41	91.41	74.58	158.79	90.14	178.77	177.53	105.89	61.68	111.99	136.19	152.28	77.79	98.04	95.34	140.04	46.84	146.03	158.79	143.01	170.25	78.89	131.51	80.57	159.9	107.38	125.24	214.27	80.57	115.16	94.67	88.88	90.77	89.51	131.51	193.01	153.34	100.13	135.24	75.64	190.34	93.35	191.67	161.02	81.14	93.35	169.07	102.97	78.34	95.34
DNAJB14	211.31	624.99	764.36	228.13	234.57	312.0	341.51	255.0	106.63	269.6	197.09	258.57	381.68	248.0	353.59	381.68	423.61	325.29	206.94	231.32	202.66	316.37	206.94	262.2	351.14	236.21	244.57	206.94	271.48	343.89	141.02	275.28	351.14	295.11	295.11	191.67	246.28	392.44	195.72	384.34	334.46	228.13	223.41	267.73	309.83	334.46	242.88	269.6	229.72	305.55	125.24	312.0	371.22	336.79	389.72	212.78	299.25	249.73	353.59	206.94	303.44	363.56	190.34	267.73	221.86	262.2	287.01	277.2	320.8	389.72	269.6	244.57	332.14	172.65	397.93	209.84	403.5	395.18	228.13	246.28	329.84	267.73	167.9	201.25
DNAJC24	108.9	237.86	269.6	88.26	71.5	130.6	150.17	139.07	57.08	124.37	78.89	63.0	144.01	95.34	126.12	151.22	158.79	134.3	67.59	80.57	78.34	107.38	102.25	114.36	181.28	85.22	113.56	79.45	90.14	108.14	54.72	110.43	117.6	89.51	139.07	101.54	100.83	148.09	64.34	169.07	127.89	102.25	90.14	96.01	126.12	127.89	97.36	103.69	100.83	114.36	72.01	111.99	148.09	127.89	150.17	98.04	118.43	98.04	138.1	82.87	145.02	157.68	90.14	124.37	71.0	90.14	124.37	108.14	102.25	264.03	96.01	121.79	171.45	73.03	143.01	73.03	159.9	163.28	96.68	98.73	139.07	108.9	72.52	96.68
DPP8	107.38	420.68	334.46	166.73	154.42	236.21	260.38	226.54	114.36	214.27	182.55	176.29	253.23	197.09	226.54	271.48	231.32	251.48	166.73	148.09	107.38	187.71	150.17	220.32	339.14	176.29	224.97	193.01	177.53	223.41	111.99	228.13	260.38	186.4	244.57	197.09	180.02	305.55	142.01	318.57	253.23	159.9	178.77	214.27	267.73	297.17	176.29	205.5	157.68	264.03	137.14	255.0	264.03	251.48	334.46	186.4	281.09	191.67	281.09	154.42	215.77	314.17	171.45	204.07	166.73	172.65	234.57	177.53	275.28	353.59	264.03	177.53	258.57	155.5	353.59	167.9	323.03	249.73	199.85	214.27	273.37	211.31	132.44	159.9
DR1	412.0	723.08	595.34	392.44	309.83	514.56	521.76	497.0	334.46	525.39	366.09	336.79	587.13	447.82	420.68	595.34	563.18	490.14	358.54	420.68	291.04	392.44	397.93	507.46	555.41	373.81	466.88	463.65	432.53	447.82	320.8	466.88	674.59	384.34	409.15	384.34	277.2	518.15	376.41	656.11	460.44	480.04	368.65	441.64	507.46	490.14	366.09	363.56	371.22	521.76	305.55	521.76	703.28	583.07	579.04	438.59	551.56	397.93	656.11	406.31	559.28	486.75	457.25	423.61	325.29	400.71	454.09	454.09	521.76	540.19	457.25	379.04	514.56	325.29	612.11	457.25	620.67	486.75	507.46	397.93	587.13	500.46	329.84	397.93
DYNC1LI2	1111.82	2645.74	2240.11	1088.92	775.05	1259.69	1304.15	1066.48	607.87	1259.69	902.89	1111.82	1397.83	902.89	1350.18	1519.15	1572.76	1322.37	723.08	819.3	854.13	1066.48	902.89	1191.69	1745.2	1037.29	1066.48	718.08	1208.34	1183.45	536.45	1250.98	1340.84	1225.22	1295.13	1088.92	830.75	1605.83	674.59	1467.37	1378.57	791.35	1151.06	1127.35	1331.57	1757.34	540.19	909.17	941.27	1350.18	921.88	1551.09	1594.73	1295.13	1359.57	1322.37	1407.55	961.07	1143.1	884.29	1313.23	1991.0	941.27	988.12	708.18	902.89	1397.83	1001.93	1304.15	2193.99	1127.35	902.89	1369.04	764.36	1844.76	1183.45	1529.73	1709.26	1037.29	1250.98	1508.65	995.0	571.05	954.43
DYRK1A	420.68	616.37	981.29	497.0	454.09	563.18	708.18	511.0	309.83	616.37	457.25	406.31	698.41	518.15	629.35	642.59	708.18	612.11	406.31	412.0	460.44	543.96	444.72	607.87	748.61	486.75	620.67	420.68	571.05	607.87	293.07	656.11	642.59	642.59	521.76	460.44	299.25	738.29	420.68	733.19	642.59	423.61	503.95	497.0	532.74	688.78	460.44	507.46	429.54	647.07	412.0	595.34	718.08	660.68	651.58	551.56	633.73	497.0	575.03	412.0	587.13	813.63	420.68	470.14	348.71	450.94	684.02	599.49	591.22	854.13	567.1	490.14	529.06	406.31	808.0	507.46	684.02	703.28	466.88	503.95	612.11	483.38	389.72	463.65
EEA1	110.43	190.34	269.6	55.89	59.13	115.97	127.0	90.14	34.26	91.41	62.56	75.11	127.89	65.26	106.63	156.59	130.6	102.97	70.51	46.84	47.5	91.41	63.45	74.06	139.07	79.45	120.94	62.56	74.06	97.36	43.94	87.03	131.51	76.17	88.88	67.59	62.56	134.3	71.0	178.77	123.5	70.01	58.71	98.73	106.63	137.14	69.52	82.87	60.82	121.79	40.36	100.83	123.5	113.56	129.69	56.68	93.35	82.87	113.56	62.56	93.35	155.5	59.55	88.26	61.68	79.45	100.83	70.01	110.43	167.9	96.01	75.64	103.69	54.72	150.17	69.03	124.37	142.01	74.58	73.54	136.19	91.41	55.89	52.82
ELF1	441.64	1059.11	1583.71	624.99	525.39	872.1	1127.35	796.86	490.14	878.17	540.19	532.74	1015.93	796.86	842.36	981.29	1066.48	688.78	579.04	633.73	503.95	723.08	536.45	836.53	1081.39	633.73	753.83	878.17	728.11	780.44	371.22	872.1	995.0	718.08	529.06	753.83	444.72	1119.56	547.75	1135.2	928.3	633.73	728.11	738.29	808.0	1066.48	660.68	656.11	497.0	890.44	476.71	928.3	1066.48	954.43	1088.92	780.44	684.02	764.36	890.44	607.87	848.22	1044.52	674.59	738.29	567.1	647.07	896.64	848.22	842.36	1051.79	915.51	579.04	890.44	543.96	1096.5	830.75	1096.5	1208.34	860.08	780.44	947.83	791.35	409.15	693.58
EPT1	98.73	125.24	297.17	80.01	63.89	124.37	133.36	120.94	76.71	106.63	78.34	102.25	120.1	85.82	106.63	136.19	140.04	127.89	78.89	75.11	73.54	115.16	71.5	80.01	149.12	100.13	114.36	88.88	77.25	113.56	75.11	111.21	156.59	90.14	129.69	93.35	140.04	118.43	93.35	157.68	119.26	76.71	144.01	113.56	132.44	143.01	106.63	89.51	94.67	116.78	69.52	133.36	136.19	127.0	153.34	87.03	120.1	101.54	146.03	80.01	121.79	154.42	74.58	108.14	68.55	112.77	141.02	78.34	135.24	158.79	92.05	81.71	150.17	69.52	178.77	90.14	153.34	127.89	98.73	108.14	142.01	120.94	82.87	86.43
EXOC5	171.45	1191.69	591.22	163.28	147.06	336.79	297.17	271.48	145.02	226.54	157.68	173.85	334.46	228.13	283.05	441.64	295.11	253.23	185.11	173.85	170.25	228.13	194.36	206.94	389.72	195.72	239.52	176.29	187.71	265.87	147.06	264.03	417.77	198.47	232.94	229.72	246.28	291.04	211.31	470.14	297.17	205.5	164.42	236.21	260.38	384.34	165.57	208.38	206.94	287.01	143.01	376.41	403.5	307.69	366.09	173.85	256.78	217.27	376.41	220.32	283.05	366.09	155.5	246.28	194.36	249.73	234.57	180.02	348.71	490.14	295.11	215.77	255.0	170.25	358.54	190.34	441.64	255.0	217.27	237.86	429.54	255.0	158.79	186.4
EYA3	172.65	287.01	224.97	153.34	130.6	182.55	267.73	158.79	141.02	180.02	151.22	116.78	239.52	211.31	205.5	211.31	246.28	183.82	136.19	149.12	170.25	147.06	141.02	202.66	211.31	163.28	217.27	128.79	164.42	177.53	111.99	223.41	229.72	140.04	202.66	157.68	113.56	237.86	110.43	244.57	226.54	153.34	185.11	171.45	173.85	260.38	150.17	144.01	157.68	228.13	135.24	226.54	287.01	209.84	241.19	189.02	212.78	142.01	226.54	141.02	166.73	220.32	140.04	151.22	104.42	116.78	221.86	187.71	189.02	312.0	170.25	148.09	165.57	131.51	251.48	162.14	189.02	249.73	169.07	190.34	215.77	131.51	145.02	175.07
FAM63B	34.26	256.78	151.22	92.7	81.14	107.38	130.6	88.26	31.45	133.36	83.45	87.03	161.02	100.13	127.0	155.5	194.36	166.73	72.01	105.89	92.05	77.79	74.58	120.1	175.07	79.45	75.11	76.17	117.6	102.97	46.18	111.21	135.24	88.88	99.43	77.25	58.71	201.25	67.12	170.25	142.01	84.04	72.01	96.68	119.26	164.42	90.77	89.51	78.34	92.7	77.79	120.1	167.9	159.9	186.4	91.41	111.99	73.03	137.14	73.54	136.19	164.42	78.89	84.63	68.55	76.17	106.63	97.36	112.77	198.47	110.43	87.65	115.16	57.89	156.59	101.54	181.28	167.9	77.79	109.66	145.02	63.89	60.39	90.77
FBXO28	255.0	412.0	547.75	190.34	177.53	265.87	285.03	231.32	126.12	299.25	171.45	199.85	314.17	220.32	275.28	312.0	336.79	307.69	139.07	191.67	166.73	239.52	180.02	241.19	327.56	199.85	220.32	191.67	218.79	271.48	142.01	251.48	297.17	223.41	256.78	208.38	158.79	320.8	175.07	320.8	262.2	177.53	193.01	197.09	260.38	329.84	198.47	194.36	217.27	267.73	163.28	275.28	318.57	248.0	323.03	217.27	275.28	215.77	271.48	162.14	242.88	301.33	191.67	220.32	165.57	193.01	279.14	237.86	249.73	334.46	256.78	211.31	248.0	165.57	327.56	176.29	336.79	316.37	232.94	211.31	307.69	226.54	172.65	201.25
FBXW11	409.15	612.11	764.36	353.59	303.44	450.94	444.72	376.41	285.03	397.93	279.14	325.29	500.46	314.17	441.64	507.46	503.95	395.18	346.29	356.05	305.55	366.09	327.56	379.04	518.15	373.81	432.53	249.73	356.05	368.65	289.02	423.61	514.56	371.22	417.77	392.44	323.03	525.39	253.23	536.45	507.46	381.68	368.65	381.68	460.44	500.46	332.14	316.37	303.44	473.41	348.71	460.44	540.19	507.46	525.39	368.65	432.53	379.04	476.71	318.57	435.55	620.67	339.14	356.05	314.17	348.71	417.77	373.81	551.56	575.03	450.94	353.59	412.0	277.2	583.07	366.09	583.07	470.14	363.56	387.02	521.76	376.41	301.33	329.84
FEM1B	118.43	409.15	651.58	239.52	197.09	320.8	332.14	265.87	158.79	253.23	206.94	236.21	371.22	277.2	283.05	379.04	384.34	334.46	195.72	175.07	194.36	287.01	205.5	301.33	329.84	253.23	239.52	218.79	232.94	291.04	182.55	305.55	351.14	295.11	241.19	249.73	177.53	387.02	181.28	392.44	318.57	202.66	208.38	255.0	287.01	368.65	237.86	208.38	223.41	312.0	180.02	287.01	361.04	327.56	348.71	209.84	325.29	223.41	329.84	190.34	299.25	397.93	204.07	229.72	191.67	228.13	339.14	271.48	318.57	400.71	242.88	241.19	273.37	194.36	406.31	206.94	444.72	366.09	197.09	246.28	353.59	228.13	198.47	262.2
FOXJ2	253.23	320.8	295.11	161.02	208.38	215.77	279.14	187.71	177.53	212.78	178.77	182.55	236.21	177.53	180.02	260.38	220.32	215.77	150.17	159.9	147.06	166.73	183.82	237.86	305.55	242.88	241.19	125.24	172.65	193.01	157.68	220.32	246.28	194.36	199.85	186.4	172.65	242.88	154.42	283.05	231.32	183.82	199.85	214.27	208.38	285.03	183.82	176.29	183.82	285.03	154.42	223.41	269.6	218.79	215.77	162.14	249.73	177.53	218.79	173.85	260.38	241.19	151.22	189.02	177.53	186.4	275.28	199.85	242.88	271.48	209.84	166.73	198.47	206.94	305.55	194.36	249.73	293.07	164.42	214.27	244.57	156.59	175.07	157.68
FRS2	112.77	473.41	389.72	94.01	83.45	170.25	226.54	141.02	72.01	159.9	96.01	101.54	226.54	123.5	163.28	206.94	224.97	172.65	102.97	84.04	99.43	131.51	94.01	140.04	226.54	128.79	164.42	130.6	103.69	144.01	63.45	153.34	206.94	137.14	194.36	130.6	95.34	258.57	105.89	249.73	194.36	96.68	122.64	143.01	148.09	189.02	102.25	108.9	98.04	175.07	78.34	197.09	234.57	198.47	220.32	98.73	202.66	126.12	198.47	112.77	171.45	277.2	88.26	128.79	107.38	108.14	173.85	161.02	195.72	267.73	170.25	115.16	178.77	85.82	249.73	125.24	212.78	285.03	108.9	127.0	223.41	114.36	94.01	102.25
FYTTD1	624.99	884.29	1923.14	497.0	536.45	854.13	884.29	693.58	497.0	775.05	547.75	591.22	981.29	660.68	884.29	954.43	1023.0	764.36	547.75	559.28	450.94	733.19	503.95	629.35	1119.56	665.29	698.41	764.36	536.45	769.69	397.93	775.05	1015.93	638.15	878.17	703.28	909.17	902.89	529.06	1030.12	819.3	612.11	665.29	753.83	860.08	988.12	780.44	633.73	603.67	866.07	518.15	872.1	967.76	866.07	1119.56	738.29	785.88	629.35	967.76	543.96	759.08	928.3	616.37	660.68	624.99	624.99	884.29	769.69	854.13	1015.93	748.61	579.04	921.88	503.95	995.0	718.08	1044.52	808.0	830.75	656.11	1030.12	764.36	547.75	603.67
GMCL1	209.84	327.56	262.2	201.25	161.02	258.57	258.57	159.9	97.36	234.57	127.89	187.71	241.19	205.5	265.87	299.25	275.28	246.28	186.4	186.4	170.25	181.28	158.79	237.86	312.0	224.97	152.28	120.1	214.27	165.57	132.44	215.77	287.01	199.85	249.73	153.34	169.07	289.02	154.42	312.0	251.48	173.85	189.02	194.36	253.23	229.72	177.53	164.42	150.17	241.19	112.77	265.87	236.21	249.73	291.04	170.25	236.21	199.85	269.6	166.73	255.0	231.32	176.29	185.11	185.11	193.01	204.07	201.25	224.97	273.37	211.31	194.36	236.21	128.79	244.57	177.53	314.17	279.14	169.07	201.25	251.48	190.34	153.34	165.57
GMFB	346.29	1313.23	2193.99	264.03	239.52	490.14	397.93	476.71	199.85	343.89	277.2	281.09	447.82	332.14	371.22	603.67	423.61	417.77	343.89	343.89	269.6	305.55	307.69	336.79	476.71	351.14	285.03	273.37	264.03	371.22	262.2	341.51	579.04	348.71	395.18	387.02	429.54	454.09	339.14	521.76	429.54	341.51	435.55	358.54	346.29	500.46	285.03	301.33	366.09	500.46	205.5	483.38	444.72	423.61	507.46	239.52	376.41	363.56	500.46	295.11	507.46	395.18	275.28	432.53	339.14	406.31	320.8	309.83	551.56	450.94	426.57	346.29	490.14	285.03	518.15	320.8	540.19	420.68	414.87	332.14	503.95	480.04	273.37	303.44
GPATCH2L	148.09	343.89	323.03	138.1	98.73	155.5	242.88	129.69	94.67	175.07	118.43	102.25	221.86	110.43	139.07	193.01	224.97	138.1	101.54	135.24	95.34	116.78	141.02	155.5	220.32	120.94	169.07	105.89	140.04	120.1	81.14	157.68	171.45	144.01	147.06	149.12	82.87	221.86	103.69	198.47	180.02	132.44	162.14	162.14	208.38	223.41	121.79	112.77	120.1	177.53	96.01	185.11	224.97	153.34	204.07	165.57	162.14	131.51	180.02	81.71	190.34	208.38	120.1	162.14	100.83	111.21	187.71	125.24	166.73	262.2	164.42	122.64	185.11	115.97	271.48	163.28	236.21	212.78	193.01	142.01	206.94	127.0	131.51	139.07
HEATR1	185.11	193.01	248.0	120.94	98.04	172.65	209.84	146.03	93.35	150.17	105.15	109.66	191.67	141.02	138.1	187.71	189.02	135.24	74.58	105.15	90.77	109.66	116.78	150.17	171.45	127.89	170.25	97.36	117.6	126.12	82.29	172.65	176.29	112.77	131.51	119.26	82.29	180.02	104.42	241.19	159.9	105.89	125.24	144.01	151.22	170.25	98.73	111.21	110.43	169.07	98.73	159.9	193.01	165.57	191.67	126.12	163.28	115.97	175.07	103.69	152.28	217.27	87.65	121.79	94.67	88.26	165.57	145.02	193.01	246.28	147.06	111.21	149.12	108.9	226.54	100.13	206.94	212.78	100.83	117.6	190.34	125.24	105.89	118.43
HEATR5B	138.1	368.65	256.78	186.4	139.07	197.09	271.48	220.32	120.94	229.72	156.59	161.02	253.23	185.11	221.86	265.87	260.38	208.38	159.9	156.59	138.1	181.28	158.79	191.67	281.09	173.85	214.27	146.03	183.82	214.27	111.21	228.13	255.0	187.71	211.31	189.02	119.26	269.6	145.02	262.2	242.88	151.22	191.67	226.54	229.72	246.28	180.02	173.85	151.22	229.72	124.37	244.57	267.73	253.23	241.19	228.13	226.54	198.47	214.27	137.14	234.57	293.07	155.5	176.29	141.02	176.29	231.32	190.34	229.72	291.04	206.94	173.85	246.28	147.06	309.83	181.28	258.57	265.87	186.4	191.67	273.37	193.01	148.09	189.02
HELZ	104.42	190.34	193.01	72.52	70.51	96.01	153.34	85.22	49.56	105.89	82.29	68.07	139.07	96.01	94.01	111.21	145.02	94.67	63.0	56.28	60.39	84.63	80.57	90.77	133.36	77.79	108.14	70.01	84.04	84.63	45.53	116.78	104.42	82.87	93.35	78.34	56.68	145.02	65.26	141.02	128.79	69.52	82.87	94.67	87.65	136.19	65.26	89.51	68.55	108.9	73.54	96.01	130.6	103.69	111.99	90.77	118.43	78.89	116.78	64.34	105.15	151.22	76.17	81.14	73.03	68.07	147.06	100.83	106.63	164.42	111.21	89.51	102.97	70.51	141.02	76.71	151.22	143.01	72.52	83.45	143.01	74.58	79.45	78.89
IPMK	50.63	95.34	56.68	34.75	43.63	77.79	75.11	47.5	26.47	43.63	30.12	41.81	71.0	56.68	73.03	90.77	94.01	62.12	37.85	39.5	32.59	53.19	32.36	59.97	63.0	45.85	39.79	41.81	59.97	64.8	25.17	47.84	94.67	49.21	46.18	34.51	38.95	74.06	53.57	95.34	69.03	37.32	27.25	54.33	56.28	66.65	45.85	41.81	45.53	74.58	17.9	62.56	94.67	63.89	87.65	30.56	55.1	46.5	65.72	56.68	50.63	46.84	24.81	51.35	47.5	45.53	51.35	52.45	51.35	64.8	36.79	43.02	73.54	36.53	80.01	45.21	79.45	71.5	45.53	39.22	71.0	39.22	25.91	40.36
IPO8	217.27	728.11	660.68	295.11	295.11	358.54	447.82	339.14	182.55	318.57	305.55	316.37	466.88	287.01	368.65	400.71	497.0	376.41	234.57	265.87	234.57	312.0	265.87	336.79	470.14	303.44	351.14	248.0	287.01	363.56	223.41	417.77	384.34	312.0	332.14	307.69	289.02	450.94	212.78	441.64	417.77	260.38	283.05	318.57	414.87	454.09	332.14	320.8	271.48	358.54	303.44	371.22	414.87	366.09	480.04	351.14	389.72	293.07	392.44	236.21	339.14	525.39	299.25	316.37	232.94	211.31	358.54	320.8	447.82	536.45	379.04	291.04	358.54	249.73	432.53	251.48	447.82	444.72	305.55	327.56	447.82	251.48	277.2	312.0
ITCH	189.02	454.09	624.99	224.97	195.72	339.14	397.93	309.83	178.77	295.11	186.4	201.25	387.02	228.13	291.04	379.04	353.59	277.2	217.27	215.77	165.57	218.79	224.97	246.28	400.71	242.88	327.56	195.72	246.28	256.78	158.79	293.07	395.18	226.54	316.37	246.28	251.48	358.54	217.27	371.22	339.14	204.07	289.02	249.73	316.37	406.31	212.78	214.27	234.57	320.8	190.34	387.02	450.94	356.05	346.29	215.77	297.17	237.86	384.34	197.09	316.37	353.59	202.66	253.23	229.72	199.85	299.25	264.03	363.56	423.61	307.69	224.97	346.29	193.01	420.68	202.66	423.61	373.81	255.0	260.38	447.82	256.78	214.27	228.13
KIAA0947	123.5	285.03	444.72	143.01	136.19	182.55	217.27	165.57	84.63	163.28	130.6	123.5	236.21	144.01	156.59	198.47	211.31	180.02	92.05	115.97	115.16	148.09	134.3	153.34	209.84	131.51	167.9	103.69	145.02	147.06	100.13	193.01	181.28	157.68	145.02	150.17	125.24	220.32	98.04	232.94	199.85	125.24	123.5	148.09	187.71	221.86	132.44	123.5	119.26	175.07	139.07	189.02	214.27	199.85	218.79	159.9	175.07	138.1	190.34	103.69	162.14	253.23	126.12	128.79	106.63	117.6	187.71	161.02	197.09	297.17	186.4	150.17	169.07	118.43	221.86	127.89	226.54	187.71	123.5	153.34	212.78	125.24	141.02	163.28
KIAA1033	224.97	1151.06	647.07	234.57	206.94	403.5	511.0	392.44	144.01	341.51	212.78	234.57	387.02	316.37	327.56	521.76	417.77	291.04	228.13	206.94	157.68	287.01	305.55	269.6	412.0	279.14	334.46	157.68	242.88	332.14	155.5	299.25	438.59	295.11	283.05	246.28	251.48	414.87	309.83	447.82	395.18	239.52	232.94	312.0	291.04	353.59	226.54	332.14	251.48	392.44	155.5	381.68	389.72	351.14	341.51	242.88	281.09	366.09	392.44	256.78	371.22	368.65	177.53	371.22	287.01	255.0	339.14	289.02	366.09	480.04	291.04	258.57	518.15	224.97	432.53	239.52	412.0	432.53	262.2	279.14	441.64	341.51	241.19	279.14
