	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.ZC5H.1726.SM.5HL7X	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5083.01A.02R.1420.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.DZ.6131.11A.01R.1965.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.1269C.0626.SM.5FQSS	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.13NZB.0626.SM.5IFH6	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	TCGA.BR.A44T.01A.32R.A24K.31	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF
KBTBD12	17.38	58.71	30.34	283.05	167.9	186.4	63.89	209.84	181.28	264.03	113.56	13.52	19.68	40.64	60.39	38.67	21.78	137.14	106.63	1.36	0.92	147.06	15.34	24.99	246.28	12.45	0.0	0.0	0.46	0.0	0.32	0.67	3.11	1.35	0.0	0.82	0.77	0.75	1.27	0.69	0.32	0.29	1.0	55.49	50.63	67.59
KIAA1456	56.28	139.07	265.87	124.37	123.5	1023.0	620.67	155.5	395.18	379.04	175.07	209.84	32.36	275.28	224.97	38.67	316.37	555.41	132.44	74.06	9.7	295.11	73.03	121.79	713.11	121.79	4.62	38.67	147.06	2.46	4.17	6.62	49.56	37.05	50.98	1.22	4.28	120.94	35.76	30.12	136.19	161.02	14.03	48.18	49.56	40.07
KIF13B	314.17	599.49	1832.01	2032.85	2468.49	2997.45	2520.38	1388.16	2434.5	2609.3	1594.73	813.63	312.0	713.11	447.82	204.07	514.56	1651.0	1477.58	189.02	113.56	2104.58	571.05	511.0	2335.28	728.11	90.77	94.01	116.78	146.03	77.79	147.06	108.14	82.29	57.08	59.13	88.26	63.89	122.64	127.0	115.97	113.56	101.54	221.86	387.02	503.95
KIF21A	429.54	269.6	3081.75	4543.8	1437.15	1350.18	1909.85	2555.58	1685.71	3060.45	2384.37	532.74	563.18	591.22	316.37	397.93	108.9	2090.03	2502.97	358.54	132.44	3419.52	684.02	723.08	4575.41	376.41	214.27	417.77	320.8	323.03	269.6	221.86	403.5	283.05	420.68	208.38	158.79	595.34	212.78	318.57	389.72	157.68	283.05	214.27	108.14	242.88
KIT	1159.07	67.59	1508.65	1540.37	2224.63	2271.4	5147.73	2915.45	2319.15	2271.4	5517.27	1508.65	232.94	981.29	127.89	334.46	878.17	2004.85	2591.27	112.77	75.11	2303.12	759.08	361.04	7642.41	68.07	4.24	5.36	29.06	4.1	8.38	15.34	10.63	34.75	4.03	10.39	7.22	10.47	23.25	2.81	5.06	46.84	47.84	120.94	135.24	361.04
KLHL22	316.37	234.57	392.44	423.61	366.09	1183.45	974.5	665.29	947.83	684.02	769.69	384.34	463.65	438.59	518.15	426.57	199.85	651.58	514.56	295.11	204.07	620.67	400.71	376.41	703.28	507.46	256.78	253.23	226.54	201.25	287.01	120.94	229.72	193.01	242.88	214.27	215.77	139.07	299.25	231.32	194.36	71.5	339.14	518.15	289.02	287.01
KRT35	0.0	1.31	3.53	0.44	10.0	7.11	4.17	2.34	13.32	0.39	1.41	0.0	0.0	0.0	0.75	0.0	1.36	1.93	2.2	0.0	0.45	3.08	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LAMB4	2.94	4.28	11.47	197.09	107.38	961.07	759.08	221.86	271.48	1950.0	884.29	19.11	20.11	12.36	72.01	126.12	63.0	483.38	23.08	18.56	16.51	1167.14	49.21	70.01	1037.29	44.25	0.4	1.83	0.95	0.0	0.79	3.38	0.0	0.0	0.0	2.27	2.68	0.0	0.0	0.0	4.21	0.0	3.14	0.89	8.58	22.75
LARS2	215.77	246.28	426.57	420.68	400.71	819.3	902.89	514.56	708.18	603.67	651.58	314.17	167.9	571.05	366.09	295.11	291.04	466.88	395.18	96.68	109.66	878.17	392.44	285.03	780.44	460.44	110.43	180.02	107.38	94.01	153.34	127.0	180.02	115.16	100.83	121.79	131.51	193.01	152.28	180.02	96.68	119.26	123.5	128.79	130.6	121.79
LETMD1	995.0	2032.85	3190.46	3467.27	1991.0	1322.37	2255.7	2468.49	1313.23	1857.6	2417.67	921.88	1781.89	1151.06	2645.74	1617.0	733.19	2682.69	5219.6	1605.83	1331.57	1794.29	1561.89	1819.35	2895.31	1685.71	1304.15	836.53	1037.29	1540.37	1151.06	842.36	974.5	1457.23	1088.92	1199.98	1242.34	981.29	1407.55	825.0	808.0	599.49	1286.18	1628.26	1051.79	1651.0
LIMA1	3212.66	2915.45	2855.44	4328.55	1709.26	4419.52	4972.34	4328.55	3515.68	4123.49	5183.54	988.12	1175.27	1651.0	2119.22	974.5	1015.93	4575.41	2758.13	1159.07	890.44	4239.45	1242.34	1167.14	6561.36	743.43	87.03	353.59	934.76	109.66	195.72	318.57	366.09	242.88	318.57	164.42	169.07	669.92	262.2	127.0	236.21	137.14	223.41	1143.1	1096.5	633.73
LPHN1	214.27	320.8	189.02	43.63	208.38	1088.92	1427.22	215.77	629.35	463.65	698.41	201.25	100.13	217.27	450.94	114.36	217.27	728.11	164.42	100.13	66.65	769.69	229.72	163.28	591.22	361.04	12.74	29.27	13.52	24.28	21.94	6.06	39.79	43.63	19.39	42.41	54.72	12.64	29.48	6.01	26.28	8.45	77.25	305.55	239.52	226.54
LRFN3	432.53	148.09	281.09	218.79	209.84	665.29	651.58	351.14	587.13	363.56	466.88	172.65	185.11	275.28	289.02	149.12	102.97	228.13	171.45	74.06	65.72	248.0	195.72	154.42	529.06	353.59	85.82	166.73	65.72	97.36	82.87	116.78	146.03	79.45	172.65	95.34	190.34	93.35	172.65	237.86	143.01	24.11	142.01	353.59	466.88	426.57
MAP2K5	381.68	346.29	559.28	366.09	376.41	603.67	591.22	406.31	432.53	500.46	473.41	265.87	323.03	287.01	336.79	307.69	212.78	387.02	642.59	283.05	206.94	571.05	303.44	260.38	371.22	320.8	224.97	264.03	183.82	273.37	248.0	208.38	309.83	325.29	220.32	329.84	283.05	265.87	241.19	249.73	242.88	94.67	214.27	363.56	339.14	429.54
MEF2BNB	591.22	698.41	642.59	587.13	693.58	802.41	934.76	808.0	830.75	713.11	988.12	454.09	688.78	713.11	878.17	759.08	579.04	764.36	579.04	486.75	559.28	1001.93	620.67	603.67	769.69	785.88	463.65	368.65	289.02	412.0	525.39	384.34	493.56	543.96	435.55	559.28	708.18	395.18	518.15	406.31	312.0	341.51	363.56	511.0	532.74	327.56
MKKS	525.39	647.07	1242.34	1119.56	941.27	1322.37	2240.11	2148.82	1870.53	1662.49	1583.71	693.58	743.43	579.04	878.17	1477.58	629.35	3491.39	1427.22	629.35	638.15	2573.36	780.44	915.51	2555.58	629.35	287.01	450.94	339.14	299.25	607.87	343.89	518.15	376.41	500.46	563.18	303.44	514.56	332.14	426.57	397.93	381.68	521.76	603.67	476.71	612.11
MOB1B	185.11	115.16	507.46	1721.16	457.25	1583.71	1977.24	1844.76	1529.73	1286.18	1467.37	860.08	1143.1	1286.18	698.41	785.88	780.44	1015.93	896.64	173.85	137.14	1378.57	842.36	769.69	3190.46	387.02	23.76	119.26	115.16	65.26	39.5	148.09	154.42	52.82	78.89	46.18	36.01	151.22	41.22	67.12	63.89	144.01	76.17	189.02	206.94	93.35
MRPL15	921.88	1583.71	4298.64	3235.01	4181.07	2915.45	3146.52	3982.99	4543.8	2895.31	1757.34	1023.0	1457.23	1508.65	1950.0	2271.4	988.12	4066.71	3928.15	1088.92	728.11	3690.52	1883.54	1605.83	3349.13	1639.59	947.83	872.1	529.06	708.18	947.83	1745.2	848.22	718.08	708.18	723.08	995.0	1322.37	579.04	1111.82	532.74	1457.23	928.3	884.29	547.75	1250.98
MT-ND3	2171106.91	3626130.97	1668359.93	2986448.72	1890058.21	1567462.05	2310861.52	2294899.22	1108362.75	1264380.15	4464291.11	1355129.16	2392353.91	1273174.62	1916442.45	2343119.96	3502611.6	1727194.55	1383603.33	1890058.21	1622738.51	1763486.6	1668359.93	1600397.78	938500.81	1838374.44	1890058.21	1482909.4	1851161.35	1412675.8	1556634.79	1462493.73	1970321.01	1482909.4	2581895.97	1634025.56	1813064.98	1890058.21	1751305.3	2375828.71	1432396.03	1916442.45	2156109.97	1656835.72	2691538.19	2767207.65
MTFMT	253.23	241.19	381.68	301.33	346.29	297.17	417.77	358.54	379.04	309.83	289.02	262.2	193.01	223.41	256.78	400.71	115.16	366.09	403.5	217.27	173.85	403.5	264.03	224.97	353.59	221.86	204.07	198.47	151.22	136.19	159.9	223.41	264.03	177.53	189.02	148.09	157.68	164.42	120.1	157.68	148.09	172.65	242.88	269.6	236.21	231.32
MTL5	74.06	226.54	262.2	320.8	102.97	426.57	656.11	748.61	934.76	289.02	318.57	108.9	295.11	161.02	307.69	460.44	45.85	723.08	255.0	94.67	64.34	157.68	177.53	123.5	559.28	120.1	4.21	1.91	1.25	5.87	1.11	13.12	10.71	1.89	14.78	8.65	9.34	14.03	51.71	3.96	6.26	0.03	15.8	57.89	35.76	42.41
MUC19	0.0	0.0	0.99	1.91	3.03	10.71	34.26	12.64	79.45	5.73	66.65	9.78	8.99	11.04	8.65	0.0	1.93	115.16	0.0	0.0	1.93	22.75	14.03	9.34	14.45	2.63	0.0	1.79	0.0	0.0	1.04	0.32	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	6.01	3.26	1.23	0.85	2.27	0.0
MUC20	490.14	2004.85	8479.89	29124.6	18950.18	34876.28	19754.96	42937.97	18052.61	16960.78	30151.71	4298.64	1781.89	3235.01	748.61	420.68	281.09	29736.59	7230.1	165.57	1268.46	9673.69	1883.54	961.07	43840.21	866.07	389.72	603.67	995.0	193.01	559.28	156.59	819.3	587.13	480.04	379.04	423.61	273.37	521.76	703.28	241.19	103.69	348.71	211.31	199.85	63.89
MVB12B	384.34	171.45	69.03	169.07	38.4	529.06	486.75	325.29	567.1	414.87	470.14	74.06	80.01	171.45	241.19	131.51	59.97	329.84	178.77	100.83	58.3	281.09	128.79	109.66	703.28	158.79	90.14	130.6	153.34	146.03	98.04	23.76	98.04	89.51	69.52	90.14	85.82	48.18	109.66	75.64	68.07	9.7	75.64	277.2	197.09	108.14
MYZAP	115.97	297.17	1008.9	718.08	2367.9	1628.26	1977.24	2895.31	2303.12	5517.27	2434.5	194.36	255.0	244.57	1427.22	271.48	55.89	2875.3	1628.26	31.45	12.0	3018.3	106.63	80.01	3443.31	154.42	0.0	20.26	77.79	12.36	37.59	0.0	33.06	32.82	33.3	12.55	19.39	30.34	1.27	9.27	11.47	13.42	32.82	171.45	336.79	802.41
N4BP3	31.22	16.75	251.48	669.92	599.49	140.04	320.8	142.01	260.38	273.37	237.86	70.01	23.08	112.77	189.02	66.18	54.33	176.29	124.37	75.11	61.25	83.45	57.49	59.55	287.01	228.13	1.77	0.16	3.76	0.14	0.74	0.64	18.16	4.13	0.88	3.11	0.0	2.14	3.0	0.66	4.86	0.12	1.75	68.55	33.3	57.89
NCR3LG1	12.18	75.64	166.73	366.09	211.31	57.49	113.56	150.17	125.24	81.14	118.43	32.13	27.25	70.51	5.63	13.62	34.26	95.34	119.26	16.51	9.48	79.45	69.52	55.49	287.01	15.91	1.3	2.73	5.82	2.18	0.31	5.11	0.72	0.01	1.62	1.43	0.0	0.3	1.75	3.14	1.38	14.03	0.0	29.48	9.7	5.11
NDUFAF5	432.53	460.44	1081.39	830.75	1191.69	813.63	941.27	848.22	890.44	836.53	1081.39	269.6	334.46	612.11	591.22	890.44	176.29	1733.13	967.76	435.55	511.0	1088.92	612.11	607.87	902.89	381.68	231.32	454.09	656.11	237.86	507.46	426.57	229.72	470.14	258.57	185.11	253.23	417.77	320.8	366.09	281.09	387.02	273.37	454.09	376.41	379.04
NKX6-1	2.41	0.74	0.45	0.0	0.48	2875.3	2319.15	3039.3	1259.69	2627.46	2875.3	2.1	0.0	0.46	0.91	0.0	0.0	866.07	11.3	0.0	0.0	1331.57	0.41	1.0	2468.49	0.0	1.46	0.24	2.1	3.44	0.0	0.0	2.97	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.47	7.63	4.13
NPTN	2468.49	2004.85	3874.05	4937.99	4419.52	5791.62	6745.86	5831.91	5076.84	7485.11	6250.56	2520.38	3168.41	5255.91	4937.99	2739.08	3124.78	4450.27	8022.41	2664.15	1561.89	7280.4	3235.01	3395.89	8363.13	3820.7	423.61	802.41	642.59	493.56	567.1	511.0	1023.0	595.34	688.78	638.15	547.75	1015.93	647.07	547.75	591.22	417.77	521.76	2935.74	2956.17	2400.97
NRXN3	373.81	69.03	336.79	133.36	169.07	1508.65	1175.27	872.1	854.13	791.35	1066.48	154.42	43.63	224.97	101.54	68.07	182.55	1096.5	327.56	141.02	191.67	429.54	106.63	60.82	1225.22	21.47	7.46	15.45	21.32	6.84	2.39	0.21	67.12	5.45	6.01	9.7	4.35	7.4	5.11	1.1	1.79	0.27	18.03	1081.39	309.83	28.45
NTN1	346.29	112.77	339.14	1457.23	470.14	525.39	842.36	532.74	571.05	748.61	902.89	153.34	13.03	329.84	12.27	102.97	60.82	902.89	307.69	5.36	5.41	395.18	74.06	78.34	1304.15	12.74	67.12	49.56	47.84	32.82	24.63	30.34	116.78	41.81	51.71	33.78	16.03	14.56	111.21	490.14	49.56	105.15	27.84	567.1	753.83	228.13
OTUD7A	15.11	58.71	18.16	37.05	15.8	50.63	148.09	67.12	130.6	67.59	56.68	37.32	9.56	40.36	16.03	29.7	21.78	88.26	21.01	12.09	8.58	31.9	18.43	37.59	101.54	30.56	8.58	5.87	7.34	1.66	16.63	2.73	19.53	4.21	2.89	1.68	2.07	1.6	12.36	14.89	9.41	1.55	13.93	22.43	26.47	19.82
OXCT1	256.78	303.44	156.59	6561.36	423.61	6294.04	13681.08	8718.32	7130.55	6745.86	30151.71	1277.29	884.29	7230.1	7642.41	2627.46	629.35	5711.87	698.41	98.04	75.64	9808.75	1322.37	1388.16	32767.0	2367.9	15.34	7.28	35.76	1.71	10.88	66.65	23.25	23.08	15.0	3.56	6.62	24.11	12.36	2.56	10.08	2.29	22.92	547.75	202.66	988.12
PACRG	31.9	18.03	974.5	1286.18	108.14	1617.0	1662.49	1467.37	2255.7	3467.27	1225.22	547.75	162.14	1457.23	201.25	1233.75	332.14	1870.53	2209.26	59.13	45.53	2555.58	470.14	279.14	1639.59	150.17	204.07	120.94	53.57	138.1	221.86	86.43	61.68	103.69	44.25	93.35	155.5	62.56	100.83	80.01	34.51	54.72	112.77	40.64	91.41	100.83
PARVB	974.5	353.59	2835.7	3639.7	1340.84	5006.93	4152.18	3794.3	4736.79	4869.99	3982.99	624.99	536.45	713.11	120.94	1350.18	277.2	3665.02	3794.3	981.29	1304.15	1277.29	698.41	723.08	3716.2	327.56	145.02	236.21	511.0	353.59	121.79	376.41	281.09	72.01	115.97	38.95	295.11	503.95	748.61	44.57	190.34	285.03	52.08	1119.56	1167.14	392.44
PCNXL4	503.95	267.73	1909.85	947.83	1685.71	2148.82	2004.85	1313.23	1628.26	1757.34	2224.63	723.08	1199.98	988.12	842.36	1208.34	708.18	2163.77	1551.09	400.71	551.56	842.36	915.51	738.29	1322.37	521.76	178.77	228.13	540.19	215.77	182.55	128.79	232.94	329.84	251.48	269.6	221.86	358.54	312.0	348.71	159.9	82.87	320.8	463.65	303.44	251.48
PET117	208.38	301.33	647.07	327.56	361.04	563.18	679.29	775.05	420.68	511.0	656.11	358.54	409.15	287.01	275.28	521.76	253.23	660.68	642.59	316.37	318.57	651.58	486.75	389.72	583.07	305.55	220.32	193.01	166.73	246.28	180.02	518.15	242.88	232.94	147.06	193.01	209.84	218.79	155.5	161.02	146.03	187.71	293.07	232.94	193.01	223.41
PFKM	836.53	651.58	3742.05	4181.07	3280.18	2434.5	4328.55	3190.46	4181.07	2537.92	3467.27	1551.09	1044.52	2209.26	1909.85	1685.71	503.95	3146.52	3690.52	941.27	854.13	4419.52	1832.01	1519.15	4210.15	2047.0	29.7	109.66	293.07	81.71	98.04	78.89	163.28	182.55	120.1	82.87	98.04	112.77	224.97	58.71	148.09	13.83	175.07	753.83	728.11	473.41
PIGO	514.56	713.11	1519.15	1015.93	967.76	587.13	1685.71	1167.14	1447.15	1259.69	1313.23	591.22	674.59	866.07	813.63	587.13	511.0	1073.91	1359.57	356.05	392.44	1378.57	748.61	651.58	1594.73	802.41	466.88	559.28	435.55	420.68	403.5	389.72	583.07	493.56	414.87	563.18	748.61	435.55	547.75	309.83	341.51	215.77	473.41	301.33	353.59	358.54
PIK3IP1	1378.57	607.87	713.11	947.83	595.34	3168.41	2855.44	2555.58	2163.77	3491.39	2018.8	738.29	638.15	961.07	890.44	1277.29	571.05	1561.89	2104.58	460.44	547.75	3303.0	571.05	796.86	3081.75	511.0	54.33	297.17	348.71	103.69	70.01	236.21	140.04	175.07	154.42	84.63	133.36	136.19	170.25	62.12	62.12	363.56	94.01	1369.04	947.83	607.87
PLCL2	301.33	232.94	153.34	872.1	224.97	679.29	921.88	1135.2	723.08	688.78	872.1	116.78	616.37	353.59	406.31	392.44	106.63	624.99	457.25	120.94	87.65	1388.16	226.54	320.8	2451.44	234.57	138.1	169.07	279.14	87.03	232.94	23.25	194.36	101.54	162.14	122.64	139.07	121.79	92.7	44.89	55.49	13.32	176.29	183.82	121.79	121.79
PMPCB	1051.79	1508.65	3742.05	5147.73	3847.29	2645.74	3794.3	2835.7	2148.82	2287.2	2875.3	1498.22	2061.24	1529.73	1447.15	2485.67	1008.9	3491.39	2935.74	1407.55	1427.22	3419.52	1697.45	1733.13	3212.66	1295.13	981.29	1015.93	995.0	1008.9	1304.15	921.88	878.17	1143.1	1159.07	1313.23	1350.18	1216.75	1268.46	713.11	1313.23	813.63	1369.04	1447.15	1066.48	1369.04
PPP2R5A	1059.11	819.3	2255.7	6079.61	2835.7	2367.9	4419.52	1225.22	1119.56	1295.13	2537.92	1225.22	743.43	1745.2	1008.9	961.07	1295.13	2133.97	1794.29	595.34	356.05	2720.15	954.43	1023.0	2451.44	796.86	660.68	748.61	679.29	409.15	363.56	579.04	866.07	878.17	529.06	497.0	616.37	1277.29	493.56	1233.75	693.58	271.48	723.08	819.3	836.53	1111.82
PRDM4	327.56	389.72	638.15	748.61	688.78	1143.1	1551.09	830.75	1208.34	791.35	890.44	521.76	473.41	718.08	307.69	476.71	316.37	1023.0	423.61	376.41	309.83	915.51	660.68	587.13	1437.15	381.68	49.56	65.72	55.1	71.5	72.01	62.12	96.68	97.36	76.71	70.01	111.21	76.71	150.17	61.68	120.1	111.99	89.51	325.29	258.57	258.57
PRKAG2	470.14	693.58	2875.3	4937.99	2287.2	1477.58	3280.18	2997.45	2777.33	2163.77	2287.2	511.0	1044.52	1088.92	1388.16	693.58	339.14	3515.68	1167.14	575.03	579.04	2367.9	836.53	780.44	3303.0	860.08	1225.22	796.86	536.45	473.41	738.29	435.55	1037.29	825.0	878.17	660.68	748.61	514.56	624.99	1487.87	409.15	106.63	603.67	642.59	791.35	521.76
PRKCD	587.13	1397.83	3018.3	2682.69	3235.01	6652.97	7433.4	3768.09	3955.48	3419.52	3614.55	688.78	460.44	974.5	273.37	651.58	220.32	5954.47	5006.93	307.69	371.22	4481.23	764.36	575.03	3614.55	540.19	70.51	87.03	164.42	77.25	74.58	59.97	239.52	112.77	161.02	176.29	68.55	220.32	158.79	121.79	96.68	61.25	167.9	599.49	813.63	1350.18
PRMT8	7.88	2.56	88.88	18.29	6.57	115.16	72.52	15.22	31.0	94.67	32.36	12.55	5.36	12.36	76.17	24.81	5.63	106.63	54.72	0.0	2.23	40.36	9.34	8.38	15.45	10.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	0.0
PVALB	63.89	11.13	40904.3	27363.16	99333.0	53601.03	58250.19	82378.63	67846.12	59063.35	68793.23	10959.3	17804.06	2997.45	36106.23	32767.0	7081.29	87075.75	60723.88	11.64	10.39	98646.85	4239.45	2520.38	60304.42	995.0	62.12	30.78	125.24	27.25	237.86	62.12	86.43	256.78	105.89	21.78	42.41	199.85	70.51	84.63	34.26	0.0	48.18	884.29	11.47	10.08
PXK	660.68	309.83	2645.74	2664.15	1950.0	1883.54	3349.13	1529.73	1295.13	3018.3	3039.3	392.44	642.59	1529.73	1242.34	890.44	221.86	3146.52	4066.71	198.47	141.02	2739.08	764.36	665.29	3349.13	540.19	139.07	88.88	145.02	197.09	111.99	114.36	215.77	113.56	133.36	61.68	71.0	177.53	135.24	126.12	194.36	53.95	104.42	733.19	620.67	366.09
RAB3A	384.34	90.14	1250.98	647.07	656.11	579.04	1551.09	583.07	612.11	358.54	2133.97	109.66	231.32	808.0	361.04	341.51	17.64	775.05	698.41	101.54	105.15	348.71	251.48	251.48	503.95	460.44	41.52	53.95	69.03	67.12	43.63	21.47	50.98	46.5	84.04	50.27	35.76	96.68	52.45	74.06	48.52	3.86	72.52	201.25	127.0	155.5
RMND5B	718.08	624.99	947.83	1119.56	1044.52	860.08	1277.29	941.27	1685.71	1561.89	1350.18	559.28	543.96	688.78	825.0	791.35	483.38	947.83	684.02	651.58	603.67	1059.11	703.28	679.29	1331.57	974.5	540.19	392.44	327.56	587.13	412.0	435.55	400.71	336.79	379.04	314.17	397.93	518.15	457.25	447.82	435.55	325.29	348.71	733.19	775.05	848.22
SCAMP5	447.82	356.05	1008.9	1159.07	432.53	1936.53	2573.36	967.76	1832.01	1769.57	1397.83	718.08	723.08	529.06	684.02	808.0	162.14	718.08	974.5	346.29	406.31	2255.7	1023.0	567.1	2104.58	669.92	21.16	373.81	30.78	21.78	20.11	14.24	56.68	34.51	23.93	21.32	35.0	46.5	36.53	15.8	24.99	11.13	28.86	147.06	185.11	260.38
SCNN1A	575.03	6381.92	8247.98	8778.97	9215.48	17078.76	19754.96	9808.75	13492.72	16611.71	14461.21	2682.69	1151.06	14361.31	5147.73	3325.99	4937.99	10440.2	9151.82	595.34	299.25	17804.06	5329.3	4358.66	17681.08	6792.79	37.05	84.63	67.59	15.45	265.87	173.85	497.0	143.01	98.73	33.06	99.43	426.57	733.19	51.71	251.48	100.13	31.0	575.03	1561.89	1551.09
SCRN1	500.46	202.66	1467.37	2537.92	890.44	1551.09	1963.57	1350.18	1359.57	1331.57	2119.22	529.06	441.64	1733.13	1561.89	647.07	406.31	1096.5	1769.57	450.94	309.83	1437.15	1023.0	836.53	2855.44	954.43	26.1	18.29	127.0	22.43	17.64	43.94	101.54	152.28	77.79	12.83	12.74	98.73	40.64	2.89	59.13	4.28	90.77	723.08	624.99	332.14
SERHL2	82.87	46.5	325.29	420.68	743.43	120.94	289.02	99.43	142.01	92.05	287.01	36.27	80.57	88.26	116.78	171.45	21.78	98.73	197.09	54.72	33.06	71.0	70.51	54.33	175.07	40.36	12.0	21.78	87.65	10.08	10.79	22.43	20.56	32.82	23.08	11.64	36.53	24.28	27.44	124.37	12.55	2.56	13.42	103.69	129.69	42.11
SH3TC1	108.9	175.07	775.05	638.15	2451.44	1806.78	2319.15	1059.11	2816.11	1143.1	2573.36	1104.13	688.78	909.17	218.79	406.31	547.75	1304.15	656.11	511.0	718.08	493.56	624.99	753.83	2148.82	532.74	1427.22	151.22	366.09	392.44	336.79	536.45	301.33	291.04	220.32	223.41	189.02	309.83	285.03	1769.57	285.03	503.95	202.66	466.88	293.07	171.45
SNX21	629.35	406.31	1208.34	769.69	1088.92	1233.75	708.18	435.55	1073.91	435.55	902.89	170.25	368.65	447.82	825.0	441.64	136.19	656.11	376.41	353.59	305.55	460.44	444.72	441.64	620.67	457.25	166.73	195.72	212.78	191.67	269.6	158.79	267.73	236.21	231.32	199.85	265.87	121.79	323.03	134.3	175.07	96.01	171.45	493.56	759.08	376.41
SOAT1	291.04	141.02	258.57	1498.22	281.09	514.56	764.36	941.27	551.56	909.17	417.77	438.59	226.54	555.41	301.33	253.23	389.72	297.17	791.35	525.39	271.48	775.05	616.37	426.57	1605.83	341.51	68.55	162.14	246.28	102.97	78.89	231.32	248.0	110.43	153.34	140.04	78.34	409.15	83.45	157.68	414.87	269.6	148.09	265.87	110.43	287.01
STAP1	52.82	90.14	346.29	2319.15	147.06	1477.58	5292.48	4181.07	4298.64	3665.02	9151.82	285.03	312.0	1277.29	209.84	848.22	74.58	4450.27	791.35	5.32	9.85	8078.22	400.71	147.06	9344.14	19.39	3.11	4.17	20.86	1.31	3.26	0.0	5.77	2.01	3.69	16.63	1.91	9.41	3.23	7.28	8.71	10.88	5.63	493.56	12.18	20.56
SUSD1	175.07	262.2	551.56	878.17	447.82	532.74	1081.39	796.86	1208.34	1051.79	1008.9	426.57	329.84	830.75	426.57	665.29	463.65	764.36	591.22	133.36	88.26	486.75	429.54	423.61	1340.84	323.03	57.49	34.75	31.0	20.41	33.54	34.26	38.67	52.82	36.53	20.71	57.89	84.04	72.52	71.0	10.47	41.52	36.27	125.24	102.97	118.43
SYK	400.71	620.67	547.75	665.29	753.83	684.02	1963.57	995.0	802.41	1159.07	703.28	414.87	412.0	890.44	941.27	780.44	273.37	567.1	633.73	301.33	187.71	1030.12	463.65	426.57	884.29	616.37	31.22	14.89	37.59	36.27	13.22	22.75	109.66	29.27	34.51	30.78	15.45	52.45	84.63	23.59	23.93	27.25	17.38	543.96	223.41	191.67
TANGO2	525.39	660.68	2502.97	4543.8	1721.16	3257.52	2520.38	2835.7	3589.58	3794.3	2451.44	476.71	536.45	836.53	555.41	490.14	172.65	3443.31	3168.41	536.45	406.31	3491.39	647.07	571.05	3443.31	514.56	343.89	275.28	195.72	208.38	111.21	417.77	258.57	237.86	165.57	142.01	242.88	246.28	384.34	269.6	295.11	129.69	138.1	616.37	423.61	457.25
TBC1D1	2032.85	1143.1	7032.37	8421.31	9540.5	21919.61	16960.78	11909.94	13399.51	16045.82	20593.91	5366.37	3564.78	4836.35	2119.22	5112.16	9151.82	18052.61	8598.28	1857.6	1963.57	11112.3	4450.27	4239.45	15180.22	2816.11	2537.92	713.11	1037.29	1066.48	1467.37	612.11	981.29	1388.16	1242.34	599.49	693.58	1015.93	802.41	1001.93	301.33	1745.2	733.19	2018.8	1697.45	974.5
