	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.VS.A9V1.01A.11R.A42T.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.PX3G.0826.SM.48TZS	GTEX.14753.1626.SM.5NQ9L	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.BR.6452.01A.12R.1802.13	TCGA.CG.4438.01A.01R.1157.13	TCGA.BR.A452.01A.91R.A251.31	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.CG.4469.01A.01R.1157.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.BR.4371.01A.01R.1157.13	TCGA.HF.A5NB.01A.11R.A31P.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.VQ.A8PP.01A.21R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.BR.4369.01A.01R.1157.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.BR.8484.01A.11R.2402.13	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CG.4306.01A.01R.1157.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.BR.4363.01A.01R.1157.13	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.SNOS.0826.SM.4DM5N	GTEX.PWCY.0926.SM.48TD7	GTEX.145MN.1326.SM.5NQ9S	GTEX.13U4I.2526.SM.5SI8Z	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.13CF3.1926.SM.5K7WF	GTEX.UJMC.1226.SM.4IHLI
FIP1L1	748.61	915.51	1304.15	796.86	1208.34	1225.22	961.07	1199.98	1044.52	708.18	902.89	1051.79	1037.29	599.49	665.29	1322.37	866.07	1233.75	902.89	733.19	961.07	718.08	1135.2	769.69	616.37	928.3	860.08	759.08	215.77	490.14	371.22	351.14	426.57	265.87	258.57	450.94	260.38	237.86	753.83	563.18	1250.98	529.06	579.04	954.43	547.75	1407.55	642.59	493.56	1023.0	1216.75	759.08	684.02	1096.5	796.86	830.75	961.07	633.73	1044.52	669.92	1059.11	830.75	1127.35	511.0	1175.27	921.88	1378.57	1096.5	460.44	587.13	684.02	457.25	503.95	860.08	1044.52	500.46	723.08	703.28	819.3	860.08	579.04	660.68
FOPNL	665.29	1051.79	785.88	1407.55	995.0	1208.34	1096.5	1844.76	878.17	842.36	796.86	414.87	896.64	529.06	417.77	457.25	603.67	603.67	543.96	444.72	318.57	432.53	743.43	713.11	441.64	902.89	651.58	409.15	343.89	348.71	400.71	412.0	356.05	358.54	265.87	307.69	323.03	281.09	575.03	603.67	620.67	260.38	616.37	954.43	1037.29	438.59	507.46	403.5	316.37	1001.93	830.75	212.78	967.76	728.11	743.43	525.39	547.75	575.03	490.14	748.61	507.46	429.54	457.25	728.11	420.68	848.22	866.07	343.89	218.79	406.31	563.18	490.14	518.15	323.03	579.04	295.11	463.65	301.33	441.64	269.6	599.49
G2E3	46.18	373.81	323.03	429.54	358.54	397.93	353.59	463.65	262.2	88.26	87.03	177.53	295.11	59.13	97.36	119.26	129.69	101.54	130.6	161.02	202.66	172.65	186.4	185.11	103.69	169.07	146.03	118.43	9.48	36.27	29.48	25.17	40.36	24.28	13.93	28.24	27.05	13.93	105.15	177.53	214.27	97.36	226.54	283.05	255.0	126.12	60.39	129.69	279.14	264.03	183.82	62.12	343.89	147.06	251.48	242.88	143.01	343.89	143.01	156.59	180.02	178.77	66.18	279.14	140.04	314.17	246.28	115.16	81.71	129.69	130.6	183.82	87.03	94.01	116.78	162.14	84.04	97.36	73.54	59.13	112.77
G3BP1	412.0	2303.12	2835.7	1781.89	2335.28	2303.12	1806.78	2335.28	2075.59	1832.01	1572.76	808.0	1159.07	825.0	1191.69	1322.37	1437.15	1259.69	1397.83	738.29	1540.37	1437.15	884.29	1250.98	1023.0	1457.23	995.0	660.68	551.56	599.49	438.59	665.29	620.67	599.49	583.07	591.22	642.59	830.75	1369.04	1286.18	1350.18	591.22	2148.82	1242.34	1286.18	633.73	1286.18	988.12	733.19	1572.76	1697.45	1167.14	1639.59	1757.34	1950.0	1417.35	1407.55	2351.53	1369.04	1359.57	1427.22	1127.35	878.17	1322.37	759.08	1651.0	1832.01	1794.29	579.04	1277.29	967.76	1015.93	780.44	791.35	890.44	1159.07	718.08	954.43	791.35	583.07	575.03
GLMN	100.83	191.67	256.78	318.57	277.2	260.38	215.77	463.65	191.67	111.21	187.71	165.57	162.14	191.67	129.69	194.36	309.83	177.53	234.57	218.79	346.29	204.07	198.47	275.28	159.9	339.14	226.54	195.72	15.68	136.19	67.59	73.03	47.17	77.79	8.65	43.94	70.01	21.32	134.3	146.03	152.28	60.39	146.03	191.67	348.71	177.53	71.0	115.97	241.19	305.55	121.79	58.71	303.44	212.78	111.99	194.36	205.5	291.04	197.09	145.02	248.0	163.28	61.25	267.73	133.36	281.09	301.33	78.34	60.82	124.37	88.88	65.72	106.63	171.45	66.65	82.87	65.72	102.97	76.17	49.56	63.0
GPBP1	860.08	1498.22	2104.58	2417.67	2209.26	2537.92	2209.26	3039.3	2367.9	1135.2	1331.57	1651.0	1794.29	928.3	1001.93	1417.35	1081.39	1359.57	909.17	728.11	1030.12	1066.48	854.13	896.64	651.58	638.15	1127.35	674.59	212.78	866.07	457.25	540.19	470.14	463.65	221.86	591.22	507.46	728.11	813.63	769.69	1088.92	379.04	819.3	1467.37	769.69	836.53	493.56	733.19	954.43	1216.75	878.17	599.49	1208.34	1073.91	1437.15	1487.87	836.53	1331.57	808.0	941.27	1295.13	1447.15	656.11	1331.57	723.08	1304.15	878.17	406.31	540.19	954.43	780.44	866.07	780.44	1008.9	785.88	866.07	642.59	629.35	624.99	674.59	563.18
GTF2E1	146.03	314.17	384.34	242.88	237.86	191.67	189.02	264.03	353.59	151.22	130.6	201.25	201.25	143.01	134.3	125.24	95.34	155.5	134.3	209.84	148.09	176.29	154.42	195.72	103.69	163.28	157.68	165.57	78.34	95.34	119.26	59.55	41.52	53.95	60.82	69.52	52.08	45.21	89.51	122.64	142.01	61.68	181.28	198.47	176.29	96.68	129.69	109.66	157.68	183.82	205.5	120.94	212.78	165.57	183.82	221.86	104.42	248.0	182.55	218.79	214.27	119.26	94.01	198.47	115.16	234.57	134.3	84.04	51.35	141.02	60.39	100.13	120.1	167.9	108.14	98.04	120.1	142.01	157.68	66.65	215.77
GTF2H3	197.09	748.61	674.59	785.88	633.73	896.64	872.1	518.15	1487.87	532.74	332.14	191.67	336.79	248.0	265.87	279.14	423.61	316.37	395.18	260.38	244.57	379.04	237.86	368.65	579.04	269.6	312.0	293.07	94.01	229.72	77.25	128.79	143.01	134.3	114.36	164.42	146.03	111.99	265.87	320.8	381.68	193.01	480.04	775.05	595.34	195.72	361.04	339.14	379.04	543.96	389.72	197.09	713.11	629.35	460.44	460.44	511.0	591.22	441.64	543.96	429.54	232.94	156.59	595.34	212.78	698.41	532.74	400.71	159.9	409.15	237.86	283.05	283.05	248.0	255.0	249.73	175.07	251.48	299.25	111.99	165.57
HAT1	1191.69	1498.22	1594.73	2451.44	1322.37	1709.26	2047.0	1936.53	1950.0	1037.29	638.15	656.11	872.1	1059.11	1151.06	1407.55	651.58	599.49	974.5	1008.9	921.88	825.0	733.19	1051.79	1037.29	1037.29	1023.0	796.86	221.86	389.72	279.14	327.56	366.09	346.29	229.72	432.53	466.88	389.72	974.5	921.88	1037.29	764.36	1191.69	1437.15	1322.37	878.17	802.41	607.87	1199.98	1167.14	1304.15	638.15	1051.79	836.53	1225.22	902.89	1119.56	1794.29	1208.34	921.88	1119.56	426.57	583.07	1685.71	547.75	1561.89	954.43	723.08	426.57	1096.5	759.08	759.08	532.74	679.29	909.17	563.18	961.07	813.63	583.07	733.19	493.56
HMG20A	239.52	791.35	728.11	629.35	669.92	785.88	629.35	1059.11	759.08	220.32	435.55	473.41	587.13	325.29	189.02	314.17	244.57	305.55	392.44	423.61	397.93	353.59	591.22	409.15	318.57	358.54	353.59	334.46	144.01	312.0	218.79	214.27	289.02	236.21	226.54	242.88	262.2	177.53	285.03	303.44	409.15	273.37	438.59	583.07	363.56	497.0	381.68	412.0	457.25	567.1	220.32	351.14	785.88	583.07	775.05	466.88	435.55	934.76	395.18	454.09	591.22	392.44	267.73	551.56	466.88	583.07	346.29	269.6	217.27	273.37	348.71	343.89	363.56	547.75	314.17	470.14	299.25	371.22	371.22	214.27	417.77
HNRNPR	2240.11	2303.12	3146.52	2758.13	2434.5	2075.59	2287.2	2451.44	2720.15	1757.34	2075.59	1540.37	1950.0	2018.8	1583.71	2451.44	1487.87	1857.6	2090.03	2502.97	1963.57	1963.57	1540.37	2090.03	2240.11	1896.65	1832.01	1674.06	753.83	775.05	674.59	698.41	872.1	518.15	607.87	748.61	660.68	928.3	1369.04	1685.71	2075.59	1896.65	2502.97	2209.26	3303.0	2271.4	1685.71	1199.98	2609.3	2645.74	1963.57	1340.84	2417.67	2997.45	2609.3	2520.38	1583.71	2701.35	2133.97	1950.0	2271.4	1135.2	1286.18	2485.67	1963.57	2701.35	2417.67	1331.57	947.83	2018.8	1159.07	1104.13	1225.22	1487.87	1350.18	1350.18	1583.71	1651.0	1322.37	1388.16	860.08
KDELC2	271.48	595.34	595.34	688.78	525.39	493.56	961.07	1651.0	1015.93	103.69	384.34	409.15	543.96	173.85	532.74	251.48	289.02	231.32	559.28	107.38	339.14	295.11	144.01	486.75	87.03	297.17	223.41	273.37	39.79	60.39	81.71	120.1	150.17	108.14	38.12	130.6	134.3	62.12	186.4	212.78	262.2	98.04	373.81	346.29	309.83	146.03	134.3	454.09	395.18	297.17	679.29	134.3	305.55	163.28	497.0	379.04	182.55	583.07	713.11	435.55	591.22	332.14	241.19	289.02	289.02	376.41	202.66	101.54	88.26	281.09	223.41	237.86	162.14	211.31	226.54	232.94	217.27	283.05	163.28	137.14	164.42
KDM3B	265.87	1216.75	1030.12	934.76	1216.75	1208.34	947.83	1407.55	1127.35	371.22	507.46	802.41	1037.29	444.72	563.18	426.57	624.99	802.41	638.15	603.67	616.37	819.3	444.72	688.78	466.88	438.59	591.22	389.72	406.31	194.36	167.9	153.34	178.77	128.79	136.19	134.3	287.01	82.87	684.02	974.5	866.07	389.72	748.61	775.05	507.46	476.71	500.46	420.68	961.07	796.86	698.41	450.94	1135.2	830.75	995.0	1023.0	414.87	941.27	890.44	878.17	866.07	599.49	392.44	941.27	723.08	884.29	723.08	540.19	246.28	536.45	466.88	543.96	665.29	591.22	575.03	426.57	647.07	665.29	688.78	426.57	583.07
KIAA0020	1119.56	733.19	728.11	890.44	819.3	1277.29	819.3	679.29	1175.27	612.11	1447.15	642.59	486.75	511.0	665.29	684.02	1896.65	961.07	995.0	819.3	414.87	620.67	423.61	785.88	703.28	1030.12	1529.73	764.36	253.23	423.61	447.82	248.0	358.54	217.27	131.51	249.73	136.19	193.01	974.5	457.25	406.31	285.03	457.25	559.28	1143.1	511.0	229.72	595.34	1159.07	1313.23	733.19	271.48	947.83	872.1	1350.18	854.13	529.06	423.61	555.41	567.1	620.67	463.65	392.44	1199.98	718.08	1051.79	656.11	204.07	309.83	698.41	400.71	356.05	237.86	567.1	299.25	470.14	351.14	493.56	212.78	412.0	189.02
KIAA1033	178.77	595.34	713.11	688.78	616.37	954.43	753.83	1268.46	629.35	218.79	287.01	366.09	450.94	329.84	241.19	275.28	285.03	500.46	256.78	441.64	423.61	480.04	353.59	457.25	373.81	343.89	441.64	403.5	84.63	141.02	118.43	221.86	255.0	189.02	77.79	198.47	139.07	130.6	381.68	363.56	323.03	178.77	318.57	703.28	420.68	303.44	283.05	529.06	620.67	521.76	426.57	166.73	486.75	420.68	529.06	460.44	642.59	718.08	543.96	684.02	497.0	309.83	224.97	480.04	447.82	529.06	406.31	242.88	129.69	287.01	220.32	178.77	291.04	275.28	226.54	363.56	217.27	318.57	256.78	138.1	132.44
KIF2A	211.31	825.0	567.1	616.37	624.99	688.78	409.15	723.08	255.0	229.72	126.12	299.25	547.75	209.84	267.73	395.18	244.57	297.17	371.22	314.17	387.02	373.81	371.22	457.25	361.04	246.28	366.09	327.56	63.0	104.42	43.63	21.16	50.98	33.3	18.16	38.67	32.13	15.91	295.11	358.54	368.65	129.69	389.72	753.83	318.57	285.03	206.94	244.57	301.33	555.41	463.65	241.19	748.61	323.03	591.22	490.14	518.15	684.02	275.28	441.64	587.13	320.8	102.97	521.76	111.21	603.67	287.01	189.02	150.17	318.57	187.71	148.09	142.01	193.01	215.77	341.51	199.85	258.57	177.53	131.51	105.89
KTN1	1733.13	4358.66	2835.7	3540.14	3235.01	3742.05	4152.18	4419.52	3768.09	2271.4	2209.26	1639.59	1806.78	1143.1	1143.1	2240.11	1857.6	1583.71	1639.59	1388.16	1909.85	2090.03	2895.31	2591.27	1191.69	2485.67	2148.82	1508.65	264.03	1977.24	1340.84	1457.23	1277.29	1447.15	194.36	1605.83	1015.93	1322.37	3039.3	1883.54	2075.59	743.43	896.64	1806.78	1781.89	1639.59	947.83	2047.0	3349.13	2895.31	1745.2	764.36	2417.67	1407.55	1909.85	3039.3	2090.03	1617.0	2224.63	1572.76	2075.59	1111.82	753.83	2520.38	1685.71	2075.59	2163.77	941.27	842.36	1030.12	1447.15	1088.92	753.83	884.29	1127.35	1119.56	1313.23	928.3	830.75	718.08	878.17
LARS	379.04	1662.49	1268.46	2287.2	1896.65	2664.15	1757.34	2287.2	2133.97	616.37	896.64	909.17	842.36	785.88	934.76	718.08	1331.57	1340.84	1127.35	738.29	813.63	1191.69	718.08	866.07	934.76	988.12	764.36	583.07	351.14	500.46	309.83	299.25	312.0	249.73	224.97	341.51	198.47	145.02	1059.11	890.44	1167.14	348.71	842.36	1127.35	1015.93	551.56	688.78	684.02	591.22	1709.26	854.13	536.45	1617.0	825.0	1286.18	1008.9	947.83	1023.0	1561.89	1277.29	1359.57	878.17	698.41	836.53	759.08	1674.06	1208.34	656.11	332.14	708.18	507.46	587.13	583.07	1066.48	483.38	638.15	595.34	543.96	466.88	429.54	514.56
LCN2	318292.9	139.07	497.0	346.29	147.06	293.07	830.75	974.5	1832.01	565825.41	1179708.33	706337.4	313910.86	311742.51	175363.84	280957.98	316094.29	248002.34	542775.98	343510.77	313910.86	275175.93	606436.73	256748.15	654483.73	1238359.56	336441.4	513497.31	32994.92	177811.84	19348.38	325.29	629.35	199.85	201.25	176.29	638.15	138.1	425853.18	284880.02	267651.2	1034138.94	9474.59	928.3	1883.54	565825.41	251464.33	1472666.19	593956.43	4239.45	244588.0	172949.54	12676.65	8778.97	269512.87	525.39	431797.89	3564.78	334117.42	2915.45	466008.55	301123.38	251464.33	11827.67	383800.28	13492.72	305326.92	350728.68	5954.47	290865.98	9151.82	3395.89	6381.92	186652.11	218912.29	248002.34	217400.14	301123.38	320506.81	61999.83	231.32
MATR3	1572.76	7589.61	6652.97	8840.04	7130.55	8778.97	7230.1	10808.41	8247.98	2855.44	2895.31	4450.27	5672.41	2835.7	2271.4	2997.45	3372.43	3874.05	3395.89	2335.28	3190.46	3467.27	2895.31	2997.45	2573.36	2915.45	3257.52	2209.26	389.72	1378.57	1051.79	1242.34	1331.57	1191.69	514.56	1259.69	1359.57	941.27	2915.45	3349.13	4010.71	1119.56	2627.46	3955.48	3303.0	2075.59	2119.22	2367.9	2855.44	4239.45	2835.7	1183.45	4903.87	3349.13	4736.79	3928.15	2758.13	4937.99	4328.55	3372.43	4704.07	2956.17	1467.37	3589.58	2061.24	4769.75	4671.57	2351.53	1127.35	1977.24	2609.3	2133.97	1857.6	2240.11	1896.65	2434.5	2104.58	1923.14	1857.6	1397.83	1594.73
MED17	389.72	1127.35	1111.82	1096.5	1044.52	1487.87	1119.56	2061.24	1030.12	312.0	406.31	607.87	842.36	316.37	483.38	389.72	547.75	884.29	529.06	435.55	616.37	579.04	514.56	595.34	785.88	616.37	612.11	587.13	190.34	194.36	105.89	221.86	231.32	157.68	94.01	253.23	124.37	86.43	406.31	521.76	447.82	429.54	872.1	1304.15	860.08	358.54	525.39	583.07	780.44	884.29	718.08	400.71	954.43	674.59	878.17	713.11	669.92	1167.14	429.54	595.34	836.53	343.89	297.17	808.0	473.41	1008.9	693.58	447.82	305.55	571.05	441.64	392.44	392.44	503.95	435.55	764.36	351.14	466.88	612.11	269.6	368.65
METTL5	1617.0	1225.22	1519.15	1844.76	1250.98	1628.26	1950.0	2004.85	2090.03	1183.45	1437.15	1388.16	928.3	1313.23	813.63	1167.14	1870.53	1963.57	1467.37	1487.87	1259.69	1081.39	890.44	1498.22	1991.0	2351.53	1286.18	1487.87	536.45	1208.34	1104.13	738.29	819.3	616.37	497.0	819.3	830.75	511.0	698.41	1721.16	1242.34	1159.07	1159.07	2816.11	1950.0	1397.83	1259.69	1167.14	1369.04	2855.44	1583.71	1151.06	1977.24	1397.83	1008.9	1044.52	2682.69	3614.55	1572.76	902.89	1127.35	769.69	1477.58	2384.37	1059.11	1662.49	1242.34	738.29	1259.69	1175.27	981.29	1088.92	1216.75	988.12	1572.76	808.0	1119.56	1023.0	974.5	624.99	974.5
MFSD8	121.79	293.07	312.0	291.04	361.04	403.5	379.04	371.22	264.03	92.7	218.79	195.72	221.86	112.77	177.53	193.01	163.28	202.66	149.12	123.5	314.17	218.79	305.55	186.4	107.38	115.16	173.85	134.3	55.49	93.35	95.34	98.73	115.16	115.16	76.17	125.24	178.77	140.04	152.28	149.12	223.41	121.79	239.52	281.09	134.3	224.97	146.03	133.36	198.47	325.29	176.29	95.34	241.19	176.29	356.05	343.89	158.79	339.14	176.29	187.71	171.45	228.13	109.66	237.86	297.17	277.2	177.53	110.43	83.45	147.06	173.85	283.05	217.27	281.09	137.14	69.52	194.36	142.01	178.77	102.25	187.71
MOSPD2	61.68	295.11	316.37	279.14	264.03	265.87	327.56	417.77	334.46	728.11	426.57	127.89	149.12	123.5	94.67	156.59	72.52	107.38	123.5	206.94	98.04	104.42	221.86	166.73	167.9	80.57	183.82	241.19	34.51	66.65	124.37	46.84	49.91	49.91	29.27	64.34	43.32	43.32	165.57	97.36	118.43	57.49	170.25	295.11	229.72	260.38	115.97	253.23	426.57	629.35	198.47	137.14	460.44	181.28	521.76	126.12	167.9	591.22	195.72	412.0	130.6	155.5	186.4	224.97	185.11	647.07	177.53	105.15	57.89	325.29	93.35	180.02	97.36	102.97	171.45	144.01	94.01	125.24	119.26	56.28	96.01
MRE11A	121.79	429.54	368.65	395.18	447.82	775.05	395.18	348.71	444.72	129.69	87.03	136.19	318.57	134.3	205.5	323.03	237.86	223.41	177.53	190.34	303.44	265.87	147.06	329.84	299.25	309.83	228.13	206.94	25.17	82.29	73.03	41.81	51.35	40.36	26.1	36.01	78.34	49.21	332.14	283.05	221.86	129.69	125.24	438.59	511.0	226.54	155.5	122.64	305.55	414.87	265.87	125.24	555.41	217.27	373.81	117.6	187.71	607.87	366.09	341.51	353.59	119.26	91.41	239.52	237.86	447.82	414.87	135.24	44.25	127.0	79.45	124.37	108.14	361.04	148.09	239.52	99.43	201.25	92.05	80.57	237.86
MRPL42	974.5	1388.16	1242.34	2061.24	1008.9	1208.34	1437.15	1662.49	2351.53	825.0	738.29	642.59	872.1	1096.5	1030.12	1037.29	1397.83	808.0	769.69	329.84	603.67	1001.93	529.06	748.61	842.36	733.19	854.13	480.04	529.06	633.73	607.87	599.49	620.67	486.75	518.15	674.59	603.67	748.61	753.83	708.18	656.11	759.08	1159.07	1662.49	2133.97	669.92	921.88	629.35	1350.18	2104.58	1015.93	620.67	1936.53	1519.15	860.08	791.35	1044.52	1757.34	1023.0	1639.59	1304.15	743.43	395.18	2417.67	1191.69	2075.59	1259.69	674.59	599.49	842.36	507.46	708.18	420.68	571.05	723.08	842.36	723.08	743.43	486.75	693.58	603.67
MTPAP	115.16	301.33	334.46	389.72	457.25	500.46	412.0	435.55	392.44	93.35	204.07	201.25	281.09	90.14	186.4	182.55	275.28	277.2	232.94	249.73	269.6	283.05	412.0	258.57	208.38	265.87	173.85	177.53	71.5	158.79	115.97	98.73	127.0	87.03	88.88	103.69	92.7	62.12	165.57	400.71	202.66	136.19	353.59	426.57	264.03	275.28	117.6	143.01	299.25	466.88	217.27	112.77	447.82	379.04	346.29	316.37	356.05	318.57	518.15	249.73	265.87	248.0	114.36	587.13	267.73	497.0	417.77	187.71	94.01	111.21	136.19	115.16	124.37	146.03	164.42	85.22	98.04	101.54	101.54	121.79	100.83
MTX3	13.62	312.0	142.01	197.09	260.38	295.11	159.9	332.14	112.77	19.97	25.91	48.52	75.11	64.8	39.79	31.0	25.72	53.57	49.91	40.64	51.71	25.91	57.89	68.55	51.71	29.7	42.11	42.41	6.94	7.94	9.93	8.13	9.56	5.41	4.7	10.08	21.01	5.41	102.25	110.43	126.12	15.56	103.69	107.38	92.7	38.12	31.22	60.39	64.8	111.21	80.01	32.13	108.9	48.52	90.77	100.13	88.88	133.36	70.51	92.7	76.17	57.08	22.75	29.27	38.4	116.78	76.17	26.47	22.1	13.93	34.75	118.43	92.7	55.1	56.68	54.33	30.34	46.18	47.17	11.13	61.25
NAA30	76.71	389.72	400.71	444.72	414.87	532.74	470.14	785.88	728.11	180.02	147.06	190.34	249.73	80.01	129.69	214.27	217.27	123.5	187.71	135.24	165.57	232.94	265.87	169.07	105.89	209.84	212.78	131.51	78.34	141.02	74.06	155.5	104.42	162.14	115.97	156.59	151.22	114.36	211.31	244.57	166.73	64.34	186.4	120.94	279.14	93.35	105.89	124.37	277.2	177.53	159.9	74.06	221.86	181.28	283.05	249.73	241.19	163.28	226.54	126.12	211.31	167.9	100.83	185.11	125.24	149.12	206.94	157.68	76.17	114.36	134.3	130.6	85.82	136.19	143.01	181.28	95.34	110.43	90.14	76.17	100.83
NEDD1	114.36	507.46	532.74	595.34	403.5	612.11	575.03	536.45	764.36	241.19	78.89	187.71	221.86	221.86	163.28	180.02	212.78	149.12	242.88	215.77	262.2	255.0	163.28	297.17	217.27	197.09	204.07	217.27	30.78	56.28	24.63	40.93	38.95	21.94	17.9	40.36	45.21	24.46	186.4	351.14	271.48	65.26	242.88	348.71	279.14	125.24	141.02	156.59	320.8	366.09	336.79	127.89	316.37	275.28	346.29	293.07	432.53	353.59	251.48	297.17	264.03	159.9	111.99	301.33	181.28	444.72	366.09	127.89	89.51	223.41	145.02	105.89	125.24	108.14	145.02	190.34	163.28	150.17	92.7	80.01	80.57
NFYB	620.67	791.35	1191.69	1037.29	1023.0	1216.75	1259.69	1127.35	1487.87	368.65	567.1	1023.0	1096.5	629.35	547.75	620.67	848.22	1127.35	1225.22	1369.04	603.67	575.03	371.22	872.1	309.83	450.94	423.61	297.17	114.36	543.96	470.14	454.09	426.57	403.5	320.8	412.0	381.68	674.59	392.44	450.94	460.44	297.17	567.1	902.89	961.07	297.17	323.03	928.3	890.44	1051.79	813.63	281.09	819.3	514.56	808.0	684.02	1369.04	780.44	624.99	1030.12	624.99	454.09	540.19	836.53	612.11	1397.83	780.44	336.79	195.72	295.11	500.46	353.59	353.59	400.71	361.04	299.25	403.5	397.93	343.89	316.37	420.68
NKRF	121.79	231.32	214.27	171.45	234.57	303.44	193.01	339.14	197.09	169.07	194.36	163.28	182.55	154.42	115.97	120.94	197.09	189.02	169.07	171.45	180.02	201.25	221.86	255.0	156.59	305.55	126.12	120.1	29.27	102.25	166.73	83.45	100.13	82.87	49.21	77.25	52.82	97.36	135.24	119.26	109.66	90.77	163.28	277.2	229.72	137.14	150.17	90.77	202.66	223.41	162.14	109.66	312.0	180.02	228.13	199.85	152.28	172.65	209.84	221.86	241.19	279.14	135.24	226.54	146.03	334.46	237.86	170.25	47.5	114.36	81.71	98.73	86.43	155.5	93.35	182.55	108.14	80.01	82.87	61.68	71.5
NPAT	86.43	236.21	297.17	264.03	236.21	384.34	299.25	629.35	283.05	128.79	131.51	141.02	161.02	70.01	105.89	68.07	74.06	128.79	122.64	96.01	125.24	159.9	111.99	176.29	59.55	126.12	104.42	134.3	9.2	23.42	35.0	43.94	46.84	39.5	12.64	33.3	47.17	35.25	120.1	88.88	158.79	59.97	155.5	291.04	226.54	103.69	138.1	135.24	163.28	255.0	182.55	91.41	262.2	199.85	205.5	171.45	115.97	295.11	204.07	242.88	181.28	94.01	64.34	211.31	118.43	267.73	204.07	77.79	67.12	115.97	141.02	148.09	105.89	104.42	111.21	224.97	111.21	129.69	131.51	52.45	93.35
NUP133	379.04	1037.29	595.34	1119.56	842.36	967.76	928.3	1806.78	543.96	265.87	277.2	376.41	567.1	397.93	318.57	325.29	486.75	463.65	483.38	490.14	387.02	414.87	287.01	543.96	420.68	490.14	371.22	420.68	204.07	307.69	220.32	138.1	134.3	124.37	158.79	165.57	115.97	117.6	356.05	414.87	438.59	228.13	435.55	674.59	866.07	450.94	341.51	281.09	486.75	723.08	432.53	297.17	848.22	629.35	607.87	441.64	363.56	764.36	529.06	665.29	493.56	395.18	258.57	603.67	366.09	607.87	559.28	343.89	167.9	309.83	236.21	376.41	293.07	450.94	351.14	228.13	244.57	368.65	271.48	226.54	264.03
