	TCGA.E9.A22B.01A.11R.A157.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A1IK.01A.11R.A144.07	GTEX.11TT1.1026.SM.5PNW7	GTEX.144GN.0426.SM.5O9AP	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZA64.1726.SM.5CVMF	GTEX.ZQG8.2126.SM.4YCF1	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.11DYG.0826.SM.5N9GH	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11DXX.0226.SM.5P9HL	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11TT1.1126.SM.5P9GV	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.13O1R.0826.SM.5J2MB	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
NUTF2	4639.29	3515.68	2976.74	2255.7	2645.74	3168.41	3742.05	3395.89	3039.3	1806.78	1304.15	1437.15	1151.06	1529.73	2004.85	1508.65	1794.29	1662.49	1277.29	1583.71	1923.14	1936.53	1594.73	1340.84	1832.01	1757.34	1304.15	1662.49	1806.78	1277.29	1457.23	1519.15	1340.84	2090.03	1709.26	1397.83	1639.59	1628.26	1561.89	1806.78	1572.76	2018.8	1963.57	1819.35	1721.16	1674.06	1487.87	1628.26	1628.26	1594.73	1259.69	1295.13	1388.16	1313.23	1477.58	1427.22	1437.15	1857.6	1963.57	1806.78	1963.57	1662.49	1551.09	1639.59	1350.18	1407.55	1977.24	1936.53	1175.27	1991.0	1286.18	2240.11	1457.23	1572.76	2319.15	1991.0	2178.83	1733.13	2119.22	2148.82	1963.57	1639.59	1583.71	1583.71	1529.73	1857.6	1540.37	2367.9	1651.0	1709.26	1991.0	1781.89	2255.7	1963.57	2032.85	981.29	1208.34	2384.37	1259.69	1467.37	1498.22	1447.15	1119.56	1286.18	1733.13	1498.22	1378.57	2032.85	1447.15	1769.57
ORMDL2	2816.11	2384.37	2061.24	3349.13	2400.97	2573.36	2400.97	3103.19	1651.0	1143.1	420.68	660.68	599.49	518.15	1208.34	620.67	1023.0	775.05	860.08	796.86	743.43	1685.71	1427.22	607.87	1304.15	854.13	647.07	915.51	1286.18	753.83	555.41	785.88	591.22	1277.29	1111.82	674.59	698.41	1286.18	759.08	1529.73	1001.93	1963.57	738.29	967.76	1340.84	1037.29	1183.45	1561.89	642.59	791.35	521.76	476.71	651.58	587.13	878.17	612.11	753.83	713.11	947.83	915.51	1313.23	764.36	813.63	836.53	1023.0	674.59	1551.09	884.29	660.68	1498.22	713.11	2018.8	698.41	1159.07	642.59	1427.22	1583.71	941.27	1605.83	723.08	1697.45	603.67	866.07	703.28	1008.9	1529.73	764.36	1508.65	1498.22	1322.37	1844.76	1378.57	1709.26	1286.18	1407.55	616.37	928.3	1407.55	808.0	954.43	1037.29	791.35	1135.2	723.08	995.0	738.29	718.08	1508.65	688.78	1617.0
PDHB	2119.22	2287.2	3168.41	1508.65	1806.78	2148.82	1447.15	3168.41	1388.16	1331.57	967.76	1151.06	934.76	848.22	1350.18	1242.34	1151.06	1331.57	1183.45	1378.57	967.76	1397.83	1359.57	967.76	1388.16	1096.5	1096.5	1277.29	1331.57	1059.11	896.64	1059.11	854.13	1295.13	1397.83	1096.5	1030.12	1477.58	1151.06	1397.83	1277.29	1733.13	1001.93	1437.15	1242.34	2090.03	1467.37	1745.2	1151.06	1081.39	890.44	988.12	967.76	941.27	1081.39	1023.0	780.44	961.07	1119.56	1233.75	1437.15	1059.11	1183.45	1304.15	1295.13	1216.75	1561.89	1191.69	802.41	1617.0	1191.69	1529.73	1030.12	1388.16	1044.52	1457.23	1242.34	1199.98	1617.0	1066.48	1350.18	1037.29	1216.75	1088.92	1304.15	1561.89	1111.82	1561.89	1322.37	1259.69	1540.37	1427.22	1594.73	1540.37	1529.73	830.75	1340.84	1304.15	1268.46	1572.76	1216.75	1233.75	1066.48	866.07	813.63	1015.93	1191.69	1467.37	1119.56	1639.59
PGAM1	7130.55	4869.99	5995.9	7180.15	9606.86	12853.63	9151.82	21026.65	2935.74	3690.52	2163.77	2976.74	2061.24	2367.9	3874.05	2468.49	3325.99	3168.41	3124.78	3419.52	2997.45	3325.99	3146.52	2193.99	4038.61	3168.41	2004.85	2627.46	2956.17	2956.17	2255.7	2417.67	2434.5	3395.89	3235.01	1757.34	2451.44	3081.75	3081.75	3768.09	3614.55	4972.34	3146.52	3303.0	3515.68	3467.27	3443.31	3665.02	2384.37	2664.15	2319.15	2271.4	2224.63	1977.24	2434.5	2720.15	2303.12	2835.7	2609.3	3124.78	4066.71	2451.44	2895.31	3325.99	2777.33	2796.65	3690.52	2520.38	2240.11	3901.01	2468.49	3540.14	2739.08	3190.46	2485.67	4239.45	4066.71	2384.37	4038.61	2119.22	3540.14	1639.59	2645.74	2303.12	2935.74	3874.05	2400.97	4210.15	3443.31	3212.66	4239.45	3212.66	3768.09	3901.01	4328.55	2133.97	2739.08	4010.71	2573.36	4239.45	2537.92	2645.74	2701.35	2417.67	2335.28	2351.53	3235.01	3467.27	2895.31	4010.71
PMM2	961.07	791.35	490.14	1529.73	599.49	915.51	941.27	802.41	547.75	316.37	224.97	363.56	244.57	221.86	351.14	397.93	379.04	236.21	285.03	336.79	291.04	441.64	395.18	260.38	387.02	293.07	366.09	473.41	392.44	341.51	283.05	373.81	285.03	438.59	348.71	277.2	251.48	356.05	395.18	361.04	353.59	551.56	327.56	320.8	563.18	316.37	414.87	547.75	199.85	279.14	339.14	271.48	285.03	368.65	435.55	283.05	334.46	323.03	293.07	285.03	624.99	341.51	271.48	271.48	432.53	241.19	503.95	426.57	309.83	507.46	341.51	511.0	332.14	392.44	255.0	500.46	435.55	346.29	363.56	251.48	457.25	260.38	366.09	289.02	397.93	260.38	293.07	348.71	511.0	341.51	426.57	346.29	466.88	339.14	403.5	267.73	420.68	579.04	403.5	406.31	251.48	303.44	281.09	314.17	295.11	258.57	291.04	447.82	301.33	420.68
PPM1G	2417.67	5594.3	1721.16	3168.41	2384.37	2627.46	2502.97	1991.0	1685.71	1721.16	1104.13	1529.73	1175.27	1111.82	1733.13	1119.56	1295.13	1295.13	1388.16	1369.04	1340.84	1639.59	1477.58	1167.14	1628.26	1427.22	1233.75	1498.22	1388.16	1268.46	1250.98	1277.29	1119.56	1369.04	1407.55	1081.39	1044.52	1313.23	1397.83	1467.37	1685.71	1950.0	1216.75	1477.58	1498.22	1508.65	1651.0	1950.0	1417.35	1250.98	1225.22	1051.79	1167.14	988.12	1277.29	1199.98	947.83	1175.27	1143.1	1508.65	1733.13	1111.82	1331.57	1457.23	1519.15	1233.75	1594.73	1225.22	1216.75	1605.83	1331.57	1594.73	1143.1	1639.59	1216.75	1857.6	1950.0	1437.15	1350.18	1081.39	1733.13	1059.11	1487.87	1216.75	1417.35	1757.34	1378.57	1617.0	1605.83	1467.37	1697.45	1540.37	1628.26	1685.71	1745.2	1051.79	1378.57	1572.76	1519.15	1685.71	1208.34	1407.55	1340.84	1259.69	1175.27	1378.57	1427.22	1674.06	1151.06	1923.14
PSMA1	4607.24	3768.09	3639.7	7081.29	4095.0	4671.57	4836.35	6426.31	3303.0	2915.45	2287.2	2520.38	2148.82	2319.15	2555.58	3190.46	2682.69	2682.69	2816.11	2956.17	2255.7	2915.45	2796.65	2193.99	2895.31	2627.46	2271.4	2664.15	3303.0	2935.74	2367.9	2796.65	2271.4	2935.74	2816.11	2682.69	2816.11	2451.44	2303.12	3146.52	2502.97	3212.66	2627.46	2287.2	2915.45	2855.44	3372.43	3146.52	2434.5	2367.9	2319.15	2240.11	2400.97	2148.82	2777.33	2739.08	2645.74	2417.67	2240.11	2417.67	3212.66	2537.92	2400.97	2855.44	2956.17	2485.67	2956.17	2645.74	2319.15	3768.09	2434.5	2739.08	2555.58	2758.13	3081.75	3124.78	2520.38	2367.9	3665.02	2090.03	3443.31	2335.28	2627.46	2555.58	2682.69	3212.66	2335.28	3820.7	2935.74	3235.01	3716.2	2701.35	3540.14	2796.65	3168.41	2047.0	3349.13	3280.18	2400.97	3212.66	2875.3	2502.97	2520.38	2682.69	2287.2	2627.46	2609.3	3018.3	2682.69	3280.18
PSMA2	4836.35	5041.77	4123.49	5329.3	4543.8	5183.54	5479.15	6887.62	2855.44	3212.66	1487.87	2032.85	1662.49	1662.49	2319.15	2367.9	2090.03	2468.49	1857.6	2434.5	1781.89	2384.37	2384.37	1832.01	2119.22	2148.82	1639.59	2287.2	2400.97	2271.4	1697.45	2468.49	2075.59	2485.67	2400.97	1883.54	1936.53	2400.97	1832.01	2915.45	1806.78	3081.75	2018.8	1950.0	2682.69	2417.67	2609.3	2816.11	1427.22	1844.76	1447.15	1628.26	1447.15	1369.04	2417.67	1806.78	2090.03	1639.59	1733.13	1923.14	3039.3	1977.24	2434.5	2609.3	2555.58	1709.26	2591.27	2061.24	2061.24	3303.0	1757.34	2573.36	1936.53	2104.58	2303.12	2777.33	2434.5	2075.59	3212.66	1662.49	3039.3	1674.06	1819.35	1923.14	2133.97	2664.15	1896.65	3419.52	2627.46	2075.59	3395.89	2287.2	3491.39	3235.01	2956.17	1977.24	2090.03	2875.3	1896.65	2485.67	2224.63	2090.03	2555.58	2502.97	2018.8	1909.85	2224.63	2573.36	2075.59	3060.45
PSMA3	3190.46	4328.55	4298.64	6792.79	4671.57	5711.87	3212.66	5872.48	3847.29	3018.3	1781.89	2178.83	1909.85	1605.83	2485.67	2645.74	2032.85	2148.82	2193.99	2367.9	1508.65	3018.3	3124.78	1896.65	2739.08	1896.65	2520.38	2701.35	2875.3	2193.99	1936.53	2502.97	2148.82	3303.0	2956.17	2451.44	2193.99	2537.92	2287.2	3103.19	2384.37	3564.78	2178.83	2351.53	3060.45	2777.33	2796.65	3303.0	1977.24	1721.16	1487.87	1909.85	2193.99	1923.14	2417.67	1733.13	2255.7	1721.16	2032.85	2502.97	2976.74	2384.37	1757.34	2032.85	2875.3	1819.35	3081.75	2573.36	1923.14	3665.02	2351.53	3124.78	1963.57	2682.69	2417.67	3212.66	3018.3	2367.9	3467.27	2047.0	3901.01	2303.12	2555.58	2555.58	2664.15	3039.3	2271.4	3614.55	3303.0	2875.3	4010.71	2956.17	3540.14	2682.69	3018.3	1769.57	2591.27	3515.68	2720.15	2855.44	2351.53	2434.5	2018.8	2104.58	1674.06	2018.8	1896.65	3018.3	1896.65	3419.52
PSMA4	5517.27	4704.07	4095.0	7433.4	5076.84	6294.04	5006.93	6983.79	3540.14	2720.15	1508.65	2032.85	1605.83	1757.34	2537.92	2209.26	2502.97	2255.7	2047.0	2400.97	2018.8	2451.44	2417.67	2018.8	2682.69	2163.77	1769.57	2193.99	2502.97	2133.97	1417.35	2319.15	1733.13	2434.5	2417.67	1709.26	1991.0	2148.82	1769.57	2555.58	1896.65	3467.27	2061.24	2367.9	2434.5	2537.92	2777.33	3103.19	1794.29	1909.85	1498.22	1794.29	1963.57	1733.13	2520.38	1963.57	1757.34	1832.01	1583.71	2133.97	3081.75	2004.85	2018.8	2417.67	2591.27	1832.01	2796.65	2018.8	1605.83	3146.52	1991.0	2555.58	2032.85	2148.82	2287.2	2895.31	2682.69	2075.59	3190.46	1639.59	3540.14	1883.54	2018.8	1909.85	2004.85	2956.17	2090.03	3303.0	2645.74	2468.49	3419.52	2335.28	3395.89	3146.52	3060.45	1639.59	2075.59	2796.65	2119.22	2956.17	2178.83	2287.2	2178.83	2193.99	1651.0	2417.67	2148.82	2468.49	2119.22	3190.46
PSMA5	6607.01	4575.41	3564.78	6652.97	4802.93	5041.77	4419.52	6294.04	2609.3	2148.82	967.76	1617.0	1066.48	1143.1	2148.82	1519.15	1594.73	1674.06	1583.71	1709.26	1277.29	1883.54	1857.6	1250.98	1909.85	1561.89	1199.98	1794.29	2104.58	1388.16	1127.35	1572.76	1378.57	1794.29	1870.53	1216.75	1407.55	1685.71	1572.76	2303.12	1781.89	2627.46	1388.16	1685.71	1832.01	1844.76	2119.22	2240.11	1369.04	1259.69	1088.92	1216.75	1225.22	1183.45	1437.15	1225.22	1508.65	1066.48	1340.84	2018.8	2287.2	1407.55	1313.23	1781.89	1857.6	1427.22	2004.85	1651.0	1388.16	2047.0	1508.65	2090.03	1583.71	1685.71	1322.37	2133.97	2468.49	1617.0	2148.82	1183.45	2739.08	1088.92	1685.71	1313.23	1583.71	2193.99	1388.16	2609.3	2090.03	1896.65	2451.44	2133.97	2720.15	2520.38	2537.92	1175.27	1685.71	2133.97	1685.71	2119.22	1487.87	1529.73	1331.57	1651.0	1397.83	1457.23	1477.58	2178.83	1508.65	2451.44
PSMA6	7695.57	11909.94	5006.93	10659.59	7695.57	10512.82	6426.31	12502.12	3212.66	3280.18	1781.89	2287.2	1832.01	1857.6	2976.74	2502.97	2351.53	2148.82	2573.36	2701.35	1819.35	2935.74	2976.74	2032.85	2627.46	2255.7	1883.54	2875.3	2816.11	2104.58	1950.0	2193.99	1857.6	3018.3	2609.3	2224.63	2178.83	2915.45	2367.9	3124.78	2609.3	3443.31	2061.24	2555.58	2758.13	2855.44	2997.45	3168.41	2004.85	1709.26	1674.06	1950.0	1936.53	1639.59	2303.12	1991.0	2032.85	1844.76	1977.24	2434.5	3690.52	2193.99	2255.7	2739.08	3018.3	1896.65	3168.41	2178.83	1963.57	3372.43	2271.4	2956.17	2018.8	2720.15	2148.82	3349.13	3060.45	2351.53	3325.99	1844.76	3190.46	1674.06	2451.44	2047.0	2537.92	3257.52	1977.24	3768.09	3018.3	2835.7	3212.66	2627.46	3639.7	3443.31	3190.46	1794.29	2758.13	3124.78	2434.5	2855.44	2400.97	2335.28	2319.15	2682.69	1950.0	2061.24	1936.53	3124.78	2240.11	3665.02
PSMB1	10225.32	8963.45	7032.37	11745.96	8247.98	14461.21	10659.59	11584.24	7695.57	6471.02	3235.01	4769.75	3540.14	3794.3	5076.84	4543.8	4736.79	4639.29	4358.66	4736.79	3589.58	6250.56	5791.62	4450.27	5594.3	4937.99	3847.29	5292.48	4836.35	4181.07	3982.99	5219.6	3928.15	6207.38	5112.16	4210.15	4239.45	5751.61	4639.29	5872.48	4736.79	6792.79	4671.57	4903.87	6037.61	5555.65	5711.87	6607.01	3564.78	4152.18	3212.66	3614.55	4095.0	3349.13	4769.75	3665.02	4419.52	4010.71	4450.27	4639.29	6840.04	4298.64	4704.07	4575.41	5872.48	3901.01	6652.97	4543.8	4298.64	6607.01	4671.57	6792.79	4066.71	5292.48	4481.23	5831.91	6381.92	4769.75	6250.56	3982.99	7130.55	4152.18	5041.77	4481.23	5403.7	6337.83	4328.55	6792.79	6037.61	5872.48	7695.57	5711.87	7382.04	6337.83	6607.01	3018.3	5517.27	7032.37	5112.16	5555.65	5441.3	4639.29	4903.87	4869.99	3589.58	4481.23	4481.23	5751.61	3901.01	7642.41
PSMB2	1208.34	1427.22	1191.69	2720.15	2004.85	2255.7	1923.14	2367.9	1073.91	890.44	536.45	708.18	587.13	656.11	819.3	674.59	896.64	802.41	698.41	738.29	703.28	872.1	780.44	688.78	909.17	921.88	638.15	780.44	753.83	802.41	591.22	684.02	575.03	967.76	836.53	633.73	723.08	743.43	688.78	819.3	775.05	981.29	830.75	780.44	842.36	819.3	753.83	1030.12	674.59	708.18	656.11	633.73	693.58	536.45	733.19	780.44	674.59	723.08	607.87	890.44	954.43	769.69	718.08	775.05	764.36	733.19	902.89	743.43	638.15	981.29	748.61	836.53	785.88	802.41	728.11	872.1	954.43	698.41	947.83	642.59	934.76	633.73	775.05	647.07	813.63	915.51	693.58	1023.0	896.64	808.0	909.17	748.61	947.83	934.76	961.07	563.18	769.69	1001.93	775.05	791.35	620.67	665.29	708.18	624.99	660.68	698.41	791.35	854.13	647.07	954.43
PSMB5	4450.27	4210.15	3257.52	4388.98	5006.93	5219.6	3928.15	6426.31	2609.3	2627.46	1508.65	1977.24	1594.73	1709.26	2609.3	1733.13	2573.36	2090.03	2255.7	2287.2	1806.78	2520.38	2591.27	1923.14	2777.33	2434.5	1594.73	2367.9	2193.99	2319.15	1721.16	2148.82	1487.87	2664.15	2119.22	1781.89	1832.01	2351.53	2367.9	2664.15	2835.7	3443.31	1923.14	2224.63	2739.08	2434.5	2555.58	3039.3	1857.6	2104.58	1709.26	1583.71	1857.6	1551.09	2271.4	1963.57	1870.53	1844.76	1498.22	2133.97	3325.99	1745.2	2367.9	2047.0	2451.44	1977.24	2796.65	1844.76	2047.0	2520.38	2537.92	2875.3	1991.0	2627.46	1769.57	2777.33	2915.45	1870.53	3146.52	1685.71	3168.41	1662.49	2209.26	1769.57	2451.44	2895.31	1977.24	3325.99	2367.9	2367.9	3690.52	2367.9	2956.17	2796.65	2935.74	1870.53	2209.26	2502.97	2209.26	2895.31	1923.14	1733.13	2193.99	1950.0	2119.22	1769.57	2351.53	2777.33	1963.57	2777.33
