	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.B8.A54E.01A.11R.A266.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.DZ.6132.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.DD.A73A.01A.12R.A32O.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.YF7O.0626.SM.4W21R	GTEX.13D11.0326.SM.5LZXX	GTEX.1313W.0926.SM.5EQ56	GTEX.O5YT.0526.SM.32PK8	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZT9X.0326.SM.51MTE	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.R55C.0526.SM.3GIKA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.ZPIC.0626.SM.57WDY	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
ERCC6	176.29	95.34	84.63	177.53	72.52	80.01	37.32	25.54	47.84	26.47	87.65	19.39	15.8	37.85	57.49	24.99	57.08	33.78	48.18	29.7	26.1	42.41	37.32	56.28	52.82	42.11	28.24	60.82	59.97	29.27	36.79	29.27	39.22	53.19	30.34	47.84	17.51	26.1	31.22	36.53	36.01	45.53	40.64	44.25	34.26	42.41	33.06	46.5	69.52	24.28	24.63	20.56	52.08	43.63	44.89	40.64	23.08	33.54	14.24	45.21	70.01	39.22	28.45	25.91	50.27	53.57	35.25	34.26	38.67	55.89	38.12	41.22	60.82	32.82	59.97	62.12	71.5	43.02	52.45	54.72	55.49	44.25	52.82	78.89	82.29	75.11	56.28	58.71	33.06	67.12	48.52	60.82	65.26	78.89	79.45	57.89	95.34	80.01	53.57	98.04	80.57	73.03	65.26	77.25	103.69	51.71	111.99	50.98	57.08	47.17	46.84
EXOC1	532.74	529.06	599.49	1066.48	616.37	368.65	348.71	389.72	336.79	171.45	395.18	262.2	74.06	395.18	409.15	211.31	400.71	218.79	293.07	297.17	166.73	185.11	149.12	246.28	173.85	181.28	95.34	141.02	123.5	189.02	147.06	150.17	190.34	256.78	98.73	353.59	208.38	115.16	176.29	105.89	189.02	175.07	103.69	226.54	120.94	116.78	232.94	232.94	205.5	98.73	133.36	220.32	208.38	152.28	229.72	277.2	229.72	170.25	44.57	101.54	90.77	137.14	87.65	110.43	214.27	84.04	111.99	114.36	143.01	182.55	90.77	215.77	182.55	116.78	105.15	547.75	316.37	343.89	493.56	473.41	432.53	674.59	684.02	540.19	603.67	595.34	438.59	529.06	497.0	703.28	521.76	447.82	429.54	543.96	490.14	420.68	638.15	607.87	343.89	363.56	514.56	559.28	450.94	397.93	595.34	447.82	493.56	476.71	376.41	567.1	432.53
EXTL2	205.5	220.32	249.73	381.68	253.23	173.85	143.01	158.79	112.77	85.82	234.57	102.25	32.13	175.07	204.07	96.01	153.34	111.21	115.16	146.03	80.57	100.13	105.15	87.03	249.73	84.63	109.66	180.02	142.01	131.51	94.67	88.88	91.41	140.04	85.22	209.84	116.78	67.59	156.59	74.58	147.06	154.42	154.42	74.06	90.77	49.56	120.1	96.01	295.11	107.38	102.97	95.34	98.04	155.5	122.64	117.6	88.88	119.26	40.64	92.7	100.13	85.22	64.8	137.14	104.42	115.16	63.45	81.71	145.02	69.03	101.54	193.01	84.63	61.68	106.63	191.67	149.12	157.68	309.83	232.94	115.97	379.04	217.27	152.28	295.11	71.5	201.25	339.14	105.89	473.41	158.79	119.26	351.14	279.14	202.66	255.0	327.56	223.41	83.45	157.68	206.94	218.79	221.86	231.32	226.54	366.09	123.5	195.72	55.89	281.09	183.82
FAM120A	954.43	1551.09	1662.49	1870.53	2090.03	1870.53	1199.98	921.88	1208.34	1304.15	1628.26	1447.15	718.08	1819.35	1397.83	1529.73	1529.73	1073.91	1519.15	1457.23	830.75	1023.0	1088.92	616.37	1216.75	947.83	1295.13	759.08	1037.29	1437.15	928.3	947.83	753.83	1081.39	1001.93	1088.92	743.43	928.3	1001.93	1111.82	954.43	1175.27	988.12	642.59	878.17	785.88	1111.82	1119.56	1991.0	860.08	1295.13	974.5	1023.0	1023.0	1030.12	1340.84	1407.55	1030.12	665.29	1030.12	753.83	967.76	967.76	1015.93	1143.1	1008.9	1066.48	1015.93	872.1	902.89	1208.34	703.28	1331.57	819.3	1540.37	1233.75	1322.37	1051.79	1447.15	2133.97	1199.98	1639.59	1457.23	1388.16	1540.37	1896.65	1508.65	1286.18	1369.04	1991.0	995.0	1794.29	2627.46	1340.84	1066.48	2271.4	2573.36	1447.15	1340.84	981.29	1286.18	1378.57	1437.15	1447.15	1583.71	2417.67	2018.8	1225.22	860.08	1143.1	1167.14
FAR1	376.41	361.04	620.67	1388.16	381.68	435.55	343.89	215.77	262.2	127.89	389.72	162.14	51.35	249.73	323.03	134.3	305.55	141.02	265.87	262.2	115.97	20.86	68.55	46.5	28.04	35.76	22.43	39.22	35.0	43.32	33.3	37.32	23.76	100.13	20.41	105.15	10.88	33.06	65.72	23.76	44.25	42.71	18.03	34.75	28.45	21.94	98.73	50.98	33.78	7.63	28.45	20.41	90.77	10.16	30.34	159.9	29.91	29.06	9.56	30.34	88.26	19.68	24.11	22.59	50.98	16.63	48.87	16.27	18.03	32.13	45.85	36.01	98.04	12.45	30.56	518.15	518.15	466.88	301.33	297.17	629.35	624.99	470.14	251.48	395.18	660.68	480.04	429.54	293.07	1096.5	281.09	514.56	547.75	476.71	264.03	387.02	1096.5	454.09	208.38	129.69	368.65	473.41	348.71	454.09	450.94	995.0	387.02	258.57	283.05	363.56	447.82
FGL2	35.5	708.18	679.29	1242.34	490.14	819.3	381.68	228.13	575.03	64.34	547.75	161.02	121.79	193.01	397.93	269.6	135.24	186.4	277.2	305.55	218.79	31.45	244.57	64.34	43.02	146.03	61.25	170.25	54.72	113.56	41.52	132.44	75.11	173.85	19.11	426.57	7.0	109.66	555.41	34.02	74.06	84.04	39.5	35.5	62.12	63.0	178.77	112.77	54.33	20.26	142.01	63.89	232.94	42.71	51.71	532.74	234.57	70.01	61.25	94.67	728.11	69.03	80.01	113.56	258.57	36.01	110.43	58.71	102.25	127.89	435.55	107.38	444.72	82.87	171.45	529.06	43.32	819.3	713.11	713.11	1135.2	91.41	507.46	318.57	301.33	283.05	1015.93	267.73	147.06	651.58	145.02	551.56	802.41	638.15	289.02	759.08	1023.0	303.44	224.97	36.53	381.68	579.04	703.28	813.63	376.41	267.73	460.44	246.28	3820.7	109.66	595.34
FRG1	693.58	1151.06	1417.35	2875.3	1008.9	791.35	660.68	947.83	738.29	423.61	785.88	457.25	273.37	848.22	633.73	447.82	551.56	441.64	665.29	995.0	351.14	759.08	769.69	579.04	679.29	693.58	493.56	571.05	603.67	642.59	470.14	819.3	738.29	813.63	607.87	651.58	226.54	563.18	698.41	511.0	819.3	693.58	633.73	525.39	536.45	703.28	587.13	651.58	511.0	733.19	684.02	780.44	698.41	819.3	595.34	819.3	529.06	769.69	212.78	497.0	759.08	599.49	674.59	587.13	941.27	603.67	679.29	802.41	426.57	1167.14	669.92	406.31	620.67	432.53	733.19	830.75	718.08	1407.55	1331.57	1417.35	1159.07	1066.48	1350.18	1208.34	878.17	514.56	1594.73	1561.89	1008.9	1008.9	1417.35	540.19	728.11	1111.82	1183.45	854.13	1059.11	860.08	866.07	684.02	1388.16	1167.14	1119.56	1498.22	1844.76	1467.37	967.76	1191.69	854.13	1199.98	1175.27
FTL	783730.52	469249.9	539026.74	86474.27	721179.07	716197.51	1422501.74	919186.72	1355129.16	932018.1	614902.29	998912.34	1422501.74	736332.6	687022.54	1048575.0	696613.03	783730.52	741454.2	623486.02	992012.34	757033.75	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	805764.22	906531.99	1393227.06	875652.15	1055868.42	851707.37	696613.03	828417.36	1514068.5	623486.02	919186.72	985160.01	746611.43	721179.07	1100706.72	958220.73	741454.2	932018.1	857631.47	716197.51	1147449.11	1493223.86	649962.87	992012.34	811368.76	627822.72	925580.18	881742.8	822695.06	762299.34	472513.8	581732.96	701458.36	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	573724.06	857631.47	1131651.83	906531.99	925580.18	706337.4	2326934.84	998912.34	1273174.62	1204496.53	691801.16	741454.2	938500.81	437825.58	834179.46	845824.19	1336472.68	938500.81	573724.06	945028.61	751804.53	282912.21	971597.0	845824.19	577714.63	875652.15	716197.51	783730.52	338781.54	645473.24	887875.81	1327240.99	778316.89	627822.72	619179.28	687022.54	535303.41	659036.03	945028.61	900270.11	1179708.33	762299.34	971597.0
GNAI3	1304.15	1519.15	1583.71	2047.0	836.53	791.35	679.29	647.07	759.08	500.46	954.43	518.15	400.71	775.05	688.78	660.68	728.11	642.59	708.18	902.89	559.28	796.86	521.76	518.15	679.29	587.13	395.18	599.49	559.28	575.03	371.22	395.18	563.18	563.18	567.1	890.44	473.41	486.75	1073.91	483.38	599.49	629.35	463.65	579.04	429.54	376.41	587.13	540.19	854.13	679.29	454.09	450.94	563.18	409.15	400.71	633.73	642.59	454.09	384.34	490.14	518.15	476.71	376.41	417.77	651.58	493.56	373.81	507.46	583.07	698.41	684.02	262.2	603.67	780.44	629.35	775.05	733.19	1143.1	988.12	1437.15	728.11	1199.98	1111.82	1143.1	1259.69	1008.9	1594.73	836.53	1286.18	1191.69	698.41	1183.45	1295.13	1037.29	1008.9	1088.92	1594.73	884.29	961.07	669.92	902.89	884.29	1199.98	796.86	1199.98	1340.84	1015.93	486.75	532.74	921.88	941.27
GNB4	65.26	583.07	679.29	1015.93	29.7	518.15	131.51	55.89	199.85	53.57	470.14	89.51	55.1	113.56	111.21	215.77	54.33	63.0	236.21	120.1	59.55	6.21	33.54	36.27	6.67	18.29	14.03	20.86	18.29	17.13	3.56	15.68	4.58	67.59	7.57	80.01	1.77	13.83	49.56	8.45	17.9	16.63	5.41	11.13	6.52	11.13	26.28	26.67	11.82	4.54	6.16	10.79	40.64	3.06	7.69	132.44	29.27	15.11	7.4	29.27	30.12	28.45	48.87	27.05	41.22	14.67	7.28	16.27	2.68	53.95	42.41	8.71	96.68	11.64	32.59	316.37	182.55	320.8	102.25	351.14	323.03	80.57	305.55	460.44	363.56	144.01	551.56	105.89	154.42	591.22	99.43	371.22	1233.75	638.15	320.8	603.67	514.56	305.55	260.38	89.51	305.55	201.25	387.02	353.59	457.25	514.56	928.3	147.06	343.89	229.72	291.04
GPALPP1	438.59	327.56	320.8	728.11	309.83	260.38	173.85	187.71	187.71	134.3	260.38	93.35	72.52	255.0	232.94	157.68	191.67	138.1	201.25	229.72	107.38	165.57	303.44	125.24	100.83	264.03	103.69	111.21	212.78	201.25	262.2	187.71	202.66	135.24	137.14	253.23	108.14	178.77	251.48	119.26	115.16	279.14	236.21	239.52	112.77	175.07	283.05	120.94	244.57	74.06	183.82	211.31	224.97	199.85	346.29	157.68	209.84	166.73	78.89	132.44	145.02	158.79	172.65	132.44	287.01	161.02	121.79	155.5	108.9	165.57	164.42	242.88	212.78	82.87	226.54	264.03	295.11	287.01	242.88	253.23	242.88	329.84	387.02	249.73	289.02	316.37	283.05	323.03	255.0	351.14	255.0	198.47	329.84	361.04	249.73	314.17	466.88	334.46	164.42	152.28	309.83	371.22	384.34	412.0	395.18	327.56	279.14	228.13	172.65	353.59	299.25
GPATCH11	100.13	162.14	195.72	314.17	136.19	114.36	92.7	80.01	72.52	38.12	130.6	41.81	11.82	109.66	80.57	35.5	73.03	39.22	81.14	81.14	21.78	69.03	59.97	50.98	67.12	67.59	46.18	53.95	81.14	86.43	48.52	39.22	35.5	69.03	34.26	98.04	59.13	50.63	63.0	65.72	53.95	54.33	49.56	68.55	65.72	34.02	83.45	48.52	163.28	43.94	59.97	70.01	73.03	54.72	63.45	96.68	58.71	66.65	9.56	51.71	59.55	49.56	24.81	53.95	62.12	71.5	55.89	48.18	82.87	71.5	57.89	52.45	74.06	69.52	89.51	87.03	132.44	115.97	190.34	208.38	189.02	131.51	191.67	131.51	156.59	169.07	246.28	154.42	126.12	159.9	155.5	100.83	175.07	195.72	153.34	169.07	241.19	212.78	194.36	100.83	186.4	197.09	187.71	186.4	267.73	143.01	107.38	242.88	100.83	153.34	119.26
GPD2	447.82	1030.12	414.87	642.59	185.11	368.65	193.01	150.17	212.78	145.02	277.2	131.51	82.29	199.85	182.55	202.66	148.09	172.65	248.0	194.36	141.02	24.46	80.57	77.79	141.02	82.87	34.02	143.01	70.51	61.25	63.0	41.22	47.84	138.1	42.11	181.28	47.84	47.84	256.78	63.45	40.64	98.73	46.18	56.68	49.91	31.0	76.71	51.35	118.43	43.94	38.12	63.89	68.07	36.53	48.18	140.04	67.59	39.5	19.97	76.17	48.52	45.85	32.59	38.4	77.25	36.27	18.29	32.13	59.97	76.71	27.64	28.86	47.17	43.02	39.5	253.23	500.46	358.54	400.71	384.34	435.55	591.22	371.22	277.2	368.65	896.64	406.31	264.03	246.28	454.09	334.46	209.84	373.81	318.57	366.09	743.43	532.74	426.57	285.03	279.14	351.14	343.89	332.14	231.32	457.25	414.87	486.75	220.32	161.02	457.25	249.73
HAUS1	836.53	612.11	915.51	1167.14	400.71	353.59	295.11	473.41	392.44	208.38	351.14	251.48	50.27	258.57	325.29	218.79	289.02	299.25	197.09	381.68	141.02	447.82	309.83	271.48	432.53	358.54	189.02	693.58	260.38	283.05	389.72	309.83	232.94	341.51	180.02	518.15	241.19	156.59	420.68	551.56	429.54	195.72	525.39	204.07	218.79	221.86	325.29	260.38	231.32	325.29	329.84	253.23	258.57	373.81	361.04	361.04	237.86	271.48	81.71	120.1	201.25	150.17	72.52	185.11	503.95	149.12	157.68	265.87	125.24	323.03	109.66	163.28	156.59	114.36	175.07	389.72	387.02	860.08	483.38	708.18	460.44	884.29	587.13	647.07	633.73	392.44	934.76	540.19	483.38	854.13	669.92	575.03	529.06	738.29	525.39	620.67	460.44	633.73	392.44	665.29	954.43	473.41	878.17	587.13	878.17	808.0	493.56	454.09	353.59	842.36	733.19
HAUS2	371.22	346.29	361.04	603.67	239.52	249.73	153.34	125.24	223.41	131.51	253.23	169.07	70.01	251.48	176.29	144.01	212.78	120.94	241.19	307.69	114.36	137.14	180.02	119.26	154.42	142.01	120.1	127.89	161.02	143.01	109.66	85.22	127.89	156.59	119.26	232.94	128.79	119.26	339.14	171.45	173.85	143.01	136.19	138.1	93.35	80.01	204.07	127.0	166.73	121.79	106.63	108.14	122.64	119.26	138.1	218.79	158.79	165.57	49.56	109.66	84.63	128.79	125.24	99.43	166.73	135.24	82.29	138.1	129.69	237.86	147.06	108.14	158.79	116.78	191.67	251.48	417.77	320.8	400.71	412.0	896.64	356.05	389.72	379.04	323.03	320.8	656.11	305.55	320.8	387.02	332.14	295.11	301.33	414.87	249.73	447.82	503.95	291.04	316.37	194.36	395.18	264.03	332.14	329.84	389.72	660.68	476.71	269.6	264.03	511.0	343.89
HAUS6	60.39	173.85	180.02	406.31	106.63	115.16	87.65	53.57	75.11	48.87	108.14	52.45	14.35	105.89	92.05	50.27	128.79	40.36	62.56	129.69	25.54	37.59	65.72	63.45	190.34	67.12	63.89	100.13	39.5	61.25	57.89	40.07	29.48	120.94	48.52	141.02	68.55	40.36	129.69	85.22	69.52	47.84	62.56	37.59	65.72	38.12	82.87	72.01	72.01	45.53	31.9	65.72	63.0	31.9	67.59	81.14	77.79	36.53	15.91	48.87	43.32	59.55	79.45	33.78	131.51	40.64	26.67	38.67	29.27	102.97	22.59	78.89	36.53	34.26	24.11	100.13	186.4	67.12	46.18	122.64	132.44	221.86	100.83	130.6	212.78	170.25	107.38	88.26	64.8	158.79	56.68	92.7	88.88	125.24	68.07	105.89	150.17	85.22	87.03	78.34	69.03	87.03	82.29	73.54	101.54	165.57	112.77	63.89	159.9	105.15	104.42
HERC6	143.01	466.88	199.85	241.19	267.73	198.47	131.51	149.12	165.57	190.34	197.09	151.22	129.69	206.94	154.42	332.14	221.86	113.56	197.09	208.38	131.51	38.95	91.41	42.41	38.95	67.59	31.67	18.7	75.11	42.41	21.78	92.7	80.01	115.97	48.52	64.34	57.08	52.45	26.1	35.5	128.79	66.18	13.22	45.85	72.01	37.85	60.82	91.41	27.05	12.45	55.49	9.13	115.16	19.53	120.1	57.89	211.31	64.8	43.94	43.63	152.28	35.25	19.82	59.13	87.65	88.88	283.05	49.91	24.63	101.54	136.19	114.36	108.14	24.81	57.89	156.59	44.25	249.73	293.07	206.94	106.63	239.52	246.28	78.89	299.25	111.99	429.54	255.0	132.44	429.54	291.04	189.02	139.07	255.0	316.37	166.73	493.56	379.04	96.68	164.42	332.14	356.05	248.0	199.85	301.33	295.11	454.09	253.23	94.67	555.41	191.67
HIATL1	629.35	967.76	802.41	1233.75	435.55	703.28	476.71	423.61	518.15	406.31	764.36	312.0	323.03	493.56	536.45	536.45	403.5	490.14	607.87	587.13	417.77	178.77	293.07	140.04	320.8	234.57	186.4	307.69	169.07	234.57	287.01	175.07	132.44	289.02	98.04	409.15	239.52	173.85	314.17	291.04	271.48	218.79	258.57	116.78	178.77	138.1	246.28	191.67	412.0	118.43	170.25	246.28	289.02	115.97	262.2	473.41	242.88	181.28	99.43	142.01	141.02	175.07	140.04	143.01	189.02	144.01	151.22	198.47	208.38	186.4	120.1	112.77	214.27	76.71	244.57	669.92	426.57	902.89	1583.71	909.17	1127.35	1008.9	1259.69	463.65	684.02	579.04	1208.34	463.65	753.83	1639.59	909.17	878.17	934.76	723.08	813.63	1313.23	1561.89	909.17	738.29	423.61	1051.79	587.13	1023.0	723.08	866.07	1733.13	1183.45	647.07	518.15	884.29	753.83
HNRNPLL	450.94	620.67	595.34	1081.39	334.46	371.22	325.29	334.46	392.44	223.41	423.61	255.0	215.77	295.11	341.51	269.6	343.89	251.48	371.22	379.04	220.32	211.31	236.21	180.02	281.09	332.14	195.72	312.0	275.28	239.52	194.36	151.22	314.17	289.02	194.36	351.14	127.89	208.38	320.8	164.42	305.55	217.27	236.21	303.44	133.36	187.71	371.22	237.86	420.68	191.67	163.28	281.09	314.17	187.71	229.72	412.0	285.03	249.73	107.38	220.32	206.94	212.78	177.53	134.3	197.09	165.57	145.02	193.01	172.65	320.8	197.09	113.56	316.37	175.07	258.57	450.94	414.87	559.28	441.64	409.15	651.58	503.95	454.09	688.78	591.22	1143.1	414.87	503.95	318.57	713.11	314.17	693.58	642.59	660.68	406.31	616.37	665.29	463.65	529.06	406.31	543.96	358.54	406.31	423.61	624.99	563.18	426.57	379.04	591.22	587.13	532.74
IARS	547.75	1167.14	1242.34	1015.93	1051.79	1037.29	624.99	500.46	718.08	551.56	1111.82	988.12	463.65	1304.15	738.29	921.88	1059.11	466.88	693.58	878.17	353.59	473.41	633.73	220.32	1350.18	591.22	559.28	651.58	463.65	616.37	441.64	447.82	381.68	988.12	679.29	733.19	409.15	532.74	981.29	603.67	1001.93	612.11	536.45	314.17	486.75	438.59	612.11	540.19	1277.29	764.36	409.15	713.11	651.58	616.37	656.11	1191.69	454.09	457.25	167.9	309.83	161.02	486.75	403.5	212.78	607.87	273.37	159.9	441.64	178.77	356.05	285.03	271.48	397.93	218.79	423.61	674.59	954.43	651.58	669.92	1151.06	603.67	1417.35	872.1	521.76	902.89	1378.57	921.88	1023.0	830.75	1225.22	395.18	1870.53	1304.15	647.07	529.06	1183.45	2047.0	555.41	1199.98	791.35	490.14	1037.29	1135.2	483.38	536.45	1191.69	961.07	532.74	620.67	521.76	808.0
IPO8	432.53	450.94	525.39	1225.22	381.68	802.41	376.41	366.09	325.29	325.29	713.11	392.44	165.57	450.94	409.15	490.14	466.88	264.03	571.05	450.94	320.8	195.72	255.0	295.11	376.41	186.4	107.38	186.4	246.28	244.57	299.25	195.72	163.28	366.09	156.59	432.53	277.2	197.09	318.57	226.54	191.67	387.02	271.48	115.97	229.72	173.85	260.38	246.28	348.71	159.9	189.02	194.36	256.78	205.5	265.87	323.03	228.13	226.54	187.71	323.03	190.34	283.05	320.8	267.73	341.51	241.19	199.85	271.48	271.48	256.78	348.71	237.86	318.57	239.52	432.53	316.37	173.85	368.65	450.94	457.25	336.79	587.13	629.35	348.71	426.57	295.11	460.44	493.56	379.04	753.83	346.29	303.44	567.1	406.31	525.39	612.11	718.08	511.0	336.79	277.2	444.72	426.57	400.71	551.56	493.56	660.68	500.46	476.71	309.83	309.83	316.37
IQCB1	195.72	363.56	327.56	656.11	107.38	251.48	209.84	197.09	170.25	175.07	346.29	80.01	55.1	217.27	358.54	131.51	138.1	164.42	125.24	251.48	96.01	87.65	128.79	149.12	224.97	159.9	68.55	248.0	133.36	140.04	156.59	107.38	141.02	206.94	79.45	323.03	149.12	115.16	224.97	127.0	93.35	178.77	157.68	111.99	142.01	80.57	166.73	177.53	255.0	120.1	59.97	153.34	134.3	115.97	171.45	166.73	260.38	118.43	46.5	78.34	81.71	150.17	71.5	53.19	100.83	33.3	88.88	73.54	52.08	98.73	34.26	108.14	113.56	66.18	61.25	279.14	341.51	208.38	137.14	221.86	748.61	698.41	193.01	190.34	291.04	231.32	221.86	808.0	120.1	476.71	215.77	123.5	309.83	260.38	127.0	161.02	579.04	262.2	204.07	228.13	256.78	264.03	316.37	314.17	389.72	441.64	275.28	353.59	162.14	353.59	221.86
IQGAP1	2555.58	4181.07	4704.07	6745.86	1529.73	2875.3	1977.24	1721.16	2796.65	1529.73	3146.52	1111.82	571.05	1781.89	1781.89	1467.37	1583.71	1857.6	2224.63	2537.92	1059.11	202.66	563.18	381.68	351.14	470.14	305.55	441.64	397.93	389.72	162.14	392.44	287.01	902.89	229.72	890.44	139.07	320.8	1001.93	334.46	503.95	265.87	169.07	229.72	248.0	312.0	775.05	470.14	273.37	149.12	211.31	273.37	733.19	146.03	297.17	1397.83	532.74	285.03	152.28	303.44	529.06	316.37	309.83	110.43	503.95	172.65	209.84	264.03	147.06	723.08	587.13	96.01	808.0	158.79	309.83	3235.01	2627.46	4268.94	4836.35	6840.04	2627.46	3419.52	6164.49	3018.3	3081.75	5006.93	4210.15	1781.89	5006.93	7280.4	3280.18	4512.4	4802.93	4937.99	3742.05	5329.3	10084.54	3124.78	4802.93	2451.44	4972.34	2255.7	5255.91	3372.43	4328.55	6792.79	5076.84	3146.52	3039.3	3982.99	3768.09
KANSL2	470.14	460.44	483.38	1030.12	412.0	599.49	412.0	500.46	358.54	131.51	679.29	417.77	265.87	423.61	583.07	265.87	713.11	309.83	480.04	476.71	532.74	291.04	318.57	169.07	275.28	186.4	194.36	429.54	244.57	256.78	339.14	258.57	285.03	314.17	194.36	348.71	368.65	193.01	555.41	211.31	327.56	279.14	305.55	297.17	157.68	164.42	363.56	229.72	343.89	224.97	220.32	325.29	253.23	265.87	186.4	281.09	138.1	283.05	164.42	221.86	183.82	260.38	157.68	189.02	255.0	114.36	242.88	111.99	291.04	258.57	152.28	379.04	220.32	105.15	165.57	555.41	483.38	579.04	693.58	571.05	353.59	1127.35	511.0	638.15	624.99	660.68	476.71	540.19	563.18	902.89	884.29	226.54	460.44	309.83	466.88	397.93	483.38	441.64	447.82	255.0	651.58	674.59	476.71	447.82	441.64	878.17	579.04	563.18	336.79	432.53	543.96
