	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.11ZVC.0726.SM.5FQT9	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.ZG.A8QX.01A.11R.A37L.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.V1.A8MK.01A.11R.A36G.07	GTEX.NFK9.2226.SM.3MJGP	TCGA.AX.A2IN.01A.12R.A180.07	TCGA.AX.A3FT.01A.11R.A22K.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.AJ.A8CV.01A.11R.A37O.07	TCGA.DI.A1BU.01A.11R.A137.07
EIF3D	5555.65	5831.91	4736.79	3901.01	5831.91	6516.03	4419.52	3768.09	7280.4	4268.94	6745.86	2502.97	2104.58	2701.35	1628.26	1832.01	1662.49	1617.0	1561.89	2193.99	3303.0	1397.83	1936.53	1605.83	2935.74	3768.09	1605.83	2303.12	1883.54	954.43	1628.26	1936.53	1477.58	2090.03	1685.71	2148.82	2367.9	1023.0	3081.75	1572.76	2520.38	1322.37	1819.35	2240.11	2915.45	2537.92	3280.18	1477.58	1685.71	2209.26	2537.92	1268.46	1407.55	1286.18	2224.63	1331.57	4836.35	5292.48	4239.45	5041.77	5329.3	4704.07	5751.61	3419.52	4450.27	5255.91	4095.0	4736.79	5441.3
EIF3G	5112.16	4671.57	6037.61	4123.49	6426.31	8134.41	5255.91	4328.55	5403.7	4419.52	5594.3	5183.54	3540.14	4639.29	3190.46	3928.15	2777.33	2609.3	3372.43	2935.74	5329.3	3060.45	2468.49	2303.12	3847.29	5329.3	2520.38	3349.13	3280.18	1721.16	3103.19	2434.5	2573.36	3589.58	2591.27	2875.3	4038.61	3303.0	4268.94	2758.13	3467.27	3349.13	2287.2	2816.11	5041.77	3212.66	5076.84	2090.03	2287.2	3874.05	3820.7	2384.37	3018.3	1819.35	3639.7	2591.27	6426.31	5831.91	5479.15	7589.61	7032.37	6164.49	7130.55	4607.24	4937.99	6935.54	8022.41	6471.02	6381.92
EIF4A3	1844.76	1991.0	1572.76	1909.85	1617.0	2434.5	1378.57	1909.85	961.07	3280.18	5751.61	1023.0	764.36	1119.56	693.58	909.17	703.28	813.63	769.69	813.63	1417.35	921.88	974.5	612.11	981.29	1447.15	665.29	819.3	890.44	551.56	674.59	866.07	693.58	954.43	890.44	928.3	1191.69	599.49	743.43	825.0	1001.93	791.35	825.0	854.13	896.64	860.08	1561.89	684.02	738.29	1167.14	1340.84	638.15	638.15	713.11	764.36	723.08	1417.35	1721.16	1617.0	1923.14	1583.71	1477.58	1594.73	2664.15	1769.57	2075.59	3257.52	1870.53	2032.85
EMC4	5219.6	2664.15	2855.44	4268.94	3443.31	2627.46	3018.3	4181.07	3103.19	1857.6	2758.13	2209.26	2335.28	2255.7	1950.0	2061.24	1709.26	1977.24	2004.85	1950.0	2319.15	1963.57	1605.83	2224.63	2271.4	2520.38	2351.53	2224.63	2004.85	1519.15	2119.22	2400.97	2645.74	2502.97	2417.67	2739.08	2090.03	2032.85	2090.03	2240.11	2148.82	1870.53	2240.11	2573.36	2555.58	2287.2	2417.67	1963.57	2090.03	2319.15	2682.69	1697.45	2682.69	1806.78	2303.12	2271.4	2956.17	3039.3	2417.67	2739.08	2875.3	2777.33	2090.03	3303.0	3467.27	2573.36	2997.45	3103.19	2935.74
EMC8	669.92	466.88	486.75	595.34	503.95	791.35	483.38	473.41	454.09	1015.93	1037.29	444.72	361.04	381.68	293.07	363.56	277.2	400.71	251.48	258.57	334.46	351.14	332.14	269.6	314.17	312.0	295.11	341.51	334.46	234.57	289.02	336.79	221.86	376.41	316.37	309.83	397.93	209.84	351.14	202.66	351.14	275.28	325.29	323.03	420.68	397.93	543.96	291.04	193.01	325.29	463.65	224.97	226.54	175.07	244.57	329.84	379.04	409.15	301.33	483.38	470.14	470.14	379.04	791.35	563.18	571.05	860.08	587.13	660.68
EMD	2004.85	1437.15	2701.35	1639.59	1963.57	3124.78	1487.87	1950.0	2104.58	6079.61	5633.22	3018.3	1397.83	1159.07	1313.23	1159.07	1059.11	1313.23	1199.98	1199.98	1991.0	1508.65	1199.98	1159.07	1508.65	1832.01	1151.06	1051.79	995.0	1883.54	1250.98	921.88	748.61	1340.84	860.08	928.3	1498.22	1051.79	995.0	981.29	921.88	1685.71	995.0	1159.07	1233.75	1322.37	2485.67	1259.69	1066.48	2520.38	1529.73	1487.87	1259.69	1250.98	1023.0	808.0	2627.46	2163.77	2090.03	2627.46	2758.13	2271.4	2319.15	3349.13	1963.57	1806.78	3768.09	2047.0	3124.78
ERCC2	579.04	532.74	409.15	305.55	603.67	642.59	629.35	346.29	480.04	476.71	435.55	361.04	256.78	343.89	316.37	406.31	258.57	234.57	387.02	289.02	412.0	231.32	236.21	201.25	466.88	507.46	432.53	277.2	309.83	303.44	651.58	197.09	400.71	412.0	327.56	371.22	279.14	285.03	301.33	325.29	417.77	234.57	447.82	318.57	336.79	379.04	241.19	166.73	236.21	246.28	368.65	224.97	279.14	273.37	444.72	251.48	466.88	420.68	536.45	583.07	389.72	366.09	525.39	450.94	607.87	555.41	493.56	409.15	412.0
ERI3	1745.2	2075.59	1467.37	1268.46	1268.46	2451.44	1208.34	1883.54	1359.57	2855.44	2591.27	1059.11	1233.75	1051.79	1143.1	1127.35	791.35	723.08	981.29	785.88	1167.14	909.17	723.08	921.88	819.3	1127.35	703.28	842.36	620.67	915.51	1225.22	373.81	674.59	813.63	872.1	656.11	679.29	1508.65	693.58	780.44	759.08	1208.34	780.44	540.19	974.5	698.41	713.11	1037.29	633.73	1286.18	842.36	808.0	1225.22	688.78	679.29	825.0	1674.06	1733.13	1617.0	2178.83	1857.6	1639.59	2335.28	2485.67	1437.15	2384.37	2451.44	1963.57	1857.6
EXOSC10	563.18	872.1	902.89	1295.13	1044.52	1617.0	1066.48	775.05	1104.13	1331.57	1191.69	500.46	616.37	728.11	503.95	688.78	381.68	397.93	438.59	514.56	616.37	403.5	406.31	397.93	490.14	633.73	351.14	521.76	356.05	351.14	379.04	327.56	392.44	417.77	384.34	414.87	395.18	353.59	466.88	334.46	583.07	454.09	409.15	486.75	503.95	470.14	432.53	343.89	343.89	507.46	376.41	473.41	361.04	255.0	392.44	339.14	728.11	764.36	764.36	1111.82	967.76	934.76	1044.52	1175.27	1135.2	775.05	1008.9	921.88	1119.56
EXOSC9	836.53	473.41	669.92	633.73	536.45	884.29	563.18	518.15	551.56	480.04	525.39	379.04	358.54	409.15	236.21	258.57	212.78	215.77	202.66	264.03	366.09	307.69	246.28	341.51	325.29	420.68	221.86	373.81	371.22	153.34	231.32	218.79	289.02	447.82	323.03	303.44	223.41	239.52	316.37	275.28	397.93	246.28	307.69	228.13	371.22	381.68	358.54	223.41	265.87	318.57	332.14	260.38	271.48	159.9	236.21	253.23	490.14	454.09	429.54	493.56	503.95	444.72	318.57	1199.98	947.83	819.3	902.89	563.18	775.05
FAM58A	679.29	647.07	733.19	753.83	854.13	764.36	703.28	693.58	954.43	1242.34	1340.84	629.35	426.57	389.72	341.51	223.41	265.87	309.83	314.17	236.21	429.54	309.83	258.57	291.04	353.59	285.03	417.77	316.37	291.04	209.84	287.01	231.32	258.57	303.44	303.44	231.32	457.25	289.02	307.69	209.84	275.28	567.1	167.9	441.64	642.59	361.04	423.61	329.84	221.86	329.84	429.54	316.37	283.05	212.78	307.69	332.14	669.92	688.78	638.15	791.35	595.34	642.59	684.02	669.92	624.99	629.35	961.07	708.18	842.36
FBXL15	273.37	212.78	500.46	253.23	358.54	283.05	253.23	244.57	215.77	483.38	368.65	371.22	248.0	253.23	177.53	312.0	229.72	166.73	172.65	204.07	363.56	165.57	125.24	153.34	223.41	161.02	226.54	336.79	189.02	143.01	329.84	172.65	314.17	265.87	74.06	241.19	78.34	237.86	152.28	186.4	241.19	248.0	242.88	246.28	241.19	273.37	122.64	177.53	163.28	144.01	260.38	189.02	202.66	205.5	171.45	265.87	368.65	397.93	363.56	607.87	473.41	358.54	195.72	830.75	244.57	457.25	429.54	325.29	363.56
FKBPL	327.56	318.57	251.48	273.37	241.19	454.09	206.94	325.29	353.59	301.33	126.12	127.0	133.36	202.66	110.43	158.79	74.06	84.63	75.64	77.25	131.51	74.06	61.68	94.67	115.16	107.38	151.22	82.29	131.51	49.21	151.22	104.42	154.42	77.79	92.7	108.14	248.0	98.73	106.63	110.43	87.03	195.72	87.03	124.37	116.78	52.45	84.63	62.56	100.13	150.17	86.43	73.54	147.06	40.64	85.22	107.38	112.77	122.64	130.6	144.01	171.45	135.24	111.99	363.56	239.52	529.06	285.03	253.23	389.72
FLVCR1	412.0	143.01	85.82	124.37	100.13	80.57	186.4	152.28	127.89	169.07	181.28	180.02	22.59	61.25	40.64	63.45	32.13	32.59	21.47	12.45	14.56	22.26	61.68	34.02	37.32	49.56	36.79	38.95	17.9	29.91	10.79	56.28	12.09	15.22	21.32	46.5	92.7	12.27	42.41	21.01	33.06	22.43	21.32	6.21	26.1	46.18	78.89	14.78	14.03	29.7	47.5	11.47	30.78	6.94	17.64	14.14	143.01	142.01	96.68	121.79	105.89	136.19	64.34	264.03	206.94	137.14	96.01	138.1	218.79
FUS	5183.54	3325.99	5633.22	4388.98	4802.93	14262.1	7180.15	4869.99	6935.54	9474.59	8598.28	4010.71	1896.65	3491.39	1857.6	2434.5	1651.0	2485.67	1561.89	2895.31	2485.67	2537.92	2287.2	2335.28	2609.3	2835.7	1529.73	2178.83	1487.87	1437.15	2075.59	1313.23	1467.37	2075.59	2032.85	1242.34	3018.3	947.83	3235.01	1369.04	1519.15	2271.4	1857.6	1369.04	4736.79	2609.3	2895.31	2178.83	902.89	2287.2	1721.16	3039.3	2609.3	616.37	1447.15	1322.37	5479.15	4903.87	4869.99	6337.83	5329.3	5147.73	4152.18	8901.53	7485.11	8305.36	8421.31	7081.29	6426.31
GEMIN2	218.79	260.38	214.27	138.1	115.97	381.68	232.94	113.56	148.09	348.71	575.03	214.27	115.97	111.21	81.14	157.68	106.63	92.05	74.06	113.56	159.9	127.0	109.66	93.35	139.07	195.72	72.52	98.04	69.03	127.0	97.36	52.08	112.77	50.98	68.07	108.9	93.35	97.36	112.77	66.65	94.67	67.12	81.71	80.57	105.15	72.01	106.63	122.64	86.43	165.57	148.09	137.14	136.19	53.19	65.26	82.29	249.73	166.73	185.11	241.19	248.0	208.38	189.02	571.05	239.52	420.68	476.71	293.07	363.56
GEMIN6	579.04	392.44	351.14	403.5	346.29	785.88	450.94	493.56	575.03	371.22	368.65	285.03	348.71	406.31	275.28	289.02	267.73	198.47	231.32	234.57	358.54	163.28	205.5	299.25	246.28	264.03	201.25	248.0	253.23	255.0	185.11	262.2	397.93	265.87	231.32	363.56	105.15	301.33	271.48	323.03	285.03	249.73	351.14	301.33	260.38	218.79	172.65	297.17	381.68	392.44	244.57	318.57	256.78	195.72	183.82	223.41	251.48	271.48	291.04	277.2	323.03	237.86	256.78	507.46	599.49	599.49	332.14	532.74	441.64
GGCT	2701.35	1467.37	2209.26	2133.97	1674.06	1073.91	2163.77	3690.52	1745.2	3443.31	3564.78	1051.79	753.83	684.02	563.18	638.15	497.0	638.15	583.07	493.56	769.69	738.29	591.22	813.63	693.58	866.07	703.28	1037.29	1008.9	607.87	624.99	769.69	802.41	1268.46	791.35	808.0	579.04	579.04	915.51	624.99	995.0	551.56	802.41	551.56	669.92	872.1	684.02	518.15	429.54	842.36	848.22	642.59	483.38	473.41	693.58	669.92	2816.11	2047.0	1551.09	1819.35	1963.57	2104.58	3325.99	2240.11	2193.99	2682.69	2720.15	2956.17	2163.77
GPATCH3	202.66	242.88	271.48	329.84	262.2	379.04	232.94	228.13	301.33	297.17	220.32	248.0	244.57	241.19	191.67	267.73	198.47	170.25	194.36	193.01	249.73	141.02	155.5	158.79	221.86	269.6	94.01	220.32	128.79	125.24	231.32	142.01	228.13	218.79	234.57	195.72	127.0	177.53	237.86	117.6	234.57	169.07	251.48	301.33	348.71	289.02	194.36	178.77	144.01	120.1	193.01	193.01	123.5	120.1	177.53	199.85	249.73	248.0	262.2	267.73	256.78	251.48	273.37	283.05	289.02	395.18	334.46	275.28	291.04
GPBP1	1159.07	1167.14	1059.11	1378.57	1135.2	848.22	1277.29	974.5	1044.52	753.83	796.86	866.07	624.99	656.11	575.03	748.61	599.49	555.41	532.74	753.83	660.68	571.05	543.96	595.34	660.68	497.0	521.76	466.88	466.88	587.13	507.46	511.0	587.13	432.53	540.19	532.74	500.46	547.75	450.94	595.34	432.53	718.08	392.44	511.0	460.44	432.53	1685.71	902.89	543.96	738.29	466.88	603.67	490.14	728.11	447.82	616.37	1233.75	1127.35	1127.35	1417.35	1286.18	1259.69	1427.22	1111.82	1143.1	1350.18	1233.75	1135.2	1001.93
GPN2	389.72	679.29	733.19	684.02	836.53	921.88	551.56	733.19	647.07	884.29	624.99	454.09	341.51	403.5	265.87	389.72	368.65	406.31	273.37	279.14	412.0	348.71	346.29	329.84	483.38	463.65	334.46	289.02	351.14	334.46	389.72	412.0	353.59	376.41	249.73	212.78	438.59	226.54	325.29	248.0	275.28	320.8	435.55	201.25	309.83	454.09	262.2	379.04	244.57	291.04	320.8	229.72	303.44	409.15	194.36	316.37	563.18	555.41	463.65	665.29	684.02	532.74	457.25	616.37	444.72	454.09	842.36	583.07	802.41
GTF2F1	1437.15	1233.75	1369.04	1685.71	1359.57	2178.83	1340.84	1331.57	1350.18	1350.18	1359.57	743.43	559.28	981.29	669.92	928.3	579.04	476.71	656.11	651.58	836.53	454.09	438.59	507.46	775.05	1066.48	521.76	551.56	718.08	379.04	575.03	909.17	473.41	748.61	435.55	718.08	961.07	414.87	785.88	591.22	703.28	555.41	555.41	638.15	961.07	688.78	669.92	559.28	503.95	665.29	674.59	493.56	603.67	532.74	759.08	476.71	1572.76	1757.34	1277.29	1909.85	2061.24	1388.16	1594.73	1350.18	1378.57	1508.65	1572.76	1745.2	1733.13
GTF2IRD1	1208.34	1407.55	1023.0	1225.22	1277.29	1151.06	1059.11	1605.83	656.11	1757.34	802.41	140.04	149.12	187.71	139.07	105.89	96.68	142.01	156.59	104.42	232.94	96.68	61.68	136.19	104.42	246.28	42.71	75.11	79.45	59.55	121.79	122.64	60.39	101.54	81.14	132.44	116.78	61.68	84.63	44.25	106.63	113.56	76.71	105.15	226.54	108.9	75.64	31.67	49.56	140.04	132.44	65.72	59.55	251.48	57.08	99.43	543.96	457.25	318.57	624.99	587.13	400.71	358.54	733.19	1467.37	909.17	780.44	819.3	1437.15
HAUS7	684.02	532.74	764.36	473.41	490.14	1216.75	486.75	511.0	698.41	1225.22	1794.29	507.46	325.29	384.34	384.34	318.57	237.86	305.55	275.28	301.33	412.0	384.34	406.31	309.83	379.04	470.14	312.0	343.89	414.87	221.86	332.14	273.37	236.21	547.75	287.01	189.02	476.71	314.17	435.55	156.59	316.37	435.55	212.78	384.34	612.11	363.56	275.28	384.34	221.86	476.71	460.44	376.41	316.37	262.2	320.8	356.05	493.56	473.41	423.61	620.67	529.06	567.1	728.11	1037.29	860.08	941.27	1295.13	796.86	1030.12
HN1	11267.44	9474.59	5441.3	10440.2	5147.73	17078.76	10883.59	9474.59	5517.27	10296.45	13586.57	2573.36	1617.0	1651.0	1175.27	1030.12	884.29	836.53	743.43	743.43	1151.06	1407.55	1277.29	1268.46	1159.07	1407.55	1331.57	1388.16	1378.57	738.29	961.07	961.07	1143.1	1697.45	1268.46	1030.12	1583.71	1127.35	1104.13	866.07	1023.0	1111.82	967.76	934.76	1540.37	1059.11	2119.22	1081.39	860.08	2163.77	995.0	775.05	1015.93	878.17	1242.34	1151.06	2061.24	1674.06	1651.0	1936.53	1977.24	1909.85	2032.85	10368.08	11035.54	2935.74	8778.97	8022.41	5711.87
HRAS	3146.52	3419.52	1991.0	1977.24	2835.7	4123.49	5183.54	1674.06	4543.8	3928.15	2875.3	1059.11	947.83	961.07	679.29	647.07	450.94	591.22	660.68	460.44	866.07	547.75	460.44	624.99	571.05	607.87	341.51	764.36	329.84	320.8	656.11	246.28	307.69	555.41	253.23	376.41	514.56	791.35	417.77	279.14	497.0	909.17	457.25	387.02	1183.45	555.41	529.06	718.08	358.54	796.86	438.59	483.38	409.15	395.18	480.04	417.77	1870.53	1674.06	1583.71	2133.97	2163.77	2090.03	2796.65	5995.9	2796.65	2047.0	3168.41	2004.85	2133.97
HSPBP1	1331.57	1191.69	1388.16	1096.5	1378.57	2609.3	921.88	1088.92	1295.13	2240.11	1923.14	902.89	660.68	764.36	624.99	629.35	518.15	432.53	497.0	457.25	1044.52	708.18	493.56	616.37	642.59	713.11	497.0	595.34	511.0	395.18	551.56	497.0	688.78	748.61	466.88	555.41	417.77	836.53	607.87	571.05	490.14	620.67	493.56	567.1	954.43	575.03	718.08	836.53	540.19	660.68	733.19	507.46	638.15	536.45	607.87	559.28	1030.12	825.0	928.3	1191.69	1073.91	890.44	656.11	1457.23	1388.16	2119.22	1721.16	2796.65	1572.76
KAT5	1030.12	854.13	1051.79	1233.75	1088.92	1199.98	934.76	819.3	1250.98	1127.35	1151.06	738.29	607.87	518.15	629.35	674.59	514.56	518.15	612.11	656.11	728.11	497.0	612.11	514.56	660.68	819.3	454.09	656.11	543.96	521.76	599.49	466.88	432.53	612.11	470.14	460.44	595.34	325.29	490.14	493.56	651.58	529.06	579.04	447.82	728.11	603.67	656.11	514.56	361.04	507.46	476.71	555.41	490.14	293.07	599.49	406.31	1233.75	1242.34	1191.69	1216.75	1199.98	1250.98	1233.75	1143.1	651.58	961.07	1369.04	1135.2	1111.82
LAGE3	612.11	866.07	813.63	616.37	403.5	825.0	693.58	1295.13	450.94	995.0	1498.22	1594.73	466.88	555.41	379.04	540.19	299.25	269.6	395.18	291.04	559.28	339.14	320.8	348.71	486.75	414.87	454.09	212.78	237.86	194.36	503.95	246.28	297.17	514.56	157.68	460.44	381.68	463.65	312.0	348.71	221.86	575.03	295.11	389.72	327.56	198.47	669.92	323.03	223.41	571.05	417.77	177.53	775.05	269.6	211.31	432.53	808.0	674.59	753.83	896.64	947.83	642.59	429.54	1977.24	514.56	1127.35	1605.83	733.19	1159.07
LIN7B	265.87	366.09	392.44	220.32	358.54	180.02	301.33	323.03	406.31	480.04	387.02	258.57	98.04	106.63	73.54	108.14	38.67	72.01	181.28	105.15	145.02	103.69	69.52	77.25	133.36	72.52	49.56	72.52	51.35	142.01	133.36	21.16	64.34	80.57	31.9	105.15	63.0	94.67	58.71	83.45	117.6	194.36	59.97	170.25	102.97	54.72	52.45	81.71	89.51	161.02	43.02	120.94	100.13	77.25	57.08	164.42	429.54	351.14	318.57	435.55	358.54	361.04	503.95	473.41	212.78	297.17	226.54	175.07	205.5
LMNA	5403.7	5041.77	11424.74	6561.36	6607.01	25354.3	6983.79	7180.15	6381.92	4736.79	6337.83	5995.9	2319.15	2935.74	3794.3	3901.01	2133.97	2701.35	1909.85	1936.53	3325.99	3982.99	1936.53	2209.26	3540.14	5403.7	2682.69	3124.78	3419.52	1697.45	2739.08	5995.9	2739.08	5954.47	2417.67	2855.44	3060.45	3847.29	4038.61	2976.74	4038.61	2351.53	2997.45	2796.65	2997.45	4298.64	2875.3	2682.69	2287.2	2976.74	3212.66	2178.83	2417.67	2855.44	4388.98	2591.27	3540.14	3190.46	2451.44	3325.99	2720.15	3124.78	2047.0	4869.99	5403.7	6207.38	4869.99	3540.14	6561.36
LSM10	1233.75	1208.34	1721.16	1119.56	1242.34	2417.67	813.63	1127.35	1066.48	2018.8	1769.57	1044.52	854.13	1127.35	915.51	808.0	866.07	866.07	872.1	796.86	1259.69	1250.98	981.29	961.07	941.27	825.0	1104.13	1044.52	1127.35	684.02	995.0	1088.92	1159.07	1111.82	1167.14	988.12	1183.45	1073.91	674.59	769.69	733.19	1437.15	753.83	1066.48	1015.93	915.51	1639.59	1096.5	791.35	1359.57	974.5	738.29	842.36	583.07	941.27	1313.23	1175.27	1151.06	1104.13	1143.1	1259.69	1191.69	1427.22	1651.0	1359.57	1233.75	1572.76	1191.69	1159.07
MBLAC1	55.1	30.12	71.5	55.49	89.51	50.63	43.94	23.93	31.9	51.71	111.99	66.18	22.59	50.27	28.45	38.95	20.26	20.56	37.59	32.82	43.63	28.45	14.78	27.25	39.22	23.08	26.67	62.12	21.78	20.11	43.63	23.59	43.94	38.4	11.91	48.52	18.56	21.16	26.28	14.56	26.28	20.11	45.53	34.02	63.89	25.72	17.9	23.25	25.35	29.7	29.48	24.46	40.93	21.63	35.5	34.02	217.27	153.34	79.45	162.14	208.38	141.02	180.02	100.83	49.91	97.36	82.29	65.72	154.42
MEA1	2777.33	2855.44	2796.65	2997.45	2573.36	2758.13	2976.74	3742.05	3280.18	3168.41	2956.17	1519.15	1617.0	1397.83	1037.29	2032.85	967.76	954.43	1044.52	934.76	1397.83	921.88	1037.29	1143.1	1769.57	1322.37	1350.18	1233.75	1030.12	796.86	1119.56	830.75	947.83	1313.23	934.76	1639.59	1388.16	1242.34	878.17	1242.34	1143.1	1540.37	1088.92	1286.18	1250.98	1233.75	1628.26	1477.58	1127.35	1883.54	1127.35	854.13	1417.35	1242.34	1044.52	1277.29	2133.97	2090.03	2193.99	2255.7	2537.92	2061.24	2400.97	4450.27	3515.68	2701.35	2645.74	2591.27	2335.28
MECP2	379.04	384.34	599.49	525.39	447.82	429.54	543.96	450.94	591.22	620.67	460.44	521.76	314.17	320.8	267.73	231.32	228.13	265.87	246.28	234.57	366.09	303.44	224.97	264.03	327.56	281.09	202.66	212.78	201.25	275.28	195.72	185.11	149.12	165.57	248.0	237.86	295.11	269.6	223.41	195.72	172.65	325.29	141.02	164.42	295.11	206.94	356.05	283.05	185.11	473.41	169.07	279.14	241.19	327.56	189.02	258.57	521.76	511.0	525.39	607.87	563.18	579.04	703.28	511.0	511.0	483.38	392.44	543.96	555.41
MEF2BNB	785.88	525.39	688.78	563.18	836.53	698.41	356.05	684.02	638.15	567.1	713.11	633.73	373.81	273.37	384.34	444.72	279.14	295.11	376.41	353.59	532.74	381.68	291.04	297.17	381.68	435.55	384.34	281.09	361.04	334.46	536.45	215.77	441.64	483.38	256.78	309.83	275.28	287.01	392.44	232.94	305.55	511.0	444.72	316.37	518.15	384.34	255.0	348.71	314.17	414.87	454.09	400.71	435.55	379.04	363.56	249.73	723.08	607.87	426.57	708.18	679.29	665.29	660.68	854.13	555.41	341.51	808.0	679.29	688.78
METTL12	373.81	507.46	144.01	323.03	373.81	406.31	277.2	241.19	909.17	525.39	1350.18	140.04	102.25	96.01	26.47	73.03	21.94	28.65	24.28	18.03	81.71	85.82	29.91	31.67	31.22	105.89	35.0	29.91	40.93	16.75	45.85	11.73	43.63	18.97	61.68	7.46	64.34	39.5	44.25	13.12	23.76	56.68	36.79	35.25	122.64	7.88	75.11	50.63	29.91	31.9	42.71	31.22	35.76	12.93	13.93	35.25	341.51	289.02	376.41	318.57	493.56	283.05	256.78	341.51	438.59	412.0	339.14	316.37	206.94
METTL6	420.68	318.57	348.71	267.73	406.31	373.81	234.57	323.03	264.03	249.73	134.3	199.85	177.53	150.17	137.14	186.4	87.65	87.65	111.21	126.12	143.01	95.34	99.43	97.36	131.51	76.71	84.04	108.9	78.34	94.67	73.03	62.56	115.16	71.5	117.6	118.43	140.04	82.29	80.57	122.64	86.43	59.97	104.42	58.3	80.57	75.11	165.57	75.11	84.04	110.43	86.43	105.89	116.78	61.25	50.98	92.05	221.86	351.14	255.0	249.73	242.88	255.0	279.14	339.14	255.0	320.8	275.28	248.0	336.79
MFSD5	1583.71	1001.93	1457.23	1594.73	1540.37	1151.06	1051.79	1896.65	1073.91	1001.93	1008.9	555.41	346.29	346.29	307.69	314.17	341.51	248.0	291.04	260.38	500.46	271.48	303.44	258.57	341.51	567.1	320.8	376.41	299.25	241.19	353.59	351.14	334.46	323.03	327.56	366.09	305.55	318.57	287.01	307.69	366.09	305.55	403.5	305.55	267.73	307.69	511.0	229.72	226.54	239.52	214.27	185.11	224.97	140.04	348.71	309.83	808.0	928.3	708.18	947.83	669.92	748.61	476.71	579.04	591.22	759.08	483.38	616.37	921.88
MRGBP	902.89	679.29	400.71	595.34	497.0	1159.07	463.65	400.71	403.5	738.29	796.86	409.15	332.14	239.52	223.41	297.17	176.29	206.94	231.32	187.71	307.69	157.68	187.71	212.78	226.54	244.57	144.01	170.25	119.26	183.82	221.86	88.26	120.94	151.22	187.71	158.79	177.53	248.0	147.06	145.02	190.34	244.57	193.01	167.9	318.57	159.9	166.73	198.47	151.22	165.57	138.1	224.97	172.65	124.37	181.28	239.52	287.01	208.38	256.78	269.6	305.55	241.19	215.77	612.11	529.06	441.64	454.09	381.68	420.68
MTL5	157.68	133.36	120.1	44.89	96.01	41.81	49.56	77.79	33.3	96.01	285.03	45.85	9.48	19.53	21.47	19.97	11.3	10.0	7.94	5.54	23.59	6.52	8.58	21.16	61.68	13.52	25.91	20.71	8.65	6.62	8.0	0.83	2.1	17.77	9.2	32.36	2.29	17.25	4.43	22.59	4.17	21.94	10.55	0.66	5.23	8.78	22.26	4.31	26.1	10.0	9.78	9.78	4.62	22.59	9.78	36.01	190.34	153.34	253.23	237.86	148.09	134.3	154.42	120.1	229.72	172.65	193.01	229.72	211.31
