	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.CM.6162.01A.11R.1653.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.CM.6171.01A.11R.1653.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.13VXT.2426.SM.5LU46	GTEX.O5YW.1426.SM.3MJHF	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EI.6882.01A.11R.1928.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13113.1526.SM.5EGHV	GTEX.11WQK.2926.SM.5EQKT	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4437.01A.01R.1802.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.Y5LM.1326.SM.5RQIS	GTEX.XV7Q.1326.SM.4BRWM	GTEX.117YW.2226.SM.5N9DB	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.131XG.1226.SM.5EGH9
MTR	84.63	195.72	435.55	450.94	423.61	444.72	441.64	435.55	450.94	332.14	336.79	329.84	327.56	587.13	358.54	353.59	629.35	57.08	150.17	287.01	316.37	105.15	138.1	133.36	163.28	228.13	267.73	314.17	183.82	275.28	180.02	204.07	185.11	80.57	258.57	256.78	256.78	143.01	65.26	181.28	115.16	102.97	74.06	84.63	80.01	86.43	82.87	76.71	86.43	17.51	339.14	86.43	194.36	74.58	43.94	79.45	127.0	191.67	150.17	189.02	88.26	246.28	88.26	108.9	201.25	228.13	173.85	135.24	139.07	244.57	105.89	54.72	102.97	138.1	77.79	82.87	82.29	82.87	63.45
PAN3	151.22	258.57	738.29	684.02	819.3	1135.2	802.41	808.0	759.08	848.22	967.76	915.51	688.78	1030.12	769.69	718.08	1135.2	201.25	417.77	493.56	633.73	260.38	215.77	241.19	318.57	420.68	753.83	688.78	363.56	620.67	316.37	323.03	480.04	447.82	412.0	336.79	497.0	483.38	271.48	480.04	358.54	351.14	111.99	92.7	65.72	76.71	61.25	119.26	234.57	29.27	532.74	316.37	480.04	157.68	197.09	217.27	305.55	267.73	429.54	305.55	171.45	503.95	248.0	373.81	571.05	417.77	426.57	163.28	285.03	291.04	242.88	246.28	140.04	249.73	249.73	224.97	211.31	253.23	117.6
PAQR3	77.79	248.0	483.38	316.37	368.65	417.77	316.37	366.09	409.15	318.57	320.8	301.33	234.57	289.02	164.42	218.79	521.76	65.72	134.3	78.34	108.9	139.07	127.0	165.57	125.24	303.44	173.85	71.5	123.5	273.37	249.73	251.48	244.57	241.19	273.37	279.14	536.45	249.73	139.07	199.85	218.79	246.28	76.17	65.26	77.79	45.85	38.4	72.01	146.03	39.5	376.41	126.12	258.57	395.18	44.89	170.25	94.01	104.42	237.86	135.24	87.03	208.38	105.89	287.01	167.9	115.16	110.43	45.85	166.73	104.42	50.27	151.22	108.14	155.5	92.7	128.79	98.04	81.14	128.79
PPIP5K2	178.77	878.17	854.13	1015.93	860.08	1259.69	995.0	896.64	854.13	896.64	995.0	813.63	802.41	1242.34	1096.5	836.53	1832.01	147.06	248.0	423.61	587.13	236.21	343.89	334.46	389.72	708.18	497.0	309.83	336.79	525.39	507.46	674.59	647.07	214.27	353.59	441.64	271.48	387.02	190.34	267.73	356.05	420.68	209.84	148.09	149.12	140.04	183.82	287.01	353.59	105.89	728.11	303.44	376.41	152.28	195.72	395.18	212.78	647.07	409.15	616.37	366.09	450.94	325.29	536.45	708.18	579.04	607.87	264.03	551.56	454.09	193.01	540.19	303.44	392.44	149.12	293.07	403.5	583.07	336.79
PPP1R9A	33.78	156.59	165.57	172.65	158.79	242.88	180.02	220.32	135.24	189.02	246.28	163.28	173.85	368.65	289.02	228.13	147.06	0.0	0.0	229.72	444.72	48.87	0.0	53.19	68.55	131.51	103.69	85.82	61.68	126.12	138.1	149.12	202.66	31.9	0.53	1.03	30.12	2.32	45.21	24.11	65.72	0.32	1.41	1.83	7.22	2.71	2.32	2.51	1.48	1.69	130.6	26.86	51.35	1.36	6.26	69.03	12.18	51.71	114.36	37.32	23.59	138.1	5.96	24.63	159.9	253.23	104.42	41.22	74.58	1.53	25.72	5.77	15.34	45.85	19.25	28.45	13.12	14.89	5.36
PTPRA	624.99	2061.24	1697.45	1757.34	1757.34	2032.85	1529.73	1936.53	1769.57	1561.89	1662.49	1639.59	1594.73	1572.76	2645.74	2104.58	3515.68	928.3	1216.75	934.76	1457.23	616.37	802.41	909.17	698.41	1088.92	551.56	808.0	759.08	1088.92	1143.1	1208.34	1051.79	684.02	1111.82	1407.55	1331.57	941.27	988.12	775.05	860.08	1044.52	271.48	429.54	376.41	366.09	256.78	403.5	490.14	334.46	825.0	713.11	1135.2	656.11	698.41	802.41	854.13	1023.0	620.67	830.75	633.73	1096.5	633.73	780.44	684.02	1208.34	896.64	698.41	921.88	1008.9	651.58	775.05	591.22	1023.0	551.56	633.73	860.08	884.29	624.99
PUM2	497.0	1417.35	1697.45	1721.16	1769.57	2193.99	1628.26	1909.85	1697.45	1685.71	1757.34	1781.89	1594.73	1832.01	1745.2	1697.45	3325.99	1199.98	1216.75	872.1	1183.45	318.57	872.1	525.39	559.28	1044.52	860.08	981.29	748.61	1167.14	1242.34	1167.14	1259.69	954.43	934.76	1023.0	981.29	1023.0	703.28	743.43	723.08	656.11	417.77	406.31	336.79	307.69	293.07	412.0	483.38	291.04	1199.98	860.08	967.76	718.08	559.28	521.76	547.75	647.07	1081.39	791.35	551.56	796.86	525.39	629.35	1159.07	1159.07	1059.11	521.76	642.59	830.75	642.59	518.15	620.67	693.58	1233.75	543.96	555.41	493.56	490.14
RAD50	164.42	974.5	693.58	669.92	693.58	954.43	703.28	802.41	684.02	693.58	733.19	743.43	688.78	967.76	808.0	947.83	733.19	226.54	279.14	275.28	339.14	312.0	262.2	301.33	387.02	423.61	629.35	476.71	409.15	555.41	353.59	295.11	384.34	180.02	285.03	325.29	327.56	373.81	157.68	323.03	281.09	215.77	172.65	158.79	162.14	262.2	126.12	232.94	285.03	29.91	466.88	323.03	563.18	112.77	148.09	363.56	406.31	273.37	291.04	441.64	246.28	343.89	202.66	423.61	466.88	521.76	521.76	307.69	669.92	312.0	289.02	256.78	307.69	265.87	80.01	283.05	229.72	341.51	234.57
RALGAPA1	100.83	320.8	698.41	748.61	738.29	1037.29	679.29	718.08	769.69	713.11	848.22	759.08	579.04	1059.11	743.43	624.99	1066.48	283.05	400.71	368.65	381.68	217.27	358.54	248.0	316.37	358.54	248.0	351.14	228.13	363.56	470.14	444.72	463.65	503.95	420.68	447.82	507.46	318.57	212.78	392.44	358.54	283.05	138.1	130.6	105.89	134.3	201.25	137.14	187.71	59.97	381.68	316.37	363.56	147.06	229.72	400.71	295.11	265.87	420.68	204.07	220.32	698.41	180.02	441.64	320.8	327.56	363.56	166.73	518.15	473.41	198.47	206.94	187.71	426.57	312.0	217.27	215.77	258.57	165.57
RASA1	158.79	693.58	813.63	785.88	813.63	995.0	802.41	819.3	825.0	688.78	830.75	764.36	624.99	1143.1	1059.11	813.63	2255.7	211.31	195.72	414.87	480.04	176.29	297.17	215.77	476.71	500.46	642.59	387.02	441.64	543.96	457.25	476.71	423.61	291.04	438.59	363.56	323.03	395.18	237.86	320.8	743.43	332.14	104.42	94.67	55.1	109.66	85.82	110.43	185.11	75.64	473.41	441.64	493.56	242.88	126.12	221.86	185.11	420.68	271.48	381.68	195.72	273.37	251.48	295.11	387.02	693.58	395.18	154.42	177.53	269.6	167.9	325.29	285.03	231.32	214.27	232.94	218.79	234.57	165.57
RPA1	961.07	1583.71	1639.59	1819.35	1639.59	1594.73	1540.37	2004.85	1709.26	1757.34	1721.16	1685.71	2004.85	1857.6	2537.92	2255.7	1936.53	1388.16	1159.07	1277.29	1359.57	1397.83	890.44	928.3	791.35	1427.22	642.59	1008.9	928.3	1030.12	1359.57	1561.89	1397.83	1175.27	1191.69	1417.35	802.41	1277.29	1081.39	995.0	947.83	896.64	432.53	444.72	417.77	323.03	412.0	323.03	476.71	514.56	1369.04	1044.52	2133.97	1037.29	1340.84	743.43	656.11	759.08	555.41	934.76	457.25	2434.5	1030.12	769.69	1015.93	1529.73	583.07	679.29	486.75	490.14	974.5	764.36	647.07	791.35	229.72	693.58	954.43	825.0	1015.93
RUFY2	67.59	111.21	297.17	329.84	343.89	466.88	329.84	309.83	376.41	329.84	447.82	400.71	246.28	483.38	351.14	309.83	591.22	108.14	176.29	223.41	228.13	57.89	114.36	61.68	114.36	162.14	212.78	173.85	158.79	232.94	158.79	212.78	205.5	176.29	157.68	173.85	183.82	195.72	134.3	103.69	195.72	147.06	52.45	62.56	33.06	42.11	55.1	57.89	57.49	13.03	182.55	169.07	198.47	100.13	58.3	115.97	88.26	176.29	148.09	214.27	122.64	183.82	106.63	92.7	114.36	182.55	217.27	115.97	128.79	248.0	75.11	68.55	104.42	145.02	73.03	92.05	111.21	161.02	62.56
SCAPER	144.01	348.71	387.02	466.88	438.59	748.61	438.59	429.54	409.15	447.82	551.56	521.76	334.46	688.78	336.79	587.13	620.67	490.14	616.37	454.09	432.53	133.36	265.87	231.32	141.02	169.07	140.04	159.9	164.42	159.9	283.05	244.57	358.54	142.01	209.84	180.02	277.2	175.07	169.07	204.07	178.77	140.04	96.68	73.03	82.87	181.28	116.78	111.99	145.02	101.54	119.26	348.71	323.03	75.64	145.02	234.57	113.56	237.86	271.48	131.51	106.63	293.07	47.5	135.24	204.07	177.53	116.78	82.29	198.47	132.44	66.65	149.12	65.26	127.89	187.71	102.97	162.14	204.07	170.25
SENP6	591.22	872.1	1662.49	1733.13	1697.45	2209.26	1697.45	1733.13	1857.6	1733.13	1977.24	2148.82	1427.22	2004.85	1617.0	1277.29	2555.58	356.05	769.69	860.08	1059.11	500.46	748.61	679.29	836.53	1208.34	1008.9	830.75	638.15	1119.56	866.07	954.43	896.64	591.22	1407.55	1277.29	1259.69	1015.93	941.27	1350.18	698.41	612.11	417.77	450.94	157.68	414.87	187.71	441.64	591.22	83.45	1191.69	612.11	791.35	470.14	297.17	796.86	483.38	708.18	1295.13	796.86	412.0	1151.06	314.17	525.39	796.86	1143.1	486.75	329.84	830.75	1001.93	518.15	507.46	511.0	486.75	791.35	575.03	473.41	460.44	366.09
SENP7	36.53	182.55	447.82	441.64	500.46	679.29	529.06	414.87	480.04	463.65	438.59	447.82	348.71	603.67	571.05	353.59	836.53	26.67	127.89	271.48	309.83	53.57	104.42	91.41	80.57	205.5	155.5	104.42	142.01	186.4	199.85	223.41	180.02	108.9	102.97	173.85	186.4	127.89	20.56	109.66	136.19	93.35	71.5	66.18	44.25	41.22	36.27	59.97	110.43	15.91	170.25	80.01	158.79	20.41	26.28	147.06	57.49	141.02	34.75	78.89	43.02	181.28	34.26	88.26	217.27	164.42	136.19	69.52	209.84	58.71	41.81	102.97	35.5	105.15	20.11	58.3	79.45	115.16	33.54
SPIN1	521.76	1388.16	1733.13	1936.53	1733.13	2090.03	1508.65	1794.29	1674.06	1832.01	1583.71	1697.45	1977.24	2193.99	2351.53	1407.55	2816.11	483.38	723.08	2573.36	3325.99	595.34	633.73	403.5	470.14	1096.5	591.22	612.11	518.15	785.88	808.0	872.1	780.44	743.43	587.13	764.36	995.0	575.03	547.75	540.19	603.67	547.75	144.01	158.79	109.66	190.34	121.79	167.9	293.07	183.82	796.86	660.68	819.3	395.18	412.0	361.04	473.41	890.44	860.08	603.67	480.04	1594.73	329.84	612.11	511.0	941.27	693.58	457.25	426.57	995.0	583.07	444.72	373.81	567.1	629.35	400.71	417.77	379.04	303.44
STAG1	152.28	395.18	583.07	607.87	616.37	693.58	563.18	532.74	559.28	540.19	638.15	543.96	500.46	660.68	432.53	620.67	1225.22	171.45	269.6	327.56	493.56	166.73	450.94	214.27	136.19	339.14	166.73	221.86	223.41	379.04	483.38	339.14	348.71	232.94	271.48	299.25	316.37	332.14	265.87	223.41	253.23	217.27	80.57	76.17	46.84	72.52	53.95	85.82	124.37	54.72	339.14	228.13	389.72	114.36	105.89	226.54	178.77	218.79	441.64	202.66	109.66	389.72	132.44	226.54	327.56	327.56	312.0	127.0	256.78	171.45	129.69	172.65	199.85	176.29	387.02	178.77	191.67	159.9	185.11
SUV420H1	351.14	529.06	961.07	921.88	1119.56	1295.13	995.0	1073.91	974.5	1135.2	1183.45	1277.29	928.3	1286.18	1350.18	961.07	1457.23	178.77	473.41	346.29	638.15	406.31	403.5	665.29	229.72	460.44	460.44	258.57	301.33	890.44	551.56	603.67	684.02	363.56	529.06	620.67	400.71	480.04	432.53	457.25	591.22	463.65	201.25	212.78	138.1	127.0	273.37	211.31	166.73	111.99	470.14	665.29	503.95	239.52	339.14	543.96	490.14	336.79	587.13	271.48	309.83	414.87	291.04	318.57	417.77	599.49	698.41	336.79	511.0	759.08	351.14	325.29	514.56	277.2	332.14	486.75	529.06	444.72	303.44
TAF1	102.25	395.18	532.74	543.96	595.34	490.14	543.96	693.58	583.07	575.03	599.49	532.74	656.11	583.07	791.35	599.49	567.1	195.72	198.47	214.27	320.8	204.07	265.87	224.97	239.52	325.29	395.18	285.03	253.23	447.82	358.54	325.29	339.14	384.34	387.02	314.17	373.81	343.89	339.14	379.04	248.0	293.07	61.25	108.9	48.52	66.18	48.87	96.01	149.12	39.79	371.22	262.2	371.22	206.94	173.85	253.23	223.41	145.02	358.54	214.27	198.47	447.82	153.34	169.07	279.14	358.54	279.14	176.29	255.0	435.55	226.54	182.55	214.27	217.27	128.79	130.6	244.57	195.72	177.53
TRIM23	42.71	158.79	325.29	265.87	332.14	356.05	323.03	323.03	303.44	244.57	309.83	325.29	279.14	447.82	460.44	457.25	780.44	100.83	94.01	136.19	173.85	75.64	88.88	49.21	55.49	80.01	82.87	93.35	80.01	143.01	112.77	147.06	149.12	52.45	75.64	78.89	51.71	78.89	24.99	49.91	93.35	55.1	63.45	62.56	66.18	44.57	49.56	80.57	82.87	35.76	146.03	104.42	154.42	59.55	27.05	39.22	35.5	88.26	55.1	59.97	50.98	81.14	43.02	39.22	43.02	73.54	47.17	33.3	53.19	49.21	21.01	47.5	80.01	82.29	36.01	43.94	54.33	84.63	61.68
TSTD2	61.68	384.34	400.71	351.14	341.51	395.18	299.25	356.05	376.41	366.09	316.37	384.34	361.04	392.44	454.09	234.57	412.0	41.22	134.3	166.73	307.69	297.17	293.07	273.37	232.94	256.78	239.52	228.13	195.72	239.52	297.17	271.48	223.41	220.32	246.28	346.29	318.57	181.28	236.21	258.57	165.57	172.65	43.63	53.95	69.52	70.01	41.22	77.25	229.72	68.07	220.32	217.27	204.07	101.54	105.89	161.02	167.9	155.5	234.57	307.69	140.04	563.18	115.97	199.85	198.47	232.94	248.0	100.83	120.94	376.41	156.59	150.17	105.15	127.0	190.34	157.68	162.14	145.02	100.13
TTC21B	46.18	153.34	361.04	267.73	329.84	426.57	291.04	314.17	343.89	295.11	356.05	366.09	281.09	480.04	376.41	241.19	435.55	81.14	220.32	279.14	379.04	100.83	90.14	121.79	114.36	140.04	146.03	131.51	119.26	299.25	159.9	131.51	153.34	158.79	139.07	166.73	112.77	165.57	102.25	111.21	98.73	82.87	105.89	59.97	38.67	43.94	39.22	58.71	126.12	45.53	193.01	74.58	101.54	65.26	98.04	96.68	51.35	89.51	206.94	129.69	66.18	181.28	63.45	93.35	202.66	153.34	87.65	43.94	67.59	130.6	49.56	59.97	68.07	117.6	62.56	51.71	111.99	73.54	86.43
TTC37	172.65	981.29	954.43	1023.0	941.27	1268.46	1143.1	1088.92	967.76	1037.29	1143.1	974.5	1008.9	1397.83	1088.92	1457.23	1639.59	307.69	409.15	476.71	802.41	551.56	441.64	314.17	563.18	579.04	813.63	563.18	316.37	454.09	540.19	713.11	674.59	267.73	414.87	521.76	348.71	423.61	279.14	291.04	318.57	387.02	255.0	309.83	256.78	127.89	156.59	269.6	348.71	61.68	802.41	414.87	547.75	316.37	175.07	426.57	303.44	529.06	279.14	511.0	318.57	441.64	332.14	511.0	921.88	819.3	651.58	267.73	521.76	507.46	166.73	218.79	358.54	490.14	136.19	466.88	277.2	412.0	366.09
UNC119B	55.1	341.51	836.53	698.41	665.29	723.08	733.19	878.17	723.08	579.04	612.11	514.56	896.64	603.67	738.29	638.15	780.44	79.45	57.08	392.44	273.37	226.54	156.59	638.15	214.27	295.11	387.02	312.0	209.84	532.74	392.44	412.0	371.22	555.41	397.93	316.37	154.42	281.09	417.77	115.97	204.07	248.0	190.34	63.89	52.82	78.89	49.56	193.01	120.94	37.32	466.88	312.0	269.6	136.19	205.5	165.57	329.84	131.51	183.82	373.81	127.89	698.41	215.77	299.25	241.19	299.25	195.72	221.86	155.5	450.94	559.28	150.17	301.33	267.73	106.63	236.21	155.5	258.57	262.2
VEZT	414.87	1674.06	902.89	1359.57	1088.92	1529.73	1023.0	1111.82	1135.2	1030.12	1295.13	1216.75	1037.29	1175.27	1832.01	1340.84	1832.01	1259.69	825.0	379.04	470.14	389.72	764.36	733.19	551.56	915.51	620.67	660.68	890.44	1313.23	769.69	896.64	934.76	575.03	961.07	884.29	583.07	1143.1	728.11	679.29	1037.29	1030.12	301.33	305.55	197.09	283.05	234.57	409.15	563.18	166.73	723.08	529.06	808.0	599.49	305.55	563.18	423.61	848.22	928.3	463.65	307.69	429.54	480.04	1096.5	660.68	1096.5	718.08	507.46	500.46	743.43	318.57	603.67	587.13	395.18	607.87	483.38	379.04	358.54	373.81
WDR48	336.79	595.34	1081.39	1008.9	954.43	1378.57	967.76	1044.52	954.43	961.07	1015.93	1015.93	902.89	1225.22	1001.93	909.17	1135.2	178.77	423.61	642.59	759.08	389.72	432.53	295.11	371.22	555.41	540.19	384.34	444.72	563.18	579.04	540.19	642.59	525.39	366.09	511.0	314.17	406.31	435.55	329.84	348.71	305.55	251.48	211.31	163.28	220.32	190.34	265.87	289.02	176.29	629.35	435.55	665.29	180.02	226.54	318.57	366.09	343.89	444.72	363.56	209.84	373.81	146.03	176.29	309.83	406.31	363.56	255.0	277.2	256.78	329.84	271.48	329.84	587.13	332.14	281.09	412.0	343.89	214.27
YLPM1	221.86	612.11	1051.79	934.76	1044.52	1167.14	1037.29	1135.2	1059.11	1051.79	1015.93	1096.5	941.27	1268.46	1277.29	1304.15	1242.34	435.55	500.46	651.58	909.17	251.48	647.07	536.45	624.99	796.86	447.82	764.36	607.87	607.87	633.73	713.11	633.73	392.44	612.11	791.35	656.11	507.46	336.79	511.0	529.06	423.61	231.32	180.02	142.01	172.65	194.36	218.79	269.6	141.02	748.61	563.18	679.29	444.72	351.14	435.55	473.41	429.54	669.92	368.65	409.15	583.07	366.09	476.71	579.04	785.88	521.76	269.6	599.49	480.04	500.46	275.28	409.15	438.59	305.55	323.03	420.68	379.04	323.03
YTHDC2	53.57	438.59	420.68	379.04	366.09	500.46	361.04	389.72	384.34	395.18	480.04	406.31	336.79	412.0	329.84	346.29	518.15	108.9	169.07	171.45	167.9	223.41	353.59	121.79	202.66	299.25	291.04	178.77	237.86	262.2	239.52	260.38	182.55	199.85	295.11	305.55	212.78	275.28	146.03	191.67	295.11	283.05	96.01	103.69	105.89	92.05	68.07	175.07	143.01	56.28	318.57	248.0	361.04	146.03	69.03	161.02	170.25	173.85	149.12	236.21	114.36	182.55	169.07	141.02	307.69	336.79	214.27	94.67	173.85	191.67	127.89	153.34	138.1	197.09	46.18	105.15	148.09	140.04	131.51
ZBTB1	187.71	353.59	775.05	854.13	830.75	1073.91	967.76	808.0	808.0	769.69	819.3	684.02	764.36	915.51	967.76	796.86	1030.12	273.37	387.02	698.41	551.56	242.88	356.05	312.0	323.03	612.11	395.18	409.15	356.05	563.18	341.51	400.71	450.94	293.07	420.68	470.14	497.0	384.34	182.55	412.0	409.15	346.29	139.07	147.06	113.56	101.54	115.16	208.38	285.03	59.13	571.05	389.72	353.59	103.69	275.28	327.56	291.04	376.41	486.75	480.04	221.86	961.07	246.28	334.46	406.31	616.37	376.41	226.54	463.65	490.14	241.19	215.77	211.31	358.54	239.52	223.41	283.05	262.2	133.36
ZDHHC17	60.82	256.78	684.02	647.07	775.05	981.29	688.78	642.59	825.0	599.49	698.41	753.83	444.72	896.64	684.02	620.67	1151.06	68.55	186.4	384.34	514.56	197.09	218.79	162.14	139.07	295.11	379.04	273.37	214.27	521.76	253.23	312.0	239.52	175.07	314.17	356.05	194.36	301.33	156.59	171.45	232.94	178.77	75.11	64.34	41.22	46.5	45.85	104.42	162.14	34.02	253.23	120.94	206.94	64.34	105.89	218.79	190.34	228.13	314.17	172.65	115.16	381.68	154.42	106.63	289.02	232.94	133.36	104.42	264.03	241.19	90.77	91.41	127.89	223.41	95.34	114.36	137.14	150.17	74.58
ZDHHC21	43.32	128.79	199.85	212.78	177.53	223.41	202.66	165.57	139.07	161.02	167.9	145.02	138.1	316.37	156.59	202.66	191.67	376.41	127.0	65.26	64.34	113.56	49.21	105.15	69.03	86.43	102.25	95.34	55.89	101.54	129.69	143.01	114.36	121.79	110.43	93.35	98.73	166.73	63.89	102.25	190.34	100.13	19.25	18.84	13.93	12.18	4.62	28.04	48.52	7.75	117.6	108.14	61.25	18.56	24.11	116.78	72.01	62.56	98.04	49.56	38.12	100.83	41.81	64.8	98.73	98.04	73.54	40.07	73.03	63.89	24.46	87.65	78.34	197.09	47.17	60.82	76.71	83.45	55.89
ZFP30	44.57	102.97	228.13	170.25	197.09	162.14	190.34	224.97	185.11	152.28	185.11	183.82	211.31	190.34	217.27	148.09	236.21	38.67	57.49	61.68	253.23	6.94	51.71	47.84	39.79	64.34	63.0	78.89	35.0	193.01	105.15	55.1	129.69	76.71	20.26	16.51	48.18	19.53	39.79	16.51	38.12	32.36	19.68	11.04	11.13	15.22	25.54	21.94	32.82	6.46	116.78	28.04	223.41	13.12	40.36	50.27	37.32	85.82	56.68	126.12	9.48	163.28	18.29	9.48	75.64	11.64	46.5	19.25	10.47	108.14	35.25	25.91	55.89	55.89	12.09	17.64	24.99	36.01	28.65
ZFX	73.54	194.36	583.07	536.45	583.07	759.08	555.41	551.56	536.45	497.0	620.67	514.56	532.74	595.34	748.61	748.61	1059.11	60.82	111.21	301.33	406.31	205.5	239.52	204.07	87.03	327.56	141.02	127.0	251.48	334.46	197.09	381.68	194.36	271.48	155.5	113.56	293.07	234.57	165.57	88.88	115.97	176.29	99.43	68.07	61.68	75.11	53.19	77.25	185.11	29.48	156.59	157.68	248.0	73.54	208.38	223.41	146.03	217.27	323.03	144.01	112.77	293.07	85.82	158.79	220.32	181.28	193.01	119.26	170.25	218.79	157.68	120.94	191.67	202.66	131.51	112.77	221.86	127.89	172.65
ZFYVE16	148.09	665.29	497.0	563.18	547.75	713.11	521.76	540.19	503.95	497.0	551.56	412.0	454.09	665.29	665.29	791.35	836.53	127.89	221.86	571.05	567.1	291.04	406.31	217.27	229.72	397.93	348.71	334.46	205.5	371.22	291.04	295.11	231.32	212.78	314.17	246.28	237.86	289.02	164.42	299.25	291.04	212.78	131.51	116.78	111.21	106.63	108.14	161.02	214.27	61.68	281.09	293.07	209.84	108.14	117.6	212.78	119.26	376.41	295.11	334.46	145.02	373.81	135.24	193.01	420.68	507.46	341.51	154.42	253.23	363.56	97.36	194.36	137.14	202.66	134.3	135.24	172.65	150.17	159.9
ZNF136	59.55	185.11	289.02	258.57	289.02	397.93	277.2	307.69	334.46	297.17	435.55	450.94	265.87	392.44	299.25	318.57	376.41	46.5	82.29	112.77	226.54	69.52	125.24	62.56	70.01	123.5	141.02	109.66	105.15	146.03	108.9	103.69	129.69	70.01	68.07	24.28	80.01	78.34	111.99	14.67	83.45	90.77	37.05	21.32	18.56	22.1	28.86	41.52	76.71	18.16	145.02	64.8	127.89	54.72	45.85	88.88	58.3	112.77	94.01	103.69	56.68	97.36	47.84	52.08	77.79	142.01	90.77	39.5	58.71	87.03	75.11	133.36	89.51	51.71	87.65	72.52	75.64	88.26	40.36
ZNF14	70.01	117.6	234.57	218.79	244.57	312.0	224.97	287.01	283.05	232.94	356.05	334.46	253.23	353.59	320.8	293.07	438.59	32.59	149.12	96.68	262.2	52.45	79.45	61.25	53.57	66.65	74.06	88.88	50.98	136.19	80.01	96.68	78.34	80.57	66.65	94.01	46.5	53.95	57.49	13.72	57.08	53.95	8.19	2.94	5.02	9.85	7.63	13.52	33.78	2.1	74.06	39.22	79.45	26.86	39.22	59.55	70.01	43.32	65.26	81.71	22.43	142.01	38.95	40.93	100.83	65.26	81.14	39.79	50.27	105.89	43.63	39.22	40.36	79.45	10.08	42.71	52.82	67.12	18.03
ZNF197	108.9	269.6	339.14	299.25	353.59	371.22	309.83	363.56	332.14	358.54	392.44	395.18	346.29	466.88	420.68	325.29	753.83	104.42	158.79	152.28	299.25	149.12	162.14	146.03	178.77	182.55	206.94	147.06	159.9	228.13	182.55	176.29	205.5	176.29	135.24	167.9	145.02	137.14	151.22	162.14	139.07	115.16	81.14	57.49	42.11	81.71	92.05	82.87	155.5	30.56	173.85	180.02	221.86	126.12	88.26	148.09	132.44	127.0	224.97	175.07	71.0	151.22	58.71	118.43	105.15	234.57	171.45	63.89	145.02	182.55	83.45	76.71	109.66	129.69	59.55	106.63	108.14	129.69	76.17
