	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13FTW.1626.SM.5KM4N	GTEX.WH7G.0926.SM.4LVMJ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.HC.7745.01A.11R.2118.07	GTEX.WFG8.1826.SM.4LVM4	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4294.01A.01R.1131.13
TBC1D30	177.53	177.53	25.54	21.32	20.26	2.86	4.39	22.92	72.52	0.0	0.39	212.78	176.29	185.11	229.72	165.57	128.79	185.11	189.02	4.98	0.62	8.78	23.93	5.19	11.73	2.89	218.79
TMEM192	414.87	414.87	112.77	102.25	181.28	116.78	127.89	204.07	251.48	329.84	105.15	540.19	603.67	651.58	748.61	356.05	536.45	543.96	476.71	232.94	93.35	82.87	164.42	132.44	116.78	122.64	559.28
TMEM27	19.39	19.39	15.11	6.46	8.58	7.51	6.84	22.26	52.82	0.0	0.0	40.36	30.34	21.63	31.45	38.95	28.86	51.35	27.05	5.59	2.34	0.13	5.32	8.45	7.28	2.34	120.94
TSGA10	73.54	73.54	86.43	60.82	70.51	73.03	76.17	71.0	87.03	0.0	0.0	275.28	197.09	460.44	208.38	134.3	323.03	231.32	241.19	61.68	65.26	23.93	164.42	66.65	52.45	41.81	525.39
TSPAN33	620.67	620.67	283.05	169.07	103.69	162.14	153.34	189.02	348.71	0.0	0.55	480.04	409.15	341.51	954.43	872.1	395.18	503.95	356.05	54.72	85.22	83.45	140.04	191.67	198.47	29.06	909.17
TTC3	1819.35	1819.35	262.2	379.04	397.93	395.18	400.71	713.11	753.83	0.0	0.79	1457.23	1447.15	2287.2	1572.76	1250.98	1467.37	1551.09	1015.93	460.44	221.86	332.14	454.09	295.11	392.44	218.79	1322.37
USP30	273.37	273.37	161.02	202.66	180.02	186.4	180.02	156.59	265.87	0.0	0.21	260.38	226.54	258.57	275.28	229.72	242.88	273.37	273.37	99.43	144.01	52.45	134.3	147.06	86.43	140.04	547.75
ZBED3	231.32	231.32	13.62	33.06	24.11	19.97	24.81	71.5	111.21	0.0	0.14	198.47	108.14	135.24	108.14	156.59	206.94	208.38	151.22	33.3	4.98	4.24	33.54	23.93	22.59	7.4	327.56
ZCWPW2	21.94	21.94	12.0	5.92	7.75	9.63	5.41	10.47	19.68	0.0	0.06	25.91	35.5	24.81	31.0	23.25	24.11	27.44	42.71	23.76	7.75	10.24	12.18	2.84	6.67	6.16	84.04
ZNF124	110.43	110.43	19.39	45.53	47.17	34.26	35.25	44.25	52.45	0.0	0.32	68.07	59.55	77.25	78.89	111.21	85.22	77.79	78.89	29.48	22.92	29.48	59.55	33.54	40.93	30.56	285.03
ZNF140	363.56	363.56	239.52	206.94	231.32	183.82	226.54	182.55	277.2	0.0	0.22	483.38	397.93	397.93	412.0	543.96	406.31	409.15	392.44	371.22	138.1	97.36	287.01	164.42	153.34	142.01	642.59
ZNF181	264.03	264.03	56.68	102.97	152.28	68.07	56.68	101.54	185.11	0.0	0.0	172.65	211.31	269.6	194.36	275.28	223.41	211.31	189.02	128.79	84.63	43.63	84.63	68.55	53.57	98.73	669.92
ZNF467	423.61	423.61	157.68	78.89	84.63	137.14	115.97	136.19	185.11	0.0	0.75	185.11	173.85	486.75	264.03	457.25	334.46	178.77	191.67	46.84	21.63	106.63	34.26	26.67	75.64	59.55	674.59
ZNF501	44.25	44.25	11.13	33.54	28.24	25.91	31.0	31.0	39.22	0.0	0.0	67.12	78.34	101.54	96.01	98.04	81.14	68.55	105.15	68.55	4.31	6.01	28.24	19.97	48.52	13.52	116.78
ZNF502	41.81	41.81	6.01	43.32	49.56	39.79	60.39	37.85	92.7	0.0	0.19	140.04	99.43	111.21	93.35	138.1	95.34	102.97	117.6	36.53	7.51	10.16	37.85	28.86	38.95	31.22	191.67
ZNF581	764.36	764.36	624.99	624.99	518.15	483.38	665.29	470.14	679.29	0.0	0.54	493.56	647.07	753.83	830.75	909.17	647.07	642.59	571.05	567.1	273.37	358.54	500.46	638.15	660.68	563.18	2627.46
ZNF583	68.55	68.55	1.36	16.63	18.43	7.22	9.78	10.88	19.97	0.0	0.15	73.54	59.13	77.25	98.73	60.39	63.0	80.57	44.89	91.41	12.18	23.76	20.86	38.67	2.86	4.1	172.65
ZNF620	57.08	57.08	13.52	16.03	11.91	5.23	10.31	14.56	13.83	0.0	0.17	71.0	55.1	42.71	56.28	49.56	44.89	59.97	45.21	8.45	2.89	3.38	10.31	3.08	3.5	4.43	125.24
ZNF664	1447.15	1447.15	674.59	665.29	642.59	599.49	559.28	688.78	1015.93	0.0	0.74	1350.18	1277.29	1721.16	1769.57	1191.69	1529.73	1397.83	1304.15	567.1	249.73	295.11	567.1	316.37	457.25	351.14	2018.8
ZSCAN2	253.23	253.23	18.97	51.35	31.9	30.12	41.22	78.89	87.65	0.0	0.37	309.83	269.6	327.56	316.37	191.67	281.09	320.8	182.55	66.65	13.12	18.03	55.89	49.21	67.12	14.67	417.77
