	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EA.A50E.01A.21R.A26T.07	TCGA.C5.A1MK.01A.11R.A14Y.07	TCGA.VS.A9UY.01A.11R.A42T.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.FU.A3YQ.01A.11R.A22U.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.LP.A5U3.01A.11R.A28H.07	TCGA.MU.A51Y.01A.11R.A26T.07	TCGA.Q1.A73Q.01A.21R.A32P.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.R55C.0826.SM.48FCL	GTEX.XOTO.2126.SM.4B64U	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.1399R.0826.SM.5IJEL	GTEX.S4Q7.0626.SM.4AD5M	GTEX.S95S.0426.SM.4B64I	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.13FLV.1126.SM.5J2NO	GTEX.146FH.1726.SM.5QGQ2	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.OIZG.1026.SM.3LK5X	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.12ZZX.1326.SM.5DUWI	TCGA.DQ.7596.01A.11R.2232.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.BA.A4IG.01A.11R.A266.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
GTPBP8	205.5	620.67	307.69	363.56	483.38	358.54	264.03	307.69	435.55	297.17	555.41	612.11	460.44	144.01	226.54	211.31	193.01	206.94	226.54	234.57	167.9	182.55	281.09	191.67	198.47	271.48	169.07	201.25	193.01	201.25	218.79	136.19	232.94	144.01	217.27	249.73	161.02	187.71	218.79	156.59	242.88	242.88	244.57	139.07	316.37	226.54	122.64	180.02	191.67	154.42	229.72	400.71	142.01	647.07	473.41	647.07	291.04	277.2	289.02	361.04	555.41	241.19	299.25	480.04	264.03	293.07	371.22
HAT1	1037.29	1733.13	1407.55	1617.0	1037.29	1617.0	1073.91	1936.53	1286.18	1745.2	1883.54	1757.34	1250.98	1059.11	713.11	791.35	743.43	825.0	738.29	954.43	988.12	603.67	842.36	1044.52	1023.0	1208.34	728.11	525.39	543.96	450.94	518.15	412.0	571.05	532.74	620.67	713.11	529.06	551.56	454.09	438.59	624.99	698.41	796.86	525.39	921.88	480.04	368.65	444.72	486.75	211.31	595.34	1745.2	559.28	1551.09	2271.4	2193.99	1001.93	1081.39	802.41	941.27	1605.83	1023.0	775.05	780.44	723.08	813.63	866.07
HAUS1	521.76	753.83	642.59	616.37	1457.23	785.88	884.29	1051.79	753.83	1135.2	981.29	769.69	1369.04	476.71	414.87	532.74	454.09	555.41	466.88	514.56	460.44	397.93	417.77	540.19	371.22	595.34	466.88	309.83	256.78	180.02	392.44	167.9	220.32	144.01	169.07	194.36	291.04	297.17	161.02	199.85	215.77	244.57	267.73	194.36	507.46	228.13	120.94	264.03	177.53	94.01	194.36	1066.48	158.79	808.0	1572.76	1151.06	403.5	423.61	395.18	529.06	1111.82	624.99	264.03	417.77	361.04	518.15	511.0
HENMT1	24.63	409.15	571.05	470.14	521.76	470.14	669.92	438.59	540.19	183.82	381.68	651.58	50.98	327.56	151.22	205.5	193.01	273.37	180.02	320.8	217.27	102.25	212.78	279.14	206.94	237.86	24.28	38.95	27.05	43.02	71.5	63.45	45.21	16.15	44.89	43.02	35.0	64.8	71.5	59.97	45.21	25.54	48.52	16.63	88.88	35.0	20.11	23.93	37.85	53.19	36.27	66.65	10.71	842.36	825.0	595.34	43.63	45.85	68.07	59.97	122.64	8.38	15.0	96.01	41.22	84.04	16.39
HNRNPF	4481.23	4575.41	4010.71	4972.34	5711.87	4869.99	5633.22	5672.41	5366.37	5633.22	4607.24	5006.93	2935.74	3103.19	2777.33	3280.18	3419.52	2645.74	2739.08	2701.35	3820.7	2193.99	3124.78	3257.52	3372.43	3235.01	3589.58	2319.15	2997.45	2485.67	2664.15	2451.44	2400.97	2287.2	2485.67	2701.35	2178.83	2555.58	3124.78	2400.97	2758.13	2591.27	3257.52	2555.58	3395.89	2645.74	1819.35	2417.67	2555.58	1572.76	2895.31	4575.41	2400.97	5872.48	5751.61	5751.61	3928.15	3794.3	3820.7	4543.8	5913.33	4450.27	5517.27	4869.99	3768.09	4543.8	3768.09
KHDRBS1	2682.69	2240.11	2976.74	2047.0	3212.66	1991.0	2148.82	1991.0	2255.7	3146.52	2287.2	1883.54	2303.12	1674.06	1561.89	1844.76	1498.22	1427.22	1709.26	1733.13	2400.97	1369.04	1427.22	1745.2	1991.0	2303.12	1794.29	1295.13	1259.69	934.76	1313.23	1001.93	1208.34	1407.55	1216.75	1697.45	1259.69	1322.37	1208.34	1208.34	1350.18	1268.46	1551.09	1540.37	1605.83	1135.2	825.0	1151.06	1151.06	819.3	1233.75	2271.4	1551.09	2664.15	3303.0	2417.67	2047.0	1832.01	1685.71	1832.01	2075.59	1819.35	1936.53	1832.01	1819.35	1628.26	1745.2
KIAA0101	1127.35	1745.2	2555.58	1313.23	3901.01	1757.34	2739.08	2537.92	1350.18	3212.66	1857.6	2915.45	438.59	234.57	28.86	325.29	660.68	316.37	142.01	95.34	769.69	40.64	146.03	460.44	414.87	703.28	277.2	409.15	361.04	113.56	417.77	373.81	265.87	336.79	297.17	244.57	152.28	303.44	70.01	269.6	457.25	351.14	665.29	368.65	1081.39	460.44	420.68	253.23	173.85	102.97	336.79	2555.58	511.0	1769.57	2720.15	974.5	463.65	587.13	441.64	583.07	1225.22	1250.98	988.12	647.07	532.74	684.02	860.08
KIAA1524	101.54	348.71	287.01	295.11	525.39	490.14	256.78	246.28	229.72	366.09	555.41	346.29	423.61	107.38	68.55	140.04	181.28	158.79	93.35	208.38	228.13	38.67	111.21	94.01	70.01	368.65	38.95	33.78	63.89	34.02	58.71	41.52	51.35	31.22	50.98	39.79	43.94	52.82	16.75	41.52	58.3	88.26	79.45	32.13	164.42	70.01	30.34	50.27	47.84	23.76	63.89	237.86	31.9	392.44	486.75	486.75	95.34	70.51	79.45	89.51	163.28	111.21	53.19	117.6	96.68	59.55	78.89
KIF15	297.17	175.07	256.78	307.69	684.02	115.16	176.29	262.2	151.22	305.55	289.02	353.59	258.57	75.11	36.01	88.26	87.65	162.14	33.54	69.52	205.5	36.27	62.56	95.34	46.18	91.41	36.79	25.72	58.71	35.0	76.71	59.97	41.52	32.82	59.13	63.89	40.07	65.72	19.68	78.34	76.71	67.59	84.63	32.13	157.68	66.18	33.78	40.64	63.45	26.47	51.71	249.73	42.41	403.5	536.45	332.14	124.37	94.01	69.03	154.42	126.12	191.67	59.97	177.53	132.44	66.18	132.44
KIF20B	121.79	285.03	218.79	327.56	429.54	293.07	358.54	237.86	209.84	305.55	234.57	285.03	106.63	241.19	36.53	93.35	242.88	197.09	34.75	127.0	226.54	49.56	41.22	62.12	80.57	162.14	33.54	37.85	93.35	36.27	88.26	60.82	50.63	41.22	68.55	80.57	73.03	63.45	31.9	57.49	74.58	85.22	108.9	25.17	145.02	74.06	29.06	63.0	82.29	29.91	96.68	318.57	50.98	161.02	358.54	127.89	169.07	108.9	145.02	128.79	229.72	237.86	52.45	140.04	186.4	82.87	189.02
KNSTRN	361.04	819.3	743.43	708.18	1268.46	435.55	698.41	638.15	514.56	848.22	409.15	480.04	387.02	293.07	158.79	373.81	503.95	251.48	231.32	251.48	486.75	60.82	212.78	273.37	204.07	559.28	206.94	150.17	194.36	163.28	253.23	198.47	173.85	143.01	123.5	167.9	267.73	195.72	108.9	177.53	287.01	325.29	264.03	107.38	647.07	265.87	111.21	220.32	175.07	105.15	287.01	796.86	255.0	674.59	1277.29	684.02	262.2	190.34	295.11	366.09	267.73	151.22	175.07	368.65	180.02	262.2	199.85
LACTB2	521.76	620.67	343.89	796.86	587.13	457.25	759.08	486.75	346.29	457.25	674.59	591.22	248.0	551.56	332.14	223.41	412.0	540.19	215.77	351.14	299.25	206.94	307.69	215.77	450.94	356.05	217.27	172.65	277.2	218.79	262.2	105.89	156.59	92.05	277.2	181.28	358.54	236.21	148.09	223.41	236.21	281.09	289.02	93.35	341.51	152.28	82.29	173.85	167.9	89.51	204.07	738.29	128.79	412.0	587.13	1023.0	316.37	332.14	249.73	231.32	921.88	575.03	379.04	329.84	279.14	412.0	414.87
LAPTM4B	1950.0	2319.15	872.1	5112.16	2796.65	2004.85	547.75	1561.89	1159.07	2720.15	1447.15	1963.57	1199.98	866.07	1059.11	733.19	748.61	1001.93	928.3	1407.55	2271.4	450.94	1199.98	669.92	854.13	1159.07	748.61	387.02	796.86	336.79	579.04	616.37	441.64	536.45	529.06	423.61	693.58	669.92	679.29	514.56	497.0	1037.29	941.27	595.34	743.43	743.43	212.78	769.69	323.03	181.28	529.06	947.83	1008.9	1498.22	3039.3	2777.33	884.29	642.59	450.94	532.74	1340.84	665.29	2335.28	1044.52	1242.34	785.88	1208.34
LRR1	206.94	525.39	395.18	595.34	587.13	371.22	743.43	941.27	332.14	819.3	967.76	460.44	460.44	358.54	193.01	305.55	435.55	283.05	406.31	241.19	217.27	153.34	289.02	371.22	234.57	403.5	223.41	191.67	106.63	87.65	153.34	76.71	143.01	153.34	97.36	117.6	211.31	112.77	95.34	116.78	170.25	132.44	145.02	102.97	262.2	102.97	110.43	131.51	117.6	54.72	102.25	656.11	102.97	476.71	366.09	490.14	214.27	246.28	208.38	373.81	463.65	231.32	208.38	285.03	226.54	228.13	332.14
LRRC40	119.26	189.02	307.69	239.52	262.2	241.19	267.73	221.86	169.07	297.17	205.5	214.27	143.01	130.6	153.34	173.85	217.27	208.38	148.09	248.0	215.77	139.07	151.22	193.01	153.34	218.79	144.01	115.16	146.03	96.01	95.34	99.43	120.94	117.6	166.73	195.72	92.7	139.07	97.36	98.04	133.36	119.26	144.01	147.06	166.73	76.17	83.45	81.71	108.9	72.52	122.64	336.79	88.88	314.17	353.59	273.37	221.86	234.57	190.34	139.07	316.37	248.0	124.37	162.14	153.34	159.9	155.5
LRRCC1	57.49	289.02	112.77	363.56	341.51	258.57	214.27	249.73	289.02	291.04	220.32	312.0	157.68	127.0	68.07	56.28	103.69	123.5	71.5	208.38	144.01	64.8	79.45	81.71	101.54	152.28	75.64	44.57	102.25	34.02	81.71	50.98	52.45	44.89	88.88	85.22	35.5	98.73	81.71	74.06	74.06	80.57	106.63	75.11	148.09	66.18	65.26	59.55	43.02	34.51	74.58	244.57	88.26	226.54	381.68	339.14	115.97	108.14	120.94	107.38	211.31	162.14	122.64	78.89	69.52	74.06	77.79
MCM2	1697.45	995.0	1757.34	1605.83	2855.44	1806.78	1844.76	1417.35	2133.97	2047.0	3103.19	2609.3	3665.02	177.53	232.94	384.34	244.57	251.48	438.59	493.56	1487.87	164.42	267.73	624.99	154.42	1572.76	323.03	180.02	224.97	81.14	248.0	142.01	172.65	157.68	162.14	172.65	149.12	262.2	111.21	195.72	293.07	309.83	329.84	139.07	629.35	248.0	126.12	232.94	176.29	96.68	220.32	854.13	144.01	2032.85	4671.57	2645.74	447.82	341.51	318.57	521.76	748.61	1447.15	249.73	429.54	555.41	693.58	312.0
MCM3	2119.22	1923.14	1757.34	2319.15	4419.52	2400.97	1963.57	2335.28	2520.38	3716.2	2627.46	2758.13	2573.36	1605.83	1159.07	1127.35	954.43	974.5	1572.76	1199.98	2018.8	981.29	1447.15	1313.23	1143.1	1594.73	813.63	679.29	660.68	301.33	753.83	435.55	543.96	429.54	457.25	497.0	587.13	819.3	412.0	500.46	934.76	808.0	974.5	406.31	1628.26	775.05	432.53	688.78	463.65	260.38	620.67	2573.36	414.87	2468.49	3614.55	2287.2	988.12	872.1	802.41	1233.75	1059.11	2004.85	718.08	1059.11	738.29	1066.48	660.68
MCM6	947.83	934.76	1088.92	1340.84	1709.26	967.76	629.35	1674.06	1295.13	1359.57	1322.37	1359.57	896.64	612.11	329.84	447.82	551.56	325.29	363.56	435.55	890.44	269.6	325.29	483.38	412.0	813.63	368.65	177.53	189.02	69.52	223.41	154.42	214.27	177.53	151.22	242.88	239.52	255.0	124.37	155.5	348.71	239.52	346.29	115.97	532.74	241.19	102.97	209.84	194.36	108.9	264.03	1066.48	201.25	1467.37	1883.54	1407.55	450.94	341.51	309.83	511.0	591.22	603.67	409.15	271.48	295.11	291.04	206.94
MED6	532.74	836.53	723.08	995.0	813.63	785.88	896.64	1313.23	780.44	718.08	878.17	995.0	854.13	679.29	579.04	624.99	1051.79	748.61	808.0	842.36	540.19	633.73	595.34	830.75	616.37	703.28	559.28	555.41	454.09	476.71	616.37	414.87	518.15	591.22	521.76	612.11	647.07	620.67	497.0	529.06	483.38	559.28	473.41	547.75	759.08	414.87	323.03	476.71	529.06	392.44	511.0	764.36	466.88	825.0	603.67	981.29	733.19	674.59	624.99	738.29	1167.14	718.08	497.0	713.11	703.28	693.58	842.36
MIS18A	429.54	511.0	896.64	591.22	1015.93	733.19	825.0	743.43	454.09	507.46	718.08	616.37	316.37	223.41	140.04	279.14	426.57	157.68	156.59	255.0	224.97	147.06	358.54	358.54	133.36	269.6	139.07	115.16	135.24	73.03	169.07	139.07	124.37	127.89	112.77	130.6	109.66	159.9	83.45	94.67	171.45	156.59	176.29	108.9	325.29	164.42	125.24	121.79	102.25	94.67	190.34	493.56	121.79	518.15	785.88	493.56	187.71	229.72	158.79	287.01	312.0	287.01	150.17	212.78	155.5	115.16	234.57
MKI67	339.14	728.11	547.75	884.29	902.89	638.15	1268.46	503.95	656.11	954.43	1191.69	860.08	432.53	150.17	43.02	120.94	307.69	343.89	215.77	110.43	470.14	29.27	69.52	31.67	61.68	371.22	262.2	258.57	281.09	81.71	264.03	183.82	186.4	114.36	156.59	158.79	141.02	237.86	60.39	249.73	303.44	269.6	353.59	131.51	642.59	277.2	121.79	206.94	169.07	92.05	361.04	941.27	162.14	759.08	954.43	591.22	395.18	204.07	493.56	529.06	521.76	813.63	329.84	493.56	532.74	339.14	486.75
MLF1IP	1594.73	1199.98	1651.0	1073.91	2609.3	842.36	1457.23	1498.22	1359.57	2209.26	1233.75	1447.15	1073.91	397.93	397.93	285.03	718.08	532.74	149.12	450.94	1561.89	669.92	607.87	616.37	116.78	669.92	457.25	1225.22	432.53	223.41	206.94	327.56	248.0	237.86	559.28	329.84	305.55	403.5	277.2	224.97	262.2	414.87	429.54	214.27	583.07	366.09	392.44	291.04	343.89	248.0	248.0	1096.5	329.84	1304.15	2047.0	738.29	232.94	441.64	514.56	507.46	587.13	860.08	291.04	518.15	660.68	836.53	1268.46
MLH1	129.69	325.29	403.5	483.38	713.11	420.68	392.44	571.05	660.68	412.0	397.93	490.14	379.04	318.57	379.04	356.05	251.48	409.15	312.0	381.68	289.02	285.03	295.11	305.55	368.65	320.8	348.71	336.79	291.04	202.66	244.57	185.11	281.09	303.44	232.94	260.38	327.56	334.46	285.03	260.38	281.09	368.65	346.29	262.2	555.41	314.17	194.36	277.2	277.2	239.52	273.37	688.78	152.28	753.83	708.18	616.37	361.04	387.02	339.14	460.44	603.67	403.5	409.15	466.88	353.59	480.04	256.78
MMS22L	111.21	130.6	159.9	182.55	206.94	139.07	96.01	157.68	183.82	267.73	195.72	177.53	167.9	114.36	72.01	99.43	81.14	119.26	70.51	139.07	122.64	32.59	42.41	58.3	49.21	111.21	40.36	29.27	62.12	38.67	45.85	35.0	51.71	38.4	68.07	62.12	69.03	51.71	43.63	47.84	50.98	80.57	90.14	49.56	104.42	66.65	39.5	55.1	57.89	32.82	42.41	177.53	92.05	228.13	301.33	256.78	93.35	84.04	112.77	63.89	63.89	173.85	23.59	77.25	48.52	63.89	60.82
MRPL13	1191.69	2178.83	1651.0	2090.03	1628.26	1651.0	1242.34	1781.89	954.43	2004.85	2018.8	1857.6	947.83	1167.14	934.76	1104.13	1498.22	921.88	1096.5	1233.75	1175.27	842.36	1104.13	1583.71	1001.93	1259.69	941.27	753.83	802.41	830.75	738.29	703.28	796.86	647.07	928.3	866.07	872.1	813.63	679.29	909.17	866.07	1066.48	1001.93	540.19	1369.04	780.44	638.15	769.69	1023.0	733.19	1066.48	1685.71	947.83	1295.13	1685.71	3103.19	902.89	1081.39	981.29	1015.93	3372.43	1407.55	1709.26	1119.56	1135.2	1167.14	1519.15
MRPL51	3901.01	7032.37	3515.68	3847.29	6426.31	3928.15	5366.37	5041.77	3372.43	5555.65	5479.15	4388.98	5292.48	3639.7	3768.09	4181.07	5041.77	3146.52	4607.24	4010.71	5831.91	3564.78	3847.29	5711.87	3349.13	5147.73	3060.45	3212.66	2609.3	2255.7	2956.17	2627.46	3235.01	2319.15	2627.46	2451.44	2915.45	3018.3	2133.97	3124.78	3303.0	2287.2	3614.55	1295.13	4388.98	2956.17	2935.74	2875.3	3349.13	2384.37	2895.31	4869.99	2537.92	4512.4	6607.01	6037.61	2720.15	3146.52	3190.46	4769.75	8598.28	5147.73	3235.01	3443.31	4210.15	4671.57	6037.61
MSH2	587.13	435.55	518.15	392.44	860.08	420.68	536.45	603.67	366.09	802.41	718.08	521.76	444.72	327.56	193.01	139.07	181.28	212.78	117.6	234.57	507.46	178.77	172.65	271.48	151.22	316.37	124.37	125.24	224.97	189.02	220.32	183.82	187.71	92.05	180.02	303.44	130.6	224.97	205.5	182.55	260.38	236.21	301.33	127.89	312.0	181.28	122.64	183.82	162.14	67.59	223.41	583.07	97.36	607.87	934.76	718.08	387.02	318.57	283.05	327.56	293.07	373.81	109.66	351.14	215.77	287.01	135.24
MTBP	57.08	127.89	130.6	346.29	269.6	229.72	122.64	157.68	82.29	312.0	228.13	204.07	117.6	69.03	61.68	45.85	85.82	130.6	41.81	101.54	167.9	41.22	56.28	72.52	34.75	137.14	32.13	20.11	34.75	15.11	42.71	25.91	15.8	15.68	41.52	28.24	27.44	34.26	31.22	40.07	38.95	43.63	47.84	14.89	87.65	19.11	22.43	20.56	17.13	17.51	25.72	138.1	19.97	125.24	231.32	223.41	51.71	37.32	55.49	47.84	61.25	66.65	12.09	48.18	23.59	25.35	12.93
NCAPG2	547.75	624.99	616.37	567.1	1096.5	603.67	866.07	698.41	400.71	748.61	1369.04	988.12	808.0	251.48	149.12	279.14	470.14	295.11	176.29	323.03	387.02	148.09	217.27	301.33	167.9	638.15	158.79	103.69	170.25	80.01	190.34	96.68	136.19	134.3	142.01	157.68	104.42	123.5	72.01	132.44	171.45	158.79	211.31	149.12	309.83	172.65	110.43	137.14	112.77	49.56	157.68	878.17	169.07	616.37	511.0	403.5	237.86	253.23	224.97	291.04	271.48	441.64	180.02	187.71	170.25	226.54	221.86
NDC1	312.0	476.71	426.57	470.14	503.95	417.77	387.02	486.75	409.15	432.53	497.0	438.59	275.28	201.25	198.47	346.29	287.01	289.02	217.27	312.0	314.17	126.12	194.36	229.72	169.07	371.22	191.67	157.68	193.01	108.14	209.84	141.02	153.34	166.73	180.02	150.17	173.85	145.02	113.56	134.3	195.72	181.28	197.09	135.24	305.55	206.94	115.16	136.19	143.01	109.66	164.42	651.58	193.01	571.05	559.28	490.14	267.73	264.03	217.27	295.11	457.25	299.25	336.79	256.78	226.54	267.73	334.46
NDC80	145.02	551.56	476.71	571.05	967.76	371.22	669.92	674.59	466.88	791.35	595.34	624.99	1963.57	332.14	59.97	172.65	131.51	256.78	131.51	80.01	251.48	37.32	182.55	301.33	46.5	353.59	78.34	63.0	96.01	44.25	103.69	69.03	55.1	53.95	74.58	72.01	47.84	98.73	43.63	105.89	97.36	105.89	154.42	39.5	305.55	84.63	57.08	93.35	55.1	43.02	123.5	543.96	54.33	511.0	915.51	743.43	135.24	136.19	150.17	264.03	314.17	307.69	97.36	251.48	301.33	151.22	287.01
NDUFAF6	242.88	579.04	341.51	638.15	518.15	295.11	293.07	395.18	332.14	703.28	647.07	642.59	341.51	297.17	358.54	244.57	366.09	389.72	329.84	384.34	463.65	253.23	432.53	325.29	253.23	346.29	299.25	204.07	190.34	206.94	194.36	218.79	260.38	185.11	224.97	211.31	215.77	277.2	199.85	211.31	239.52	181.28	236.21	155.5	327.56	193.01	178.77	224.97	299.25	175.07	267.73	463.65	125.24	351.14	703.28	684.02	273.37	234.57	237.86	271.48	267.73	208.38	155.5	316.37	231.32	223.41	320.8
NEDD1	241.19	197.09	251.48	366.09	543.96	327.56	435.55	406.31	376.41	503.95	320.8	285.03	275.28	187.71	218.79	241.19	224.97	251.48	178.77	320.8	297.17	180.02	170.25	249.73	204.07	400.71	133.36	163.28	152.28	82.87	129.69	99.43	116.78	103.69	111.21	106.63	121.79	115.97	71.5	108.9	111.99	148.09	137.14	138.1	182.55	100.83	96.01	84.04	82.87	49.21	130.6	417.77	185.11	368.65	420.68	327.56	193.01	214.27	208.38	159.9	279.14	198.47	279.14	189.02	112.77	147.06	145.02
NRM	854.13	866.07	647.07	2032.85	1819.35	1081.39	1268.46	813.63	1143.1	1628.26	1794.29	974.5	1844.76	1073.91	836.53	819.3	808.0	656.11	1378.57	1250.98	1135.2	674.59	698.41	1135.2	703.28	1583.71	486.75	438.59	297.17	169.07	403.5	299.25	180.02	325.29	154.42	172.65	134.3	327.56	167.9	466.88	226.54	228.13	366.09	389.72	679.29	417.77	262.2	273.37	348.71	118.43	255.0	884.29	248.0	555.41	1135.2	981.29	368.65	332.14	332.14	486.75	507.46	708.18	575.03	483.38	669.92	412.0	507.46
NSL1	211.31	366.09	656.11	638.15	733.19	457.25	748.61	733.19	587.13	961.07	819.3	536.45	476.71	376.41	206.94	291.04	242.88	316.37	173.85	279.14	420.68	193.01	256.78	384.34	237.86	303.44	176.29	172.65	231.32	127.0	152.28	205.5	150.17	90.14	194.36	152.28	130.6	217.27	155.5	130.6	149.12	204.07	258.57	103.69	295.11	164.42	153.34	194.36	141.02	82.87	172.65	346.29	77.79	842.36	1044.52	579.04	318.57	329.84	277.2	258.57	660.68	220.32	248.0	400.71	183.82	239.52	199.85
PCNA	6337.83	5913.33	5219.6	8778.97	11909.94	6426.31	6887.62	10585.95	5913.33	8598.28	9474.59	9151.82	5292.48	3794.3	1936.53	2520.38	3103.19	2915.45	4607.24	2591.27	4095.0	1745.2	2047.0	3235.01	1639.59	5517.27	2032.85	1857.6	1427.22	808.0	1662.49	995.0	1250.98	1104.13	1175.27	1388.16	1073.91	1498.22	848.22	1127.35	1909.85	1963.57	2209.26	1030.12	3103.19	1487.87	1143.1	1359.57	1304.15	583.07	1540.37	5995.9	1183.45	6652.97	10225.32	7130.55	2816.11	2664.15	1977.24	2956.17	4972.34	5441.3	2935.74	2758.13	2119.22	3235.01	2627.46
PHF19	253.23	1143.1	1030.12	2032.85	1551.09	1457.23	1697.45	1519.15	1127.35	1467.37	1044.52	1277.29	1639.59	1487.87	1051.79	1199.98	928.3	934.76	1322.37	1081.39	1199.98	796.86	981.29	1059.11	890.44	1388.16	769.69	830.75	371.22	249.73	414.87	279.14	429.54	540.19	289.02	269.6	323.03	497.0	379.04	435.55	387.02	341.51	379.04	599.49	842.36	651.58	483.38	409.15	406.31	323.03	295.11	1008.9	454.09	738.29	902.89	941.27	454.09	423.61	460.44	587.13	890.44	1051.79	579.04	607.87	536.45	497.0	718.08
PHF5A	872.1	1417.35	1001.93	1331.57	1662.49	1127.35	1183.45	1259.69	1268.46	1685.71	1806.78	1191.69	1081.39	825.0	669.92	947.83	1051.79	854.13	785.88	941.27	961.07	660.68	1088.92	1143.1	860.08	1096.5	713.11	521.76	435.55	441.64	748.61	417.77	571.05	620.67	420.68	555.41	642.59	808.0	483.38	567.1	595.34	563.18	656.11	497.0	825.0	507.46	454.09	483.38	540.19	435.55	591.22	1059.11	656.11	1199.98	1388.16	1417.35	785.88	866.07	738.29	915.51	2609.3	1135.2	743.43	1001.93	825.0	890.44	981.29
POC1A	406.31	172.65	295.11	327.56	603.67	194.36	223.41	435.55	320.8	161.02	336.79	320.8	368.65	116.78	66.18	253.23	279.14	128.79	221.86	81.14	126.12	61.68	166.73	209.84	155.5	277.2	91.41	86.43	85.22	44.25	112.77	61.25	73.03	71.5	56.28	47.84	61.68	78.34	31.0	88.88	73.03	102.97	115.97	55.89	251.48	140.04	47.84	89.51	68.55	80.01	70.51	281.09	56.68	356.05	486.75	420.68	105.15	100.83	92.05	197.09	217.27	232.94	173.85	161.02	171.45	124.37	178.77
POLE3	1073.91	1923.14	1508.65	1769.57	2047.0	2573.36	1757.34	2104.58	1757.34	2209.26	1883.54	1923.14	2090.03	1340.84	1081.39	1583.71	1350.18	1322.37	1096.5	1529.73	1250.98	1151.06	1378.57	1322.37	1066.48	1628.26	1277.29	941.27	819.3	759.08	813.63	616.37	1015.93	764.36	961.07	1037.29	808.0	872.1	764.36	830.75	866.07	872.1	988.12	684.02	1350.18	785.88	444.72	723.08	878.17	412.0	902.89	2255.7	599.49	2133.97	2119.22	2119.22	1159.07	1295.13	1044.52	1508.65	3146.52	1674.06	1331.57	1286.18	1359.57	1008.9	1733.13
POLR2D	406.31	536.45	463.65	507.46	518.15	376.41	312.0	532.74	392.44	629.35	647.07	420.68	379.04	346.29	297.17	358.54	371.22	224.97	239.52	295.11	406.31	237.86	329.84	444.72	318.57	314.17	348.71	232.94	221.86	217.27	156.59	206.94	336.79	293.07	256.78	343.89	237.86	295.11	208.38	251.48	269.6	234.57	271.48	146.03	363.56	218.79	221.86	271.48	224.97	198.47	265.87	432.53	176.29	466.88	669.92	587.13	356.05	400.71	316.37	361.04	525.39	341.51	713.11	277.2	265.87	279.14	316.37
POLR2K	660.68	2434.5	1498.22	2855.44	2777.33	2075.59	1487.87	1883.54	1467.37	2855.44	2133.97	2895.31	1242.34	1175.27	1225.22	1119.56	1427.22	1529.73	1143.1	1870.53	1685.71	995.0	1561.89	4328.55	1175.27	1639.59	974.5	866.07	665.29	575.03	713.11	497.0	759.08	743.43	780.44	813.63	802.41	928.3	665.29	743.43	854.13	830.75	896.64	791.35	1044.52	551.56	651.58	595.34	633.73	543.96	743.43	1286.18	1037.29	1651.0	2895.31	2758.13	1059.11	1001.93	934.76	1008.9	2148.82	764.36	656.11	836.53	738.29	769.69	961.07
