	TCGA.LP.A5U2.01A.11R.A28H.07	GTEX.RU72.0726.SM.46MUW	GTEX.146FQ.1026.SM.5LU8I	GTEX.TMMY.1126.SM.4DXSX	GTEX.YFC4.1226.SM.5LU9R	GTEX.WQUQ.1626.SM.4OOSH	GTEX.Y111.1626.SM.57WCY	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZF3C.1626.SM.4WWB4	GTEX.TSE9.1226.SM.4DXTM	GTEX.13X6K.2126.SM.5O9D4	GTEX.ZYT6.1126.SM.5GZYR	GTEX.133LE.0626.SM.5IFFJ	TCGA.BA.A4IG.01A.11R.A266.07	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH
POC1A	260.38	267.73	204.07	226.54	158.79	116.78	211.31	148.09	98.73	147.06	128.79	124.37	281.09	420.68	31.0	95.34	31.22	61.68	16.88	32.13	56.28	50.63	49.21	64.8	52.08	44.57
POLA1	232.94	279.14	234.57	258.57	129.69	137.14	170.25	108.14	96.68	132.44	189.02	125.24	343.89	205.5	47.5	26.86	33.3	23.25	19.39	21.16	35.25	15.22	26.47	34.02	25.54	18.43
POLD3	457.25	403.5	376.41	412.0	182.55	241.19	287.01	214.27	212.78	246.28	291.04	287.01	529.06	493.56	61.68	58.71	45.21	73.03	34.02	36.27	72.52	70.01	131.51	95.34	78.89	50.63
POLE3	2240.11	1498.22	1617.0	1832.01	1159.07	1104.13	1457.23	603.67	616.37	967.76	1066.48	854.13	2255.7	2119.22	305.55	536.45	500.46	444.72	417.77	460.44	463.65	384.34	698.41	379.04	329.84	476.71
POLQ	108.9	156.59	112.77	140.04	66.65	88.88	113.56	66.65	54.72	47.84	103.69	87.03	147.06	129.69	0.79	9.27	0.01	0.39	0.37	0.06	0.42	0.0	1.46	7.46	0.93	0.41
POLR1B	483.38	361.04	318.57	521.76	351.14	164.42	262.2	204.07	112.77	198.47	275.28	177.53	366.09	414.87	140.04	137.14	152.28	124.37	116.78	182.55	163.28	109.66	152.28	147.06	146.03	191.67
POP5	1819.35	1457.23	1183.45	941.27	1037.29	1216.75	1674.06	1088.92	808.0	1127.35	974.5	1059.11	1104.13	2004.85	1167.14	988.12	954.43	1104.13	684.02	1051.79	1023.0	1111.82	1051.79	1081.39	1242.34	1143.1
PPIH	3280.18	1617.0	1378.57	1487.87	1242.34	1037.29	1721.16	981.29	909.17	1388.16	1467.37	1242.34	1909.85	1628.26	269.6	521.76	218.79	159.9	332.14	277.2	463.65	363.56	547.75	447.82	249.73	185.11
PRKDC	3443.31	3039.3	2417.67	3257.52	1388.16	1529.73	1745.2	1250.98	1059.11	1883.54	1733.13	1551.09	3847.29	4450.27	255.0	599.49	438.59	295.11	490.14	332.14	559.28	466.88	607.87	265.87	287.01	353.59
RAD51	633.73	316.37	229.72	264.03	209.84	189.02	214.27	118.43	113.56	146.03	197.09	190.34	403.5	318.57	10.55	16.15	4.82	22.59	17.0	13.52	17.51	34.75	18.56	25.35	8.71	8.85
RAD51AP1	629.35	255.0	237.86	297.17	149.12	138.1	248.0	121.79	112.77	134.3	169.07	173.85	376.41	703.28	4.03	22.43	5.41	16.27	13.72	4.74	15.0	16.39	20.26	16.75	8.51	9.56
RBBP8	1208.34	848.22	1037.29	988.12	819.3	698.41	1073.91	567.1	429.54	733.19	651.58	733.19	1216.75	2720.15	63.0	129.69	126.12	158.79	167.9	166.73	87.03	99.43	108.9	241.19	115.97	195.72
RFC4	1977.24	1135.2	743.43	941.27	450.94	575.03	1037.29	607.87	220.32	583.07	563.18	698.41	1051.79	2367.9	71.0	241.19	83.45	71.0	66.65	88.26	89.51	111.99	129.69	283.05	102.25	149.12
RFC5	896.64	591.22	540.19	902.89	253.23	397.93	500.46	256.78	228.13	389.72	363.56	395.18	947.83	1304.15	139.07	226.54	142.01	237.86	101.54	104.42	190.34	176.29	246.28	323.03	320.8	212.78
RNASEH2A	3124.78	954.43	796.86	813.63	688.78	559.28	713.11	497.0	332.14	633.73	603.67	595.34	1059.11	1991.0	111.21	348.71	91.41	146.03	189.02	153.34	183.82	206.94	173.85	197.09	149.12	102.25
RPA3	1127.35	1477.58	764.36	1268.46	555.41	579.04	708.18	603.67	348.71	884.29	728.11	921.88	2104.58	1286.18	473.41	1066.48	454.09	620.67	995.0	395.18	836.53	507.46	1066.48	1030.12	813.63	896.64
RRM1	1769.57	1572.76	1685.71	1844.76	878.17	890.44	1159.07	647.07	551.56	1051.79	1030.12	902.89	2701.35	1857.6	164.42	435.55	417.77	253.23	336.79	221.86	275.28	191.67	273.37	211.31	181.28	223.41
RRM2	1175.27	2468.49	2224.63	2485.67	1340.84	1304.15	1037.29	915.51	718.08	1540.37	1529.73	974.5	3901.01	2303.12	14.24	72.01	12.18	10.08	28.86	14.35	2.66	10.47	11.38	34.02	24.11	19.53
SASS6	193.01	163.28	146.03	129.69	96.01	76.17	134.3	73.03	63.0	63.0	85.22	87.03	190.34	130.6	14.24	9.41	20.71	16.39	5.73	8.85	11.04	10.96	29.7	27.64	25.91	9.48
SKA1	209.84	193.01	145.02	172.65	83.45	87.65	126.12	70.51	63.89	70.01	94.01	81.71	217.27	211.31	3.11	8.85	0.0	0.0	0.0	0.0	1.51	0.44	0.41	1.85	2.27	0.0
SKA2	1066.48	1350.18	1498.22	1216.75	1015.93	974.5	1073.91	688.78	490.14	1037.29	785.88	1225.22	1350.18	1216.75	147.06	438.59	289.02	218.79	400.71	194.36	301.33	186.4	583.07	417.77	318.57	314.17
SKA3	309.83	273.37	190.34	244.57	102.25	111.99	165.57	93.35	58.71	135.24	114.36	120.1	351.14	141.02	2.41	3.29	0.0	0.79	9.34	7.82	4.58	1.91	9.93	3.69	8.32	3.96
SKP2	457.25	500.46	423.61	575.03	373.81	299.25	435.55	242.88	258.57	231.32	346.29	249.73	547.75	698.41	202.66	214.27	202.66	191.67	159.9	170.25	211.31	120.94	161.02	212.78	236.21	273.37
SMC2	305.55	403.5	409.15	400.71	215.77	176.29	307.69	110.43	130.6	164.42	251.48	193.01	529.06	529.06	13.42	39.5	17.77	65.72	24.63	18.43	25.54	31.22	54.33	27.25	30.56	38.12
SPC24	397.93	316.37	148.09	194.36	113.56	152.28	218.79	134.3	69.52	151.22	140.04	166.73	318.57	275.28	26.28	13.52	12.45	5.68	10.79	27.05	6.89	10.71	10.96	18.84	23.25	21.78
SPC25	454.09	332.14	262.2	267.73	151.22	150.17	199.85	128.79	68.07	128.79	154.42	194.36	429.54	334.46	0.0	8.19	5.19	4.7	7.34	2.05	3.96	10.31	9.41	9.13	11.21	1.99
SSB	5913.33	1819.35	2075.59	1857.6	1388.16	1417.35	2351.53	1225.22	1119.56	1674.06	1529.73	1651.0	2133.97	2573.36	638.15	674.59	825.0	540.19	503.95	915.51	802.41	603.67	1304.15	1051.79	769.69	941.27
STARD7	1832.01	1617.0	1857.6	1819.35	988.12	1119.56	1639.59	1023.0	921.88	1088.92	988.12	1111.82	1662.49	1685.71	743.43	1151.06	1540.37	842.36	1008.9	974.5	848.22	808.0	1023.0	802.41	902.89	981.29
STT3A	2319.15	1674.06	2351.53	2664.15	1508.65	1331.57	1407.55	1135.2	1304.15	1208.34	1427.22	1059.11	2032.85	1417.35	884.29	1628.26	1191.69	896.64	1369.04	961.07	1350.18	1519.15	1286.18	860.08	1183.45	928.3
SUB1	6037.61	5872.48	5219.6	6935.54	5366.37	4388.98	5006.93	3820.7	3716.2	4836.35	5041.77	5006.93	7911.95	7032.37	1709.26	3742.05	2627.46	1991.0	4239.45	2417.67	2645.74	3540.14	5711.87	2758.13	2664.15	3491.39
SUV39H1	258.57	305.55	214.27	318.57	94.01	171.45	318.57	139.07	77.25	176.29	114.36	195.72	312.0	242.88	127.0	93.35	96.68	208.38	136.19	127.89	117.6	64.8	90.14	112.77	208.38	123.5
TFAP4	1088.92	414.87	353.59	351.14	314.17	223.41	473.41	309.83	242.88	295.11	273.37	323.03	379.04	406.31	175.07	74.58	122.64	124.37	86.43	52.82	115.97	125.24	118.43	140.04	159.9	124.37
TIPRL	941.27	665.29	665.29	769.69	620.67	587.13	435.55	514.56	486.75	607.87	624.99	529.06	866.07	759.08	208.38	363.56	275.28	206.94	387.02	265.87	305.55	260.38	343.89	297.17	273.37	242.88
TK1	2047.0	1936.53	1066.48	1331.57	1066.48	934.76	1001.93	764.36	532.74	902.89	563.18	769.69	1896.65	2976.74	106.63	171.45	59.97	90.14	98.04	72.52	65.26	68.07	100.83	120.1	120.1	114.36
TMEM126A	902.89	1135.2	1008.9	1096.5	848.22	808.0	961.07	660.68	684.02	825.0	860.08	813.63	1167.14	583.07	518.15	988.12	753.83	607.87	941.27	647.07	802.41	660.68	759.08	748.61	412.0	633.73
TMPO	2018.8	1883.54	1757.34	1594.73	1044.52	848.22	1407.55	928.3	961.07	921.88	1023.0	1066.48	2287.2	1923.14	323.03	878.17	830.75	466.88	329.84	256.78	698.41	514.56	392.44	473.41	775.05	316.37
TOP3A	507.46	476.71	400.71	483.38	371.22	312.0	514.56	403.5	346.29	361.04	423.61	395.18	529.06	403.5	166.73	297.17	327.56	307.69	118.43	185.11	142.01	125.24	178.77	291.04	195.72	241.19
TP53	1628.26	1909.85	1551.09	1111.82	1096.5	1059.11	1191.69	928.3	651.58	679.29	1167.14	698.41	1519.15	2061.24	309.83	480.04	204.07	435.55	212.78	241.19	563.18	223.41	432.53	206.94	395.18	228.13
TRAIP	371.22	249.73	185.11	202.66	133.36	145.02	209.84	140.04	108.9	147.06	124.37	156.59	260.38	221.86	12.74	19.97	11.64	23.76	8.99	15.56	18.7	15.8	13.72	20.86	18.56	11.64
TRIP13	642.59	358.54	320.8	450.94	189.02	151.22	373.81	145.02	112.77	189.02	185.11	177.53	429.54	514.56	3.17	3.32	3.47	2.32	2.56	8.45	3.63	10.39	4.86	6.94	11.64	6.78
TYMS	3190.46	1781.89	1286.18	1529.73	988.12	902.89	1378.57	902.89	536.45	1001.93	890.44	995.0	2178.83	2004.85	90.14	234.57	93.35	226.54	63.45	128.79	75.11	253.23	486.75	208.38	187.71	150.17
UBE2S	9025.81	2627.46	1674.06	2367.9	1721.16	1697.45	1844.76	1540.37	759.08	1437.15	1135.2	1617.0	2163.77	3690.52	80.57	183.82	157.68	212.78	896.64	135.24	159.9	201.25	237.86	169.07	113.56	157.68
UBE2T	1923.14	679.29	532.74	616.37	450.94	441.64	612.11	356.05	231.32	450.94	397.93	389.72	780.44	1242.34	16.75	21.47	5.54	0.0	23.93	6.36	18.7	16.51	20.11	30.78	17.64	25.91
UGT8	193.01	181.28	102.97	137.14	97.36	106.63	170.25	57.49	70.51	94.67	140.04	99.43	162.14	25.72	6.73	1.07	3.66	4.24	1.04	0.0	0.0	0.17	1.08	0.09	11.73	0.0
WDR34	2777.33	1923.14	1378.57	1447.15	1322.37	1340.84	1733.13	1340.84	860.08	1551.09	1127.35	1519.15	1561.89	1639.59	830.75	555.41	397.93	1437.15	575.03	698.41	1233.75	981.29	579.04	511.0	1183.45	1216.75
WDR76	543.96	361.04	256.78	293.07	114.36	162.14	215.77	115.16	75.11	180.02	201.25	166.73	392.44	470.14	5.45	27.64	1.71	6.84	10.08	9.7	27.64	15.8	19.25	21.78	11.21	7.06
WRAP53	384.34	271.48	204.07	341.51	195.72	173.85	285.03	172.65	97.36	194.36	133.36	189.02	246.28	392.44	84.63	84.04	73.03	279.14	121.79	153.34	87.03	156.59	95.34	197.09	97.36	104.42
XRCC2	83.45	99.43	64.34	86.43	22.59	47.84	85.82	38.67	31.0	46.18	42.41	60.82	102.25	49.91	4.43	2.29	0.0	3.79	0.25	0.75	0.32	1.14	4.17	4.94	1.33	2.01
ZC3H15	2537.92	1369.04	1467.37	1304.15	974.5	995.0	1225.22	738.29	796.86	1081.39	1066.48	988.12	1467.37	1477.58	529.06	642.59	543.96	529.06	651.58	490.14	555.41	591.22	878.17	738.29	679.29	693.58
ZNF367	209.84	224.97	167.9	101.54	132.44	102.97	156.59	71.0	65.72	80.01	101.54	117.6	209.84	237.86	45.85	129.69	47.84	49.21	51.71	70.51	49.91	40.93	101.54	127.89	80.57	107.38
ZNF670	114.36	62.56	45.53	63.0	40.07	32.36	65.26	27.05	23.93	46.18	58.3	31.9	61.68	69.03	13.32	7.46	33.06	18.29	34.51	16.27	14.35	14.89	22.59	59.97	24.81	46.84
ZWILCH	420.68	400.71	327.56	435.55	221.86	197.09	341.51	139.07	156.59	256.78	214.27	217.27	540.19	279.14	32.82	43.94	68.55	40.36	66.18	47.5	37.85	21.47	54.33	43.94	38.4	38.12
ZWINT	1457.23	1498.22	836.53	1233.75	791.35	718.08	921.88	624.99	363.56	733.19	674.59	866.07	1605.83	947.83	45.21	108.14	31.45	44.57	47.17	34.75	47.17	35.76	76.17	74.06	67.12	57.08
