	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.14753.1626.SM.5NQ9L	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.PWN1.2626.SM.2I3FH	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.TKQ1.0126.SM.33HB3	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y114.0626.SM.4TT98	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
LEMD3	92.05	82.87	77.79	63.89	87.03	105.15	60.39	193.01	460.44	150.17	251.48	159.9	281.09	195.72	297.17	191.67	323.03	307.69	217.27	318.57	246.28	244.57	204.07	283.05	279.14	229.72	435.55	307.69	281.09	336.79	279.14	303.44	202.66	289.02	373.81	387.02	334.46	323.03	199.85	167.9	224.97	202.66	197.09	264.03	191.67	318.57	327.56	162.14	255.0	215.77	191.67	334.46	239.52	305.55	262.2	277.2	223.41	283.05	384.34	325.29	229.72	279.14	232.94	341.51	432.53	400.71	297.17	187.71	205.5	165.57	205.5	201.25	289.02	194.36
LRRC41	591.22	450.94	476.71	595.34	454.09	381.68	450.94	842.36	1191.69	941.27	1073.91	1001.93	1167.14	995.0	1286.18	934.76	1191.69	1233.75	1167.14	988.12	974.5	1477.58	1001.93	1159.07	1081.39	836.53	1199.98	1096.5	1250.98	1015.93	1259.69	1508.65	866.07	1208.34	1359.57	1225.22	1175.27	1331.57	988.12	915.51	860.08	947.83	909.17	1044.52	1175.27	1191.69	1199.98	928.3	1127.35	974.5	878.17	1378.57	854.13	1225.22	1250.98	974.5	1104.13	1151.06	1313.23	1225.22	1233.75	1143.1	1331.57	1250.98	1208.34	1457.23	1259.69	1073.91	954.43	842.36	1015.93	1104.13	1242.34	954.43
MARK1	3.23	4.1	1.79	1.23	2.97	7.88	4.28	127.0	224.97	57.49	92.7	89.51	190.34	66.18	107.38	34.75	125.24	148.09	80.01	138.1	73.54	55.49	86.43	217.27	103.69	110.43	248.0	150.17	91.41	170.25	198.47	86.43	79.45	118.43	212.78	173.85	127.0	134.3	90.77	71.0	52.82	107.38	86.43	115.97	80.57	158.79	157.68	98.73	70.51	78.34	63.45	148.09	76.71	183.82	120.94	83.45	127.0	325.29	166.73	170.25	115.97	98.73	55.49	97.36	242.88	68.07	150.17	113.56	109.66	72.52	81.71	76.71	102.97	59.13
MARS	890.44	674.59	909.17	769.69	629.35	915.51	647.07	1051.79	1832.01	1407.55	1159.07	1457.23	1350.18	1225.22	3124.78	1369.04	2018.8	1583.71	1572.76	1870.53	1037.29	2061.24	2520.38	2303.12	1437.15	1268.46	2163.77	1417.35	3039.3	1733.13	1697.45	1757.34	1242.34	1286.18	1963.57	3928.15	1896.65	2682.69	1397.83	1127.35	1331.57	1104.13	1127.35	1427.22	1407.55	3349.13	1857.6	928.3	1268.46	1639.59	1088.92	2520.38	1233.75	3639.7	1781.89	2287.2	3515.68	1733.13	1745.2	1583.71	1685.71	1583.71	1447.15	2739.08	2303.12	2739.08	1709.26	1540.37	1457.23	1388.16	1437.15	1304.15	1551.09	1135.2
MAT2A	2502.97	934.76	1551.09	780.44	1208.34	2520.38	182.55	3039.3	11992.79	3190.46	3742.05	5112.16	7857.29	3491.39	10014.87	2287.2	8363.13	6652.97	5366.37	8901.53	3235.01	7537.18	5831.91	10225.32	6337.83	4836.35	12076.21	10733.74	10154.69	7331.05	8658.09	6745.86	2645.74	6294.04	13681.08	15075.35	7803.01	8134.41	3325.99	3419.52	3349.13	5791.62	4123.49	4388.98	4671.57	19082.0	9808.75	5183.54	2875.3	6037.61	3639.7	10808.41	3614.55	14867.79	7589.61	6471.02	16157.44	10585.95	12853.63	9673.69	5366.37	7966.99	4066.71	14461.21	12415.75	11909.94	9279.58	4769.75	5479.15	2609.3	4268.94	5872.48	7537.18	3018.3
MED14	165.57	187.71	186.4	129.69	180.02	111.99	139.07	346.29	759.08	341.51	470.14	318.57	511.0	281.09	493.56	291.04	532.74	441.64	384.34	480.04	429.54	587.13	329.84	514.56	423.61	334.46	660.68	473.41	412.0	426.57	371.22	441.64	400.71	460.44	486.75	638.15	518.15	417.77	334.46	329.84	379.04	341.51	348.71	432.53	379.04	525.39	417.77	289.02	356.05	409.15	356.05	540.19	318.57	579.04	381.68	450.94	447.82	497.0	503.95	521.76	400.71	500.46	351.14	540.19	587.13	490.14	518.15	323.03	384.34	281.09	356.05	358.54	466.88	358.54
MTMR1	83.45	102.97	81.14	116.78	104.42	107.38	50.27	246.28	389.72	191.67	241.19	212.78	332.14	155.5	285.03	177.53	295.11	316.37	201.25	214.27	251.48	249.73	173.85	323.03	239.52	199.85	314.17	312.0	262.2	242.88	327.56	255.0	186.4	237.86	373.81	400.71	260.38	283.05	201.25	185.11	229.72	224.97	191.67	181.28	262.2	320.8	279.14	223.41	205.5	214.27	211.31	371.22	234.57	376.41	228.13	275.28	265.87	316.37	353.59	303.44	228.13	271.48	223.41	325.29	316.37	351.14	289.02	277.2	215.77	181.28	211.31	194.36	220.32	204.07
NARS	647.07	693.58	669.92	796.86	728.11	708.18	599.49	1304.15	2573.36	1519.15	2119.22	1427.22	2240.11	1457.23	3168.41	1561.89	2701.35	2895.31	1794.29	2193.99	1674.06	2287.2	1870.53	2976.74	2163.77	1417.35	3146.52	2468.49	2351.53	2335.28	2367.9	2956.17	1651.0	2047.0	2816.11	3515.68	2627.46	3690.52	1369.04	1331.57	1467.37	1407.55	1397.83	1794.29	1583.71	3060.45	2796.65	1268.46	1639.59	2075.59	1467.37	2976.74	1594.73	3847.29	2104.58	2816.11	3372.43	2451.44	2485.67	2591.27	2119.22	2682.69	1950.0	2701.35	3325.99	3146.52	2895.31	1832.01	1594.73	1350.18	1733.13	1674.06	2319.15	1662.49
NFAT5	15.8	24.46	23.42	12.09	23.42	34.26	9.41	148.09	483.38	149.12	258.57	85.82	320.8	127.0	336.79	96.01	351.14	312.0	176.29	244.57	166.73	242.88	236.21	260.38	312.0	154.42	403.5	264.03	277.2	277.2	271.48	258.57	193.01	293.07	325.29	426.57	293.07	303.44	122.64	140.04	182.55	133.36	195.72	194.36	152.28	316.37	220.32	81.71	145.02	130.6	113.56	429.54	164.42	316.37	183.82	273.37	256.78	256.78	368.65	329.84	158.79	305.55	144.01	334.46	336.79	514.56	447.82	105.89	131.51	87.65	215.77	251.48	255.0	157.68
NFX1	392.44	395.18	346.29	251.48	332.14	236.21	258.57	373.81	647.07	363.56	466.88	376.41	559.28	447.82	796.86	454.09	733.19	551.56	454.09	802.41	497.0	896.64	514.56	775.05	603.67	435.55	896.64	616.37	624.99	536.45	669.92	532.74	397.93	536.45	819.3	848.22	624.99	718.08	555.41	514.56	420.68	511.0	406.31	587.13	457.25	866.07	595.34	500.46	420.68	503.95	447.82	728.11	497.0	819.3	476.71	579.04	638.15	748.61	684.02	660.68	507.46	728.11	486.75	679.29	947.83	909.17	629.35	420.68	559.28	476.71	470.14	551.56	529.06	441.64
NOC3L	82.29	80.01	71.5	17.38	72.52	81.71	28.65	120.94	376.41	159.9	167.9	211.31	295.11	143.01	209.84	164.42	248.0	244.57	194.36	232.94	206.94	463.65	202.66	248.0	214.27	148.09	336.79	279.14	256.78	199.85	253.23	209.84	155.5	195.72	343.89	325.29	316.37	291.04	127.89	152.28	173.85	189.02	152.28	157.68	228.13	358.54	293.07	171.45	165.57	171.45	163.28	269.6	145.02	320.8	206.94	171.45	234.57	275.28	269.6	329.84	205.5	208.38	152.28	358.54	447.82	392.44	242.88	150.17	195.72	150.17	171.45	156.59	255.0	166.73
NSMAF	80.01	75.64	42.41	56.68	68.55	65.26	14.67	327.56	620.67	320.8	387.02	269.6	497.0	403.5	420.68	303.44	555.41	417.77	368.65	633.73	366.09	432.53	356.05	457.25	438.59	376.41	500.46	532.74	466.88	447.82	463.65	490.14	368.65	414.87	493.56	579.04	514.56	514.56	327.56	366.09	314.17	336.79	379.04	444.72	336.79	503.95	454.09	242.88	318.57	341.51	336.79	514.56	417.77	567.1	318.57	384.34	444.72	480.04	543.96	457.25	358.54	356.05	371.22	414.87	624.99	493.56	532.74	314.17	343.89	299.25	432.53	297.17	441.64	327.56
NUP153	157.68	176.29	143.01	144.01	139.07	173.85	154.42	220.32	529.06	285.03	346.29	232.94	323.03	273.37	518.15	198.47	371.22	358.54	256.78	325.29	297.17	336.79	314.17	579.04	323.03	244.57	486.75	309.83	299.25	318.57	376.41	392.44	297.17	323.03	547.75	603.67	339.14	525.39	239.52	239.52	262.2	269.6	305.55	297.17	231.32	435.55	371.22	281.09	283.05	279.14	279.14	379.04	318.57	555.41	281.09	329.84	392.44	400.71	547.75	376.41	287.01	358.54	285.03	389.72	486.75	463.65	420.68	255.0	373.81	236.21	211.31	269.6	366.09	256.78
NUP160	151.22	154.42	152.28	115.16	170.25	122.64	80.01	368.65	679.29	303.44	450.94	320.8	500.46	363.56	476.71	299.25	480.04	503.95	406.31	412.0	343.89	813.63	441.64	470.14	514.56	414.87	559.28	480.04	466.88	450.94	551.56	412.0	379.04	435.55	503.95	624.99	525.39	518.15	314.17	389.72	409.15	397.93	373.81	395.18	389.72	543.96	444.72	379.04	376.41	351.14	356.05	500.46	543.96	647.07	368.65	454.09	518.15	493.56	559.28	603.67	348.71	447.82	423.61	547.75	620.67	698.41	503.95	336.79	406.31	312.0	420.68	395.18	490.14	361.04
PCYT1A	275.28	305.55	264.03	275.28	236.21	438.59	206.94	353.59	587.13	387.02	387.02	438.59	490.14	395.18	603.67	366.09	785.88	633.73	432.53	775.05	426.57	567.1	551.56	693.58	486.75	420.68	723.08	595.34	540.19	450.94	723.08	656.11	450.94	457.25	743.43	718.08	529.06	633.73	384.34	417.77	368.65	454.09	463.65	460.44	441.64	733.19	536.45	435.55	409.15	518.15	381.68	669.92	435.55	647.07	397.93	748.61	518.15	563.18	616.37	679.29	511.0	579.04	486.75	555.41	902.89	595.34	651.58	447.82	457.25	348.71	406.31	409.15	503.95	389.72
PHF20L1	145.02	134.3	111.21	34.26	111.99	123.5	67.59	384.34	748.61	397.93	476.71	381.68	796.86	409.15	1286.18	387.02	1208.34	703.28	384.34	1529.73	547.75	684.02	802.41	1081.39	583.07	651.58	1286.18	967.76	660.68	813.63	753.83	743.43	490.14	543.96	1127.35	1427.22	988.12	1023.0	368.65	432.53	403.5	679.29	463.65	642.59	400.71	1331.57	780.44	343.89	327.56	902.89	521.76	872.1	406.31	1477.58	748.61	1008.9	718.08	698.41	1119.56	934.76	890.44	1001.93	441.64	753.83	1008.9	1519.15	1104.13	540.19	583.07	237.86	420.68	521.76	769.69	450.94
PLRG1	595.34	642.59	579.04	595.34	642.59	480.04	246.28	651.58	1733.13	647.07	1030.12	896.64	961.07	769.69	1286.18	1037.29	1529.73	1225.22	813.63	1135.2	642.59	1977.24	1030.12	1313.23	1313.23	954.43	1685.71	1216.75	1143.1	1407.55	1159.07	1225.22	728.11	1369.04	1331.57	1487.87	1295.13	1417.35	669.92	775.05	703.28	921.88	656.11	967.76	934.76	1487.87	1242.34	638.15	860.08	1001.93	616.37	1268.46	872.1	1950.0	1183.45	1208.34	1111.82	1617.0	1806.78	1498.22	1378.57	1359.57	1001.93	1225.22	1457.23	1697.45	1313.23	743.43	988.12	638.15	1268.46	728.11	1286.18	808.0
POLR2B	346.29	366.09	353.59	332.14	368.65	426.57	185.11	872.1	1259.69	728.11	974.5	612.11	954.43	808.0	1066.48	616.37	1199.98	947.83	1001.93	961.07	796.86	947.83	830.75	1104.13	1015.93	836.53	954.43	981.29	981.29	941.27	1001.93	1044.52	791.35	860.08	1008.9	1191.69	1127.35	1143.1	785.88	764.36	848.22	830.75	819.3	921.88	825.0	1037.29	1199.98	769.69	775.05	896.64	764.36	1030.12	896.64	1208.34	860.08	1059.11	954.43	1015.93	1199.98	921.88	848.22	995.0	878.17	1159.07	1044.52	1159.07	1191.69	785.88	860.08	775.05	890.44	866.07	1111.82	884.29
PPP6R3	447.82	384.34	409.15	187.71	381.68	414.87	379.04	934.76	2018.8	674.59	1059.11	769.69	1628.26	860.08	1208.34	660.68	1583.71	1250.98	988.12	1487.87	764.36	1832.01	1051.79	1350.18	1407.55	1037.29	1457.23	1529.73	1378.57	1331.57	1397.83	1208.34	848.22	1304.15	1268.46	1508.65	1417.35	1259.69	836.53	896.64	854.13	1008.9	1066.48	1313.23	884.29	1437.15	1286.18	872.1	928.3	1225.22	703.28	1350.18	1015.93	1685.71	1199.98	1340.84	1437.15	1437.15	1295.13	1540.37	1119.56	1457.23	884.29	1447.15	1447.15	1583.71	1407.55	954.43	1143.1	738.29	1191.69	934.76	1127.35	974.5
PRKAA1	454.09	392.44	483.38	224.97	540.19	305.55	435.55	493.56	1304.15	518.15	842.36	514.56	909.17	438.59	713.11	486.75	928.3	1023.0	616.37	825.0	713.11	791.35	559.28	1037.29	743.43	540.19	1044.52	995.0	718.08	723.08	764.36	854.13	587.13	728.11	954.43	1286.18	967.76	775.05	529.06	497.0	563.18	567.1	633.73	633.73	514.56	848.22	769.69	450.94	563.18	595.34	463.65	947.83	651.58	1015.93	638.15	909.17	836.53	769.69	981.29	872.1	559.28	785.88	559.28	813.63	1081.39	1135.2	1066.48	543.96	599.49	409.15	563.18	647.07	780.44	476.71
PROSER1	128.79	86.43	46.18	77.25	103.69	114.36	32.13	229.72	540.19	172.65	237.86	214.27	356.05	239.52	255.0	166.73	281.09	301.33	195.72	387.02	159.9	384.34	249.73	258.57	264.03	253.23	400.71	356.05	303.44	273.37	316.37	253.23	248.0	285.03	307.69	351.14	297.17	312.0	204.07	204.07	178.77	231.32	197.09	283.05	195.72	447.82	303.44	212.78	242.88	237.86	198.47	264.03	293.07	397.93	249.73	228.13	305.55	312.0	327.56	441.64	309.83	289.02	226.54	371.22	414.87	358.54	265.87	218.79	287.01	283.05	253.23	166.73	332.14	217.27
PRPF38B	267.73	269.6	202.66	46.18	208.38	172.65	66.65	547.75	988.12	454.09	651.58	500.46	802.41	567.1	808.0	470.14	988.12	884.29	567.1	872.1	591.22	1008.9	759.08	947.83	769.69	764.36	1259.69	866.07	684.02	753.83	753.83	791.35	633.73	638.15	860.08	928.3	866.07	872.1	647.07	688.78	607.87	813.63	684.02	591.22	525.39	1143.1	638.15	775.05	532.74	555.41	555.41	954.43	753.83	1447.15	514.56	890.44	796.86	813.63	728.11	808.0	540.19	909.17	486.75	808.0	1111.82	1044.52	981.29	624.99	813.63	536.45	954.43	555.41	796.86	703.28
PTGES2	591.22	629.35	651.58	1369.04	759.08	507.46	583.07	921.88	1104.13	961.07	954.43	1066.48	1340.84	1023.0	1477.58	1015.93	1437.15	1250.98	1059.11	1208.34	733.19	1605.83	1151.06	1208.34	1127.35	941.27	1159.07	1498.22	1388.16	967.76	1561.89	1857.6	981.29	1037.29	1304.15	1594.73	1143.1	1397.83	988.12	743.43	842.36	954.43	954.43	1104.13	934.76	1427.22	1417.35	890.44	1051.79	1529.73	1037.29	1529.73	866.07	1378.57	1340.84	1268.46	1508.65	1175.27	1143.1	1295.13	1519.15	1378.57	1233.75	1250.98	1437.15	1407.55	1583.71	1277.29	733.19	748.61	1119.56	1096.5	1175.27	954.43
RAD54L2	46.5	66.65	78.89	53.19	119.26	124.37	45.85	86.43	149.12	80.57	90.14	66.18	134.3	105.89	145.02	64.8	147.06	124.37	84.63	154.42	80.01	158.79	92.05	173.85	108.14	98.04	177.53	142.01	157.68	96.68	151.22	119.26	87.03	127.89	156.59	236.21	128.79	143.01	83.45	81.71	87.03	105.15	101.54	119.26	105.15	167.9	119.26	58.71	82.29	102.97	72.01	182.55	79.45	177.53	94.67	90.77	139.07	133.36	143.01	136.19	92.7	120.1	94.67	143.01	199.85	178.77	144.01	80.01	81.14	66.65	109.66	82.29	124.37	78.89
RALGAPB	79.45	77.25	69.52	63.45	78.89	105.89	37.32	299.25	579.04	275.28	373.81	204.07	406.31	325.29	441.64	283.05	497.0	403.5	320.8	547.75	301.33	400.71	336.79	441.64	450.94	316.37	629.35	480.04	412.0	432.53	417.77	426.57	293.07	384.34	493.56	713.11	432.53	493.56	299.25	271.48	312.0	303.44	316.37	341.51	273.37	514.56	400.71	236.21	320.8	423.61	271.48	460.44	314.17	583.07	316.37	406.31	389.72	397.93	551.56	521.76	323.03	447.82	323.03	450.94	463.65	651.58	483.38	291.04	361.04	249.73	348.71	358.54	441.64	307.69
RSRC2	633.73	684.02	454.09	309.83	483.38	723.08	490.14	1487.87	2400.97	1313.23	2090.03	1369.04	2004.85	1561.89	1991.0	1674.06	2178.83	1745.2	1651.0	1991.0	1883.54	3060.45	1923.14	2163.77	1819.35	1498.22	2555.58	1883.54	1651.0	1529.73	1628.26	1923.14	1529.73	1508.65	2133.97	2855.44	1950.0	2133.97	1709.26	1594.73	1477.58	1844.76	2047.0	1447.15	1350.18	2303.12	1883.54	1519.15	1529.73	1286.18	1457.23	2303.12	1806.78	2758.13	1369.04	1806.78	1936.53	2193.99	1857.6	1896.65	1407.55	1745.2	1199.98	1950.0	2537.92	2796.65	2209.26	1540.37	2148.82	1447.15	1685.71	1407.55	1857.6	1572.76
SARS	2240.11	2163.77	1617.0	2384.37	1991.0	1781.89	2090.03	2319.15	3540.14	2591.27	2720.15	3018.3	3039.3	2664.15	6164.49	2434.5	4095.0	3467.27	2758.13	2895.31	2537.92	4543.8	3303.0	6561.36	3372.43	2319.15	5633.22	3847.29	5479.15	3768.09	3419.52	3768.09	2351.53	3690.52	5366.37	5831.91	3639.7	5329.3	2720.15	2956.17	2645.74	2777.33	2720.15	3060.45	2895.31	5594.3	4328.55	2976.74	2451.44	2956.17	2451.44	5555.65	2303.12	5872.48	3257.52	3325.99	7331.05	4450.27	3690.52	3325.99	3639.7	3742.05	3349.13	5594.3	6381.92	4575.41	3614.55	3257.52	3280.18	3540.14	2555.58	2645.74	3742.05	2193.99
SCYL2	152.28	143.01	166.73	111.21	157.68	142.01	96.01	187.71	432.53	186.4	363.56	183.82	366.09	241.19	361.04	239.52	417.77	327.56	229.72	444.72	343.89	320.8	371.22	329.84	379.04	226.54	463.65	356.05	248.0	356.05	253.23	212.78	287.01	289.02	353.59	460.44	353.59	351.14	255.0	186.4	231.32	231.32	255.0	262.2	256.78	363.56	303.44	206.94	246.28	251.48	228.13	368.65	236.21	463.65	241.19	312.0	287.01	320.8	450.94	346.29	234.57	309.83	229.72	316.37	463.65	525.39	371.22	283.05	329.84	214.27	205.5	256.78	318.57	253.23
SLC11A2	273.37	387.02	329.84	158.79	507.46	318.57	275.28	728.11	1519.15	878.17	1001.93	961.07	1340.84	780.44	1277.29	759.08	1721.16	1143.1	896.64	1143.1	967.76	2303.12	974.5	1477.58	1151.06	813.63	1769.57	1467.37	1051.79	1233.75	1350.18	1388.16	791.35	1096.5	1561.89	1340.84	1540.37	1151.06	860.08	748.61	915.51	954.43	836.53	1037.29	866.07	1331.57	1277.29	842.36	830.75	1059.11	753.83	1674.06	921.88	1540.37	1191.69	1096.5	1350.18	1477.58	1378.57	1721.16	1378.57	1697.45	934.76	1447.15	1551.09	1175.27	1437.15	909.17	848.22	733.19	967.76	902.89	1369.04	802.41
SLC7A11	0.0	1.77	0.0	0.0	1.75	0.0	0.0	15.22	91.41	26.1	17.13	13.83	60.82	11.38	348.71	27.05	120.94	58.3	10.16	108.9	18.03	9.63	120.94	283.05	37.59	17.77	299.25	46.5	136.19	72.52	75.11	59.55	19.82	22.59	119.26	293.07	37.59	183.82	14.03	8.38	11.04	13.03	13.32	37.59	17.64	237.86	101.54	13.83	17.13	38.95	21.63	141.02	24.28	414.87	62.56	139.07	264.03	80.57	79.45	102.97	78.89	76.17	27.64	133.36	208.38	139.07	89.51	24.46	13.32	13.93	6.57	17.25	41.52	12.55
SMAD3	217.27	246.28	182.55	209.84	265.87	249.73	171.45	616.37	791.35	483.38	693.58	718.08	723.08	733.19	1066.48	490.14	684.02	1304.15	808.0	703.28	665.29	1519.15	848.22	1143.1	866.07	679.29	1250.98	921.88	764.36	599.49	1096.5	1167.14	476.71	974.5	1096.5	896.64	633.73	1015.93	540.19	743.43	624.99	624.99	808.0	616.37	679.29	813.63	866.07	583.07	587.13	432.53	447.82	1159.07	669.92	981.29	656.11	854.13	866.07	1096.5	791.35	872.1	928.3	629.35	532.74	738.29	1167.14	854.13	1088.92	728.11	567.1	624.99	848.22	579.04	674.59	547.75
SPAG9	277.2	384.34	262.2	142.01	283.05	514.56	363.56	511.0	1322.37	563.18	753.83	802.41	1208.34	540.19	1378.57	500.46	1313.23	1167.14	728.11	1295.13	748.61	3103.19	830.75	1583.71	981.29	591.22	1685.71	1572.76	1030.12	1008.9	1233.75	1175.27	679.29	878.17	1540.37	1437.15	1417.35	1159.07	547.75	563.18	723.08	808.0	884.29	718.08	665.29	1397.83	934.76	476.71	595.34	1143.1	551.56	1437.15	559.28	1286.18	620.67	934.76	1183.45	1340.84	1277.29	1447.15	902.89	1359.57	728.11	1388.16	1832.01	1167.14	1225.22	775.05	902.89	490.14	595.34	748.61	1127.35	595.34
SREK1	170.25	228.13	214.27	66.65	218.79	348.71	83.45	796.86	1857.6	656.11	1037.29	591.22	1286.18	836.53	1242.34	642.59	1529.73	1540.37	872.1	1529.73	954.43	1709.26	921.88	1340.84	1304.15	1088.92	1561.89	1529.73	1268.46	1225.22	1583.71	1331.57	934.76	1216.75	1519.15	2193.99	1583.71	1508.65	753.83	1001.93	909.17	1159.07	1127.35	954.43	819.3	1819.35	1199.98	703.28	764.36	1111.82	753.83	1572.76	1073.91	2090.03	909.17	1508.65	1407.55	1313.23	1407.55	1651.0	733.19	1477.58	764.36	1340.84	1870.53	2367.9	1991.0	713.11	1044.52	551.56	1350.18	967.76	1183.45	947.83
SRSF11	642.59	854.13	775.05	191.67	764.36	698.41	490.14	2119.22	3874.05	1651.0	2303.12	2255.7	3540.14	2047.0	3325.99	1628.26	3564.78	4038.61	2591.27	3124.78	3018.3	5112.16	2935.74	4123.49	2485.67	3018.3	4210.15	3768.09	3419.52	2502.97	4328.55	3060.45	2209.26	2303.12	4298.64	4123.49	4095.0	3190.46	2133.97	3349.13	2591.27	3419.52	3349.13	2209.26	2537.92	5219.6	2835.7	2796.65	1844.76	1936.53	1991.0	4869.99	2682.69	6426.31	2255.7	3257.52	4388.98	3395.89	2645.74	3742.05	2004.85	3742.05	1909.85	3639.7	5403.7	5329.3	4769.75	2485.67	3168.41	2047.0	4038.61	2682.69	3257.52	2351.53
TANC1	128.79	55.89	38.4	49.21	57.08	85.82	60.82	291.04	819.3	206.94	389.72	329.84	420.68	309.83	460.44	185.11	595.34	460.44	239.52	529.06	185.11	1167.14	575.03	567.1	507.46	392.44	819.3	624.99	348.71	384.34	583.07	420.68	358.54	490.14	555.41	575.03	490.14	529.06	197.09	234.57	320.8	387.02	343.89	318.57	312.0	493.56	400.71	285.03	275.28	466.88	275.28	555.41	447.82	743.43	332.14	426.57	457.25	651.58	429.54	802.41	518.15	412.0	211.31	525.39	503.95	555.41	775.05	312.0	339.14	186.4	325.29	226.54	358.54	297.17
TBK1	202.66	212.78	206.94	65.72	186.4	221.86	153.34	217.27	457.25	202.66	258.57	205.5	291.04	186.4	279.14	228.13	271.48	293.07	204.07	323.03	264.03	343.89	275.28	305.55	289.02	223.41	334.46	262.2	271.48	295.11	287.01	291.04	251.48	269.6	299.25	387.02	318.57	329.84	214.27	187.71	208.38	253.23	241.19	267.73	218.79	285.03	265.87	218.79	232.94	264.03	265.87	297.17	248.0	373.81	244.57	277.2	283.05	325.29	356.05	336.79	255.0	251.48	253.23	218.79	318.57	341.51	297.17	264.03	297.17	181.28	205.5	217.27	314.17	228.13
TG	9.7	26.86	21.32	197.09	12.93	12.93	5.45	1282030.25	1019901.63	1393227.06	2068278.89	1085552.95	1452391.55	1179708.33	2247670.86	751804.53	2126426.15	1327240.99	1751305.3	1503610.06	2375828.71	2111737.85	1611529.43	1611529.43	1299926.74	1622738.51	1041331.96	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1336472.68	649962.87	1997825.68	1290947.48	1139523.1	1984025.69	1196176.45	2986448.72	1567462.05	2025714.3	2425749.94	1402917.72	1929772.37	1327240.99	857631.47	1943195.01	1622738.51	1727194.55	1589343.01	1012856.65	2636147.11	2263304.65	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	1131651.83	1085552.95	2263304.65	2672946.37	1514068.5	1567462.05	1864037.21	1634025.56	1402917.72	1482909.4
