	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.B6.A1KF.01A.11R.A13Q.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.VS.A9UO.01A.11R.A42T.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.DM.A1DB.01A.11R.A155.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.G4.6322.01A.11R.1723.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.13VXT.2426.SM.5LU46	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.VR.AA4D.01A.11R.A37I.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.44.6146.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AF.2687.01A.02R.1736.07	TCGA.AF.A56L.01A.31R.A39D.07	GTEX.12WSL.2126.SM.5GCNG	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.HU.8238.11A.01R.2343.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.CG.5730.11A.01R.1602.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.T8EM.1226.SM.4DM5J	GTEX.WFG8.1326.SM.4LVN3	GTEX.WHPG.0426.SM.4M1XW	GTEX.Q2AH.1126.SM.48TZM	GTEX.13OW6.2526.SM.5IJEC	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.117YW.2226.SM.5N9DB	GTEX.13FTW.1726.SM.5KM2B	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.ZYY3.1726.SM.5EGH3	GTEX.QDVN.1226.SM.48TZ5	GTEX.13CF3.1926.SM.5K7WF	GTEX.131XG.1226.SM.5EGH9
PDRG1	708.18	764.36	438.59	679.29	368.65	603.67	463.65	718.08	698.41	1250.98	591.22	764.36	884.29	583.07	205.5	309.83	412.0	915.51	748.61	941.27	866.07	909.17	769.69	866.07	961.07	988.12	1081.39	571.05	934.76	854.13	381.68	0.58	1159.07	1757.34	320.8	571.05	450.94	444.72	314.17	595.34	536.45	371.22	480.04	521.76	438.59	587.13	473.41	642.59	460.44	476.71	457.25	283.05	414.87	277.2	361.04	277.2	318.57	271.48	309.83	228.13	260.38	409.15	303.44	343.89	123.5	346.29	397.93	289.02	249.73	318.57	320.8	124.37	287.01	198.47	239.52
PHKA2	170.25	248.0	190.34	389.72	460.44	376.41	423.61	473.41	256.78	1721.16	420.68	373.81	463.65	265.87	514.56	251.48	346.29	503.95	470.14	583.07	476.71	503.95	483.38	521.76	603.67	595.34	316.37	293.07	915.51	450.94	309.83	90.77	825.0	620.67	269.6	536.45	329.84	285.03	191.67	356.05	264.03	124.37	356.05	1044.52	323.03	473.41	543.96	480.04	444.72	412.0	325.29	301.33	299.25	206.94	193.01	239.52	262.2	281.09	172.65	150.17	224.97	218.79	221.86	244.57	231.32	285.03	409.15	139.07	224.97	204.07	312.0	151.22	271.48	234.57	205.5
PLXNA1	205.5	361.04	84.04	301.33	412.0	208.38	256.78	234.57	180.02	353.59	271.48	361.04	420.68	348.71	159.9	228.13	186.4	551.56	305.55	791.35	490.14	543.96	514.56	571.05	764.36	547.75	273.37	363.56	536.45	559.28	341.51	52.82	490.14	603.67	387.02	381.68	493.56	320.8	279.14	327.56	450.94	228.13	532.74	204.07	262.2	612.11	642.59	507.46	438.59	256.78	571.05	81.14	199.85	194.36	107.38	142.01	111.21	269.6	171.45	118.43	186.4	289.02	204.07	177.53	215.77	143.01	633.73	231.32	193.01	156.59	166.73	332.14	241.19	163.28	251.48
PNPT1	460.44	260.38	262.2	164.42	140.04	287.01	305.55	327.56	341.51	808.0	332.14	497.0	327.56	256.78	218.79	145.02	251.48	435.55	866.07	532.74	551.56	447.82	521.76	633.73	457.25	633.73	684.02	307.69	902.89	305.55	221.86	0.54	660.68	616.37	323.03	253.23	353.59	265.87	193.01	555.41	309.83	151.22	283.05	647.07	647.07	624.99	409.15	303.44	551.56	540.19	305.55	135.24	131.51	170.25	92.7	124.37	104.42	122.64	115.97	152.28	211.31	90.77	204.07	209.84	152.28	139.07	205.5	205.5	120.1	144.01	163.28	102.97	115.16	101.54	189.02
PPME1	921.88	928.3	860.08	921.88	400.71	988.12	848.22	738.29	713.11	728.11	884.29	1044.52	500.46	583.07	532.74	503.95	698.41	764.36	1216.75	1008.9	1268.46	848.22	808.0	1015.93	1397.83	967.76	934.76	1066.48	1127.35	981.29	642.59	836.53	723.08	961.07	723.08	591.22	981.29	842.36	941.27	1059.11	866.07	759.08	470.14	1001.93	1001.93	698.41	808.0	1447.15	830.75	791.35	555.41	351.14	567.1	660.68	642.59	563.18	555.41	638.15	698.41	651.58	612.11	629.35	674.59	769.69	339.14	591.22	872.1	647.07	563.18	599.49	470.14	409.15	529.06	503.95	723.08
PRPF3	854.13	1923.14	555.41	830.75	909.17	1030.12	1397.83	1477.58	967.76	1745.2	825.0	896.64	1896.65	921.88	629.35	603.67	728.11	1286.18	1397.83	1167.14	1639.59	1487.87	2555.58	1477.58	1208.34	1794.29	1322.37	1037.29	2224.63	1044.52	693.58	1.19	1745.2	1151.06	454.09	748.61	1721.16	525.39	629.35	1044.52	728.11	514.56	2061.24	1331.57	607.87	872.1	651.58	1519.15	1397.83	909.17	842.36	356.05	463.65	466.88	400.71	318.57	376.41	493.56	406.31	336.79	444.72	493.56	497.0	591.22	525.39	397.93	647.07	156.59	389.72	384.34	591.22	470.14	525.39	490.14	450.94
RAD1	808.0	1044.52	212.78	389.72	532.74	902.89	447.82	463.65	417.77	395.18	395.18	305.55	389.72	486.75	260.38	262.2	361.04	808.0	417.77	497.0	444.72	426.57	444.72	559.28	579.04	490.14	490.14	368.65	620.67	583.07	314.17	651.58	599.49	412.0	397.93	620.67	466.88	201.25	289.02	503.95	454.09	244.57	447.82	1008.9	346.29	638.15	312.0	248.0	480.04	336.79	273.37	164.42	187.71	301.33	187.71	256.78	187.71	228.13	255.0	269.6	217.27	237.86	356.05	171.45	170.25	295.11	260.38	248.0	205.5	244.57	297.17	124.37	260.38	177.53	457.25
RNF114	1030.12	1259.69	1044.52	796.86	1529.73	1617.0	1757.34	1378.57	1508.65	2502.97	974.5	1583.71	1508.65	1001.93	921.88	928.3	1059.11	1617.0	1359.57	1304.15	1159.07	1628.26	1340.84	1457.23	1832.01	1388.16	1508.65	872.1	1286.18	1199.98	967.76	0.65	1806.78	2591.27	866.07	764.36	909.17	1977.24	753.83	1583.71	1437.15	1388.16	1378.57	1883.54	1277.29	1135.2	1030.12	1427.22	1268.46	1857.6	1397.83	1331.57	947.83	872.1	1175.27	1023.0	1250.98	764.36	830.75	693.58	775.05	543.96	1674.06	836.53	612.11	780.44	1508.65	1313.23	728.11	679.29	928.3	674.59	656.11	642.59	679.29
RNF219	100.13	231.32	36.01	180.02	136.19	125.24	149.12	137.14	125.24	231.32	140.04	90.14	199.85	175.07	105.89	92.05	162.14	218.79	423.61	176.29	265.87	157.68	253.23	251.48	181.28	205.5	285.03	159.9	253.23	159.9	105.89	0.16	332.14	232.94	93.35	69.03	132.44	85.22	97.36	234.57	176.29	80.57	232.94	223.41	130.6	262.2	156.59	137.14	129.69	167.9	113.56	44.25	66.18	90.77	42.71	56.28	50.63	63.0	72.01	78.89	98.73	72.52	100.13	71.5	38.67	64.34	97.36	36.01	60.39	70.51	94.67	49.21	78.34	48.52	94.01
RPF2	854.13	934.76	532.74	836.53	336.79	679.29	417.77	518.15	1806.78	1175.27	1001.93	878.17	660.68	674.59	361.04	295.11	381.68	327.56	1199.98	738.29	435.55	466.88	624.99	579.04	1216.75	775.05	1388.16	647.07	796.86	371.22	239.52	0.15	1313.23	854.13	521.76	329.84	547.75	351.14	616.37	743.43	624.99	325.29	674.59	1467.37	633.73	4607.24	583.07	295.11	764.36	651.58	748.61	189.02	363.56	329.84	348.71	289.02	348.71	395.18	348.71	412.0	571.05	287.01	483.38	387.02	256.78	555.41	244.57	309.83	373.81	483.38	293.07	105.89	358.54	400.71	438.59
RUVBL1	1159.07	3124.78	1037.29	1059.11	884.29	1143.1	669.92	718.08	1427.22	2004.85	1001.93	1225.22	1304.15	1350.18	457.25	543.96	629.35	1757.34	1447.15	1096.5	1674.06	1159.07	1096.5	1447.15	1991.0	1806.78	1023.0	884.29	2255.7	902.89	500.46	0.47	1551.09	1617.0	848.22	642.59	684.02	1015.93	420.68	796.86	748.61	633.73	1304.15	981.29	954.43	1242.34	647.07	860.08	981.29	518.15	665.29	204.07	507.46	480.04	358.54	438.59	301.33	447.82	470.14	444.72	620.67	514.56	769.69	607.87	353.59	346.29	718.08	173.85	444.72	450.94	647.07	356.05	466.88	397.93	665.29
SLC39A10	103.69	688.78	49.56	153.34	616.37	98.73	161.02	124.37	221.86	314.17	438.59	281.09	432.53	195.72	99.43	100.13	127.89	412.0	444.72	318.57	287.01	231.32	351.14	325.29	265.87	152.28	277.2	334.46	343.89	189.02	169.07	267.73	728.11	575.03	122.64	128.79	329.84	61.68	226.54	318.57	201.25	147.06	373.81	633.73	186.4	497.0	301.33	143.01	129.69	293.07	55.89	31.9	70.51	86.43	25.17	54.33	48.87	44.57	72.01	43.94	51.35	69.52	55.1	44.89	16.27	38.95	199.85	71.0	33.54	39.79	120.94	64.8	70.01	76.17	57.08
SPATA5L1	316.37	273.37	417.77	438.59	248.0	341.51	138.1	146.03	221.86	808.0	366.09	116.78	325.29	244.57	142.01	194.36	197.09	176.29	454.09	507.46	329.84	323.03	320.8	941.27	529.06	629.35	665.29	555.41	400.71	307.69	158.79	500.46	332.14	229.72	384.34	208.38	201.25	260.38	244.57	301.33	251.48	144.01	275.28	283.05	265.87	264.03	297.17	275.28	361.04	343.89	190.34	244.57	171.45	128.79	135.24	181.28	221.86	105.89	108.9	115.16	183.82	212.78	226.54	232.94	124.37	146.03	265.87	181.28	127.89	262.2	183.82	90.77	182.55	214.27	151.22
SSB	1950.0	2193.99	669.92	1769.57	1781.89	2133.97	1594.73	1794.29	2720.15	4419.52	2701.35	2935.74	2777.33	2400.97	1340.84	1159.07	1674.06	2417.67	5006.93	2537.92	2367.9	2193.99	2664.15	2701.35	2555.58	3235.01	3955.48	2351.53	3515.68	2004.85	1350.18	0.83	4769.75	2664.15	1304.15	1769.57	2875.3	1583.71	1519.15	2537.92	2209.26	813.63	2875.3	3589.58	2935.74	2468.49	2434.5	1369.04	2178.83	2032.85	1572.76	842.36	791.35	1151.06	769.69	713.11	656.11	896.64	1059.11	1051.79	1350.18	967.76	1350.18	848.22	679.29	928.3	1639.59	1350.18	928.3	1286.18	1096.5	511.0	1023.0	796.86	1104.13
SUPV3L1	860.08	1143.1	320.8	785.88	688.78	356.05	536.45	329.84	1051.79	1104.13	995.0	389.72	842.36	753.83	483.38	579.04	660.68	830.75	748.61	728.11	647.07	551.56	819.3	616.37	884.29	896.64	438.59	567.1	775.05	591.22	389.72	0.65	796.86	764.36	507.46	351.14	447.82	703.28	529.06	1259.69	909.17	363.56	486.75	559.28	764.36	808.0	819.3	708.18	674.59	1119.56	642.59	325.29	409.15	497.0	500.46	309.83	426.57	429.54	379.04	460.44	358.54	559.28	376.41	305.55	273.37	429.54	262.2	463.65	438.59	363.56	363.56	205.5	356.05	384.34	323.03
TAF11	988.12	2090.03	323.03	836.53	607.87	902.89	769.69	454.09	525.39	708.18	620.67	599.49	579.04	591.22	490.14	500.46	660.68	1183.45	902.89	785.88	555.41	603.67	780.44	684.02	825.0	1191.69	1066.48	647.07	934.76	633.73	392.44	0.83	1030.12	642.59	476.71	332.14	511.0	444.72	432.53	607.87	486.75	287.01	1088.92	703.28	679.29	543.96	412.0	348.71	921.88	536.45	486.75	346.29	348.71	384.34	384.34	351.14	381.68	406.31	373.81	420.68	490.14	341.51	384.34	379.04	291.04	483.38	244.57	363.56	403.5	403.5	343.89	199.85	329.84	387.02	409.15
THOC1	500.46	830.75	351.14	457.25	633.73	1277.29	830.75	457.25	555.41	656.11	748.61	674.59	612.11	866.07	320.8	293.07	432.53	1001.93	1183.45	1111.82	583.07	599.49	759.08	1135.2	429.54	1277.29	723.08	547.75	1322.37	764.36	356.05	0.85	1044.52	651.58	381.68	301.33	723.08	291.04	403.5	890.44	384.34	205.5	872.1	1111.82	595.34	780.44	759.08	785.88	1250.98	872.1	339.14	171.45	299.25	387.02	162.14	204.07	249.73	277.2	366.09	265.87	336.79	307.69	299.25	281.09	224.97	275.28	571.05	239.52	223.41	289.02	323.03	336.79	271.48	305.55	221.86
TMEM194A	146.03	155.5	158.79	144.01	113.56	171.45	309.83	173.85	190.34	493.56	142.01	175.07	201.25	206.94	175.07	124.37	175.07	406.31	353.59	336.79	325.29	287.01	167.9	358.54	414.87	379.04	228.13	171.45	638.15	143.01	112.77	0.59	353.59	248.0	38.4	152.28	163.28	134.3	94.67	647.07	384.34	92.7	480.04	514.56	141.02	346.29	226.54	198.47	253.23	329.84	146.03	27.64	87.03	84.04	36.53	63.45	40.07	92.7	69.03	77.25	92.05	120.1	84.04	90.77	72.01	88.26	111.99	24.11	60.39	46.18	135.24	61.25	48.18	67.12	90.77
TMEM237	211.31	551.56	529.06	921.88	293.07	470.14	575.03	316.37	318.57	248.0	379.04	246.28	325.29	358.54	178.77	124.37	205.5	466.88	444.72	511.0	332.14	400.71	301.33	490.14	547.75	438.59	473.41	483.38	642.59	457.25	116.78	0.58	486.75	291.04	320.8	153.34	264.03	146.03	201.25	256.78	201.25	100.83	309.83	483.38	264.03	361.04	299.25	77.79	301.33	228.13	51.35	41.52	90.14	127.89	53.57	90.77	85.82	90.77	90.14	98.73	181.28	96.68	173.85	142.01	77.25	142.01	146.03	92.05	87.65	127.0	140.04	77.79	124.37	114.36	124.37
TPX2	540.19	2075.59	698.41	187.71	21.63	780.44	579.04	500.46	376.41	1407.55	423.61	226.54	291.04	241.19	212.78	256.78	277.2	2609.3	1508.65	3491.39	2224.63	466.88	85.82	1844.76	1457.23	2609.3	529.06	32.59	1870.53	135.24	122.64	0.13	902.89	2255.7	180.02	567.1	988.12	158.79	80.57	775.05	1350.18	417.77	836.53	1909.85	813.63	1832.01	860.08	878.17	567.1	1008.9	934.76	142.01	293.07	173.85	119.26	153.34	136.19	198.47	159.9	283.05	417.77	366.09	616.37	470.14	175.07	262.2	409.15	26.47	226.54	178.77	567.1	190.34	211.31	299.25	450.94
TRIP6	2133.97	463.65	808.0	1819.35	1806.78	3257.52	902.89	2627.46	2451.44	1832.01	1037.29	1295.13	3280.18	2163.77	665.29	764.36	1331.57	854.13	2434.5	3349.13	2915.45	2777.33	825.0	3190.46	2090.03	2796.65	2451.44	3168.41	2148.82	3395.89	647.07	1.14	1662.49	2739.08	1639.59	273.37	116.78	674.59	665.29	896.64	764.36	329.84	796.86	947.83	97.36	1359.57	1733.13	220.32	1457.23	603.67	100.13	129.69	764.36	503.95	256.78	255.0	275.28	921.88	802.41	624.99	1331.57	802.41	1417.35	232.94	473.41	555.41	947.83	432.53	384.34	941.27	555.41	547.75	603.67	403.5	483.38
TRMT6	289.02	435.55	211.31	336.79	262.2	397.93	232.94	229.72	314.17	457.25	285.03	269.6	255.0	246.28	215.77	182.55	228.13	194.36	497.0	423.61	483.38	447.82	688.78	381.68	563.18	647.07	493.56	305.55	532.74	400.71	205.5	0.11	591.22	287.01	309.83	314.17	409.15	226.54	162.14	231.32	275.28	229.72	400.71	693.58	457.25	258.57	346.29	283.05	368.65	450.94	193.01	105.15	177.53	163.28	153.34	154.42	140.04	154.42	127.89	198.47	214.27	152.28	262.2	201.25	75.11	198.47	90.14	158.79	171.45	241.19	159.9	37.32	180.02	180.02	241.19
TRMU	591.22	547.75	361.04	470.14	497.0	1030.12	902.89	665.29	708.18	1073.91	785.88	854.13	463.65	759.08	389.72	457.25	473.41	988.12	1295.13	866.07	1051.79	1044.52	1857.6	1313.23	1111.82	1529.73	819.3	674.59	1322.37	934.76	403.5	1.16	1051.79	1081.39	312.0	819.3	995.0	400.71	341.51	1397.83	620.67	341.51	854.13	660.68	884.29	915.51	708.18	476.71	507.46	878.17	669.92	309.83	470.14	314.17	325.29	269.6	277.2	366.09	303.44	297.17	395.18	483.38	316.37	351.14	220.32	389.72	656.11	209.84	348.71	329.84	486.75	175.07	334.46	325.29	500.46
UBE2D1	575.03	860.08	518.15	460.44	395.18	206.94	265.87	483.38	346.29	521.76	323.03	242.88	182.55	358.54	241.19	265.87	332.14	483.38	769.69	447.82	483.38	447.82	540.19	583.07	389.72	708.18	336.79	759.08	848.22	543.96	209.84	159.9	532.74	358.54	356.05	82.29	186.4	341.51	579.04	620.67	575.03	287.01	341.51	314.17	438.59	575.03	486.75	426.57	470.14	624.99	215.77	137.14	156.59	180.02	176.29	142.01	182.55	163.28	190.34	187.71	320.8	167.9	403.5	232.94	171.45	195.72	414.87	332.14	146.03	212.78	291.04	381.68	246.28	142.01	171.45
UBR5	647.07	2004.85	947.83	974.5	1051.79	866.07	693.58	830.75	915.51	2004.85	921.88	1208.34	934.76	1037.29	1159.07	764.36	1023.0	1487.87	2485.67	2664.15	1467.37	2004.85	1540.37	1870.53	1662.49	1583.71	1437.15	1268.46	1594.73	1331.57	791.35	0.55	1617.0	1936.53	1183.45	884.29	1088.92	591.22	1127.35	1883.54	718.08	497.0	1605.83	1417.35	1519.15	1331.57	1508.65	1208.34	2434.5	1096.5	616.37	500.46	392.44	571.05	309.83	403.5	379.04	536.45	629.35	514.56	536.45	616.37	603.67	507.46	616.37	521.76	928.3	934.76	373.81	559.28	555.41	775.05	514.56	397.93	507.46
UMPS	743.43	1605.83	486.75	896.64	275.28	759.08	624.99	669.92	769.69	693.58	660.68	503.95	651.58	785.88	423.61	473.41	543.96	748.61	748.61	587.13	1037.29	540.19	587.13	872.1	703.28	1388.16	753.83	470.14	1167.14	444.72	366.09	0.0	759.08	902.89	503.95	353.59	420.68	435.55	237.86	684.02	486.75	356.05	693.58	555.41	444.72	587.13	426.57	450.94	521.76	305.55	414.87	241.19	363.56	450.94	244.57	314.17	262.2	316.37	293.07	392.44	441.64	325.29	540.19	403.5	199.85	441.64	265.87	153.34	395.18	579.04	450.94	103.69	429.54	332.14	567.1
USP49	22.59	115.16	15.22	25.91	53.95	38.4	50.27	29.48	34.51	55.1	22.26	29.27	43.63	28.86	26.86	22.26	27.84	63.45	55.89	64.8	48.52	59.97	118.43	99.43	44.57	90.14	44.89	40.93	86.43	96.01	23.76	0.54	68.55	61.68	19.68	49.56	35.25	27.44	36.79	41.81	34.51	15.34	114.36	73.54	163.28	50.98	53.57	85.22	62.12	35.0	20.56	17.13	15.45	29.7	11.82	15.11	17.9	25.54	22.75	13.22	30.12	20.41	22.59	18.29	17.38	19.68	36.01	20.86	16.63	17.38	19.11	23.76	27.25	12.74	12.45
UTP6	1757.34	2271.4	616.37	830.75	764.36	1407.55	1277.29	2075.59	2178.83	2061.24	1498.22	947.83	1388.16	1447.15	796.86	775.05	1119.56	2664.15	2303.12	3257.52	1651.0	1457.23	1001.93	1572.76	947.83	2032.85	2224.63	1639.59	3639.7	836.53	791.35	327.56	1936.53	1427.22	743.43	748.61	1313.23	872.1	1008.9	1477.58	1359.57	507.46	2609.3	1745.2	1350.18	1437.15	1304.15	1159.07	1870.53	1388.16	1191.69	447.82	529.06	607.87	412.0	447.82	395.18	674.59	397.93	412.0	656.11	536.45	866.07	679.29	417.77	693.58	660.68	351.14	480.04	669.92	679.29	316.37	511.0	397.93	651.58
WDR12	490.14	1417.35	514.56	860.08	234.57	1066.48	890.44	836.53	1457.23	1417.35	1175.27	878.17	802.41	896.64	403.5	551.56	575.03	1340.84	2287.2	1008.9	941.27	1127.35	941.27	1175.27	1407.55	1388.16	2573.36	819.3	2224.63	660.68	387.02	44.89	1819.35	1447.15	579.04	802.41	896.64	603.67	518.15	1322.37	665.29	603.67	1127.35	2502.97	1883.54	1477.58	1151.06	567.1	1051.79	1225.22	791.35	525.39	332.14	389.72	381.68	397.93	529.06	320.8	211.31	373.81	575.03	595.34	529.06	406.31	239.52	503.95	638.15	234.57	341.51	638.15	607.87	177.53	540.19	291.04	743.43
WDR35	36.79	105.89	10.71	42.71	137.14	28.86	52.45	46.5	59.55	112.77	28.45	47.5	169.07	39.22	80.57	52.45	84.63	130.6	138.1	133.36	75.64	113.56	115.97	119.26	92.7	147.06	102.97	48.87	199.85	51.35	116.78	0.11	221.86	186.4	53.19	53.95	73.54	80.57	77.79	98.04	63.89	32.36	90.14	159.9	67.12	249.73	228.13	57.89	87.65	102.97	33.78	22.43	33.06	64.34	20.26	36.79	15.34	68.07	43.94	75.11	66.18	38.12	62.12	63.0	25.72	61.68	98.73	14.78	33.06	32.59	36.79	19.25	82.29	36.53	30.34
WDR70	866.07	896.64	277.2	1081.39	1037.29	1322.37	397.93	497.0	902.89	620.67	490.14	567.1	507.46	460.44	457.25	341.51	426.57	860.08	669.92	616.37	571.05	607.87	529.06	575.03	571.05	718.08	723.08	563.18	947.83	684.02	346.29	0.75	693.58	842.36	275.28	532.74	497.0	161.02	514.56	368.65	253.23	262.2	379.04	688.78	348.71	603.67	444.72	279.14	656.11	265.87	301.33	221.86	228.13	353.59	314.17	231.32	242.88	305.55	373.81	368.65	432.53	327.56	260.38	204.07	165.57	269.6	432.53	124.37	181.28	291.04	226.54	133.36	281.09	239.52	267.73
WDR75	309.83	674.59	281.09	426.57	454.09	490.14	748.61	389.72	665.29	902.89	693.58	624.99	660.68	698.41	293.07	224.97	379.04	703.28	981.29	647.07	708.18	620.67	802.41	728.11	684.02	718.08	866.07	603.67	902.89	743.43	373.81	0.65	1015.93	842.36	329.84	536.45	579.04	373.81	473.41	651.58	555.41	309.83	854.13	967.76	1295.13	878.17	813.63	444.72	420.68	567.1	356.05	183.82	265.87	392.44	183.82	221.86	217.27	287.01	271.48	287.01	395.18	283.05	384.34	323.03	170.25	348.71	275.28	194.36	285.03	346.29	269.6	172.65	265.87	264.03	279.14
XPO1	1447.15	1794.29	1277.29	1104.13	1111.82	1378.57	1313.23	2032.85	1151.06	2384.37	1427.22	1304.15	1477.58	1508.65	961.07	954.43	1127.35	2591.27	3716.2	2895.31	2956.17	2090.03	2502.97	2682.69	1685.71	2627.46	2148.82	1605.83	4268.94	1277.29	1242.34	162.14	2609.3	1519.15	1104.13	961.07	1519.15	934.76	1066.48	3419.52	1769.57	540.19	3847.29	3039.3	2163.77	2758.13	2451.44	1950.0	1819.35	2090.03	1088.92	438.59	503.95	872.1	343.89	551.56	563.18	688.78	567.1	543.96	808.0	928.3	1135.2	1104.13	629.35	842.36	1733.13	323.03	603.67	629.35	896.64	796.86	802.41	629.35	825.0
YEATS2	371.22	503.95	336.79	155.5	181.28	262.2	414.87	244.57	208.38	441.64	314.17	327.56	309.83	303.44	180.02	244.57	265.87	457.25	414.87	450.94	693.58	547.75	444.72	536.45	470.14	647.07	279.14	320.8	551.56	420.68	242.88	0.96	441.64	500.46	318.57	150.17	171.45	229.72	197.09	444.72	500.46	146.03	447.82	353.59	312.0	444.72	387.02	423.61	287.01	277.2	167.9	80.57	145.02	167.9	75.64	141.02	105.15	186.4	143.01	118.43	190.34	211.31	236.21	161.02	148.09	138.1	289.02	84.04	143.01	143.01	255.0	127.89	190.34	112.77	156.59
YY2	13.52	9.34	5.96	9.78	19.97	25.17	15.22	29.7	29.7	60.39	48.18	16.03	20.56	31.9	9.7	18.84	18.84	53.57	33.06	40.93	33.54	20.11	35.25	31.67	22.75	16.88	21.01	27.05	98.04	27.05	12.45	0.31	50.63	26.86	28.65	13.93	34.02	9.34	33.06	53.57	36.01	12.0	71.5	28.65	11.3	35.0	44.57	23.08	23.25	30.56	15.8	7.88	5.32	14.35	4.66	7.51	4.98	14.35	12.0	6.21	11.82	8.13	8.92	13.83	8.25	13.42	14.45	10.88	20.11	4.21	14.03	7.0	6.57	8.99	3.86
ZBTB9	142.01	384.34	175.07	134.3	135.24	164.42	173.85	86.43	152.28	161.02	111.99	80.01	151.22	163.28	71.5	123.5	115.16	229.72	122.64	167.9	138.1	75.11	84.04	178.77	217.27	426.57	260.38	96.68	334.46	89.51	96.01	129.69	283.05	226.54	157.68	159.9	91.41	209.84	98.73	167.9	173.85	67.59	351.14	182.55	205.5	142.01	180.02	134.3	246.28	156.59	291.04	40.07	119.26	128.79	70.51	101.54	87.65	92.7	126.12	93.35	117.6	117.6	129.69	109.66	29.48	96.68	69.03	69.52	75.11	104.42	119.26	52.45	102.25	67.59	87.65
ZMYM3	244.57	432.53	186.4	166.73	728.11	206.94	234.57	226.54	260.38	860.08	223.41	275.28	348.71	277.2	303.44	248.0	318.57	507.46	305.55	356.05	343.89	289.02	137.14	327.56	473.41	483.38	246.28	193.01	660.68	191.67	242.88	0.34	518.15	363.56	283.05	229.72	195.72	291.04	229.72	447.82	599.49	180.02	412.0	275.28	336.79	387.02	591.22	334.46	314.17	336.79	205.5	127.89	217.27	305.55	112.77	214.27	138.1	314.17	283.05	223.41	217.27	275.28	185.11	141.02	102.25	223.41	389.72	69.52	185.11	206.94	316.37	127.89	305.55	143.01	220.32
ZNF239	19.25	76.17	5.92	13.72	164.42	34.75	62.12	96.68	258.57	231.32	71.0	10.63	323.03	177.53	47.84	52.45	68.55	114.36	178.77	117.6	154.42	100.83	165.57	147.06	127.89	265.87	111.99	45.53	346.29	77.79	46.18	0.17	211.31	115.16	17.77	55.1	51.35	111.99	63.0	195.72	120.1	24.28	201.25	264.03	209.84	234.57	102.97	114.36	159.9	285.03	103.69	15.0	76.71	52.08	26.28	44.25	11.38	47.5	52.82	17.64	69.03	60.82	62.12	75.64	28.45	38.4	69.52	8.58	13.52	33.3	85.82	29.7	27.44	34.26	8.45
