	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.BJ.A45K.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.X4XX.0926.SM.46MV7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
TG	1.51	21.32	12.93	10.31	18.29	4.7	2.48	3.72	19.39	6.73	13.03	5.45	0.0	375901.76	593956.43	1282030.25	2068278.89	1179708.33	2247670.86	2126426.15	1751305.3	2375828.71	2111737.85	1739208.14	1997825.68	1984025.69	1997825.68	1984025.69	1355129.16	2986448.72	2025714.3	136637.07	2425749.94	1929772.37	1943195.01	1727194.55	2636147.11	2263304.65	1775752.63	2111737.85	1800541.22	3178687.03	3886391.01	1622738.51	2263304.65	2672946.37	1514068.5	1864037.21	1482909.4
TIE1	123.5	97.36	135.24	100.13	157.68	167.9	87.03	102.97	94.67	175.07	185.11	24.63	0.0	1135.2	1104.13	366.09	400.71	941.27	381.68	463.65	414.87	397.93	242.88	759.08	309.83	423.61	500.46	723.08	674.59	327.56	638.15	1605.83	486.75	327.56	466.88	688.78	480.04	327.56	301.33	909.17	476.71	583.07	387.02	295.11	389.72	486.75	339.14	351.14	363.56
TMCC2	4.74	2.61	6.31	7.4	2.61	9.63	1.87	5.15	1.85	2.76	2.76	8.99	0.0	144.01	123.5	144.01	47.5	89.51	16.88	50.63	46.5	65.72	85.82	36.53	44.89	64.8	43.32	75.64	76.71	19.68	77.25	124.37	49.91	38.4	34.02	55.49	76.71	60.82	43.02	34.02	76.17	53.57	34.02	48.87	54.33	69.03	58.3	53.19	77.25
TNK1	86.43	93.35	101.54	106.63	65.72	82.29	23.25	50.98	57.08	24.99	63.89	85.82	0.0	232.94	244.57	226.54	194.36	172.65	169.07	251.48	223.41	99.43	118.43	251.48	220.32	201.25	229.72	237.86	303.44	214.27	255.0	258.57	212.78	202.66	186.4	204.07	191.67	307.69	217.27	279.14	249.73	212.78	229.72	299.25	183.82	229.72	201.25	191.67	152.28
TSPAN15	77.79	36.01	64.8	66.65	98.73	85.22	35.5	100.83	53.95	23.42	51.35	19.25	0.0	1001.93	595.34	633.73	796.86	947.83	267.73	500.46	334.46	397.93	218.79	314.17	341.51	514.56	332.14	536.45	612.11	295.11	447.82	409.15	476.71	323.03	358.54	176.29	379.04	406.31	246.28	277.2	128.79	255.0	190.34	327.56	358.54	209.84	146.03	620.67	780.44
TSPAN18	38.12	13.42	43.02	18.03	52.45	69.03	32.36	32.82	71.0	69.52	41.22	20.41	194.36	536.45	348.71	371.22	358.54	830.75	104.42	246.28	269.6	232.94	62.56	157.68	351.14	239.52	325.29	463.65	748.61	92.7	1225.22	1857.6	551.56	316.37	412.0	189.02	141.02	169.07	120.94	88.88	116.78	70.01	135.24	309.83	281.09	138.1	171.45	341.51	483.38
VASH1	34.26	13.72	40.64	18.16	36.79	45.21	18.43	28.65	31.9	40.36	44.57	6.57	0.0	258.57	368.65	199.85	87.65	187.71	77.25	112.77	92.7	89.51	45.53	102.97	84.04	115.97	85.22	119.26	309.83	92.7	194.36	397.93	108.14	72.01	201.25	88.26	45.21	224.97	65.72	50.63	86.43	47.5	73.03	50.98	115.16	49.21	47.17	132.44	251.48
XXYLT1	36.79	15.68	20.11	17.25	24.81	22.26	14.67	32.13	17.9	38.67	30.56	14.67	176.29	189.02	191.67	221.86	208.38	234.57	183.82	139.07	205.5	190.34	65.26	106.63	173.85	190.34	171.45	172.65	220.32	90.77	180.02	307.69	161.02	202.66	137.14	150.17	117.6	167.9	131.51	105.15	153.34	90.14	119.26	195.72	176.29	100.13	157.68	187.71	201.25
ZBTB12	12.09	8.85	22.1	8.0	7.17	13.52	11.47	17.64	21.47	2.32	12.45	3.41	0.0	124.37	130.6	126.12	102.25	117.6	46.18	98.73	101.54	127.0	101.54	108.14	96.68	100.83	78.34	96.01	121.79	45.85	162.14	135.24	107.38	88.88	58.71	65.26	81.14	111.99	90.14	54.33	107.38	56.28	66.65	85.82	117.6	65.26	35.25	119.26	133.36
ZNF341	28.24	19.82	20.41	19.39	17.51	35.76	19.39	38.4	17.9	23.08	25.17	21.63	0.0	119.26	105.15	83.45	42.41	64.34	45.85	48.87	73.03	63.89	24.63	77.25	57.89	73.03	48.87	67.59	84.63	43.94	76.71	78.89	68.55	43.02	68.55	49.21	58.3	67.12	47.5	42.41	60.82	53.57	42.71	46.84	50.63	55.89	37.85	73.03	82.29
ZNF423	9.13	4.98	5.28	2.18	5.92	7.11	2.43	5.41	3.96	9.85	2.43	28.45	0.0	164.42	136.19	161.02	95.34	190.34	57.89	68.07	98.04	113.56	16.63	69.52	90.77	115.97	71.0	181.28	100.83	66.18	129.69	87.65	62.12	120.94	58.71	70.51	36.01	46.5	37.85	89.51	28.65	42.71	27.05	63.45	78.89	30.34	11.91	93.35	100.13
ZNF521	8.38	6.62	4.94	16.75	8.06	10.39	1.17	18.16	8.58	7.82	3.0	1.5	0.0	146.03	121.79	256.78	144.01	281.09	45.53	83.45	180.02	201.25	5.68	181.28	180.02	258.57	142.01	329.84	173.85	85.22	223.41	273.37	191.67	202.66	33.3	87.65	49.21	128.79	140.04	84.63	69.03	99.43	90.14	82.87	97.36	63.89	75.11	120.94	113.56
ZNF71	7.82	5.59	10.16	6.31	24.99	17.64	27.64	4.82	8.58	6.36	1.33	7.17	0.0	80.01	111.21	82.87	90.14	116.78	85.22	49.56	93.35	73.03	45.53	59.55	68.07	68.07	69.03	82.87	82.87	58.71	77.79	115.97	33.3	61.25	60.82	63.0	59.13	71.0	87.65	66.18	66.65	53.19	71.5	64.34	59.97	77.79	64.34	70.01	76.71
