	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A3PR.01A.11R.A220.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.EL.A3ZK.11A.11R.A23N.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.BJ.A2N9.11A.11R.A18C.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.13FXS.0726.SM.5LZXJ	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13VXU.0826.SM.5KLZ2
NCF1	2133.97	2163.77	309.83	336.79	224.97	575.03	915.51	368.65	759.08	441.64	607.87	271.48	273.37	708.18	444.72	409.15	251.48	447.82	126.12	890.44	115.97	125.24	59.97	128.79	42.41	64.8	1286.18	20.41	111.21	7.11	45.85	49.91	193.01	961.07	57.89	241.19	241.19	75.64	205.5	29.91	65.72	39.5	115.16	29.27	16.88	1.08	27.25	18.56	429.54	30.56	64.8	171.45	30.34
NCKAP1L	1457.23	1583.71	217.27	323.03	267.73	384.34	575.03	265.87	651.58	258.57	638.15	318.57	229.72	432.53	444.72	277.2	256.78	351.14	80.57	503.95	36.01	125.24	22.26	29.7	18.97	59.55	480.04	21.78	111.99	52.45	30.56	66.65	59.13	463.65	43.32	83.45	118.43	27.25	146.03	27.84	39.79	12.93	54.72	67.12	18.03	5.63	5.73	11.38	206.94	19.11	84.63	62.12	27.25
NCR3	323.03	470.14	38.12	115.97	38.12	61.68	187.71	42.41	163.28	34.26	125.24	38.67	52.08	109.66	85.82	56.68	24.28	102.25	55.1	69.52	4.62	17.25	4.54	34.26	15.56	7.69	183.82	16.88	0.0	0.0	12.83	0.0	16.75	87.65	28.45	29.7	44.25	0.0	6.84	6.73	9.56	0.0	4.66	8.71	4.28	3.66	10.39	4.39	17.64	14.67	2.81	3.89	4.06
NLRP6	17.0	23.42	11.21	4.31	6.52	7.88	18.84	6.57	17.13	7.0	14.45	5.41	3.89	23.59	19.68	22.59	7.17	16.03	0.41	2.89	2.48	1.75	2.94	3.17	2.51	0.0	5.41	0.0	2.48	2.46	1.77	3.14	3.82	9.56	2.14	1.95	0.15	0.4	7.51	0.75	3.03	0.41	1.46	2.56	8.0	0.4	0.88	0.0	4.28	0.0	6.21	3.03	0.13
PARVG	1757.34	3081.75	529.06	713.11	438.59	808.0	1551.09	521.76	974.5	575.03	1477.58	518.15	339.14	1044.52	708.18	703.28	363.56	775.05	136.19	1540.37	67.12	190.34	102.25	72.01	29.7	81.71	1350.18	84.04	100.83	69.03	55.89	38.95	314.17	1225.22	108.14	248.0	178.77	100.13	119.26	48.87	73.03	31.45	129.69	109.66	41.52	21.94	9.13	34.26	237.86	35.0	97.36	102.97	38.4
PIK3AP1	1096.5	1037.29	135.24	194.36	173.85	182.55	316.37	132.44	417.77	150.17	299.25	223.41	171.45	291.04	232.94	165.57	171.45	185.11	115.16	226.54	69.52	92.7	106.63	96.68	32.13	51.71	327.56	87.03	120.94	96.68	84.63	105.15	92.7	154.42	71.0	58.71	208.38	56.68	218.79	81.14	158.79	51.71	113.56	97.36	51.71	115.97	85.22	101.54	173.85	72.01	206.94	66.65	59.97
PLAC8	1540.37	3081.75	182.55	583.07	171.45	293.07	612.11	198.47	633.73	173.85	813.63	226.54	236.21	343.89	373.81	332.14	173.85	457.25	105.15	339.14	14.67	2.89	35.76	45.53	105.89	56.68	591.22	9.27	14.67	21.32	16.27	15.56	50.98	400.71	49.91	89.51	55.1	113.56	29.7	26.28	74.58	4.9	24.81	54.72	31.45	28.04	5.36	7.88	135.24	56.28	13.42	36.27	53.95
PTPRCAP	5672.41	5329.3	921.88	1397.83	915.51	1819.35	3467.27	947.83	2209.26	808.0	1832.01	1259.69	1066.48	2895.31	1757.34	1331.57	718.08	2271.4	356.05	1909.85	195.72	234.57	92.7	206.94	36.27	103.69	2627.46	170.25	103.69	166.73	211.31	87.65	848.22	1477.58	361.04	480.04	417.77	244.57	110.43	379.04	137.14	132.44	265.87	463.65	195.72	127.0	353.59	206.94	303.44	264.03	94.67	140.04	135.24
PVRIG	665.29	1008.9	117.6	208.38	72.01	212.78	366.09	120.94	253.23	90.77	256.78	197.09	162.14	297.17	251.48	125.24	85.82	287.01	18.7	135.24	10.08	16.63	100.83	19.25	30.56	19.68	392.44	23.08	34.26	78.89	24.46	9.63	26.67	262.2	7.22	14.35	54.33	0.0	10.79	18.16	1.48	12.74	27.25	19.25	5.23	8.71	4.31	8.13	34.75	1.5	83.45	41.52	28.65
RAB33A	214.27	223.41	27.44	48.87	44.89	62.12	114.36	35.25	83.45	31.9	82.87	47.5	48.87	77.25	108.9	32.82	27.05	46.18	21.32	17.38	2.12	12.09	12.64	6.57	6.11	27.25	32.59	10.79	5.77	2.66	10.79	6.11	6.21	23.93	11.91	29.7	15.56	0.77	10.96	5.11	2.43	4.28	16.27	16.75	3.76	1.57	2.78	5.87	11.64	3.35	7.75	38.95	8.19
RAC2	8840.04	11112.3	1322.37	1561.89	988.12	1991.0	3419.52	1457.23	2627.46	848.22	2591.27	1259.69	1216.75	2502.97	1639.59	1199.98	808.0	1963.57	503.95	3325.99	81.71	221.86	54.72	165.57	26.1	190.34	8658.09	26.47	154.42	104.42	105.89	68.07	490.14	4010.71	211.31	551.56	995.0	172.65	271.48	113.56	208.38	74.06	297.17	258.57	53.57	17.64	45.21	35.76	718.08	84.63	285.03	432.53	74.06
RCSD1	1685.71	2004.85	293.07	379.04	327.56	395.18	612.11	320.8	638.15	289.02	759.08	457.25	287.01	579.04	780.44	420.68	279.14	441.64	281.09	281.09	134.3	125.24	297.17	163.28	27.25	169.07	323.03	85.82	153.34	151.22	85.22	217.27	185.11	318.57	55.1	153.34	244.57	130.6	171.45	101.54	155.5	40.64	96.01	237.86	54.33	43.02	96.01	62.56	234.57	102.25	97.36	74.58	156.59
RGL4	206.94	334.46	28.04	65.26	33.3	66.65	104.42	57.89	82.29	43.02	93.35	49.21	61.25	89.51	63.89	49.91	35.5	121.79	4.66	45.85	12.55	6.16	8.92	7.57	9.93	17.9	76.71	3.76	28.86	14.89	21.94	7.4	39.22	85.22	43.63	44.25	9.85	6.06	12.18	7.69	20.11	5.87	11.91	13.03	13.93	2.25	0.44	14.03	37.59	25.72	29.48	70.01	9.85
RHOH	2502.97	2645.74	277.2	293.07	157.68	332.14	718.08	226.54	624.99	126.12	607.87	316.37	251.48	642.59	547.75	339.14	189.02	412.0	100.83	872.1	32.36	90.14	29.7	4.9	8.85	20.11	543.96	14.24	15.34	52.08	4.03	33.78	122.64	848.22	32.59	56.28	164.42	31.9	78.89	8.19	35.5	5.59	59.55	40.93	69.52	8.92	16.15	5.92	127.89	30.12	18.84	60.82	10.55
RUNX3	1051.79	1088.92	110.43	181.28	81.71	177.53	318.57	127.0	307.69	126.12	403.5	178.77	151.22	307.69	229.72	209.84	119.26	234.57	46.18	178.77	17.64	36.01	23.76	50.98	82.87	28.04	438.59	9.7	16.39	35.25	26.67	15.11	67.59	309.83	68.07	155.5	98.04	44.25	53.95	7.51	43.94	14.89	25.17	65.72	28.45	11.21	9.63	19.39	63.0	14.14	22.26	64.8	26.86
S1PR4	647.07	748.61	141.02	191.67	130.6	264.03	392.44	155.5	275.28	124.37	279.14	194.36	155.5	366.09	303.44	165.57	117.6	258.57	30.12	175.07	64.8	59.55	17.9	23.59	41.81	32.13	285.03	54.33	115.16	20.26	37.59	36.27	55.49	275.28	55.1	53.57	49.56	41.81	58.3	47.84	44.25	43.02	41.22	94.01	46.84	66.65	70.51	43.02	152.28	166.73	38.95	23.59	29.91
SASH3	3325.99	3039.3	295.11	525.39	275.28	624.99	1151.06	406.31	928.3	353.59	1073.91	525.39	480.04	954.43	660.68	470.14	327.56	679.29	88.88	967.76	60.39	67.12	59.55	41.22	29.7	64.34	1498.22	45.53	72.01	58.71	144.01	58.3	127.89	1313.23	42.41	78.34	279.14	62.56	153.34	42.41	55.49	15.68	90.14	94.67	32.59	11.3	29.91	17.0	343.89	48.52	106.63	105.15	25.91
SELL	4481.23	8363.13	316.37	674.59	351.14	603.67	884.29	403.5	1127.35	236.21	1208.34	457.25	336.79	896.64	842.36	656.11	277.2	775.05	221.86	599.49	39.79	44.57	74.58	67.12	19.39	64.34	1044.52	52.82	37.05	30.12	111.21	30.12	75.11	909.17	82.87	205.5	209.84	102.97	147.06	64.8	98.04	42.41	73.03	70.01	28.04	18.56	15.34	68.07	381.68	30.12	69.52	177.53	45.21
SEMA7A	866.07	497.0	91.41	301.33	84.63	191.67	503.95	138.1	287.01	96.68	248.0	124.37	131.51	314.17	155.5	143.01	78.34	166.73	66.18	126.12	12.64	14.03	8.45	26.1	9.48	50.98	248.0	14.89	8.45	11.91	17.51	16.39	48.87	191.67	4.24	39.22	75.64	10.0	18.97	10.79	19.53	2.29	27.44	14.56	13.52	6.11	7.34	5.87	32.82	8.06	9.13	15.0	12.93
SLCO5A1	25.54	25.72	4.86	5.32	3.47	7.11	9.27	6.36	16.88	2.76	12.64	6.57	3.86	10.47	10.47	6.78	3.99	6.16	1.73	13.52	0.82	0.83	2.14	0.38	0.0	0.78	12.45	3.17	0.0	1.25	0.0	4.43	0.83	9.41	0.38	1.25	1.3	2.2	1.31	0.43	0.39	0.83	4.21	0.84	2.27	0.0	2.05	0.41	0.83	0.39	1.31	1.17	0.0
SNX20	728.11	961.07	73.03	150.17	87.03	177.53	303.44	124.37	262.2	99.43	262.2	138.1	113.56	242.88	155.5	131.51	78.89	199.85	24.99	312.0	20.26	38.12	6.94	6.46	4.35	9.48	389.72	8.06	19.11	13.52	22.43	14.14	47.5	571.05	11.47	32.59	75.64	7.63	37.85	9.93	18.7	4.58	27.64	35.0	15.68	4.9	12.18	4.9	88.88	22.75	31.22	17.38	4.39
SPIC	17.64	19.68	2.43	6.41	3.17	5.45	4.54	3.59	5.41	0.93	11.55	6.73	4.24	3.66	9.34	4.78	3.29	2.58	0.0	6.46	0.0	3.63	0.0	0.0	0.0	0.0	9.56	0.0	0.0	0.0	0.0	0.0	0.0	6.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58	0.0	0.0	0.0	0.0
SPN	988.12	928.3	114.36	155.5	98.04	175.07	285.03	152.28	281.09	134.3	312.0	206.94	123.5	211.31	218.79	156.59	109.66	194.36	70.01	193.01	20.56	35.76	12.27	27.25	11.73	30.56	329.84	23.08	28.86	23.93	31.22	7.88	40.07	409.15	21.32	53.57	103.69	18.84	29.06	13.12	15.56	7.57	27.64	38.4	12.0	2.18	8.25	2.78	111.99	18.7	16.15	25.17	14.45
TACC3	1015.93	1286.18	251.48	220.32	215.77	381.68	703.28	242.88	633.73	234.57	470.14	231.32	223.41	420.68	397.93	356.05	208.38	291.04	97.36	486.75	105.89	167.9	105.89	82.87	22.59	94.67	397.93	98.73	153.34	147.06	127.89	118.43	220.32	450.94	82.87	135.24	228.13	140.04	159.9	183.82	94.01	85.22	149.12	113.56	53.57	63.89	104.42	114.36	158.79	83.45	183.82	111.21	73.54
TCL1B	40.07	22.75	0.15	4.21	0.16	17.38	17.13	5.5	10.63	0.21	16.03	2.92	2.32	8.65	16.51	0.0	0.21	2.86	2.63	5.32	0.0	0.0	5.41	0.0	0.0	0.0	12.27	0.0	0.0	0.0	0.0	0.0	0.0	15.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG	34.75	90.77	355624.68	434801.29	450134.56	546551.29	131982.68	614902.29	711250.37	663619.99	370726.6	636586.81	857631.47	475800.4	645473.24	794671.01	772940.66	731246.37	2068278.89	828417.36	2247670.86	2126426.15	1751305.3	2375828.71	2111737.85	1611529.43	386469.83	1634025.56	1838374.44	1997825.68	1984025.69	1997825.68	1984025.69	1355129.16	2986448.72	1567462.05	2025714.3	2425749.94	1929772.37	1943195.01	1727194.55	2636147.11	2263304.65	1775752.63	2111737.85	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	2263304.65	2672946.37	1634025.56
VAV1	961.07	1286.18	151.22	228.13	151.22	307.69	540.19	221.86	387.02	166.73	470.14	201.25	167.9	361.04	265.87	212.78	149.12	291.04	38.12	363.56	38.4	47.5	14.78	26.1	9.27	45.53	473.41	10.71	52.08	31.9	47.84	31.67	64.8	403.5	44.57	96.01	100.83	24.63	100.13	19.53	17.13	12.27	85.22	58.71	20.41	3.44	19.11	8.25	138.1	12.64	53.57	35.5	10.47
WAS	1844.76	2384.37	351.14	450.94	297.17	583.07	1015.93	429.54	854.13	295.11	928.3	409.15	348.71	718.08	547.75	395.18	289.02	629.35	80.01	764.36	54.33	81.14	67.59	50.27	33.3	43.32	785.88	22.1	95.34	88.88	98.73	80.01	198.47	854.13	90.77	127.89	209.84	56.68	181.28	58.3	75.64	24.81	109.66	117.6	45.85	16.88	22.1	21.16	264.03	31.22	137.14	65.26	22.75
XCR1	44.89	58.3	16.03	18.84	14.03	15.22	28.45	8.78	40.93	14.45	59.97	19.25	14.24	24.28	33.06	28.04	17.77	21.01	1.5	0.89	2.73	3.5	0.91	2.05	0.37	3.26	7.51	0.92	4.17	0.39	2.18	1.57	2.14	19.53	0.0	2.07	32.36	2.76	2.2	0.0	0.93	2.14	3.44	10.31	2.18	0.4	0.87	0.43	6.57	2.14	0.0	0.0	0.39
ZBTB32	88.26	95.34	29.06	30.12	18.03	35.0	106.63	23.08	43.94	29.27	51.71	21.32	25.17	67.12	31.67	32.36	29.48	53.57	11.04	34.02	15.68	22.75	12.18	10.16	17.0	19.97	52.08	9.27	12.18	8.25	1.13	13.72	31.9	41.52	19.25	21.16	7.51	17.25	8.78	1.25	10.79	3.2	6.73	11.91	9.34	4.78	0.77	6.26	18.56	17.51	19.25	20.41	13.62
ZNF101	775.05	1135.2	173.85	271.48	234.57	279.14	406.31	232.94	387.02	191.67	460.44	351.14	269.6	376.41	429.54	251.48	241.19	283.05	144.01	262.2	133.36	201.25	95.34	100.83	123.5	153.34	220.32	198.47	89.51	127.0	126.12	180.02	171.45	201.25	153.34	100.13	194.36	111.21	132.44	148.09	130.6	197.09	169.07	107.38	157.68	113.56	140.04	186.4	148.09	162.14	148.09	206.94	87.65
