	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.GC.A3RC.01A.11R.A22U.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CN.6992.01A.11R.1915.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CR.7388.01A.11R.2016.07	TCGA.BA.6870.01A.11R.1873.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.T2.A6WX.01A.12R.A34R.07	TCGA.CR.7368.01A.11R.2132.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.7582.01A.11R.2045.07
FAM63B	85.82	70.01	37.05	109.66	72.52	83.45	49.91	77.25	102.25	43.63	57.08	87.65	99.43	40.36	136.19	102.25	155.5	92.7	111.21	111.21	244.57	193.01	65.72	108.14	72.52	96.68	120.1	137.14	82.29	154.42	71.0	90.14	94.67	141.02	132.44	88.88	68.07	138.1	139.07	123.5	102.25	65.72	178.77	30.56	105.15	176.29	96.68	109.66	51.71	102.25	60.82	127.89	49.21	49.21	136.19	52.82	56.68	62.56	215.77	100.83	71.5	125.24	62.12	43.32	72.01	123.5	176.29	99.43	37.59	89.51	67.59	115.97	129.69	138.1	42.11	35.5	73.03	127.89	149.12	169.07	41.52	189.02	82.29	14.89	13.83	109.66	157.68	148.09
FBXO11	387.02	423.61	353.59	373.81	587.13	432.53	273.37	493.56	409.15	351.14	291.04	599.49	679.29	409.15	500.46	665.29	802.41	1051.79	902.89	995.0	1037.29	718.08	591.22	423.61	684.02	642.59	703.28	647.07	457.25	460.44	497.0	616.37	547.75	753.83	651.58	603.67	387.02	629.35	633.73	441.64	854.13	559.28	802.41	529.06	532.74	872.1	703.28	543.96	483.38	647.07	450.94	819.3	540.19	476.71	708.18	229.72	457.25	620.67	718.08	656.11	503.95	493.56	612.11	397.93	500.46	543.96	1191.69	743.43	620.67	995.0	435.55	791.35	629.35	860.08	473.41	316.37	647.07	665.29	595.34	698.41	507.46	738.29	414.87	182.55	205.5	1001.93	896.64	1023.0
FBXO28	158.79	177.53	109.66	202.66	251.48	171.45	164.42	224.97	629.35	199.85	171.45	244.57	212.78	128.79	283.05	271.48	466.88	551.56	339.14	480.04	529.06	473.41	204.07	358.54	258.57	307.69	316.37	307.69	279.14	389.72	92.7	432.53	301.33	389.72	329.84	281.09	141.02	435.55	417.77	507.46	483.38	256.78	371.22	314.17	204.07	400.71	271.48	486.75	163.28	412.0	303.44	395.18	193.01	189.02	624.99	303.44	162.14	351.14	423.61	551.56	265.87	291.04	256.78	220.32	181.28	271.48	860.08	497.0	218.79	438.59	258.57	371.22	373.81	371.22	205.5	181.28	297.17	373.81	264.03	255.0	325.29	435.55	265.87	115.16	139.07	384.34	551.56	536.45
FECH	191.67	251.48	148.09	187.71	128.79	256.78	181.28	72.01	256.78	226.54	126.12	195.72	239.52	206.94	351.14	170.25	379.04	470.14	473.41	420.68	486.75	525.39	129.69	228.13	234.57	241.19	403.5	303.44	126.12	218.79	137.14	281.09	125.24	152.28	241.19	305.55	173.85	525.39	371.22	587.13	521.76	198.47	376.41	120.94	303.44	262.2	223.41	503.95	127.89	476.71	109.66	314.17	198.47	234.57	379.04	316.37	281.09	129.69	309.83	547.75	218.79	148.09	305.55	183.82	190.34	693.58	363.56	417.77	193.01	674.59	209.84	191.67	204.07	327.56	108.9	164.42	232.94	253.23	232.94	297.17	236.21	420.68	205.5	228.13	241.19	438.59	642.59	753.83
FGFR2	277.2	87.03	22.26	88.88	39.22	175.07	80.57	47.5	1242.34	101.54	130.6	110.43	3.38	70.01	90.14	110.43	460.44	878.17	1127.35	1008.9	1745.2	902.89	269.6	309.83	299.25	193.01	312.0	277.2	161.02	212.78	120.1	332.14	234.57	161.02	232.94	122.64	198.47	454.09	693.58	511.0	2351.53	246.28	417.77	58.3	173.85	122.64	403.5	198.47	88.26	1594.73	301.33	312.0	138.1	102.97	414.87	151.22	153.34	346.29	234.57	3124.78	277.2	232.94	236.21	98.04	67.12	249.73	759.08	1268.46	92.05	1277.29	178.77	2502.97	314.17	346.29	61.68	187.71	277.2	318.57	127.89	429.54	470.14	961.07	318.57	170.25	117.6	1015.93	718.08	518.15
GAREM	43.94	57.89	26.47	120.1	122.64	262.2	42.71	108.14	327.56	64.8	23.76	187.71	38.4	8.71	171.45	197.09	91.41	195.72	215.77	148.09	318.57	201.25	84.63	208.38	164.42	34.02	198.47	114.36	73.03	52.08	208.38	351.14	165.57	248.0	165.57	124.37	44.89	149.12	80.57	376.41	189.02	98.04	271.48	36.79	152.28	137.14	120.1	189.02	36.53	199.85	34.75	343.89	70.01	74.06	283.05	89.51	68.55	87.03	136.19	190.34	147.06	325.29	177.53	98.73	101.54	379.04	381.68	412.0	78.89	260.38	65.72	82.29	104.42	90.77	69.03	29.27	267.73	195.72	78.89	187.71	353.59	186.4	135.24	39.79	24.46	217.27	189.02	236.21
GMCL1	173.85	173.85	78.34	134.3	141.02	236.21	122.64	112.77	201.25	97.36	141.02	175.07	149.12	147.06	246.28	191.67	299.25	358.54	334.46	262.2	660.68	392.44	111.21	150.17	144.01	226.54	137.14	108.9	105.89	171.45	116.78	164.42	124.37	159.9	121.79	111.21	191.67	138.1	173.85	181.28	353.59	103.69	309.83	88.26	126.12	87.03	138.1	181.28	73.03	224.97	151.22	147.06	119.26	96.68	264.03	91.41	124.37	151.22	177.53	275.28	166.73	120.1	153.34	107.38	145.02	141.02	332.14	320.8	190.34	224.97	125.24	325.29	122.64	201.25	85.22	77.25	144.01	148.09	161.02	157.68	140.04	244.57	162.14	138.1	77.79	287.01	341.51	409.15
GPATCH8	123.5	89.51	127.0	180.02	127.89	299.25	120.1	92.7	164.42	127.89	153.34	209.84	209.84	124.37	215.77	201.25	563.18	629.35	633.73	595.34	429.54	473.41	138.1	228.13	256.78	309.83	202.66	249.73	187.71	279.14	199.85	258.57	237.86	187.71	218.79	312.0	181.28	279.14	237.86	234.57	463.65	202.66	295.11	202.66	178.77	228.13	206.94	281.09	132.44	432.53	142.01	368.65	158.79	149.12	409.15	255.0	177.53	221.86	341.51	397.93	232.94	348.71	206.94	231.32	186.4	312.0	813.63	325.29	191.67	409.15	136.19	363.56	291.04	307.69	193.01	136.19	198.47	358.54	246.28	271.48	181.28	299.25	183.82	68.07	49.91	387.02	447.82	486.75
GTPBP1	223.41	289.02	303.44	287.01	358.54	400.71	346.29	412.0	1250.98	473.41	281.09	587.13	463.65	258.57	599.49	463.65	813.63	941.27	1030.12	1119.56	629.35	1030.12	279.14	361.04	384.34	373.81	307.69	603.67	387.02	295.11	379.04	438.59	275.28	688.78	486.75	633.73	339.14	518.15	450.94	389.72	723.08	432.53	435.55	297.17	248.0	476.71	363.56	698.41	320.8	660.68	420.68	651.58	379.04	536.45	698.41	420.68	262.2	463.65	723.08	660.68	490.14	476.71	417.77	529.06	381.68	665.29	629.35	540.19	575.03	463.65	267.73	1313.23	525.39	423.61	214.27	356.05	599.49	409.15	389.72	348.71	334.46	595.34	366.09	221.86	115.16	1397.83	521.76	842.36
HEATR5B	88.26	78.89	42.71	87.03	94.01	82.29	59.55	85.22	198.47	57.89	101.54	101.54	125.24	52.08	149.12	121.79	256.78	318.57	267.73	190.34	289.02	264.03	87.03	120.1	186.4	129.69	130.6	169.07	106.63	114.36	105.15	177.53	103.69	161.02	140.04	148.09	142.01	126.12	131.51	154.42	229.72	87.65	181.28	50.98	151.22	149.12	154.42	144.01	74.06	228.13	117.6	181.28	99.43	81.14	215.77	71.0	71.5	127.89	190.34	136.19	126.12	144.01	156.59	104.42	98.73	143.01	320.8	265.87	78.34	224.97	47.17	176.29	117.6	162.14	86.43	51.35	118.43	148.09	140.04	134.3	94.67	260.38	121.79	31.0	36.27	246.28	229.72	301.33
HMGXB4	111.21	139.07	92.7	183.82	175.07	170.25	76.17	181.28	249.73	114.36	197.09	229.72	194.36	185.11	265.87	236.21	540.19	511.0	435.55	547.75	305.55	447.82	215.77	171.45	202.66	224.97	201.25	305.55	161.02	161.02	155.5	201.25	170.25	170.25	186.4	209.84	121.79	206.94	214.27	205.5	441.64	181.28	249.73	186.4	183.82	293.07	185.11	228.13	131.51	351.14	146.03	265.87	156.59	140.04	454.09	195.72	202.66	295.11	244.57	532.74	301.33	177.53	172.65	198.47	150.17	258.57	521.76	376.41	199.85	234.57	108.9	460.44	212.78	262.2	139.07	258.57	157.68	269.6	156.59	217.27	214.27	277.2	130.6	63.89	65.72	414.87	507.46	674.59
HPS4	191.67	320.8	275.28	301.33	264.03	182.55	144.01	291.04	791.35	329.84	264.03	450.94	441.64	307.69	493.56	389.72	748.61	1030.12	665.29	483.38	500.46	591.22	316.37	264.03	318.57	368.65	287.01	595.34	346.29	255.0	409.15	429.54	307.69	493.56	314.17	532.74	265.87	253.23	283.05	332.14	470.14	406.31	753.83	373.81	341.51	384.34	348.71	289.02	301.33	480.04	323.03	591.22	384.34	299.25	450.94	205.5	327.56	529.06	329.84	563.18	392.44	420.68	363.56	384.34	325.29	229.72	674.59	543.96	387.02	595.34	612.11	713.11	438.59	214.27	295.11	341.51	314.17	309.83	256.78	381.68	466.88	356.05	295.11	125.24	237.86	684.02	647.07	884.29
IREB2	135.24	277.2	115.97	187.71	218.79	217.27	90.77	114.36	258.57	77.79	214.27	232.94	305.55	85.82	379.04	264.03	384.34	511.0	473.41	358.54	693.58	429.54	173.85	221.86	273.37	343.89	271.48	325.29	164.42	279.14	212.78	358.54	172.65	255.0	303.44	244.57	131.51	454.09	231.32	334.46	490.14	220.32	329.84	144.01	170.25	348.71	246.28	409.15	149.12	423.61	171.45	525.39	136.19	159.9	356.05	96.68	152.28	180.02	412.0	540.19	249.73	287.01	262.2	116.78	217.27	279.14	429.54	866.07	143.01	400.71	202.66	314.17	236.21	329.84	151.22	199.85	218.79	429.54	232.94	327.56	171.45	457.25	194.36	72.52	74.06	351.14	480.04	575.03
IRF2BP2	1359.57	2061.24	743.43	1844.76	2384.37	2133.97	2417.67	1896.65	2061.24	1697.45	1378.57	2193.99	2485.67	1199.98	1806.78	1991.0	3928.15	4769.75	3039.3	6792.79	2148.82	4210.15	2163.77	1551.09	1963.57	1551.09	1427.22	1950.0	1697.45	1781.89	2434.5	2451.44	2075.59	2573.36	2573.36	2701.35	2682.69	2720.15	2047.0	2119.22	3395.89	2032.85	2148.82	2400.97	1963.57	3325.99	2119.22	1832.01	2163.77	3349.13	2032.85	2758.13	1477.58	1540.37	3614.55	2417.67	1216.75	1857.6	2271.4	3349.13	1628.26	2303.12	2400.97	2075.59	1477.58	3235.01	3540.14	3257.52	2997.45	3395.89	1769.57	2855.44	2193.99	2335.28	2224.63	1540.37	2701.35	2047.0	3081.75	2240.11	2520.38	2133.97	2335.28	1572.76	2609.3	3190.46	4419.52	3690.52
KAT6B	19.82	30.12	40.07	72.01	41.81	57.89	42.71	49.91	140.04	28.45	50.98	69.52	52.82	21.63	87.65	85.82	136.19	191.67	164.42	154.42	205.5	220.32	52.08	82.29	100.83	55.49	88.26	100.13	42.11	84.63	92.7	92.7	48.18	63.89	67.12	71.5	92.7	84.63	90.14	147.06	249.73	47.84	126.12	48.52	90.14	113.56	83.45	98.04	32.82	215.77	59.97	148.09	49.56	44.57	185.11	65.72	18.56	74.58	115.97	234.57	58.71	104.42	86.43	66.18	62.56	124.37	373.81	226.54	44.89	128.79	38.12	201.25	80.01	94.01	109.66	45.21	73.03	81.14	62.12	65.72	73.03	182.55	55.1	26.47	19.25	103.69	218.79	215.77
KIDINS220	139.07	195.72	120.94	223.41	189.02	285.03	116.78	145.02	379.04	139.07	181.28	223.41	202.66	171.45	334.46	256.78	1111.82	728.11	651.58	612.11	733.19	802.41	255.0	258.57	269.6	366.09	356.05	287.01	273.37	277.2	249.73	251.48	275.28	262.2	307.69	323.03	307.69	351.14	384.34	358.54	674.59	244.57	583.07	169.07	299.25	348.71	283.05	373.81	241.19	616.37	381.68	525.39	220.32	211.31	536.45	202.66	258.57	334.46	466.88	493.56	293.07	395.18	283.05	195.72	189.02	327.56	947.83	629.35	223.41	412.0	176.29	620.67	305.55	397.93	193.01	145.02	309.83	241.19	214.27	327.56	271.48	497.0	214.27	87.03	82.87	599.49	616.37	884.29
KLF11	158.79	88.88	70.01	148.09	244.57	239.52	131.51	128.79	351.14	80.57	206.94	242.88	165.57	120.94	387.02	205.5	497.0	432.53	480.04	218.79	161.02	414.87	132.44	100.13	115.97	119.26	214.27	106.63	125.24	312.0	185.11	143.01	73.54	63.89	127.0	119.26	94.01	206.94	156.59	217.27	490.14	171.45	186.4	113.56	187.71	209.84	112.77	124.37	106.63	329.84	182.55	262.2	72.52	108.9	525.39	155.5	59.13	93.35	291.04	198.47	97.36	187.71	119.26	151.22	126.12	144.01	595.34	265.87	162.14	236.21	147.06	279.14	108.14	138.1	91.41	57.49	170.25	220.32	170.25	125.24	57.49	236.21	111.99	102.25	59.97	237.86	318.57	239.52
KLHL11	4.39	3.26	4.94	9.27	12.64	21.01	2.36	9.13	12.83	3.35	6.62	15.45	13.93	4.1	24.28	9.34	68.55	120.1	109.66	78.34	85.82	97.36	5.19	31.9	24.99	38.4	21.94	27.84	16.27	42.71	12.36	23.93	23.25	19.53	7.63	10.31	11.82	66.18	42.11	76.71	49.91	10.0	74.58	27.44	11.55	18.16	14.24	56.68	4.86	75.11	3.72	53.19	4.9	7.69	75.11	27.44	18.7	20.56	52.08	133.36	37.59	29.91	15.68	17.77	2.76	40.64	187.71	69.03	16.75	103.69	4.13	62.12	29.7	32.36	6.46	12.64	25.72	22.26	14.03	30.34	21.01	61.68	8.65	0.0	1.14	66.18	66.65	69.52
KLHL13	0.91	9.7	18.43	9.93	35.5	32.36	30.12	47.17	1.91	47.5	10.08	34.75	2.05	91.41	72.01	50.27	166.73	248.0	148.09	264.03	389.72	244.57	47.84	30.34	74.06	98.04	30.12	45.85	45.85	84.04	38.4	51.35	75.11	24.99	100.83	31.9	55.1	74.58	79.45	73.54	351.14	37.85	130.6	85.82	59.97	46.18	75.11	52.82	84.04	180.02	109.66	63.45	45.85	77.79	119.26	145.02	75.64	56.68	93.35	291.04	114.36	129.69	102.97	35.76	18.29	92.7	312.0	241.19	66.65	208.38	43.94	351.14	107.38	107.38	40.64	63.45	77.25	195.72	81.14	137.14	155.5	109.66	19.68	6.46	10.71	206.94	151.22	291.04
KRT17	265802.39	307450.64	1151.06	331809.5	363097.14	331809.5	258533.99	450134.56	4953441.24	226632.25	318292.9	462789.59	350728.68	408505.64	341137.96	402881.61	204252.32	57051.4	146444.06	122293.5	129266.49	93325.55	408505.64	971597.0	542775.98	331809.5	485798.0	368165.8	589853.66	428815.23	453265.5	466008.55	716197.51	701458.36	593956.43	437825.58	428815.23	334117.42	368165.8	524287.0	241220.67	524287.0	348306.01	542775.98	336441.4	565825.41	645473.24	447025.24	513497.31	104996.83	294926.33	186652.11	373305.21	201440.3	122293.5	425853.18	299043.36	327241.36	397335.0	405683.88	546551.29	632189.57	334117.42	271387.49	273275.14	485798.0	57448.23	87681.42	405683.88	443937.41	309589.14	236256.4	350728.68	425853.18	585779.24	400098.69	912837.43	417089.23	546551.29	475800.4	338781.54	271387.49	506427.83	13.52	17.9	116501.39	77934.88	134755.94
LRRC8B	43.94	115.97	16.63	36.53	15.22	70.51	49.56	59.55	98.04	40.64	46.5	57.08	73.54	25.54	140.04	68.55	299.25	251.48	119.26	144.01	142.01	231.32	72.01	105.15	143.01	100.83	122.64	88.26	85.22	80.57	55.1	158.79	144.01	165.57	76.71	47.84	62.12	177.53	145.02	212.78	182.55	79.45	144.01	31.45	37.59	147.06	105.89	118.43	77.79	214.27	32.36	194.36	48.52	23.42	379.04	146.03	66.18	156.59	164.42	187.71	164.42	76.17	123.5	57.08	29.06	78.89	366.09	426.57	50.98	164.42	29.91	173.85	102.25	159.9	49.56	25.54	205.5	81.14	80.57	115.16	75.11	265.87	86.43	6.94	33.06	241.19	287.01	281.09
MAP4K3	145.02	154.42	56.28	161.02	142.01	142.01	91.41	148.09	88.26	93.35	194.36	180.02	218.79	161.02	246.28	226.54	265.87	291.04	271.48	348.71	412.0	376.41	157.68	157.68	155.5	267.73	176.29	175.07	131.51	194.36	154.42	155.5	171.45	175.07	178.77	197.09	175.07	167.9	169.07	163.28	423.61	136.19	253.23	159.9	159.9	199.85	175.07	190.34	131.51	279.14	177.53	275.28	139.07	141.02	224.97	88.26	100.13	194.36	214.27	228.13	173.85	152.28	146.03	133.36	141.02	228.13	603.67	348.71	237.86	486.75	106.63	269.6	177.53	237.86	130.6	120.1	139.07	218.79	161.02	205.5	127.0	249.73	145.02	140.04	82.87	454.09	395.18	612.11
MED13L	145.02	129.69	209.84	229.72	156.59	249.73	132.44	171.45	231.32	100.13	103.69	239.52	186.4	155.5	231.32	249.73	660.68	1135.2	529.06	540.19	403.5	698.41	205.5	260.38	341.51	307.69	356.05	381.68	191.67	320.8	139.07	346.29	287.01	246.28	343.89	368.65	234.57	551.56	361.04	414.87	514.56	269.6	483.38	241.19	229.72	395.18	293.07	318.57	195.72	555.41	137.14	473.41	187.71	153.34	642.59	318.57	323.03	392.44	591.22	563.18	381.68	403.5	218.79	199.85	164.42	540.19	1457.23	551.56	226.54	299.25	148.09	400.71	293.07	353.59	134.3	154.42	356.05	460.44	236.21	454.09	262.2	486.75	167.9	48.18	51.71	493.56	595.34	656.11
MFSD6	237.86	457.25	57.49	314.17	102.25	412.0	265.87	175.07	2224.63	204.07	215.77	214.27	173.85	232.94	599.49	226.54	1119.56	921.88	698.41	703.28	656.11	1286.18	180.02	698.41	595.34	412.0	389.72	599.49	334.46	336.79	447.82	941.27	529.06	967.76	540.19	363.56	518.15	624.99	599.49	1073.91	698.41	450.94	808.0	113.56	293.07	764.36	603.67	583.07	269.6	791.35	256.78	1199.98	269.6	346.29	866.07	457.25	260.38	647.07	599.49	866.07	616.37	305.55	540.19	312.0	305.55	934.76	1697.45	1407.55	373.81	2303.12	180.02	961.07	429.54	642.59	420.68	104.42	713.11	532.74	414.87	256.78	638.15	1088.92	703.28	64.34	32.82	748.61	1111.82	941.27
MKL2	32.36	45.53	22.43	40.64	85.22	201.25	15.22	30.56	71.5	34.51	76.71	90.14	143.01	48.87	185.11	90.14	211.31	417.77	307.69	273.37	244.57	656.11	77.79	141.02	120.1	150.17	165.57	169.07	84.63	190.34	93.35	180.02	140.04	80.57	106.63	135.24	107.38	438.59	220.32	314.17	231.32	100.83	275.28	78.34	77.25	163.28	112.77	208.38	50.63	376.41	88.88	285.03	60.82	55.1	358.54	112.77	98.04	114.36	271.48	221.86	229.72	140.04	107.38	96.68	71.5	173.85	532.74	447.82	108.14	120.94	75.64	206.94	126.12	148.09	88.88	85.82	125.24	125.24	111.99	165.57	122.64	423.61	71.5	28.45	11.3	283.05	307.69	271.48
MLLT4	183.82	158.79	99.43	189.02	400.71	480.04	231.32	473.41	8191.0	325.29	432.53	656.11	532.74	173.85	595.34	583.07	1397.83	1583.71	728.11	1388.16	1233.75	1322.37	503.95	1508.65	1331.57	1081.39	915.51	1508.65	551.56	988.12	287.01	1561.89	1066.48	1844.76	842.36	808.0	305.55	1143.1	1015.93	1073.91	961.07	961.07	909.17	656.11	529.06	713.11	1697.45	890.44	420.68	1030.12	480.04	1447.15	454.09	400.71	1304.15	872.1	379.04	1111.82	2004.85	555.41	1183.45	684.02	1208.34	417.77	351.14	703.28	1561.89	1340.84	693.58	674.59	457.25	656.11	1135.2	1199.98	559.28	389.72	1088.92	1008.9	890.44	1313.23	325.29	1977.24	791.35	400.71	384.34	2018.8	934.76	703.28
MTMR3	125.24	181.28	156.59	217.27	166.73	242.88	117.6	220.32	866.07	190.34	102.97	269.6	267.73	132.44	376.41	258.57	909.17	738.29	656.11	591.22	395.18	656.11	248.0	312.0	346.29	244.57	297.17	414.87	215.77	167.9	195.72	389.72	293.07	733.19	221.86	291.04	277.2	400.71	289.02	423.61	450.94	251.48	587.13	187.71	314.17	435.55	334.46	295.11	170.25	497.0	223.41	483.38	212.78	206.94	612.11	195.72	147.06	454.09	518.15	476.71	363.56	361.04	343.89	248.0	158.79	323.03	738.29	384.34	256.78	473.41	392.44	616.37	327.56	255.0	198.47	169.07	368.65	336.79	223.41	309.83	301.33	457.25	256.78	117.6	131.51	819.3	591.22	808.0
NCKAP1	563.18	995.0	376.41	967.76	1066.48	1127.35	325.29	836.53	1936.53	656.11	890.44	1096.5	954.43	733.19	1508.65	1175.27	2935.74	2520.38	2133.97	1697.45	1628.26	1896.65	665.29	1733.13	1447.15	1733.13	1721.16	1769.57	1467.37	1977.24	1225.22	1561.89	1427.22	1477.58	1340.84	1628.26	808.0	2047.0	1397.83	1909.85	2591.27	1143.1	1745.2	1008.9	1135.2	1950.0	1519.15	1572.76	813.63	2061.24	1313.23	2816.11	1135.2	878.17	2178.83	1359.57	1295.13	1819.35	1651.0	2417.67	1781.89	1819.35	1529.73	854.13	941.27	1781.89	4481.23	2935.74	808.0	7589.61	1044.52	1769.57	1417.35	1963.57	1447.15	1044.52	1662.49	1844.76	1313.23	1331.57	1594.73	1909.85	1259.69	320.8	291.04	1561.89	2537.92	3325.99
NCR3LG1	3.17	0.34	1.73	3.5	1.46	13.42	1.35	0.32	12.0	1.75	1.01	2.78	1.0	1.41	6.11	4.39	38.67	65.72	21.16	20.11	241.19	65.72	4.66	5.02	2.78	2.36	1.01	17.9	1.77	7.4	3.44	50.98	5.23	6.41	14.35	16.03	3.53	13.32	2.68	19.53	22.92	1.0	6.62	0.53	3.53	8.99	8.0	3.44	3.59	17.25	1.85	50.98	1.6	1.58	30.34	27.84	5.28	2.48	26.1	19.53	4.13	8.78	3.82	2.29	1.89	2.51	31.22	20.56	3.11	49.56	3.96	15.0	5.36	14.24	1.36	2.46	3.29	11.47	5.11	3.53	5.02	13.62	4.21	1.01	2.2	37.32	31.45	25.54
NDRG4	20.41	34.02	441.64	1023.0	49.21	115.97	38.4	90.77	4639.29	58.71	27.05	58.71	37.05	12.55	295.11	44.57	1519.15	490.14	1427.22	1359.57	665.29	575.03	669.92	297.17	1639.59	137.14	40.64	476.71	161.02	47.17	583.07	1794.29	1295.13	1794.29	54.33	113.56	85.82	256.78	58.71	486.75	2090.03	343.89	2720.15	151.22	107.38	293.07	161.02	78.34	63.45	1498.22	104.42	693.58	40.07	77.79	209.84	24.81	121.79	1059.11	258.57	813.63	647.07	113.56	830.75	71.5	25.17	181.28	2271.4	358.54	92.7	1508.65	236.21	571.05	58.3	457.25	769.69	417.77	1167.14	60.39	64.8	878.17	1023.0	255.0	775.05	11.04	4.39	825.0	1268.46	2701.35
NFAT5	19.53	16.27	12.27	68.07	22.1	47.17	10.47	68.07	249.73	29.48	28.04	48.52	79.45	29.7	173.85	59.13	271.48	363.56	291.04	325.29	136.19	191.67	62.56	106.63	158.79	111.99	114.36	183.82	53.19	113.56	61.25	147.06	162.14	161.02	112.77	146.03	138.1	140.04	93.35	149.12	102.97	67.59	265.87	49.56	60.82	115.16	120.1	132.44	34.02	223.41	35.0	241.19	52.08	33.3	134.3	81.14	100.83	100.83	260.38	111.21	143.01	136.19	91.41	52.82	42.41	136.19	624.99	223.41	29.06	144.01	34.51	96.01	96.01	163.28	64.8	40.36	123.5	94.67	72.52	121.79	63.89	209.84	42.71	3.66	18.97	144.01	131.51	156.59
PARD3	1059.11	780.44	301.33	447.82	426.57	555.41	325.29	368.65	4358.66	299.25	309.83	785.88	507.46	277.2	656.11	896.64	1757.34	1519.15	2163.77	2485.67	1685.71	1447.15	708.18	1030.12	647.07	529.06	902.89	665.29	483.38	808.0	791.35	848.22	616.37	836.53	878.17	713.11	441.64	684.02	665.29	1081.39	2591.27	791.35	981.29	397.93	825.0	1806.78	733.19	819.3	555.41	1127.35	142.01	802.41	540.19	450.94	1225.22	688.78	555.41	1350.18	941.27	1183.45	728.11	981.29	1242.34	665.29	759.08	866.07	2335.28	1733.13	525.39	902.89	438.59	2645.74	723.08	967.76	575.03	595.34	1350.18	723.08	688.78	688.78	890.44	995.0	753.83	395.18	507.46	1250.98	890.44	1529.73
