	TCGA.BH.A204.11A.53R.A157.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.11ZTT.2326.SM.5EQLG	GTEX.ZQG8.0726.SM.5P9H9	TCGA.AK.3447.01A.01R.1766.07	TCGA.49.4490.11A.01R.1858.07	TCGA.77.7335.11A.01R.2045.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.KK.A7B1.01A.11R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.KC.A4BL.01A.31R.A250.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.VN.A88Q.01A.11R.A352.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.YF7O.1926.SM.4W1YQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.11P82.1126.SM.5BC5K	GTEX.11NSD.0826.SM.5986S	GTEX.REY6.2126.SM.48FD9	GTEX.144GM.0826.SM.5O98R	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD
GFOD2	376.41	265.87	220.32	229.72	255.0	295.11	309.83	316.37	226.54	279.14	249.73	214.27	112.77	265.87	204.07	356.05	532.74	660.68	620.67	703.28	665.29	463.65	723.08	638.15	514.56	511.0	860.08	514.56	483.38	713.11	486.75	476.71	583.07	339.14	514.56	563.18	379.04	366.09	441.64	412.0	426.57	507.46	397.93	441.64	466.88	406.31	403.5	309.83	426.57	341.51	400.71	381.68	384.34	395.18	368.65	363.56	429.54	387.02	389.72	406.31	713.11	291.04	511.0	397.93	860.08	303.44	336.79	309.83	441.64	460.44	336.79	521.76
GMEB2	146.03	114.36	92.7	90.77	111.99	113.56	120.94	123.5	101.54	127.89	90.77	102.25	38.4	117.6	92.7	176.29	343.89	248.0	251.48	289.02	228.13	193.01	273.37	299.25	221.86	275.28	255.0	224.97	295.11	353.59	258.57	258.57	339.14	195.72	287.01	231.32	197.09	267.73	346.29	253.23	231.32	262.2	177.53	178.77	212.78	209.84	154.42	72.01	231.32	157.68	197.09	221.86	248.0	267.73	161.02	162.14	283.05	148.09	244.57	212.78	269.6	175.07	161.02	177.53	289.02	193.01	197.09	248.0	197.09	277.2	167.9	199.85
GNL3	1119.56	961.07	791.35	1015.93	995.0	1051.79	909.17	967.76	981.29	1059.11	595.34	909.17	287.01	759.08	808.0	3540.14	1572.76	2303.12	1519.15	3103.19	2997.45	2875.3	2915.45	2384.37	2351.53	2502.97	3372.43	1923.14	1605.83	2739.08	2224.63	2400.97	3690.52	2209.26	2682.69	1950.0	3716.2	2417.67	4575.41	1896.65	1757.34	2645.74	2502.97	2209.26	2047.0	1950.0	1896.65	1844.76	1066.48	2664.15	967.76	1991.0	2075.59	2485.67	2032.85	1685.71	1572.76	2224.63	1909.85	2061.24	3103.19	1806.78	1350.18	1963.57	2816.11	1617.0	1870.53	1923.14	1457.23	1304.15	3146.52	1662.49
HDGF	2573.36	2434.5	2018.8	2163.77	2701.35	2319.15	2816.11	1685.71	1519.15	1794.29	2255.7	1605.83	1008.9	2835.7	2209.26	3419.52	3190.46	3039.3	2855.44	3491.39	3742.05	3325.99	3018.3	3564.78	3589.58	3768.09	3349.13	3190.46	3303.0	3515.68	3419.52	3820.7	3540.14	3081.75	2976.74	4066.71	2855.44	3540.14	4972.34	2956.17	3190.46	2682.69	2400.97	2997.45	3124.78	2701.35	2573.36	1963.57	2609.3	2417.67	3081.75	2664.15	3060.45	3491.39	2720.15	3443.31	2855.44	3212.66	2573.36	3168.41	3901.01	2367.9	2758.13	2682.69	4268.94	2720.15	2591.27	2682.69	2720.15	2417.67	2835.7	2895.31
HNRNPM	2645.74	2255.7	1806.78	1909.85	2591.27	2664.15	2434.5	1870.53	1745.2	2895.31	2075.59	1709.26	182.55	1883.54	1832.01	3395.89	3794.3	3060.45	2502.97	3491.39	3419.52	3303.0	3690.52	3168.41	3716.2	3540.14	2935.74	3103.19	3018.3	3018.3	3515.68	4038.61	3146.52	2935.74	3491.39	3443.31	2997.45	3847.29	3820.7	3081.75	4038.61	2720.15	2520.38	2739.08	3742.05	2351.53	2384.37	1407.55	2855.44	2133.97	2935.74	3168.41	3124.78	3235.01	2555.58	2664.15	2758.13	3168.41	2701.35	3614.55	3982.99	3794.3	3395.89	2956.17	3690.52	2855.44	3018.3	3419.52	2555.58	2240.11	2816.11	2645.74
IPO4	228.13	191.67	140.04	137.14	258.57	224.97	198.47	215.77	190.34	314.17	221.86	232.94	114.36	226.54	158.79	764.36	624.99	660.68	540.19	830.75	647.07	480.04	441.64	941.27	591.22	579.04	902.89	429.54	483.38	651.58	514.56	896.64	679.29	358.54	460.44	679.29	842.36	503.95	934.76	429.54	493.56	346.29	409.15	295.11	351.14	579.04	343.89	234.57	435.55	316.37	332.14	307.69	438.59	575.03	305.55	303.44	426.57	514.56	395.18	583.07	708.18	392.44	341.51	343.89	928.3	493.56	497.0	435.55	409.15	371.22	334.46	511.0
IRF2BP1	175.07	181.28	111.99	128.79	136.19	209.84	197.09	197.09	129.69	176.29	141.02	141.02	123.5	242.88	170.25	902.89	802.41	743.43	587.13	529.06	587.13	409.15	890.44	860.08	620.67	624.99	896.64	595.34	896.64	764.36	457.25	679.29	981.29	341.51	450.94	753.83	547.75	860.08	1304.15	642.59	624.99	780.44	435.55	483.38	435.55	463.65	414.87	285.03	647.07	379.04	373.81	521.76	616.37	343.89	343.89	376.41	638.15	536.45	599.49	599.49	1001.93	457.25	616.37	387.02	353.59	587.13	698.41	480.04	603.67	607.87	480.04	660.68
KCTD5	249.73	231.32	163.28	208.38	202.66	199.85	204.07	248.0	214.27	325.29	142.01	287.01	80.57	316.37	314.17	403.5	400.71	341.51	426.57	336.79	438.59	346.29	332.14	450.94	381.68	414.87	460.44	409.15	376.41	525.39	320.8	551.56	432.53	312.0	373.81	395.18	297.17	368.65	417.77	307.69	353.59	353.59	332.14	341.51	379.04	329.84	314.17	221.86	412.0	376.41	314.17	273.37	366.09	392.44	325.29	314.17	332.14	256.78	351.14	473.41	591.22	351.14	305.55	241.19	241.19	332.14	371.22	314.17	389.72	281.09	305.55	262.2
LMNB2	133.36	116.78	69.03	69.03	139.07	124.37	142.01	90.14	80.01	150.17	191.67	147.06	98.04	173.85	103.69	353.59	441.64	305.55	262.2	339.14	271.48	269.6	358.54	518.15	339.14	392.44	368.65	323.03	314.17	432.53	400.71	511.0	432.53	197.09	307.69	316.37	309.83	341.51	507.46	275.28	409.15	273.37	232.94	212.78	309.83	217.27	190.34	71.5	291.04	178.77	214.27	293.07	332.14	285.03	182.55	180.02	253.23	289.02	204.07	323.03	551.56	279.14	253.23	202.66	258.57	267.73	307.69	198.47	346.29	260.38	237.86	265.87
LTBR	1721.16	1268.46	947.83	1304.15	1369.04	1183.45	1340.84	1135.2	1242.34	890.44	1088.92	896.64	521.76	1551.09	1745.2	3639.7	3039.3	3280.18	3491.39	4038.61	3690.52	2997.45	3614.55	3349.13	3018.3	3665.02	3168.41	2367.9	2956.17	3303.0	2627.46	2997.45	3982.99	2119.22	2758.13	3690.52	1685.71	2664.15	2935.74	2573.36	2895.31	3060.45	2609.3	1896.65	2739.08	3124.78	2119.22	1583.71	2664.15	2018.8	3190.46	2367.9	2739.08	3235.01	2193.99	2758.13	2835.7	2701.35	2417.67	2739.08	3874.05	2104.58	2555.58	2319.15	3325.99	2720.15	2956.17	2609.3	2451.44	2032.85	2047.0	3280.18
MEX3D	119.26	120.94	108.9	102.97	103.69	120.1	129.69	134.3	98.73	159.9	133.36	93.35	13.62	134.3	90.77	373.81	275.28	387.02	275.28	325.29	417.77	201.25	403.5	339.14	301.33	339.14	312.0	325.29	325.29	368.65	432.53	281.09	591.22	191.67	289.02	417.77	202.66	305.55	780.44	241.19	318.57	400.71	212.78	228.13	234.57	142.01	158.79	98.04	220.32	189.02	150.17	237.86	281.09	163.28	143.01	149.12	185.11	186.4	189.02	244.57	265.87	123.5	299.25	217.27	409.15	220.32	303.44	182.55	271.48	218.79	307.69	223.41
MIER2	249.73	193.01	158.79	167.9	231.32	214.27	175.07	249.73	246.28	251.48	208.38	547.75	41.81	226.54	264.03	432.53	417.77	463.65	392.44	483.38	339.14	363.56	381.68	363.56	493.56	376.41	346.29	438.59	470.14	406.31	348.71	511.0	438.59	221.86	358.54	334.46	305.55	441.64	435.55	400.71	400.71	426.57	267.73	273.37	379.04	299.25	262.2	164.42	473.41	260.38	295.11	305.55	406.31	356.05	287.01	279.14	361.04	299.25	346.29	361.04	423.61	279.14	303.44	262.2	412.0	329.84	307.69	376.41	395.18	412.0	241.19	361.04
MORC2	325.29	392.44	358.54	373.81	395.18	358.54	323.03	379.04	366.09	348.71	242.88	255.0	129.69	173.85	275.28	688.78	511.0	660.68	633.73	633.73	511.0	629.35	486.75	563.18	665.29	679.29	679.29	532.74	599.49	665.29	624.99	698.41	808.0	417.77	438.59	500.46	642.59	693.58	733.19	591.22	559.28	633.73	368.65	379.04	441.64	483.38	323.03	264.03	743.43	249.73	571.05	400.71	454.09	503.95	486.75	444.72	450.94	341.51	620.67	423.61	620.67	466.88	432.53	476.71	476.71	460.44	381.68	358.54	384.34	551.56	371.22	447.82
MSMB	2.89	8.25	14.89	1.57	0.0	3.38	0.0	0.0	0.0	37.32	67.12	56.68	3.56	96.01	26.47	800198.39	502929.67	391864.76	894051.48	350728.68	602247.76	783730.52	569761.05	419990.32	558035.51	381149.17	164758.26	509950.32	711250.37	434801.29	1019901.63	78476.96	15499.21	811368.76	778316.89	691801.16	706337.4	659036.03	94628.34	554180.87	845824.19	1212874.47	341137.96	459592.86	554180.87	778316.89	307450.64	1264380.15	1308968.45	1139523.1	636586.81	1171559.48	919186.72	581732.96	958220.73	358098.26	577714.63	919186.72	565825.41	542775.98	211455.3	499455.67	509950.32	402881.61	716197.51	509950.32	1645391.11	894051.48	619179.28	762299.34	654483.73	573724.06
MYBBP1A	373.81	387.02	256.78	336.79	473.41	435.55	387.02	316.37	293.07	417.77	234.57	293.07	38.67	301.33	211.31	1233.75	764.36	1030.12	860.08	1073.91	909.17	878.17	555.41	988.12	909.17	830.75	1417.35	796.86	878.17	802.41	708.18	1259.69	1259.69	426.57	507.46	607.87	1151.06	866.07	656.11	785.88	753.83	679.29	400.71	511.0	529.06	514.56	406.31	214.27	698.41	251.48	551.56	521.76	624.99	743.43	470.14	429.54	567.1	579.04	463.65	688.78	819.3	480.04	532.74	457.25	1191.69	638.15	480.04	674.59	466.88	551.56	426.57	633.73
NAT10	435.55	406.31	392.44	497.0	320.8	447.82	400.71	457.25	441.64	420.68	237.86	265.87	162.14	307.69	381.68	723.08	660.68	629.35	511.0	669.92	612.11	642.59	532.74	718.08	708.18	656.11	665.29	587.13	591.22	684.02	529.06	884.29	629.35	480.04	567.1	642.59	555.41	620.67	656.11	521.76	503.95	532.74	441.64	429.54	638.15	521.76	470.14	305.55	583.07	353.59	547.75	483.38	543.96	624.99	441.64	529.06	529.06	507.46	480.04	688.78	713.11	616.37	633.73	518.15	780.44	629.35	551.56	543.96	423.61	514.56	384.34	547.75
NELFA	285.03	262.2	177.53	183.82	293.07	271.48	239.52	318.57	205.5	277.2	164.42	172.65	195.72	260.38	275.28	738.29	656.11	708.18	656.11	651.58	603.67	555.41	684.02	703.28	728.11	612.11	796.86	583.07	698.41	708.18	669.92	802.41	780.44	297.17	417.77	660.68	595.34	620.67	872.1	607.87	591.22	651.58	483.38	460.44	587.13	567.1	473.41	329.84	603.67	429.54	429.54	493.56	612.11	587.13	351.14	397.93	624.99	525.39	620.67	733.19	703.28	480.04	629.35	595.34	547.75	529.06	547.75	559.28	473.41	624.99	379.04	521.76
NFKBIL1	267.73	353.59	138.1	151.22	356.05	341.51	341.51	435.55	273.37	323.03	251.48	209.84	271.48	323.03	201.25	759.08	796.86	884.29	764.36	769.69	802.41	679.29	808.0	995.0	599.49	775.05	848.22	642.59	928.3	1001.93	842.36	713.11	995.0	435.55	363.56	896.64	967.76	1037.29	1540.37	738.29	813.63	728.11	532.74	450.94	511.0	669.92	616.37	521.76	748.61	497.0	591.22	547.75	629.35	583.07	476.71	518.15	688.78	432.53	603.67	463.65	1313.23	476.71	525.39	813.63	486.75	607.87	583.07	595.34	559.28	1066.48	460.44	656.11
NOC2L	555.41	688.78	329.84	348.71	738.29	540.19	612.11	500.46	444.72	638.15	441.64	503.95	348.71	587.13	381.68	1896.65	1477.58	1594.73	1583.71	1709.26	1529.73	1639.59	1437.15	1769.57	1477.58	1397.83	2335.28	1268.46	1498.22	1561.89	1359.57	1977.24	1883.54	967.76	1233.75	1709.26	1844.76	1757.34	1674.06	1427.22	1167.14	1467.37	1111.82	1023.0	1208.34	1159.07	890.44	647.07	1477.58	759.08	1191.69	1159.07	1183.45	1159.07	1135.2	802.41	1135.2	1059.11	1167.14	1359.57	1709.26	796.86	1059.11	909.17	1427.22	1159.07	1359.57	1135.2	1159.07	1447.15	1127.35	1225.22
NOL6	318.57	248.0	246.28	285.03	275.28	291.04	295.11	244.57	237.86	277.2	246.28	277.2	198.47	327.56	275.28	1119.56	660.68	660.68	555.41	753.83	612.11	607.87	559.28	967.76	713.11	679.29	733.19	563.18	612.11	775.05	435.55	872.1	836.53	470.14	599.49	603.67	674.59	660.68	813.63	536.45	483.38	521.76	511.0	447.82	503.95	511.0	356.05	295.11	511.0	389.72	429.54	493.56	603.67	603.67	476.71	384.34	473.41	547.75	444.72	693.58	854.13	525.39	346.29	387.02	738.29	497.0	473.41	567.1	500.46	454.09	384.34	480.04
NOP2	269.6	255.0	195.72	277.2	273.37	248.0	241.19	195.72	226.54	287.01	161.02	309.83	42.71	289.02	226.54	1088.92	540.19	665.29	642.59	995.0	563.18	733.19	463.65	665.29	769.69	769.69	941.27	567.1	529.06	579.04	536.45	915.51	947.83	432.53	563.18	426.57	536.45	603.67	1023.0	497.0	511.0	540.19	353.59	346.29	441.64	417.77	309.83	246.28	493.56	314.17	400.71	400.71	397.93	718.08	435.55	231.32	400.71	483.38	400.71	595.34	775.05	363.56	397.93	241.19	728.11	379.04	343.89	432.53	473.41	346.29	248.0	361.04
NSUN2	583.07	599.49	525.39	500.46	571.05	551.56	575.03	660.68	476.71	759.08	521.76	444.72	172.65	540.19	551.56	1167.14	890.44	928.3	890.44	1059.11	1008.9	830.75	954.43	961.07	954.43	1051.79	1216.75	854.13	796.86	1023.0	796.86	1183.45	1081.39	884.29	988.12	808.0	836.53	748.61	1286.18	836.53	909.17	878.17	733.19	842.36	813.63	718.08	748.61	521.76	748.61	698.41	647.07	718.08	928.3	890.44	884.29	642.59	660.68	1030.12	708.18	1008.9	808.0	974.5	743.43	785.88	967.76	708.18	669.92	723.08	743.43	753.83	718.08	571.05
OGFR	314.17	318.57	237.86	281.09	366.09	343.89	358.54	356.05	309.83	236.21	218.79	323.03	115.16	361.04	332.14	1216.75	1051.79	974.5	808.0	1457.23	941.27	785.88	890.44	872.1	1143.1	1037.29	1001.93	1015.93	995.0	981.29	967.76	1208.34	1313.23	457.25	638.15	1216.75	1111.82	1175.27	854.13	974.5	1073.91	954.43	651.58	511.0	802.41	532.74	575.03	341.51	921.88	571.05	603.67	674.59	909.17	753.83	603.67	441.64	860.08	486.75	665.29	713.11	780.44	518.15	813.63	723.08	981.29	595.34	669.92	791.35	718.08	1023.0	669.92	775.05
PDCD11	195.72	177.53	156.59	177.53	169.07	214.27	172.65	212.78	182.55	262.2	183.82	158.79	72.01	119.26	136.19	476.71	341.51	332.14	285.03	490.14	395.18	351.14	327.56	423.61	395.18	384.34	409.15	297.17	316.37	199.85	356.05	457.25	507.46	287.01	285.03	389.72	417.77	423.61	493.56	312.0	318.57	271.48	199.85	217.27	285.03	279.14	171.45	116.78	307.69	131.51	232.94	244.57	265.87	361.04	271.48	194.36	260.38	206.94	301.33	293.07	429.54	271.48	214.27	182.55	457.25	218.79	191.67	237.86	187.71	297.17	201.25	293.07
PFAS	149.12	215.77	143.01	209.84	162.14	205.5	204.07	175.07	273.37	191.67	158.79	170.25	84.63	78.89	80.01	320.8	269.6	312.0	234.57	309.83	366.09	334.46	269.6	366.09	334.46	293.07	417.77	208.38	246.28	279.14	214.27	361.04	441.64	172.65	211.31	165.57	144.01	273.37	262.2	271.48	239.52	214.27	205.5	170.25	209.84	251.48	134.3	88.88	201.25	127.89	157.68	193.01	236.21	316.37	137.14	198.47	241.19	177.53	178.77	271.48	339.14	162.14	191.67	176.29	269.6	205.5	204.07	206.94	175.07	223.41	166.73	198.47
PHRF1	193.01	220.32	107.38	120.94	199.85	167.9	211.31	182.55	131.51	175.07	127.0	148.09	29.27	102.97	81.14	395.18	454.09	346.29	353.59	366.09	397.93	327.56	444.72	412.0	334.46	432.53	432.53	348.71	373.81	366.09	376.41	500.46	483.38	232.94	381.68	312.0	316.37	358.54	529.06	339.14	381.68	381.68	269.6	267.73	400.71	275.28	251.48	88.88	318.57	190.34	264.03	361.04	463.65	363.56	237.86	289.02	387.02	231.32	325.29	202.66	420.68	234.57	309.83	316.37	420.68	316.37	297.17	379.04	273.37	341.51	287.01	285.03
PPAN	223.41	221.86	157.68	237.86	229.72	226.54	237.86	205.5	214.27	312.0	171.45	343.89	120.1	258.57	148.09	1540.37	674.59	884.29	642.59	1250.98	764.36	651.58	703.28	796.86	928.3	836.53	995.0	819.3	775.05	819.3	733.19	1059.11	1417.35	320.8	540.19	693.58	1477.58	921.88	1467.37	738.29	612.11	693.58	463.65	381.68	543.96	483.38	503.95	381.68	607.87	473.41	536.45	438.59	567.1	559.28	483.38	379.04	555.41	543.96	555.41	688.78	890.44	555.41	420.68	441.64	1183.45	583.07	540.19	583.07	583.07	486.75	414.87	603.67
PRRC2A	1819.35	1628.26	1127.35	1397.83	1487.87	1572.76	1277.29	1757.34	1883.54	1304.15	1304.15	1639.59	271.48	1051.79	1340.84	4010.71	3982.99	4512.4	4512.4	3515.68	3768.09	3303.0	3901.01	4450.27	3665.02	3928.15	4639.29	3614.55	4543.8	4704.07	6207.38	4543.8	4388.98	2255.7	2997.45	3589.58	3794.3	3690.52	5633.22	3742.05	3419.52	5255.91	2104.58	2701.35	2591.27	2835.7	2224.63	1015.93	4388.98	1709.26	3103.19	2875.3	3190.46	3467.27	2758.13	2104.58	3235.01	2573.36	3190.46	3419.52	4736.79	3257.52	2701.35	2915.45	3901.01	2835.7	2777.33	3928.15	3325.99	3820.7	2956.17	2777.33
PUS1	152.28	121.79	78.34	115.97	146.03	138.1	145.02	108.9	94.67	153.34	151.22	128.79	131.51	172.65	106.63	743.43	297.17	514.56	368.65	718.08	406.31	403.5	316.37	379.04	470.14	420.68	651.58	348.71	346.29	426.57	409.15	656.11	612.11	172.65	215.77	339.14	417.77	450.94	486.75	348.71	392.44	353.59	237.86	170.25	260.38	231.32	208.38	165.57	309.83	228.13	264.03	154.42	237.86	353.59	255.0	171.45	305.55	273.37	269.6	420.68	579.04	287.01	232.94	246.28	486.75	255.0	267.73	341.51	356.05	297.17	275.28	329.84
PWP2	228.13	246.28	147.06	195.72	201.25	256.78	264.03	195.72	202.66	187.71	114.36	202.66	28.24	171.45	167.9	389.72	341.51	420.68	323.03	559.28	389.72	361.04	379.04	500.46	363.56	447.82	514.56	309.83	325.29	361.04	343.89	497.0	500.46	209.84	358.54	447.82	414.87	363.56	540.19	291.04	301.33	271.48	246.28	258.57	341.51	258.57	197.09	129.69	279.14	182.55	262.2	309.83	348.71	348.71	275.28	269.6	314.17	246.28	255.0	287.01	329.84	260.38	273.37	320.8	483.38	277.2	283.05	281.09	273.37	246.28	289.02	287.01
QSOX2	91.41	86.43	57.08	87.03	60.39	63.45	68.07	106.63	77.79	112.77	31.45	88.26	31.67	87.03	84.04	201.25	169.07	197.09	182.55	208.38	195.72	167.9	190.34	249.73	147.06	246.28	228.13	152.28	131.51	246.28	176.29	199.85	234.57	136.19	159.9	195.72	198.47	122.64	260.38	120.94	125.24	199.85	129.69	123.5	117.6	139.07	114.36	60.39	124.37	90.77	88.88	111.99	132.44	142.01	120.1	101.54	129.69	98.04	105.89	146.03	199.85	113.56	119.26	102.25	145.02	105.89	104.42	125.24	123.5	93.35	111.99	94.01
QTRT1	460.44	435.55	215.77	251.48	435.55	454.09	420.68	376.41	387.02	444.72	208.38	205.5	743.43	460.44	351.14	1639.59	1225.22	2061.24	1233.75	1806.78	1594.73	1721.16	1508.65	1151.06	1733.13	1697.45	2555.58	1397.83	1313.23	1388.16	1572.76	1963.57	2047.0	603.67	813.63	1286.18	3124.78	1819.35	1950.0	1572.76	1378.57	1498.22	836.53	769.69	836.53	1008.9	830.75	728.11	1023.0	780.44	981.29	703.28	1059.11	1225.22	1008.9	575.03	1167.14	647.07	878.17	1242.34	1388.16	808.0	995.0	995.0	1030.12	915.51	825.0	1159.07	1008.9	1519.15	896.64	836.53
RANGAP1	473.41	486.75	305.55	361.04	521.76	547.75	547.75	361.04	323.03	363.56	559.28	480.04	161.02	450.94	466.88	1467.37	1104.13	1242.34	1199.98	1498.22	1175.27	1037.29	1044.52	1331.57	1081.39	1088.92	1844.76	1066.48	1088.92	1594.73	896.64	1216.75	1407.55	698.41	785.88	1088.92	2351.53	1167.14	1037.29	1037.29	1008.9	884.29	738.29	718.08	808.0	802.41	629.35	412.0	1051.79	490.14	1073.91	872.1	808.0	808.0	791.35	872.1	872.1	842.36	808.0	954.43	1143.1	629.35	928.3	629.35	1259.69	796.86	909.17	718.08	988.12	995.0	785.88	1023.0
RBM10	381.68	460.44	217.27	273.37	409.15	389.72	376.41	444.72	332.14	376.41	343.89	356.05	77.79	346.29	293.07	848.22	928.3	981.29	1015.93	915.51	830.75	988.12	934.76	1030.12	941.27	1023.0	967.76	995.0	890.44	981.29	928.3	1242.34	941.27	665.29	688.78	941.27	872.1	1151.06	915.51	1175.27	947.83	830.75	642.59	769.69	791.35	836.53	651.58	463.65	1059.11	470.14	860.08	796.86	819.3	775.05	836.53	708.18	928.3	624.99	860.08	808.0	954.43	775.05	902.89	647.07	688.78	764.36	733.19	988.12	915.51	1159.07	780.44	769.69
RCC2	563.18	791.35	366.09	417.77	511.0	529.06	373.81	563.18	366.09	525.39	356.05	406.31	54.72	480.04	529.06	1030.12	878.17	954.43	769.69	753.83	1023.0	684.02	748.61	1304.15	775.05	947.83	1313.23	775.05	733.19	1051.79	866.07	1081.39	1104.13	511.0	633.73	1015.93	796.86	612.11	1487.87	540.19	753.83	665.29	497.0	547.75	738.29	612.11	444.72	269.6	733.19	397.93	438.59	486.75	591.22	769.69	493.56	733.19	629.35	633.73	476.71	785.88	854.13	470.14	575.03	420.68	941.27	642.59	599.49	406.31	493.56	547.75	438.59	647.07
RNF40	1447.15	1417.35	1119.56	1242.34	1268.46	1378.57	1304.15	1159.07	1295.13	1487.87	1127.35	791.35	177.53	836.53	1059.11	1936.53	2178.83	1950.0	1936.53	2018.8	1651.0	1977.24	1832.01	2061.24	2209.26	2240.11	1709.26	2047.0	2004.85	2148.82	1769.57	3039.3	1794.29	1617.0	1819.35	2018.8	2104.58	1844.76	2303.12	2032.85	1551.09	1844.76	1477.58	1733.13	1832.01	1697.45	1250.98	748.61	1870.53	1051.79	2335.28	1806.78	1844.76	1628.26	1757.34	1487.87	1709.26	1757.34	2032.85	1936.53	2796.65	1721.16	1781.89	1605.83	1936.53	1605.83	1936.53	2163.77	1963.57	2573.36	1896.65	2032.85
RRBP1	1583.71	1437.15	947.83	1208.34	1857.6	1457.23	1605.83	928.3	769.69	802.41	1529.73	947.83	307.69	890.44	723.08	3060.45	4066.71	2956.17	3372.43	3794.3	3018.3	2004.85	3540.14	3742.05	3146.52	3280.18	4010.71	2816.11	2555.58	3955.48	2520.38	2956.17	2935.74	2701.35	3589.58	2209.26	2609.3	3280.18	2720.15	3060.45	2915.45	2935.74	1769.57	2303.12	2609.3	2400.97	1191.69	629.35	2758.13	1073.91	2956.17	2739.08	2915.45	1936.53	2004.85	2032.85	2502.97	2133.97	2573.36	2555.58	4450.27	2720.15	2835.7	2240.11	4802.93	2627.46	3540.14	2573.36	2915.45	3303.0	3018.3	3515.68
RRP1	267.73	293.07	214.27	187.71	325.29	279.14	307.69	232.94	211.31	273.37	201.25	221.86	117.6	281.09	205.5	848.22	555.41	679.29	536.45	934.76	438.59	490.14	567.1	579.04	674.59	620.67	723.08	525.39	563.18	599.49	571.05	656.11	878.17	312.0	447.82	651.58	743.43	738.29	796.86	514.56	473.41	423.61	320.8	389.72	409.15	441.64	307.69	262.2	473.41	346.29	450.94	387.02	384.34	457.25	392.44	417.77	414.87	426.57	406.31	400.71	587.13	346.29	406.31	406.31	708.18	395.18	366.09	343.89	366.09	400.71	376.41	432.53
RRP12	163.28	151.22	76.17	94.01	144.01	117.6	142.01	82.29	85.22	145.02	93.35	109.66	67.12	177.53	126.12	723.08	371.22	497.0	486.75	1001.93	361.04	379.04	348.71	536.45	426.57	444.72	759.08	403.5	403.5	334.46	373.81	543.96	486.75	248.0	532.74	384.34	981.29	392.44	718.08	325.29	299.25	285.03	176.29	220.32	269.6	264.03	127.89	111.99	341.51	149.12	356.05	262.2	209.84	414.87	246.28	178.77	287.01	312.0	297.17	351.14	656.11	281.09	205.5	218.79	629.35	297.17	316.37	260.38	273.37	291.04	285.03	366.09
