	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.HC.7077.01A.11R.1965.07
DCC	0.0	0.0	53.19	3.06	12.36	43.94	131.51	21.63	7.88	20.56	29.27	7.11	18.97	7.34	7.34	38.95	20.71	4.78	14.14	7.11	8.06	7.69	38.67	15.45	8.32	9.48	17.51	18.97	6.06	21.01	20.56	5.45	2.48	9.93	60.82	18.03	22.43	14.35	25.17	0.4	2.43	0.0	0.0	0.0	0.18	0.18	1.73	0.0	2.03	0.0	0.49	0.51	1.87	1.07	0.0	0.77	0.0	0.0	0.0	1.08	0.0	0.0	0.16	1.23
DLX3	0.0	0.1	9.85	9.78	10.96	11.21	0.0	17.9	14.89	11.91	17.77	21.47	37.85	9.13	34.02	18.43	18.29	14.67	10.47	4.58	25.54	62.12	38.67	87.65	28.45	5.06	13.52	7.82	18.97	8.92	19.53	43.63	35.76	7.75	6.11	18.84	19.11	35.5	23.76	0.46	12.74	2.58	31.45	1.39	0.84	8.65	4.86	34.26	1.17	4.39	14.89	4.58	9.34	3.17	1.35	0.55	5.92	4.62	3.63	0.0	10.88	29.91	7.63	5.06
DMRT2	0.0	0.39	0.89	11.47	6.52	2.78	60.82	8.06	8.65	8.58	6.73	5.41	9.78	8.71	5.96	7.0	4.98	0.95	0.21	17.0	0.88	44.57	4.7	36.01	202.66	4.78	3.96	9.41	1.39	10.0	2.2	21.32	4.98	22.26	4.03	5.41	3.99	11.91	9.48	0.0	0.75	0.0	0.0	0.16	0.0	0.0	0.0	1.27	0.18	0.0	0.0	0.19	0.0	0.0	0.16	0.0	0.0	0.0	0.19	0.18	0.17	1.08	0.15	0.43
EFR3B	0.0	0.0	181.28	20.71	48.52	483.38	26.1	64.34	18.7	194.36	37.59	54.72	116.78	64.8	181.28	77.25	98.04	114.36	71.5	90.77	78.34	275.28	111.21	87.03	27.44	100.13	52.08	139.07	59.13	193.01	64.34	128.79	19.82	89.51	285.03	202.66	39.79	163.28	104.42	1.73	0.99	2.92	4.43	7.4	1.35	3.23	0.74	3.63	2.05	1.57	1.39	8.58	3.96	2.92	1.28	1.03	1.31	2.61	3.69	3.59	0.71	1.33	2.39	4.98
EPGN	0.0	0.0	212.78	23.59	0.0	4.43	507.46	5.11	0.0	22.75	57.89	65.26	37.59	5.87	7.51	497.0	191.67	9.27	6.73	22.75	0.0	56.28	195.72	6.46	47.17	16.15	47.84	4.17	34.75	0.0	8.51	46.84	281.09	0.0	60.39	6.46	0.0	26.1	246.28	0.0	0.0	0.0	1.39	0.0	0.0	0.13	0.43	0.0	0.0	0.0	0.0	2.51	0.16	6.01	0.0	9.41	2.56	0.8	0.0	0.0	0.68	1.23	0.61	0.37
ERCC6-PGBD3	0.0	0.0	36.79	2.1	26.67	36.79	31.45	19.97	0.0	24.99	14.35	11.91	21.32	2.76	14.03	33.78	13.12	13.52	26.67	10.63	5.87	6.84	26.28	7.0	18.56	19.68	9.85	11.47	16.27	13.93	18.7	18.03	4.13	4.62	18.97	35.25	5.92	9.27	14.45	5.96	8.92	0.8	0.0	19.53	0.55	3.69	0.32	6.62	17.25	4.39	6.06	16.15	8.06	8.51	0.0	6.62	11.13	6.06	8.32	5.68	6.57	4.98	11.38	9.78
FABP4	0.0	0.15	22380.2	54349.29	1119.56	7032.37	4575.41	16843.62	19214.73	18819.27	4010.71	4869.99	6699.25	26986.43	3515.68	8963.45	2319.15	2895.31	11909.94	3212.66	14765.09	37639.55	5594.3	3742.05	41763.8	30361.44	3081.75	7331.05	7032.37	14765.09	5183.54	49666.0	1977.24	4095.0	988.12	1378.57	5517.27	6699.25	26986.43	0.0	0.0	2.25	8.19	9.41	8.45	8.78	218.79	4.24	1.51	4.39	20.11	6.84	7.69	4.58	7.22	15.22	4.86	3.86	9.2	1.89	17.0	0.0	0.0	7.82
FADS1	0.0	0.49	928.3	842.36	775.05	764.36	420.68	503.95	575.03	583.07	295.11	400.71	708.18	1135.2	825.0	738.29	536.45	444.72	785.88	1397.83	1151.06	1417.35	417.77	384.34	674.59	329.84	1651.0	759.08	1457.23	759.08	363.56	620.67	693.58	988.12	547.75	307.69	723.08	780.44	684.02	214.27	27.44	191.67	490.14	275.28	414.87	100.83	312.0	85.82	25.54	167.9	56.28	309.83	209.84	239.52	12.36	64.34	159.9	100.83	212.78	201.25	158.79	209.84	435.55	186.4
FAM46B	0.0	0.06	1457.23	967.76	848.22	1674.06	204.07	1519.15	1477.58	1295.13	836.53	1066.48	1457.23	1111.82	1721.16	884.29	791.35	842.36	934.76	1233.75	1183.45	1191.69	1857.6	1857.6	395.18	1457.23	688.78	1051.79	693.58	825.0	2209.26	2075.59	1437.15	2720.15	2163.77	1819.35	1277.29	414.87	1119.56	6.52	12.0	19.53	26.67	14.35	20.26	53.95	21.16	24.11	21.32	65.72	44.89	59.97	133.36	26.67	1.77	6.89	18.16	2.48	20.11	14.89	16.03	62.56	6.26	13.42
FAXDC2	0.0	0.46	1781.89	483.38	1936.53	5995.9	314.17	1639.59	1628.26	2400.97	1322.37	1832.01	3794.3	2090.03	3768.09	5479.15	7589.61	2133.97	1340.84	902.89	3190.46	3589.58	1674.06	1313.23	175.07	1540.37	825.0	2119.22	603.67	1923.14	1277.29	1286.18	854.13	2434.5	3349.13	2720.15	1111.82	2451.44	2018.8	35.25	23.42	44.25	71.0	121.79	201.25	94.01	28.86	88.88	73.03	51.35	95.34	172.65	314.17	82.87	9.34	36.53	81.14	43.32	95.34	88.88	84.04	75.11	49.91	62.12
FDFT1	0.0	0.53	4836.35	5147.73	2956.17	4903.87	2720.15	3794.3	3349.13	4704.07	3564.78	3614.55	3665.02	6121.9	4328.55	5112.16	4639.29	2367.9	2956.17	8658.09	5594.3	10296.45	4836.35	2997.45	7382.04	2032.85	8305.36	4038.61	6471.02	3018.3	3018.3	5219.6	5366.37	9409.14	3564.78	3060.45	2915.45	3349.13	4836.35	6516.03	2739.08	1331.57	2701.35	2915.45	177.53	1950.0	1104.13	1709.26	1697.45	1199.98	1896.65	1977.24	2875.3	2303.12	2451.44	1388.16	3665.02	1037.29	2417.67	1697.45	1030.12	2061.24	2319.15	1697.45
FGFR2	0.0	0.08	1322.37	2240.11	1844.76	3124.78	232.94	2609.3	1781.89	3081.75	1977.24	2119.22	1977.24	4210.15	2701.35	3039.3	2004.85	1923.14	2777.33	2777.33	2720.15	3039.3	2591.27	3443.31	480.04	1572.76	1757.34	2163.77	1733.13	1628.26	1199.98	1572.76	1709.26	3716.2	3716.2	2434.5	2032.85	4972.34	1844.76	13.32	267.73	54.33	40.07	70.01	46.18	88.88	17.13	52.45	28.86	50.98	48.87	242.88	119.26	40.93	6.21	9.34	126.12	341.51	79.45	21.01	81.14	106.63	64.34	50.63
FHAD1	0.0	0.0	64.34	85.22	22.43	55.89	33.78	175.07	273.37	423.61	58.71	111.99	62.12	144.01	102.97	59.13	57.89	56.28	35.5	77.25	78.89	426.57	507.46	1340.84	48.18	318.57	460.44	68.07	57.49	63.89	301.33	114.36	72.01	107.38	130.6	29.48	301.33	16.63	148.09	3.11	0.0	0.43	10.39	6.62	1.83	20.71	3.38	18.29	7.34	10.31	6.62	7.46	7.88	13.03	1.39	2.18	7.22	1.68	13.32	2.92	0.78	21.63	1.99	3.92
FLRT3	0.0	0.02	4450.27	2400.97	1096.5	3190.46	1896.65	5751.61	1936.53	6699.25	3081.75	1225.22	1388.16	4607.24	2434.5	2956.17	3235.01	2451.44	2555.58	3901.01	2193.99	825.0	1216.75	400.71	1369.04	1721.16	1340.84	1909.85	1662.49	1216.75	1350.18	1037.29	2367.9	633.73	1457.23	25530.66	1259.69	3665.02	1594.73	5.96	5.96	10.24	19.39	43.02	16.63	55.1	20.41	37.85	8.25	9.27	10.39	78.89	17.9	36.53	0.37	17.0	14.03	4.98	46.84	3.56	26.1	26.28	56.28	35.0
FMO2	0.0	0.32	2178.83	2335.28	3665.02	6381.92	902.89	5041.77	2119.22	5441.3	2855.44	909.17	4419.52	3467.27	3467.27	6121.9	3467.27	3955.48	3614.55	10014.87	3639.7	3168.41	1963.57	4268.94	1167.14	2032.85	878.17	3742.05	1551.09	4575.41	3235.01	1709.26	2032.85	2720.15	3235.01	5041.77	2875.3	2335.28	5913.33	9.41	5.45	5.96	6.52	32.82	9.78	40.36	10.16	30.12	11.55	2.18	13.62	19.39	16.15	24.81	0.8	5.68	10.16	5.63	49.21	3.69	19.25	12.36	16.51	4.94
GALNT5	0.0	0.06	1199.98	511.0	190.34	1870.53	159.9	1044.52	211.31	1359.57	679.29	599.49	500.46	543.96	403.5	400.71	764.36	802.41	232.94	1519.15	320.8	1304.15	470.14	249.73	291.04	438.59	318.57	785.88	273.37	454.09	217.27	447.82	429.54	470.14	624.99	1628.26	511.0	638.15	669.92	0.3	0.93	1.27	0.0	5.36	0.97	7.51	1.66	2.12	4.17	0.77	2.89	11.91	9.06	5.19	0.0	1.58	0.65	1.1	8.19	0.67	15.8	4.24	5.28	4.5
GAS1	0.0	0.16	42.71	432.53	87.65	279.14	258.57	551.56	255.0	94.67	830.75	139.07	148.09	258.57	358.54	138.1	223.41	244.57	1225.22	287.01	934.76	83.45	166.73	409.15	127.0	166.73	86.43	187.71	486.75	497.0	381.68	81.71	802.41	77.25	466.88	486.75	244.57	218.79	69.52	9.63	9.2	79.45	195.72	70.01	15.0	50.27	9.2	34.02	49.56	35.76	77.25	59.55	79.45	69.52	4.5	18.56	34.02	11.21	123.5	46.5	41.52	54.72	23.76	43.63
GCNT4	0.0	0.06	81.14	13.12	23.42	81.71	24.28	44.89	46.84	15.11	11.04	14.03	17.77	26.28	13.93	31.22	24.11	17.38	21.78	135.24	38.12	113.56	37.05	47.5	14.89	22.75	27.25	18.43	35.5	31.67	17.51	11.3	8.92	4.98	15.68	44.25	31.22	37.05	33.06	0.42	0.2	1.64	1.25	2.46	0.21	1.64	0.53	1.53	3.47	1.27	2.89	2.94	14.03	8.38	0.0	1.07	1.6	0.91	0.22	0.52	0.78	2.76	0.45	0.72
GCOM1	0.0	0.13	244.57	108.9	103.69	206.94	61.68	69.52	162.14	231.32	89.51	336.79	129.69	32.36	70.51	656.11	332.14	37.05	37.85	102.97	93.35	171.45	159.9	182.55	305.55	176.29	77.79	318.57	140.04	32.82	29.7	90.77	6.01	30.12	70.01	127.89	104.42	70.01	55.1	0.6	0.0	4.86	0.0	4.43	1.03	4.86	1.45	3.89	4.7	1.2	1.43	9.27	24.63	19.39	0.0	3.82	2.34	6.78	1.81	32.13	0.68	2.39	3.79	4.78
GPR126	0.0	0.45	277.2	131.51	500.46	684.02	102.25	191.67	303.44	190.34	289.02	244.57	316.37	529.06	397.93	1225.22	497.0	713.11	351.14	808.0	309.83	397.93	242.88	140.04	162.14	199.85	96.68	423.61	620.67	232.94	139.07	224.97	239.52	454.09	432.53	567.1	248.0	334.46	532.74	2.66	1.07	4.58	6.26	12.55	6.78	10.39	3.5	20.56	4.13	3.5	3.47	20.86	4.78	19.53	3.47	7.4	4.17	27.05	13.32	2.76	75.11	11.82	31.0	12.93
GPR75	0.0	0.25	116.78	16.51	30.78	42.41	36.27	39.5	23.25	29.27	25.54	22.92	38.4	32.13	31.67	18.29	28.86	29.27	47.84	23.93	16.88	20.71	26.1	28.45	8.32	57.08	13.32	33.78	22.75	21.47	47.84	24.63	4.86	40.07	32.36	47.17	29.91	25.72	43.02	6.46	9.48	9.2	1.93	5.77	0.43	5.23	5.15	7.22	8.65	3.5	4.43	15.45	8.92	7.4	1.04	14.14	6.01	7.34	12.18	19.11	3.63	8.25	9.56	7.69
GRIN2A	0.0	0.0	3.0	0.3	0.0	29.27	3.59	1.5	0.3	1.5	0.95	0.3	0.85	2.14	2.12	0.0	0.31	0.87	19.39	7.63	5.11	15.22	0.3	0.83	1.48	7.34	29.48	4.31	2.63	2.78	17.0	2.76	0.0	0.84	21.47	5.02	4.35	6.26	1.36	0.0	0.0	0.0	0.25	0.0	0.0	0.27	0.0	0.31	0.0	0.0	0.0	3.29	0.0	0.27	0.0	0.0	0.0	0.0	0.61	0.28	0.0	0.0	0.0	0.54
HCFC2	0.0	0.43	112.77	165.57	166.73	187.71	100.83	148.09	228.13	224.97	178.77	173.85	111.99	244.57	151.22	262.2	277.2	218.79	166.73	339.14	162.14	139.07	131.51	150.17	47.84	128.79	191.67	214.27	154.42	177.53	104.42	136.19	122.64	121.79	121.79	131.51	136.19	143.01	206.94	105.89	113.56	117.6	131.51	71.0	65.72	96.68	149.12	94.01	101.54	136.19	106.63	108.9	143.01	204.07	85.22	102.97	96.01	115.97	121.79	78.89	70.51	98.04	105.15	78.34
HSPA2	0.0	0.62	376.41	218.79	293.07	1340.84	133.36	291.04	363.56	211.31	384.34	420.68	476.71	435.55	423.61	181.28	265.87	150.17	353.59	384.34	91.41	48.18	612.11	441.64	420.68	836.53	177.53	343.89	185.11	107.38	612.11	435.55	836.53	159.9	299.25	371.22	75.64	473.41	1015.93	129.69	100.13	172.65	271.48	55.49	58.71	78.34	277.2	191.67	141.02	172.65	91.41	52.08	58.3	93.35	14.03	21.32	155.5	64.8	301.33	25.91	29.48	389.72	27.84	34.51
ID1	0.0	0.47	8778.97	3280.18	4095.0	15075.35	5831.91	9606.86	21468.49	14765.09	7537.18	32092.64	9808.75	6516.03	6426.31	20737.16	18950.18	7230.1	4972.34	5183.54	13399.51	2178.83	11112.3	5076.84	2997.45	17804.06	12502.12	10225.32	8778.97	2935.74	14461.21	5403.7	10883.59	5112.16	6840.04	3614.55	6037.61	4802.93	9808.75	143.01	70.01	248.0	1096.5	703.28	591.22	514.56	341.51	733.19	125.24	186.4	454.09	2855.44	224.97	616.37	63.45	202.66	134.3	189.02	258.57	109.66	595.34	629.35	656.11	217.27
ID4	0.0	0.47	483.38	995.0	1467.37	3212.66	563.18	1794.29	1216.75	1350.18	1628.26	2997.45	343.89	988.12	1216.75	2287.2	1583.71	368.65	2018.8	934.76	2148.82	785.88	2287.2	1467.37	1059.11	934.76	1508.65	1529.73	1870.53	587.13	1388.16	197.09	684.02	1467.37	1183.45	656.11	713.11	400.71	591.22	40.64	6.67	18.03	133.36	96.68	54.33	154.42	16.63	61.25	36.27	16.63	108.14	145.02	409.15	237.86	9.06	23.76	23.08	26.86	31.22	24.46	68.07	58.71	139.07	39.22
IL16	0.0	0.71	409.15	503.95	688.78	1111.82	199.85	1259.69	387.02	878.17	1870.53	567.1	1277.29	698.41	1208.34	775.05	723.08	698.41	1551.09	713.11	728.11	934.76	723.08	1216.75	316.37	1295.13	748.61	1143.1	633.73	1286.18	934.76	947.83	764.36	366.09	1447.15	1757.34	1183.45	884.29	860.08	13.52	12.09	28.86	67.12	153.34	8.92	42.11	23.59	71.5	87.65	26.67	41.22	68.07	123.5	134.3	7.75	12.55	48.52	22.75	63.89	43.32	37.05	38.67	23.93	20.86
IL1R2	0.0	0.39	392.44	291.04	241.19	132.44	373.81	271.48	147.06	29.7	397.93	110.43	339.14	112.77	392.44	612.11	285.03	96.68	151.22	211.31	84.63	28.24	283.05	339.14	31.45	127.0	50.98	307.69	309.83	175.07	289.02	529.06	186.4	265.87	126.12	91.41	127.89	30.78	159.9	3.76	1.64	5.41	7.88	12.74	11.55	7.51	10.16	8.19	10.08	18.03	12.0	24.99	13.42	16.03	3.79	2.36	2.61	4.28	11.73	1.41	3.99	9.63	2.73	1.85
IL22RA1	0.0	0.05	16.27	15.68	0.95	84.04	1.36	51.35	10.88	30.78	67.59	43.63	109.66	75.64	13.62	49.91	24.46	34.02	9.7	63.45	55.89	74.58	14.89	45.85	5.82	56.68	23.76	23.42	3.11	33.3	27.05	16.39	39.79	82.29	43.63	42.11	19.53	20.56	15.68	1.23	0.4	1.39	4.03	6.16	2.39	3.03	2.84	3.06	2.14	1.25	3.14	16.27	0.83	5.63	1.03	1.41	1.06	2.34	4.54	2.1	1.73	3.03	1.89	2.2
KCNF1	0.0	0.12	14.03	2.25	6.26	2.51	10.0	3.5	0.36	1.69	5.41	1.28	5.32	2.36	17.0	1.62	1.93	10.08	6.26	8.38	4.1	8.71	36.01	130.6	84.04	4.78	9.41	5.28	31.67	5.28	8.85	2.97	3.56	13.42	3.59	0.16	7.4	5.54	2.84	0.1	0.0	0.14	1.33	0.44	0.79	0.79	0.48	0.0	0.16	0.96	1.89	1.93	0.91	0.14	1.04	0.14	0.13	0.0	0.16	0.15	0.78	0.78	2.92	0.0
KCNJ15	0.0	0.06	3690.52	4769.75	2434.5	4210.15	3847.29	3614.55	1977.24	4575.41	2133.97	1639.59	2739.08	3901.01	2255.7	3018.3	3124.78	1167.14	2271.4	2537.92	3257.52	3794.3	2976.74	1135.2	2148.82	4419.52	3103.19	1662.49	2104.58	2224.63	2209.26	4607.24	2573.36	1936.53	2018.8	3742.05	2537.92	6337.83	4481.23	0.05	1.58	1.38	4.39	7.22	2.43	4.24	1.46	12.09	1.19	4.7	3.35	20.26	7.11	10.24	1.79	1.39	2.61	0.13	5.54	6.94	6.52	2.16	1.01	1.27
KCNQ3	0.0	0.36	131.51	22.43	42.71	8.0	84.04	24.81	12.18	62.12	58.71	53.57	35.76	108.14	41.52	14.56	63.89	73.54	18.29	16.63	33.06	55.49	56.28	17.0	173.85	54.72	76.17	42.71	21.47	48.52	36.01	44.57	28.65	18.03	32.59	23.93	55.1	28.04	72.01	0.6	0.35	0.36	2.18	2.32	2.71	1.36	1.07	1.14	0.37	0.41	0.72	10.0	4.9	2.03	0.34	0.36	1.97	0.4	5.28	5.5	3.66	1.68	3.06	14.35
KIFC3	0.0	1.08	1870.53	341.51	1519.15	1651.0	1487.87	1044.52	656.11	1030.12	836.53	1001.93	1073.91	551.56	802.41	351.14	514.56	1096.5	836.53	791.35	1015.93	909.17	1199.98	2209.26	2609.3	872.1	1697.45	1674.06	441.64	1340.84	1487.87	915.51	441.64	511.0	1350.18	532.74	785.88	1359.57	1378.57	31.0	42.41	85.82	164.42	151.22	109.66	99.43	61.68	129.69	39.22	108.14	101.54	155.5	102.25	125.24	61.25	33.78	82.87	57.08	95.34	68.55	92.7	111.21	81.14	48.52
KLF5	0.0	0.16	4607.24	2178.83	647.07	2240.11	2384.37	2739.08	1561.89	1883.54	1519.15	1286.18	1023.0	1857.6	1359.57	1487.87	2148.82	2148.82	1313.23	2468.49	1088.92	1662.49	2351.53	1819.35	1331.57	1216.75	1023.0	1322.37	1151.06	902.89	1551.09	1605.83	1208.34	1037.29	1923.14	4450.27	1250.98	1127.35	1304.15	356.05	119.26	96.68	32.13	104.42	33.06	173.85	36.01	193.01	432.53	162.14	480.04	204.07	295.11	197.09	22.43	162.14	45.85	146.03	68.07	111.99	109.66	199.85	75.64	239.52
KLF8	0.0	0.66	43.63	104.42	87.03	218.79	23.42	226.54	82.87	371.22	144.01	103.69	109.66	457.25	202.66	110.43	120.94	181.28	307.69	291.04	454.09	460.44	172.65	194.36	35.76	87.03	159.9	181.28	121.79	334.46	202.66	170.25	136.19	176.29	435.55	271.48	417.77	171.45	547.75	11.47	10.31	14.03	14.45	21.16	5.28	14.89	15.91	18.7	23.93	15.45	21.47	22.26	27.64	21.94	6.11	14.14	18.56	11.64	18.7	12.09	10.63	17.77	14.67	11.3
KSR1	0.0	0.96	356.05	141.02	277.2	329.84	392.44	303.44	82.87	759.08	320.8	187.71	285.03	454.09	417.77	124.37	287.01	507.46	414.87	182.55	507.46	599.49	426.57	480.04	384.34	366.09	902.89	175.07	368.65	441.64	444.72	339.14	85.82	460.44	457.25	236.21	457.25	884.29	379.04	6.89	17.38	24.28	12.93	90.14	10.71	38.67	12.45	96.01	32.59	64.34	38.95	105.15	60.82	66.18	15.45	20.86	51.35	28.04	52.82	39.5	22.92	53.95	24.81	35.76
LAMB3	0.0	0.41	8479.89	896.64	2032.85	5517.27	3146.52	3874.05	2502.97	2816.11	1572.76	2627.46	1572.76	2018.8	2573.36	1733.13	3168.41	1208.34	1096.5	2434.5	1340.84	3847.29	3515.68	3146.52	4639.29	2148.82	2133.97	1639.59	1991.0	1457.23	3820.7	3639.7	1896.65	4869.99	1519.15	3820.7	1844.76	3018.3	2720.15	9.41	8.65	31.9	32.82	148.09	81.71	94.01	33.54	92.7	30.12	6.94	41.22	336.79	18.16	59.55	2.76	16.88	23.25	10.16	88.26	24.81	61.25	121.79	88.26	80.57
LGR6	0.0	0.39	12.83	27.05	79.45	20.56	25.72	23.59	193.01	78.34	18.56	43.94	201.25	48.18	152.28	49.91	142.01	101.54	46.5	54.33	20.86	40.64	215.77	1023.0	7.63	134.3	202.66	33.54	20.41	39.79	279.14	17.9	52.82	69.03	122.64	31.67	66.18	16.51	32.36	0.33	4.62	2.58	6.16	2.56	1.66	4.78	2.71	8.19	10.71	4.5	13.22	6.36	38.4	34.51	1.57	1.33	0.99	4.39	7.28	1.68	3.5	6.31	2.36	1.81
LRP4	0.0	0.57	80.01	51.35	1023.0	187.71	146.03	80.01	62.56	71.0	20.56	48.18	128.79	54.33	182.55	46.5	149.12	114.36	122.64	55.1	70.01	77.79	156.59	113.56	113.56	154.42	41.52	47.84	155.5	43.32	65.72	59.97	38.12	66.65	81.71	89.51	39.5	105.89	58.3	48.18	13.12	27.25	44.89	45.53	13.93	81.14	23.08	82.29	15.91	87.65	46.5	51.35	40.64	23.76	10.63	19.39	28.04	29.91	21.01	42.41	30.56	72.01	25.17	34.26
LSS	0.0	0.18	1081.39	954.43	1498.22	1268.46	392.44	1286.18	1208.34	1008.9	947.83	1225.22	1331.57	1477.58	1674.06	981.29	1127.35	1551.09	1397.83	2255.7	1857.6	1561.89	1417.35	1081.39	713.11	1051.79	1286.18	1427.22	1487.87	1745.2	1059.11	1167.14	981.29	1594.73	1583.71	1088.92	1709.26	842.36	1883.54	974.5	928.3	1540.37	1286.18	1111.82	928.3	555.41	842.36	1135.2	780.44	698.41	830.75	878.17	703.28	591.22	2090.03	607.87	1143.1	460.44	1477.58	748.61	620.67	928.3	1175.27	1250.98
LTB4R2	0.0	0.61	30.78	6.01	28.45	15.91	138.1	35.25	0.0	30.34	59.55	12.55	39.5	4.62	19.53	36.53	8.99	30.34	32.59	11.04	35.5	19.39	34.26	62.12	96.68	153.34	92.7	69.03	9.06	24.11	34.02	30.34	2.58	12.18	63.45	7.46	27.25	12.27	119.26	6.36	4.9	22.92	8.78	16.15	4.78	4.74	13.72	10.71	1.2	9.78	6.41	8.85	2.89	2.23	6.89	5.5	4.28	0.0	11.04	23.08	5.45	18.56	6.31	2.71
LZTS3	0.0	0.64	409.15	291.04	358.54	941.27	447.82	1447.15	728.11	802.41	305.55	493.56	1397.83	476.71	454.09	325.29	435.55	397.93	493.56	239.52	825.0	921.88	599.49	713.11	358.54	733.19	406.31	297.17	206.94	432.53	536.45	412.0	228.13	1233.75	476.71	511.0	819.3	753.83	490.14	65.72	177.53	176.29	171.45	96.01	104.42	269.6	381.68	127.89	140.04	142.01	45.53	106.63	73.03	143.01	55.1	241.19	256.78	258.57	253.23	167.9	87.03	171.45	72.52	181.28
MFAP5	0.0	0.28	45.85	974.5	63.45	190.34	4575.41	105.89	429.54	63.45	215.77	19.53	13.12	228.13	521.76	53.57	45.53	73.03	2502.97	151.22	356.05	94.67	29.91	656.11	791.35	23.93	176.29	348.71	45.53	1225.22	497.0	141.02	688.78	169.07	309.83	389.72	190.34	660.68	71.5	5.11	0.0	6.78	42.41	4.62	9.63	35.25	24.63	11.55	3.92	9.13	2.66	12.45	4.58	19.68	2.71	21.16	7.82	5.02	10.39	5.11	8.92	0.0	0.96	4.86
MPZL2	0.0	0.42	4388.98	1936.53	1936.53	2061.24	10154.69	2319.15	1143.1	1896.65	2119.22	2468.49	1407.55	2682.69	1277.29	2537.92	2271.4	1963.57	2061.24	2351.53	1733.13	3955.48	2434.5	1437.15	6207.38	2367.9	2664.15	1242.34	1857.6	1674.06	1733.13	2335.28	2664.15	1529.73	1685.71	2485.67	1721.16	2224.63	2664.15	909.17	703.28	733.19	872.1	718.08	95.34	540.19	476.71	708.18	547.75	791.35	890.44	563.18	733.19	1674.06	253.23	429.54	267.73	529.06	1119.56	813.63	629.35	1159.07	480.04	688.78
MRO	0.0	0.04	9.63	9.13	0.47	0.21	3.66	1.69	1.04	3.14	27.05	1.62	5.28	3.11	7.51	3.86	0.77	14.67	22.26	9.7	5.23	0.0	5.45	7.28	3.69	5.82	1.99	6.36	6.89	12.0	1.97	0.0	24.81	1.91	13.42	8.32	6.41	7.46	9.93	2.61	0.69	1.0	5.73	2.97	0.43	3.89	5.92	3.44	0.75	1.53	1.64	2.29	2.43	8.58	2.84	2.73	8.06	1.5	1.06	0.74	0.0	1.0	0.0	0.0
