	GTEX.Y111.1726.SM.4SOIQ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.132NY.1226.SM.5PNVF	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.X5EB.0426.SM.46MVY	GTEX.13N11.0326.SM.5LUA3	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11WQK.2926.SM.5EQKT
FBXO41	61.68	0.0	0.51	11.73	22.26	17.77	23.08	113.56	39.22	8.45	7.22	20.11	7.75	32.13	58.3	75.11	202.66	23.59	28.65	7.51	17.9	41.22	43.02	13.62	63.45	34.51	36.53	14.78	16.75	15.68	57.49	20.56	25.17	10.39	25.72	15.68	16.27	31.9	40.36	22.92	31.45	49.56	15.56	71.0	42.41	30.56	4.74	59.97	66.65	40.64	44.57	1.38	21.63	10.24	6.67	15.34
FLYWCH1	2255.7	0.0	0.64	241.19	279.14	249.73	327.56	656.11	769.69	389.72	444.72	854.13	723.08	392.44	723.08	1378.57	1037.29	297.17	536.45	202.66	406.31	974.5	366.09	283.05	842.36	633.73	543.96	215.77	182.55	201.25	417.77	733.19	518.15	358.54	267.73	173.85	211.31	525.39	854.13	361.04	624.99	1066.48	299.25	444.72	703.28	208.38	329.84	1216.75	688.78	529.06	808.0	186.4	236.21	102.25	134.3	283.05
FUK	703.28	0.0	0.64	151.22	187.71	234.57	273.37	486.75	307.69	287.01	159.9	251.48	251.48	316.37	379.04	633.73	525.39	379.04	412.0	108.9	316.37	457.25	500.46	183.82	543.96	303.44	368.65	156.59	221.86	256.78	567.1	420.68	457.25	205.5	299.25	156.59	155.5	441.64	368.65	182.55	241.19	665.29	171.45	518.15	341.51	205.5	387.02	406.31	555.41	490.14	532.74	61.25	202.66	99.43	55.49	95.34
GOLGA1	473.41	0.0	0.52	103.69	154.42	164.42	138.1	279.14	199.85	135.24	127.89	183.82	177.53	198.47	244.57	305.55	384.34	220.32	165.57	88.88	224.97	273.37	218.79	171.45	241.19	248.0	205.5	147.06	223.41	246.28	301.33	241.19	176.29	152.28	193.01	131.51	127.89	183.82	204.07	100.13	186.4	334.46	197.09	303.44	195.72	137.14	126.12	275.28	251.48	215.77	226.54	32.59	133.36	74.06	178.77	61.25
HDAC10	1044.52	0.0	0.96	267.73	258.57	361.04	339.14	1388.16	371.22	251.48	155.5	507.46	463.65	595.34	728.11	1487.87	1378.57	769.69	493.56	197.09	387.02	928.3	587.13	212.78	890.44	796.86	420.68	348.71	301.33	181.28	872.1	470.14	642.59	253.23	435.55	152.28	231.32	353.59	540.19	273.37	363.56	967.76	255.0	708.18	656.11	412.0	483.38	1081.39	896.64	842.36	483.38	182.55	409.15	147.06	78.34	71.0
IFFO1	1407.55	0.0	0.89	178.77	107.38	323.03	132.44	1008.9	441.64	170.25	54.72	332.14	376.41	438.59	529.06	1277.29	1331.57	669.92	346.29	24.28	379.04	753.83	480.04	182.55	1111.82	642.59	417.77	185.11	236.21	186.4	769.69	483.38	366.09	115.97	246.28	77.79	98.04	387.02	320.8	85.82	293.07	791.35	246.28	830.75	441.64	314.17	236.21	796.86	633.73	460.44	334.46	78.89	253.23	64.8	63.0	14.24
KIFC2	1008.9	0.0	1.5	57.08	64.8	148.09	105.15	536.45	194.36	134.3	52.45	454.09	332.14	217.27	201.25	961.07	1096.5	379.04	224.97	68.07	157.68	395.18	265.87	82.87	457.25	312.0	244.57	128.79	81.71	87.65	503.95	414.87	507.46	66.65	146.03	12.09	29.27	187.71	234.57	63.0	177.53	688.78	76.17	532.74	351.14	226.54	656.11	571.05	674.59	224.97	177.53	85.82	186.4	77.25	60.82	58.71
KLHDC1	155.5	0.0	0.3	17.64	53.19	41.52	22.92	85.22	65.26	39.22	17.9	94.67	66.18	58.3	77.25	82.87	108.9	81.71	38.4	11.13	78.34	81.14	85.22	49.56	55.89	88.26	102.25	38.12	44.89	100.83	106.63	106.63	61.68	17.51	54.72	18.84	24.81	76.71	65.72	18.97	77.79	114.36	47.84	92.05	55.89	48.52	42.41	94.01	69.52	64.34	65.26	15.68	40.07	23.08	11.3	2.81
LIN7B	511.0	0.0	0.42	123.5	49.91	122.64	153.34	309.83	127.0	178.77	14.56	115.97	241.19	239.52	136.19	249.73	336.79	224.97	156.59	35.0	121.79	237.86	187.71	147.06	229.72	295.11	269.6	128.79	99.43	98.73	193.01	241.19	260.38	51.71	135.24	38.95	79.45	162.14	119.26	43.02	206.94	356.05	228.13	180.02	148.09	173.85	201.25	211.31	221.86	205.5	121.79	88.26	108.9	23.76	152.28	100.83
LMF2	2537.92	0.0	1.07	796.86	791.35	728.11	995.0	1674.06	954.43	1143.1	624.99	1023.0	934.76	896.64	1151.06	2417.67	2816.11	995.0	1111.82	551.56	660.68	1369.04	1216.75	660.68	1250.98	1208.34	1104.13	708.18	759.08	733.19	1457.23	1143.1	909.17	591.22	728.11	647.07	521.76	954.43	1096.5	595.34	896.64	1870.53	679.29	1896.65	1369.04	808.0	1295.13	1487.87	1417.35	1313.23	1457.23	503.95	934.76	551.56	301.33	633.73
LPIN3	486.75	159.9	332.14	49.91	52.45	90.77	124.37	305.55	190.34	164.42	33.3	204.07	204.07	237.86	264.03	414.87	305.55	285.03	224.97	29.27	264.03	271.48	267.73	100.83	325.29	120.1	241.19	170.25	48.87	217.27	368.65	295.11	244.57	55.89	152.28	41.52	61.25	204.07	119.26	88.88	187.71	490.14	106.63	228.13	267.73	102.97	249.73	251.48	400.71	329.84	336.79	47.5	81.71	61.68	122.64	46.84
METTL17	2895.31	0.0	1.16	224.97	256.78	769.69	417.77	1662.49	947.83	389.72	246.28	483.38	1030.12	713.11	1151.06	1572.76	2351.53	1407.55	563.18	406.31	1151.06	1277.29	785.88	624.99	1819.35	1037.29	775.05	660.68	417.77	1199.98	954.43	1143.1	884.29	514.56	995.0	420.68	457.25	723.08	808.0	587.13	884.29	872.1	665.29	1304.15	1081.39	693.58	642.59	1088.92	1175.27	679.29	791.35	320.8	500.46	289.02	224.97	336.79
MIIP	896.64	0.0	0.77	412.0	432.53	878.17	1001.93	921.88	575.03	348.71	486.75	791.35	642.59	703.28	486.75	854.13	1008.9	981.29	543.96	414.87	563.18	1407.55	733.19	353.59	921.88	693.58	507.46	669.92	432.53	476.71	718.08	848.22	753.83	403.5	291.04	346.29	563.18	493.56	532.74	336.79	536.45	1208.34	629.35	733.19	748.61	647.07	656.11	947.83	1216.75	473.41	934.76	209.84	314.17	403.5	229.72	255.0
MLH3	444.72	0.0	0.39	116.78	129.69	127.89	209.84	361.04	194.36	185.11	72.52	289.02	348.71	295.11	273.37	295.11	420.68	457.25	176.29	103.69	327.56	325.29	303.44	226.54	299.25	348.71	201.25	285.03	180.02	269.6	381.68	389.72	251.48	137.14	134.3	100.13	150.17	287.01	256.78	127.89	273.37	289.02	232.94	412.0	199.85	212.78	260.38	273.37	320.8	221.86	389.72	76.17	175.07	147.06	73.03	126.12
