	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12584.1426.SM.5EGJ9	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.CH.5740.01A.11R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.YJ8A.1126.SM.5IFJU	GTEX.144GM.0826.SM.5O98R	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD	GTEX.11P82.0726.SM.5PNYL	GTEX.13O61.1126.SM.5L3FI	GTEX.12C56.0526.SM.5FQST	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.12WSJ.0926.SM.5P9JD	GTEX.TKQ1.0526.SM.4DXTG	GTEX.WFJO.1126.SM.4LVLZ
SCFD1	791.35	0.0	0.88	612.11	1540.37	1242.34	1447.15	1709.26	1369.04	1096.5	1437.15	1709.26	1268.46	1378.57	1519.15	1286.18	1605.83	1313.23	1709.26	995.0	1757.34	733.19	954.43	1286.18	1151.06	1151.06	1806.78	1242.34	848.22	1096.5	1104.13	1378.57	1268.46	1313.23	1111.82	693.58	660.68	633.73	417.77	466.88	536.45	466.88	529.06	438.59	536.45
SLC25A21-AS1	17.64	0.0	0.16	9.34	98.04	171.45	166.73	191.67	142.01	134.3	173.85	142.01	100.83	180.02	171.45	145.02	171.45	156.59	138.1	117.6	164.42	58.3	76.17	152.28	110.43	75.11	144.01	127.0	50.98	51.35	122.64	181.28	157.68	87.03	87.03	18.16	39.22	15.68	0.0	2.92	8.51	22.59	12.09	11.21	9.13
SMPD3	3.11	0.0	0.27	23.25	29.06	153.34	138.1	441.64	107.38	111.99	156.59	52.08	95.34	260.38	88.88	131.51	305.55	106.63	50.98	88.26	94.01	28.04	43.94	120.94	161.02	129.69	43.32	37.59	32.82	37.85	94.67	96.01	142.01	70.51	40.36	40.36	53.95	54.33	59.13	14.14	19.25	22.75	21.94	41.81	26.86
SNRNP35	334.46	0.0	0.37	193.01	995.0	785.88	813.63	728.11	1119.56	995.0	928.3	830.75	718.08	890.44	1331.57	909.17	1104.13	796.86	642.59	819.3	872.1	607.87	780.44	813.63	764.36	860.08	995.0	669.92	559.28	679.29	665.29	679.29	1030.12	688.78	836.53	409.15	698.41	493.56	327.56	356.05	540.19	409.15	616.37	420.68	497.0
SPATA20	728.11	0.0	0.61	351.14	1250.98	1781.89	1697.45	2997.45	1594.73	1183.45	1331.57	780.44	1313.23	1883.54	1909.85	1208.34	1331.57	1757.34	890.44	1745.2	995.0	1225.22	1529.73	1369.04	1340.84	1551.09	1151.06	759.08	842.36	928.3	1467.37	1781.89	2400.97	1674.06	854.13	563.18	769.69	444.72	490.14	612.11	264.03	409.15	748.61	463.65	616.37
SS18L2	366.09	0.0	0.66	447.82	1857.6	1233.75	1407.55	2351.53	1233.75	1037.29	1417.35	1066.48	1175.27	961.07	1832.01	974.5	2018.8	866.07	1936.53	1268.46	1794.29	376.41	947.83	1015.93	866.07	1051.79	1617.0	941.27	583.07	718.08	743.43	1617.0	1051.79	1119.56	1023.0	237.86	363.56	301.33	316.37	323.03	387.02	318.57	373.81	279.14	307.69
TARBP2	128.79	0.0	0.0	127.0	819.3	583.07	866.07	878.17	703.28	514.56	791.35	379.04	447.82	651.58	753.83	500.46	532.74	607.87	642.59	483.38	693.58	212.78	414.87	432.53	466.88	583.07	595.34	320.8	366.09	395.18	507.46	438.59	728.11	353.59	429.54	187.71	246.28	265.87	318.57	237.86	212.78	205.5	412.0	260.38	234.57
TMEFF2	17.0	0.0	0.01	2.73	995.0	4869.99	4769.75	2537.92	460.44	974.5	8718.32	2163.77	493.56	3614.55	466.88	205.5	2758.13	1059.11	2224.63	1023.0	4066.71	1037.29	808.0	8778.97	3794.3	99.43	6294.04	616.37	366.09	111.99	2148.82	4210.15	4802.93	656.11	1639.59	21.94	30.34	14.03	19.25	9.34	19.97	15.8	3.96	15.8	27.05
TRAIP	26.28	0.0	0.04	12.45	22.1	34.02	66.65	131.51	55.49	47.84	81.14	36.01	27.44	55.49	67.59	68.07	43.94	69.03	59.97	38.95	51.35	32.13	33.3	42.41	49.56	52.82	57.49	20.11	21.16	26.1	62.12	36.01	75.64	45.21	26.67	18.03	35.0	28.04	24.63	29.91	32.82	19.97	27.05	28.04	16.51
TSGA10	80.01	0.0	0.0	75.64	202.66	102.25	90.77	170.25	181.28	69.03	307.69	143.01	104.42	116.78	256.78	167.9	182.55	147.06	224.97	86.43	128.79	39.79	147.06	118.43	176.29	119.26	90.14	135.24	78.34	119.26	81.14	116.78	115.97	137.14	54.33	77.79	106.63	37.32	31.22	78.34	24.46	99.43	63.45	52.45	45.85
UTP18	323.03	0.0	0.67	343.89	669.92	559.28	575.03	813.63	583.07	392.44	656.11	612.11	575.03	728.11	723.08	567.1	414.87	563.18	802.41	412.0	693.58	336.79	389.72	521.76	497.0	540.19	559.28	638.15	612.11	638.15	486.75	595.34	336.79	444.72	532.74	146.03	269.6	205.5	303.44	460.44	191.67	153.34	260.38	211.31	162.14
WDR5B	8.85	0.0	0.0	13.72	86.43	127.0	164.42	187.71	130.6	86.43	186.4	138.1	116.78	124.37	153.34	118.43	128.79	111.99	127.0	102.97	153.34	73.54	65.26	130.6	108.9	80.01	129.69	109.66	77.25	63.89	104.42	126.12	176.29	89.51	86.43	19.25	36.53	19.25	19.25	25.91	29.91	35.5	29.7	11.21	17.9
YARS2	215.77	0.0	0.04	116.78	351.14	339.14	314.17	543.96	376.41	285.03	336.79	309.83	277.2	339.14	454.09	336.79	392.44	307.69	353.59	368.65	376.41	241.19	214.27	295.11	269.6	339.14	301.33	334.46	226.54	283.05	325.29	206.94	214.27	269.6	226.54	229.72	232.94	148.09	191.67	258.57	260.38	137.14	214.27	111.21	167.9
ZBTB3	4.46	28.04	123.5	30.78	146.03	152.28	117.6	189.02	127.0	132.44	204.07	157.68	99.43	135.24	208.38	136.19	145.02	90.14	99.43	132.44	122.64	76.17	77.79	135.24	67.12	63.89	130.6	59.13	76.71	33.54	66.65	79.45	177.53	40.64	82.29	63.0	82.87	51.35	55.49	50.98	78.89	102.25	70.51	59.97	30.78
ZDHHC6	348.71	0.0	0.61	183.82	1216.75	808.0	1044.52	902.89	780.44	647.07	759.08	808.0	884.29	674.59	708.18	713.11	941.27	764.36	1008.9	647.07	934.76	389.72	624.99	775.05	693.58	836.53	947.83	759.08	551.56	563.18	665.29	854.13	674.59	620.67	616.37	395.18	444.72	500.46	483.38	264.03	316.37	435.55	307.69	400.71	320.8
ZFP62	253.23	0.0	0.49	87.65	595.34	460.44	629.35	642.59	529.06	414.87	708.18	532.74	409.15	536.45	660.68	514.56	591.22	490.14	420.68	379.04	460.44	356.05	387.02	444.72	444.72	470.14	563.18	409.15	293.07	412.0	376.41	497.0	473.41	438.59	373.81	182.55	242.88	220.32	171.45	166.73	152.28	291.04	177.53	189.02	138.1
ZNF599	33.54	0.0	0.35	25.54	529.06	289.02	295.11	379.04	283.05	351.14	264.03	209.84	223.41	277.2	301.33	291.04	406.31	197.09	332.14	246.28	320.8	127.89	221.86	262.2	281.09	167.9	258.57	170.25	119.26	114.36	229.72	258.57	525.39	258.57	209.84	78.34	127.89	84.04	57.49	48.18	88.26	81.14	80.01	87.65	52.45
ZNF613	47.17	0.0	0.18	23.93	486.75	379.04	521.76	830.75	423.61	397.93	866.07	684.02	195.72	366.09	563.18	376.41	476.71	591.22	698.41	400.71	551.56	260.38	318.57	753.83	420.68	251.48	473.41	323.03	169.07	277.2	343.89	293.07	521.76	368.65	291.04	35.25	120.94	73.03	38.12	112.77	80.01	70.01	80.57	43.63	54.72
ZNF717	52.08	0.0	0.41	28.24	147.06	119.26	232.94	214.27	138.1	117.6	142.01	177.53	109.66	127.89	151.22	147.06	145.02	121.79	173.85	98.04	182.55	103.69	108.9	111.21	100.13	153.34	144.01	91.41	56.68	108.14	140.04	150.17	186.4	133.36	94.67	63.45	27.05	67.12	26.47	8.51	29.27	16.15	35.76	43.63	59.13
