	TCGA.LL.A440.01A.11R.A24H.07	TCGA.W5.AA2X.11A.11R.A41I.07	GTEX.13QJ3.1926.SM.5QGQM	GTEX.Y111.1826.SM.4SOIR	GTEX.Y111.1726.SM.4SOIQ	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.ZYY3.1626.SM.5EGJF	TCGA.BP.4988.01A.01R.1334.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.2Y.A9GV.01A.11R.A38B.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.J4.A83J.11A.11R.A36G.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP
KLHDC1	95.34	66.65	173.85	204.07	155.5	293.07	177.53	260.38	234.57	134.3	44.57	50.63	49.56	43.02	24.81	7.57	11.13	20.11	17.38	20.11	17.0	37.59	22.92	14.67	29.06	14.67	16.51	24.99	10.63	22.43	23.08	13.83	17.0	15.34	22.75	35.25	22.75	16.75	20.26	14.14	36.01	40.64	14.89	30.12	18.7	23.42	31.9	18.03	91.41	128.79	90.77	95.34	47.84	37.59
KRI1	587.13	417.77	579.04	525.39	669.92	909.17	595.34	521.76	579.04	1457.23	371.22	366.09	718.08	346.29	305.55	138.1	101.54	232.94	255.0	215.77	264.03	275.28	158.79	147.06	251.48	176.29	127.89	218.79	285.03	373.81	379.04	246.28	265.87	173.85	215.77	183.82	323.03	193.01	376.41	253.23	195.72	400.71	223.41	260.38	88.88	142.01	244.57	193.01	928.3	1066.48	813.63	884.29	713.11	674.59
L3MBTL1	209.84	89.51	327.56	420.68	432.53	476.71	297.17	551.56	400.71	518.15	48.87	37.85	85.22	52.08	42.71	2.1	2.01	18.7	12.74	5.28	1.53	53.95	22.59	3.76	18.7	7.0	6.06	19.68	10.16	18.29	60.82	3.0	16.15	15.91	17.25	8.71	13.72	4.24	24.81	4.9	24.63	31.67	7.22	21.94	5.41	15.68	16.15	12.64	307.69	241.19	190.34	277.2	118.43	46.18
LAT	423.61	237.86	669.92	1388.16	1794.29	1268.46	896.64	1191.69	1023.0	995.0	169.07	426.57	371.22	228.13	136.19	17.25	24.28	75.64	58.3	102.97	29.27	156.59	100.13	16.75	119.26	24.46	29.48	56.28	31.22	93.35	65.72	72.01	111.99	52.45	80.57	89.51	62.56	18.84	194.36	47.5	77.79	129.69	43.32	75.11	27.05	47.5	107.38	35.5	343.89	536.45	279.14	384.34	149.12	112.77
LENG8	5041.77	2367.9	7433.4	8778.97	10659.59	7857.29	7911.95	11189.6	10440.2	10440.2	2835.7	2367.9	1991.0	2224.63	1529.73	229.72	239.52	796.86	432.53	713.11	507.46	848.22	684.02	403.5	514.56	466.88	164.42	366.09	591.22	733.19	507.46	819.3	563.18	825.0	500.46	507.46	660.68	536.45	1199.98	633.73	587.13	825.0	532.74	493.56	299.25	571.05	748.61	454.09	5441.3	5292.48	3515.68	6652.97	2303.12	1909.85
LUC7L3	2400.97	1583.71	5147.73	5872.48	5633.22	7230.1	5995.9	8658.09	6699.25	4769.75	1066.48	1277.29	1757.34	1199.98	1208.34	332.14	480.04	647.07	454.09	603.67	426.57	1088.92	497.0	381.68	848.22	356.05	406.31	612.11	438.59	928.3	934.76	514.56	775.05	780.44	733.19	753.83	796.86	281.09	825.0	543.96	684.02	1359.57	341.51	647.07	412.0	490.14	884.29	551.56	2591.27	3419.52	1870.53	2434.5	1208.34	988.12
MAP3K12	642.59	133.36	848.22	884.29	947.83	1487.87	842.36	1295.13	1388.16	1268.46	78.34	128.79	109.66	129.69	138.1	26.28	21.63	89.51	18.56	55.1	12.45	34.26	47.84	20.26	72.01	19.68	13.03	36.27	12.18	98.04	87.03	38.4	58.71	47.84	43.02	59.55	19.11	33.54	82.87	38.67	24.46	52.45	22.59	31.0	18.43	32.59	48.18	31.67	260.38	260.38	177.53	269.6	69.52	114.36
METTL3	967.76	543.96	1268.46	1437.15	1467.37	1769.57	1295.13	1477.58	1540.37	1832.01	764.36	563.18	995.0	540.19	463.65	211.31	312.0	249.73	239.52	260.38	185.11	381.68	231.32	193.01	287.01	197.09	186.4	232.94	165.57	400.71	395.18	226.54	267.73	279.14	329.84	285.03	400.71	149.12	463.65	234.57	305.55	432.53	204.07	307.69	142.01	223.41	339.14	271.48	1167.14	1417.35	1051.79	1030.12	693.58	551.56
MON2	493.56	543.96	941.27	848.22	866.07	1111.82	842.36	1331.57	775.05	988.12	329.84	463.65	307.69	511.0	251.48	100.13	140.04	214.27	249.73	236.21	236.21	420.68	185.11	173.85	348.71	217.27	205.5	186.4	193.01	173.85	187.71	244.57	204.07	221.86	211.31	264.03	325.29	177.53	295.11	244.57	169.07	414.87	194.36	277.2	195.72	262.2	220.32	197.09	514.56	543.96	432.53	543.96	305.55	223.41
NEURL4	503.95	295.11	718.08	1183.45	1242.34	1073.91	909.17	884.29	872.1	934.76	241.19	223.41	307.69	191.67	163.28	52.45	84.63	159.9	111.21	144.01	108.9	129.69	145.02	58.71	152.28	148.09	98.73	83.45	132.44	176.29	234.57	155.5	149.12	146.03	142.01	137.14	269.6	98.73	158.79	62.56	157.68	291.04	108.14	152.28	32.82	139.07	185.11	145.02	647.07	665.29	500.46	679.29	334.46	387.02
NISCH	1757.34	954.43	2451.44	2895.31	3146.52	3589.58	2485.67	3820.7	3742.05	1819.35	579.04	934.76	1030.12	836.53	738.29	187.71	217.27	426.57	287.01	366.09	253.23	563.18	420.68	269.6	483.38	285.03	246.28	412.0	221.86	486.75	555.41	334.46	521.76	389.72	432.53	460.44	373.81	291.04	466.88	371.22	400.71	642.59	307.69	379.04	220.32	379.04	507.46	348.71	2451.44	2240.11	1963.57	2935.74	1477.58	1477.58
NKTR	1008.9	500.46	1407.55	1685.71	1457.23	2209.26	1721.16	2976.74	1819.35	1781.89	329.84	551.56	336.79	575.03	336.79	34.26	37.59	198.47	108.9	185.11	96.68	289.02	124.37	145.02	186.4	144.01	115.97	155.5	165.57	80.01	220.32	285.03	139.07	248.0	241.19	158.79	283.05	147.06	249.73	65.72	195.72	204.07	163.28	135.24	32.36	246.28	122.64	167.9	848.22	941.27	503.95	791.35	226.54	120.94
NPHP3	379.04	208.38	555.41	490.14	450.94	981.29	743.43	813.63	612.11	713.11	100.83	161.02	137.14	180.02	106.63	22.92	28.24	64.34	42.11	70.01	59.97	80.01	60.39	87.65	111.21	43.32	41.52	73.03	50.98	45.85	108.14	81.71	96.68	87.65	73.03	70.51	87.65	50.98	104.42	59.55	86.43	103.69	59.55	59.13	27.05	98.04	116.78	50.63	329.84	420.68	295.11	351.14	100.83	97.36
NPIPA1	1447.15	967.76	6037.61	5954.47	7382.04	7803.01	5751.61	5479.15	5711.87	3901.01	848.22	813.63	693.58	808.0	540.19	105.89	182.55	371.22	334.46	403.5	173.85	497.0	366.09	224.97	343.89	181.28	198.47	194.36	239.52	579.04	693.58	363.56	400.71	275.28	346.29	231.32	339.14	215.77	629.35	329.84	435.55	961.07	264.03	483.38	104.42	242.88	547.75	314.17	1950.0	2018.8	1709.26	2537.92	1081.39	1088.92
NPIPB3	1662.49	1745.2	6337.83	4671.57	6337.83	9215.48	4239.45	4210.15	4239.45	9279.58	718.08	1572.76	1340.84	1304.15	361.04	87.65	152.28	323.03	273.37	460.44	209.84	616.37	503.95	205.5	361.04	351.14	256.78	305.55	403.5	490.14	497.0	514.56	217.27	314.17	336.79	327.56	607.87	316.37	559.28	607.87	438.59	708.18	314.17	414.87	152.28	291.04	423.61	223.41	2240.11	2915.45	884.29	2209.26	1096.5	1447.15
NPIPB4	1674.06	780.44	2485.67	3395.89	3639.7	5791.62	1950.0	2627.46	2997.45	5831.91	738.29	995.0	684.02	848.22	136.19	46.84	35.5	205.5	75.11	201.25	103.69	289.02	167.9	127.89	142.01	206.94	128.79	140.04	228.13	100.13	353.59	305.55	99.43	251.48	151.22	180.02	432.53	165.57	312.0	170.25	460.44	426.57	175.07	180.02	40.64	171.45	142.01	81.14	1015.93	1175.27	525.39	1127.35	420.68	463.65
NPIPB5	2018.8	1427.22	7695.57	8718.32	11112.3	11504.21	5366.37	8134.41	5517.27	9215.48	575.03	1369.04	1183.45	1397.83	260.38	24.11	67.59	279.14	142.01	234.57	101.54	579.04	232.94	111.21	301.33	138.1	131.51	187.71	301.33	234.57	325.29	260.38	153.34	205.5	297.17	150.17	432.53	158.79	518.15	251.48	187.71	575.03	144.01	141.02	48.52	141.02	316.37	110.43	1950.0	2555.58	713.11	2193.99	543.96	521.76
ORM1	8.99	561916.97	35.0	29.27	16.39	74.58	69.03	34.75	28.04	16.03	938500.81	668235.84	811368.76	636586.81	2156109.97	437825.58	1282030.25	4136558.78	3676749.88	3070409.25	2691538.19	1656835.72	3156730.23	3576208.94	2767207.65	2748093.15	3313672.43	3780117.42	4165330.83	2986448.72	2082664.91	3313672.43	2617937.91	2654482.97	5572911.22	8505707.6	2825352.59	4051429.61	2965819.8	4282434.24	3028138.0	1656835.72	6183532.28	4433454.0	4433454.0	3832885.91	3859545.74	2767207.65	228208.61	493.56	262143.0	145432.49	1715263.94	3223059.86
PAXBP1	412.0	341.51	748.61	693.58	703.28	1119.56	575.03	1088.92	860.08	579.04	258.57	277.2	163.28	358.54	171.45	60.82	59.13	130.6	148.09	129.69	173.85	198.47	111.99	100.83	154.42	112.77	198.47	128.79	140.04	97.36	158.79	277.2	139.07	154.42	133.36	115.16	141.02	96.01	299.25	129.69	152.28	371.22	109.66	111.99	26.86	118.43	183.82	82.29	389.72	575.03	363.56	409.15	159.9	115.16
PNISR	1697.45	1286.18	4210.15	5292.48	4704.07	5913.33	3847.29	6745.86	6037.61	4152.18	796.86	1143.1	1059.11	1175.27	698.41	111.21	173.85	281.09	217.27	279.14	226.54	633.73	387.02	182.55	591.22	185.11	256.78	403.5	183.82	514.56	457.25	253.23	503.95	334.46	346.29	356.05	403.5	191.67	518.15	441.64	432.53	878.17	211.31	395.18	256.78	368.65	591.22	289.02	2303.12	2537.92	1605.83	2178.83	909.17	438.59
POGZ	1151.06	575.03	1721.16	2720.15	2875.3	2133.97	2075.59	2434.5	2004.85	1437.15	759.08	555.41	473.41	583.07	429.54	64.34	98.73	166.73	129.69	220.32	100.83	503.95	277.2	131.51	228.13	156.59	134.3	187.71	85.22	201.25	229.72	163.28	289.02	208.38	287.01	178.77	226.54	145.02	211.31	149.12	241.19	309.83	159.9	258.57	111.99	269.6	249.73	124.37	825.0	981.29	679.29	884.29	551.56	454.09
PPWD1	688.78	348.71	733.19	1008.9	1167.14	1286.18	1037.29	1628.26	1135.2	1268.46	450.94	368.65	318.57	329.84	253.23	131.51	156.59	191.67	185.11	193.01	166.73	202.66	181.28	134.3	262.2	175.07	231.32	205.5	116.78	218.79	209.84	145.02	199.85	177.53	155.5	183.82	253.23	183.82	289.02	180.02	132.44	258.57	175.07	206.94	62.12	241.19	194.36	162.14	507.46	587.13	497.0	583.07	426.57	336.79
PROSER1	289.02	209.84	525.39	397.93	301.33	579.04	392.44	426.57	444.72	435.55	241.19	211.31	241.19	122.64	100.13	32.82	43.32	98.73	79.45	91.41	125.24	166.73	49.21	74.58	74.58	55.89	75.64	72.52	85.82	105.89	103.69	133.36	73.03	120.94	133.36	97.36	133.36	99.43	204.07	98.04	63.0	208.38	108.14	91.41	32.13	96.68	120.1	64.34	361.04	387.02	329.84	320.8	312.0	239.52
PRPF39	507.46	301.33	878.17	830.75	928.3	1331.57	802.41	1135.2	854.13	830.75	316.37	264.03	366.09	269.6	146.03	47.17	81.71	105.89	81.14	115.97	103.69	163.28	82.29	69.03	135.24	89.51	137.14	98.73	137.14	105.15	141.02	108.14	151.22	119.26	122.64	76.17	170.25	53.57	171.45	137.14	102.97	221.86	69.52	123.5	30.34	123.5	180.02	94.01	567.1	723.08	540.19	543.96	409.15	191.67
RAD52	460.44	197.09	503.95	536.45	503.95	497.0	387.02	470.14	693.58	629.35	127.0	212.78	105.15	206.94	87.65	16.75	41.52	47.5	38.4	65.26	27.25	156.59	36.01	22.1	53.95	46.18	22.75	102.25	30.56	102.97	150.17	50.63	46.18	59.97	47.17	69.52	73.54	25.35	125.24	47.17	98.73	195.72	57.49	105.89	20.71	62.56	128.79	52.45	236.21	387.02	251.48	293.07	214.27	101.54
RBM5	3168.41	1662.49	4639.29	5479.15	6207.38	6207.38	4358.66	5594.3	5147.73	5791.62	1023.0	1397.83	1359.57	1199.98	848.22	223.41	287.01	571.05	438.59	624.99	397.93	866.07	579.04	356.05	748.61	417.77	500.46	454.09	591.22	679.29	688.78	629.35	629.35	629.35	563.18	521.76	785.88	429.54	708.18	490.14	665.29	1286.18	400.71	728.11	507.46	563.18	733.19	480.04	3190.46	3639.7	2627.46	3716.2	2061.24	1477.58
RNPC3	417.77	325.29	620.67	866.07	775.05	1143.1	728.11	1295.13	1088.92	1135.2	224.97	309.83	214.27	320.8	165.57	25.17	39.22	69.03	45.21	46.5	47.84	256.78	87.03	42.11	158.79	36.79	33.78	122.64	28.24	78.34	90.77	53.95	151.22	152.28	123.5	100.83	82.29	58.71	100.83	30.34	136.19	108.14	104.42	62.12	35.76	113.56	132.44	74.06	503.95	500.46	249.73	429.54	181.28	57.08
RP11-231C14.4	547.75	412.0	1340.84	2451.44	3349.13	1397.83	1183.45	981.29	1477.58	1923.14	329.84	466.88	361.04	511.0	159.9	20.71	12.09	94.01	33.78	53.95	53.19	186.4	92.05	32.82	88.26	82.87	42.11	100.83	79.45	75.11	87.03	142.01	37.05	49.21	95.34	44.89	181.28	87.03	218.79	77.79	37.32	153.34	63.45	81.71	11.21	40.93	92.7	49.21	656.11	743.43	343.89	518.15	150.17	121.79
RP11-295P9.3	368.65	260.38	718.08	961.07	947.83	928.3	753.83	890.44	1023.0	769.69	204.07	223.41	148.09	260.38	127.89	5.59	24.46	57.08	31.22	48.18	31.45	101.54	58.71	34.02	53.95	34.75	18.56	55.1	33.78	98.04	71.0	71.0	61.25	66.18	75.11	41.52	124.37	27.05	102.25	61.68	34.75	156.59	38.67	77.79	13.32	35.25	80.01	45.85	368.65	325.29	206.94	353.59	132.44	135.24
RP11-795F19.5	32.82	7.63	18.16	70.01	79.45	50.27	32.82	57.49	58.3	32.82	10.31	3.96	8.45	23.08	9.56	0.0	1.95	5.23	1.73	3.63	0.0	14.67	4.7	1.71	4.1	1.95	0.0	0.34	0.0	4.7	19.68	1.53	12.18	1.28	4.24	4.13	1.85	0.04	15.0	5.87	7.06	3.38	3.82	10.0	0.0	1.87	4.03	4.54	23.76	46.18	26.1	22.26	11.91	5.73
S100PBP	409.15	178.77	493.56	693.58	624.99	748.61	532.74	703.28	624.99	819.3	153.34	293.07	232.94	201.25	152.28	34.75	49.56	66.65	65.26	57.89	55.49	123.5	73.54	41.52	103.69	38.12	88.26	59.13	64.34	105.15	120.1	40.64	82.87	75.64	59.55	63.0	90.77	35.0	121.79	79.45	93.35	182.55	65.26	88.88	65.26	60.39	94.01	69.03	285.03	412.0	260.38	325.29	182.55	253.23
SAFB	1757.34	1127.35	1844.76	2133.97	2351.53	2417.67	1697.45	2417.67	2224.63	2271.4	1088.92	1447.15	1594.73	1104.13	1191.69	480.04	595.34	808.0	532.74	684.02	616.37	896.64	842.36	497.0	947.83	521.76	638.15	660.68	684.02	934.76	848.22	743.43	842.36	866.07	854.13	647.07	1111.82	583.07	1250.98	819.3	1023.0	1199.98	674.59	995.0	420.68	785.88	884.29	603.67	1806.78	2351.53	1685.71	2104.58	1397.83	1135.2
SEC31B	198.47	267.73	429.54	587.13	728.11	854.13	426.57	656.11	669.92	599.49	104.42	281.09	93.35	400.71	71.0	13.83	8.78	25.91	24.99	53.95	33.54	79.45	37.85	18.7	59.97	37.59	19.39	45.85	17.13	60.39	46.18	23.93	37.32	69.03	46.84	43.32	26.47	16.75	50.27	33.78	43.94	96.01	32.13	39.22	31.9	67.59	59.13	37.05	255.0	341.51	178.77	221.86	41.52	36.01
SENP7	277.2	122.64	346.29	579.04	368.65	540.19	429.54	551.56	320.8	400.71	136.19	123.5	143.01	161.02	146.03	44.89	27.64	109.66	70.51	73.54	57.89	97.36	29.7	50.63	90.77	82.87	68.07	57.89	27.84	43.94	85.22	69.03	92.7	77.79	66.65	85.82	59.13	70.51	96.01	40.93	72.52	56.28	82.29	63.0	18.84	105.89	58.3	69.52	181.28	231.32	180.02	212.78	117.6	110.43
SH2B1	1127.35	796.86	1397.83	2303.12	2627.46	1572.76	1923.14	1651.0	1936.53	1594.73	514.56	848.22	567.1	775.05	638.15	201.25	182.55	277.2	241.19	368.65	241.19	412.0	460.44	199.85	409.15	256.78	162.14	351.14	178.77	483.38	444.72	277.2	435.55	366.09	395.18	435.55	441.64	220.32	346.29	327.56	316.37	579.04	287.01	353.59	241.19	305.55	420.68	327.56	1467.37	1617.0	1183.45	1594.73	1378.57	961.07
SLC35E2	163.28	55.1	143.01	127.0	172.65	93.35	145.02	190.34	334.46	264.03	75.64	96.01	54.33	63.89	59.55	4.5	14.03	28.86	50.98	9.56	24.28	85.82	29.91	48.18	26.1	18.7	1.45	21.32	17.77	27.64	63.89	8.78	66.18	30.34	40.36	30.34	29.91	14.24	29.91	6.84	14.35	19.53	47.17	20.86	9.48	50.63	27.25	59.55	125.24	138.1	142.01	123.5	100.13	85.82
SLC35E2B	1008.9	379.04	947.83	1277.29	1225.22	1359.57	785.88	988.12	1268.46	1359.57	379.04	551.56	417.77	403.5	239.52	64.34	100.13	201.25	214.27	218.79	102.97	325.29	162.14	153.34	237.86	220.32	69.52	176.29	186.4	281.09	299.25	145.02	343.89	129.69	267.73	214.27	190.34	154.42	256.78	128.79	318.57	423.61	163.28	194.36	95.34	198.47	242.88	239.52	819.3	1143.1	679.29	733.19	665.29	353.59
SLC7A6OS	297.17	68.07	267.73	260.38	312.0	244.57	305.55	346.29	400.71	309.83	121.79	123.5	119.26	116.78	142.01	94.67	49.21	119.26	80.57	85.22	49.56	73.03	96.68	59.97	75.64	58.3	63.0	72.01	71.5	87.65	103.69	54.72	90.77	95.34	70.51	88.26	53.19	65.72	120.1	43.63	77.25	178.77	70.01	70.01	21.47	92.05	88.88	69.03	205.5	224.97	223.41	228.13	228.13	273.37
SNRNP70	6471.02	5112.16	5441.3	8247.98	9344.14	9151.82	6426.31	6516.03	8658.09	9474.59	5633.22	6121.9	4869.99	4512.4	3419.52	836.53	733.19	1447.15	1540.37	2075.59	1397.83	2287.2	1806.78	1437.15	2075.59	1639.59	1044.52	1340.84	1794.29	2573.36	2004.85	2485.67	2351.53	2148.82	2018.8	1896.65	2997.45	1487.87	2133.97	1487.87	2287.2	3540.14	1721.16	2271.4	1277.29	2047.0	2193.99	1936.53	9474.59	9540.5	6207.38	7642.41	4328.55	3190.46
SPDYE1	5.36	4.1	15.22	7.34	14.14	10.96	15.56	10.71	13.93	29.27	4.39	5.59	5.77	3.99	3.82	0.44	1.5	3.86	1.04	1.62	1.99	3.03	0.95	0.07	4.1	1.36	0.96	1.71	1.0	2.81	3.56	2.92	0.0	3.08	3.82	0.13	3.79	1.91	3.63	0.0	2.41	4.06	1.81	3.11	0.09	2.1	1.91	2.78	6.41	6.89	7.4	6.89	5.77	8.71
STK36	753.83	348.71	1183.45	1191.69	1199.98	1487.87	607.87	1037.29	1059.11	1936.53	320.8	285.03	258.57	389.72	178.77	38.4	49.91	163.28	73.03	148.09	75.64	218.79	121.79	76.71	309.83	152.28	63.89	104.42	56.28	255.0	258.57	83.45	249.73	117.6	151.22	178.77	185.11	59.13	312.0	82.29	187.71	260.38	74.06	161.02	44.25	209.84	262.2	154.42	642.59	915.51	473.41	599.49	295.11	293.07
STX16	1096.5	703.28	1697.45	2303.12	2384.37	2178.83	1870.53	2573.36	2485.67	2384.37	808.0	836.53	647.07	728.11	406.31	127.0	151.22	258.57	202.66	283.05	236.21	423.61	293.07	183.82	316.37	172.65	141.02	232.94	218.79	356.05	395.18	249.73	327.56	309.83	256.78	262.2	325.29	182.55	660.68	231.32	295.11	423.61	277.2	348.71	153.34	253.23	336.79	249.73	967.76	1322.37	743.43	1059.11	638.15	289.02
SUPT20H	620.67	361.04	866.07	802.41	890.44	884.29	961.07	941.27	928.3	1073.91	371.22	376.41	353.59	332.14	273.37	91.41	152.28	142.01	169.07	169.07	81.71	197.09	116.78	142.01	208.38	114.36	131.51	162.14	106.63	242.88	291.04	138.1	173.85	155.5	156.59	186.4	265.87	98.04	503.95	129.69	215.77	231.32	145.02	197.09	63.45	151.22	198.47	148.09	607.87	651.58	647.07	660.68	540.19	376.41
TAS2R20	12.64	10.0	50.98	31.22	28.86	81.71	45.21	53.57	26.47	50.98	5.23	8.78	8.78	11.82	2.01	0.0	0.68	2.36	0.28	1.83	2.34	5.41	1.97	0.0	3.63	0.16	2.34	1.31	2.32	2.23	1.3	2.61	3.56	0.75	4.78	0.0	6.01	1.45	5.15	2.68	5.5	5.28	0.8	4.94	3.11	3.53	4.98	0.64	15.22	23.93	7.75	16.75	3.32	1.25
TAS2R5	35.0	8.25	39.22	64.34	61.68	59.55	62.12	57.08	46.84	105.89	10.63	17.0	8.65	5.92	3.35	0.0	0.0	4.78	0.0	5.45	0.4	6.36	0.18	0.19	4.9	0.0	0.0	1.51	2.94	3.76	4.74	1.87	0.0	0.89	1.23	5.54	4.35	1.43	5.77	0.8	1.38	5.15	1.73	2.36	0.0	0.0	5.68	2.71	33.54	28.24	13.62	35.0	8.92	2.68
TBC1D3H	85.22	44.57	81.14	260.38	299.25	265.87	52.45	218.79	140.04	242.88	30.78	77.79	47.17	49.56	11.47	0.0	0.97	3.06	6.11	6.21	2.68	23.76	8.65	0.0	44.25	5.96	2.76	7.69	3.63	3.44	12.0	6.78	12.27	18.56	8.06	0.21	2.07	2.18	24.28	1.31	16.63	33.06	1.41	9.06	3.69	21.32	19.11	16.15	85.22	118.43	32.36	93.35	13.62	11.13
TIA1	1487.87	974.5	1583.71	1977.24	1757.34	1870.53	1447.15	2627.46	1963.57	2287.2	780.44	909.17	599.49	813.63	514.56	70.51	155.5	265.87	291.04	314.17	172.65	470.14	226.54	224.97	429.54	197.09	142.01	264.03	93.35	231.32	493.56	173.85	368.65	299.25	307.69	368.65	358.54	139.07	258.57	198.47	339.14	493.56	201.25	403.5	149.12	309.83	361.04	307.69	1467.37	1819.35	1191.69	1340.84	607.87	414.87
TPCN1	915.51	470.14	1051.79	1605.83	1397.83	2240.11	1359.57	1313.23	1819.35	1977.24	353.59	624.99	599.49	414.87	353.59	151.22	139.07	281.09	138.1	341.51	206.94	423.61	353.59	212.78	441.64	351.14	40.07	214.27	132.44	140.04	260.38	366.09	353.59	221.86	343.89	262.2	339.14	171.45	142.01	166.73	287.01	435.55	277.2	262.2	151.22	242.88	293.07	314.17	633.73	802.41	551.56	718.08	525.39	381.68
TRIM66	134.3	97.36	145.02	206.94	190.34	169.07	134.3	217.27	218.79	283.05	95.34	120.1	115.16	144.01	59.55	6.16	18.03	36.79	35.0	31.0	22.92	90.14	37.32	13.12	36.53	17.9	13.03	29.91	11.38	30.56	82.29	44.57	58.71	26.1	38.4	27.64	26.28	23.76	20.41	10.16	29.7	57.49	36.53	69.52	14.03	32.82	35.25	35.5	115.16	120.1	53.57	102.25	67.12	29.48
TTC14	595.34	332.14	1127.35	1135.2	1127.35	1350.18	1259.69	1467.37	1857.6	1015.93	358.54	363.56	441.64	363.56	314.17	96.68	88.88	167.9	113.56	154.42	126.12	346.29	153.34	134.3	262.2	97.36	107.38	239.52	77.79	226.54	236.21	115.16	204.07	154.42	180.02	133.36	146.03	82.29	368.65	229.72	232.94	336.79	92.05	217.27	133.36	151.22	260.38	140.04	934.76	902.89	693.58	718.08	532.74	314.17
TTLL3	1350.18	460.44	2319.15	3257.52	3280.18	2796.65	2271.4	2502.97	3103.19	2777.33	264.03	307.69	363.56	236.21	215.77	43.63	26.86	101.54	50.27	85.22	33.3	141.02	94.67	21.78	104.42	52.08	28.65	59.55	73.54	115.16	74.06	66.18	158.79	100.83	75.11	84.04	55.49	44.89	103.69	95.34	51.35	137.14	69.52	99.43	39.5	87.03	92.7	71.0	1268.46	1477.58	587.13	1427.22	693.58	423.61
USP21	698.41	281.09	830.75	1044.52	1127.35	1044.52	825.0	915.51	1051.79	775.05	406.31	348.71	441.64	332.14	264.03	66.65	73.54	167.9	157.68	126.12	82.29	242.88	166.73	90.14	223.41	82.87	114.36	142.01	90.77	220.32	234.57	115.97	220.32	123.5	110.43	155.5	212.78	73.03	239.52	92.05	177.53	412.0	82.87	181.28	53.57	110.43	218.79	127.0	733.19	866.07	624.99	693.58	629.35	525.39
WASH4P	595.34	397.93	1081.39	896.64	830.75	902.89	1066.48	713.11	1127.35	1508.65	299.25	429.54	384.34	450.94	218.79	35.25	59.55	145.02	90.14	142.01	85.82	231.32	159.9	44.89	143.01	120.1	65.72	139.07	146.03	209.84	229.72	152.28	161.02	143.01	164.42	116.78	314.17	99.43	157.68	134.3	130.6	244.57	90.77	201.25	74.58	170.25	161.02	155.5	629.35	780.44	381.68	669.92	379.04	152.28
WDR27	624.99	389.72	981.29	1151.06	1151.06	669.92	860.08	842.36	1268.46	1119.56	187.71	299.25	215.77	366.09	212.78	33.54	29.48	55.89	33.06	51.35	37.05	189.02	75.11	43.94	129.69	83.45	28.65	82.87	34.26	72.01	140.04	55.1	145.02	58.71	89.51	66.18	100.13	39.5	59.97	80.57	81.14	251.48	48.52	100.13	40.07	95.34	136.19	75.11	733.19	759.08	381.68	860.08	289.02	102.25
WDR52	336.79	133.36	251.48	525.39	511.0	435.55	353.59	403.5	368.65	318.57	96.01	115.16	54.72	131.51	27.64	5.02	7.51	33.3	22.26	34.02	8.45	60.82	26.47	20.11	34.26	25.72	13.22	17.38	21.63	25.72	50.98	24.81	44.89	23.93	25.17	33.3	59.55	10.24	57.89	37.05	29.27	115.97	23.93	58.71	4.13	24.63	35.5	26.47	314.17	356.05	135.24	336.79	127.89	102.25
