	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.FD.A6TB.01A.12R.A33J.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.SUCS.0626.SM.32PM5	GTEX.14A6H.0526.SM.5NQAZ	TCGA.43.5668.01A.01R.1635.07	TCGA.77.8007.11A.01R.2187.07	TCGA.CD.8526.01A.11R.2343.13
NETO2	96.68	281.09	607.87	42.11	21.78	132.44	102.25	27.05	36.79	31.9	27.64	24.63	14.89	4.13	31.45	36.53	21.01	5.87	55.1	8.51	5.92	37.59	42.41	24.46	11.04	15.68	42.11	14.67	90.77	8.06	111.99	33.78	3.72	14.45	105.89	72.01	15.34	1.39	5.87	2.25	2.94	12.55	13.42	18.97	31.22	10.63	38.67	8.92	5.32	237.86	177.53	301.33	514.56	129.69	35.25	162.14	229.72	204.07	63.89	43.02	211.31	86.43	104.42	133.36	112.77	293.07	100.83	89.51	281.09	493.56	98.73	587.13
NT5DC2	947.83	3124.78	3901.01	753.83	802.41	1001.93	1073.91	403.5	329.84	287.01	264.03	688.78	483.38	47.5	1674.06	420.68	167.9	244.57	353.59	295.11	616.37	64.8	813.63	486.75	269.6	248.0	728.11	339.14	1832.01	92.7	2335.28	473.41	234.57	318.57	497.0	98.73	75.11	40.93	43.94	69.03	212.78	57.89	69.03	139.07	163.28	86.43	197.09	24.99	21.94	842.36	2645.74	567.1	830.75	785.88	1709.26	1923.14	381.68	1991.0	842.36	1417.35	1295.13	651.58	769.69	2682.69	633.73	872.1	1369.04	1216.75	967.76	5403.7	1175.27	2032.85
NUP62	954.43	1674.06	1745.2	679.29	555.41	1183.45	603.67	1151.06	665.29	435.55	575.03	1159.07	785.88	591.22	629.35	500.46	480.04	450.94	825.0	392.44	457.25	954.43	791.35	287.01	289.02	532.74	1008.9	486.75	1199.98	633.73	848.22	521.76	559.28	656.11	915.51	660.68	353.59	236.21	118.43	171.45	547.75	366.09	532.74	579.04	547.75	305.55	587.13	118.43	325.29	830.75	2004.85	1322.37	1583.71	642.59	872.1	1277.29	450.94	896.64	1096.5	620.67	638.15	836.53	723.08	961.07	866.07	813.63	1081.39	583.07	780.44	2004.85	764.36	2271.4
PABPC4L	7.94	16.75	13.22	7.63	3.41	9.93	3.29	2.56	3.11	2.18	5.73	9.56	2.27	1.73	5.82	2.32	2.07	1.87	1.53	1.97	2.46	2.76	1.93	2.32	1.23	1.62	4.78	3.03	2.53	0.36	2.25	5.92	0.68	3.11	5.36	2.86	0.0	1.46	4.78	0.47	3.0	0.0	0.0	0.4	0.34	1.19	3.0	0.0	1.51	8.13	10.08	2.66	3.14	8.58	7.69	18.29	5.96	23.59	2.78	3.47	44.57	5.28	5.11	5.5	10.31	9.56	20.11	10.88	37.59	28.86	9.27	23.76
PAK4	1427.22	2104.58	2047.0	723.08	769.69	432.53	934.76	769.69	470.14	503.95	490.14	1167.14	497.0	441.64	791.35	915.51	384.34	476.71	575.03	353.59	493.56	599.49	1023.0	480.04	384.34	406.31	579.04	432.53	373.81	438.59	532.74	358.54	389.72	540.19	532.74	638.15	483.38	363.56	303.44	559.28	551.56	320.8	518.15	595.34	460.44	223.41	356.05	221.86	279.14	679.29	1081.39	1529.73	2061.24	599.49	890.44	500.46	915.51	928.3	1437.15	1388.16	361.04	1757.34	848.22	514.56	1277.29	1322.37	1081.39	1001.93	1242.34	3060.45	629.35	2351.53
PAPOLG	189.02	135.24	183.82	115.16	118.43	96.68	44.25	77.25	72.01	40.93	62.12	64.8	64.34	33.06	63.89	52.82	42.41	40.07	77.25	32.82	59.55	86.43	45.85	57.49	39.5	38.67	79.45	54.33	120.94	29.27	97.36	69.03	35.0	65.72	102.97	59.97	25.17	72.01	35.0	39.22	50.63	44.57	35.5	36.79	84.63	36.79	78.89	28.24	62.56	135.24	199.85	147.06	133.36	130.6	134.3	162.14	295.11	169.07	127.89	115.97	229.72	159.9	100.13	120.1	150.17	185.11	181.28	159.9	155.5	146.03	142.01	206.94
PHACTR2	273.37	159.9	256.78	108.9	78.34	162.14	33.3	83.45	70.01	74.06	96.01	212.78	58.71	47.5	76.71	69.52	40.93	48.18	128.79	55.89	4.28	111.99	44.25	40.07	53.19	34.75	75.64	81.14	177.53	38.95	96.01	88.26	47.5	111.99	164.42	101.54	20.56	46.5	217.27	43.94	37.59	33.54	50.63	51.35	232.94	56.28	96.01	141.02	100.13	271.48	175.07	61.68	162.14	277.2	351.14	228.13	607.87	299.25	297.17	234.57	379.04	660.68	255.0	221.86	269.6	473.41	450.94	291.04	500.46	460.44	265.87	231.32
PIAS3	759.08	842.36	896.64	264.03	183.82	269.6	327.56	435.55	293.07	231.32	232.94	392.44	249.73	109.66	463.65	271.48	173.85	120.94	246.28	127.0	251.48	301.33	164.42	146.03	107.38	191.67	320.8	167.9	376.41	143.01	305.55	303.44	175.07	389.72	373.81	224.97	86.43	146.03	73.03	46.84	221.86	57.08	67.12	148.09	122.64	115.97	260.38	28.24	153.34	603.67	813.63	2133.97	483.38	361.04	511.0	698.41	836.53	660.68	967.76	353.59	493.56	620.67	514.56	708.18	713.11	718.08	796.86	638.15	563.18	1639.59	518.15	934.76
PLAGL2	92.05	780.44	547.75	82.87	101.54	86.43	52.82	100.13	56.28	49.91	50.98	53.95	47.84	37.32	124.37	87.65	43.94	41.52	116.78	20.56	96.68	98.73	120.1	47.84	28.86	28.04	92.7	49.56	71.5	34.26	65.72	42.11	26.86	50.98	73.54	34.02	38.4	41.52	17.64	49.56	24.99	40.93	41.22	35.5	16.75	39.22	49.91	18.43	35.76	193.01	307.69	159.9	138.1	127.89	237.86	177.53	164.42	116.78	226.54	251.48	98.73	180.02	234.57	146.03	236.21	199.85	305.55	246.28	136.19	423.61	133.36	884.29
PLCB3	961.07	733.19	400.71	295.11	228.13	371.22	289.02	244.57	140.04	118.43	138.1	199.85	139.07	84.04	164.42	190.34	120.1	103.69	187.71	87.65	142.01	150.17	146.03	99.43	108.9	134.3	201.25	131.51	144.01	142.01	146.03	163.28	128.79	116.78	232.94	218.79	71.5	62.12	71.0	73.03	159.9	39.5	65.72	151.22	127.89	104.42	190.34	34.51	102.25	435.55	361.04	444.72	406.31	135.24	346.29	543.96	403.5	486.75	503.95	320.8	371.22	511.0	251.48	429.54	500.46	500.46	457.25	297.17	555.41	785.88	255.0	529.06
PPP1R37	775.05	1208.34	842.36	848.22	555.41	780.44	1331.57	718.08	412.0	376.41	327.56	503.95	320.8	279.14	738.29	376.41	314.17	371.22	536.45	314.17	466.88	316.37	400.71	441.64	239.52	361.04	403.5	327.56	547.75	327.56	341.51	283.05	493.56	332.14	483.38	412.0	234.57	309.83	493.56	214.27	273.37	150.17	289.02	231.32	356.05	167.9	249.73	88.88	182.55	555.41	764.36	753.83	775.05	265.87	358.54	738.29	366.09	866.07	555.41	525.39	323.03	595.34	232.94	651.58	624.99	514.56	514.56	493.56	647.07	1572.76	312.0	1477.58
PRR12	287.01	450.94	698.41	185.11	122.64	246.28	229.72	237.86	116.78	100.83	115.97	167.9	111.99	90.14	114.36	126.12	80.01	87.03	136.19	59.55	116.78	96.68	133.36	105.89	61.68	77.79	150.17	73.03	197.09	45.85	105.15	87.03	66.18	114.36	156.59	123.5	53.19	49.56	40.93	80.57	62.12	81.14	49.91	74.06	80.57	129.69	108.14	20.86	64.8	220.32	379.04	209.84	392.44	94.67	323.03	312.0	208.38	301.33	279.14	212.78	205.5	244.57	231.32	277.2	299.25	343.89	473.41	260.38	248.0	607.87	148.09	759.08
PSMG2	1806.78	2090.03	1143.1	1697.45	1313.23	1685.71	1561.89	1651.0	1111.82	1304.15	1277.29	1135.2	1605.83	1073.91	1617.0	1498.22	1340.84	1397.83	1073.91	1088.92	693.58	1313.23	1977.24	1322.37	842.36	921.88	1369.04	1159.07	1143.1	921.88	1286.18	1286.18	1427.22	1340.84	1639.59	1051.79	947.83	1059.11	1081.39	1081.39	1733.13	1304.15	1340.84	1233.75	1572.76	1037.29	1183.45	1023.0	836.53	1551.09	1909.85	1819.35	1883.54	2119.22	2032.85	1733.13	1594.73	2148.82	2061.24	2367.9	2400.97	2485.67	1844.76	1745.2	1896.65	1745.2	2224.63	1963.57	1923.14	3190.46	1950.0	5183.54
QTRTD1	191.67	241.19	312.0	198.47	177.53	152.28	85.82	167.9	101.54	98.04	133.36	134.3	105.15	96.68	114.36	110.43	69.52	101.54	154.42	92.05	89.51	212.78	98.04	96.01	39.5	69.52	120.1	96.68	193.01	73.54	155.5	91.41	77.79	105.89	151.22	124.37	52.82	119.26	89.51	82.29	100.83	55.49	51.35	79.45	99.43	61.68	92.7	31.9	87.03	229.72	348.71	258.57	361.04	173.85	277.2	387.02	111.21	214.27	269.6	169.07	217.27	283.05	194.36	135.24	287.01	241.19	208.38	220.32	281.09	237.86	152.28	320.8
RALGAPB	403.5	567.1	536.45	339.14	205.5	204.07	90.77	275.28	173.85	165.57	158.79	132.44	157.68	100.83	142.01	151.22	127.89	127.89	234.57	102.25	137.14	221.86	149.12	149.12	85.82	95.34	253.23	110.43	255.0	84.63	165.57	166.73	97.36	173.85	193.01	135.24	63.45	111.99	120.1	72.52	110.43	59.55	76.71	100.13	265.87	66.18	134.3	37.32	73.54	316.37	400.71	189.02	414.87	209.84	314.17	341.51	320.8	303.44	256.78	248.0	246.28	334.46	208.38	193.01	309.83	314.17	332.14	273.37	287.01	486.75	226.54	536.45
RGS19	332.14	738.29	830.75	967.76	457.25	1437.15	738.29	660.68	309.83	199.85	178.77	189.02	271.48	165.57	368.65	79.45	435.55	178.77	450.94	76.17	246.28	253.23	64.8	325.29	150.17	211.31	320.8	142.01	178.77	255.0	199.85	312.0	94.01	123.5	599.49	277.2	88.88	87.65	72.01	36.53	262.2	51.71	96.01	141.02	212.78	159.9	260.38	40.07	147.06	660.68	379.04	420.68	258.57	684.02	1369.04	1191.69	320.8	836.53	2148.82	1447.15	791.35	1059.11	713.11	1073.91	1008.9	954.43	1081.39	909.17	988.12	872.1	785.88	836.53
RNMT	327.56	514.56	555.41	346.29	438.59	426.57	199.85	215.77	316.37	255.0	287.01	339.14	325.29	212.78	563.18	406.31	387.02	397.93	395.18	258.57	339.14	466.88	507.46	265.87	206.94	325.29	429.54	414.87	323.03	361.04	307.69	283.05	303.44	314.17	373.81	309.83	136.19	251.48	329.84	183.82	209.84	234.57	180.02	231.32	381.68	141.02	162.14	136.19	145.02	450.94	555.41	540.19	525.39	314.17	447.82	438.59	426.57	612.11	376.41	518.15	490.14	693.58	429.54	297.17	366.09	336.79	289.02	432.53	334.46	1066.48	301.33	1923.14
RPIA	532.74	769.69	423.61	246.28	231.32	381.68	236.21	234.57	208.38	98.73	164.42	157.68	232.94	102.25	336.79	343.89	201.25	182.55	183.82	110.43	220.32	409.15	241.19	100.83	154.42	177.53	193.01	175.07	271.48	183.82	271.48	205.5	204.07	231.32	297.17	209.84	99.43	201.25	127.89	100.83	214.27	90.77	96.01	92.05	154.42	116.78	147.06	50.63	125.24	389.72	551.56	854.13	928.3	470.14	543.96	493.56	376.41	540.19	426.57	460.44	412.0	438.59	500.46	295.11	571.05	450.94	486.75	420.68	444.72	647.07	381.68	764.36
SENP1	189.02	220.32	229.72	72.52	68.07	84.04	23.42	75.11	78.89	58.3	73.54	84.63	66.65	56.28	96.01	82.29	53.57	50.98	107.38	27.25	64.8	140.04	65.26	70.01	30.12	36.01	86.43	48.87	106.63	36.27	59.13	67.12	51.71	66.18	108.9	57.08	22.59	41.22	35.76	34.51	71.5	26.86	38.95	40.36	80.57	37.59	52.82	12.93	44.25	100.13	267.73	135.24	107.38	120.94	131.51	153.34	139.07	115.97	98.73	87.65	130.6	115.97	94.01	90.77	124.37	177.53	164.42	97.36	142.01	242.88	111.21	339.14
SOGA1	94.01	271.48	423.61	119.26	96.68	153.34	59.55	111.21	53.57	50.63	47.84	46.84	55.1	30.56	63.0	13.62	18.84	32.36	64.34	18.84	27.44	27.44	18.43	28.65	16.63	28.45	42.41	28.45	73.54	51.35	82.87	50.27	15.0	26.28	75.11	26.86	7.11	11.13	10.0	8.13	29.48	4.17	8.25	18.03	11.82	27.84	58.71	3.66	8.78	145.02	255.0	65.26	119.26	51.71	171.45	206.94	187.71	162.14	206.94	111.21	156.59	177.53	114.36	71.5	189.02	293.07	159.9	108.14	198.47	293.07	74.06	295.11
STRN4	1397.83	2209.26	2303.12	748.61	780.44	854.13	1088.92	934.76	842.36	629.35	708.18	1119.56	909.17	559.28	872.1	928.3	638.15	753.83	854.13	575.03	802.41	842.36	974.5	915.51	583.07	753.83	1175.27	616.37	1259.69	547.75	733.19	688.78	447.82	941.27	830.75	830.75	444.72	547.75	521.76	293.07	420.68	269.6	417.77	476.71	532.74	299.25	547.75	199.85	236.21	1143.1	1991.0	2032.85	1709.26	860.08	866.07	1001.93	1977.24	1259.69	1096.5	791.35	693.58	866.07	1487.87	651.58	1127.35	1295.13	848.22	1015.93	961.07	3146.52	902.89	2609.3
SUPT20H	1015.93	559.28	656.11	486.75	473.41	423.61	141.02	525.39	381.68	173.85	285.03	209.84	279.14	158.79	332.14	406.31	269.6	239.52	264.03	232.94	178.77	368.65	450.94	262.2	228.13	241.19	353.59	291.04	395.18	100.13	493.56	275.28	237.86	381.68	392.44	232.94	87.65	175.07	82.87	229.72	217.27	159.9	173.85	176.29	197.09	156.59	318.57	63.45	146.03	656.11	1088.92	555.41	563.18	525.39	529.06	525.39	693.58	988.12	638.15	511.0	551.56	791.35	463.65	384.34	825.0	928.3	947.83	536.45	599.49	607.87	591.22	954.43
TFPT	934.76	825.0	954.43	728.11	684.02	1135.2	785.88	476.71	353.59	226.54	301.33	397.93	373.81	183.82	748.61	332.14	376.41	432.53	403.5	239.52	420.68	389.72	351.14	384.34	190.34	366.09	536.45	291.04	363.56	511.0	366.09	279.14	234.57	320.8	642.59	277.2	260.38	221.86	167.9	198.47	351.14	212.78	348.71	258.57	353.59	211.31	371.22	149.12	178.77	684.02	759.08	738.29	595.34	775.05	967.76	2090.03	256.78	902.89	1073.91	1407.55	708.18	1001.93	665.29	1896.65	909.17	808.0	718.08	698.41	890.44	1295.13	848.22	651.58
TIGD1	73.54	69.52	156.59	59.13	85.82	46.84	22.75	26.1	45.21	55.1	24.99	31.45	41.22	16.51	140.04	115.97	42.71	28.65	63.0	18.43	40.64	65.72	80.01	23.76	30.56	19.25	44.25	25.54	84.04	20.26	63.45	34.26	73.03	52.82	45.85	132.44	6.36	35.0	9.27	21.78	40.93	26.47	24.81	10.96	16.63	9.85	18.03	2.94	8.45	94.01	343.89	269.6	178.77	35.5	46.84	78.34	36.79	104.42	103.69	54.33	55.1	108.9	29.06	29.06	84.04	70.01	96.01	38.67	100.13	287.01	65.72	229.72
TMEM216	511.0	693.58	583.07	262.2	234.57	363.56	353.59	348.71	157.68	102.97	164.42	133.36	165.57	47.84	193.01	172.65	106.63	108.14	109.66	59.13	175.07	118.43	124.37	103.69	106.63	89.51	231.32	123.5	78.89	113.56	111.21	152.28	74.58	90.77	208.38	87.65	60.39	206.94	27.64	57.89	80.01	94.01	85.82	101.54	84.63	109.66	153.34	22.59	85.82	281.09	759.08	796.86	884.29	389.72	454.09	444.72	371.22	607.87	463.65	353.59	283.05	435.55	351.14	228.13	511.0	583.07	312.0	329.84	343.89	928.3	332.14	1111.82
TRPS1	102.25	44.57	131.51	72.52	46.84	46.84	19.82	96.01	36.53	36.79	20.11	62.56	30.78	74.58	125.24	34.75	21.01	33.78	57.08	19.68	1.16	50.27	44.89	3.44	3.53	10.31	17.77	25.54	89.51	28.45	64.8	22.92	1.81	2.18	36.01	111.99	3.56	36.01	8.51	5.28	9.2	3.44	7.94	4.7	17.38	26.1	24.46	11.47	18.03	70.01	35.25	12.93	8.92	62.12	31.67	77.25	77.79	80.01	68.55	11.91	153.34	36.01	37.32	67.12	55.89	52.45	74.06	31.0	80.01	341.51	82.87	136.19
USP22	1191.69	941.27	1721.16	1350.18	1709.26	1447.15	1572.76	1628.26	854.13	642.59	974.5	995.0	651.58	476.71	698.41	896.64	511.0	836.53	1044.52	836.53	1081.39	974.5	1159.07	718.08	417.77	1151.06	934.76	579.04	2319.15	902.89	759.08	647.07	432.53	551.56	1008.9	312.0	406.31	323.03	332.14	348.71	698.41	450.94	366.09	417.77	928.3	503.95	1030.12	166.73	417.77	1369.04	1457.23	1639.59	1407.55	1088.92	1127.35	1498.22	2855.44	713.11	896.64	860.08	1167.14	808.0	1059.11	1268.46	1242.34	921.88	1487.87	1508.65	1322.37	2627.46	1104.13	2537.92
USP54	148.09	351.14	414.87	139.07	161.02	163.28	167.9	183.82	30.34	37.59	30.56	64.8	28.65	10.63	54.72	64.34	26.67	14.67	77.79	24.11	18.43	81.14	45.53	28.65	7.94	24.46	69.52	23.93	182.55	59.55	171.45	33.06	47.17	85.82	53.95	66.18	36.79	62.12	19.39	55.49	24.11	9.27	9.2	39.22	75.64	59.97	22.75	39.22	35.0	629.35	748.61	295.11	299.25	450.94	961.07	441.64	1199.98	348.71	521.76	825.0	435.55	723.08	1883.54	890.44	587.13	356.05	1159.07	1191.69	361.04	1015.93	543.96	409.15
YEATS2	293.07	253.23	616.37	229.72	176.29	199.85	86.43	157.68	145.02	98.73	139.07	206.94	117.6	71.0	205.5	134.3	102.25	94.01	194.36	108.14	104.42	220.32	187.71	90.77	65.26	98.73	177.53	94.01	176.29	138.1	190.34	120.94	91.41	109.66	197.09	137.14	29.48	32.59	33.54	24.11	105.89	40.93	40.36	73.03	161.02	38.95	93.35	12.36	64.8	327.56	796.86	429.54	275.28	147.06	381.68	291.04	450.94	244.57	275.28	113.56	358.54	303.44	248.0	551.56	285.03	133.36	414.87	190.34	536.45	334.46	224.97	358.54
ZFP82	100.13	144.01	175.07	55.49	38.4	71.0	29.06	38.12	10.79	11.3	11.47	36.27	18.16	3.5	40.64	33.3	11.55	9.41	24.46	2.84	15.0	8.19	21.94	22.92	5.32	9.27	29.27	15.45	18.84	20.56	37.32	18.56	1.31	5.32	32.36	4.9	6.11	13.22	4.54	8.58	2.43	5.54	2.51	5.15	21.94	21.78	18.84	2.1	3.96	66.18	97.36	73.03	111.21	36.53	98.73	91.41	32.82	140.04	109.66	41.81	48.18	106.63	44.25	23.42	87.03	98.04	85.22	80.01	85.82	150.17	39.22	208.38
ZNF132	32.36	33.78	71.5	42.41	66.65	65.72	38.4	39.5	12.27	10.88	18.56	21.63	7.82	6.73	10.55	14.03	11.73	3.29	15.0	6.26	7.34	9.27	7.51	10.16	8.19	4.94	17.77	20.11	32.13	4.21	31.9	18.03	11.73	29.06	18.97	11.3	11.21	16.63	9.41	27.64	20.56	28.45	21.94	8.51	20.41	18.03	29.91	7.11	17.38	57.89	20.26	10.88	76.71	51.71	61.68	108.9	73.54	88.88	94.01	59.13	46.18	94.67	27.64	45.21	61.25	127.0	89.51	55.49	112.77	75.64	43.63	176.29
ZNF134	128.79	214.27	255.0	101.54	110.43	158.79	100.83	112.77	30.56	35.0	44.89	81.71	55.1	23.42	99.43	102.97	43.94	42.71	63.89	8.06	60.82	90.77	99.43	35.0	33.78	37.05	77.79	47.17	119.26	44.57	78.34	67.59	15.0	33.54	87.65	52.08	38.95	46.18	98.04	87.65	39.22	87.03	40.36	39.22	19.97	107.38	63.89	33.06	96.68	157.68	277.2	122.64	136.19	124.37	242.88	262.2	124.37	105.15	182.55	142.01	185.11	153.34	130.6	34.75	176.29	181.28	264.03	139.07	205.5	387.02	127.0	277.2
ZNF14	73.03	74.06	92.7	46.18	62.12	65.72	18.29	44.25	18.97	14.14	10.0	19.39	20.41	4.1	32.13	62.12	9.06	8.19	32.13	4.54	2.39	32.13	13.03	40.93	5.02	9.85	64.34	13.52	44.25	2.36	30.34	22.92	1.85	4.98	26.86	13.93	2.1	3.41	6.46	6.16	5.96	5.36	8.78	6.52	7.17	21.47	31.22	2.84	1.87	74.06	163.28	48.18	48.52	68.07	115.16	104.42	65.72	88.26	121.79	115.97	72.52	136.19	67.59	35.5	84.63	104.42	124.37	92.7	101.54	248.0	53.95	96.01
ZNF146	902.89	1397.83	1662.49	409.15	403.5	532.74	141.02	368.65	579.04	441.64	620.67	872.1	616.37	423.61	423.61	476.71	368.65	412.0	417.77	339.14	476.71	603.67	551.56	361.04	297.17	309.83	642.59	447.82	629.35	368.65	651.58	507.46	314.17	583.07	603.67	457.25	224.97	780.44	323.03	389.72	363.56	497.0	470.14	279.14	476.71	320.8	314.17	205.5	351.14	591.22	1594.73	1277.29	1844.76	518.15	842.36	780.44	1030.12	848.22	660.68	379.04	813.63	743.43	567.1	181.28	656.11	743.43	555.41	406.31	587.13	2061.24	497.0	2224.63
ZNF160	303.44	327.56	325.29	293.07	246.28	190.34	42.11	112.77	56.68	48.52	71.0	264.03	93.35	23.25	191.67	152.28	40.36	17.13	70.51	27.25	10.08	135.24	178.77	105.89	24.99	22.92	130.6	65.72	194.36	33.78	141.02	70.51	14.35	103.69	105.89	49.21	24.81	85.22	145.02	98.73	137.14	81.71	143.01	56.28	189.02	70.01	87.65	37.85	26.67	480.04	500.46	371.22	332.14	163.28	332.14	244.57	368.65	414.87	351.14	341.51	277.2	279.14	255.0	249.73	318.57	253.23	363.56	314.17	140.04	688.78	205.5	476.71
ZNF17	81.14	115.16	121.79	50.98	72.01	87.65	19.25	36.27	30.56	41.81	42.11	46.5	39.5	20.26	36.01	33.54	27.64	30.56	43.94	22.26	31.22	34.75	34.26	30.56	17.77	17.77	55.89	23.08	76.17	17.77	43.94	34.02	18.7	32.13	38.67	31.0	15.91	35.25	44.57	32.82	44.89	50.27	33.78	34.26	40.64	23.08	29.91	24.81	31.67	84.63	132.44	74.58	86.43	64.8	76.71	65.72	87.65	92.05	85.22	55.49	96.01	117.6	75.64	21.94	105.89	130.6	134.3	88.88	127.0	204.07	71.0	162.14
ZNF180	85.82	140.04	197.09	43.32	33.54	58.71	14.24	26.28	59.55	38.67	53.19	56.68	46.18	30.78	48.52	66.18	35.76	34.75	50.98	33.06	55.1	41.52	64.34	46.84	29.06	35.5	61.68	31.22	48.52	23.42	57.08	45.85	13.93	45.21	56.68	14.03	15.0	66.65	28.24	42.71	45.53	46.5	32.82	34.02	73.03	51.35	45.53	14.45	33.06	72.01	154.42	101.54	100.13	63.45	127.89	78.89	84.63	91.41	124.37	88.88	87.65	100.13	83.45	51.35	123.5	90.14	108.14	124.37	96.68	175.07	66.18	251.48
ZNF211	199.85	199.85	279.14	145.02	159.9	195.72	98.73	100.13	58.71	40.64	62.56	103.69	43.32	51.35	145.02	95.34	76.17	61.68	85.22	15.34	100.13	78.89	111.21	42.11	20.56	28.45	129.69	105.15	127.0	62.12	97.36	92.05	13.32	45.21	95.34	55.1	28.04	60.82	49.56	84.63	73.03	62.56	41.81	26.28	64.8	63.89	88.88	23.42	48.87	253.23	241.19	141.02	265.87	101.54	178.77	379.04	119.26	323.03	361.04	195.72	178.77	249.73	145.02	120.94	224.97	435.55	341.51	264.03	323.03	363.56	118.43	376.41
ZNF225	42.11	52.45	112.77	33.3	25.35	43.63	17.25	40.93	24.63	28.65	25.72	67.59	18.43	12.74	26.47	36.53	13.83	9.48	19.97	14.03	25.91	35.25	32.36	18.7	10.08	10.63	28.65	19.53	21.47	10.55	35.76	20.41	14.78	27.25	36.01	14.78	8.58	20.41	30.78	22.26	24.28	21.78	18.7	12.55	20.86	24.28	27.25	8.0	21.63	56.68	74.58	48.87	82.29	33.54	60.82	64.8	37.59	85.22	53.19	47.84	58.3	66.18	27.05	22.1	56.28	80.01	59.97	75.64	62.56	81.71	32.59	164.42
ZNF227	157.68	297.17	325.29	115.16	107.38	121.79	70.01	123.5	68.07	76.17	79.45	182.55	70.51	68.07	119.26	152.28	81.71	81.71	122.64	77.25	102.97	148.09	201.25	76.71	84.63	92.05	181.28	91.41	71.0	77.79	95.34	115.97	65.26	115.97	124.37	111.99	36.01	149.12	109.66	118.43	58.3	118.43	80.01	98.73	81.71	85.22	151.22	56.28	111.21	195.72	295.11	208.38	480.04	105.15	157.68	253.23	301.33	195.72	187.71	111.99	264.03	218.79	117.6	90.77	161.02	281.09	202.66	115.97	307.69	470.14	130.6	748.61
ZNF234	55.89	98.73	141.02	56.28	49.91	55.49	17.13	38.95	29.91	41.52	29.48	40.07	25.72	23.25	50.27	87.03	35.5	22.26	72.52	26.1	38.95	78.34	59.97	15.68	15.68	36.27	36.53	28.04	29.48	20.26	53.19	41.22	33.78	61.68	57.89	23.59	15.91	29.91	42.11	55.49	40.36	19.53	28.24	34.02	29.06	31.67	54.33	6.89	35.0	97.36	128.79	98.73	96.01	36.27	87.65	194.36	76.17	88.26	128.79	65.72	75.11	94.01	49.91	55.49	105.89	112.77	107.38	69.03	115.97	115.16	53.19	237.86
