	TCGA.BT.A20W.11A.11R.A14Y.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.CN.6023.01A.11R.1686.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.DD.AACH.01A.11R.A41C.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.DD.AACS.01A.11R.A41C.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.CC.5264.01A.01R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.6971.01A.11R.1949.07	TCGA.91.6835.01A.11R.1858.07	TCGA.86.7953.01A.11R.2187.07	TCGA.44.6775.01A.11R.1858.07	TCGA.69.7978.01A.11R.2187.07	TCGA.86.8075.01A.11R.2241.07	TCGA.44.6778.01A.11R.1858.07	TCGA.43.8115.01A.11R.2247.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.CD.8535.01A.11R.2343.13
LRRC8A	1191.69	825.0	1143.1	429.54	543.96	928.3	872.1	1008.9	1304.15	384.34	1639.59	503.95	688.78	198.47	551.56	450.94	543.96	547.75	551.56	389.72	327.56	483.38	511.0	406.31	395.18	429.54	379.04	412.0	363.56	607.87	660.68	559.28	435.55	633.73	373.81	830.75	536.45	518.15	438.59	389.72	264.03	426.57	503.95	974.5	825.0	1088.92	896.64	1073.91	607.87	988.12	551.56	2573.36
LSM11	54.72	70.51	48.52	39.22	31.67	58.3	58.71	51.35	75.64	38.67	53.19	44.57	25.91	20.56	18.43	11.47	25.17	19.53	26.28	30.78	14.56	26.1	14.56	25.72	16.51	18.03	18.84	31.22	34.02	14.56	18.03	21.47	29.27	33.54	35.25	28.45	19.82	14.45	23.59	23.42	25.17	26.28	30.78	50.63	52.82	53.57	66.65	64.34	45.53	66.65	100.83	102.25
MAPK7	293.07	483.38	389.72	182.55	108.9	157.68	275.28	273.37	195.72	129.69	323.03	147.06	137.14	98.04	84.04	23.76	55.89	71.0	80.01	80.01	40.64	85.82	82.87	56.28	34.02	44.25	57.49	102.25	57.89	103.69	76.71	81.14	56.28	95.34	66.65	84.63	71.0	77.25	96.01	110.43	103.69	57.89	348.71	497.0	273.37	239.52	297.17	848.22	297.17	395.18	384.34	283.05
MAPKAPK2	1674.06	2047.0	2032.85	1583.71	1674.06	3874.05	2061.24	1487.87	2915.45	748.61	1883.54	1304.15	3325.99	595.34	759.08	532.74	651.58	915.51	802.41	603.67	656.11	540.19	620.67	470.14	559.28	848.22	796.86	511.0	529.06	995.0	476.71	830.75	412.0	665.29	620.67	791.35	642.59	708.18	525.39	607.87	748.61	511.0	2835.7	2997.45	1923.14	2367.9	2997.45	2319.15	2303.12	2104.58	2104.58	1081.39
MAPRE1	2193.99	3955.48	2485.67	620.67	457.25	688.78	1388.16	1388.16	693.58	848.22	988.12	688.78	1001.93	441.64	249.73	130.6	400.71	177.53	171.45	237.86	163.28	277.2	348.71	150.17	193.01	214.27	220.32	170.25	249.73	583.07	156.59	384.34	199.85	323.03	128.79	256.78	318.57	444.72	289.02	346.29	232.94	183.82	1832.01	1950.0	1572.76	2163.77	1963.57	1883.54	2645.74	1883.54	3257.52	3847.29
MARK4	563.18	1143.1	353.59	318.57	743.43	400.71	1037.29	674.59	1059.11	514.56	638.15	743.43	417.77	189.02	182.55	860.08	256.78	503.95	232.94	178.77	271.48	514.56	444.72	361.04	186.4	819.3	217.27	246.28	251.48	193.01	232.94	323.03	237.86	248.0	236.21	218.79	341.51	220.32	191.67	199.85	348.71	460.44	791.35	764.36	490.14	334.46	536.45	389.72	450.94	563.18	579.04	830.75
MIS18BP1	320.8	379.04	363.56	120.1	96.01	208.38	417.77	180.02	76.17	130.6	248.0	131.51	132.44	99.43	63.89	15.8	68.07	40.93	29.7	44.25	35.0	33.54	57.89	23.08	15.56	31.22	34.51	63.0	77.25	52.08	15.56	69.52	20.11	58.71	40.64	27.25	37.05	57.08	72.01	90.14	52.45	35.5	486.75	460.44	426.57	373.81	389.72	327.56	435.55	450.94	348.71	312.0
MPZL1	2451.44	1388.16	2090.03	884.29	759.08	1697.45	2209.26	1674.06	848.22	1044.52	1313.23	1277.29	2451.44	312.0	299.25	138.1	303.44	224.97	303.44	269.6	158.79	154.42	373.81	125.24	323.03	291.04	214.27	115.97	137.14	336.79	178.77	265.87	206.94	283.05	169.07	379.04	231.32	221.86	351.14	334.46	175.07	178.77	2400.97	2573.36	2835.7	2895.31	1909.85	3564.78	1806.78	2555.58	2032.85	1519.15
MTMR1	301.33	624.99	698.41	187.71	156.59	191.67	312.0	246.28	409.15	162.14	260.38	221.86	532.74	107.38	115.97	132.44	111.21	120.94	75.11	129.69	110.43	113.56	101.54	107.38	102.25	165.57	73.54	73.03	110.43	117.6	101.54	126.12	111.21	152.28	126.12	93.35	99.43	108.9	170.25	90.14	96.68	105.15	361.04	612.11	518.15	368.65	409.15	414.87	480.04	426.57	466.88	363.56
NAP1L1	9409.14	17437.64	11745.96	3901.01	2777.33	4869.99	7382.04	6516.03	4639.29	2701.35	5831.91	2835.7	4704.07	2645.74	1561.89	947.83	1529.73	728.11	1096.5	2133.97	1369.04	2104.58	2209.26	988.12	1583.71	1183.45	2163.77	1313.23	1674.06	1208.34	909.17	2032.85	1594.73	2451.44	1268.46	1350.18	1794.29	1561.89	3443.31	1467.37	2224.63	1662.49	5954.47	9215.48	10733.74	6792.79	8022.41	7280.4	10883.59	11035.54	6699.25	13681.08
NCOR2	1044.52	2502.97	1073.91	954.43	547.75	703.28	1175.27	713.11	1487.87	708.18	1001.93	1250.98	934.76	202.66	246.28	536.45	234.57	1175.27	507.46	209.84	281.09	285.03	371.22	220.32	158.79	547.75	262.2	293.07	409.15	497.0	297.17	995.0	218.79	325.29	264.03	262.2	332.14	297.17	229.72	287.01	316.37	346.29	2468.49	2935.74	3060.45	1572.76	3190.46	1963.57	1733.13	2178.83	2835.7	3901.01
NLK	221.86	271.48	267.73	329.84	189.02	163.28	329.84	327.56	356.05	185.11	277.2	255.0	198.47	165.57	190.34	134.3	181.28	229.72	260.38	146.03	120.1	191.67	187.71	118.43	108.9	157.68	136.19	116.78	189.02	93.35	143.01	220.32	199.85	183.82	173.85	127.0	152.28	117.6	231.32	119.26	117.6	161.02	249.73	384.34	271.48	323.03	301.33	373.81	285.03	309.83	251.48	279.14
NXT1	813.63	896.64	961.07	358.54	201.25	466.88	480.04	316.37	387.02	336.79	327.56	387.02	444.72	255.0	146.03	285.03	153.34	146.03	157.68	117.6	165.57	172.65	373.81	127.89	159.9	229.72	236.21	142.01	148.09	389.72	158.79	260.38	186.4	190.34	167.9	189.02	307.69	327.56	163.28	201.25	194.36	162.14	432.53	351.14	348.71	954.43	633.73	718.08	463.65	603.67	1242.34	1111.82
OCRL	417.77	460.44	426.57	212.78	275.28	412.0	529.06	417.77	638.15	223.41	460.44	371.22	1001.93	147.06	134.3	149.12	199.85	195.72	154.42	201.25	170.25	197.09	133.36	281.09	99.43	138.1	74.58	141.02	283.05	116.78	253.23	156.59	125.24	329.84	239.52	104.42	154.42	152.28	197.09	211.31	122.64	152.28	409.15	460.44	587.13	336.79	497.0	483.38	435.55	412.0	743.43	633.73
PCYT1A	567.1	507.46	2367.9	476.71	599.49	567.1	457.25	743.43	1143.1	420.68	457.25	460.44	638.15	438.59	289.02	224.97	325.29	327.56	253.23	314.17	346.29	279.14	336.79	420.68	241.19	231.32	336.79	289.02	356.05	279.14	312.0	371.22	329.84	438.59	297.17	341.51	373.81	555.41	356.05	406.31	312.0	269.6	638.15	607.87	1135.2	748.61	995.0	642.59	753.83	2835.7	633.73	466.88
PLXNA3	101.54	1304.15	293.07	127.89	189.02	429.54	163.28	127.89	273.37	287.01	237.86	194.36	819.3	34.51	21.16	94.67	92.05	185.11	24.99	39.79	14.78	244.57	31.67	208.38	50.27	21.01	32.36	63.0	31.45	36.79	37.32	48.52	52.45	49.91	53.19	23.93	66.18	60.82	162.14	24.63	60.39	16.27	785.88	497.0	1242.34	518.15	1001.93	620.67	848.22	389.72	525.39	896.64
PRMT3	194.36	199.85	327.56	204.07	186.4	540.19	264.03	242.88	215.77	137.14	273.37	176.29	341.51	47.84	87.03	63.0	62.56	75.11	100.83	49.91	46.18	52.45	72.52	46.84	67.59	102.25	68.55	53.19	87.65	48.87	70.01	92.7	58.71	90.14	82.87	48.52	38.67	46.84	103.69	66.18	67.12	82.87	273.37	223.41	110.43	246.28	205.5	187.71	237.86	249.73	447.82	447.82
PRPS1	813.63	1369.04	878.17	698.41	780.44	698.41	660.68	780.44	2224.63	603.67	775.05	397.93	1794.29	599.49	529.06	507.46	616.37	514.56	748.61	463.65	684.02	426.57	909.17	417.77	967.76	819.3	575.03	603.67	563.18	1081.39	616.37	525.39	775.05	559.28	435.55	490.14	616.37	698.41	866.07	454.09	579.04	718.08	764.36	1001.93	1216.75	796.86	764.36	1331.57	954.43	909.17	764.36	1199.98
PSMB2	1397.83	1350.18	1304.15	775.05	1437.15	1794.29	921.88	1936.53	2645.74	1143.1	1427.22	759.08	1896.65	1259.69	1242.34	796.86	753.83	769.69	1073.91	748.61	1199.98	651.58	1143.1	693.58	1277.29	854.13	1457.23	836.53	753.83	1331.57	890.44	928.3	1143.1	1015.93	629.35	1628.26	1073.91	1225.22	1199.98	981.29	866.07	1015.93	1259.69	1096.5	1923.14	1628.26	974.5	1685.71	1529.73	1487.87	1977.24	1685.71
PSMC2	2224.63	1561.89	2520.38	1870.53	2287.2	2758.13	1167.14	2664.15	4388.98	1909.85	2075.59	1963.57	4038.61	1628.26	1331.57	947.83	1119.56	909.17	1519.15	1015.93	1277.29	947.83	1769.57	928.3	1508.65	1259.69	1769.57	1191.69	1119.56	1268.46	1369.04	1304.15	1295.13	1304.15	961.07	1733.13	1369.04	1674.06	1733.13	1487.87	1151.06	1369.04	1806.78	2018.8	2451.44	1963.57	1857.6	2720.15	2061.24	2090.03	1844.76	1540.37
PSMD11	1709.26	1250.98	6983.79	2303.12	1447.15	1477.58	1870.53	3060.45	4328.55	1870.53	2417.67	1295.13	2090.03	733.19	988.12	651.58	825.0	802.41	934.76	743.43	780.44	738.29	1096.5	848.22	1096.5	656.11	1015.93	733.19	785.88	928.3	860.08	954.43	753.83	1059.11	836.53	1081.39	1051.79	1286.18	1051.79	1066.48	836.53	713.11	1594.73	3325.99	3665.02	2209.26	1769.57	3901.01	1963.57	2701.35	1991.0	2976.74
PSMD2	3103.19	3639.7	14867.79	3467.27	3639.7	4736.79	2758.13	3847.29	9540.5	2335.28	4268.94	2163.77	3280.18	1277.29	1340.84	1088.92	1304.15	1183.45	1322.37	941.27	1250.98	866.07	1225.22	1104.13	1697.45	1191.69	1467.37	1295.13	1104.13	1977.24	1250.98	1183.45	1331.57	1313.23	1066.48	1498.22	1175.27	1191.69	1378.57	1313.23	1225.22	1081.39	4095.0	3665.02	8247.98	4512.4	3955.48	8022.41	4388.98	18689.27	3443.31	4903.87
RAVER1	480.04	693.58	1030.12	218.79	195.72	175.07	529.06	176.29	178.77	131.51	463.65	155.5	339.14	140.04	78.34	127.0	64.34	165.57	38.67	123.5	90.77	84.04	63.89	112.77	57.89	130.6	138.1	101.54	178.77	165.57	249.73	143.01	88.88	88.26	251.48	75.11	54.72	117.6	114.36	157.68	75.11	152.28	591.22	708.18	521.76	567.1	674.59	454.09	571.05	748.61	1051.79	728.11
RBBP8	753.83	514.56	642.59	429.54	183.82	583.07	575.03	389.72	551.56	182.55	1175.27	178.77	543.96	121.79	226.54	105.89	105.15	132.44	119.26	84.63	96.68	193.01	165.57	63.0	129.69	126.12	106.63	158.79	181.28	167.9	166.73	96.68	87.03	116.78	83.45	100.83	99.43	128.79	108.9	241.19	115.97	195.72	872.1	514.56	825.0	693.58	890.44	921.88	1487.87	1561.89	348.71	688.78
RBMX	3325.99	5913.33	3395.89	1806.78	1369.04	1870.53	3168.41	2895.31	1781.89	1794.29	2209.26	1540.37	2555.58	1268.46	866.07	759.08	796.86	825.0	743.43	1143.1	947.83	921.88	1159.07	830.75	878.17	733.19	708.18	607.87	1605.83	1199.98	941.27	1119.56	1111.82	1417.35	1104.13	769.69	896.64	1066.48	1583.71	1127.35	974.5	1059.11	3349.13	3467.27	3349.13	2895.31	2701.35	2997.45	4038.61	2956.17	4512.4	3443.31
RHEB	2816.11	2520.38	2434.5	2434.5	1896.65	3419.52	1487.87	3039.3	3847.29	1757.34	4298.64	2209.26	6792.79	1628.26	1870.53	1467.37	1508.65	1397.83	1447.15	909.17	1066.48	1059.11	1757.34	934.76	1350.18	1417.35	1407.55	1059.11	1313.23	1457.23	1551.09	1467.37	1081.39	1199.98	769.69	1508.65	1407.55	1781.89	1369.04	1605.83	1199.98	1250.98	2835.7	3168.41	4704.07	3589.58	4066.71	4512.4	4123.49	2796.65	3372.43	4038.61
RHNO1	796.86	738.29	1104.13	599.49	267.73	361.04	575.03	514.56	473.41	312.0	718.08	334.46	551.56	55.89	101.54	44.89	77.25	102.97	94.01	43.02	58.71	35.76	109.66	53.19	67.12	115.16	124.37	63.0	73.03	269.6	72.52	117.6	103.69	63.45	75.64	93.35	65.72	63.0	170.25	57.08	88.88	62.12	842.36	718.08	769.69	547.75	802.41	819.3	651.58	1397.83	587.13	514.56
RNF168	242.88	172.65	802.41	228.13	154.42	164.42	244.57	223.41	248.0	108.9	285.03	125.24	146.03	124.37	100.83	91.41	142.01	119.26	177.53	92.05	121.79	118.43	135.24	103.69	79.45	148.09	120.94	86.43	106.63	96.01	96.01	117.6	120.94	145.02	98.73	80.01	118.43	130.6	127.89	93.35	129.69	138.1	208.38	163.28	258.57	251.48	236.21	183.82	242.88	1233.75	221.86	559.28
RP11-438J1.1	15.0	10.39	11.13	1.99	0.0	5.96	21.63	16.63	35.76	29.06	3.72	2.2	15.91	7.46	1.99	0.0	3.44	10.16	1.89	2.27	20.11	0.0	2.61	0.23	15.0	8.99	8.45	0.0	5.02	0.0	0.0	1.81	13.72	7.22	13.72	11.13	3.72	7.4	11.82	15.22	0.0	2.25	5.02	19.11	3.38	31.45	49.91	13.42	15.11	21.01	49.56	73.54
RP4-559A3.7	10.55	12.09	22.92	1.91	4.78	2.27	13.42	8.38	7.28	7.75	3.59	1.69	9.78	5.87	5.11	0.0	0.0	2.25	3.86	0.0	1.19	0.0	0.0	1.73	4.31	6.16	1.55	0.0	3.59	6.41	0.0	5.32	0.0	0.0	2.2	3.63	0.0	0.0	2.18	0.0	1.93	0.0	7.46	1.11	6.06	13.22	3.35	4.17	14.45	10.16	24.11	8.78
RTFDC1	2384.37	3303.0	1977.24	1721.16	1909.85	1605.83	2417.67	1745.2	1844.76	2018.8	1991.0	1447.15	1896.65	1322.37	1304.15	921.88	1088.92	780.44	1304.15	915.51	1127.35	915.51	1519.15	1088.92	1216.75	1277.29	1135.2	1417.35	1369.04	1286.18	1066.48	1119.56	1286.18	1127.35	878.17	1378.57	1322.37	1088.92	1350.18	988.12	909.17	1081.39	1662.49	1819.35	1259.69	2104.58	2090.03	1963.57	2335.28	1923.14	2664.15	2777.33
SBK1	129.69	218.79	17.51	29.06	10.0	23.93	76.17	18.97	52.82	19.11	56.68	7.75	13.42	7.0	10.39	8.45	1.58	16.15	7.57	5.54	3.41	9.27	2.43	11.13	7.17	4.35	3.38	1.43	4.7	4.7	3.53	7.06	3.38	11.91	10.24	3.38	1.58	0.19	11.73	2.71	16.03	3.23	186.4	327.56	305.55	358.54	37.05	642.59	503.95	287.01	454.09	373.81
SEPT9	4671.57	5791.62	6607.01	3716.2	2573.36	2956.17	3955.48	4239.45	2335.28	2591.27	4903.87	3280.18	3716.2	1594.73	1268.46	1733.13	1340.84	1388.16	1030.12	974.5	1594.73	1242.34	1407.55	1015.93	1268.46	1044.52	1794.29	1167.14	748.61	981.29	1378.57	1268.46	1605.83	1143.1	1519.15	1119.56	1044.52	1331.57	1225.22	1015.93	954.43	708.18	3690.52	6983.79	5329.3	3665.02	3146.52	5479.15	3690.52	4358.66	4066.71	3168.41
SERINC3	1870.53	1857.6	1331.57	1037.29	1369.04	974.5	2240.11	1857.6	1721.16	1427.22	1519.15	981.29	1286.18	1159.07	802.41	780.44	961.07	651.58	872.1	708.18	974.5	728.11	941.27	866.07	1233.75	981.29	1001.93	785.88	878.17	1208.34	780.44	780.44	1127.35	915.51	698.41	1008.9	1096.5	1233.75	1143.1	1096.5	934.76	836.53	1561.89	1963.57	1199.98	1844.76	2502.97	1781.89	1857.6	1467.37	2468.49	3168.41
SHC1	2451.44	1844.76	3235.01	2739.08	2777.33	3955.48	3589.58	4972.34	3589.58	2133.97	5555.65	2976.74	2875.3	753.83	802.41	698.41	860.08	665.29	915.51	684.02	660.68	703.28	848.22	769.69	813.63	679.29	1135.2	743.43	791.35	796.86	708.18	738.29	909.17	733.19	808.0	866.07	791.35	954.43	902.89	708.18	723.08	620.67	2104.58	3443.31	2004.85	2255.7	3690.52	2400.97	2287.2	2319.15	1819.35	1819.35
SLC25A6	4512.4	3847.29	5913.33	2018.8	2178.83	1721.16	3060.45	1540.37	1378.57	1583.71	2875.3	2047.0	1447.15	921.88	2468.49	1936.53	1066.48	1277.29	988.12	1250.98	1417.35	1331.57	1111.82	1639.59	1674.06	1883.54	1066.48	1508.65	1936.53	1757.34	1104.13	1359.57	1529.73	1991.0	1844.76	723.08	1407.55	1540.37	1096.5	1119.56	1331.57	995.0	4328.55	2591.27	5219.6	3018.3	2682.69	2287.2	3742.05	3168.41	5112.16	2682.69
SMURF2	307.69	279.14	358.54	139.07	103.69	128.79	348.71	185.11	135.24	111.21	236.21	135.24	182.55	81.71	70.01	98.04	113.56	39.5	47.84	100.13	37.05	89.51	53.95	76.17	25.72	42.71	31.67	57.89	57.49	84.04	38.95	74.06	58.3	126.12	47.5	68.55	109.66	80.57	120.1	106.63	82.29	41.52	620.67	1447.15	486.75	612.11	866.07	1427.22	500.46	463.65	387.02	301.33
SPAG5	555.41	785.88	995.0	2163.77	371.22	1388.16	775.05	688.78	2119.22	563.18	1397.83	559.28	1963.57	107.38	248.0	248.0	269.6	226.54	244.57	217.27	109.66	353.59	126.12	236.21	81.71	79.45	312.0	111.21	154.42	341.51	220.32	279.14	214.27	363.56	212.78	277.2	212.78	151.22	186.4	255.0	197.09	197.09	536.45	1015.93	1447.15	638.15	559.28	629.35	775.05	872.1	1081.39	830.75
SUN1	1304.15	2956.17	1721.16	1081.39	1697.45	1151.06	1417.35	1340.84	1304.15	1498.22	1487.87	1242.34	1794.29	612.11	1008.9	1044.52	1044.52	1037.29	743.43	802.41	571.05	1051.79	660.68	981.29	483.38	921.88	473.41	591.22	921.88	718.08	825.0	743.43	656.11	1030.12	961.07	723.08	830.75	769.69	1059.11	1030.12	842.36	954.43	1651.0	2178.83	1467.37	3303.0	1896.65	3395.89	1467.37	2573.36	1733.13	3190.46
SWAP70	780.44	656.11	426.57	255.0	283.05	656.11	423.61	473.41	218.79	167.9	450.94	267.73	599.49	180.02	132.44	42.11	133.36	33.78	73.54	74.58	33.54	89.51	115.97	43.02	61.68	35.0	66.65	45.85	61.68	87.65	46.84	79.45	70.51	115.97	50.27	94.01	93.35	63.45	143.01	80.01	56.28	56.28	1143.1	1104.13	551.56	928.3	536.45	759.08	660.68	521.76	351.14	363.56
SYNJ2	221.86	299.25	201.25	167.9	131.51	88.88	426.57	432.53	186.4	154.42	368.65	141.02	236.21	110.43	74.58	41.52	117.6	38.4	39.5	65.26	47.84	101.54	52.82	166.73	26.1	114.36	50.63	121.79	60.39	339.14	39.5	35.0	65.72	187.71	43.32	48.52	93.35	40.64	113.56	86.43	91.41	40.07	190.34	291.04	208.38	323.03	212.78	305.55	103.69	371.22	307.69	258.57
SYS1	743.43	995.0	563.18	463.65	733.19	647.07	1096.5	665.29	890.44	860.08	638.15	884.29	525.39	607.87	463.65	400.71	595.34	379.04	457.25	423.61	607.87	343.89	651.58	514.56	525.39	633.73	555.41	642.59	435.55	607.87	432.53	332.14	525.39	575.03	414.87	679.29	669.92	698.41	616.37	490.14	420.68	339.14	476.71	669.92	684.02	679.29	842.36	713.11	660.68	540.19	1059.11	1030.12
TMEM165	1617.0	1427.22	1167.14	748.61	309.83	1051.79	1498.22	1096.5	429.54	339.14	896.64	463.65	1008.9	279.14	195.72	120.94	170.25	178.77	218.79	163.28	105.89	147.06	281.09	104.42	148.09	154.42	241.19	128.79	154.42	258.57	110.43	194.36	154.42	246.28	186.4	256.78	232.94	260.38	212.78	264.03	177.53	201.25	2224.63	2664.15	4268.94	4388.98	2224.63	3614.55	2004.85	1417.35	1199.98	1295.13
TMEM8B	312.0	387.02	435.55	229.72	150.17	195.72	191.67	116.78	232.94	85.22	332.14	351.14	414.87	102.97	127.89	86.43	113.56	105.89	86.43	150.17	131.51	100.83	81.14	133.36	137.14	73.54	112.77	121.79	100.83	111.99	111.99	123.5	127.89	149.12	138.1	137.14	133.36	73.54	113.56	111.99	85.82	105.15	161.02	180.02	229.72	279.14	379.04	256.78	305.55	251.48	267.73	591.22
TNRC18	854.13	1427.22	1397.83	483.38	961.07	718.08	825.0	575.03	791.35	830.75	708.18	693.58	854.13	409.15	267.73	366.09	346.29	346.29	162.14	571.05	307.69	232.94	208.38	403.5	260.38	703.28	98.04	244.57	332.14	348.71	476.71	253.23	460.44	429.54	503.95	223.41	255.0	117.6	267.73	217.27	156.59	217.27	2047.0	1477.58	981.29	1529.73	884.29	1304.15	830.75	1167.14	2468.49	2104.58
TOX2	384.34	563.18	389.72	279.14	429.54	111.21	555.41	246.28	503.95	191.67	264.03	409.15	24.99	159.9	211.31	361.04	24.81	253.23	84.63	169.07	43.94	269.6	34.26	120.94	90.14	309.83	34.51	74.58	58.3	98.73	50.63	51.35	111.99	68.07	36.79	50.63	57.49	167.9	26.47	237.86	120.94	25.72	343.89	384.34	106.63	149.12	327.56	518.15	376.41	214.27	483.38	22.59
TRIOBP	1991.0	764.36	753.83	532.74	909.17	825.0	1477.58	848.22	884.29	921.88	775.05	854.13	591.22	435.55	476.71	429.54	463.65	384.34	316.37	480.04	204.07	329.84	332.14	305.55	341.51	1397.83	267.73	417.77	518.15	242.88	684.02	297.17	417.77	728.11	466.88	423.61	371.22	258.57	603.67	371.22	397.93	450.94	698.41	842.36	718.08	1111.82	698.41	723.08	651.58	974.5	1119.56	1369.04
VDR	220.32	21.47	187.71	27.05	45.21	53.57	112.77	69.52	164.42	42.41	31.45	71.0	26.28	64.8	4.43	43.94	6.89	1.79	4.94	6.06	6.11	9.34	7.75	2.43	9.34	10.24	7.11	2.34	4.78	58.3	10.71	10.0	10.39	2.61	4.21	10.71	16.15	28.45	12.93	8.19	5.23	3.76	457.25	371.22	536.45	616.37	483.38	511.0	253.23	454.09	97.36	88.26
VMA21	392.44	583.07	616.37	248.0	139.07	287.01	260.38	312.0	351.14	209.84	460.44	169.07	713.11	180.02	142.01	115.97	158.79	118.43	163.28	129.69	125.24	107.38	191.67	101.54	198.47	167.9	132.44	115.16	153.34	100.13	118.43	124.37	126.12	177.53	183.82	136.19	101.54	125.24	204.07	157.68	152.28	193.01	343.89	305.55	599.49	441.64	361.04	583.07	351.14	325.29	271.48	633.73
VMP1	2104.58	3589.58	2032.85	2915.45	2240.11	4419.52	2367.9	3690.52	4038.61	1977.24	4419.52	2178.83	2935.74	2255.7	902.89	429.54	1757.34	599.49	981.29	698.41	780.44	1721.16	2032.85	921.88	1127.35	733.19	1359.57	1191.69	915.51	1143.1	718.08	1225.22	1159.07	1001.93	660.68	3168.41	2468.49	2875.3	1233.75	1662.49	1216.75	1268.46	6652.97	5672.41	5147.73	3768.09	5751.61	6121.9	2645.74	4481.23	2075.59	2351.53
VPS37A	583.07	503.95	866.07	269.6	409.15	796.86	384.34	660.68	603.67	231.32	444.72	343.89	1030.12	327.56	381.68	236.21	229.72	281.09	339.14	183.82	198.47	224.97	353.59	211.31	438.59	281.09	314.17	212.78	309.83	228.13	285.03	318.57	241.19	291.04	198.47	444.72	343.89	438.59	348.71	332.14	269.6	256.78	1037.29	555.41	603.67	679.29	651.58	409.15	674.59	490.14	358.54	1096.5
XXYLT1	334.46	346.29	1233.75	95.34	117.6	111.21	239.52	120.94	65.72	76.17	198.47	122.64	114.36	22.26	31.67	16.03	21.94	16.63	49.91	51.71	18.56	32.59	41.22	12.0	14.67	23.42	32.13	20.71	47.17	21.78	34.51	60.82	26.28	41.52	24.46	44.89	25.54	38.12	38.12	36.53	38.95	35.25	262.2	191.67	466.88	318.57	198.47	329.84	271.48	2485.67	521.76	314.17
YWHAB	5183.54	6079.61	4123.49	1896.65	1662.49	1857.6	5006.93	2664.15	1757.34	2645.74	2682.69	1745.2	2451.44	1304.15	1286.18	703.28	967.76	684.02	1059.11	981.29	921.88	995.0	1277.29	842.36	1066.48	802.41	1242.34	775.05	830.75	1183.45	775.05	1167.14	995.0	1259.69	713.11	1225.22	1073.91	1191.69	1457.23	1359.57	836.53	981.29	3103.19	4210.15	2417.67	4123.49	4358.66	3303.0	4358.66	3081.75	5555.65	6471.02
YWHAH	3690.52	2075.59	1529.73	1844.76	1322.37	2367.9	3467.27	2163.77	1487.87	1651.0	2976.74	1709.26	2875.3	1583.71	1561.89	463.65	1081.39	536.45	928.3	536.45	438.59	555.41	1427.22	353.59	514.56	759.08	819.3	429.54	579.04	738.29	878.17	759.08	543.96	941.27	417.77	1096.5	808.0	1295.13	941.27	769.69	703.28	595.34	2664.15	3742.05	3146.52	4607.24	3901.01	3395.89	2255.7	2997.45	2303.12	2875.3
ZNF213	194.36	297.17	232.94	99.43	72.52	120.94	124.37	108.9	182.55	71.5	177.53	135.24	221.86	41.22	42.71	94.01	39.79	82.29	40.36	108.14	42.41	47.84	28.86	87.03	39.5	78.89	59.13	76.17	78.89	67.12	100.83	63.0	69.52	54.72	99.43	41.81	69.03	19.97	48.18	59.55	61.68	48.52	214.27	214.27	303.44	336.79	314.17	232.94	159.9	264.03	193.01	140.04
ZNF738	171.45	293.07	75.11	32.36	34.26	10.08	103.69	56.68	33.54	12.45	42.71	40.07	82.29	14.35	6.67	4.62	10.47	1.43	4.35	16.88	3.06	9.06	11.21	14.45	5.41	0.88	0.87	6.16	10.39	4.9	13.52	9.13	1.89	35.25	5.59	15.34	7.63	19.82	10.55	32.59	8.45	6.46	283.05	177.53	94.01	128.79	132.44	111.21	248.0	69.03	234.57	22.26
