	TCGA.G4.6321.01A.11R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.WQUQ.2526.SM.4MVNO	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.13D11.0826.SM.5KLZJ	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.QV31.0826.SM.4R1KR	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.13PL7.0526.SM.5J2MQ	GTEX.11LCK.1526.SM.5HL64	GTEX.WFJO.0426.SM.4LVM7	GTEX.XUW1.1326.SM.4BOO1	GTEX.11LCK.1626.SM.5PNYB	GTEX.XQ8I.1626.SM.4BOOI	GTEX.XBEW.1426.SM.4AT4J
GALNT1	1088.92	693.58	674.59	796.86	708.18	748.61	1096.5	638.15	1304.15	1183.45	764.36	988.12	974.5	974.5	1023.0	961.07	1447.15	1487.87	1051.79	1277.29	2271.4	1477.58	1295.13	791.35	961.07	2018.8	674.59	1806.78	1417.35	981.29	1015.93	1127.35	830.75	1242.34	872.1	796.86	961.07	1508.65	1407.55	854.13	1662.49	1037.29	1268.46	928.3	1427.22	896.64	808.0	1295.13	587.13	1199.98	1721.16	1806.78	1709.26	1519.15	1417.35	915.51	1322.37	1340.84	748.61	1769.57	1037.29	1369.04	1350.18	1127.35	1286.18	1662.49	860.08	1159.07	595.34	1151.06	915.51	1051.79	1175.27	1242.34	1286.18	947.83	1477.58	1417.35	1225.22	1023.0	1073.91	813.63	1467.37	967.76	297.17	400.71	441.64	379.04	371.22	305.55	403.5
GALNT4	358.54	629.35	186.4	163.28	142.01	148.09	417.77	395.18	651.58	536.45	332.14	540.19	409.15	412.0	493.56	379.04	493.56	441.64	476.71	476.71	693.58	460.44	587.13	204.07	228.13	759.08	256.78	718.08	703.28	447.82	432.53	518.15	187.71	476.71	457.25	208.38	435.55	830.75	587.13	363.56	642.59	647.07	547.75	470.14	624.99	351.14	339.14	591.22	84.04	624.99	638.15	579.04	674.59	567.1	738.29	397.93	713.11	651.58	423.61	748.61	503.95	607.87	607.87	575.03	551.56	647.07	371.22	571.05	186.4	551.56	447.82	426.57	599.49	486.75	698.41	371.22	656.11	412.0	423.61	460.44	318.57	460.44	587.13	514.56	30.12	87.03	4.1	28.65	70.01	31.9	57.89
GALNT7	1331.57	389.72	540.19	909.17	497.0	567.1	1143.1	1051.79	1628.26	1340.84	842.36	1159.07	796.86	1225.22	1259.69	915.51	1015.93	1191.69	1322.37	1127.35	2271.4	1331.57	1457.23	563.18	769.69	2451.44	759.08	2451.44	1733.13	1111.82	753.83	1417.35	825.0	1268.46	780.44	616.37	1191.69	1950.0	1628.26	854.13	1350.18	1388.16	1467.37	1119.56	1467.37	1015.93	836.53	1594.73	547.75	1183.45	1896.65	1733.13	1844.76	1508.65	1572.76	1277.29	1498.22	1662.49	842.36	2758.13	1617.0	1467.37	1733.13	1030.12	1651.0	1457.23	961.07	1651.0	591.22	1369.04	1286.18	830.75	1519.15	1008.9	1757.34	1066.48	1819.35	1183.45	796.86	1159.07	884.29	1104.13	1709.26	1388.16	212.78	312.0	226.54	269.6	271.48	232.94	186.4
GMFB	612.11	384.34	536.45	567.1	575.03	595.34	941.27	647.07	1096.5	728.11	769.69	860.08	819.3	759.08	848.22	693.58	878.17	884.29	934.76	629.35	1991.0	848.22	974.5	493.56	444.72	1001.93	629.35	1286.18	941.27	743.43	620.67	723.08	599.49	660.68	532.74	665.29	633.73	1183.45	974.5	791.35	1088.92	1427.22	1313.23	748.61	1051.79	638.15	647.07	915.51	543.96	791.35	1008.9	1259.69	1359.57	1167.14	974.5	583.07	934.76	1008.9	595.34	961.07	896.64	915.51	988.12	796.86	1073.91	1135.2	620.67	947.83	624.99	836.53	738.29	607.87	988.12	802.41	981.29	624.99	1119.56	813.63	796.86	836.53	660.68	791.35	1059.11	909.17	316.37	432.53	371.22	291.04	334.46	384.34	339.14
GNG12	1519.15	336.79	1175.27	1225.22	1175.27	1617.0	1498.22	1277.29	2520.38	1529.73	1745.2	1594.73	1359.57	1685.71	1617.0	995.0	1519.15	1709.26	2434.5	1551.09	3665.02	2104.58	2520.38	802.41	647.07	2777.33	1104.13	4450.27	2537.92	1508.65	1008.9	2004.85	1286.18	1175.27	1369.04	1151.06	1551.09	2591.27	1519.15	1417.35	2209.26	3103.19	2434.5	1487.87	2502.97	1183.45	921.88	1806.78	878.17	1407.55	2875.3	2720.15	2956.17	2520.38	1806.78	1639.59	1844.76	2119.22	995.0	3325.99	2287.2	1781.89	2075.59	1594.73	2303.12	2835.7	1208.34	2468.49	915.51	1806.78	1639.59	1295.13	2271.4	1498.22	2417.67	1135.2	2627.46	1437.15	1437.15	1745.2	1066.48	1857.6	2701.35	2451.44	941.27	607.87	872.1	890.44	698.41	713.11	802.41
GPD2	514.56	89.51	287.01	262.2	217.27	267.73	599.49	403.5	616.37	529.06	473.41	575.03	406.31	583.07	490.14	379.04	473.41	551.56	688.78	423.61	1088.92	559.28	665.29	287.01	273.37	624.99	346.29	836.53	665.29	503.95	332.14	563.18	348.71	435.55	353.59	339.14	473.41	660.68	599.49	420.68	830.75	854.13	713.11	387.02	629.35	379.04	368.65	684.02	218.79	426.57	599.49	928.3	733.19	587.13	583.07	376.41	620.67	669.92	466.88	708.18	612.11	612.11	633.73	503.95	665.29	764.36	366.09	698.41	255.0	571.05	500.46	429.54	587.13	483.38	620.67	376.41	633.73	454.09	463.65	497.0	346.29	579.04	591.22	669.92	119.26	142.01	97.36	99.43	125.24	141.02	115.97
GUCY2C	432.53	153.34	161.02	256.78	120.1	260.38	1844.76	1286.18	2609.3	2271.4	1697.45	2240.11	1529.73	1561.89	1950.0	1388.16	1639.59	1819.35	2209.26	1561.89	2758.13	2119.22	2163.77	642.59	733.19	2400.97	1096.5	2537.92	2555.58	1583.71	1242.34	2287.2	1081.39	1963.57	1733.13	934.76	2090.03	2485.67	2133.97	1605.83	2178.83	2319.15	2303.12	1639.59	2271.4	1639.59	1295.13	2303.12	693.58	2163.77	2502.97	2434.5	2319.15	2758.13	2664.15	1651.0	2193.99	2193.99	1359.57	3103.19	2075.59	2163.77	2104.58	1733.13	2193.99	2209.26	1467.37	2004.85	486.75	2119.22	1467.37	1639.59	2148.82	1697.45	2555.58	1977.24	2573.36	2104.58	1350.18	1572.76	1242.34	1950.0	2400.97	2075.59	0.82	1.99	3.53	0.66	0.18	1.75	0.19
HNF4G	262.2	6.84	111.99	157.68	96.01	190.34	819.3	780.44	1216.75	842.36	753.83	1104.13	785.88	928.3	842.36	612.11	791.35	967.76	954.43	988.12	1407.55	860.08	1001.93	343.89	351.14	1304.15	358.54	1651.0	1081.39	775.05	559.28	934.76	435.55	733.19	884.29	392.44	718.08	1286.18	825.0	555.41	909.17	1359.57	1159.07	769.69	1259.69	642.59	607.87	1023.0	285.03	1001.93	1208.34	988.12	1059.11	1127.35	1081.39	785.88	1081.39	1191.69	486.75	1447.15	896.64	1008.9	947.83	708.18	1030.12	1104.13	591.22	1277.29	273.37	967.76	759.08	785.88	1242.34	866.07	1135.2	684.02	1216.75	854.13	698.41	854.13	559.28	947.83	1295.13	872.1	0.0	0.0	11.21	0.0	0.0	1.04	0.0
IPMK	108.9	31.0	68.07	74.06	59.13	105.89	132.44	101.54	132.44	120.94	110.43	129.69	123.5	102.25	127.89	77.25	104.42	127.0	155.5	120.94	241.19	144.01	121.79	68.07	63.89	214.27	57.49	215.77	157.68	102.97	96.01	142.01	73.54	96.01	109.66	81.71	103.69	171.45	123.5	95.34	197.09	191.67	202.66	105.89	189.02	98.04	84.04	148.09	65.72	128.79	147.06	242.88	180.02	150.17	164.42	121.79	181.28	154.42	82.87	231.32	181.28	109.66	165.57	125.24	134.3	176.29	76.17	164.42	82.87	164.42	110.43	139.07	140.04	119.26	165.57	109.66	197.09	100.13	100.83	165.57	79.45	170.25	169.07	143.01	26.86	35.76	33.54	40.36	30.78	32.13	27.64
KALRN	728.11	236.21	647.07	493.56	406.31	802.41	1191.69	819.3	1066.48	1051.79	748.61	878.17	785.88	1111.82	1081.39	743.43	728.11	1001.93	974.5	769.69	1359.57	1066.48	890.44	420.68	395.18	1081.39	647.07	1127.35	1051.79	921.88	587.13	934.76	656.11	902.89	607.87	633.73	1044.52	1008.9	995.0	642.59	1208.34	1216.75	1208.34	647.07	1081.39	607.87	728.11	1208.34	503.95	872.1	995.0	1359.57	1015.93	1225.22	1242.34	802.41	1044.52	1159.07	967.76	1151.06	1066.48	1051.79	1277.29	854.13	1191.69	1159.07	674.59	1167.14	376.41	902.89	934.76	808.0	808.0	1073.91	988.12	825.0	1143.1	928.3	728.11	890.44	607.87	921.88	1059.11	974.5	194.36	253.23	100.83	312.0	195.72	346.29	329.84
KRAS	417.77	312.0	392.44	447.82	376.41	363.56	674.59	450.94	854.13	473.41	457.25	551.56	579.04	674.59	703.28	555.41	669.92	743.43	748.61	529.06	1127.35	674.59	785.88	363.56	450.94	890.44	514.56	902.89	759.08	543.96	480.04	571.05	543.96	521.76	447.82	426.57	409.15	848.22	595.34	441.64	1119.56	909.17	884.29	583.07	743.43	454.09	493.56	759.08	438.59	583.07	713.11	1015.93	848.22	808.0	660.68	490.14	703.28	718.08	454.09	1015.93	698.41	713.11	808.0	599.49	764.36	830.75	483.38	693.58	483.38	830.75	559.28	429.54	718.08	738.29	785.88	497.0	854.13	536.45	500.46	591.22	521.76	616.37	684.02	718.08	316.37	356.05	483.38	305.55	376.41	256.78	329.84
LGR4	928.3	309.83	674.59	769.69	511.0	665.29	1119.56	764.36	1467.37	1037.29	612.11	1199.98	660.68	1037.29	1199.98	909.17	981.29	995.0	1313.23	995.0	1923.14	1175.27	1111.82	547.75	1008.9	1561.89	718.08	1697.45	1498.22	1023.0	825.0	1081.39	890.44	780.44	1051.79	470.14	1008.9	1508.65	1030.12	620.67	1313.23	1685.71	1651.0	890.44	1313.23	995.0	629.35	1487.87	486.75	1015.93	1322.37	1388.16	1508.65	1487.87	1487.87	1051.79	1208.34	1369.04	743.43	1794.29	1066.48	1216.75	1225.22	934.76	1233.75	1519.15	947.83	1378.57	688.78	1304.15	1216.75	753.83	1167.14	819.3	1519.15	896.64	1639.59	941.27	660.68	981.29	775.05	1044.52	1340.84	954.43	187.71	295.11	277.2	303.44	323.03	128.79	379.04
LIMA1	3325.99	669.92	2384.37	2855.44	2061.24	3018.3	5255.91	3146.52	5147.73	4152.18	5041.77	4239.45	3564.78	4450.27	4328.55	3395.89	3614.55	5255.91	4450.27	4181.07	8363.13	4419.52	4481.23	2004.85	1757.34	5517.27	2739.08	5219.6	5041.77	4095.0	2178.83	4869.99	2609.3	3372.43	3190.46	2573.36	3690.52	5112.16	4937.99	3515.68	4481.23	5711.87	5831.91	3419.52	4607.24	2537.92	2915.45	5329.3	2193.99	3540.14	4607.24	5255.91	5517.27	5292.48	4543.8	3081.75	4802.93	4512.4	2400.97	4736.79	5147.73	4575.41	6079.61	3515.68	5219.6	5183.54	3443.31	4836.35	2133.97	4450.27	4512.4	3146.52	4123.49	4210.15	5147.73	3491.39	4937.99	4358.66	3280.18	3742.05	2935.74	3820.7	4010.71	4869.99	1081.39	1167.14	780.44	1151.06	819.3	1023.0	1183.45
LRRC16A	343.89	412.0	271.48	291.04	172.65	205.5	759.08	500.46	698.41	713.11	718.08	785.88	547.75	476.71	633.73	629.35	551.56	769.69	703.28	435.55	825.0	780.44	633.73	363.56	346.29	748.61	432.53	878.17	738.29	511.0	432.53	848.22	381.68	780.44	476.71	417.77	642.59	854.13	796.86	651.58	688.78	624.99	723.08	571.05	669.92	486.75	633.73	780.44	429.54	764.36	723.08	764.36	921.88	693.58	808.0	665.29	603.67	723.08	698.41	679.29	733.19	902.89	718.08	656.11	743.43	669.92	525.39	728.11	341.51	733.19	603.67	587.13	780.44	764.36	915.51	684.02	708.18	651.58	497.0	633.73	486.75	642.59	830.75	780.44	232.94	232.94	159.9	139.07	208.38	139.07	156.59
LRRC19	802.41	202.66	256.78	314.17	171.45	318.57	2178.83	1487.87	3257.52	2502.97	2502.97	2664.15	1628.26	2119.22	2335.28	1561.89	2148.82	3039.3	2591.27	2520.38	5366.37	2255.7	2976.74	723.08	665.29	3564.78	890.44	4481.23	2537.92	1757.34	1088.92	2240.11	988.12	2303.12	1870.53	1104.13	2004.85	3018.3	2956.17	1769.57	2796.65	3303.0	3212.66	1721.16	2720.15	1350.18	1378.57	2537.92	660.68	2271.4	2739.08	3124.78	3146.52	3235.01	2835.7	1583.71	2835.7	2895.31	1529.73	3039.3	2555.58	2720.15	3280.18	1870.53	2935.74	3303.0	1208.34	3081.75	441.64	2400.97	2061.24	1605.83	2796.65	1936.53	2758.13	1651.0	3325.99	2224.63	1519.15	2255.7	1359.57	2351.53	2997.45	3303.0	1.25	1.14	0.57	2.29	1.16	0.0	1.17
LRRC8D	275.28	260.38	371.22	371.22	279.14	356.05	400.71	384.34	748.61	529.06	412.0	624.99	356.05	587.13	444.72	376.41	447.82	511.0	575.03	563.18	567.1	476.71	656.11	256.78	314.17	748.61	397.93	1015.93	616.37	444.72	343.89	583.07	339.14	412.0	420.68	299.25	490.14	703.28	525.39	444.72	647.07	769.69	518.15	438.59	708.18	339.14	323.03	543.96	301.33	447.82	684.02	723.08	595.34	693.58	466.88	466.88	547.75	603.67	309.83	819.3	595.34	500.46	551.56	400.71	647.07	759.08	356.05	599.49	253.23	525.39	414.87	366.09	587.13	406.31	551.56	400.71	775.05	447.82	371.22	438.59	312.0	559.28	759.08	559.28	59.97	85.22	73.03	71.5	101.54	70.51	94.67
LY75	198.47	132.44	236.21	228.13	80.01	75.11	450.94	363.56	480.04	599.49	400.71	559.28	438.59	432.53	575.03	463.65	463.65	463.65	612.11	529.06	902.89	532.74	713.11	170.25	199.85	909.17	244.57	909.17	543.96	356.05	289.02	493.56	301.33	587.13	356.05	226.54	633.73	775.05	532.74	476.71	802.41	612.11	703.28	417.77	703.28	332.14	351.14	660.68	147.06	540.19	444.72	1073.91	703.28	536.45	511.0	239.52	842.36	674.59	343.89	967.76	612.11	669.92	703.28	638.15	454.09	579.04	339.14	819.3	113.56	547.75	435.55	579.04	629.35	536.45	571.05	356.05	842.36	463.65	420.68	486.75	343.89	563.18	723.08	447.82	15.0	24.99	16.51	21.01	17.51	13.83	8.78
LYPLA1	684.02	674.59	642.59	684.02	780.44	842.36	1295.13	743.43	1242.34	1191.69	872.1	1143.1	1359.57	1127.35	1225.22	902.89	1447.15	1605.83	1159.07	1001.93	2520.38	1417.35	1605.83	733.19	1073.91	1583.71	607.87	1216.75	1498.22	1208.34	1030.12	1359.57	1008.9	1151.06	995.0	890.44	890.44	1769.57	1233.75	830.75	1617.0	1540.37	1487.87	1051.79	1551.09	1023.0	1023.0	1605.83	647.07	1540.37	1359.57	1819.35	2119.22	1651.0	2090.03	1066.48	1883.54	1378.57	825.0	1388.16	1322.37	1594.73	1331.57	1437.15	1437.15	1572.76	884.29	1151.06	620.67	1628.26	909.17	1096.5	1191.69	1487.87	1605.83	1008.9	1359.57	1340.84	1322.37	1127.35	941.27	1225.22	1331.57	1250.98	379.04	460.44	529.06	486.75	490.14	470.14	579.04
MAPK13	2485.67	947.83	896.64	1350.18	563.18	2796.65	3847.29	3614.55	3768.09	3515.68	4419.52	3794.3	3212.66	3564.78	3280.18	2956.17	3060.45	3419.52	4419.52	3190.46	4066.71	3124.78	4152.18	1477.58	1529.73	4095.0	1963.57	4543.8	4010.71	3212.66	1674.06	3982.99	2609.3	3742.05	3325.99	2434.5	3146.52	4639.29	3794.3	3419.52	3847.29	3639.7	4038.61	2701.35	3820.7	2720.15	2627.46	3901.01	1572.76	3372.43	3235.01	4038.61	3982.99	4575.41	3768.09	2895.31	3467.27	4736.79	2935.74	3820.7	3928.15	3742.05	3874.05	3124.78	4210.15	3820.7	2645.74	4704.07	1304.15	3540.14	3103.19	3395.89	4095.0	3847.29	3564.78	2609.3	4481.23	3589.58	2835.7	2997.45	2287.2	3467.27	4066.71	3564.78	82.87	142.01	116.78	199.85	122.64	206.94	93.35
MARVELD2	466.88	53.95	119.26	98.04	72.01	353.59	476.71	366.09	567.1	493.56	511.0	536.45	381.68	493.56	450.94	346.29	423.61	473.41	454.09	493.56	587.13	457.25	629.35	148.09	218.79	629.35	256.78	665.29	529.06	450.94	320.8	490.14	239.52	454.09	426.57	237.86	441.64	587.13	536.45	363.56	438.59	603.67	595.34	387.02	543.96	295.11	309.83	486.75	201.25	521.76	518.15	525.39	543.96	642.59	599.49	438.59	555.41	529.06	356.05	651.58	511.0	511.0	514.56	417.77	511.0	532.74	293.07	547.75	135.24	500.46	384.34	389.72	503.95	363.56	620.67	361.04	579.04	432.53	363.56	423.61	271.48	540.19	571.05	503.95	12.36	7.34	11.64	13.62	8.78	6.21	9.63
MGAT2	698.41	633.73	583.07	551.56	432.53	429.54	629.35	633.73	896.64	684.02	878.17	915.51	728.11	775.05	642.59	616.37	866.07	802.41	785.88	743.43	1001.93	808.0	1037.29	450.94	500.46	1225.22	575.03	1233.75	941.27	830.75	633.73	703.28	633.73	723.08	698.41	633.73	660.68	967.76	878.17	728.11	896.64	921.88	1044.52	669.92	995.0	507.46	460.44	780.44	348.71	830.75	848.22	941.27	872.1	1001.93	743.43	540.19	954.43	819.3	669.92	1119.56	830.75	884.29	796.86	921.88	941.27	1167.14	674.59	902.89	384.34	723.08	587.13	961.07	791.35	748.61	616.37	497.0	1001.93	981.29	802.41	587.13	503.95	1143.1	723.08	718.08	205.5	271.48	208.38	142.01	289.02	202.66	206.94
MGAT4A	878.17	191.67	723.08	656.11	493.56	607.87	1030.12	759.08	1397.83	1111.82	1081.39	1135.2	813.63	974.5	954.43	775.05	825.0	1111.82	1277.29	1208.34	1662.49	1044.52	1111.82	483.38	525.39	1216.75	651.58	1936.53	1183.45	791.35	547.75	1199.98	629.35	941.27	961.07	703.28	954.43	1191.69	1304.15	1119.56	1250.98	1540.37	1304.15	802.41	1295.13	738.29	738.29	1378.57	587.13	928.3	1151.06	1331.57	1295.13	1331.57	1216.75	1143.1	1216.75	1529.73	723.08	1447.15	1369.04	1143.1	1159.07	974.5	1225.22	1427.22	825.0	1397.83	376.41	1119.56	1088.92	1023.0	1096.5	1001.93	1208.34	909.17	1498.22	915.51	718.08	947.83	616.37	1313.23	1151.06	1250.98	144.01	277.2	153.34	151.22	361.04	113.56	135.24
MOB3B	387.02	201.25	220.32	299.25	217.27	218.79	450.94	339.14	555.41	473.41	435.55	507.46	346.29	463.65	457.25	358.54	412.0	476.71	551.56	397.93	723.08	423.61	532.74	277.2	239.52	629.35	241.19	656.11	543.96	376.41	305.55	529.06	262.2	376.41	403.5	244.57	409.15	511.0	373.81	366.09	583.07	698.41	547.75	314.17	551.56	363.56	318.57	518.15	255.0	353.59	480.04	551.56	647.07	579.04	483.38	429.54	432.53	511.0	309.83	647.07	521.76	493.56	547.75	341.51	532.74	698.41	323.03	536.45	253.23	547.75	371.22	351.14	476.71	412.0	521.76	363.56	543.96	412.0	327.56	438.59	371.22	409.15	540.19	514.56	133.36	106.63	124.37	185.11	104.42	84.04	106.63
MYO6	753.83	285.03	521.76	447.82	417.77	320.8	703.28	612.11	848.22	759.08	540.19	723.08	536.45	775.05	656.11	571.05	688.78	708.18	796.86	698.41	1044.52	693.58	854.13	346.29	426.57	1015.93	432.53	813.63	878.17	642.59	514.56	703.28	447.82	679.29	603.67	420.68	612.11	848.22	748.61	603.67	947.83	921.88	825.0	607.87	785.88	551.56	466.88	738.29	376.41	753.83	819.3	1066.48	791.35	836.53	713.11	563.18	808.0	836.53	595.34	961.07	693.58	703.28	780.44	656.11	780.44	872.1	620.67	842.36	341.51	775.05	713.11	607.87	791.35	684.02	684.02	543.96	848.22	669.92	547.75	567.1	486.75	723.08	825.0	791.35	170.25	244.57	189.02	186.4	226.54	177.53	204.07
NBEAL1	96.01	36.79	109.66	131.51	82.29	107.38	197.09	181.28	387.02	206.94	165.57	237.86	139.07	212.78	251.48	178.77	221.86	260.38	248.0	193.01	363.56	236.21	218.79	69.03	88.88	336.79	191.67	305.55	301.33	140.04	161.02	197.09	115.97	152.28	115.16	125.24	197.09	351.14	237.86	187.71	215.77	312.0	307.69	169.07	275.28	163.28	124.37	281.09	136.19	208.38	241.19	279.14	253.23	307.69	234.57	191.67	253.23	301.33	159.9	318.57	248.0	248.0	264.03	166.73	316.37	287.01	117.6	289.02	127.0	217.27	154.42	110.43	275.28	205.5	285.03	166.73	341.51	198.47	111.21	172.65	159.9	182.55	329.84	236.21	57.89	68.07	65.72	92.7	63.0	60.39	51.35
NDFIP2	1008.9	616.37	669.92	836.53	441.64	967.76	1331.57	1151.06	2351.53	1639.59	1277.29	1844.76	1159.07	1529.73	1540.37	1037.29	1369.04	1397.83	2061.24	1508.65	2351.53	1437.15	2193.99	493.56	728.11	2351.53	866.07	3540.14	1923.14	1277.29	954.43	1794.29	1225.22	1313.23	1233.75	974.5	1605.83	2271.4	1674.06	1233.75	2303.12	2591.27	1977.24	1286.18	2119.22	1096.5	769.69	1733.13	414.87	1508.65	2047.0	2061.24	1977.24	2209.26	1819.35	1540.37	1769.57	1757.34	1143.1	2520.38	1950.0	1857.6	1794.29	1498.22	2018.8	2209.26	928.3	2384.37	567.1	1896.65	1583.71	1233.75	1936.53	1397.83	1991.0	1191.69	2434.5	1378.57	1175.27	1359.57	921.88	1697.45	2271.4	1963.57	98.04	147.06	139.07	131.51	153.34	142.01	127.0
NRAS	483.38	267.73	348.71	420.68	348.71	432.53	723.08	444.72	890.44	642.59	629.35	624.99	536.45	629.35	603.67	423.61	583.07	669.92	748.61	529.06	1127.35	753.83	665.29	368.65	348.71	693.58	373.81	738.29	780.44	555.41	473.41	669.92	444.72	559.28	490.14	460.44	514.56	872.1	688.78	543.96	915.51	785.88	769.69	547.75	753.83	497.0	460.44	764.36	395.18	633.73	780.44	947.83	974.5	830.75	753.83	583.07	708.18	703.28	518.15	848.22	713.11	684.02	713.11	647.07	743.43	819.3	543.96	599.49	343.89	733.19	536.45	532.74	718.08	698.41	769.69	497.0	842.36	529.06	603.67	529.06	480.04	624.99	753.83	738.29	163.28	197.09	176.29	158.79	197.09	130.6	198.47
NSF	371.22	366.09	599.49	555.41	571.05	603.67	928.3	836.53	1066.48	753.83	860.08	764.36	647.07	921.88	791.35	713.11	728.11	785.88	896.64	780.44	1242.34	708.18	954.43	447.82	583.07	981.29	651.58	915.51	808.0	674.59	480.04	759.08	665.29	718.08	669.92	665.29	759.08	1259.69	988.12	708.18	981.29	954.43	995.0	698.41	813.63	575.03	642.59	1073.91	543.96	802.41	759.08	988.12	981.29	878.17	764.36	616.37	872.1	825.0	633.73	860.08	909.17	967.76	866.07	743.43	988.12	974.5	738.29	921.88	423.61	830.75	836.53	775.05	830.75	796.86	718.08	587.13	1216.75	902.89	693.58	738.29	591.22	878.17	819.3	848.22	265.87	281.09	215.77	226.54	277.2	232.94	305.55
PAFAH2	698.41	73.03	379.04	379.04	361.04	532.74	575.03	532.74	884.29	665.29	679.29	698.41	480.04	656.11	665.29	514.56	591.22	674.59	679.29	693.58	860.08	540.19	909.17	351.14	336.79	961.07	389.72	941.27	743.43	521.76	444.72	688.78	476.71	587.13	463.65	454.09	599.49	808.0	718.08	529.06	759.08	878.17	813.63	624.99	780.44	432.53	450.94	723.08	341.51	642.59	665.29	848.22	808.0	872.1	718.08	543.96	743.43	830.75	361.04	780.44	698.41	638.15	769.69	514.56	764.36	1001.93	463.65	764.36	318.57	633.73	536.45	616.37	684.02	647.07	651.58	555.41	1008.9	693.58	490.14	674.59	503.95	693.58	703.28	624.99	99.43	123.5	151.22	131.51	116.78	195.72	115.16
PANK3	381.68	65.72	409.15	400.71	376.41	356.05	688.78	547.75	909.17	547.75	638.15	866.07	490.14	748.61	642.59	490.14	612.11	759.08	808.0	559.28	1340.84	708.18	842.36	363.56	392.44	813.63	417.77	1268.46	947.83	555.41	518.15	651.58	503.95	629.35	555.41	395.18	460.44	825.0	607.87	490.14	981.29	1605.83	909.17	563.18	769.69	490.14	525.39	785.88	432.53	656.11	890.44	1233.75	961.07	708.18	708.18	486.75	791.35	733.19	463.65	802.41	819.3	703.28	669.92	669.92	748.61	1167.14	503.95	665.29	384.34	941.27	583.07	435.55	769.69	674.59	802.41	540.19	872.1	603.67	540.19	638.15	514.56	733.19	688.78	753.83	172.65	187.71	204.07	205.5	163.28	163.28	171.45
