	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.B6.A0WV.01A.11R.A109.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.AO.A0J6.01A.11R.A034.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.E2.A15A.01A.11R.A12D.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AR.A0TU.01A.31R.A109.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	GTEX.13O61.1226.SM.5KM21	GTEX.P4QT.0626.SM.3NMCP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.MX.A663.01A.11R.A31P.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
MYOCD	4.28	0.61	2.41	0.31	2.76	0.33	0.36	0.34	0.66	7.0	7.94	0.3	2.23	0.35	1.03	1.87	346.29	101.54	0.0	0.24	28.45	156.59	39.5	50.27	41.52	13.72	214.27	56.68	33.54	33.06	195.72	38.12	273.37	215.77	48.52	454.09	366.09	77.25	150.17	55.49	91.41	86.43	98.04
NAALAD2	3.99	4.58	2.12	2.16	5.19	13.12	5.92	4.62	4.54	12.18	6.36	5.82	4.78	5.06	2.41	5.92	40.07	16.63	0.0	0.23	23.08	67.12	7.51	17.9	3.79	5.54	24.28	13.83	10.16	6.94	82.87	18.16	25.35	10.47	9.7	145.02	15.22	11.73	15.11	18.56	12.74	7.46	18.84
NLGN3	6.78	6.84	2.73	6.84	1.83	6.46	5.45	5.82	6.01	10.0	2.53	6.84	11.04	3.32	6.31	2.78	30.34	18.84	0.0	0.27	16.39	60.39	14.24	23.42	10.71	15.45	27.44	14.35	10.63	48.87	87.65	24.28	32.13	22.26	12.74	86.43	50.27	17.64	26.47	15.34	22.92	19.11	18.84
NLRX1	110.43	100.13	136.19	165.57	121.79	20.86	74.58	69.03	104.42	83.45	109.66	77.25	98.04	52.82	163.28	91.41	325.29	967.76	0.0	0.1	397.93	173.85	208.38	173.85	224.97	105.89	234.57	92.7	202.66	120.94	379.04	255.0	208.38	271.48	251.48	327.56	423.61	301.33	208.38	186.4	246.28	217.27	169.07
NR2F1	26.67	71.0	53.57	40.93	29.27	50.27	99.43	98.04	117.6	267.73	91.41	58.71	68.07	97.36	88.26	62.12	281.09	234.57	0.0	0.83	269.6	688.78	583.07	176.29	182.55	102.97	819.3	260.38	151.22	215.77	723.08	444.72	780.44	429.54	206.94	1857.6	587.13	170.25	307.69	543.96	400.71	246.28	532.74
NR4A1	339.14	242.88	232.94	186.4	289.02	256.78	180.02	444.72	273.37	454.09	406.31	291.04	220.32	190.34	387.02	769.69	3564.78	679.29	0.0	0.26	5594.3	1870.53	1662.49	1388.16	406.31	3018.3	2384.37	3146.52	2119.22	1963.57	12502.12	5147.73	11035.54	4095.0	392.44	88905.42	6471.02	3690.52	2224.63	4639.29	902.89	209.84	14561.8
NR4A3	22.43	6.78	4.03	12.36	10.63	6.41	16.15	28.24	50.63	25.72	8.32	10.96	15.56	11.38	7.88	29.7	120.1	49.91	97.36	144.01	108.9	248.0	127.0	37.05	13.03	51.35	201.25	289.02	34.75	111.21	785.88	194.36	473.41	135.24	47.5	8598.28	228.13	105.15	110.43	262.2	35.5	16.03	642.59
NRIP2	8.85	15.11	15.11	7.06	37.05	16.39	16.27	13.52	32.59	50.27	47.84	9.93	30.12	14.67	20.86	26.86	80.01	42.11	0.0	0.16	70.51	89.51	113.56	71.0	49.56	26.28	194.36	45.21	53.19	41.22	146.03	57.89	111.21	43.94	46.84	110.43	68.55	41.22	51.35	81.71	62.12	63.45	67.59
PCDH7	10.08	46.84	33.54	26.47	49.91	99.43	435.55	146.03	116.78	229.72	97.36	8.99	67.12	58.3	63.89	24.46	1286.18	103.69	0.0	0.38	101.54	198.47	466.88	87.65	202.66	1143.1	872.1	473.41	201.25	75.64	332.14	327.56	376.41	248.0	161.02	988.12	327.56	139.07	201.25	217.27	242.88	275.28	281.09
PDILT	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.34	0.0	0.37	0.0	1268.46	17.25	0.0	0.0	67.12	1159.07	6337.83	1088.92	6250.56	3.11	297.17	1088.92	3.35	2075.59	3.38	0.0	303.44	51.35	281.09	41.81	130.6	16611.71	4095.0	3794.3	854.13	10733.74	3081.75
