	TCGA.BA.5557.01A.01R.1514.07	TCGA.KM.8639.01A.11R.2403.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.UZ.A9PN.01A.11R.A38C.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11DXZ.0926.SM.5N9CG	GTEX.V1D1.0926.SM.4JBHQ	GTEX.RU72.2626.SM.4TT75
TUBGCP6	206.94	457.25	68.55	603.67	591.22	463.65	371.22	684.02	199.85	262.2	607.87	231.32	679.29	476.71	748.61	242.88	507.46	395.18	466.88	389.72	432.53	514.56	665.29	208.38	764.36	438.59	796.86	1066.48	236.21	759.08	423.61	514.56	312.0	80.57	90.14	133.36	198.47	0.0	1.22	808.0	1617.0	808.0
USPL1	99.43	85.82	204.07	183.82	158.79	142.01	50.63	212.78	70.51	141.02	167.9	102.97	231.32	169.07	217.27	77.25	195.72	163.28	229.72	117.6	101.54	161.02	170.25	165.57	271.48	100.83	241.19	281.09	140.04	281.09	94.67	161.02	71.0	48.87	62.56	83.45	85.22	0.0	0.38	336.79	441.64	244.57
VANGL2	186.4	11.47	12.55	197.09	293.07	236.21	3.03	204.07	12.27	142.01	226.54	127.89	185.11	137.14	325.29	8.25	239.52	172.65	217.27	211.31	170.25	265.87	301.33	105.89	218.79	144.01	241.19	277.2	170.25	186.4	135.24	209.84	146.03	0.0	0.4	1.19	9.63	0.0	0.59	368.65	373.81	223.41
WDR27	40.64	231.32	96.68	466.88	246.28	190.34	218.79	490.14	144.01	163.28	376.41	148.09	802.41	353.59	595.34	140.04	343.89	265.87	389.72	260.38	153.34	301.33	368.65	217.27	723.08	223.41	684.02	890.44	84.63	775.05	164.42	198.47	221.86	33.54	29.48	43.94	83.45	0.0	1.04	1066.48	1175.27	551.56
ZBTB6	72.52	57.89	62.56	123.5	92.7	102.25	45.53	129.69	59.13	80.01	112.77	60.39	94.01	97.36	85.82	80.57	89.51	82.29	148.09	85.82	73.03	108.14	128.79	73.54	115.16	62.12	133.36	166.73	110.43	104.42	91.41	111.99	57.89	36.79	37.59	41.52	23.76	0.0	0.0	123.5	113.56	137.14
ZMAT1	4.28	126.12	53.57	403.5	237.86	299.25	100.13	480.04	40.93	74.58	221.86	178.77	473.41	289.02	629.35	77.25	432.53	241.19	187.71	151.22	143.01	118.43	260.38	173.85	514.56	197.09	665.29	1551.09	106.63	647.07	172.65	164.42	96.68	4.62	10.24	24.11	36.27	0.0	0.65	1208.34	1870.53	1111.82
ZNF18	34.51	102.25	41.81	249.73	120.1	180.02	143.01	143.01	86.43	151.22	115.97	104.42	156.59	209.84	159.9	45.85	223.41	88.88	163.28	129.69	87.03	143.01	154.42	137.14	189.02	121.79	269.6	232.94	163.28	215.77	117.6	125.24	99.43	66.65	82.29	89.51	75.64	0.0	0.17	164.42	264.03	173.85
ZNF510	55.1	94.67	40.36	112.77	100.83	83.45	21.78	147.06	38.67	62.12	128.79	55.49	131.51	111.99	92.05	35.25	73.03	89.51	172.65	119.26	61.25	172.65	142.01	68.55	125.24	74.58	106.63	127.89	62.56	99.43	104.42	131.51	43.32	33.54	15.56	28.24	31.45	0.0	0.16	131.51	173.85	195.72
ZNF517	47.17	236.21	35.25	199.85	231.32	194.36	152.28	234.57	62.56	141.02	205.5	224.97	256.78	209.84	309.83	130.6	226.54	115.16	281.09	147.06	212.78	265.87	236.21	137.14	303.44	166.73	287.01	325.29	92.7	316.37	175.07	171.45	194.36	23.93	38.95	32.13	46.84	0.0	0.31	314.17	371.22	607.87
ZNF658	20.41	38.95	15.56	51.71	64.34	59.55	24.28	84.63	12.83	25.17	65.72	25.54	59.13	84.04	69.03	27.84	45.21	40.93	80.01	36.79	26.47	67.59	86.43	46.18	70.51	44.25	60.39	52.08	38.95	81.14	35.5	63.89	12.64	4.28	8.51	4.94	9.2	0.0	0.0	47.5	115.97	85.82
ZNF862	45.85	173.85	68.55	297.17	267.73	138.1	82.29	698.41	100.13	169.07	253.23	204.07	483.38	406.31	473.41	90.77	470.14	339.14	366.09	166.73	182.55	220.32	511.0	155.5	529.06	217.27	718.08	486.75	143.01	713.11	191.67	199.85	50.98	7.88	16.39	21.94	34.75	0.0	0.61	529.06	688.78	356.05
