	TCGA.LP.A5U2.01A.11R.A28H.07	TCGA.G4.6304.01A.11R.1928.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.O5YV.1026.SM.3LK72	GTEX.14DAQ.1426.SM.5RQJD	GTEX.13O1R.1326.SM.5IJF5	GTEX.13NYS.1626.SM.5J2MU	GTEX.131XW.1126.SM.5EGK4	GTEX.N7MT.0126.SM.2D7VT	GTEX.117YW.0526.SM.5H11C	GTEX.Q2AG.1026.SM.33HBW	TCGA.D1.A2G0.01A.11R.A32Y.07
SLC35B1	1127.35	1295.13	995.0	1806.78	1447.15	1059.11	753.83	1322.37	1104.13	819.3	791.35	743.43	1551.09	656.11	665.29	693.58	660.68	651.58	2351.53
SNRPA	3146.52	2935.74	2224.63	4328.55	2895.31	2090.03	1857.6	2502.97	2075.59	1963.57	1322.37	1233.75	2351.53	928.3	1487.87	620.67	1757.34	1088.92	3716.2
SRM	9088.59	4575.41	2573.36	5711.87	4575.41	3039.3	1923.14	3491.39	3564.78	1651.0	1417.35	1111.82	4152.18	674.59	961.07	543.96	974.5	460.44	5633.22
SRP19	3168.41	1819.35	1225.22	1857.6	1304.15	1757.34	1183.45	1519.15	1477.58	1268.46	961.07	1233.75	2148.82	921.88	921.88	802.41	830.75	651.58	1896.65
STRAP	3928.15	2796.65	1896.65	2720.15	2271.4	2240.11	1806.78	2104.58	2451.44	1697.45	1378.57	1037.29	2367.9	1015.93	1199.98	708.18	1304.15	1806.78	3372.43
SUPV3L1	1639.59	1832.01	555.41	961.07	599.49	743.43	457.25	473.41	591.22	480.04	381.68	417.77	808.0	205.5	314.17	518.15	463.65	177.53	1250.98
SURF2	1769.57	1199.98	748.61	1407.55	981.29	796.86	591.22	813.63	848.22	607.87	703.28	743.43	1233.75	332.14	202.66	346.29	229.72	98.73	2434.5
SURF6	896.64	2209.26	595.34	629.35	521.76	571.05	417.77	647.07	547.75	447.82	808.0	529.06	872.1	356.05	348.71	241.19	189.02	165.57	1583.71
TAF9	2777.33	2148.82	1477.58	1757.34	1397.83	1583.71	1407.55	1286.18	1806.78	1407.55	1073.91	1096.5	2004.85	1183.45	954.43	1127.35	995.0	934.76	2915.45
TBL3	1388.16	1883.54	954.43	1225.22	1369.04	896.64	941.27	1073.91	1051.79	1242.34	872.1	896.64	1477.58	201.25	301.33	543.96	348.71	180.02	2835.7
