	TCGA.AR.A2LR.01A.12R.A18M.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E9.A1NC.01A.21R.A26B.07	TCGA.A1.A0SP.01A.11R.A084.07	TCGA.C5.A3HF.01A.11R.A213.07	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.B0.5109.01A.02R.1420.07	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.CC.5258.01A.01R.A131.07	TCGA.EP.A2KA.01A.11R.A180.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.69.8255.01A.11R.2287.07	TCGA.56.6546.01A.11R.1820.07	TCGA.37.4132.01A.01R.1100.07	TCGA.39.5039.01A.01R.1443.07	TCGA.37.4132.01A.01R.1100.07.1	TCGA.B5.A3F9.01A.21R.A22K.07
RPS13	49322.93	32540.65	32540.65	28328.16	33922.56	33922.56	32092.64	36357.37	46986.85	96616.71	21320.18	21617.82	35363.15	30572.63	18178.19	32767.0	19482.97	8718.32	7966.99	23492.92	18950.18	14262.1	21468.49	17681.08	11035.54	20170.07	23169.48	16611.71	12943.04	23820.89	17437.64	12943.04	14163.58	16157.44	11992.79	13681.08	15180.22	14765.09	14663.09	17681.08	11909.94	11345.82	12943.04	15607.02	16611.71	36610.26	38430.46	39510.91	39237.98	39510.91	49322.93
RPS23	72213.45	74243.68	74243.68	65082.31	70727.3	76861.91	67846.12	80683.28	155870.75	186652.11	57051.4	38697.77	114103.8	92680.9	30151.71	82378.63	46662.28	18304.63	15392.14	35118.87	45701.96	35856.82	32994.92	26248.46	20737.16	45072.75	45072.75	29943.43	26986.43	50011.46	38430.46	25887.07	22692.63	32994.92	29531.18	22225.61	35609.13	26248.46	25005.23	34876.28	21026.65	25708.25	18560.17	35363.15	30999.42	90773.53	71714.63	68318.04	76330.98	68318.04	118127.7
SEC61G	8718.32	4769.75	4769.75	14971.21	5329.3	4972.34	4639.29	10659.59	7230.1	14065.74	2468.49	10154.69	7537.18	6745.86	3639.7	5995.9	3742.05	1909.85	2287.2	8479.89	2555.58	3540.14	4481.23	4328.55	1721.16	4671.57	2739.08	2573.36	2555.58	4328.55	1651.0	2739.08	2591.27	2319.15	3212.66	2133.97	2591.27	3349.13	3349.13	3614.55	2351.53	3168.41	3395.89	2351.53	2895.31	11112.3	5711.87	8901.53	8479.89	8901.53	10512.82
SND1	3349.13	2777.33	2777.33	4181.07	2956.17	2502.97	2720.15	2018.8	3847.29	9279.58	1857.6	3928.15	4704.07	3847.29	1857.6	2520.38	1709.26	1662.49	1407.55	3491.39	1295.13	1963.57	1950.0	1909.85	1304.15	2400.97	1605.83	1519.15	1721.16	1769.57	915.51	1709.26	1233.75	1477.58	2047.0	1447.15	1477.58	1733.13	1651.0	1757.34	1340.84	2255.7	1733.13	1617.0	1191.69	3768.09	3325.99	1896.65	3742.05	1896.65	4869.99
SNRPA1	1950.0	708.18	708.18	2351.53	1819.35	1896.65	1427.22	2004.85	1467.37	2240.11	961.07	1350.18	2434.5	1639.59	612.11	1457.23	718.08	567.1	1088.92	1088.92	507.46	454.09	470.14	563.18	796.86	521.76	463.65	698.41	559.28	718.08	483.38	629.35	753.83	579.04	536.45	684.02	532.74	567.1	693.58	785.88	693.58	595.34	571.05	703.28	693.58	4607.24	2645.74	3280.18	2303.12	3280.18	1457.23
SNRPC	5711.87	3018.3	3018.3	6792.79	4769.75	5147.73	3639.7	4671.57	2976.74	7081.29	2976.74	2875.3	4010.71	3928.15	1806.78	4358.66	2451.44	1369.04	1044.52	2384.37	2209.26	2520.38	2664.15	2209.26	1388.16	2367.9	2032.85	1733.13	2335.28	2119.22	1819.35	1617.0	1572.76	2434.5	2451.44	1457.23	2485.67	1781.89	1883.54	2090.03	1487.87	1529.73	1127.35	1617.0	1519.15	5517.27	5831.91	7749.1	2451.44	7749.1	4268.94
SNRPD1	2468.49	2502.97	2502.97	3540.14	4066.71	2645.74	2485.67	3280.18	2875.3	6792.79	1963.57	2032.85	2777.33	1991.0	327.56	2104.58	679.29	348.71	450.94	1111.82	525.39	713.11	656.11	629.35	336.79	967.76	693.58	583.07	629.35	723.08	500.46	669.92	521.76	603.67	567.1	525.39	532.74	624.99	764.36	902.89	713.11	387.02	579.04	536.45	642.59	4769.75	3820.7	5555.65	1529.73	5555.65	3280.18
SRPRB	1498.22	1844.76	1844.76	1733.13	1498.22	2018.8	1487.87	1397.83	1540.37	2133.97	1477.58	3491.39	4210.15	988.12	928.3	1605.83	1001.93	651.58	759.08	2976.74	842.36	1322.37	1159.07	1208.34	575.03	1208.34	1001.93	723.08	1233.75	1199.98	612.11	819.3	802.41	974.5	1295.13	647.07	878.17	1183.45	1037.29	884.29	665.29	902.89	743.43	733.19	679.29	2520.38	1467.37	3901.01	2400.97	3901.01	1733.13
SSR3	3768.09	3639.7	3639.7	6381.92	3515.68	3820.7	3928.15	4769.75	4010.71	7433.4	4181.07	9344.14	11189.6	2148.82	1639.59	3349.13	1896.65	1407.55	1781.89	5403.7	1259.69	2047.0	2224.63	2287.2	1167.14	2303.12	1745.2	1208.34	1674.06	1977.24	1073.91	1617.0	1551.09	1208.34	2032.85	1397.83	1378.57	1844.76	1617.0	1923.14	1477.58	1457.23	1697.45	1477.58	1199.98	16727.26	4123.49	5791.62	7180.15	5791.62	6121.9
SSRP1	5219.6	2090.03	2090.03	2104.58	5954.47	2758.13	2104.58	3515.68	2119.22	4450.27	1651.0	2104.58	2555.58	2163.77	642.59	1662.49	738.29	583.07	373.81	1119.56	866.07	988.12	995.0	612.11	559.28	836.53	759.08	679.29	896.64	848.22	708.18	607.87	579.04	854.13	967.76	571.05	860.08	620.67	567.1	698.41	638.15	780.44	555.41	703.28	571.05	3982.99	5183.54	1745.2	2090.03	1745.2	2451.44
TAF4B	65.72	68.07	68.07	62.12	181.28	80.01	39.5	176.29	60.82	53.95	16.75	9.13	54.72	1.3	1.89	8.65	4.1	1.55	6.01	11.91	6.16	5.63	4.1	0.88	8.13	0.73	0.16	3.29	5.63	20.56	0.0	8.38	12.0	6.11	3.5	7.88	2.81	7.17	3.63	11.13	5.19	0.39	1.23	3.69	0.84	53.19	119.26	85.82	34.02	85.82	48.18
TMEM17	78.34	60.82	60.82	123.5	86.43	62.12	61.25	190.34	108.14	38.95	28.45	63.45	108.9	50.63	26.28	46.5	17.13	18.03	18.56	70.51	34.75	32.36	19.11	38.12	19.82	38.12	34.26	85.82	30.12	37.85	20.26	20.26	49.56	39.79	40.07	39.79	49.91	26.1	21.47	30.12	19.68	17.0	57.08	53.19	36.79	44.89	38.4	93.35	82.29	93.35	108.14
TRNP1	277.2	96.68	96.68	228.13	708.18	890.44	928.3	237.86	669.92	1477.58	228.13	1135.2	2224.63	486.75	75.11	1561.89	65.26	49.56	133.36	64.8	23.76	206.94	30.12	65.26	44.25	14.24	35.0	96.68	153.34	66.18	29.91	53.19	17.25	26.47	115.16	42.11	88.88	16.15	56.68	39.79	69.52	62.12	35.76	17.25	10.31	2004.85	136.19	476.71	420.68	476.71	540.19
VDAC2	3257.52	3303.0	3303.0	5403.7	3716.2	3665.02	3716.2	6207.38	5147.73	5594.3	2502.97	2976.74	4095.0	2520.38	1977.24	3349.13	1883.54	1167.14	1467.37	3146.52	1572.76	2163.77	2255.7	1769.57	1081.39	1709.26	2032.85	1407.55	2163.77	2255.7	1561.89	1594.73	1242.34	1467.37	1991.0	1304.15	1963.57	1467.37	1781.89	1923.14	1508.65	1359.57	1617.0	1286.18	1583.71	3303.0	4736.79	4972.34	5255.91	4972.34	3742.05
WDR12	1051.79	591.22	591.22	1037.29	1733.13	890.44	684.02	988.12	775.05	2004.85	780.44	769.69	1745.2	780.44	329.84	624.99	392.44	389.72	583.07	785.88	329.84	323.03	273.37	470.14	371.22	346.29	575.03	665.29	273.37	205.5	397.93	384.34	656.11	406.31	299.25	457.25	356.05	346.29	559.28	361.04	571.05	175.07	414.87	684.02	376.41	2075.59	1896.65	1909.85	967.76	1909.85	1417.35
