	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.YL.A8HJ.01A.11R.A36G.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.ZG.A9L2.01A.31R.A41O.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07
MOXD1	497.0	71.5	260.38	77.79	31.22	141.02	305.55	444.72	642.59	244.57	603.67	674.59	316.37	190.34	450.94	94.67	127.0	128.79	825.0	264.03	204.07	127.0	136.19	738.29	1.2	1639.59	127.0	450.94	15.56	170.25	567.1	420.68	884.29	52.08	87.03	2303.12	1151.06	126.12	87.65	72.01	120.94	381.68	87.03	285.03	29.7	121.79	314.17
MRC2	825.0	205.5	389.72	214.27	71.5	432.53	660.68	669.92	551.56	591.22	860.08	708.18	587.13	283.05	796.86	191.67	242.88	301.33	1295.13	346.29	279.14	303.44	229.72	403.5	40.07	1151.06	332.14	1081.39	102.97	417.77	571.05	612.11	684.02	78.89	187.71	1127.35	988.12	246.28	309.83	212.78	190.34	450.94	256.78	518.15	112.77	444.72	490.14
MS4A4A	204.07	103.69	108.14	24.99	11.91	47.84	107.38	67.12	130.6	121.79	220.32	177.53	74.06	49.56	236.21	37.85	76.17	34.26	341.51	90.77	52.82	57.89	39.79	90.77	34.26	325.29	123.5	312.0	58.71	149.12	76.17	161.02	397.93	72.01	34.51	166.73	152.28	158.79	63.0	20.11	31.0	82.29	68.07	236.21	27.05	49.91	178.77
NID1	616.37	88.26	406.31	76.71	29.91	318.57	241.19	305.55	409.15	295.11	334.46	285.03	525.39	97.36	497.0	59.13	131.51	156.59	674.59	191.67	131.51	156.59	199.85	438.59	51.35	624.99	98.73	723.08	40.93	309.83	275.28	376.41	518.15	54.72	53.19	603.67	536.45	101.54	84.04	209.84	64.34	273.37	153.34	232.94	34.26	106.63	279.14
NINJ2	67.12	52.82	107.38	21.94	8.58	87.03	94.67	57.08	130.6	95.34	105.89	155.5	72.01	50.63	87.03	34.75	50.63	52.82	221.86	43.32	56.28	57.89	30.12	54.33	5.06	144.01	38.95	93.35	14.56	61.68	92.05	85.22	75.11	6.89	38.67	153.34	103.69	39.79	42.11	34.51	24.63	65.26	37.32	57.89	24.63	19.11	90.77
NOX4	32.13	13.03	33.54	14.78	4.24	9.63	37.59	23.42	76.71	22.59	80.57	108.9	64.8	5.36	69.52	15.56	46.84	12.18	68.55	24.63	18.84	14.35	11.82	11.3	9.2	172.65	27.44	23.93	12.09	68.55	37.59	18.84	54.33	6.31	6.46	318.57	69.03	14.24	24.81	4.5	7.0	31.0	11.21	43.94	8.58	11.82	15.45
PDGFRB	1066.48	327.56	780.44	164.42	104.42	305.55	638.15	665.29	884.29	866.07	1088.92	961.07	796.86	361.04	1331.57	297.17	332.14	341.51	1721.16	376.41	309.83	633.73	397.93	624.99	191.67	1617.0	303.44	1191.69	127.89	981.29	1059.11	665.29	1508.65	161.02	164.42	1794.29	1359.57	454.09	320.8	264.03	236.21	629.35	423.61	708.18	96.01	248.0	417.77
PIEZO2	93.35	11.3	66.18	15.68	3.38	38.95	47.17	64.34	69.52	49.91	35.76	60.82	85.82	15.22	99.43	16.39	17.38	26.86	101.54	26.1	15.11	24.99	31.67	54.33	4.03	145.02	14.67	105.15	3.17	67.59	92.7	50.98	107.38	9.27	6.94	104.42	144.01	23.42	19.82	25.72	5.28	31.0	21.47	46.84	3.56	20.41	22.92
PLEKHG1	61.68	7.94	37.32	12.45	7.11	17.13	21.78	25.17	35.0	37.32	68.55	29.48	28.86	16.39	69.52	9.06	29.06	10.08	44.57	43.63	12.18	24.63	14.67	36.27	8.58	61.25	8.99	78.34	11.04	33.3	67.59	40.93	72.52	6.01	8.58	49.56	66.65	27.05	7.28	8.92	8.32	20.26	21.78	31.45	3.92	28.04	11.91
PLXDC1	264.03	65.72	180.02	52.08	22.92	49.56	177.53	129.69	287.01	140.04	409.15	314.17	138.1	22.59	334.46	88.26	137.14	92.7	356.05	90.14	55.1	169.07	78.89	68.07	49.91	289.02	70.01	234.57	39.79	291.04	329.84	140.04	460.44	74.58	36.79	277.2	211.31	148.09	89.51	54.72	17.9	157.68	151.22	173.85	57.08	80.57	115.16
PRELP	1119.56	154.42	928.3	137.14	36.53	738.29	599.49	836.53	1081.39	848.22	860.08	1001.93	988.12	128.79	1030.12	150.17	137.14	500.46	1870.53	248.0	237.86	384.34	325.29	947.83	22.1	1709.26	476.71	1639.59	42.71	698.41	703.28	802.41	1295.13	72.01	102.25	1857.6	1857.6	249.73	190.34	397.93	226.54	802.41	209.84	325.29	71.5	177.53	525.39
PREX2	60.82	10.24	18.56	8.78	8.32	15.0	17.64	28.65	28.86	17.38	43.63	31.45	15.45	13.03	39.79	13.93	28.65	10.79	31.45	21.47	13.72	10.96	17.51	38.95	4.1	72.01	12.55	99.43	6.11	20.41	39.5	28.65	42.11	10.55	10.63	61.68	75.64	17.77	10.39	10.31	8.19	23.42	12.09	41.22	12.74	14.24	16.03
RASGRF2	91.41	11.55	46.5	11.47	12.0	26.1	42.71	62.56	57.89	45.85	76.71	51.35	44.57	31.45	59.55	15.34	39.79	30.12	41.52	35.5	29.27	20.56	29.27	86.43	14.14	98.04	16.51	129.69	16.39	54.72	69.52	57.89	55.1	13.32	12.45	59.97	106.63	28.45	34.02	21.16	37.59	47.17	26.47	53.95	7.17	39.5	40.36
RFTN1	314.17	90.14	173.85	85.22	34.02	102.97	120.94	197.09	293.07	212.78	518.15	271.48	301.33	144.01	400.71	61.25	115.16	158.79	392.44	123.5	139.07	127.89	98.04	220.32	83.45	518.15	84.04	387.02	51.71	281.09	287.01	256.78	265.87	53.19	44.89	954.43	346.29	107.38	76.17	105.15	45.53	120.1	111.99	209.84	38.12	285.03	299.25
SAMSN1	106.63	19.53	33.06	21.47	11.38	14.24	57.49	44.25	53.95	38.95	135.24	47.17	28.86	37.05	101.54	23.08	48.87	17.51	111.99	60.39	18.03	62.56	38.95	118.43	7.22	111.99	22.75	92.7	23.42	49.91	277.2	112.77	81.71	13.83	22.59	137.14	69.52	23.76	17.38	20.11	15.22	28.65	24.99	81.14	7.63	24.63	30.12
SFRP2	1167.14	46.84	529.06	110.43	19.68	260.38	540.19	921.88	1457.23	679.29	1674.06	764.36	866.07	98.73	1407.55	121.79	149.12	189.02	1159.07	334.46	198.47	190.34	120.94	684.02	1.6	3515.68	346.29	1216.75	66.18	351.14	595.34	780.44	612.11	126.12	88.88	1757.34	1963.57	660.68	161.02	121.79	205.5	791.35	223.41	214.27	16.51	108.14	571.05
SLC29A1	403.5	239.52	423.61	172.65	112.77	202.66	267.73	371.22	571.05	323.03	769.69	511.0	429.54	178.77	547.75	303.44	218.79	341.51	902.89	265.87	202.66	392.44	194.36	343.89	242.88	872.1	215.77	624.99	149.12	447.82	486.75	351.14	420.68	127.89	293.07	1175.27	591.22	277.2	198.47	242.88	248.0	384.34	195.72	563.18	194.36	299.25	314.17
SLC43A3	223.41	96.01	143.01	75.11	36.27	126.12	154.42	161.02	148.09	153.34	307.69	226.54	157.68	80.57	275.28	63.45	97.36	92.05	323.03	120.1	80.57	140.04	83.45	202.66	67.12	406.31	85.82	346.29	41.52	251.48	279.14	166.73	269.6	48.52	60.39	327.56	277.2	97.36	84.63	70.01	35.0	120.94	88.26	271.48	40.36	105.89	127.89
SPSB1	260.38	79.45	187.71	175.07	50.27	400.71	239.52	187.71	255.0	201.25	379.04	423.61	256.78	52.08	397.93	124.37	140.04	125.24	503.95	130.6	81.14	193.01	87.65	145.02	40.64	638.15	177.53	295.11	44.57	231.32	325.29	244.57	348.71	58.3	66.18	497.0	470.14	121.79	92.05	53.95	100.83	297.17	159.9	163.28	71.5	84.63	121.79
SRGN	1844.76	579.04	854.13	493.56	162.14	713.11	1183.45	890.44	769.69	688.78	2468.49	616.37	836.53	460.44	1709.26	363.56	1583.71	559.28	1709.26	1081.39	529.06	1111.82	733.19	1628.26	215.77	1697.45	406.31	1467.37	389.72	759.08	1870.53	2004.85	2384.37	262.2	356.05	2148.82	1268.46	412.0	348.71	389.72	258.57	759.08	441.64	1030.12	114.36	559.28	961.07
SSC5D	167.9	23.08	157.68	15.11	10.55	61.68	185.11	205.5	147.06	178.77	368.65	211.31	108.9	39.79	281.09	26.28	48.87	34.02	281.09	76.17	34.51	62.12	28.65	129.69	3.99	400.71	118.43	332.14	9.93	72.52	98.04	212.78	361.04	37.59	7.22	497.0	221.86	89.51	28.24	43.94	59.55	176.29	47.84	55.49	8.71	69.03	98.04
STX2	102.25	41.22	67.59	38.4	47.5	58.71	86.43	90.77	117.6	101.54	154.42	90.14	94.01	63.0	109.66	28.86	51.35	57.08	137.14	74.58	78.89	68.55	68.55	119.26	31.22	181.28	34.75	182.55	28.86	97.36	69.52	137.14	115.97	52.08	41.22	166.73	152.28	43.02	46.18	38.12	36.27	79.45	70.51	121.79	33.78	68.07	78.34
SULF1	1561.89	86.43	559.28	214.27	53.19	343.89	273.37	915.51	1313.23	511.0	1427.22	825.0	981.29	305.55	769.69	199.85	297.17	312.0	1437.15	432.53	412.0	178.77	255.0	884.29	85.22	3235.01	271.48	1030.12	57.08	447.82	490.14	775.05	813.63	102.25	120.1	3614.55	2119.22	176.29	170.25	264.03	162.14	612.11	217.27	384.34	56.28	183.82	775.05
SYDE1	220.32	56.28	137.14	53.57	18.84	119.26	169.07	208.38	177.53	191.67	251.48	215.77	176.29	65.26	291.04	52.45	45.53	103.69	297.17	75.64	74.58	97.36	67.59	120.94	25.35	403.5	105.15	327.56	21.47	145.02	183.82	159.9	242.88	22.43	35.25	381.68	329.84	66.18	79.45	77.25	43.32	137.14	65.72	147.06	35.5	56.68	161.02
SYNPO	684.02	111.21	384.34	193.01	74.06	185.11	376.41	616.37	480.04	400.71	1023.0	616.37	532.74	212.78	728.11	193.01	224.97	316.37	1037.29	403.5	239.52	356.05	242.88	651.58	104.42	1909.85	273.37	1304.15	64.8	426.57	559.28	460.44	738.29	90.14	86.43	1191.69	1044.52	269.6	177.53	151.22	167.9	368.65	183.82	497.0	83.45	277.2	325.29
SYT11	194.36	28.04	96.01	19.25	14.35	56.68	65.72	171.45	158.79	96.01	197.09	148.09	175.07	57.49	220.32	25.72	45.85	59.13	241.19	74.58	53.57	63.0	63.45	214.27	10.96	323.03	62.12	329.84	13.93	105.89	123.5	140.04	194.36	17.25	26.28	435.55	332.14	49.91	32.82	55.49	30.34	121.79	35.0	102.97	11.47	88.88	90.14
TGFBR2	1051.79	251.48	500.46	255.0	117.6	379.04	389.72	607.87	624.99	406.31	808.0	633.73	486.75	295.11	1051.79	123.5	371.22	392.44	728.11	493.56	283.05	301.33	371.22	612.11	108.9	1467.37	305.55	1250.98	100.83	954.43	1104.13	571.05	872.1	125.24	246.28	1183.45	1104.13	348.71	217.27	249.73	126.12	483.38	228.13	764.36	88.26	363.56	325.29
THBS2	400.71	47.17	108.9	52.08	12.83	44.89	87.65	123.5	343.89	119.26	237.86	265.87	271.48	45.85	173.85	57.08	39.79	31.67	480.04	116.78	71.5	45.53	31.9	117.6	49.21	878.17	84.63	144.01	27.05	154.42	172.65	87.03	438.59	37.85	26.1	1487.87	961.07	64.34	39.22	32.36	41.81	186.4	119.26	151.22	22.59	54.72	88.26
TIMP2	4181.07	713.11	2645.74	583.07	236.21	1733.13	1950.0	2739.08	3491.39	2287.2	4298.64	2835.7	2855.44	854.13	3419.52	547.75	836.53	1378.57	4575.41	1225.22	954.43	1151.06	1199.98	2956.17	297.17	6516.03	1127.35	4450.27	226.54	1870.53	3443.31	2502.97	3847.29	493.56	713.11	6426.31	5751.61	866.07	688.78	1191.69	743.43	2367.9	878.17	1628.26	281.09	1030.12	1857.6
TMEM130	71.0	44.25	71.0	29.91	9.13	15.22	137.14	53.95	157.68	42.71	80.01	147.06	62.56	29.48	28.45	28.04	15.0	16.88	158.79	26.86	33.54	24.11	22.75	50.98	4.17	195.72	42.11	78.34	4.1	50.27	76.71	39.79	105.15	10.0	33.3	551.56	199.85	13.12	20.26	18.29	15.8	37.59	24.81	21.47	8.0	81.71	22.1
TMEM43	988.12	486.75	860.08	693.58	463.65	688.78	656.11	780.44	934.76	698.41	872.1	764.36	915.51	540.19	909.17	540.19	429.54	825.0	1183.45	571.05	587.13	642.59	607.87	934.76	323.03	1159.07	532.74	1167.14	466.88	728.11	780.44	713.11	915.51	579.04	603.67	1331.57	1286.18	525.39	387.02	620.67	525.39	872.1	583.07	836.53	470.14	728.11	665.29
TNFAIP8L3	67.59	15.22	31.45	17.9	5.45	24.28	23.93	76.71	66.18	29.91	151.22	77.79	65.72	30.56	47.5	10.39	35.25	23.93	104.42	31.9	34.26	17.77	26.1	96.01	4.7	120.94	20.41	89.51	4.94	20.26	40.07	57.49	64.34	5.19	11.38	295.11	98.04	16.51	7.4	26.47	26.67	53.19	9.93	26.28	5.19	19.82	66.65
TRIM22	775.05	118.43	583.07	172.65	82.87	325.29	255.0	387.02	555.41	356.05	361.04	493.56	293.07	651.58	713.11	285.03	131.51	178.77	764.36	228.13	186.4	728.11	248.0	403.5	26.28	941.27	120.94	884.29	68.07	332.14	299.25	860.08	642.59	62.12	153.34	723.08	1001.93	242.88	176.29	211.31	68.55	264.03	281.09	409.15	91.41	133.36	151.22
VCAN	332.14	16.75	120.1	31.0	5.77	55.1	94.01	185.11	395.18	128.79	231.32	208.38	214.27	91.41	122.64	43.02	107.38	33.54	414.87	90.14	60.82	49.91	36.79	82.29	17.51	559.28	40.07	612.11	42.41	119.26	145.02	169.07	417.77	37.32	23.59	974.5	825.0	53.57	29.06	14.56	19.11	197.09	83.45	143.01	15.56	31.9	57.89
ZNF423	115.97	19.82	93.35	25.35	9.13	61.25	77.79	96.68	79.45	92.7	89.51	113.56	76.17	57.08	131.51	18.16	32.13	46.84	170.25	38.4	43.94	50.63	38.12	100.13	10.63	218.79	56.68	180.02	10.16	76.71	92.05	90.77	127.0	8.78	23.08	139.07	189.02	31.9	21.16	31.67	30.12	85.22	29.91	76.17	6.11	27.25	53.95
