	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OG.11A.12R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.WVLH.1526.SM.4MVOC	GTEX.145LS.2026.SM.5Q5D7	GTEX.13QJ3.1726.SM.5RQK9	GTEX.14DAQ.1426.SM.5RQJD	GTEX.RNOR.1226.SM.48FDQ	GTEX.13G51.0926.SM.5IFFU	GTEX.RNOR.1326.SM.48FDE	GTEX.13OW6.1426.SM.5L3EU	GTEX.YECK.1726.SM.5IFI3	GTEX.ZYY3.1626.SM.5EGJF	TCGA.CV.7416.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13QJ3.2726.SM.5SI6L	GTEX.14BMV.2226.SM.5RQHX	GTEX.UPK5.2126.SM.4JBJK
NR2F1	87.65	138.1	105.89	86.43	518.15	167.9	463.65	403.5	412.0	358.54	305.55	460.44	674.59	476.71	444.72	414.87	7.94	0.0	0.83	144.01	181.28	60.82	97.36	8.92	27.84	1923.14	1781.89	3146.52
NR2F2	38.12	293.07	156.59	104.42	2434.5	90.14	2609.3	2609.3	830.75	1030.12	616.37	1030.12	2367.9	2303.12	1896.65	1950.0	16.15	688.78	808.0	165.57	111.21	182.55	132.44	71.5	109.66	2303.12	1208.34	2976.74
NRIP2	15.8	52.08	18.7	25.54	116.78	41.81	181.28	242.88	94.01	96.68	63.45	86.43	172.65	379.04	264.03	144.01	6.78	0.0	0.16	21.32	9.78	9.34	24.81	12.55	4.46	287.01	293.07	1322.37
OLFML1	76.17	161.02	53.19	19.11	318.57	20.71	1540.37	1295.13	223.41	363.56	178.77	336.79	497.0	587.13	674.59	373.81	5.15	0.0	0.15	209.84	60.82	35.5	76.71	44.25	18.29	1359.57	848.22	1651.0
P2RX2	37.05	248.0	8.13	13.32	148.09	24.11	1313.23	1127.35	289.02	514.56	363.56	559.28	1167.14	511.0	1437.15	555.41	0.4	0.0	0.2	4.31	5.92	3.69	9.48	2.92	2.76	1259.69	258.57	595.34
PARD3B	12.55	40.36	34.26	19.25	141.02	31.67	209.84	249.73	48.18	92.05	87.65	84.63	198.47	220.32	220.32	141.02	28.04	0.0	0.31	58.3	19.39	64.8	18.03	22.75	31.45	277.2	186.4	251.48
PCDHGB3	0.8	17.77	20.86	27.05	17.77	21.16	51.71	43.94	17.51	26.86	11.64	16.15	36.53	49.91	55.89	37.32	6.89	0.0	0.24	5.19	4.82	4.13	0.04	4.7	1.45	25.72	32.82	34.51
PDE4A	47.17	71.5	45.53	21.01	332.14	35.0	441.64	371.22	165.57	138.1	87.65	182.55	309.83	325.29	381.68	387.02	31.22	264.03	90.77	19.53	31.22	70.01	22.1	44.89	16.27	197.09	161.02	212.78
PDGFRA	35.5	429.54	267.73	432.53	759.08	346.29	2384.37	3039.3	486.75	540.19	400.71	503.95	947.83	1104.13	884.29	1331.57	38.95	195.72	228.13	58.71	90.77	242.88	38.95	90.77	63.45	2609.3	1870.53	2075.59
PEAR1	9.34	132.44	100.13	61.68	255.0	60.39	651.58	438.59	239.52	206.94	111.99	155.5	454.09	529.06	476.71	457.25	15.56	0.0	0.67	44.57	31.67	23.08	14.78	16.51	17.64	454.09	265.87	616.37
PHF17	109.66	186.4	123.5	90.77	457.25	82.87	536.45	567.1	251.48	237.86	293.07	236.21	409.15	353.59	366.09	490.14	112.77	165.57	72.01	46.5	52.08	183.82	70.01	126.12	77.25	583.07	267.73	206.94
PHF21A	248.0	441.64	543.96	555.41	551.56	529.06	514.56	769.69	450.94	371.22	432.53	620.67	656.11	674.59	587.13	780.44	151.22	0.0	0.43	334.46	199.85	403.5	305.55	237.86	299.25	842.36	836.53	698.41
PI16	81.71	409.15	35.25	15.56	1191.69	39.79	9344.14	7485.11	563.18	1151.06	406.31	392.44	3372.43	4802.93	3372.43	2609.3	9.2	0.0	0.04	1259.69	409.15	77.79	217.27	155.5	26.28	25887.07	14765.09	15180.22
PKHD1L1	3.63	17.38	32.82	10.63	136.19	28.45	371.22	389.72	132.44	45.85	47.17	39.5	157.68	143.01	248.0	191.67	1.64	0.0	0.47	18.29	10.24	116.78	12.45	40.64	32.59	194.36	112.77	33.54
PLAC9	150.17	1183.45	159.9	84.63	1268.46	215.77	8134.41	6294.04	1295.13	1059.11	878.17	1059.11	2720.15	4010.71	4038.61	2956.17	70.51	0.0	0.23	1757.34	463.65	182.55	470.14	348.71	271.48	10225.32	5479.15	12589.08
PNRC1	2090.03	1519.15	1001.93	1709.26	1819.35	1628.26	3395.89	6516.03	1662.49	1769.57	1572.76	1447.15	2434.5	4181.07	1909.85	5006.93	1583.71	0.0	0.08	872.1	1936.53	1806.78	1277.29	1529.73	2573.36	5006.93	5594.3	4736.79
PPAP2B	432.53	633.73	540.19	381.68	2032.85	417.77	3820.7	3589.58	780.44	1529.73	860.08	1417.35	1628.26	2104.58	2061.24	2485.67	131.51	0.0	0.27	450.94	267.73	669.92	373.81	397.93	361.04	2224.63	2061.24	3257.52
PPM1M	277.2	629.35	466.88	532.74	587.13	616.37	1378.57	1030.12	796.86	656.11	688.78	497.0	830.75	775.05	954.43	961.07	198.47	0.0	0.64	171.45	343.89	341.51	463.65	140.04	214.27	1529.73	995.0	1127.35
PRELP	13.62	764.36	267.73	262.2	1477.58	1081.39	2400.97	1950.0	511.0	954.43	642.59	638.15	2682.69	2997.45	2720.15	2915.45	16.88	0.0	0.53	75.64	131.51	444.72	165.57	119.26	299.25	5479.15	1508.65	6121.9
PROX1	5.96	23.93	12.18	5.11	25.91	5.73	120.94	237.86	35.0	36.79	11.38	34.75	62.56	33.3	90.77	90.14	2.16	0.0	0.3	30.56	8.0	11.64	10.63	6.11	7.22	157.68	583.07	90.14
PTPRS	80.01	397.93	426.57	309.83	723.08	547.75	2434.5	1417.35	450.94	587.13	1015.93	466.88	1350.18	2434.5	1870.53	2701.35	291.04	406.31	1709.26	205.5	226.54	241.19	181.28	112.77	116.78	2935.74	1896.65	2720.15
RAI2	5.19	186.4	79.45	74.58	607.87	140.04	1447.15	1008.9	356.05	400.71	239.52	343.89	954.43	769.69	934.76	775.05	23.25	0.0	0.48	37.59	40.36	202.66	28.86	57.08	96.68	2090.03	1044.52	1583.71
RGS7BP	1.36	8.51	3.69	2.16	19.25	6.21	26.67	24.46	6.94	21.63	4.7	11.82	16.88	23.93	23.25	17.51	0.61	0.0	0.06	0.93	0.53	3.66	0.16	5.59	0.0	105.89	28.04	122.64
RHOU	27.84	130.6	127.0	52.82	961.07	69.52	1088.92	1437.15	483.38	291.04	316.37	320.8	921.88	954.43	1167.14	947.83	94.67	0.0	0.75	24.99	92.7	151.22	44.57	153.34	163.28	603.67	563.18	808.0
RNF146	177.53	563.18	629.35	525.39	896.64	454.09	1295.13	1378.57	660.68	525.39	525.39	591.22	878.17	981.29	1037.29	1242.34	201.25	0.0	0.67	271.48	224.97	400.71	221.86	277.2	341.51	954.43	669.92	1096.5
RP11-383H13.1	7.63	25.17	82.87	13.62	44.25	58.71	223.41	353.59	37.05	68.07	25.91	58.71	122.64	183.82	171.45	113.56	5.28	0.0	0.45	18.16	14.14	8.13	1.51	15.45	1.46	299.25	212.78	376.41
SFRP2	981.29	2047.0	1225.22	441.64	2148.82	884.29	32767.0	13968.57	6426.31	9279.58	7081.29	19214.73	2701.35	22072.07	8191.0	4010.71	67.59	0.0	0.0	2303.12	1259.69	647.07	1233.75	329.84	450.94	13872.08	15392.14	46019.85
SGCE	0.43	190.34	348.71	78.89	493.56	63.45	1832.01	1819.35	301.33	447.82	176.29	414.87	1059.11	1127.35	1143.1	915.51	20.86	0.0	0.62	9.85	57.89	87.65	32.36	36.01	5.63	2303.12	1417.35	1977.24
SHROOM4	8.78	77.79	60.39	64.8	94.67	64.8	217.27	111.99	104.42	92.7	85.82	90.77	178.77	107.38	94.01	185.11	30.12	0.0	0.45	167.9	67.12	67.59	156.59	48.87	72.52	208.38	98.73	135.24
SLC12A7	31.67	318.57	190.34	120.1	567.1	142.01	884.29	872.1	460.44	366.09	363.56	480.04	629.35	748.61	825.0	1135.2	98.73	0.0	0.99	34.75	212.78	193.01	37.59	72.01	25.72	384.34	438.59	403.5
SLC17A7	1.39	32.13	32.82	8.51	70.01	15.56	264.03	204.07	42.71	56.28	42.11	47.84	125.24	96.68	172.65	117.6	1.11	0.0	0.36	42.11	27.05	3.86	6.41	12.36	22.92	318.57	183.82	232.94
SLC1A7	0.0	38.67	12.18	10.88	53.57	13.93	1457.23	264.03	44.57	33.3	34.75	33.06	116.78	341.51	543.96	194.36	0.69	0.0	0.46	5.96	2.76	6.21	5.15	2.14	3.53	264.03	221.86	384.34
SLC25A28	1359.57	1745.2	1991.0	1757.34	1697.45	1417.35	2075.59	1757.34	1540.37	1340.84	1794.29	1487.87	2104.58	2664.15	2104.58	2682.69	1073.91	0.0	0.56	909.17	967.76	769.69	866.07	607.87	1250.98	1745.2	1437.15	1936.53
SLC43A1	2.43	63.0	36.79	25.35	642.59	65.26	830.75	518.15	246.28	148.09	152.28	191.67	785.88	236.21	587.13	575.03	17.64	0.0	0.57	10.24	37.59	38.4	8.0	23.59	10.55	291.04	309.83	329.84
SLCO2B1	23.59	878.17	379.04	647.07	480.04	693.58	642.59	1015.93	753.83	423.61	307.69	183.82	444.72	327.56	336.79	1977.24	96.68	0.0	0.55	301.33	171.45	320.8	142.01	299.25	332.14	688.78	733.19	1259.69
SLIT3	12.09	521.76	79.45	28.24	764.36	87.03	1870.53	2468.49	450.94	872.1	343.89	764.36	1015.93	1447.15	1242.34	1340.84	96.01	0.0	0.53	248.0	76.17	93.35	26.28	33.3	15.45	2367.9	1167.14	4450.27
SMG6	688.78	738.29	567.1	738.29	733.19	633.73	1819.35	1369.04	872.1	819.3	902.89	759.08	1208.34	909.17	1561.89	1369.04	555.41	0.0	0.58	679.29	334.46	638.15	633.73	571.05	543.96	1135.2	1081.39	1183.45
SMOC2	10.71	429.54	181.28	152.28	638.15	283.05	3467.27	1909.85	299.25	684.02	444.72	665.29	1832.01	2061.24	1950.0	1487.87	24.46	0.0	0.47	5.82	43.94	341.51	36.53	19.39	6.67	4328.55	3280.18	4066.71
SNED1	11.47	97.36	75.11	55.89	277.2	82.87	559.28	470.14	429.54	267.73	244.57	314.17	253.23	713.11	327.56	791.35	9.63	0.0	0.72	28.65	182.55	77.25	28.86	24.28	35.0	483.38	305.55	1183.45
SPOCK1	18.16	59.97	209.84	18.29	94.01	23.76	540.19	638.15	77.79	77.79	52.45	74.58	199.85	301.33	223.41	387.02	12.64	0.0	0.6	15.56	57.89	59.97	9.85	67.12	57.08	693.58	229.72	432.53
STARD8	4.9	64.8	34.75	28.04	162.14	26.67	381.68	211.31	91.41	64.8	48.87	59.55	197.09	214.27	241.19	346.29	13.62	0.0	0.57	36.53	53.57	40.93	11.82	24.28	17.0	239.52	138.1	314.17
STAT5B	133.36	603.67	493.56	341.51	825.0	435.55	1051.79	1119.56	595.34	595.34	633.73	620.67	1143.1	974.5	1081.39	1111.82	229.72	358.54	94.01	231.32	293.07	285.03	167.9	178.77	108.9	1151.06	1066.48	1135.2
STXBP1	71.0	248.0	470.14	223.41	376.41	229.72	1044.52	995.0	389.72	514.56	269.6	325.29	759.08	775.05	791.35	1051.79	293.07	251.48	113.56	267.73	624.99	158.79	228.13	163.28	187.71	1111.82	854.13	1259.69
SULT1C4	7.63	40.64	15.68	6.36	59.55	13.62	110.43	253.23	64.8	55.1	50.27	55.49	178.77	94.67	75.64	126.12	2.81	0.0	0.3	9.78	9.93	5.23	6.78	2.92	3.69	412.0	186.4	255.0
SYNE1	21.78	224.97	170.25	80.57	848.22	127.89	2193.99	2163.77	438.59	703.28	429.54	423.61	2004.85	1519.15	1540.37	1769.57	51.35	0.0	0.83	381.68	232.94	191.67	84.04	71.5	66.18	3928.15	1832.01	2004.85
SYNE3	9.85	28.65	12.27	6.16	67.59	17.51	163.28	212.78	41.52	64.8	40.93	53.19	96.01	148.09	75.11	98.04	8.45	0.0	0.36	22.75	21.01	19.25	12.27	16.75	6.36	218.79	106.63	79.45
TBC1D2B	155.5	447.82	341.51	260.38	759.08	293.07	1051.79	1135.2	555.41	540.19	423.61	497.0	921.88	713.11	878.17	1268.46	145.02	0.0	0.61	183.82	241.19	201.25	180.02	111.99	108.9	1159.07	688.78	723.08
TECTA	1.45	2.29	4.17	4.7	11.13	1.17	11.21	8.92	5.68	4.66	5.96	3.82	16.51	16.27	20.41	15.11	1.03	0.0	0.18	0.64	1.2	2.92	1.58	0.62	1.06	13.52	11.82	7.34
TGFBR3	35.0	358.54	228.13	142.01	616.37	277.2	941.27	1733.13	289.02	470.14	273.37	279.14	723.08	836.53	693.58	1216.75	44.89	0.0	0.45	95.34	64.34	265.87	37.32	89.51	124.37	1674.06	579.04	1111.82
THRA	323.03	511.0	293.07	273.37	1199.98	287.01	1498.22	1662.49	514.56	909.17	435.55	1175.27	1540.37	934.76	1417.35	1259.69	190.34	193.01	167.9	224.97	173.85	348.71	540.19	177.53	283.05	2485.67	915.51	1794.29
TLDC2	27.05	204.07	63.0	75.64	141.02	72.01	384.34	429.54	87.65	95.34	42.11	84.04	265.87	698.41	312.0	587.13	22.1	0.0	0.73	43.94	17.77	16.39	10.96	10.79	10.16	947.83	480.04	246.28
TMEM108	0.0	59.55	48.18	31.9	67.59	150.17	182.55	111.21	37.32	133.36	96.01	77.25	293.07	221.86	339.14	115.97	4.28	0.0	0.58	7.17	26.1	35.76	2.53	17.25	1.45	277.2	267.73	108.14
TMEM176A	318.57	1295.13	555.41	384.34	1417.35	341.51	3395.89	6121.9	1487.87	780.44	796.86	1794.29	2090.03	2468.49	2935.74	3081.75	69.52	0.0	0.77	460.44	1378.57	507.46	220.32	194.36	269.6	16157.44	13306.94	15285.81
TMEM176B	830.75	2193.99	703.28	759.08	1819.35	624.99	5076.84	6471.02	1769.57	1233.75	1159.07	2209.26	3515.68	3325.99	4481.23	5711.87	146.03	0.0	0.78	947.83	2434.5	759.08	269.6	371.22	603.67	12415.75	12853.63	13776.25
TNXB	48.87	1350.18	228.13	151.22	3491.39	400.71	29327.18	24490.61	3124.78	3564.78	2739.08	3280.18	12415.75	11992.79	13492.72	9540.5	77.25	0.0	0.6	4543.8	708.18	249.73	334.46	291.04	327.56	36357.37	11909.94	26431.04
TPP1	802.41	1651.0	1857.6	1508.65	1870.53	1322.37	1806.78	2739.08	1199.98	1487.87	1583.71	1259.69	1685.71	1572.76	1551.09	2976.74	703.28	0.0	0.84	909.17	1199.98	1583.71	921.88	1277.29	802.41	3081.75	3018.3	3665.02
TPST1	728.11	307.69	400.71	336.79	273.37	305.55	1023.0	1313.23	332.14	497.0	229.72	353.59	381.68	536.45	567.1	460.44	70.01	0.0	0.52	119.26	217.27	158.79	193.01	124.37	187.71	961.07	728.11	2485.67
TTC28	3.35	87.03	57.08	74.06	215.77	98.73	346.29	356.05	111.99	185.11	113.56	185.11	301.33	271.48	289.02	271.48	13.42	0.0	0.43	30.12	24.28	39.79	8.65	16.03	6.31	571.05	555.41	438.59
ULK2	52.08	147.06	158.79	127.89	242.88	173.85	220.32	242.88	150.17	178.77	178.77	151.22	275.28	307.69	301.33	309.83	92.7	0.0	0.37	156.59	41.81	215.77	130.6	215.77	128.79	287.01	195.72	275.28
UNC5C	0.0	9.56	3.0	0.89	30.12	1.77	96.01	66.18	10.63	19.25	7.4	13.03	29.06	36.27	43.63	17.38	0.0	0.0	0.36	0.0	0.0	2.84	0.0	1.41	0.0	150.17	170.25	161.02
VASH2	2.32	33.54	14.45	7.17	33.06	16.88	281.09	175.07	63.89	104.42	64.34	93.35	117.6	111.99	165.57	53.95	7.88	0.0	0.28	52.08	10.39	4.39	12.09	5.11	2.48	96.68	167.9	105.89
VEGFB	1208.34	1844.76	1883.54	1233.75	2384.37	1733.13	6840.04	4181.07	2855.44	2090.03	2047.0	2119.22	6337.83	5751.61	6337.83	5292.48	961.07	0.0	0.59	1268.46	1023.0	1350.18	2133.97	1529.73	1697.45	7081.29	6652.97	6983.79
YPEL1	9.56	17.77	13.03	3.29	84.04	7.28	85.22	84.63	22.75	30.56	41.81	27.05	113.56	59.55	100.83	90.14	3.06	0.0	0.24	2.07	3.32	9.85	3.0	19.97	1.75	45.21	60.39	30.34
ZNF221	11.64	7.4	6.94	8.85	24.28	10.63	46.5	27.64	15.68	28.24	20.26	16.88	43.94	25.54	24.11	39.5	6.11	0.0	0.1	1.07	5.68	13.32	12.64	5.96	5.96	53.57	29.48	7.88
ZNF32	202.66	480.04	532.74	353.59	785.88	595.34	1369.04	1135.2	665.29	532.74	860.08	595.34	1340.84	1216.75	1378.57	1397.83	318.57	0.0	0.56	187.71	384.34	551.56	620.67	647.07	444.72	1832.01	1369.04	1540.37
ZNF521	0.84	98.73	72.52	33.06	151.22	53.95	406.31	426.57	166.73	110.43	108.14	176.29	229.72	122.64	211.31	209.84	5.96	0.0	0.31	96.68	19.82	24.99	14.56	8.38	38.67	426.57	323.03	860.08
ZNF71	3.0	40.93	36.53	34.75	81.14	70.51	119.26	105.89	60.82	64.34	59.97	66.18	202.66	137.14	195.72	105.15	50.63	0.0	0.39	15.56	30.78	38.95	104.42	63.45	37.59	264.03	110.43	217.27
ZNF850	2.34	7.88	6.52	5.36	17.64	6.16	26.47	41.52	9.7	11.73	29.06	8.32	19.97	16.88	22.1	18.03	3.99	0.0	0.39	3.89	3.23	3.79	1.99	2.48	1.28	31.9	30.12	23.25
ZSCAN2	18.97	51.35	31.9	30.12	197.09	41.22	152.28	136.19	82.87	100.13	81.71	71.0	220.32	137.14	172.65	147.06	19.82	0.0	0.37	13.12	18.03	55.89	49.21	67.12	14.67	102.25	106.63	98.04
