	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A6.6140.01A.11R.1774.07	TCGA.F4.6854.01A.11R.1928.07	TCGA.D5.6532.01A.11R.1723.07	TCGA.G4.6625.01A.21R.1774.07	TCGA.NH.A8F7.01A.11R.A41B.07	TCGA.CM.6165.01A.11R.1653.07	TCGA.AZ.6603.01A.11R.1839.07	TCGA.A6.6137.01A.11R.1774.07	TCGA.G4.6311.01A.11R.1723.07	TCGA.AA.3506.01A.01R.1410.07	TCGA.AY.A8YK.01A.11R.A41B.07	TCGA.AZ.6605.01A.11R.1839.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11XUK.0826.SM.5GU6P	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EI.6513.01A.21R.1736.07	TCGA.EI.7002.01A.11R.1928.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
RP11-111M22.2	8.99	70.51	53.19	50.27	58.3	198.47	65.72	90.77	46.5	25.17	38.12	88.88	46.18	15.0	64.34	14.24	4.74	9.06	13.52	5.73	17.0	7.46	0.14	81.71	86.43	0.58	0.92	2.71	5.87	0.64	2.23	0.41
SCMH1	137.14	728.11	1066.48	642.59	753.83	988.12	1015.93	764.36	860.08	638.15	693.58	620.67	612.11	325.29	1143.1	363.56	159.9	339.14	392.44	206.94	525.39	115.97	0.83	785.88	698.41	163.28	120.1	162.14	316.37	242.88	239.52	106.63
SEL1L3	423.61	1233.75	2739.08	2609.3	1135.2	4481.23	2075.59	1104.13	1733.13	941.27	1628.26	1175.27	836.53	134.3	325.29	80.57	40.07	84.04	102.25	72.01	457.25	50.27	497.0	273.37	157.68	170.25	14.56	59.55	218.79	133.36	151.22	55.1
SLC12A2	21.78	1721.16	1216.75	3039.3	1437.15	3589.58	2816.11	1467.37	1781.89	1008.9	1225.22	1008.9	813.63	111.21	177.53	58.3	28.65	49.21	75.11	35.0	171.45	35.25	447.82	1991.0	1427.22	126.12	42.41	90.14	140.04	64.34	161.02	65.26
SLC12A7	31.67	1008.9	1225.22	988.12	1417.35	1674.06	825.0	1617.0	988.12	733.19	743.43	1639.59	532.74	318.57	595.34	190.34	120.1	285.03	180.02	142.01	387.02	40.64	0.99	796.86	1259.69	31.22	34.75	212.78	193.01	37.59	72.01	25.72
SLC13A3	17.25	2645.74	191.67	1023.0	65.72	967.76	59.97	260.38	262.2	36.01	40.93	543.96	102.25	7.88	11.73	12.64	6.16	4.74	11.13	10.08	50.27	15.8	0.4	325.29	323.03	6.36	6.21	4.21	7.46	12.0	12.74	2.36
SLC22A11	3.53	81.14	45.53	66.18	15.56	198.47	33.06	60.39	72.01	7.22	134.3	215.77	3.59	5.02	0.75	1.11	0.0	0.0	2.56	0.0	0.96	0.0	0.11	59.97	88.26	1.95	0.0	0.0	0.61	0.0	0.0	0.0
SLC2A8	215.77	2119.22	1540.37	1498.22	1519.15	1697.45	896.64	974.5	961.07	1605.83	2758.13	2701.35	486.75	463.65	571.05	295.11	316.37	381.68	571.05	329.84	397.93	223.41	0.71	1350.18	1233.75	267.73	212.78	269.6	195.72	379.04	181.28	136.19
SLC40A1	39.22	2434.5	1051.79	860.08	1081.39	2485.67	1427.22	1001.93	3280.18	647.07	2720.15	1225.22	412.0	323.03	688.78	232.94	218.79	332.14	158.79	172.65	543.96	674.59	0.35	244.57	1088.92	1111.82	110.43	253.23	341.51	110.43	171.45	81.14
SLC5A6	80.01	2400.97	2537.92	2319.15	1685.71	3982.99	1870.53	1977.24	1594.73	1508.65	2090.03	2485.67	1225.22	915.51	759.08	753.83	480.04	1096.5	915.51	540.19	595.34	156.59	0.57	2193.99	2367.9	202.66	246.28	368.65	351.14	223.41	314.17	178.77
SNTB1	18.7	511.0	802.41	536.45	368.65	796.86	406.31	500.46	511.0	339.14	460.44	616.37	476.71	88.88	45.53	49.91	75.11	69.03	43.32	139.07	151.22	92.7	135.24	521.76	540.19	63.0	111.21	24.28	320.8	74.06	76.17	37.85
SOWAHD	12.45	36.01	37.59	14.14	38.4	32.36	20.41	29.91	73.03	14.03	69.03	37.05	18.16	3.86	7.51	1.2	2.53	5.19	1.85	5.23	13.12	6.84	0.04	24.99	23.76	8.13	0.0	2.23	2.81	2.39	4.98	0.0
SPACA3	0.0	28.04	54.33	37.85	26.86	61.68	9.93	38.12	12.27	19.11	6.06	94.01	31.0	0.42	0.52	0.0	1.36	0.0	1.81	0.0	0.0	0.0	0.0	32.82	52.45	0.0	0.89	0.0	0.0	3.29	0.0	0.0
SPATA25	1.64	195.72	121.79	112.77	176.29	251.48	48.52	143.01	101.54	55.49	76.17	209.84	116.78	33.78	35.76	16.51	15.8	25.35	48.52	24.63	32.13	4.58	0.53	130.6	175.07	2.41	1.85	10.96	25.91	2.84	9.27	9.41
SPIN2B	79.45	387.02	497.0	890.44	368.65	769.69	303.44	507.46	454.09	366.09	267.73	397.93	303.44	138.1	155.5	156.59	144.01	144.01	177.53	176.29	111.21	102.25	0.41	295.11	376.41	119.26	57.49	83.45	71.0	53.95	79.45	48.87
SPOP	571.05	547.75	1199.98	1896.65	796.86	1561.89	1457.23	1037.29	1896.65	928.3	1183.45	1051.79	928.3	738.29	743.43	759.08	733.19	540.19	309.83	444.72	753.83	656.11	264.03	785.88	1388.16	620.67	503.95	325.29	633.73	420.68	473.41	387.02
SRCIN1	50.27	217.27	323.03	181.28	118.43	409.15	273.37	218.79	123.5	228.13	126.12	299.25	101.54	139.07	143.01	50.98	65.26	63.0	64.8	51.71	56.68	8.99	0.31	368.65	547.75	1.3	4.1	18.56	20.86	9.78	20.41	3.82
ST7-OT4	3.79	14.89	22.43	18.03	8.71	24.11	15.34	29.7	5.45	11.55	9.63	29.7	3.96	5.68	10.96	4.58	1.75	12.0	4.17	1.71	8.0	0.58	0.25	15.45	42.41	0.0	0.69	4.24	0.84	0.0	2.32	1.41
STX3	384.34	753.83	1081.39	1225.22	603.67	848.22	642.59	674.59	698.41	521.76	656.11	967.76	518.15	403.5	599.49	325.29	400.71	414.87	353.59	403.5	591.22	429.54	72.52	1313.23	909.17	341.51	265.87	217.27	395.18	316.37	371.22	241.19
SYN3	1.39	112.77	111.99	95.34	21.94	239.52	80.57	133.36	43.63	35.25	15.45	262.2	167.9	11.73	4.86	5.68	0.0	29.06	8.45	0.0	11.3	1.5	0.25	77.25	211.31	2.89	5.32	0.09	1.89	0.55	2.07	0.0
TECTB	0.0	0.55	0.91	1.69	0.6	0.62	1.57	0.29	0.3	0.29	1.93	1.87	0.99	0.0	0.45	0.0	0.0	0.29	0.27	0.0	0.0	0.0	0.0	1.83	0.3	0.21	0.0	0.0	0.0	0.0	0.0	0.58
TGOLN2	406.31	2645.74	2255.7	2701.35	2351.53	2935.74	2609.3	2209.26	2537.92	1721.16	1733.13	1844.76	1977.24	947.83	1322.37	802.41	547.75	890.44	728.11	559.28	1127.35	343.89	884.29	1407.55	2178.83	403.5	318.57	466.88	688.78	450.94	642.59	283.05
TLE2	5.87	1073.91	1259.69	77.79	1225.22	1721.16	1268.46	1508.65	1487.87	866.07	1819.35	1350.18	981.29	438.59	503.95	258.57	267.73	253.23	381.68	346.29	463.65	127.0	0.97	759.08	1745.2	30.12	27.84	158.79	283.05	106.63	146.03	28.24
TMC3	0.0	2.1	2.25	8.19	2.27	9.48	0.84	3.14	0.85	0.84	8.38	4.03	1.64	0.57	0.41	0.53	0.0	0.0	0.39	0.0	1.55	0.0	0.0	3.92	5.11	0.16	0.21	0.16	0.0	0.06	0.04	0.05
TMEM62	269.6	738.29	500.46	825.0	599.49	1096.5	395.18	688.78	660.68	525.39	791.35	559.28	480.04	318.57	507.46	356.05	336.79	387.02	368.65	297.17	267.73	507.46	0.72	974.5	493.56	269.6	151.22	72.52	264.03	221.86	305.55	159.9
TMEM8B	81.71	669.92	583.07	536.45	780.44	1104.13	579.04	825.0	400.71	368.65	397.93	698.41	339.14	127.0	135.24	116.78	108.9	60.82	92.7	146.03	248.0	51.35	0.51	269.6	397.93	17.38	22.1	54.72	119.26	65.72	46.5	13.62
TMLHE	197.09	392.44	435.55	511.0	325.29	480.04	361.04	444.72	447.82	234.57	299.25	463.65	299.25	246.28	211.31	334.46	214.27	145.02	161.02	264.03	267.73	293.07	0.65	387.02	214.27	202.66	204.07	275.28	351.14	214.27	145.02	163.28
TRAF5	10.55	536.45	860.08	1081.39	954.43	988.12	713.11	854.13	624.99	802.41	624.99	981.29	764.36	166.73	327.56	134.3	57.49	81.71	166.73	119.26	181.28	21.63	0.77	1119.56	1167.14	10.24	17.77	23.08	26.86	17.64	22.26	11.21
TSPAN12	10.55	848.22	470.14	423.61	476.71	830.75	493.56	563.18	854.13	358.54	713.11	988.12	336.79	47.84	56.68	33.54	23.93	44.89	49.56	69.03	348.71	293.07	0.28	323.03	1721.16	33.06	11.55	15.34	87.65	17.13	37.05	14.35
TTLL2	1.99	10.0	15.22	14.89	20.86	53.19	19.97	25.54	6.84	15.11	12.18	19.82	11.64	1.45	2.41	1.73	0.0	3.03	1.31	0.0	3.03	0.0	0.16	16.88	29.06	0.0	0.0	1.38	0.74	0.0	0.02	0.88
TUBAL3	8.32	28.24	74.06	36.01	82.29	265.87	48.87	6.21	33.3	14.78	185.11	130.6	18.43	8.45	26.67	6.01	3.86	13.62	15.0	3.0	8.25	2.84	0.01	31.9	24.28	0.78	8.13	17.25	9.85	0.18	7.82	1.73
VIL1	50.63	2193.99	2434.5	6164.49	1427.22	8718.32	2384.37	2855.44	2976.74	2682.69	3081.75	3303.0	521.76	212.78	249.73	30.12	21.01	167.9	30.12	7.94	688.78	11.21	0.53	3589.58	5633.22	11.55	3.76	13.52	7.11	21.63	15.56	22.26
WFDC13	0.0	5.23	1.03	6.89	1.68	3.35	0.74	0.4	0.74	1.36	1.08	0.73	0.78	0.0	0.12	0.16	0.0	0.0	0.4	0.0	1.28	0.0	0.0	1.97	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XPNPEP2	3.63	134.3	289.02	147.06	136.19	414.87	165.57	327.56	60.82	16.88	295.11	198.47	204.07	95.34	29.7	9.63	6.41	4.94	2.94	22.43	90.77	8.13	0.26	163.28	157.68	88.26	67.59	15.34	18.43	5.5	8.19	8.25
ZBTB18	57.49	476.71	429.54	303.44	389.72	660.68	521.76	389.72	387.02	612.11	358.54	400.71	366.09	103.69	246.28	81.71	96.01	87.03	301.33	108.9	198.47	99.43	595.34	454.09	518.15	59.13	87.03	52.08	80.01	43.63	71.0	40.07
ZC3H12B	0.64	27.84	30.56	26.47	20.71	60.39	31.67	40.93	34.26	21.94	16.63	48.87	29.7	7.46	13.72	4.03	2.32	3.56	3.26	6.41	11.13	0.0	0.14	24.63	17.25	0.6	0.26	1.07	1.5	0.49	0.11	0.0
ZC4H2	4.43	260.38	212.78	239.52	153.34	258.57	202.66	316.37	329.84	171.45	102.25	358.54	234.57	88.26	167.9	76.71	98.73	82.29	62.12	165.57	87.65	34.26	0.4	332.14	201.25	34.51	26.47	35.25	30.12	55.49	26.67	16.03
ZNF182	20.86	143.01	150.17	162.14	107.38	195.72	108.9	193.01	131.51	113.56	98.04	177.53	137.14	50.98	78.34	69.52	45.85	42.41	49.56	45.21	80.57	20.56	0.39	98.04	171.45	14.89	16.03	14.35	31.9	16.88	22.59	17.0
ZNF275	24.46	242.88	309.83	255.0	178.77	318.57	146.03	301.33	186.4	185.11	138.1	303.44	181.28	36.27	82.29	60.39	19.39	33.78	29.27	24.11	100.13	10.47	61.68	297.17	205.5	19.39	16.51	23.08	31.22	35.0	21.63	12.45
ZNF541	0.8	13.22	25.72	32.59	23.42	77.79	8.51	38.67	7.11	4.17	8.19	79.45	47.5	1.25	1.13	2.53	1.69	5.87	4.62	1.83	7.88	2.27	0.0	49.56	2.78	0.0	0.0	0.0	0.0	6.46	6.06	0.26
ZNF775	169.07	708.18	872.1	551.56	866.07	1151.06	555.41	518.15	571.05	429.54	728.11	591.22	612.11	197.09	320.8	159.9	186.4	129.69	277.2	220.32	334.46	73.54	0.22	587.13	860.08	39.22	81.14	94.01	91.41	87.03	71.5	78.89
ZNRF3	108.9	423.61	336.79	473.41	307.69	669.92	368.65	258.57	384.34	327.56	291.04	325.29	153.34	113.56	60.39	99.43	86.43	51.35	93.35	83.45	95.34	38.95	0.21	525.39	348.71	41.81	54.33	55.49	61.25	48.87	42.11	51.71
ZSWIM5	3.03	70.01	102.97	102.25	65.26	131.51	105.89	87.03	134.3	55.89	73.03	62.12	42.71	49.91	83.45	72.01	33.54	100.83	42.41	59.13	55.49	12.0	0.23	99.43	54.33	2.25	8.38	1.31	12.18	4.9	15.34	4.98
