	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18Q.11A.34R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	TCGA.KN.8436.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.KN.8423.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	TCGA.KN.8429.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.P4QS.1126.SM.3NMD5	GTEX.RN64.1626.SM.48FD7	GTEX.ZYFG.1626.SM.5GZYY	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.12696.0926.SM.5FQTV	GTEX.147F4.2626.SM.5Q5CS	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5453.11A.01R.1503.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CZ.5455.11A.01R.1503.07	TCGA.CZ.5989.11A.01R.1672.07	TCGA.CZ.4865.11A.01R.1503.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CZ.4863.11A.01R.1503.07	TCGA.CZ.5465.11A.01R.1503.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B2.5641.11A.01R.1541.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CW.6088.11A.01R.1672.07	TCGA.CZ.5469.11A.01R.1503.07	TCGA.CZ.5457.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CZ.5456.11A.02R.1503.07	TCGA.Y8.A8RY.11A.11R.A37K.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.P4.A5ED.11A.11R.A28H.07	TCGA.GL.A9DE.11A.11R.A37K.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.DD.A39V.11A.11R.A213.07
UBP1	1721.16	1242.34	1639.59	1508.65	2209.26	1159.07	1508.65	595.34	470.14	551.56	629.35	723.08	514.56	612.11	518.15	1015.93	669.92	543.96	693.58	665.29	842.36	1199.98	111.21	633.73	836.53	713.11	521.76	780.44	684.02	647.07	559.28	748.61	743.43	738.29	540.19	796.86	587.13	476.71	529.06	483.38	595.34	579.04	575.03	536.45	583.07	327.56
UVRAG	521.76	543.96	638.15	540.19	400.71	454.09	759.08	224.97	172.65	215.77	182.55	269.6	172.65	332.14	215.77	339.14	262.2	214.27	283.05	277.2	297.17	368.65	70.01	291.04	348.71	283.05	212.78	248.0	271.48	239.52	258.57	239.52	281.09	275.28	195.72	297.17	224.97	191.67	208.38	189.02	241.19	217.27	256.78	236.21	206.94	98.04
WDR33	759.08	620.67	769.69	728.11	723.08	713.11	1183.45	397.93	339.14	460.44	470.14	518.15	559.28	532.74	305.55	915.51	384.34	486.75	503.95	595.34	336.79	769.69	63.45	414.87	616.37	563.18	371.22	470.14	438.59	466.88	450.94	563.18	503.95	543.96	392.44	518.15	429.54	406.31	540.19	305.55	389.72	409.15	473.41	395.18	457.25	325.29
ZCCHC6	567.1	507.46	595.34	583.07	693.58	567.1	521.76	172.65	143.01	157.68	186.4	173.85	113.56	157.68	118.43	231.32	169.07	133.36	265.87	228.13	169.07	295.11	105.15	191.67	262.2	187.71	123.5	241.19	170.25	151.22	145.02	231.32	197.09	255.0	133.36	209.84	151.22	127.0	159.9	138.1	149.12	137.14	178.77	133.36	145.02	318.57
ZFP28	195.72	167.9	204.07	180.02	176.29	138.1	323.03	85.82	75.11	66.18	103.69	105.15	122.64	73.03	47.5	246.28	97.36	118.43	146.03	190.34	112.77	217.27	60.82	111.21	125.24	104.42	55.1	119.26	115.16	77.79	90.14	74.06	119.26	96.01	62.12	128.79	77.79	57.89	77.25	79.45	95.34	84.04	102.25	79.45	108.14	5.32
ZNF16	246.28	269.6	236.21	265.87	267.73	260.38	323.03	157.68	120.1	148.09	177.53	194.36	130.6	177.53	204.07	143.01	194.36	186.4	159.9	187.71	120.1	260.38	102.97	173.85	204.07	144.01	139.07	185.11	215.77	173.85	114.36	154.42	195.72	164.42	92.05	186.4	214.27	138.1	148.09	107.38	142.01	119.26	156.59	142.01	128.79	44.89
ZNF322	540.19	356.05	409.15	444.72	460.44	444.72	769.69	173.85	126.12	206.94	234.57	253.23	186.4	172.65	101.54	438.59	221.86	149.12	291.04	299.25	258.57	490.14	23.59	346.29	279.14	318.57	181.28	281.09	239.52	232.94	318.57	232.94	253.23	228.13	123.5	285.03	202.66	162.14	144.01	86.43	187.71	131.51	175.07	127.0	149.12	44.57
ZNF354A	267.73	241.19	295.11	258.57	255.0	148.09	343.89	115.97	88.26	117.6	143.01	169.07	102.97	122.64	65.26	327.56	105.15	242.88	119.26	191.67	165.57	221.86	40.93	197.09	143.01	121.79	94.67	146.03	91.41	120.94	93.35	145.02	120.1	173.85	58.71	142.01	77.79	88.26	73.03	74.06	129.69	150.17	204.07	146.03	89.51	46.84
ZNF416	135.24	126.12	124.37	112.77	162.14	132.44	186.4	59.13	36.01	68.55	92.05	80.57	35.5	68.07	47.17	61.68	96.68	73.03	56.68	57.49	55.49	128.79	64.8	81.71	82.87	61.68	63.89	83.45	98.73	78.34	46.5	69.03	75.64	74.58	31.67	88.26	77.79	70.01	48.18	27.25	55.1	49.56	67.59	43.63	37.32	20.41
ZNF420	307.69	267.73	332.14	287.01	346.29	237.86	457.25	84.63	75.11	127.0	128.79	177.53	60.82	181.28	84.04	127.89	156.59	98.04	119.26	258.57	112.77	202.66	60.39	180.02	154.42	166.73	82.87	169.07	149.12	155.5	145.02	155.5	145.02	206.94	30.56	205.5	74.58	75.64	63.45	72.01	85.22	111.21	134.3	95.34	75.64	19.82
ZNF461	215.77	131.51	142.01	136.19	202.66	132.44	291.04	63.0	61.68	83.45	118.43	123.5	80.01	108.14	49.91	108.9	68.07	98.73	124.37	142.01	97.36	124.37	53.19	90.14	98.04	96.01	53.57	128.79	117.6	100.13	73.03	88.88	94.67	93.35	62.12	112.77	72.01	49.91	64.8	52.45	65.26	83.45	94.01	80.01	61.68	41.52
ZNF551	127.89	133.36	115.97	103.69	158.79	129.69	77.25	44.25	33.78	38.67	65.26	78.89	26.1	48.52	38.95	75.11	71.5	70.01	56.68	74.06	23.59	118.43	51.71	52.45	73.54	46.84	43.02	77.79	83.45	64.34	42.11	58.3	81.14	52.45	23.76	71.0	64.8	46.18	33.78	25.91	42.11	29.7	33.54	50.63	25.91	10.39
ZNF566	251.48	201.25	175.07	173.85	163.28	206.94	397.93	68.55	66.65	68.55	90.77	115.97	44.89	137.14	67.12	145.02	82.87	103.69	106.63	217.27	75.11	142.01	48.18	106.63	133.36	100.13	90.77	136.19	89.51	110.43	94.01	107.38	95.34	118.43	43.02	134.3	58.3	71.0	65.72	57.08	92.05	73.03	113.56	112.77	44.25	52.08
ZNF583	81.14	95.34	100.83	94.01	145.02	73.03	145.02	38.12	26.67	47.84	55.1	84.04	39.79	64.8	42.41	74.06	59.97	49.56	71.0	152.28	71.0	135.24	8.51	105.89	94.67	84.63	34.75	79.45	72.01	68.07	65.26	67.59	70.51	84.04	25.72	87.65	34.26	35.0	33.78	33.06	45.21	56.28	52.08	44.57	36.53	17.13
ZNF609	301.33	303.44	363.56	361.04	417.77	343.89	318.57	154.42	115.16	123.5	154.42	232.94	95.34	154.42	127.0	371.22	193.01	149.12	217.27	193.01	237.86	291.04	12.83	191.67	271.48	232.94	89.51	277.2	164.42	129.69	187.71	189.02	212.78	241.19	115.97	248.0	147.06	131.51	121.79	95.34	166.73	137.14	154.42	130.6	161.02	68.07
ZNF790	141.02	143.01	163.28	144.01	224.97	182.55	180.02	100.13	90.14	92.7	94.67	146.03	47.17	139.07	117.6	166.73	135.24	96.68	126.12	212.78	55.49	195.72	41.81	150.17	153.34	147.06	64.34	142.01	122.64	131.51	75.11	144.01	146.03	152.28	43.63	161.02	82.87	86.43	70.51	80.01	110.43	96.68	102.97	114.36	65.26	72.01
