	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.E3.A3E0.01A.11R.A20F.07	TCGA.DE.A4M8.01A.21R.A250.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.E8.A44M.01A.21R.A23W.07	TCGA.FY.A40N.01A.11R.A23N.07	TCGA.CE.A27D.01A.11R.A16R.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.ET.A39R.01A.11R.A19O.07	GTEX.12ZZX.1226.SM.5EGHS
PRICKLE1	0.0	0.26	101.54	145.02	92.05	400.71	209.84	55.49	71.5	65.26	71.0	438.59	169.07	44.57	86.43	144.01	46.84	122.64	85.82	314.17	248.0	441.64	441.64	332.14	547.75	412.0	703.28	281.09	412.0	607.87
RAB36	0.0	0.0	447.82	71.5	204.07	395.18	599.49	318.57	72.52	24.28	92.05	38.95	128.79	35.76	29.06	12.09	51.71	33.06	30.34	299.25	232.94	297.17	285.03	316.37	265.87	500.46	215.77	414.87	358.54	392.44
RAPGEF3	0.0	0.67	279.14	563.18	115.97	395.18	1008.9	1119.56	126.12	688.78	148.09	819.3	599.49	376.41	629.35	493.56	463.65	579.04	450.94	2485.67	2119.22	2895.31	2178.83	4937.99	1340.84	4543.8	2758.13	2645.74	1487.87	1127.35
RBBP9	264.03	93.35	157.68	220.32	305.55	483.38	193.01	149.12	285.03	112.77	228.13	273.37	182.55	262.2	287.01	162.14	126.12	166.73	157.68	603.67	341.51	343.89	470.14	361.04	387.02	842.36	287.01	426.57	518.15	525.39
RECQL5	0.0	0.59	318.57	197.09	363.56	780.44	684.02	172.65	163.28	86.43	204.07	267.73	470.14	285.03	131.51	54.72	348.71	177.53	152.28	1407.55	1437.15	1457.23	1369.04	2148.82	1127.35	1242.34	1487.87	1508.65	1322.37	1175.27
RMND5B	0.0	0.47	503.95	447.82	392.44	616.37	688.78	253.23	438.59	198.47	291.04	612.11	486.75	312.0	271.48	197.09	379.04	426.57	339.14	848.22	785.88	941.27	796.86	1044.52	738.29	896.64	1037.29	915.51	808.0	825.0
RXRG	0.0	0.0	21.01	1.22	34.26	172.65	98.73	22.26	33.78	19.68	33.54	85.82	119.26	107.38	43.94	17.9	63.89	38.95	7.51	2075.59	2047.0	2417.67	2148.82	1183.45	967.76	1991.0	2485.67	947.83	2075.59	102.25
SALL1	0.0	0.2	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.83	0.59	0.0	0.67	0.0	0.0	0.03	13.03	0.01	647.07	1051.79	842.36	1030.12	723.08	507.46	713.11	1037.29	860.08	836.53	426.57
SAMD11	0.0	0.35	57.08	44.89	122.64	171.45	180.02	41.52	348.71	22.75	45.21	283.05	68.55	101.54	68.55	7.28	144.01	65.72	83.45	59.13	450.94	595.34	146.03	988.12	137.14	190.34	441.64	267.73	305.55	265.87
SCD5	0.0	0.26	351.14	198.47	1457.23	921.88	848.22	412.0	256.78	199.85	157.68	497.0	738.29	229.72	1794.29	612.11	79.45	441.64	318.57	1674.06	1111.82	1369.04	748.61	1407.55	1519.15	1427.22	1870.53	1662.49	1359.57	1322.37
SCN4A	0.0	0.24	0.0	3.32	2.71	7.82	7.88	0.0	0.13	4.78	0.21	0.05	0.49	0.0	17.0	4.78	1.38	0.66	1.73	91.41	158.79	113.56	105.15	303.44	131.51	180.02	109.66	84.63	127.89	16.27
SCRN2	0.0	0.6	896.64	473.41	775.05	1745.2	1388.16	503.95	237.86	309.83	412.0	651.58	1378.57	934.76	591.22	221.86	660.68	764.36	397.93	2104.58	1781.89	1781.89	1733.13	1936.53	1551.09	2047.0	2303.12	2193.99	1896.65	1519.15
SCXA	0.0	0.79	18.84	91.41	19.82	13.72	29.7	190.34	37.85	68.55	18.16	74.58	22.43	62.56	8.78	28.86	26.67	7.69	24.11	1208.34	981.29	2193.99	1331.57	2777.33	1832.01	1359.57	941.27	878.17	819.3	1030.12
SERGEF	0.0	0.56	915.51	961.07	1081.39	954.43	941.27	476.71	400.71	275.28	493.56	896.64	819.3	753.83	669.92	563.18	703.28	559.28	480.04	3564.78	2796.65	3614.55	4123.49	3419.52	2997.45	7280.4	3235.01	4095.0	4481.23	1896.65
SLC22A17	0.0	0.71	239.52	105.89	684.02	358.54	583.07	759.08	395.18	497.0	473.41	802.41	336.79	358.54	466.88	417.77	361.04	316.37	463.65	1583.71	2384.37	1769.57	1709.26	2178.83	1639.59	1697.45	2032.85	1594.73	1936.53	1857.6
SLC25A12	0.0	0.31	229.72	104.42	463.65	303.44	373.81	123.5	103.69	55.1	155.5	164.42	258.57	156.59	120.1	57.89	181.28	108.14	124.37	376.41	476.71	435.55	540.19	423.61	438.59	511.0	341.51	376.41	511.0	599.49
SLC25A26	0.0	0.43	607.87	529.06	638.15	529.06	463.65	152.28	190.34	295.11	346.29	579.04	503.95	599.49	339.14	176.29	420.68	325.29	297.17	769.69	447.82	620.67	518.15	607.87	384.34	698.41	860.08	830.75	660.68	669.92
SLC25A38	0.0	0.06	483.38	376.41	543.96	674.59	995.0	291.04	201.25	327.56	242.88	409.15	406.31	287.01	269.6	323.03	595.34	327.56	208.38	1674.06	1304.15	947.83	1119.56	1044.52	1151.06	928.3	872.1	1407.55	1051.79	743.43
SLC6A13	0.0	0.0	60.39	23.93	2.66	79.45	115.97	10.55	13.83	6.41	3.5	9.63	53.57	55.49	53.95	38.4	6.46	29.27	33.06	277.2	229.72	320.8	115.16	231.32	169.07	329.84	490.14	423.61	116.78	215.77
SMIM1	0.0	0.17	63.45	118.43	43.63	30.78	137.14	100.83	49.91	11.64	22.59	95.34	100.83	98.73	133.36	57.89	127.89	62.12	23.08	902.89	785.88	718.08	808.0	595.34	759.08	616.37	934.76	819.3	890.44	314.17
SMIM5	0.0	0.39	114.36	85.22	40.07	136.19	332.14	159.9	68.55	52.45	69.52	52.45	157.68	100.13	140.04	22.59	32.59	42.71	71.5	361.04	381.68	435.55	265.87	563.18	435.55	373.81	438.59	450.94	303.44	339.14
SNX5	0.0	0.92	2701.35	3018.3	2976.74	3443.31	2104.58	2367.9	915.51	2400.97	2555.58	1639.59	2319.15	3540.14	1733.13	2537.92	4869.99	1662.49	2664.15	5555.65	4038.61	7130.55	3349.13	5831.91	4210.15	5292.48	5403.7	5183.54	4181.07	4419.52
SOWAHA	0.0	0.06	9.85	1.75	6.62	13.93	8.13	7.28	1.33	0.84	4.74	6.16	6.41	5.32	2.2	0.0	18.16	0.82	1.93	78.89	26.1	76.71	26.86	40.36	24.46	27.64	129.69	91.41	62.12	77.79
SPA17	0.0	0.0	1572.76	341.51	403.5	454.09	1051.79	463.65	229.72	149.12	297.17	205.5	299.25	234.57	205.5	130.6	130.6	244.57	198.47	718.08	320.8	536.45	406.31	503.95	665.29	563.18	387.02	490.14	521.76	361.04
SPAG16	0.0	0.26	764.36	265.87	571.05	825.0	693.58	395.18	172.65	96.68	228.13	199.85	334.46	185.11	346.29	108.14	199.85	154.42	202.66	802.41	444.72	629.35	353.59	599.49	555.41	718.08	595.34	547.75	486.75	674.59
SPCS1	0.0	0.67	4607.24	3716.2	4836.35	4972.34	3665.02	1417.35	2119.22	1950.0	2835.7	2875.3	3467.27	2434.5	2032.85	1051.79	3491.39	2591.27	2855.44	5831.91	5441.3	5292.48	4328.55	4802.93	5517.27	5711.87	4972.34	5041.77	4802.93	5255.91
SPRYD3	0.0	0.45	890.44	583.07	1023.0	1242.34	1159.07	599.49	759.08	318.57	532.74	769.69	1023.0	476.71	563.18	221.86	514.56	708.18	612.11	1477.58	1498.22	1832.01	1183.45	1950.0	1111.82	1769.57	2163.77	1721.16	1369.04	1191.69
SRL	0.0	0.12	20.11	1.33	19.82	18.43	43.32	31.9	14.14	10.63	46.84	14.89	23.42	5.82	10.16	35.76	3.26	10.08	18.97	138.1	435.55	103.69	236.21	293.07	167.9	473.41	215.77	156.59	271.48	41.81
SSX2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.45	25.91	51.71	15.11	23.93	47.5	32.36	34.51	73.54	19.68	55.49
ST6GAL2	0.0	0.01	11.73	8.25	7.69	4.21	12.74	25.72	9.06	2.01	3.92	3.32	23.59	1.14	21.01	2.97	8.65	2.89	5.11	878.17	1167.14	921.88	629.35	575.03	603.67	1073.91	583.07	579.04	1477.58	599.49
STK33	0.0	0.15	947.83	104.42	575.03	476.71	1427.22	500.46	137.14	22.26	239.52	64.8	172.65	66.18	134.3	55.1	92.05	51.35	40.07	463.65	387.02	497.0	454.09	529.06	435.55	423.61	540.19	412.0	470.14	529.06
SUCLG1	0.0	0.91	1359.57	1437.15	1417.35	1378.57	1407.55	708.18	1259.69	500.46	612.11	1030.12	1594.73	1175.27	1143.1	825.0	1572.76	1143.1	1259.69	2451.44	1697.45	1963.57	1819.35	2319.15	1991.0	2271.4	1950.0	2104.58	1628.26	1883.54
SWI5	0.0	0.46	463.65	503.95	872.1	579.04	684.02	387.02	444.72	412.0	231.32	780.44	473.41	400.71	432.53	255.0	366.09	417.77	256.78	1617.0	941.27	1250.98	1617.0	1605.83	1519.15	3124.78	1733.13	1457.23	1498.22	1781.89
SYPL2	0.0	0.3	8.85	2.92	8.0	12.09	16.88	20.56	9.41	16.39	9.78	18.56	14.35	10.96	15.0	12.36	14.03	13.83	11.91	48.52	43.02	29.06	115.16	132.44	74.58	94.67	60.39	123.5	33.06	139.07
TADA3	0.0	0.53	1143.1	928.3	1477.58	1417.35	1628.26	629.35	1088.92	693.58	802.41	1151.06	1250.98	967.76	624.99	351.14	651.58	854.13	796.86	2271.4	1639.59	1923.14	1870.53	1662.49	1806.78	1781.89	2240.11	2193.99	2119.22	1551.09
TBX3	0.0	0.83	181.28	67.59	54.72	177.53	155.5	135.24	480.04	116.78	309.83	414.87	224.97	212.78	205.5	441.64	567.1	379.04	318.57	1519.15	1794.29	1350.18	2351.53	3212.66	1977.24	2758.13	1529.73	1844.76	2520.38	1561.89
TCTEX1D2	0.0	0.39	674.59	181.28	193.01	830.75	934.76	406.31	303.44	73.03	111.21	244.57	193.01	118.43	123.5	45.53	204.07	110.43	118.43	583.07	429.54	389.72	406.31	450.94	341.51	934.76	463.65	406.31	518.15	612.11
TIMM21	0.0	0.02	241.19	314.17	325.29	392.44	409.15	82.87	206.94	68.55	137.14	241.19	228.13	186.4	163.28	86.43	148.09	156.59	133.36	486.75	420.68	450.94	426.57	571.05	466.88	521.76	435.55	454.09	426.57	476.71
TMC3	0.0	0.0	0.66	0.33	1.07	1.83	1.36	0.66	0.0	0.97	0.71	0.62	0.34	1.62	0.0	0.65	0.36	0.64	1.06	12.74	5.28	7.17	5.54	22.26	2.48	27.64	10.16	11.3	2.03	3.0
TMEM107	0.0	0.21	693.58	460.44	511.0	633.73	819.3	480.04	279.14	169.07	368.65	325.29	521.76	423.61	363.56	114.36	332.14	406.31	293.07	775.05	660.68	769.69	567.1	808.0	603.67	769.69	796.86	723.08	684.02	808.0
TMEM115	0.0	0.52	1104.13	612.11	825.0	665.29	1073.91	423.61	866.07	808.0	698.41	775.05	642.59	525.39	555.41	718.08	842.36	791.35	483.38	1066.48	1119.56	1073.91	928.3	1143.1	1322.37	1242.34	1331.57	1295.13	1119.56	1044.52
TMEM129	0.0	0.73	591.22	633.73	638.15	988.12	1030.12	525.39	220.32	283.05	420.68	780.44	698.41	579.04	325.29	206.94	902.89	486.75	447.82	1104.13	1104.13	1081.39	1127.35	954.43	1104.13	1268.46	1183.45	1175.27	1135.2	1340.84
TMEM18	0.0	0.51	426.57	575.03	718.08	813.63	656.11	417.77	599.49	305.55	470.14	529.06	567.1	540.19	423.61	251.48	529.06	336.79	420.68	1051.79	708.18	796.86	669.92	1378.57	1008.9	1037.29	808.0	728.11	878.17	848.22
TMEM215	0.0	0.01	0.0	0.0	0.0	0.0	1.97	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.77	1.85	0.88	0.74	0.84	218.79	103.69	211.31	67.59	251.48	34.02	183.82	269.6	120.94	35.76	0.69
TMEM229B	0.0	0.0	55.89	29.48	66.18	183.82	269.6	57.08	20.56	13.62	28.45	93.35	59.97	23.76	16.27	5.32	19.82	68.07	17.9	171.45	236.21	204.07	273.37	105.15	373.81	248.0	119.26	334.46	312.0	102.25
TMEM243	0.0	0.57	1685.71	2119.22	1617.0	1697.45	2163.77	1023.0	450.94	1477.58	866.07	1295.13	1781.89	1081.39	1066.48	878.17	4123.49	1388.16	1151.06	4481.23	4268.94	5147.73	3614.55	4038.61	2720.15	5441.3	2935.74	2664.15	3540.14	1857.6
TMEM42	0.0	0.17	412.0	426.57	603.67	633.73	638.15	191.67	139.07	100.83	212.78	366.09	543.96	297.17	180.02	81.14	571.05	236.21	185.11	928.3	603.67	679.29	656.11	780.44	753.83	769.69	872.1	791.35	595.34	995.0
TRAM1L1	0.0	0.0	17.51	3.06	98.04	57.49	52.82	5.5	8.71	0.0	4.9	7.51	31.22	13.22	13.22	3.0	4.98	2.97	3.17	96.68	88.88	92.05	63.89	67.12	84.04	71.5	123.5	81.14	92.05	148.09
TRMT44	0.0	0.45	209.84	164.42	204.07	182.55	223.41	79.45	113.56	48.18	115.16	159.9	176.29	100.83	77.79	58.71	177.53	117.6	119.26	500.46	241.19	414.87	312.0	444.72	309.83	320.8	693.58	450.94	271.48	532.74
TSGA10	0.0	0.0	103.69	16.27	112.77	151.22	293.07	110.43	29.48	20.86	41.81	47.5	97.36	24.81	47.84	61.25	51.71	55.1	48.18	224.97	161.02	293.07	199.85	283.05	162.14	260.38	201.25	206.94	186.4	307.69
TTC12	0.0	0.19	417.77	205.5	236.21	543.96	336.79	361.04	99.43	42.11	142.01	102.97	275.28	224.97	208.38	52.08	244.57	164.42	186.4	476.71	275.28	384.34	397.93	583.07	351.14	493.56	500.46	454.09	289.02	373.81
UBE2QL1	0.0	0.22	1.81	0.37	34.75	55.1	21.47	0.01	2.43	0.34	2.07	5.41	0.89	0.35	1.22	0.0	48.18	1.64	0.48	595.34	226.54	339.14	183.82	297.17	173.85	271.48	305.55	389.72	432.53	56.68
UNC50	0.0	0.39	967.76	934.76	764.36	1199.98	1151.06	435.55	450.94	384.34	583.07	780.44	988.12	830.75	567.1	341.51	866.07	660.68	629.35	1639.59	1340.84	1561.89	1477.58	1909.85	1340.84	1674.06	1417.35	1151.06	1277.29	1407.55
UNC5C	0.0	0.36	56.68	11.73	110.43	120.1	98.04	49.91	74.58	90.14	53.95	187.71	45.53	66.65	59.97	84.04	22.1	79.45	67.59	226.54	212.78	204.07	128.79	186.4	241.19	234.57	262.2	269.6	204.07	159.9
VSTM4	32.13	61.68	264.03	77.25	262.2	981.29	209.84	417.77	166.73	120.1	269.6	503.95	423.61	981.29	177.53	248.0	146.03	132.44	170.25	1088.92	974.5	1467.37	995.0	1487.87	1119.56	1104.13	1304.15	909.17	1008.9	409.15
WBP1	0.0	0.42	2537.92	1733.13	1745.2	3540.14	3168.41	2061.24	1151.06	974.5	1519.15	2451.44	2664.15	1950.0	1417.35	759.08	2287.2	1437.15	1340.84	5831.91	3955.48	4210.15	4388.98	4802.93	3742.05	6607.01	5147.73	4836.35	4450.27	5479.15
WBSCR16	0.0	0.41	612.11	423.61	813.63	674.59	612.11	249.73	348.71	172.65	267.73	483.38	543.96	395.18	253.23	150.17	447.82	395.18	323.03	866.07	808.0	896.64	769.69	854.13	819.3	825.0	1135.2	1037.29	954.43	791.35
WDR34	0.0	0.32	1417.35	480.04	703.28	1378.57	1427.22	684.02	555.41	346.29	368.65	612.11	748.61	353.59	460.44	156.59	325.29	423.61	297.17	2319.15	2061.24	2133.97	2061.24	2178.83	2104.58	3060.45	2287.2	2367.9	2627.46	2018.8
WDR86	0.0	0.67	61.25	38.12	486.75	73.03	191.67	381.68	30.78	140.04	44.57	100.83	73.03	106.63	57.08	100.13	43.32	98.04	119.26	1551.09	2047.0	1674.06	1277.29	2351.53	1225.22	1447.15	2816.11	1674.06	896.64	2240.11
XPC	0.0	0.65	674.59	231.32	521.76	1508.65	934.76	339.14	320.8	220.32	336.79	493.56	698.41	387.02	366.09	193.01	995.0	368.65	356.05	866.07	974.5	1088.92	848.22	1208.34	915.51	1378.57	1208.34	1044.52	896.64	1259.69
YAF2	0.0	0.57	376.41	293.07	269.6	432.53	363.56	379.04	334.46	281.09	387.02	361.04	244.57	346.29	438.59	698.41	665.29	329.84	291.04	947.83	647.07	813.63	583.07	896.64	567.1	1286.18	473.41	379.04	559.28	320.8
ZNF19	0.0	0.2	132.44	68.07	103.69	218.79	201.25	134.3	28.86	13.83	67.12	37.85	139.07	59.97	26.67	21.78	105.15	79.45	36.53	264.03	126.12	271.48	242.88	303.44	147.06	277.2	249.73	214.27	170.25	221.86
ZNF208	0.0	0.3	21.94	18.56	90.14	36.53	10.47	30.56	14.89	7.34	29.48	55.49	8.85	48.87	15.34	3.86	8.32	24.63	22.1	454.09	156.59	316.37	33.78	239.52	161.02	493.56	242.88	241.19	260.38	277.2
ZNF213	0.0	0.09	171.45	121.79	148.09	163.28	242.88	76.17	75.64	44.25	103.69	109.66	161.02	84.63	61.25	36.27	102.25	111.99	105.15	251.48	291.04	262.2	260.38	277.2	258.57	295.11	395.18	339.14	281.09	303.44
ZNF233	0.0	0.25	9.56	9.41	2.56	19.68	57.49	9.48	2.92	2.43	6.78	18.03	21.94	19.82	4.1	3.38	8.99	7.57	13.12	65.26	40.07	64.34	42.11	89.51	33.06	66.65	59.13	53.19	42.71	8.06
ZNF599	0.0	0.35	139.07	88.26	114.36	287.01	253.23	73.54	45.21	49.91	62.12	145.02	178.77	84.04	67.59	37.85	103.69	71.5	84.04	363.56	239.52	303.44	220.32	353.59	191.67	327.56	327.56	291.04	214.27	289.02
ZNF676	0.0	0.19	4.21	21.78	5.5	3.35	2.61	2.18	5.77	0.0	4.66	3.44	1.14	2.1	0.51	4.35	0.19	1.99	3.14	67.59	54.33	65.72	31.45	77.25	42.71	83.45	48.18	46.5	21.78	66.65
ZNF98	0.0	0.0	0.0	0.0	1.45	53.57	15.8	0.0	8.78	0.0	8.65	0.0	0.0	0.0	7.17	8.38	0.0	6.94	1.45	28.45	16.51	29.27	3.82	45.21	22.59	24.63	29.06	28.65	11.64	58.71
