	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.G3.A7M6.01A.11R.A33R.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.69.7763.01A.11R.2170.07	TCGA.55.8614.01A.11R.2403.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.97.A4M0.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.73.4675.01A.01R.1206.07	TCGA.50.8457.01A.11R.2326.07	TCGA.91.8497.01A.11R.2403.07	TCGA.55.8097.01A.11R.2241.07	TCGA.55.8087.01A.11R.2241.07	TCGA.78.7152.01A.11R.2039.07	TCGA.69.8253.01A.11R.2287.07	TCGA.CD.8526.01A.11R.2343.13	TCGA.BR.7716.01A.21R.2055.13	TCGA.FE.A239.01A.11R.A16R.07	TCGA.AJ.A3BF.01A.11R.A213.07
LIN37	703.28	237.86	181.28	688.78	132.44	208.38	161.02	85.82	170.25	116.78	138.1	136.19	96.01	80.57	185.11	229.72	204.07	125.24	172.65	137.14	125.24	161.02	102.97	400.71	500.46	379.04	334.46	426.57	0.0	271.48	395.18	320.8	285.03	295.11	314.17	403.5	262.2	432.53	429.54	463.65	974.5	878.17
MAP3K10	698.41	90.77	124.37	759.08	57.08	82.87	76.17	19.11	60.39	71.5	131.51	53.95	47.84	65.72	139.07	55.1	102.25	60.82	79.45	75.11	43.94	55.49	98.73	199.85	486.75	237.86	167.9	242.88	0.0	187.71	363.56	463.65	214.27	241.19	211.31	209.84	176.29	351.14	647.07	764.36	647.07	392.44
MARK4	616.37	224.97	297.17	995.0	189.02	189.02	256.78	121.79	271.48	186.4	108.9	186.4	215.77	150.17	193.01	232.94	244.57	204.07	193.01	191.67	183.82	460.44	139.07	599.49	878.17	400.71	387.02	361.04	0.0	379.04	414.87	432.53	356.05	351.14	384.34	366.09	371.22	466.88	713.11	934.76	698.41	947.83
MAST2	476.71	158.79	167.9	483.38	167.9	109.66	197.09	53.57	162.14	123.5	146.03	120.1	84.63	152.28	139.07	175.07	152.28	116.78	115.97	101.54	34.51	90.77	111.21	381.68	450.94	309.83	281.09	363.56	0.0	220.32	291.04	392.44	336.79	395.18	356.05	343.89	301.33	260.38	536.45	909.17	392.44	447.82
MED25	2224.63	368.65	450.94	1111.82	323.03	348.71	279.14	125.24	287.01	301.33	197.09	258.57	371.22	389.72	287.01	190.34	551.56	287.01	441.64	358.54	273.37	218.79	314.17	1427.22	1286.18	1242.34	1151.06	1397.83	0.0	1066.48	1151.06	1030.12	1286.18	1295.13	1066.48	1073.91	1008.9	1081.39	3491.39	3081.75	3716.2	2835.7
MYPOP	518.15	100.83	101.54	403.5	45.85	92.05	80.57	43.32	96.01	98.04	90.14	49.91	69.03	63.45	115.16	74.06	78.34	72.01	78.89	71.5	47.84	85.22	145.02	152.28	353.59	186.4	232.94	211.31	0.0	190.34	162.14	208.38	141.02	186.4	130.6	131.51	149.12	212.78	368.65	438.59	206.94	237.86
NDOR1	208.38	63.89	63.89	237.86	45.21	58.3	44.57	30.12	68.07	53.95	63.45	38.95	58.71	58.3	50.98	55.1	51.71	45.85	53.19	61.25	16.39	35.76	52.45	142.01	299.25	156.59	151.22	371.22	0.0	178.77	180.02	148.09	205.5	255.0	182.55	138.1	165.57	289.02	483.38	363.56	218.79	220.32
NOSIP	3124.78	1183.45	1242.34	2609.3	1191.69	1561.89	633.73	470.14	1359.57	1111.82	1030.12	1191.69	1119.56	884.29	1088.92	1119.56	1340.84	1044.52	1096.5	1143.1	738.29	1119.56	878.17	1844.76	2758.13	2061.24	1551.09	1498.22	0.0	1508.65	1605.83	1909.85	1322.37	1498.22	1457.23	1175.27	1340.84	1651.0	3303.0	2701.35	3665.02	5954.47
NR1H2	2319.15	1159.07	1088.92	2739.08	1268.46	748.61	947.83	438.59	688.78	1051.79	848.22	866.07	1015.93	1081.39	1143.1	785.88	1081.39	848.22	915.51	974.5	1397.83	830.75	947.83	1781.89	2178.83	2133.97	2224.63	2303.12	0.0	1639.59	1617.0	2502.97	2004.85	1806.78	1662.49	1467.37	1769.57	2400.97	1883.54	2004.85	2720.15	1628.26
NUP62	1199.98	242.88	312.0	2004.85	387.02	260.38	387.02	309.83	171.45	454.09	316.37	366.09	470.14	728.11	131.51	373.81	988.12	305.55	262.2	447.82	118.43	287.01	325.29	1096.5	1769.57	909.17	884.29	1119.56	896.64	967.76	775.05	759.08	1030.12	872.1	679.29	733.19	748.61	1001.93	2271.4	1991.0	1233.75	2061.24
OPA3	260.38	82.29	112.77	325.29	109.66	108.9	94.01	90.77	72.52	105.89	77.25	107.38	109.66	129.69	150.17	97.36	105.89	112.77	111.21	105.89	101.54	95.34	137.14	182.55	293.07	163.28	130.6	136.19	140.04	139.07	111.21	204.07	175.07	147.06	153.34	170.25	148.09	262.2	334.46	348.71	289.02	283.05
OVOL2	124.37	6.31	10.88	29.91	38.4	10.71	0.0	1.79	0.93	24.63	0.0	6.73	0.0	7.46	0.0	3.41	0.91	0.0	5.32	10.79	5.11	1.53	0.0	480.04	325.29	493.56	435.55	239.52	0.0	253.23	480.04	297.17	191.67	271.48	366.09	316.37	620.67	490.14	87.65	217.27	228.13	217.27
PAK4	3103.19	486.75	454.09	1806.78	291.04	373.81	480.04	135.24	559.28	343.89	285.03	320.8	346.29	236.21	361.04	698.41	476.71	223.41	387.02	607.87	221.86	497.0	279.14	1369.04	1378.57	1277.29	1167.14	1359.57	387.02	723.08	1295.13	1359.57	854.13	1096.5	890.44	1023.0	825.0	896.64	2351.53	2417.67	1896.65	2835.7
