	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.KK.A6DY.01A.12R.A311.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.G9.6348.01A.11R.1789.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.V1.A9OA.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZTX8.1026.SM.5EGHD
CSAD	35.76	693.58	395.18	665.29	218.79	381.68	1008.9	1769.57	518.15	1388.16	414.87	842.36	878.17	1427.22	1685.71	473.41	551.56	1286.18	836.53	1447.15	460.44	220.32	860.08	275.28	563.18	1447.15	525.39	1628.26	1519.15	182.55	1639.59	928.3	915.51	1096.5	974.5	426.57	878.17	1313.23	171.45	237.86	295.11	759.08	503.95	1313.23	934.76	543.96	163.28	981.29	1151.06	642.59	540.19	1378.57	1769.57	329.84	764.36	624.99	205.5	204.07	1551.09	289.02	1794.29	2682.69	1781.89	1216.75	3690.52	2119.22	1277.29	426.57	305.55	1551.09	1250.98	620.67	728.11	603.67	703.28	460.44	1583.71	514.56	848.22	607.87	1259.69	607.87	1001.93	301.33	373.81	1259.69	665.29	1477.58	279.14	842.36	1350.18	224.97	796.86	1477.58	1268.46	395.18	1447.15	1096.5	1066.48	1733.13	759.08	2240.11	423.61	327.56	941.27	1498.22	674.59	698.41	616.37	1397.83	2627.46	896.64	264.03	934.76	447.82	228.13	1111.82	218.79	579.04	651.58	1313.23	159.9	255.0	271.48	177.53	1295.13	325.29	1111.82	2758.13	674.59	1909.85	603.67	1216.75	1427.22	223.41	1135.2	947.83	301.33	384.34	507.46	1127.35	1819.35	205.5	343.89	470.14	234.57	293.07	674.59	175.07	218.79
CUBN	2.76	0.0	5.59	7.46	2.61	4.54	10.47	16.39	3.92	12.09	3.0	8.25	10.63	10.88	2.89	2.81	6.36	12.27	10.55	27.84	3.92	2.63	9.78	5.06	7.46	5.32	4.54	8.71	16.88	4.13	11.38	10.24	8.06	10.31	11.91	3.5	9.34	16.27	2.23	2.81	2.1	11.3	8.45	10.47	11.55	3.86	2.16	14.24	18.97	8.65	7.4	11.04	13.62	3.63	10.71	7.34	3.66	2.78	15.91	4.46	17.25	9.63	13.52	12.74	12.74	8.0	4.39	1.69	2.71	13.03	14.24	3.76	10.47	3.14	3.17	1.71	8.32	4.82	9.78	6.21	3.92	3.56	11.91	5.82	6.11	17.0	10.79	10.08	5.28	12.64	11.38	3.2	12.27	5.87	9.93	10.08	10.63	13.22	7.4	16.63	7.88	9.48	3.0	1.79	6.57	5.15	6.52	3.47	5.15	20.71	2.56	4.7	4.17	10.24	9.56	3.56	8.32	2.25	4.17	10.71	6.67	1.28	2.73	19.25	1.77	24.11	4.94	8.78	24.99	9.48	25.35	6.16	15.0	6.62	1.57	5.77	7.4	7.63	9.2	7.69	7.46	16.63	3.63	4.1	2.68	2.89	6.16	11.13	1.71	2.34
DCAF8	848.22	1295.13	1572.76	1216.75	1662.49	1477.58	2075.59	2351.53	1447.15	2090.03	1286.18	1551.09	1639.59	2319.15	2133.97	878.17	1832.01	2271.4	2271.4	2537.92	1225.22	1322.37	1857.6	1286.18	2090.03	2520.38	1529.73	2004.85	2303.12	1498.22	2384.37	2400.97	1721.16	1594.73	2178.83	1551.09	2032.85	2209.26	1111.82	1498.22	1151.06	1936.53	1832.01	2351.53	2875.3	1561.89	1359.57	2434.5	2163.77	1709.26	1950.0	1769.57	2627.46	1806.78	1832.01	2178.83	1781.89	1437.15	2816.11	1617.0	2485.67	2609.3	1936.53	2178.83	2018.8	2163.77	1183.45	1167.14	1225.22	2271.4	2758.13	1639.59	1519.15	1757.34	1745.2	1447.15	2573.36	1359.57	2240.11	1709.26	1709.26	2018.8	1745.2	1909.85	1467.37	2075.59	1757.34	2104.58	2032.85	1832.01	1662.49	1662.49	1594.73	2417.67	2701.35	2032.85	2627.46	1733.13	1427.22	2739.08	1242.34	2119.22	1369.04	1467.37	1388.16	2502.97	1909.85	1662.49	2104.58	2434.5	2777.33	3039.3	1242.34	1977.24	1733.13	1427.22	1923.14	1268.46	1870.53	1923.14	2193.99	1175.27	1806.78	1745.2	1023.0	2104.58	1417.35	1662.49	2502.97	1529.73	2163.77	1909.85	1991.0	2351.53	981.29	1936.53	1909.85	1757.34	1709.26	1991.0	1950.0	2400.97	1477.58	1437.15	1697.45	1594.73	1617.0	2004.85	1268.46	1295.13
DDX26B	0.45	1.81	58.3	47.5	32.36	41.52	28.04	133.36	66.65	105.15	30.12	52.82	72.52	88.88	58.71	22.1	70.51	112.77	95.34	209.84	41.52	36.79	38.67	42.71	42.71	125.24	57.49	121.79	98.73	27.44	136.19	49.91	100.83	32.13	90.77	24.81	69.03	64.34	12.45	40.93	25.54	60.39	90.14	98.73	190.34	12.45	13.83	118.43	50.63	34.26	78.34	47.84	167.9	51.71	36.79	44.57	23.59	40.07	140.04	38.12	155.5	143.01	69.03	127.0	85.82	118.43	131.51	49.91	30.56	94.01	123.5	84.04	34.02	47.84	70.51	18.43	81.14	45.21	72.01	66.65	44.57	46.18	114.36	13.32	40.36	92.7	54.33	70.01	28.04	17.64	6.78	34.26	36.53	41.22	132.44	57.08	48.52	52.82	82.29	76.17	16.03	152.28	72.01	43.94	85.22	122.64	66.18	26.86	43.94	150.17	37.05	62.56	19.68	98.04	55.1	18.97	120.1	38.67	53.95	87.03	73.54	27.05	16.27	27.05	29.06	190.34	46.84	55.1	57.89	70.51	129.69	55.1	77.79	29.27	13.83	61.68	76.17	42.11	70.01	62.12	138.1	175.07	51.71	42.71	40.93	50.63	43.02	129.69	41.22	21.63
DDX42	71.5	409.15	1628.26	1143.1	1322.37	1350.18	1216.75	1832.01	1051.79	1721.16	1286.18	1388.16	1685.71	1662.49	1583.71	1242.34	1350.18	1950.0	1639.59	2061.24	1216.75	1369.04	1508.65	1037.29	1313.23	1870.53	1183.45	1417.35	1617.0	1175.27	1794.29	1119.56	1651.0	1437.15	1936.53	1143.1	1519.15	1540.37	1457.23	1216.75	1295.13	1561.89	1529.73	1467.37	2627.46	1151.06	1135.2	1832.01	1519.15	1350.18	1259.69	1487.87	1709.26	1378.57	1331.57	1397.83	1437.15	1340.84	1870.53	1340.84	1909.85	1508.65	1794.29	1733.13	1733.13	1477.58	1225.22	1183.45	1467.37	1498.22	2104.58	1388.16	1369.04	1259.69	1498.22	1331.57	1697.45	1447.15	1628.26	1417.35	1561.89	1397.83	1417.35	1359.57	1467.37	1832.01	1397.83	1832.01	1378.57	1447.15	1340.84	1487.87	1407.55	1870.53	2573.36	1594.73	2090.03	1304.15	1487.87	2287.2	1322.37	1639.59	1639.59	1350.18	1437.15	1639.59	1572.76	1127.35	1594.73	1674.06	1896.65	2255.7	1350.18	1551.09	1551.09	1286.18	1583.71	1259.69	1250.98	1313.23	2018.8	1073.91	1111.82	1225.22	896.64	1605.83	1277.29	1427.22	1794.29	1427.22	1806.78	1277.29	1674.06	2133.97	1295.13	1467.37	1561.89	1225.22	1519.15	1242.34	1407.55	1757.34	607.87	1359.57	1378.57	1359.57	1407.55	1529.73	1259.69	1088.92
DFFB	8.32	16.15	164.42	120.94	61.68	62.56	80.57	155.5	111.99	145.02	70.01	119.26	64.34	129.69	148.09	80.57	96.68	102.97	111.21	193.01	76.17	57.49	120.94	27.25	105.89	137.14	101.54	98.73	156.59	60.39	85.22	88.26	140.04	145.02	126.12	80.01	96.68	165.57	71.5	34.02	60.82	90.14	124.37	122.64	132.44	95.34	78.34	125.24	102.97	74.06	90.14	96.01	138.1	80.01	92.7	134.3	81.14	78.89	132.44	85.82	166.73	206.94	169.07	126.12	98.04	169.07	158.79	90.14	50.27	99.43	161.02	128.79	92.05	128.79	74.58	92.7	96.68	88.88	111.99	92.05	115.97	94.67	88.26	84.63	75.64	129.69	75.64	159.9	90.77	139.07	135.24	57.89	133.36	158.79	140.04	59.13	144.01	127.89	108.14	197.09	101.54	125.24	97.36	92.05	106.63	139.07	98.73	111.99	97.36	165.57	183.82	110.43	81.71	92.05	84.04	69.03	121.79	64.8	100.83	88.88	145.02	54.33	53.57	69.03	54.33	152.28	67.12	124.37	221.86	113.56	163.28	72.01	97.36	120.1	76.71	103.69	147.06	57.49	57.49	71.0	59.13	146.03	61.68	53.95	43.94	49.91	59.13	91.41	47.84	50.98
DMTF1	75.11	79.45	423.61	412.0	358.54	379.04	521.76	802.41	466.88	679.29	332.14	633.73	733.19	708.18	728.11	660.68	567.1	848.22	629.35	1208.34	480.04	343.89	665.29	379.04	536.45	759.08	543.96	703.28	947.83	251.48	1242.34	703.28	420.68	890.44	769.69	466.88	638.15	466.88	217.27	239.52	414.87	633.73	547.75	718.08	1037.29	450.94	234.57	1151.06	753.83	547.75	941.27	669.92	896.64	332.14	616.37	511.0	356.05	312.0	1008.9	420.68	1066.48	1081.39	1073.91	713.11	796.86	796.86	341.51	275.28	275.28	738.29	854.13	529.06	438.59	679.29	536.45	271.48	802.41	480.04	599.49	579.04	521.76	555.41	825.0	397.93	397.93	785.88	624.99	718.08	463.65	1073.91	660.68	287.01	457.25	642.59	1037.29	607.87	872.1	503.95	603.67	947.83	607.87	775.05	447.82	277.2	473.41	679.29	518.15	368.65	571.05	896.64	1051.79	854.13	293.07	656.11	616.37	329.84	848.22	323.03	368.65	669.92	733.19	262.2	373.81	351.14	301.33	1111.82	363.56	620.67	1066.48	507.46	902.89	674.59	802.41	603.67	358.54	476.71	583.07	490.14	447.82	547.75	759.08	842.36	423.61	295.11	341.51	253.23	426.57	743.43	265.87	229.72
DNAH1	1.69	10.0	56.68	48.52	57.08	66.65	72.01	153.34	43.32	136.19	53.95	78.89	122.64	140.04	183.82	57.89	81.14	195.72	80.01	158.79	52.45	50.98	102.25	48.87	106.63	140.04	69.52	102.97	140.04	38.12	177.53	75.11	96.01	120.94	157.68	56.68	88.88	134.3	39.5	25.72	32.82	108.14	99.43	195.72	88.88	77.79	38.12	83.45	102.25	52.82	100.13	143.01	171.45	44.25	72.52	66.18	40.07	26.28	134.3	34.75	194.36	159.9	131.51	119.26	72.52	125.24	67.12	52.45	41.52	114.36	123.5	63.45	69.03	77.79	90.77	50.27	150.17	116.78	73.03	96.68	167.9	102.97	100.83	36.27	54.33	123.5	135.24	165.57	54.33	89.51	87.03	47.17	86.43	187.71	255.0	65.72	189.02	85.22	100.83	143.01	53.19	182.55	87.03	29.48	98.04	162.14	120.94	50.98	136.19	135.24	234.57	147.06	85.22	85.22	65.72	52.08	181.28	43.32	72.52	96.68	129.69	35.5	47.5	53.95	34.51	122.64	51.71	100.13	231.32	76.17	181.28	52.82	139.07	143.01	98.04	122.64	206.94	36.53	38.67	56.28	87.65	189.02	15.34	37.59	33.3	33.78	46.5	88.88	22.1	33.78
DNHD1	22.1	9.78	50.98	81.71	28.86	50.98	100.83	139.07	68.07	102.25	37.05	69.03	92.05	117.6	141.02	22.43	59.55	133.36	85.82	143.01	47.17	32.59	103.69	32.13	42.71	140.04	58.3	105.15	136.19	23.08	123.5	56.28	82.29	135.24	84.63	43.02	100.13	91.41	16.03	37.32	30.56	53.19	66.18	154.42	133.36	53.19	18.43	76.17	75.64	60.82	65.26	76.71	125.24	36.79	54.33	56.28	28.24	24.46	116.78	24.99	204.07	134.3	132.44	99.43	157.68	183.82	48.87	40.64	28.86	81.71	117.6	81.14	68.55	53.95	50.63	27.05	158.79	85.82	64.8	68.55	85.22	55.1	71.0	46.5	54.72	106.63	66.18	98.04	32.36	128.79	69.52	14.14	91.41	120.1	108.9	38.95	121.79	63.0	93.35	165.57	61.68	215.77	24.99	32.82	83.45	154.42	75.64	104.42	41.81	108.9	253.23	80.01	14.35	74.58	62.56	33.78	171.45	34.26	96.68	89.51	106.63	32.36	32.13	29.7	22.1	143.01	46.84	79.45	190.34	100.13	156.59	49.21	90.14	73.54	22.59	55.1	82.29	31.22	49.91	38.95	71.0	182.55	39.5	40.07	20.26	48.18	49.21	51.35	26.1	12.55
DOT1L	17.0	96.68	129.69	92.05	127.89	101.54	135.24	215.77	121.79	140.04	100.13	229.72	242.88	206.94	209.84	81.71	142.01	205.5	94.01	186.4	111.21	117.6	212.78	118.43	148.09	221.86	111.21	107.38	236.21	134.3	155.5	126.12	141.02	251.48	262.2	148.09	132.44	183.82	62.12	73.03	87.65	162.14	158.79	234.57	241.19	155.5	109.66	161.02	197.09	107.38	129.69	120.94	241.19	158.79	113.56	139.07	157.68	109.66	253.23	187.71	239.52	199.85	151.22	205.5	155.5	244.57	144.01	115.16	102.97	169.07	271.48	146.03	66.65	146.03	127.89	56.28	237.86	150.17	130.6	115.16	226.54	150.17	115.97	215.77	181.28	176.29	169.07	218.79	241.19	195.72	172.65	94.01	151.22	277.2	379.04	271.48	264.03	150.17	115.97	262.2	180.02	175.07	66.18	139.07	136.19	162.14	189.02	129.69	158.79	249.73	220.32	189.02	126.12	131.51	158.79	141.02	209.84	205.5	155.5	169.07	211.31	83.45	201.25	111.99	65.26	125.24	130.6	109.66	197.09	129.69	156.59	147.06	161.02	262.2	187.71	183.82	170.25	78.89	150.17	132.44	102.25	226.54	34.02	113.56	124.37	94.67	136.19	94.67	71.0	111.21
EBLN2	0.0	0.39	5.41	0.0	5.11	7.57	9.2	20.26	1.75	10.79	6.31	18.16	17.38	17.51	23.59	4.28	9.85	36.27	10.47	28.04	4.17	5.11	27.84	1.85	14.78	16.63	4.82	13.22	21.63	5.82	27.44	18.29	14.24	15.8	12.27	9.06	9.27	15.34	4.82	2.56	4.94	13.83	13.52	20.71	27.05	10.55	3.29	46.18	19.39	4.62	11.64	16.75	31.0	6.21	19.39	6.36	9.13	2.01	30.56	6.11	31.45	28.04	17.9	18.16	20.71	25.54	3.44	1.89	4.35	21.63	29.27	12.74	3.06	15.22	5.32	1.89	41.22	14.24	11.91	5.15	6.41	11.04	14.45	11.55	8.85	15.45	17.13	17.77	11.82	20.86	15.45	5.77	10.0	23.42	39.5	15.22	25.35	15.91	13.32	32.36	15.22	26.86	5.45	1.48	2.84	19.39	21.47	2.36	5.45	28.04	36.53	10.63	0.96	7.94	15.34	2.41	20.26	3.89	6.57	12.36	14.03	1.93	3.89	9.85	1.48	14.89	8.85	8.65	17.9	7.28	20.86	10.39	15.8	9.41	5.36	14.14	13.83	11.13	8.06	9.7	6.78	30.12	7.94	8.0	6.52	2.56	7.28	11.38	0.0	3.5
ENGASE	44.25	58.3	246.28	279.14	208.38	231.32	336.79	753.83	429.54	638.15	141.02	483.38	473.41	536.45	890.44	281.09	332.14	473.41	420.68	981.29	214.27	208.38	503.95	191.67	260.38	629.35	201.25	656.11	579.04	185.11	708.18	353.59	387.02	409.15	454.09	264.03	348.71	669.92	87.03	166.73	183.82	454.09	358.54	507.46	500.46	220.32	171.45	476.71	395.18	234.57	438.59	400.71	587.13	244.57	334.46	397.93	229.72	144.01	921.88	204.07	651.58	381.68	638.15	547.75	896.64	660.68	334.46	262.2	172.65	723.08	693.58	334.46	154.42	275.28	301.33	297.17	674.59	318.57	486.75	363.56	607.87	265.87	271.48	208.38	287.01	551.56	303.44	599.49	283.05	339.14	353.59	170.25	420.68	703.28	813.63	285.03	392.44	343.89	444.72	612.11	368.65	748.61	206.94	209.84	511.0	656.11	336.79	239.52	351.14	785.88	738.29	599.49	180.02	301.33	248.0	246.28	559.28	241.19	395.18	283.05	665.29	248.0	156.59	253.23	163.28	571.05	246.28	397.93	624.99	318.57	802.41	371.22	373.81	607.87	279.14	511.0	624.99	197.09	251.48	275.28	457.25	974.5	102.25	167.9	265.87	215.77	237.86	417.77	135.24	236.21
ENTHD2	35.25	99.43	281.09	351.14	195.72	289.02	307.69	713.11	303.44	518.15	241.19	387.02	438.59	529.06	579.04	305.55	358.54	447.82	327.56	830.75	281.09	239.52	454.09	166.73	279.14	480.04	373.81	473.41	616.37	193.01	591.22	336.79	363.56	500.46	403.5	271.48	403.5	579.04	167.9	258.57	239.52	387.02	500.46	412.0	314.17	297.17	167.9	466.88	409.15	353.59	325.29	435.55	444.72	223.41	332.14	348.71	211.31	118.43	587.13	149.12	583.07	603.67	493.56	547.75	429.54	607.87	356.05	379.04	205.5	463.65	698.41	381.68	244.57	366.09	332.14	244.57	567.1	312.0	403.5	353.59	583.07	275.28	417.77	204.07	135.24	507.46	307.69	483.38	206.94	267.73	271.48	204.07	392.44	587.13	599.49	265.87	334.46	435.55	417.77	486.75	332.14	529.06	182.55	220.32	441.64	454.09	384.34	389.72	348.71	587.13	532.74	417.77	199.85	426.57	277.2	218.79	432.53	198.47	285.03	444.72	591.22	172.65	154.42	177.53	221.86	587.13	275.28	521.76	836.53	384.34	748.61	332.14	463.65	450.94	273.37	412.0	420.68	231.32	265.87	147.06	400.71	748.61	155.5	265.87	253.23	211.31	226.54	339.14	185.11	248.0
FAM156A	9.78	23.59	176.29	214.27	44.57	201.25	131.51	486.75	180.02	363.56	120.94	244.57	182.55	381.68	366.09	149.12	182.55	420.68	185.11	642.59	142.01	84.04	151.22	92.05	156.59	314.17	195.72	295.11	387.02	68.55	332.14	217.27	265.87	444.72	236.21	142.01	154.42	316.37	67.12	103.69	100.83	214.27	197.09	476.71	258.57	157.68	31.9	318.57	281.09	117.6	178.77	316.37	301.33	105.89	327.56	217.27	105.89	104.42	366.09	106.63	575.03	346.29	483.38	307.69	275.28	215.77	215.77	104.42	46.18	269.6	403.5	212.78	60.82	201.25	85.82	139.07	264.03	85.22	232.94	157.68	351.14	248.0	231.32	103.69	125.24	153.34	178.77	423.61	105.15	223.41	181.28	70.51	190.34	285.03	432.53	127.89	397.93	205.5	248.0	466.88	120.1	490.14	80.01	80.57	202.66	376.41	88.88	175.07	211.31	285.03	473.41	275.28	143.01	299.25	191.67	104.42	392.44	114.36	126.12	251.48	299.25	69.52	100.83	90.77	101.54	559.28	84.63	395.18	518.15	158.79	525.39	143.01	271.48	497.0	92.05	202.66	239.52	120.1	95.34	135.24	194.36	518.15	123.5	57.89	87.03	121.79	124.37	248.0	74.06	131.51
FAM194B	0.0	3.32	0.0	4.9	6.57	15.45	10.88	40.36	18.16	21.01	10.63	33.78	22.43	43.63	22.59	13.72	33.78	27.44	28.24	37.59	13.03	0.0	13.32	5.41	11.3	31.22	23.76	27.25	20.41	16.15	45.53	59.97	20.71	22.75	34.51	17.13	13.93	57.08	13.52	2.89	6.36	19.82	18.43	15.68	21.16	13.52	0.0	49.91	29.27	12.55	12.55	29.48	27.25	7.82	33.3	26.28	3.35	12.0	27.05	4.78	35.5	77.79	27.05	23.08	15.22	20.41	26.47	8.78	21.94	28.24	41.52	10.71	20.71	14.45	33.06	19.68	23.93	8.0	17.9	10.0	37.85	13.32	40.64	3.79	9.06	14.56	2.68	22.1	13.62	4.98	9.63	7.34	29.7	30.34	50.27	10.39	44.57	26.67	48.87	21.78	43.63	23.25	20.41	5.32	14.45	39.22	17.13	3.66	22.59	35.76	14.56	7.82	2.61	15.68	8.85	7.22	25.72	0.0	14.24	14.24	19.39	2.23	7.4	2.78	4.28	31.0	12.45	16.27	30.78	14.78	54.72	9.93	28.04	27.84	5.92	19.39	32.13	8.85	11.91	13.12	17.13	37.59	7.06	0.0	5.11	7.57	2.63	23.59	2.58	2.61
FAM76B	30.12	93.35	220.32	97.36	161.02	159.9	269.6	297.17	127.0	258.57	149.12	193.01	189.02	346.29	320.8	175.07	199.85	379.04	267.73	412.0	163.28	142.01	255.0	93.35	194.36	438.59	201.25	217.27	267.73	106.63	457.25	221.86	271.48	223.41	426.57	195.72	224.97	323.03	89.51	117.6	122.64	275.28	249.73	287.01	412.0	153.34	112.77	575.03	248.0	217.27	325.29	190.34	373.81	181.28	303.44	236.21	143.01	156.59	463.65	224.97	366.09	493.56	289.02	295.11	275.28	329.84	132.44	89.51	119.26	256.78	473.41	318.57	161.02	237.86	366.09	118.43	301.33	248.0	234.57	212.78	212.78	226.54	256.78	209.84	163.28	444.72	376.41	336.79	170.25	320.8	334.46	165.57	171.45	248.0	620.67	217.27	341.51	166.73	220.32	457.25	275.28	444.72	273.37	108.9	132.44	346.29	265.87	112.77	255.0	265.87	412.0	237.86	139.07	246.28	241.19	87.03	303.44	110.43	208.38	189.02	329.84	115.16	167.9	143.01	96.01	283.05	208.38	249.73	223.41	194.36	334.46	271.48	289.02	361.04	103.69	183.82	348.71	189.02	166.73	255.0	220.32	262.2	144.01	105.89	132.44	121.79	136.19	236.21	103.69	124.37
