	TCGA.LL.A440.01A.11R.A24H.07	TCGA.B8.4148.01A.02R.1325.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.56.7580.11A.01R.2045.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.BR.A4J5.01A.21R.A251.31	TCGA.BR.8590.01A.11R.2402.13	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.CG.4474.01A.02R.1157.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.RD.A8NB.01A.12R.A39E.31	TCGA.HU.A4G8.01A.11R.A251.31	TCGA.BR.4362.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.VQ.A922.01A.11R.A414.31	TCGA.VQ.A8PB.01A.11R.A39E.31	TCGA.BR.4361.01A.01R.1157.13	TCGA.CG.4305.01A.01R.1157.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.4253.01A.01R.1131.13	TCGA.CG.4465.01A.01R.1157.13	TCGA.BR.4357.01A.01R.1157.13	TCGA.VQ.A8P8.01A.11R.A39E.31
ENC1	507.46	236.21	363.56	181.28	363.56	384.34	79.45	457.25	624.99	890.44	698.41	543.96	301.33	146.03	209.84	373.81	463.65	42.41	381.68	186.4	256.78	579.04	1216.75	334.46	361.04	420.68	287.01	161.02	92.05	323.03	356.05	967.76	1407.55	1104.13	1806.78	947.83	1088.92	1572.76	1870.53	1605.83	571.05	2682.69	665.29	1819.35	860.08	1369.04	1208.34	872.1	1159.07	775.05
ERCC6L	18.43	7.82	4.39	4.74	1.71	5.41	0.24	1.46	0.0	2.43	4.43	0.58	2.56	0.09	1.69	0.96	2.16	0.0	0.88	0.61	0.91	1.53	1.81	2.63	2.66	2.41	2.63	2.25	0.0	0.55	6.26	31.22	15.8	44.89	20.26	34.51	21.01	57.49	74.58	101.54	87.65	106.63	98.73	98.04	49.56	7.34	228.13	60.82	122.64	22.92
EXO1	51.71	27.84	13.52	31.9	6.41	6.73	1.27	5.63	3.41	1.1	2.58	0.0	0.65	2.86	1.03	2.94	0.0	1.06	7.75	0.67	6.21	15.56	6.57	0.0	3.96	0.0	2.43	4.86	6.31	2.1	24.11	78.34	67.12	199.85	44.25	104.42	44.89	112.77	291.04	202.66	423.61	231.32	267.73	316.37	150.17	44.25	209.84	108.14	224.97	89.51
EZH2	161.02	232.94	81.14	98.73	12.93	54.72	13.72	22.26	12.55	31.67	30.12	12.55	13.03	21.63	22.43	20.26	27.84	22.92	46.84	11.04	28.86	29.91	22.26	12.45	58.71	21.63	27.84	34.26	6.67	9.13	92.7	339.14	314.17	251.48	205.5	656.11	258.57	412.0	733.19	1059.11	384.34	607.87	738.29	802.41	638.15	176.29	733.19	429.54	665.29	303.44
FANCB	13.22	8.71	7.22	5.23	0.16	4.86	0.0	0.0	0.0	0.2	0.0	0.21	4.54	6.41	0.92	0.6	0.22	0.0	1.77	1.55	0.97	1.07	3.0	5.11	0.92	2.66	0.0	4.98	0.26	10.47	13.72	18.84	11.3	14.45	12.55	28.45	26.86	55.89	70.51	27.44	82.87	78.89	47.84	70.01	40.93	10.63	102.97	31.9	55.49	15.68
FANCI	194.36	171.45	66.18	73.03	8.06	23.25	13.22	24.81	34.26	18.97	13.72	7.75	30.34	36.53	9.06	13.42	20.86	8.92	8.71	9.27	36.01	52.08	33.06	18.16	42.41	19.11	35.25	46.5	8.32	11.3	312.0	447.82	267.73	312.0	236.21	373.81	265.87	638.15	1159.07	1008.9	813.63	1487.87	947.83	995.0	559.28	127.89	1030.12	521.76	981.29	358.54
FBXO5	108.14	94.67	67.12	55.89	33.78	13.22	19.25	32.36	20.56	16.39	28.86	29.27	37.32	30.56	13.22	38.12	73.03	30.34	70.51	22.75	24.11	43.02	55.89	47.17	46.18	22.59	33.3	70.51	20.86	59.55	103.69	171.45	133.36	127.0	99.43	191.67	208.38	228.13	295.11	447.82	334.46	392.44	226.54	397.93	229.72	92.7	381.68	237.86	395.18	152.28
FOXM1	162.14	170.25	122.64	122.64	14.67	57.08	12.18	60.39	17.64	21.47	36.01	17.0	25.35	23.42	16.75	24.63	38.95	35.5	21.94	21.16	31.45	31.22	46.5	22.43	40.64	72.01	26.1	43.63	1.99	41.52	98.04	647.07	303.44	287.01	224.97	728.11	214.27	1250.98	1277.29	860.08	1191.69	1540.37	1008.9	1073.91	473.41	139.07	808.0	575.03	1208.34	620.67
GART	753.83	796.86	571.05	595.34	356.05	435.55	301.33	400.71	438.59	343.89	373.81	301.33	351.14	363.56	420.68	325.29	381.68	285.03	329.84	314.17	447.82	466.88	361.04	412.0	373.81	346.29	406.31	417.77	267.73	320.8	743.43	1015.93	866.07	1369.04	995.0	1467.37	860.08	1295.13	1183.45	1250.98	1417.35	1313.23	1369.04	1322.37	1268.46	1023.0	1685.71	1359.57	1143.1	1059.11
GPSM2	205.5	111.21	61.25	37.59	16.75	11.38	5.15	11.38	11.82	12.27	10.16	12.09	44.25	6.31	9.13	12.0	31.9	16.15	0.75	8.32	19.11	30.34	46.18	15.22	35.5	18.56	18.43	49.21	6.11	25.54	183.82	343.89	287.01	234.57	241.19	438.59	201.25	412.0	325.29	403.5	536.45	836.53	669.92	587.13	476.71	279.14	503.95	497.0	629.35	332.14
GSG2	27.64	17.51	7.63	2.63	0.56	0.96	1.81	1.08	0.62	0.18	1.11	0.0	1.57	3.29	0.55	0.0	1.16	0.16	3.26	2.14	0.59	1.58	0.0	2.58	2.66	0.0	3.08	0.16	0.25	0.0	19.39	81.14	42.41	92.05	53.57	65.72	64.34	170.25	206.94	144.01	130.6	205.5	116.78	96.01	70.51	27.64	154.42	92.05	98.73	63.89
GTF3C2	848.22	954.43	728.11	412.0	334.46	260.38	575.03	514.56	507.46	325.29	713.11	356.05	819.3	246.28	376.41	607.87	591.22	301.33	314.17	432.53	454.09	500.46	518.15	457.25	514.56	669.92	246.28	599.49	164.42	368.65	813.63	1350.18	995.0	954.43	1104.13	1378.57	1350.18	1304.15	1127.35	830.75	1721.16	1819.35	1286.18	1233.75	1437.15	854.13	1001.93	1044.52	1359.57	708.18
HDAC1	1508.65	1844.76	1806.78	954.43	854.13	738.29	395.18	1015.93	575.03	753.83	1119.56	791.35	1073.91	629.35	651.58	802.41	866.07	718.08	866.07	743.43	819.3	1183.45	769.69	1088.92	896.64	693.58	684.02	1073.91	450.94	638.15	1498.22	2956.17	2104.58	2434.5	2319.15	2835.7	2537.92	2384.37	5112.16	3639.7	3168.41	3564.78	3639.7	3039.3	3349.13	1896.65	3665.02	3665.02	5219.6	3060.45
HJURP	73.03	59.97	50.98	37.05	6.01	9.93	139.07	23.93	10.24	15.22	7.28	4.78	6.89	3.32	42.11	0.0	6.06	3.23	4.86	19.97	25.17	15.68	19.25	3.89	3.92	6.36	6.57	17.64	4.31	25.54	49.56	187.71	103.69	111.21	52.08	226.54	78.89	248.0	466.88	629.35	291.04	532.74	389.72	417.77	297.17	48.18	384.34	251.48	551.56	161.02
HMMR	82.29	32.36	39.79	52.82	8.32	24.81	5.15	4.43	12.64	15.8	11.13	7.88	8.45	8.32	4.66	8.19	5.96	3.72	17.9	6.36	7.17	15.34	19.11	5.36	13.83	4.66	10.08	6.62	2.51	9.27	60.82	199.85	152.28	332.14	91.41	329.84	119.26	190.34	759.08	258.57	283.05	511.0	1059.11	813.63	429.54	62.12	674.59	629.35	796.86	234.57
HNRNPL	4802.93	4268.94	3768.09	3190.46	2193.99	1991.0	1963.57	3303.0	3491.39	2997.45	3443.31	2271.4	2855.44	2520.38	1745.2	2271.4	2047.0	1745.2	3955.48	2555.58	2664.15	3212.66	3395.89	2468.49	2720.15	2875.3	2664.15	2956.17	3564.78	1628.26	4671.57	3955.48	4937.99	4639.29	5076.84	7695.57	4607.24	4268.94	5913.33	7537.18	6471.02	6337.83	6250.56	6699.25	5366.37	4704.07	6935.54	6983.79	7803.01	5255.91
HNRNPR	1617.0	1594.73	1167.14	1015.93	616.37	1111.82	463.65	476.71	536.45	808.0	551.56	567.1	708.18	684.02	688.78	616.37	612.11	759.08	521.76	480.04	723.08	775.05	743.43	595.34	624.99	454.09	764.36	796.86	928.3	723.08	1594.73	1781.89	2018.8	1923.14	1572.76	2720.15	1870.53	1819.35	2976.74	2032.85	2664.15	2485.67	2485.67	3589.58	1963.57	1896.65	3820.7	2609.3	3564.78	1991.0
ILF3	2537.92	2520.38	2032.85	941.27	536.45	842.36	988.12	1183.45	764.36	563.18	890.44	836.53	884.29	493.56	842.36	603.67	738.29	460.44	1127.35	934.76	647.07	921.88	830.75	567.1	764.36	860.08	551.56	981.29	260.38	616.37	1950.0	2573.36	2119.22	2400.97	2520.38	4010.71	2133.97	2701.35	2758.13	3467.27	3372.43	3491.39	2915.45	2956.17	3212.66	2502.97	4181.07	2835.7	3146.52	2193.99
INCENP	260.38	241.19	129.69	77.79	22.43	23.76	17.9	57.08	15.45	33.3	18.43	29.27	34.75	43.02	72.52	23.76	104.42	31.9	38.67	45.53	67.59	47.17	54.33	74.58	50.63	55.1	50.27	45.21	31.0	33.78	218.79	361.04	289.02	532.74	332.14	476.71	279.14	480.04	974.5	620.67	521.76	1030.12	764.36	587.13	444.72	325.29	414.87	363.56	1073.91	403.5
IQGAP3	135.24	62.12	35.25	54.33	1.97	21.78	1.19	0.26	1.39	4.31	1.06	0.27	1.81	3.47	1.27	1.38	2.71	2.71	0.96	1.08	6.62	11.47	4.82	5.28	5.32	0.99	4.39	4.06	0.0	0.26	46.84	353.59	191.67	199.85	135.24	195.72	98.04	426.57	616.37	780.44	743.43	1096.5	583.07	738.29	406.31	64.8	381.68	212.78	1143.1	348.71
KIF11	70.01	72.01	29.06	31.0	4.39	11.38	11.73	7.63	8.92	6.78	12.55	3.86	10.0	6.57	8.0	10.31	12.27	3.35	12.0	9.78	9.27	15.0	7.75	10.24	15.0	15.56	5.23	10.39	5.82	15.56	51.71	320.8	129.69	195.72	106.63	285.03	167.9	406.31	435.55	384.34	256.78	371.22	819.3	551.56	223.41	69.52	540.19	334.46	339.14	327.56
KIF20A	84.04	65.26	41.81	29.27	0.0	19.82	3.26	0.0	0.83	8.85	11.47	3.99	3.41	3.26	3.99	2.36	1.97	0.8	10.24	2.51	6.84	11.04	8.51	5.92	5.28	19.53	8.06	8.85	5.41	13.52	85.22	189.02	98.73	187.71	76.17	234.57	69.03	318.57	346.29	303.44	198.47	514.56	412.0	532.74	320.8	50.27	376.41	260.38	708.18	177.53
KIF20B	68.07	102.25	34.75	35.25	19.11	22.26	16.15	17.64	10.63	15.22	17.64	12.74	10.39	17.38	21.47	22.43	31.0	7.0	13.12	16.03	27.64	24.63	20.56	15.45	30.34	19.82	11.04	20.26	7.17	21.78	53.95	228.13	147.06	177.53	119.26	189.02	191.67	155.5	273.37	211.31	162.14	297.17	273.37	381.68	202.66	63.0	293.07	232.94	295.11	190.34
KIF23	120.94	91.41	34.51	22.75	6.26	9.27	2.61	1.43	9.7	4.66	4.03	0.22	1.03	7.34	1.28	10.47	8.19	5.59	10.08	4.17	9.78	44.25	8.92	6.21	8.51	0.0	6.78	11.55	4.03	3.11	88.26	368.65	193.01	201.25	132.44	395.18	190.34	334.46	529.06	728.11	656.11	1477.58	890.44	703.28	441.64	92.7	947.83	500.46	1111.82	309.83
KNSTRN	231.32	172.65	145.02	191.67	59.97	100.83	120.1	119.26	71.5	102.97	94.67	120.94	102.97	187.71	107.38	81.71	92.05	138.1	133.36	141.02	95.34	73.54	98.04	180.02	109.66	110.43	58.3	173.85	123.5	111.21	182.55	379.04	351.14	511.0	234.57	713.11	289.02	591.22	878.17	1030.12	1051.79	1143.1	1059.11	1350.18	693.58	251.48	1151.06	753.83	1167.14	381.68
KNTC1	285.03	285.03	231.32	155.5	30.56	256.78	37.05	72.52	95.34	61.25	89.51	52.08	70.01	108.14	79.45	41.81	153.34	49.56	35.0	31.22	117.6	108.9	117.6	73.54	128.79	70.51	85.82	307.69	12.83	57.08	206.94	775.05	490.14	412.0	575.03	764.36	921.88	665.29	1111.82	796.86	1397.83	679.29	1081.39	1268.46	775.05	400.71	896.64	583.07	890.44	612.11
LEO1	376.41	373.81	334.46	511.0	293.07	291.04	185.11	194.36	309.83	361.04	175.07	312.0	193.01	314.17	242.88	218.79	285.03	239.52	244.57	241.19	307.69	376.41	248.0	336.79	236.21	127.89	412.0	329.84	198.47	217.27	332.14	493.56	473.41	457.25	473.41	616.37	500.46	559.28	620.67	612.11	708.18	457.25	518.15	934.76	543.96	353.59	764.36	743.43	1059.11	620.67
LMNB1	215.77	242.88	189.02	224.97	63.45	105.89	17.77	46.84	42.41	96.01	87.03	78.89	46.18	126.12	33.06	73.03	159.9	83.45	114.36	177.53	115.16	152.28	132.44	129.69	121.79	55.1	81.71	99.43	131.51	180.02	312.0	713.11	376.41	441.64	551.56	743.43	412.0	988.12	1651.0	1073.91	656.11	1081.39	1135.2	1286.18	703.28	426.57	1277.29	981.29	1066.48	599.49
LRR1	155.5	143.01	124.37	137.14	50.98	155.5	87.65	150.17	244.57	97.36	108.9	100.13	80.01	81.14	118.43	101.54	117.6	87.03	119.26	105.15	78.89	54.72	185.11	79.45	166.73	71.5	72.52	123.5	50.27	283.05	181.28	167.9	309.83	318.57	175.07	291.04	285.03	285.03	297.17	363.56	432.53	432.53	297.17	323.03	236.21	201.25	507.46	343.89	239.52	260.38
MAPK6	423.61	414.87	583.07	620.67	275.28	435.55	150.17	336.79	486.75	728.11	265.87	316.37	309.83	204.07	182.55	239.52	525.39	514.56	361.04	309.83	483.38	470.14	426.57	297.17	497.0	229.72	507.46	361.04	307.69	473.41	323.03	698.41	536.45	507.46	599.49	674.59	629.35	669.92	567.1	836.53	642.59	529.06	688.78	679.29	555.41	329.84	665.29	759.08	1023.0	728.11
MCM10	23.76	24.63	11.04	25.17	2.14	6.94	0.0	7.11	0.89	3.23	0.0	0.95	2.36	8.19	0.39	0.89	2.48	6.21	3.56	0.0	6.36	3.89	4.46	0.0	6.06	0.0	3.79	5.32	3.76	2.36	29.48	50.63	49.56	76.17	18.97	120.94	47.5	117.6	249.73	242.88	262.2	193.01	180.02	271.48	69.03	36.53	208.38	157.68	273.37	43.32
MKI67	99.43	139.07	44.57	41.52	5.5	31.67	5.63	9.06	3.35	7.88	3.99	1.3	4.98	4.74	5.92	3.82	3.56	3.17	2.2	0.75	4.74	27.64	9.56	3.47	12.36	1.23	7.75	11.82	2.01	3.41	86.43	748.61	232.94	409.15	269.6	665.29	283.05	866.07	1250.98	1350.18	435.55	1331.57	1551.09	1167.14	540.19	176.29	1369.04	836.53	791.35	563.18
MLF1IP	236.21	186.4	130.6	191.67	8.85	146.03	36.79	30.12	42.71	71.0	39.22	26.28	29.27	118.43	14.03	49.91	40.36	33.78	16.88	40.36	66.65	44.57	90.77	28.65	68.07	46.5	88.26	59.13	20.56	36.79	146.03	320.8	220.32	353.59	102.25	463.65	293.07	312.0	656.11	796.86	616.37	1199.98	733.19	995.0	595.34	98.04	1175.27	432.53	460.44	332.14
MMS22L	55.89	53.57	23.25	29.91	10.71	14.89	5.41	7.0	3.5	6.31	11.21	5.73	6.06	13.62	12.18	36.27	5.41	4.06	3.72	5.92	13.52	8.92	7.0	8.99	18.29	9.34	7.69	27.25	3.2	5.06	63.0	120.94	108.9	100.83	106.63	175.07	109.66	137.14	273.37	305.55	232.94	87.65	220.32	241.19	144.01	77.25	285.03	151.22	98.73	94.67
MND1	52.45	27.44	30.56	85.82	0.0	18.03	5.82	4.7	10.39	13.12	21.16	8.71	0.0	14.14	0.0	14.45	8.85	6.57	11.38	6.06	0.0	14.56	14.03	0.0	11.04	6.78	27.84	11.21	3.17	0.0	29.27	47.17	109.66	37.85	47.5	167.9	88.88	136.19	226.54	301.33	267.73	149.12	269.6	460.44	198.47	42.11	423.61	277.2	231.32	122.64
MPHOSPH10	525.39	438.59	486.75	409.15	307.69	366.09	466.88	346.29	371.22	314.17	353.59	293.07	281.09	267.73	460.44	470.14	412.0	253.23	336.79	325.29	271.48	346.29	642.59	371.22	307.69	339.14	277.2	441.64	209.84	341.51	463.65	518.15	583.07	583.07	423.61	551.56	647.07	567.1	660.68	575.03	753.83	599.49	579.04	743.43	559.28	532.74	624.99	624.99	473.41	514.56
MTA3	591.22	353.59	412.0	262.2	221.86	305.55	157.68	175.07	228.13	221.86	232.94	273.37	291.04	182.55	198.47	246.28	283.05	183.82	94.01	297.17	191.67	264.03	363.56	256.78	381.68	291.04	339.14	231.32	177.53	194.36	490.14	525.39	718.08	579.04	583.07	748.61	638.15	547.75	764.36	518.15	703.28	802.41	785.88	830.75	665.29	629.35	629.35	599.49	878.17	555.41
NCAPD2	629.35	320.8	195.72	139.07	56.68	69.03	53.57	157.68	76.17	45.53	106.63	49.21	82.87	64.8	113.56	70.51	121.79	29.27	127.89	46.84	90.77	83.45	65.26	67.59	165.57	205.5	42.71	84.63	17.25	36.01	376.41	896.64	454.09	708.18	819.3	1051.79	507.46	902.89	1242.34	791.35	1104.13	1832.01	1277.29	967.76	660.68	595.34	836.53	878.17	1529.73	769.69
NCAPG2	253.23	150.17	92.7	75.64	62.56	94.67	29.27	54.33	40.64	39.22	33.06	41.81	34.51	75.64	36.01	36.01	48.52	26.1	42.11	34.75	38.95	145.02	55.49	37.05	68.07	55.89	38.95	51.71	39.22	50.63	145.02	379.04	194.36	289.02	180.02	429.54	226.54	379.04	616.37	848.22	802.41	476.71	1023.0	525.39	215.77	137.14	444.72	400.71	603.67	316.37
NDC1	209.84	172.65	142.01	173.85	96.68	92.7	85.22	65.72	54.72	122.64	75.11	86.43	64.34	107.38	88.26	80.57	115.97	81.71	77.79	79.45	91.41	80.57	92.7	53.19	93.35	74.06	99.43	84.04	84.04	99.43	170.25	480.04	264.03	543.96	356.05	703.28	312.0	688.78	866.07	808.0	921.88	753.83	1159.07	791.35	660.68	264.03	785.88	733.19	638.15	463.65
NEIL3	19.39	20.41	11.3	8.85	0.0	0.0	0.0	0.8	1.99	0.24	2.76	0.0	0.82	1.31	1.79	0.0	0.0	2.46	0.0	0.0	0.75	0.27	1.3	0.84	4.94	0.0	1.04	0.0	0.96	0.0	12.36	20.71	18.29	26.28	18.03	59.97	21.94	58.3	83.45	82.29	92.05	113.56	75.64	114.36	43.94	13.32	64.8	75.11	78.34	18.84
NIPA2	656.11	780.44	480.04	493.56	208.38	336.79	185.11	204.07	265.87	305.55	177.53	289.02	199.85	218.79	223.41	212.78	209.84	156.59	376.41	279.14	275.28	262.2	371.22	239.52	299.25	172.65	279.14	273.37	283.05	312.0	688.78	1051.79	848.22	1388.16	967.76	1030.12	961.07	1001.93	1127.35	1407.55	902.89	974.5	1304.15	1127.35	1008.9	713.11	1073.91	1119.56	825.0	1104.13
NUP160	346.29	555.41	346.29	199.85	150.17	178.77	75.64	114.36	123.5	149.12	220.32	139.07	201.25	181.28	175.07	144.01	187.71	120.1	127.89	145.02	170.25	177.53	159.9	181.28	190.34	187.71	103.69	161.02	80.01	211.31	438.59	647.07	460.44	620.67	616.37	521.76	624.99	583.07	842.36	575.03	830.75	1159.07	647.07	848.22	521.76	503.95	599.49	620.67	376.41	532.74
NUP50	447.82	638.15	318.57	497.0	279.14	244.57	165.57	142.01	153.34	198.47	185.11	182.55	176.29	237.86	246.28	146.03	242.88	211.31	172.65	165.57	376.41	366.09	199.85	273.37	198.47	198.47	182.55	209.84	267.73	202.66	432.53	909.17	460.44	624.99	842.36	769.69	915.51	693.58	1191.69	1250.98	642.59	575.03	769.69	764.36	785.88	575.03	1242.34	967.76	638.15	543.96
NUP93	674.59	674.59	389.72	435.55	187.71	547.75	307.69	96.68	406.31	293.07	273.37	155.5	97.36	181.28	113.56	187.71	202.66	279.14	193.01	255.0	358.54	181.28	265.87	277.2	406.31	228.13	220.32	255.0	136.19	141.02	708.18	780.44	819.3	638.15	713.11	1199.98	921.88	954.43	902.89	988.12	1242.34	748.61	947.83	1030.12	988.12	669.92	1081.39	775.05	866.07	830.75
NUSAP1	267.73	679.29	176.29	214.27	41.52	92.7	26.67	17.9	24.99	59.13	74.06	9.93	63.45	45.85	28.86	23.76	57.89	67.12	46.84	35.5	49.21	133.36	35.25	92.7	103.69	53.95	111.21	43.32	40.93	21.78	256.78	463.65	351.14	470.14	185.11	1594.73	373.81	808.0	1369.04	1628.26	2240.11	769.69	1378.57	2018.8	947.83	141.02	1757.34	1023.0	1233.75	466.88
ORC1	27.05	25.54	20.11	26.67	3.72	5.45	0.75	2.27	6.94	2.58	3.89	2.76	1.25	5.82	1.35	0.55	7.57	0.48	6.16	0.99	8.25	6.84	6.16	2.36	3.66	3.26	10.16	5.28	2.29	3.06	22.92	74.06	41.81	53.19	49.56	121.79	48.87	142.01	166.73	293.07	262.2	180.02	187.71	193.01	104.42	42.11	223.41	171.45	105.89	75.11
ORC6	61.68	48.18	38.95	50.27	2.25	23.76	2.58	10.31	1.85	8.19	3.23	3.92	3.47	25.54	2.48	3.99	5.06	6.78	9.06	4.7	24.11	17.38	24.63	7.57	30.78	16.63	13.22	22.26	2.2	6.78	53.95	116.78	128.79	170.25	108.14	228.13	128.79	173.85	450.94	293.07	575.03	181.28	305.55	703.28	169.07	90.77	503.95	353.59	253.23	125.24
PA2G4	1561.89	2032.85	1467.37	1313.23	909.17	878.17	909.17	941.27	921.88	866.07	878.17	981.29	665.29	1073.91	1051.79	748.61	896.64	848.22	1127.35	1051.79	909.17	1119.56	961.07	1135.2	878.17	1066.48	947.83	1015.93	890.44	808.0	1757.34	2555.58	1757.34	2351.53	1832.01	3928.15	1909.85	2895.31	4268.94	3768.09	4268.94	4419.52	3419.52	4736.79	3419.52	2018.8	5594.3	4769.75	4328.55	2400.97
PDIK1L	132.44	138.1	173.85	96.01	70.51	136.19	76.17	103.69	131.51	148.09	108.9	115.97	96.68	75.11	82.87	87.65	107.38	103.69	94.67	130.6	94.01	88.88	162.14	112.77	147.06	84.63	87.65	120.1	65.26	162.14	127.0	194.36	127.89	134.3	137.14	164.42	197.09	180.02	323.03	181.28	244.57	281.09	363.56	217.27	177.53	149.12	166.73	161.02	267.73	183.82
PLK4	62.12	77.79	27.84	44.89	15.91	15.0	4.58	6.78	11.13	6.21	0.0	3.2	19.11	30.56	6.62	8.45	17.77	6.36	18.43	6.67	9.93	20.26	8.58	2.2	11.82	15.56	8.06	10.88	1.85	14.45	62.12	96.68	84.04	138.1	99.43	149.12	88.26	198.47	293.07	301.33	406.31	202.66	463.65	283.05	175.07	65.26	277.2	249.73	339.14	165.57
POC1A	123.5	34.26	97.36	121.79	69.52	53.95	38.67	30.12	72.01	63.0	39.5	63.89	31.0	95.34	31.22	61.68	43.94	108.9	16.88	32.13	96.01	45.53	66.65	56.28	35.76	42.41	71.5	64.8	58.71	44.57	66.18	146.03	112.77	341.51	96.01	162.14	94.67	236.21	244.57	269.6	119.26	202.66	417.77	253.23	158.79	96.68	111.21	218.79	180.02	258.57
POLE2	84.04	76.71	43.63	64.34	37.85	157.68	58.71	40.64	161.02	47.5	59.13	13.22	36.01	34.02	133.36	55.1	52.45	36.79	36.27	31.67	94.67	54.33	92.7	31.45	25.91	157.68	25.72	88.26	301.33	96.68	47.5	132.44	129.69	211.31	128.79	232.94	181.28	264.03	381.68	423.61	511.0	466.88	435.55	559.28	157.68	80.57	423.61	339.14	285.03	185.11
POLQ	16.63	15.34	5.02	10.08	0.68	9.13	0.09	4.31	1.14	1.13	0.05	0.05	0.79	9.27	0.01	0.39	5.5	0.01	0.37	0.06	2.18	2.39	1.07	0.42	1.71	1.48	2.41	7.46	0.09	0.41	11.91	71.0	40.07	75.11	31.45	62.56	69.03	97.36	120.1	132.44	96.68	139.07	165.57	105.89	86.43	19.53	167.9	84.04	139.07	74.06
PPP6C	921.88	1104.13	808.0	748.61	616.37	483.38	444.72	470.14	483.38	536.45	392.44	529.06	389.72	633.73	483.38	454.09	412.0	426.57	764.36	559.28	470.14	529.06	514.56	612.11	503.95	366.09	470.14	551.56	551.56	470.14	1143.1	1044.52	954.43	819.3	995.0	1508.65	988.12	1233.75	1487.87	2271.4	2075.59	1769.57	1447.15	2004.85	1477.58	872.1	1540.37	1819.35	1832.01	1268.46
PRC1	379.04	258.57	218.79	162.14	40.93	106.63	31.9	32.59	19.97	32.13	7.82	18.16	20.11	56.28	20.86	16.51	24.99	27.84	46.84	31.67	41.52	111.21	27.64	36.27	31.67	46.84	49.91	33.06	30.34	20.11	186.4	848.22	638.15	884.29	305.55	1417.35	493.56	981.29	2075.59	2240.11	1721.16	4038.61	2090.03	1733.13	1447.15	285.03	1594.73	1295.13	2664.15	669.92
PRIM1	98.73	159.9	129.69	130.6	101.54	59.55	49.56	125.24	38.4	77.79	73.54	129.69	58.3	115.97	113.56	93.35	123.5	27.84	94.01	70.51	48.18	100.13	99.43	97.36	55.89	49.21	74.58	100.13	36.27	69.52	212.78	175.07	166.73	301.33	139.07	327.56	251.48	248.0	358.54	325.29	414.87	305.55	339.14	361.04	249.73	164.42	417.77	262.2	293.07	189.02
PRR14L	231.32	255.0	187.71	143.01	128.79	144.01	90.14	214.27	84.63	134.3	183.82	93.35	83.45	117.6	170.25	87.03	148.09	153.34	64.8	76.71	105.89	97.36	124.37	107.38	108.9	195.72	83.45	96.01	46.84	89.51	267.73	435.55	293.07	316.37	417.77	476.71	329.84	387.02	336.79	511.0	438.59	470.14	470.14	395.18	376.41	361.04	403.5	426.57	325.29	267.73
PSMD5	447.82	490.14	293.07	253.23	161.02	273.37	139.07	228.13	279.14	507.46	156.59	318.57	229.72	267.73	297.17	199.85	454.09	237.86	202.66	166.73	221.86	285.03	371.22	279.14	218.79	285.03	283.05	273.37	197.09	384.34	486.75	563.18	567.1	540.19	525.39	551.56	575.03	693.58	775.05	842.36	1233.75	954.43	909.17	866.07	656.11	583.07	368.65	603.67	518.15	607.87
PTTG1	454.09	226.54	173.85	206.94	42.41	158.79	9.06	20.56	54.33	43.94	41.81	21.94	22.1	44.57	22.43	13.12	30.78	21.16	135.24	13.32	73.54	84.63	99.43	19.25	59.55	17.51	81.14	56.28	35.25	36.01	392.44	559.28	688.78	708.18	295.11	1030.12	540.19	1268.46	1857.6	2004.85	1250.98	928.3	1950.0	2351.53	1059.11	264.03	2193.99	1844.76	2627.46	1119.56
RAD51	102.25	68.07	26.1	54.72	6.41	25.17	16.15	10.39	6.36	8.0	10.71	16.39	10.55	16.15	4.82	22.59	18.03	12.83	17.0	13.52	9.34	21.78	18.84	17.51	9.41	11.82	19.11	25.35	9.41	8.85	57.49	106.63	176.29	115.16	62.12	223.41	117.6	244.57	346.29	616.37	316.37	299.25	507.46	547.75	264.03	56.28	412.0	395.18	348.71	149.12
