	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FY.A3W9.01A.11R.A22L.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
IRF3	836.53	748.61	387.02	514.56	2468.49	1909.85	2287.2	2018.8	2434.5	2303.12	3257.52	2468.49	2701.35	1794.29	2417.67	1605.83	2148.82	1628.26	872.1	1175.27	2997.45	1583.71	1685.71	1096.5	1467.37	1457.23	884.29	878.17	995.0	1977.24	1540.37	1277.29	1561.89	1427.22	1594.73	1628.26	1397.83	1583.71	1151.06	2303.12	2664.15	2417.67	1936.53	1832.01	1259.69	2047.0	1225.22	1963.57	1519.15	1529.73	1685.71	1388.16	1250.98	1295.13	1151.06	1936.53	1304.15	1313.23	1286.18	1037.29	1242.34	1268.46	2255.7	2061.24	2104.58	2004.85	1127.35
KLC2	123.5	273.37	59.97	71.0	547.75	486.75	379.04	376.41	493.56	540.19	521.76	466.88	366.09	441.64	872.1	460.44	409.15	392.44	154.42	303.44	417.77	493.56	334.46	327.56	299.25	325.29	178.77	249.73	281.09	305.55	384.34	329.84	346.29	395.18	320.8	277.2	305.55	325.29	366.09	305.55	351.14	249.73	348.71	285.03	305.55	318.57	271.48	381.68	314.17	351.14	376.41	358.54	260.38	283.05	366.09	289.02	277.2	368.65	283.05	215.77	214.27	366.09	334.46	363.56	334.46	361.04	287.01
LLGL2	221.86	896.64	363.56	435.55	1733.13	1242.34	1388.16	1183.45	1519.15	1628.26	1286.18	1883.54	1051.79	1259.69	1923.14	1119.56	1551.09	1001.93	435.55	669.92	1427.22	808.0	1030.12	718.08	902.89	723.08	525.39	551.56	583.07	1277.29	1008.9	981.29	808.0	981.29	836.53	1044.52	860.08	753.83	679.29	1081.39	1111.82	1167.14	909.17	1199.98	674.59	1769.57	551.56	1295.13	785.88	1159.07	1015.93	896.64	830.75	769.69	665.29	974.5	961.07	961.07	896.64	642.59	486.75	703.28	1096.5	1519.15	1233.75	1208.34	759.08
LRWD1	85.82	190.34	185.11	221.86	363.56	403.5	379.04	361.04	366.09	460.44	497.0	363.56	470.14	316.37	406.31	371.22	414.87	329.84	152.28	228.13	368.65	285.03	323.03	295.11	264.03	303.44	194.36	256.78	175.07	289.02	277.2	289.02	267.73	281.09	277.2	256.78	258.57	275.28	246.28	327.56	368.65	234.57	279.14	217.27	293.07	348.71	181.28	343.89	269.6	265.87	299.25	267.73	297.17	258.57	223.41	249.73	258.57	414.87	231.32	201.25	217.27	265.87	309.83	253.23	312.0	329.84	289.02
MIB2	96.01	92.05	99.43	104.42	1781.89	1832.01	1605.83	1467.37	1832.01	1819.35	1183.45	2148.82	1674.06	1277.29	2701.35	1350.18	1639.59	1388.16	307.69	660.68	1583.71	733.19	902.89	890.44	1066.48	928.3	397.93	463.65	633.73	1322.37	1388.16	813.63	896.64	563.18	1044.52	796.86	633.73	928.3	540.19	1427.22	1529.73	1407.55	1051.79	728.11	733.19	1313.23	547.75	902.89	764.36	1066.48	808.0	878.17	563.18	543.96	674.59	890.44	703.28	941.27	1015.93	497.0	620.67	743.43	1059.11	825.0	1277.29	1066.48	426.57
MRPL38	624.99	547.75	825.0	1331.57	2627.46	2119.22	1936.53	1721.16	2255.7	2520.38	2271.4	2555.58	1950.0	1745.2	2468.49	1857.6	2018.8	1561.89	830.75	1015.93	1572.76	1331.57	1340.84	1030.12	1023.0	808.0	1127.35	947.83	1015.93	1457.23	1340.84	1175.27	1519.15	1242.34	1037.29	1350.18	1127.35	1540.37	1127.35	1286.18	1685.71	1340.84	1487.87	1191.69	1216.75	1561.89	928.3	1685.71	1477.58	1781.89	1498.22	1350.18	1143.1	1225.22	1487.87	1529.73	1259.69	1359.57	1242.34	974.5	1111.82	1417.35	1467.37	1242.34	1721.16	1259.69	1175.27
MYPOP	48.52	47.17	43.32	47.17	198.47	175.07	155.5	146.03	164.42	164.42	214.27	169.07	172.65	127.0	255.0	125.24	164.42	199.85	68.07	101.54	144.01	88.26	108.14	96.01	99.43	107.38	66.65	58.71	65.26	112.77	113.56	102.25	103.69	102.25	106.63	80.01	62.56	108.9	79.45	116.78	114.36	74.06	124.37	81.14	85.82	115.16	68.55	104.42	74.06	127.0	132.44	107.38	68.07	66.18	87.03	105.15	100.83	127.0	88.88	71.5	59.97	92.05	90.77	96.01	124.37	127.89	60.82
NCKAP5L	96.68	134.3	41.22	109.66	316.37	332.14	303.44	297.17	285.03	392.44	356.05	320.8	392.44	351.14	529.06	325.29	293.07	346.29	115.16	177.53	348.71	221.86	273.37	241.19	223.41	175.07	190.34	154.42	182.55	293.07	295.11	193.01	232.94	258.57	241.19	275.28	226.54	256.78	157.68	262.2	246.28	221.86	258.57	297.17	191.67	403.5	189.02	264.03	236.21	218.79	236.21	191.67	194.36	195.72	293.07	198.47	237.86	267.73	229.72	186.4	155.5	229.72	253.23	273.37	293.07	264.03	164.42
NUBP2	202.66	368.65	616.37	848.22	1519.15	1313.23	1583.71	1191.69	1350.18	1583.71	1583.71	1605.83	1487.87	1286.18	1529.73	1151.06	1605.83	1233.75	366.09	1151.06	1697.45	909.17	1081.39	1096.5	1216.75	1073.91	529.06	848.22	764.36	1427.22	1313.23	1159.07	1111.82	1104.13	1487.87	974.5	854.13	1277.29	848.22	1340.84	1572.76	1159.07	1167.14	1407.55	1225.22	1191.69	629.35	1191.69	921.88	1427.22	1167.14	1096.5	884.29	728.11	947.83	1832.01	1008.9	1529.73	1199.98	934.76	819.3	981.29	1073.91	1427.22	1331.57	1551.09	934.76
PHKG2	358.54	327.56	470.14	480.04	1167.14	1096.5	1605.83	1159.07	1417.35	1594.73	1437.15	1216.75	1242.34	1250.98	1059.11	1143.1	1233.75	808.0	583.07	612.11	1051.79	866.07	878.17	575.03	656.11	660.68	583.07	595.34	698.41	915.51	896.64	813.63	718.08	842.36	660.68	703.28	902.89	802.41	651.58	713.11	981.29	723.08	780.44	890.44	629.35	1023.0	612.11	954.43	796.86	780.44	825.0	934.76	769.69	708.18	848.22	981.29	759.08	802.41	718.08	607.87	679.29	723.08	860.08	934.76	854.13	902.89	624.99
PRR14	395.18	251.48	221.86	327.56	1199.98	1051.79	884.29	759.08	909.17	1088.92	1359.57	947.83	988.12	825.0	1159.07	915.51	896.64	1044.52	579.04	633.73	1216.75	728.11	836.53	698.41	559.28	674.59	540.19	612.11	713.11	866.07	981.29	775.05	785.88	642.59	688.78	753.83	703.28	733.19	620.67	836.53	1008.9	775.05	890.44	679.29	607.87	884.29	480.04	1023.0	733.19	974.5	723.08	854.13	620.67	575.03	775.05	802.41	780.44	928.3	808.0	595.34	603.67	607.87	860.08	928.3	1037.29	934.76	555.41
PRRC2A	1529.73	1286.18	642.59	1044.52	2875.3	2997.45	3419.52	2701.35	3589.58	3081.75	4181.07	3039.3	3081.75	2997.45	3103.19	3060.45	3349.13	2796.65	1359.57	1572.76	3039.3	2032.85	2224.63	2018.8	1870.53	1551.09	1844.76	1709.26	1896.65	2104.58	2271.4	1781.89	2384.37	2240.11	2178.83	2367.9	2047.0	1857.6	1757.34	2287.2	2895.31	2400.97	2537.92	2555.58	2061.24	2645.74	1685.71	2627.46	2351.53	2682.69	1963.57	2240.11	2303.12	2224.63	2209.26	2417.67	1870.53	2032.85	2090.03	1651.0	1794.29	2119.22	2255.7	2720.15	2664.15	2351.53	2061.24
PTOV1	915.51	1030.12	1268.46	1594.73	5403.7	4937.99	6079.61	4937.99	5403.7	5872.48	5112.16	4607.24	4095.0	5219.6	5594.3	5147.73	5006.93	4298.64	2591.27	2956.17	4802.93	3491.39	4095.0	3395.89	4010.71	3280.18	2163.77	2956.17	2682.69	4972.34	4210.15	3443.31	4152.18	3589.58	3690.52	3768.09	3190.46	3589.58	3018.3	4210.15	4736.79	4512.4	4095.0	3820.7	3257.52	4704.07	2816.11	4152.18	3491.39	3955.48	4010.71	3190.46	3039.3	2777.33	3614.55	4639.29	3467.27	3847.29	3372.43	2591.27	2739.08	3467.27	4123.49	4152.18	5041.77	4543.8	3018.3
RAB40C	108.9	147.06	120.1	131.51	543.96	473.41	476.71	435.55	400.71	616.37	406.31	503.95	395.18	463.65	603.67	441.64	490.14	441.64	217.27	273.37	454.09	303.44	329.84	291.04	346.29	275.28	214.27	228.13	279.14	397.93	426.57	327.56	361.04	327.56	323.03	392.44	320.8	301.33	289.02	432.53	423.61	351.14	368.65	327.56	309.83	371.22	187.71	361.04	275.28	327.56	343.89	353.59	316.37	283.05	327.56	332.14	301.33	341.51	314.17	256.78	376.41	223.41	363.56	412.0	426.57	387.02	265.87
RABL6	397.93	525.39	96.01	127.0	1477.58	1561.89	1628.26	1498.22	1331.57	1674.06	1594.73	1233.75	1685.71	1529.73	1519.15	1286.18	1457.23	1487.87	703.28	915.51	1487.87	890.44	1225.22	1023.0	866.07	981.29	559.28	802.41	819.3	1378.57	1268.46	1001.93	1216.75	1111.82	1088.92	1304.15	954.43	1051.79	974.5	1617.0	1447.15	1088.92	1369.04	1233.75	1066.48	1208.34	748.61	1286.18	947.83	915.51	1059.11	1044.52	825.0	748.61	1001.93	1183.45	954.43	1322.37	1151.06	842.36	1233.75	1030.12	1313.23	1457.23	1583.71	1437.15	941.27
RBM10	246.28	363.56	341.51	265.87	934.76	1008.9	1088.92	995.0	928.3	961.07	981.29	902.89	825.0	941.27	1008.9	928.3	909.17	1030.12	595.34	629.35	1001.93	708.18	738.29	684.02	819.3	684.02	665.29	660.68	656.11	967.76	934.76	764.36	775.05	693.58	819.3	780.44	693.58	743.43	616.37	1008.9	1023.0	884.29	884.29	819.3	684.02	813.63	591.22	836.53	698.41	669.92	764.36	802.41	703.28	665.29	660.68	728.11	723.08	785.88	780.44	571.05	660.68	660.68	775.05	896.64	1008.9	928.3	587.13
RHPN1	29.48	108.9	3.92	13.42	1781.89	1819.35	1883.54	1397.83	2193.99	1508.65	1923.14	2119.22	1857.6	1508.65	1757.34	1709.26	1250.98	961.07	231.32	583.07	1199.98	392.44	579.04	429.54	575.03	842.36	341.51	395.18	258.57	1286.18	620.67	547.75	665.29	514.56	921.88	759.08	384.34	575.03	318.57	1175.27	1183.45	1242.34	796.86	854.13	450.94	1277.29	450.94	909.17	638.15	759.08	536.45	638.15	454.09	351.14	698.41	791.35	559.28	540.19	629.35	368.65	420.68	665.29	866.07	769.69	1277.29	1199.98	307.69
SCRIB	218.79	325.29	111.99	244.57	1883.54	1268.46	1059.11	1015.93	1487.87	1096.5	1757.34	1350.18	1111.82	1008.9	1769.57	1233.75	1104.13	1088.92	275.28	612.11	1397.83	583.07	633.73	693.58	791.35	738.29	320.8	361.04	511.0	1073.91	848.22	738.29	753.83	629.35	878.17	860.08	575.03	684.02	521.76	1066.48	928.3	748.61	651.58	764.36	703.28	1081.39	473.41	1119.56	764.36	954.43	665.29	616.37	551.56	397.93	703.28	759.08	698.41	836.53	995.0	414.87	447.82	599.49	785.88	836.53	1143.1	1359.57	638.15
SHARPIN	438.59	567.1	320.8	417.77	1806.78	2032.85	1832.01	1685.71	2720.15	2047.0	1721.16	2351.53	1806.78	1662.49	1883.54	1617.0	1909.85	1685.71	575.03	1199.98	1977.24	1250.98	1397.83	1295.13	1378.57	1233.75	713.11	1037.29	1044.52	1819.35	1628.26	1268.46	1199.98	1417.35	1651.0	1417.35	1015.93	1242.34	995.0	1896.65	1870.53	1628.26	1561.89	1757.34	1331.57	1605.83	854.13	1870.53	1183.45	1519.15	1242.34	1199.98	1216.75	941.27	1015.93	1551.09	1359.57	1769.57	1359.57	947.83	967.76	1111.82	1540.37	1733.13	1819.35	1769.57	1008.9
SIX5	82.87	71.0	82.29	71.0	1111.82	878.17	988.12	607.87	733.19	1073.91	638.15	954.43	915.51	934.76	1216.75	624.99	941.27	1001.93	127.0	438.59	802.41	454.09	406.31	371.22	543.96	529.06	262.2	303.44	301.33	679.29	753.83	571.05	435.55	351.14	603.67	529.06	392.44	470.14	202.66	848.22	718.08	497.0	684.02	571.05	314.17	738.29	312.0	483.38	327.56	642.59	540.19	490.14	351.14	301.33	389.72	476.71	406.31	616.37	551.56	341.51	251.48	297.17	555.41	708.18	791.35	928.3	265.87
SLC26A6	77.79	57.89	33.3	40.07	289.02	293.07	379.04	212.78	320.8	248.0	366.09	281.09	329.84	275.28	358.54	255.0	224.97	183.82	88.88	155.5	265.87	99.43	170.25	157.68	107.38	162.14	104.42	131.51	81.14	251.48	164.42	171.45	217.27	153.34	178.77	117.6	100.13	180.02	77.79	226.54	275.28	172.65	197.09	172.65	120.1	244.57	121.79	180.02	128.79	142.01	194.36	155.5	90.77	93.35	163.28	126.12	156.59	139.07	149.12	102.97	69.03	125.24	185.11	194.36	246.28	244.57	98.73
SMG9	305.55	283.05	124.37	124.37	785.88	638.15	500.46	563.18	571.05	718.08	1030.12	603.67	551.56	642.59	753.83	612.11	579.04	536.45	307.69	417.77	902.89	392.44	447.82	503.95	543.96	447.82	297.17	406.31	289.02	607.87	426.57	486.75	532.74	543.96	457.25	571.05	339.14	420.68	341.51	497.0	665.29	480.04	579.04	470.14	343.89	733.19	414.87	595.34	336.79	532.74	563.18	301.33	305.55	339.14	547.75	473.41	392.44	486.75	351.14	318.57	198.47	389.72	587.13	529.06	575.03	543.96	376.41
SMPD4	665.29	373.81	275.28	341.51	1977.24	1313.23	1397.83	1369.04	1225.22	1467.37	1151.06	1135.2	1331.57	1242.34	1651.0	1096.5	1183.45	1498.22	872.1	995.0	1417.35	825.0	1037.29	974.5	1037.29	1030.12	698.41	878.17	802.41	1388.16	1259.69	890.44	1233.75	921.88	1044.52	1233.75	928.3	974.5	759.08	1159.07	1369.04	1143.1	1127.35	1167.14	854.13	1685.71	974.5	1037.29	1088.92	1233.75	1119.56	995.0	890.44	878.17	1073.91	1242.34	1008.9	961.07	1073.91	819.3	785.88	1044.52	1199.98	1119.56	1378.57	1477.58	775.05
SOX12	60.39	84.04	27.05	82.87	1023.0	483.38	620.67	371.22	563.18	785.88	358.54	514.56	334.46	500.46	1023.0	466.88	543.96	518.15	193.01	351.14	339.14	255.0	269.6	325.29	297.17	239.52	127.89	127.89	161.02	336.79	336.79	228.13	241.19	264.03	242.88	356.05	171.45	236.21	145.02	277.2	269.6	244.57	329.84	218.79	224.97	379.04	201.25	316.37	191.67	414.87	309.83	220.32	182.55	158.79	260.38	249.73	271.48	275.28	212.78	142.01	84.63	309.83	289.02	242.88	450.94	309.83	178.77
STK11	242.88	314.17	283.05	293.07	1832.01	1295.13	1498.22	1397.83	1551.09	1487.87	1529.73	1487.87	1277.29	1242.34	1883.54	1104.13	1233.75	1304.15	507.46	748.61	1313.23	819.3	954.43	836.53	1044.52	780.44	466.88	587.13	718.08	981.29	1208.34	909.17	854.13	825.0	1044.52	878.17	759.08	909.17	728.11	1088.92	1081.39	909.17	802.41	872.1	934.76	1015.93	543.96	902.89	860.08	988.12	836.53	909.17	848.22	703.28	759.08	1096.5	748.61	1191.69	836.53	511.0	733.19	813.63	866.07	860.08	1051.79	1143.1	684.02
STRN4	429.54	651.58	197.09	325.29	1388.16	1104.13	1350.18	1277.29	1313.23	1572.76	1350.18	1208.34	1143.1	1191.69	1819.35	1183.45	1233.75	1051.79	529.06	759.08	1088.92	915.51	947.83	928.3	780.44	796.86	547.75	674.59	890.44	884.29	1044.52	915.51	1044.52	928.3	954.43	954.43	934.76	915.51	995.0	954.43	961.07	743.43	1008.9	902.89	921.88	961.07	665.29	872.1	967.76	947.83	836.53	872.1	941.27	854.13	848.22	890.44	780.44	1008.9	830.75	703.28	791.35	954.43	796.86	872.1	1008.9	954.43	738.29
TAOK2	204.07	363.56	146.03	199.85	1151.06	954.43	974.5	830.75	896.64	988.12	995.0	733.19	830.75	941.27	1304.15	954.43	819.3	854.13	361.04	414.87	830.75	607.87	738.29	616.37	486.75	435.55	476.71	426.57	595.34	642.59	743.43	603.67	660.68	660.68	620.67	607.87	571.05	665.29	518.15	529.06	780.44	447.82	660.68	525.39	503.95	669.92	432.53	684.02	547.75	543.96	327.56	633.73	551.56	579.04	547.75	429.54	575.03	647.07	540.19	444.72	473.41	629.35	607.87	525.39	703.28	669.92	441.64
TAZ	244.57	147.06	155.5	133.36	1135.2	1037.29	934.76	1001.93	1096.5	884.29	974.5	1081.39	941.27	802.41	1322.37	813.63	878.17	575.03	417.77	423.61	909.17	518.15	728.11	500.46	397.93	460.44	389.72	363.56	387.02	872.1	638.15	595.34	669.92	514.56	521.76	551.56	500.46	656.11	332.14	642.59	878.17	718.08	599.49	500.46	429.54	813.63	341.51	759.08	555.41	629.35	684.02	486.75	518.15	379.04	620.67	536.45	532.74	532.74	669.92	353.59	406.31	476.71	660.68	860.08	808.0	738.29	473.41
TBCD	651.58	438.59	543.96	660.68	3349.13	4903.87	2875.3	3491.39	4328.55	2573.36	3515.68	5954.47	3081.75	3081.75	4010.71	4210.15	3901.01	2367.9	1605.83	1617.0	2855.44	2119.22	2701.35	1447.15	1662.49	1844.76	1242.34	1208.34	1427.22	3168.41	2163.77	1950.0	1794.29	1639.59	2193.99	1806.78	1745.2	1685.71	1617.0	2627.46	2400.97	1991.0	2520.38	2287.2	1561.89	2645.74	1208.34	2303.12	1721.16	1594.73	1806.78	1498.22	1191.69	1059.11	1857.6	1519.15	1498.22	2193.99	1477.58	1331.57	1487.87	1407.55	2224.63	2351.53	2682.69	3716.2	1447.15
TG	8.99	8.38	59.55	5.59	375901.76	900270.11	1085552.95	1123834.93	857631.47	627822.72	546551.29	887875.81	985160.01	1085552.95	593956.43	1026995.62	906531.99	1063212.58	682276.92	2068278.89	828417.36	2247670.86	2126426.15	1327240.99	1751305.3	2375828.71	524287.0	1204496.53	1611529.43	1622738.51	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1336472.68	1997825.68	1290947.48	1984025.69	1355129.16	2986448.72	2025714.3	2425749.94	1929772.37	1299926.74	992012.34	1943195.01	1727194.55	2636147.11	2263304.65	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	951601.81	1131651.83	2263304.65	1535204.12	2672946.37	1864037.21	1482909.4	1026995.62
TOR2A	148.09	145.02	144.01	181.28	532.74	379.04	463.65	397.93	368.65	435.55	447.82	381.68	447.82	373.81	432.53	325.29	389.72	332.14	191.67	246.28	395.18	241.19	281.09	314.17	224.97	271.48	143.01	277.2	214.27	299.25	332.14	346.29	299.25	291.04	293.07	285.03	201.25	249.73	211.31	287.01	409.15	253.23	307.69	316.37	281.09	281.09	253.23	293.07	244.57	417.77	387.02	351.14	269.6	232.94	295.11	341.51	379.04	395.18	346.29	212.78	206.94	271.48	236.21	426.57	457.25	384.34	228.13
TPRA1	454.09	409.15	379.04	426.57	1151.06	884.29	1208.34	728.11	915.51	884.29	934.76	1023.0	921.88	1015.93	1216.75	947.83	842.36	1111.82	638.15	723.08	974.5	713.11	688.78	769.69	848.22	842.36	616.37	748.61	603.67	941.27	830.75	708.18	791.35	698.41	733.19	830.75	642.59	748.61	723.08	1096.5	902.89	830.75	890.44	909.17	733.19	836.53	595.34	620.67	708.18	854.13	748.61	796.86	713.11	718.08	759.08	802.41	693.58	872.1	791.35	647.07	624.99	703.28	813.63	928.3	1037.29	872.1	647.07
TSC22D4	287.01	567.1	187.71	202.66	1359.57	1250.98	1159.07	878.17	961.07	902.89	1583.71	947.83	1059.11	860.08	1259.69	1135.2	1030.12	954.43	429.54	555.41	1295.13	571.05	813.63	624.99	769.69	567.1	567.1	493.56	660.68	785.88	1191.69	743.43	753.83	620.67	718.08	703.28	607.87	698.41	540.19	743.43	808.0	620.67	830.75	743.43	642.59	703.28	441.64	842.36	616.37	718.08	679.29	764.36	753.83	656.11	633.73	728.11	748.61	802.41	674.59	603.67	642.59	563.18	669.92	974.5	848.22	848.22	486.75
XYLT2	115.97	269.6	99.43	95.34	551.56	473.41	473.41	423.61	423.61	583.07	473.41	503.95	444.72	532.74	575.03	559.28	400.71	486.75	260.38	371.22	525.39	285.03	332.14	301.33	368.65	303.44	255.0	253.23	212.78	403.5	381.68	267.73	361.04	329.84	351.14	356.05	242.88	301.33	226.54	389.72	454.09	260.38	384.34	376.41	281.09	403.5	293.07	307.69	309.83	343.89	269.6	295.11	258.57	253.23	301.33	305.55	256.78	351.14	363.56	279.14	217.27	256.78	339.14	392.44	387.02	363.56	256.78
ZNF205	48.18	81.14	48.52	77.25	518.15	371.22	387.02	334.46	414.87	423.61	429.54	420.68	348.71	336.79	551.56	366.09	381.68	414.87	150.17	237.86	363.56	244.57	291.04	262.2	262.2	228.13	169.07	201.25	217.27	339.14	289.02	262.2	293.07	248.0	297.17	303.44	198.47	289.02	193.01	412.0	293.07	237.86	361.04	255.0	264.03	303.44	151.22	327.56	239.52	314.17	320.8	242.88	262.2	172.65	275.28	325.29	260.38	334.46	260.38	172.65	211.31	258.57	234.57	356.05	381.68	379.04	190.34
ZNF692	346.29	90.77	95.34	76.71	1674.06	1467.37	1175.27	1151.06	1467.37	1407.55	1151.06	1457.23	1225.22	1073.91	1909.85	1216.75	1199.98	748.61	674.59	540.19	1369.04	371.22	748.61	503.95	698.41	603.67	358.54	591.22	236.21	1277.29	743.43	748.61	830.75	638.15	708.18	679.29	356.05	591.22	305.55	915.51	1191.69	934.76	796.86	684.02	483.38	1467.37	493.56	941.27	473.41	842.36	872.1	595.34	389.72	334.46	842.36	642.59	450.94	624.99	536.45	314.17	164.42	543.96	967.76	941.27	1208.34	1199.98	363.56
ZSWIM8	1551.09	921.88	1216.75	1135.2	3768.09	3303.0	3589.58	2935.74	4210.15	3280.18	3280.18	3419.52	3257.52	3060.45	4210.15	2935.74	3690.52	3060.45	2271.4	1508.65	2627.46	2384.37	2682.69	2209.26	2032.85	1407.55	1991.0	2367.9	1977.24	2555.58	2591.27	2209.26	2609.3	2468.49	1794.29	2104.58	2240.11	2400.97	1857.6	2609.3	2720.15	2255.7	2835.7	2351.53	1963.57	2645.74	1519.15	3103.19	2367.9	3124.78	2609.3	2255.7	2133.97	1844.76	2319.15	2627.46	2645.74	2133.97	2119.22	1745.2	1950.0	2956.17	2816.11	2537.92	2875.3	2609.3	1832.01
