	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	TCGA.EM.A22M.01A.11R.A32Y.07
ERCC6	74.58	195.72	51.71	63.89	112.77	49.56	76.71	143.01	128.79	96.68	80.57	74.06	97.36	53.57	80.57	123.5	68.55	94.67	113.56	119.26	100.13	73.03	79.45	115.97	96.68	85.22	85.82	138.1	81.71	105.89	82.87	149.12	99.43	76.17	57.49	109.66	83.45	92.7	94.01	76.71	72.52	102.25	89.51	143.01	103.69	79.45	68.55	94.67	74.58	100.13	111.21	67.12	57.89	123.5	96.68	72.52	126.12	171.45	112.77	117.6	68.55	100.83	110.43	79.45	106.63	94.67	155.5	58.3	84.04	78.34	96.01	127.89	88.88	161.02	93.35	98.04	72.01	123.5	133.36	55.1	166.73	84.04	139.07	127.0	84.63	62.56	125.24	94.01	100.13	128.79	60.39
ERCC6L2	84.63	525.39	463.65	175.07	183.82	122.64	144.01	244.57	206.94	127.0	277.2	106.63	251.48	134.3	142.01	293.07	180.02	236.21	316.37	303.44	271.48	157.68	125.24	264.03	185.11	146.03	199.85	368.65	161.02	283.05	112.77	490.14	142.01	189.02	98.73	287.01	180.02	209.84	140.04	66.18	151.22	346.29	74.58	361.04	312.0	146.03	197.09	198.47	199.85	256.78	403.5	152.28	128.79	384.34	255.0	150.17	262.2	318.57	226.54	253.23	211.31	178.77	318.57	128.79	251.48	327.56	450.94	201.25	140.04	92.05	169.07	291.04	199.85	532.74	293.07	197.09	129.69	277.2	223.41	138.1	420.68	137.14	423.61	320.8	182.55	178.77	373.81	132.44	175.07	309.83	144.01
FAM120B	231.32	507.46	325.29	307.69	329.84	287.01	309.83	325.29	332.14	251.48	373.81	221.86	351.14	307.69	299.25	395.18	285.03	307.69	309.83	371.22	341.51	295.11	289.02	356.05	327.56	312.0	336.79	381.68	305.55	325.29	273.37	438.59	291.04	265.87	279.14	336.79	279.14	297.17	316.37	253.23	277.2	376.41	265.87	379.04	341.51	293.07	301.33	323.03	285.03	301.33	384.34	293.07	303.44	400.71	363.56	273.37	285.03	318.57	346.29	387.02	253.23	260.38	314.17	194.36	303.44	363.56	483.38	287.01	289.02	237.86	204.07	361.04	339.14	444.72	351.14	293.07	295.11	412.0	283.05	281.09	432.53	258.57	346.29	373.81	285.03	303.44	379.04	287.01	285.03	403.5	279.14
FAM13B	162.14	872.1	269.6	229.72	201.25	169.07	117.6	262.2	249.73	127.0	303.44	59.55	273.37	195.72	193.01	295.11	214.27	242.88	289.02	323.03	241.19	183.82	166.73	253.23	214.27	175.07	251.48	376.41	185.11	173.85	117.6	353.59	169.07	187.71	133.36	277.2	217.27	217.27	198.47	114.36	181.28	299.25	112.77	346.29	239.52	163.28	187.71	267.73	185.11	249.73	318.57	218.79	197.09	332.14	275.28	177.53	193.01	314.17	237.86	262.2	120.1	191.67	336.79	109.66	241.19	231.32	320.8	193.01	226.54	119.26	176.29	212.78	255.0	423.61	271.48	217.27	187.71	341.51	273.37	144.01	269.6	177.53	281.09	371.22	186.4	248.0	291.04	152.28	273.37	297.17	151.22
FAM73A	84.04	260.38	199.85	93.35	127.0	62.56	43.32	134.3	104.42	57.89	181.28	47.17	130.6	74.58	76.71	162.14	67.12	135.24	136.19	212.78	158.79	63.45	56.68	206.94	94.67	68.07	92.7	209.84	92.05	125.24	73.03	267.73	88.88	94.01	49.91	125.24	99.43	187.71	115.97	37.85	83.45	187.71	48.52	162.14	169.07	82.29	136.19	89.51	88.26	159.9	190.34	98.04	68.55	242.88	120.1	59.97	141.02	182.55	152.28	172.65	76.17	79.45	157.68	47.17	148.09	187.71	224.97	90.14	87.65	63.45	67.12	162.14	112.77	228.13	143.01	133.36	76.17	146.03	119.26	55.49	206.94	79.45	256.78	232.94	73.54	92.7	191.67	47.5	114.36	181.28	61.68
FGFR1OP2	392.44	1044.52	733.19	514.56	579.04	579.04	463.65	651.58	638.15	351.14	713.11	271.48	647.07	470.14	591.22	884.29	693.58	830.75	733.19	764.36	854.13	480.04	540.19	854.13	733.19	476.71	743.43	915.51	583.07	525.39	698.41	866.07	571.05	753.83	441.64	688.78	688.78	525.39	547.75	343.89	447.82	866.07	406.31	890.44	684.02	607.87	493.56	616.37	624.99	651.58	693.58	567.1	802.41	728.11	718.08	599.49	620.67	785.88	583.07	647.07	438.59	559.28	629.35	503.95	796.86	743.43	915.51	567.1	616.37	518.15	633.73	595.34	612.11	1127.35	547.75	563.18	571.05	791.35	718.08	483.38	802.41	595.34	830.75	819.3	638.15	579.04	674.59	400.71	738.29	674.59	457.25
G2E3	72.52	466.88	264.03	51.71	59.55	44.57	40.07	77.25	72.52	35.25	90.77	26.28	85.82	41.52	47.5	96.68	75.11	69.52	89.51	118.43	64.8	50.63	44.57	68.07	60.82	46.18	76.71	82.29	48.18	70.01	42.41	116.78	62.56	63.45	25.91	82.29	56.68	58.3	59.55	37.32	37.32	102.25	37.59	119.26	80.01	41.81	57.08	75.11	61.25	59.97	102.25	48.18	61.25	98.73	82.87	51.71	68.55	100.83	56.68	75.11	39.5	42.71	73.54	41.52	84.04	84.63	104.42	43.32	61.68	35.5	45.21	76.17	69.52	131.51	82.29	55.89	59.97	77.25	73.03	47.5	108.14	45.53	120.1	143.01	63.89	72.52	91.41	42.41	51.35	78.89	37.59
GAPVD1	126.12	595.34	379.04	231.32	260.38	176.29	185.11	325.29	281.09	131.51	435.55	120.1	323.03	197.09	237.86	351.14	220.32	260.38	406.31	381.68	312.0	198.47	169.07	476.71	269.6	256.78	241.19	450.94	234.57	312.0	129.69	503.95	248.0	228.13	173.85	260.38	204.07	346.29	262.2	80.57	221.86	371.22	138.1	432.53	297.17	173.85	275.28	295.11	277.2	285.03	432.53	234.57	183.82	521.76	353.59	226.54	348.71	497.0	269.6	379.04	223.41	176.29	373.81	175.07	329.84	435.55	444.72	205.5	241.19	194.36	198.47	361.04	223.41	518.15	287.01	277.2	206.94	255.0	246.28	277.2	450.94	217.27	447.82	423.61	256.78	242.88	389.72	193.01	291.04	363.56	167.9
GCC2	297.17	384.34	348.71	249.73	353.59	215.77	171.45	332.14	303.44	221.86	466.88	147.06	348.71	237.86	215.77	441.64	275.28	387.02	435.55	536.45	327.56	215.77	191.67	417.77	283.05	255.0	329.84	444.72	299.25	371.22	159.9	575.03	305.55	307.69	148.09	384.34	291.04	312.0	297.17	172.65	178.77	470.14	191.67	518.15	500.46	234.57	251.48	275.28	267.73	356.05	497.0	255.0	217.27	525.39	400.71	211.31	412.0	426.57	363.56	346.29	183.82	275.28	409.15	177.53	366.09	381.68	503.95	226.54	283.05	193.01	194.36	387.02	256.78	825.0	366.09	236.21	241.19	435.55	323.03	183.82	532.74	265.87	511.0	426.57	189.02	275.28	486.75	223.41	241.19	412.0	209.84
HEATR5B	138.1	368.65	256.78	186.4	206.94	139.07	142.01	197.09	220.32	146.03	223.41	120.94	229.72	156.59	161.02	253.23	185.11	221.86	265.87	260.38	208.38	156.59	138.1	262.2	181.28	158.79	191.67	281.09	173.85	214.27	146.03	314.17	183.82	214.27	111.21	228.13	187.71	211.31	189.02	121.79	119.26	269.6	145.02	262.2	242.88	151.22	191.67	229.72	226.54	229.72	246.28	180.02	173.85	295.11	244.57	151.22	229.72	267.73	228.13	226.54	154.42	198.47	214.27	137.14	234.57	246.28	293.07	155.5	176.29	141.02	176.29	231.32	190.34	291.04	206.94	211.31	173.85	236.21	246.28	147.06	309.83	181.28	258.57	265.87	186.4	191.67	273.37	148.09	193.01	246.28	148.09
HELZ	104.42	190.34	193.01	72.52	90.77	70.51	68.55	96.01	85.22	59.97	148.09	49.56	105.89	82.29	68.07	139.07	96.01	94.01	111.21	145.02	94.67	56.28	60.39	130.6	84.63	80.57	90.77	133.36	77.79	108.14	70.01	164.42	84.04	84.63	45.53	116.78	82.87	93.35	78.34	57.08	56.68	145.02	65.26	141.02	128.79	69.52	82.87	94.01	94.67	87.65	136.19	65.26	89.51	150.17	116.78	68.55	108.9	130.6	90.77	118.43	63.45	78.89	116.78	64.34	105.15	126.12	151.22	76.17	81.14	73.03	68.07	147.06	100.83	164.42	111.21	95.34	89.51	108.9	102.97	70.51	141.02	76.71	151.22	143.01	72.52	83.45	143.01	61.68	74.58	139.07	79.45
HIPK3	406.31	674.59	1143.1	277.2	679.29	371.22	299.25	665.29	397.93	320.8	743.43	172.65	400.71	341.51	417.77	759.08	457.25	688.78	1073.91	796.86	563.18	316.37	343.89	612.11	500.46	356.05	532.74	860.08	507.46	466.88	616.37	759.08	607.87	612.11	205.5	490.14	525.39	381.68	403.5	301.33	392.44	902.89	441.64	941.27	660.68	432.53	309.83	432.53	514.56	529.06	934.76	366.09	400.71	713.11	525.39	447.82	638.15	785.88	423.61	503.95	373.81	432.53	591.22	358.54	599.49	961.07	693.58	334.46	493.56	521.76	409.15	599.49	466.88	1008.9	503.95	444.72	438.59	836.53	493.56	289.02	791.35	447.82	947.83	842.36	420.68	450.94	674.59	332.14	420.68	769.69	209.84
HMG20A	226.54	830.75	616.37	406.31	358.54	400.71	373.81	571.05	397.93	346.29	591.22	307.69	438.59	389.72	406.31	540.19	417.77	444.72	551.56	616.37	423.61	403.5	351.14	543.96	441.64	420.68	486.75	497.0	397.93	470.14	334.46	583.07	511.0	483.38	327.56	529.06	366.09	387.02	373.81	379.04	281.09	567.1	341.51	567.1	514.56	414.87	429.54	529.06	460.44	521.76	503.95	466.88	463.65	490.14	587.13	373.81	529.06	521.76	529.06	525.39	285.03	389.72	486.75	363.56	444.72	444.72	599.49	493.56	463.65	356.05	307.69	514.56	454.09	738.29	708.18	447.82	356.05	518.15	486.75	356.05	567.1	371.22	511.0	571.05	363.56	379.04	493.56	334.46	297.17	536.45	348.71
IFRG15	0.0	267.73	507.46	0.0	38.12	0.0	0.0	37.59	25.17	0.0	28.65	17.13	46.18	13.22	0.0	91.41	8.45	23.59	40.64	71.0	63.89	6.52	15.68	32.36	0.0	0.0	1.25	131.51	12.0	18.16	0.0	108.14	17.9	19.39	0.0	29.27	10.63	45.21	80.01	0.0	0.0	97.36	0.0	100.83	71.0	0.0	24.28	30.78	13.62	40.07	88.88	43.94	0.0	48.18	65.26	0.0	52.08	76.71	39.79	40.07	20.41	2.2	119.26	0.0	90.14	30.56	197.09	0.0	12.55	0.0	0.0	65.26	0.0	144.01	38.12	17.9	18.7	62.12	58.3	15.34	59.97	1.71	124.37	81.14	0.0	31.9	76.17	0.0	14.24	46.5	4.13
IKZF5	122.64	356.05	379.04	158.79	195.72	144.01	93.35	191.67	155.5	105.15	209.84	61.68	178.77	140.04	162.14	246.28	153.34	215.77	269.6	275.28	232.94	130.6	154.42	182.55	176.29	127.0	198.47	255.0	149.12	146.03	127.0	221.86	206.94	199.85	95.34	193.01	199.85	175.07	157.68	107.38	138.1	246.28	128.79	279.14	236.21	139.07	134.3	185.11	190.34	183.82	241.19	187.71	161.02	229.72	209.84	137.14	211.31	262.2	172.65	197.09	108.9	147.06	191.67	127.0	204.07	205.5	208.38	149.12	154.42	124.37	120.1	214.27	220.32	264.03	201.25	151.22	171.45	183.82	209.84	133.36	264.03	159.9	244.57	277.2	120.1	171.45	206.94	121.79	136.19	197.09	121.79
ING3	133.36	417.77	470.14	214.27	190.34	144.01	154.42	218.79	224.97	131.51	215.77	63.45	228.13	201.25	161.02	253.23	206.94	191.67	215.77	301.33	226.54	194.36	156.59	171.45	173.85	157.68	209.84	255.0	142.01	131.51	214.27	223.41	181.28	191.67	142.01	195.72	163.28	195.72	146.03	120.94	136.19	258.57	125.24	211.31	185.11	157.68	180.02	249.73	171.45	201.25	281.09	166.73	166.73	256.78	209.84	142.01	197.09	209.84	236.21	218.79	134.3	163.28	212.78	103.69	241.19	163.28	242.88	239.52	161.02	114.36	190.34	215.77	202.66	460.44	189.02	170.25	177.53	264.03	198.47	137.14	162.14	175.07	217.27	281.09	218.79	220.32	228.13	115.97	175.07	237.86	131.51
IPO8	217.27	728.11	660.68	295.11	314.17	295.11	249.73	358.54	339.14	269.6	392.44	182.55	318.57	305.55	316.37	466.88	287.01	368.65	400.71	497.0	376.41	265.87	234.57	417.77	312.0	265.87	336.79	470.14	303.44	351.14	248.0	493.56	287.01	363.56	223.41	417.77	312.0	332.14	307.69	226.54	289.02	450.94	212.78	441.64	417.77	260.38	283.05	336.79	318.57	414.87	454.09	332.14	320.8	503.95	403.5	271.48	358.54	414.87	351.14	389.72	297.17	293.07	392.44	236.21	339.14	389.72	525.39	299.25	316.37	232.94	211.31	358.54	320.8	536.45	379.04	309.83	291.04	363.56	358.54	249.73	432.53	251.48	447.82	444.72	305.55	327.56	447.82	244.57	251.48	409.15	277.2
IREB2	119.26	575.03	723.08	237.86	255.0	171.45	185.11	293.07	232.94	169.07	336.79	108.14	264.03	208.38	221.86	309.83	229.72	253.23	329.84	387.02	291.04	197.09	171.45	403.5	253.23	194.36	256.78	351.14	260.38	229.72	189.02	463.65	256.78	224.97	157.68	275.28	228.13	239.52	234.57	151.22	223.41	348.71	153.34	346.29	353.59	232.94	220.32	277.2	236.21	264.03	376.41	271.48	208.38	454.09	318.57	199.85	329.84	314.17	277.2	277.2	190.34	215.77	312.0	169.07	305.55	363.56	395.18	190.34	204.07	183.82	220.32	297.17	249.73	420.68	281.09	256.78	223.41	295.11	283.05	175.07	376.41	201.25	392.44	358.54	214.27	239.52	366.09	172.65	236.21	346.29	177.53
KAT6A	167.9	205.5	232.94	149.12	211.31	146.03	111.99	231.32	180.02	131.51	241.19	126.12	224.97	143.01	167.9	307.69	182.55	209.84	287.01	277.2	208.38	144.01	144.01	293.07	190.34	155.5	195.72	334.46	191.67	255.0	138.1	368.65	175.07	173.85	103.69	249.73	182.55	234.57	190.34	109.66	149.12	299.25	125.24	356.05	283.05	139.07	169.07	194.36	214.27	234.57	309.83	153.34	159.9	314.17	271.48	148.09	265.87	361.04	189.02	279.14	142.01	167.9	258.57	134.3	199.85	295.11	426.57	156.59	161.02	153.34	142.01	281.09	211.31	353.59	239.52	197.09	164.42	242.88	224.97	143.01	395.18	158.79	348.71	289.02	151.22	173.85	301.33	139.07	163.28	258.57	144.01
KIAA0825	21.94	62.56	53.95	16.63	22.92	12.09	18.97	32.13	25.54	13.83	28.04	10.08	26.1	13.42	25.35	33.3	17.38	34.02	37.32	47.5	39.5	14.24	15.56	28.04	24.99	12.36	24.81	32.13	21.63	19.97	19.39	41.81	24.99	21.94	7.17	21.63	24.46	20.56	23.25	11.91	12.0	38.95	14.78	37.85	32.59	21.94	16.75	18.43	19.82	24.81	26.86	20.41	26.1	38.95	21.01	17.38	28.65	38.67	17.0	30.78	11.21	23.25	32.59	23.08	26.1	29.06	35.25	14.14	18.7	16.03	23.42	31.0	19.68	44.57	26.47	17.13	18.7	27.44	32.36	14.35	40.93	15.68	42.11	37.85	24.46	14.14	31.67	18.43	21.63	24.81	11.13
KIAA1430	253.23	457.25	921.88	301.33	376.41	277.2	218.79	406.31	371.22	262.2	423.61	182.55	444.72	217.27	267.73	529.06	320.8	414.87	567.1	583.07	476.71	218.79	256.78	559.28	265.87	231.32	409.15	567.1	334.46	454.09	267.73	674.59	279.14	438.59	205.5	450.94	327.56	432.53	293.07	211.31	204.07	595.34	239.52	587.13	486.75	309.83	366.09	316.37	309.83	420.68	547.75	301.33	265.87	665.29	351.14	260.38	466.88	684.02	336.79	454.09	301.33	295.11	518.15	258.57	486.75	503.95	698.41	341.51	297.17	289.02	303.44	435.55	376.41	723.08	476.71	403.5	267.73	441.64	432.53	220.32	587.13	323.03	674.59	603.67	299.25	336.79	579.04	220.32	373.81	480.04	223.41
KLHL24	297.17	872.1	384.34	228.13	351.14	145.02	170.25	381.68	305.55	157.68	514.56	173.85	323.03	170.25	204.07	379.04	351.14	301.33	420.68	444.72	255.0	150.17	171.45	409.15	256.78	281.09	305.55	316.37	287.01	256.78	178.77	327.56	358.54	246.28	123.5	273.37	269.6	234.57	260.38	209.84	217.27	366.09	189.02	454.09	334.46	271.48	204.07	234.57	249.73	297.17	438.59	218.79	169.07	348.71	255.0	249.73	414.87	384.34	231.32	325.29	246.28	260.38	329.84	242.88	341.51	507.46	392.44	135.24	325.29	299.25	234.57	532.74	283.05	507.46	277.2	258.57	241.19	384.34	297.17	218.79	603.67	253.23	514.56	366.09	164.42	248.0	316.37	154.42	167.9	476.71	214.27
KLHL28	59.55	265.87	162.14	52.45	62.12	39.79	49.56	74.58	56.68	36.27	97.36	21.78	85.22	50.63	59.55	104.42	57.49	74.06	102.97	113.56	107.38	48.18	46.18	87.65	68.07	45.21	75.64	102.97	59.97	66.65	47.84	133.36	62.56	69.03	23.42	87.65	71.5	67.59	53.95	41.22	45.85	99.43	43.02	105.15	99.43	48.18	49.56	67.59	73.54	71.5	114.36	51.71	67.12	110.43	79.45	49.21	84.63	102.25	58.71	93.35	39.5	50.63	84.63	44.25	66.65	84.63	96.68	41.81	61.68	44.57	43.63	82.87	66.65	127.0	77.25	55.89	52.82	77.79	69.03	36.53	100.13	49.21	121.79	115.97	58.71	63.0	108.9	47.17	59.55	86.43	49.56
LCOR	69.52	325.29	186.4	91.41	111.99	85.22	72.01	126.12	99.43	62.56	148.09	35.76	147.06	92.05	102.97	181.28	102.97	119.26	137.14	209.84	127.0	85.82	76.17	163.28	99.43	75.11	146.03	223.41	96.01	100.13	70.51	211.31	96.01	125.24	49.56	139.07	96.68	215.77	75.11	50.27	74.06	176.29	67.12	162.14	165.57	66.18	164.42	136.19	126.12	126.12	242.88	102.97	127.0	208.38	153.34	92.05	124.37	181.28	120.94	164.42	61.25	81.14	145.02	46.5	111.21	142.01	148.09	72.01	106.63	66.65	73.54	143.01	142.01	239.52	167.9	102.97	86.43	122.64	142.01	54.72	199.85	77.79	202.66	195.72	95.34	103.69	176.29	81.71	84.04	142.01	71.5
LEMD3	149.12	265.87	351.14	201.25	228.13	187.71	161.02	241.19	215.77	156.59	279.14	93.35	242.88	158.79	209.84	285.03	185.11	255.0	293.07	303.44	255.0	208.38	178.77	231.32	193.01	170.25	224.97	336.79	185.11	176.29	166.73	363.56	189.02	220.32	130.6	229.72	209.84	215.77	176.29	125.24	178.77	339.14	113.56	309.83	264.03	157.68	204.07	215.77	205.5	264.03	307.69	199.85	205.5	339.14	255.0	143.01	242.88	297.17	198.47	242.88	136.19	167.9	281.09	122.64	267.73	226.54	277.2	194.36	215.77	151.22	150.17	206.94	209.84	346.29	253.23	187.71	186.4	251.48	260.38	120.94	289.02	195.72	346.29	334.46	220.32	246.28	256.78	153.34	171.45	242.88	170.25
LIMD1	199.85	791.35	389.72	178.77	144.01	96.01	85.82	180.02	123.5	63.45	277.2	91.41	204.07	181.28	96.01	283.05	142.01	204.07	149.12	218.79	193.01	98.73	198.47	217.27	127.0	142.01	218.79	316.37	138.1	201.25	92.7	389.72	181.28	161.02	87.65	193.01	128.79	129.69	190.34	47.5	136.19	299.25	65.72	161.02	318.57	130.6	141.02	197.09	153.34	237.86	341.51	183.82	138.1	363.56	195.72	121.79	166.73	283.05	237.86	178.77	153.34	111.21	258.57	86.43	264.03	336.79	361.04	164.42	130.6	105.89	118.43	237.86	195.72	426.57	214.27	140.04	127.89	248.0	151.22	134.3	379.04	175.07	312.0	403.5	128.79	156.59	242.88	79.45	112.77	392.44	92.05
LNPEP	108.14	389.72	165.57	85.22	118.43	68.55	60.39	127.89	111.99	63.45	136.19	50.63	138.1	88.88	90.14	199.85	131.51	137.14	175.07	172.65	189.02	97.36	94.01	178.77	105.89	92.7	148.09	224.97	128.79	149.12	95.34	241.19	104.42	124.37	53.57	181.28	108.14	121.79	113.56	61.25	74.06	220.32	76.71	189.02	186.4	75.64	97.36	129.69	121.79	148.09	195.72	100.83	86.43	191.67	159.9	95.34	138.1	193.01	100.83	159.9	71.5	92.05	170.25	75.64	134.3	153.34	242.88	94.01	107.38	85.82	85.82	170.25	122.64	258.57	137.14	108.9	79.45	126.12	126.12	73.54	193.01	75.11	239.52	190.34	97.36	107.38	195.72	80.57	98.04	145.02	82.29
LTN1	85.82	260.38	189.02	102.25	112.77	82.87	72.52	153.34	145.02	64.34	173.85	35.25	143.01	90.14	105.15	186.4	98.04	131.51	177.53	190.34	110.43	84.04	83.45	169.07	119.26	100.83	109.66	193.01	108.14	118.43	76.71	217.27	109.66	122.64	62.56	138.1	102.25	125.24	96.01	68.55	100.83	171.45	71.0	211.31	163.28	98.04	107.38	144.01	111.99	144.01	180.02	100.83	116.78	201.25	182.55	94.67	159.9	182.55	117.6	145.02	68.55	105.89	149.12	84.04	165.57	151.22	178.77	76.17	115.16	85.22	84.63	143.01	111.99	269.6	140.04	112.77	109.66	162.14	175.07	79.45	202.66	82.29	172.65	181.28	112.77	103.69	178.77	78.89	122.64	149.12	75.11
MCM9	140.04	316.37	202.66	154.42	127.0	127.0	107.38	176.29	146.03	118.43	205.5	90.77	182.55	124.37	138.1	195.72	131.51	159.9	180.02	214.27	149.12	116.78	120.94	189.02	127.89	139.07	166.73	220.32	142.01	176.29	71.0	316.37	138.1	161.02	84.04	186.4	150.17	153.34	133.36	93.35	75.64	232.94	100.13	214.27	217.27	128.79	145.02	185.11	161.02	167.9	208.38	146.03	147.06	265.87	209.84	97.36	191.67	218.79	187.71	183.82	121.79	137.14	204.07	116.78	195.72	161.02	208.38	123.5	144.01	96.01	116.78	177.53	157.68	293.07	175.07	136.19	141.02	187.71	159.9	118.43	262.2	126.12	234.57	191.67	130.6	161.02	178.77	111.99	135.24	201.25	129.69
MED13L	212.78	587.13	872.1	170.25	223.41	183.82	125.24	246.28	187.71	120.1	358.54	87.65	312.0	181.28	180.02	325.29	223.41	246.28	297.17	343.89	253.23	138.1	155.5	305.55	217.27	163.28	249.73	368.65	217.27	244.57	157.68	420.68	234.57	217.27	111.21	246.28	269.6	277.2	197.09	105.15	149.12	387.02	134.3	353.59	346.29	146.03	202.66	273.37	253.23	265.87	334.46	183.82	202.66	348.71	373.81	187.71	318.57	341.51	239.52	281.09	166.73	183.82	253.23	172.65	256.78	381.68	409.15	178.77	223.41	178.77	175.07	341.51	224.97	514.56	264.03	215.77	221.86	249.73	237.86	152.28	376.41	211.31	417.77	336.79	165.57	214.27	356.05	131.51	162.14	371.22	165.57
MED14	567.1	389.72	563.18	409.15	353.59	271.48	232.94	400.71	389.72	287.01	595.34	224.97	563.18	323.03	320.8	476.71	348.71	414.87	518.15	493.56	332.14	297.17	271.48	473.41	303.44	295.11	309.83	470.14	312.0	497.0	260.38	507.46	295.11	368.65	211.31	389.72	325.29	392.44	348.71	267.73	234.57	583.07	291.04	454.09	420.68	285.03	457.25	429.54	414.87	392.44	454.09	281.09	348.71	579.04	438.59	297.17	460.44	525.39	358.54	441.64	293.07	381.68	438.59	258.57	395.18	460.44	463.65	291.04	329.84	248.0	256.78	595.34	376.41	651.58	361.04	409.15	320.8	397.93	441.64	279.14	567.1	323.03	518.15	460.44	412.0	353.59	438.59	336.79	358.54	450.94	318.57
