	TCGA.E7.A3X6.01A.12R.A22U.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.MA.AA3Z.01A.11R.A38B.07	TCGA.VS.A8QH.01A.11R.A37O.07	TCGA.C5.A2M1.01A.11R.A18M.07	TCGA.C5.A905.01A.11R.A37O.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.AZ.6608.01A.11R.1839.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AA.3495.01A.01R.1410.07	TCGA.AA.A02Y.01A.43R.A32Y.07	GTEX.14E6E.1526.SM.5RQIG	GTEX.1399S.1926.SM.5J2M5	GTEX.1122O.1526.SM.5N9CL	GTEX.XUZC.1326.SM.4BRV2	TCGA.38.4625.01A.01R.1206.07	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11EQ9.0226.SM.5A5JX	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.13O61.0726.SM.5J2MD	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.QESD.0626.SM.2I5G4	GTEX.ZT9W.0726.SM.4YCDC	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ	TCGA.DC.5337.01A.01R.1660.07	GTEX.X3Y1.1926.SM.4PQZO	GTEX.QCQG.0526.SM.48U2A
IQSEC1	363.56	231.32	173.85	108.14	287.01	175.07	145.02	217.27	82.29	229.72	132.44	62.12	186.4	167.9	150.17	157.68	1340.84	866.07	830.75	547.75	813.63	884.29	981.29	890.44	656.11	842.36	1066.48	665.29	483.38	1487.87	769.69	896.64	830.75	679.29	785.88	974.5	743.43	785.88	392.44	759.08	281.09	583.07	339.14	759.08	567.1	1037.29	819.3	915.51	769.69	684.02	718.08	1104.13	591.22	1259.69	486.75	669.92	915.51	974.5	406.31	132.44	409.15	299.25
JAM2	24.28	49.21	8.38	9.06	21.16	16.51	8.06	5.63	18.7	47.5	5.96	80.57	92.05	65.26	88.88	0.0	1733.13	665.29	1350.18	309.83	1030.12	2777.33	638.15	211.31	988.12	3146.52	1551.09	432.53	329.84	813.63	759.08	3419.52	2855.44	909.17	1551.09	426.57	738.29	4671.57	403.5	1651.0	223.41	325.29	629.35	480.04	480.04	638.15	1233.75	318.57	3190.46	348.71	2047.0	3146.52	251.48	547.75	1242.34	518.15	1008.9	1304.15	825.0	35.0	114.36	101.54
JAM3	47.5	54.33	17.25	43.63	40.07	24.28	73.03	46.5	42.71	142.01	38.12	56.68	111.21	79.45	116.78	0.0	633.73	988.12	1277.29	329.84	2178.83	1225.22	884.29	438.59	718.08	967.76	1199.98	379.04	351.14	1909.85	1340.84	1233.75	860.08	909.17	1268.46	356.05	599.49	1819.35	476.71	813.63	447.82	518.15	291.04	414.87	571.05	854.13	909.17	287.01	780.44	785.88	775.05	1540.37	289.02	336.79	1167.14	961.07	1508.65	651.58	665.29	78.34	150.17	150.17
KANK2	656.11	389.72	684.02	318.57	813.63	470.14	384.34	423.61	229.72	599.49	149.12	226.54	575.03	454.09	620.67	854.13	4066.71	6471.02	6471.02	3372.43	3794.3	7433.4	3081.75	3982.99	4836.35	9606.86	8598.28	3146.52	3515.68	7230.1	6250.56	9279.58	7433.4	2018.8	7966.99	3901.01	3443.31	7695.57	3103.19	7485.11	1331.57	3146.52	2796.65	4639.29	1277.29	7642.41	9606.86	2816.11	8022.41	3639.7	2976.74	6983.79	5672.41	6037.61	3467.27	2682.69	3982.99	3874.05	3665.02	316.37	258.57	866.07
KANK3	16.88	21.47	164.42	16.39	14.78	21.47	20.11	13.72	14.56	28.24	7.57	30.12	51.35	47.17	52.08	0.0	432.53	684.02	819.3	400.71	1159.07	860.08	497.0	802.41	395.18	1277.29	2367.9	775.05	595.34	575.03	269.6	1277.29	1111.82	483.38	941.27	540.19	928.3	1540.37	232.94	890.44	249.73	514.56	559.28	769.69	204.07	567.1	417.77	511.0	961.07	540.19	532.74	1304.15	336.79	651.58	339.14	493.56	708.18	612.11	571.05	22.43	82.87	55.49
KIAA1462	47.5	36.01	16.15	33.3	31.22	16.63	52.45	20.71	14.89	57.49	10.47	13.42	33.78	27.64	22.75	244.57	2645.74	1119.56	1674.06	981.29	1508.65	1909.85	830.75	1662.49	1617.0	3847.29	4639.29	819.3	819.3	1437.15	1030.12	4010.71	2591.27	909.17	3982.99	703.28	1662.49	5954.47	1051.79	2384.37	409.15	791.35	583.07	1191.69	376.41	1909.85	1143.1	1023.0	4419.52	785.88	3190.46	7032.37	981.29	1697.45	988.12	738.29	3794.3	1167.14	872.1	63.0	248.0	50.98
KLF17	0.31	1.27	1.57	0.28	0.27	0.0	0.61	0.58	0.0	0.0	0.67	0.0	0.19	0.83	0.39	0.0	16.51	7.22	9.27	3.66	8.0	6.89	9.13	7.28	5.68	5.59	12.83	4.5	7.88	16.03	3.99	11.55	7.69	6.73	14.24	1.81	8.32	17.25	8.13	15.56	14.24	8.58	3.08	15.22	10.96	17.51	12.09	5.45	6.67	3.53	5.06	4.54	5.59	5.87	6.41	5.82	6.52	12.09	8.58	0.6	0.27	0.0
LAYN	120.1	68.55	92.7	24.28	66.65	17.0	38.12	16.75	55.1	64.8	12.45	19.68	42.41	34.75	35.0	0.0	848.22	163.28	320.8	371.22	684.02	518.15	218.79	218.79	1883.54	2104.58	647.07	125.24	92.7	551.56	389.72	728.11	1143.1	559.28	1233.75	221.86	189.02	764.36	651.58	441.64	503.95	150.17	1059.11	236.21	579.04	698.41	708.18	74.06	379.04	76.17	483.38	981.29	187.71	332.14	693.58	190.34	2178.83	941.27	423.61	91.41	127.89	74.58
LHFP	153.34	167.9	55.1	55.1	84.04	52.45	138.1	78.34	81.71	244.57	22.43	56.68	99.43	105.89	111.21	226.54	4095.0	1407.55	1936.53	633.73	1104.13	3742.05	808.0	1437.15	2758.13	2148.82	5006.93	1350.18	1819.35	2451.44	3103.19	4512.4	3614.55	2255.7	5076.84	2319.15	2555.58	2682.69	2664.15	3146.52	928.3	2240.11	1175.27	2148.82	1378.57	2319.15	3124.78	1242.34	3146.52	738.29	1794.29	3103.19	1340.84	1369.04	3039.3	1529.73	2915.45	2255.7	1757.34	217.27	323.03	231.32
LRRC4B	13.12	6.67	1.64	4.74	2.89	3.23	8.32	6.67	2.78	21.63	1.6	9.93	18.29	18.43	25.91	0.0	327.56	59.55	74.06	48.18	83.45	208.38	53.57	76.71	206.94	137.14	575.03	42.71	17.64	215.77	33.54	158.79	209.84	264.03	348.71	54.72	56.28	118.43	149.12	392.44	17.13	39.5	36.79	42.41	71.0	167.9	180.02	30.56	159.9	47.17	123.5	218.79	34.02	50.63	85.22	31.67	221.86	149.12	43.32	7.28	10.08	12.74
MYZAP	323.03	157.68	18.29	236.21	16.88	45.85	48.18	103.69	100.83	138.1	79.45	104.42	669.92	381.68	194.36	0.0	2502.97	3190.46	1685.71	1268.46	575.03	5183.54	684.02	1594.73	1350.18	791.35	1605.83	361.04	1388.16	808.0	1250.98	5219.6	3443.31	2061.24	8840.04	1208.34	3955.48	954.43	595.34	1359.57	171.45	1313.23	341.51	559.28	1030.12	1819.35	603.67	967.76	4038.61	1135.2	1259.69	1709.26	1268.46	255.0	1295.13	1277.29	2956.17	1487.87	733.19	70.01	521.76	460.44
NMUR1	4.28	2.2	2.16	1.69	1.38	0.26	2.71	1.25	4.74	12.18	2.68	12.55	42.71	16.75	13.32	0.0	191.67	132.44	116.78	58.3	37.59	195.72	36.79	72.52	41.52	182.55	129.69	41.52	64.34	58.3	6.26	332.14	205.5	48.52	77.25	88.88	178.77	183.82	25.91	94.01	6.06	39.79	18.7	88.88	11.91	28.45	142.01	44.57	283.05	36.53	78.89	363.56	108.14	46.18	88.88	80.57	61.25	70.51	43.02	6.36	1.73	73.03
NTNG1	3.08	0.39	0.39	1.03	0.0	0.38	0.0	0.0	0.0	1.19	0.0	1.64	1.06	1.25	1.79	71.5	251.48	68.55	307.69	37.05	39.5	571.05	92.05	74.58	262.2	303.44	279.14	55.89	66.65	226.54	148.09	1119.56	1073.91	232.94	674.59	178.77	72.52	368.65	25.35	679.29	22.1	31.22	27.05	41.52	31.22	429.54	563.18	23.76	651.58	23.42	447.82	490.14	153.34	98.04	265.87	41.22	44.25	186.4	49.91	0.0	0.0	0.58
NXPH3	18.43	14.89	16.63	7.46	3.06	2.56	19.82	4.66	9.63	2.73	1.43	6.62	16.03	10.96	7.17	0.0	189.02	221.86	332.14	80.57	147.06	343.89	31.9	135.24	332.14	303.44	624.99	79.45	87.03	265.87	96.68	559.28	536.45	52.82	361.04	251.48	148.09	493.56	116.78	237.86	31.22	64.34	44.57	151.22	49.21	186.4	253.23	68.07	587.13	108.9	193.01	368.65	94.01	417.77	114.36	159.9	258.57	93.35	127.0	10.08	18.03	21.63
OLFML1	25.91	35.5	11.04	17.64	20.71	8.25	21.47	7.06	10.71	43.02	3.32	23.42	41.52	36.53	52.82	0.0	651.58	486.75	703.28	180.02	232.94	1037.29	223.41	348.71	785.88	909.17	1295.13	171.45	497.0	688.78	429.54	1639.59	1286.18	397.93	1216.75	423.61	217.27	1008.9	221.86	1037.29	73.03	186.4	88.26	239.52	201.25	748.61	947.83	199.85	1073.91	167.9	429.54	981.29	483.38	420.68	1127.35	206.94	543.96	551.56	329.84	40.64	36.27	92.7
PDE1C	2.78	1.66	2.68	2.78	0.58	0.55	4.9	5.54	3.38	26.1	3.66	13.42	36.27	35.0	46.18	0.0	275.28	111.21	153.34	56.28	120.94	684.02	77.79	62.56	327.56	152.28	320.8	92.05	101.54	289.02	176.29	607.87	356.05	248.0	466.88	54.33	64.34	132.44	52.82	285.03	72.52	75.11	43.94	83.45	68.55	366.09	214.27	22.75	154.42	77.79	135.24	642.59	56.28	92.05	206.94	40.64	221.86	120.1	32.59	3.38	10.16	29.7
PDLIM2	218.79	368.65	642.59	450.94	127.89	1721.16	366.09	151.22	470.14	435.55	246.28	1378.57	1457.23	1111.82	884.29	0.0	3491.39	3820.7	4512.4	3395.89	2645.74	4210.15	2720.15	3168.41	2777.33	5672.41	4388.98	3742.05	2976.74	2032.85	2537.92	6207.38	3928.15	2319.15	5831.91	4736.79	3768.09	6983.79	2875.3	2816.11	3847.29	3280.18	1870.53	3146.52	4972.34	2287.2	4066.71	9606.86	5479.15	3280.18	1551.09	6294.04	4639.29	5751.61	3768.09	3564.78	4769.75	2502.97	4802.93	334.46	1529.73	802.41
PDZRN3	36.53	57.49	138.1	48.87	12.0	10.79	21.94	77.25	15.68	161.02	75.64	70.51	120.94	127.0	158.79	55.1	218.79	384.34	299.25	118.43	314.17	567.1	76.17	155.5	444.72	473.41	1540.37	241.19	412.0	226.54	128.79	1437.15	848.22	157.68	417.77	379.04	142.01	358.54	155.5	358.54	183.82	94.67	63.45	194.36	25.91	447.82	1277.29	54.72	497.0	150.17	241.19	571.05	511.0	249.73	144.01	133.36	165.57	128.79	180.02	140.04	361.04	171.45
PIEZO2	4.03	4.78	1.99	1.79	3.14	1.36	10.96	3.96	1.25	10.08	0.87	5.41	5.59	9.27	8.58	0.0	118.43	78.89	111.99	45.85	111.99	239.52	110.43	40.93	356.05	201.25	332.14	82.29	113.56	256.78	220.32	316.37	708.18	152.28	656.11	103.69	21.78	299.25	61.25	420.68	73.54	32.36	91.41	21.63	31.0	353.59	384.34	57.08	346.29	51.71	204.07	178.77	134.3	72.01	260.38	43.32	118.43	122.64	67.59	3.63	1.16	17.51
PKD2	119.26	96.68	72.52	26.1	115.97	103.69	76.17	79.45	30.78	111.99	43.63	31.45	99.43	80.57	58.71	0.0	490.14	896.64	802.41	444.72	395.18	490.14	287.01	307.69	743.43	738.29	361.04	669.92	285.03	802.41	447.82	819.3	813.63	241.19	780.44	860.08	514.56	872.1	457.25	575.03	201.25	460.44	305.55	656.11	291.04	1001.93	525.39	279.14	587.13	256.78	463.65	633.73	368.65	878.17	791.35	341.51	555.41	470.14	307.69	102.97	112.77	111.99
PLA2G5	12.55	5.96	1.71	1.11	0.77	0.0	5.06	2.89	8.99	39.79	4.43	26.86	8.51	15.68	16.51	0.0	198.47	84.63	242.88	74.58	80.01	287.01	141.02	265.87	127.0	124.37	591.22	95.34	575.03	239.52	46.84	221.86	389.72	27.25	77.25	301.33	253.23	514.56	50.27	190.34	7.82	239.52	57.08	158.79	24.46	141.02	221.86	159.9	172.65	202.66	128.79	255.0	490.14	165.57	135.24	202.66	95.34	49.21	88.88	47.17	19.39	21.32
PLSCR4	115.97	307.69	189.02	144.01	75.64	71.0	47.84	63.89	55.49	197.09	76.71	463.65	463.65	500.46	353.59	130.6	947.83	1295.13	1191.69	379.04	713.11	1447.15	547.75	368.65	1487.87	1583.71	1167.14	373.81	473.41	1135.2	1427.22	2777.33	1628.26	551.56	2075.59	1066.48	463.65	1651.0	860.08	1594.73	262.2	1015.93	1225.22	656.11	860.08	1250.98	1487.87	297.17	1167.14	220.32	1295.13	1733.13	466.88	753.83	1322.37	567.1	941.27	860.08	836.53	116.78	246.28	126.12
PLXDC2	267.73	351.14	75.11	25.17	229.72	82.87	37.59	12.18	64.34	77.79	23.93	61.25	72.01	123.5	56.28	0.0	808.0	1199.98	1233.75	373.81	974.5	981.29	995.0	368.65	915.51	1977.24	1135.2	486.75	444.72	1359.57	555.41	1697.45	1159.07	669.92	1757.34	890.44	441.64	1111.82	463.65	1745.2	111.21	624.99	387.02	866.07	332.14	1628.26	1819.35	603.67	947.83	457.25	1081.39	1417.35	444.72	915.51	1066.48	470.14	775.05	860.08	688.78	49.56	178.77	170.25
PPAPDC3	5.28	7.82	1.16	5.28	4.58	9.13	7.57	3.92	8.32	33.78	1.41	18.16	13.22	15.34	11.38	0.0	16.27	38.95	34.02	24.81	67.59	34.51	32.36	39.5	36.27	66.65	108.9	36.79	25.54	68.55	9.13	72.52	73.54	9.78	35.5	40.64	28.86	155.5	18.16	50.63	29.91	24.11	24.46	29.7	16.03	27.44	48.52	13.83	72.52	22.26	84.63	15.68	35.0	29.91	15.34	25.91	43.94	20.86	25.72	22.75	18.7	20.11
PRDM6	8.92	10.96	15.11	1.93	7.63	9.41	13.03	2.16	0.82	9.27	0.0	2.66	3.72	2.68	4.86	0.0	70.01	77.25	81.14	25.72	75.64	183.82	75.64	55.49	361.04	189.02	176.29	67.59	78.34	154.42	35.5	351.14	251.48	65.26	281.09	61.25	57.89	115.97	47.84	106.63	21.78	18.29	31.0	60.82	18.56	236.21	221.86	21.32	109.66	39.79	117.6	140.04	65.26	85.22	38.12	27.05	166.73	38.95	37.85	17.64	1.41	8.85
PRKCDBP	329.84	193.01	173.85	265.87	75.64	117.6	223.41	206.94	540.19	334.46	67.12	120.94	119.26	147.06	199.85	0.0	660.68	813.63	1037.29	532.74	486.75	896.64	384.34	802.41	616.37	1819.35	3395.89	1127.35	813.63	674.59	211.31	1977.24	1685.71	353.59	1437.15	1111.82	1167.14	2835.7	403.5	1073.91	132.44	353.59	206.94	1096.5	180.02	231.32	1583.71	974.5	1628.26	791.35	693.58	1151.06	854.13	1127.35	429.54	395.18	500.46	389.72	429.54	363.56	147.06	591.22
PRKG1	11.3	8.25	3.79	17.9	2.25	3.0	14.67	27.84	7.75	59.13	41.81	21.47	29.91	29.91	32.13	0.0	279.14	214.27	249.73	110.43	147.06	366.09	281.09	94.67	403.5	373.81	397.93	111.99	98.04	241.19	197.09	647.07	356.05	157.68	323.03	291.04	120.1	432.53	73.03	253.23	71.5	100.13	67.59	133.36	118.43	249.73	435.55	73.03	169.07	120.94	201.25	454.09	158.79	206.94	293.07	117.6	314.17	144.01	115.97	63.89	20.41	58.71
PRRG3	1.22	13.93	0.0	0.39	0.39	0.0	0.73	0.0	0.34	0.74	0.0	2.05	9.48	0.55	0.55	0.0	35.25	11.64	37.32	6.73	9.41	23.25	7.11	13.52	57.08	26.86	25.35	5.11	12.55	90.14	15.8	64.34	40.64	5.28	107.38	35.76	6.52	77.25	16.39	130.6	4.21	0.42	0.84	5.82	12.36	50.27	39.79	5.82	121.79	17.13	45.85	105.15	10.47	14.45	62.56	2.05	49.91	68.55	5.77	6.21	1.07	2.56
PRSS35	1.23	2.94	0.0	3.5	0.0	0.18	2.32	0.65	0.15	0.99	0.0	1.08	0.0	2.32	0.0	0.0	82.29	54.33	65.26	35.76	23.08	88.88	28.45	34.02	40.36	53.57	77.25	21.78	42.11	29.91	57.49	231.32	142.01	43.63	146.03	55.89	43.63	40.07	31.22	40.93	22.75	18.03	22.92	34.26	29.06	12.93	92.7	10.63	96.01	31.45	82.29	116.78	32.13	42.71	126.12	18.29	108.9	58.3	21.78	3.56	8.85	6.52
RASL12	38.4	29.27	10.16	42.71	13.52	12.27	49.91	36.01	24.63	100.13	19.68	50.98	67.59	44.25	74.06	0.0	890.44	457.25	738.29	297.17	368.65	1417.35	555.41	361.04	1322.37	909.17	2720.15	283.05	819.3	1143.1	514.56	1617.0	1340.84	791.35	1721.16	551.56	591.22	1268.46	356.05	1519.15	559.28	450.94	397.93	444.72	195.72	1111.82	2627.46	309.83	1844.76	555.41	412.0	860.08	665.29	406.31	665.29	563.18	1277.29	599.49	242.88	83.45	67.59	84.04
RHOJ	54.72	34.26	14.56	19.53	18.84	9.27	26.28	18.56	25.91	56.68	6.36	33.06	47.84	27.84	49.56	54.72	848.22	283.05	854.13	269.6	733.19	1268.46	332.14	256.78	1051.79	728.11	1119.56	299.25	348.71	981.29	624.99	1037.29	1111.82	2367.9	1806.78	242.88	316.37	819.3	363.56	1417.35	1159.07	246.28	429.54	356.05	575.03	830.75	567.1	190.34	1037.29	163.28	753.83	1191.69	273.37	409.15	1844.76	267.73	603.67	813.63	518.15	91.41	85.82	111.99
SCARF2	49.21	36.27	34.75	22.1	14.35	18.97	75.11	15.45	26.28	71.0	12.45	14.24	47.5	27.44	25.54	0.0	251.48	234.57	262.2	144.01	275.28	105.15	146.03	182.55	314.17	567.1	808.0	438.59	149.12	212.78	77.79	379.04	269.6	400.71	656.11	291.04	204.07	629.35	356.05	620.67	85.22	209.84	171.45	463.65	68.55	444.72	327.56	71.5	260.38	116.78	175.07	540.19	279.14	693.58	273.37	185.11	587.13	406.31	135.24	57.08	23.76	49.91
SCN4B	91.41	22.26	3.59	3.14	3.08	3.11	5.19	12.93	1.62	17.13	3.23	19.39	23.25	28.24	19.53	0.0	1709.26	171.45	836.53	119.26	603.67	1896.65	178.77	224.97	642.59	291.04	896.64	255.0	244.57	848.22	283.05	1487.87	934.76	1378.57	2682.69	285.03	248.0	651.58	358.54	1662.49	162.14	241.19	75.64	162.14	316.37	2935.74	1427.22	112.77	1909.85	94.01	295.11	1059.11	486.75	74.06	1487.87	339.14	547.75	591.22	224.97	3.5	83.45	31.0
SEC22C	476.71	400.71	285.03	109.66	599.49	96.01	314.17	483.38	169.07	599.49	320.8	109.66	228.13	208.38	237.86	698.41	1259.69	1628.26	1001.93	1359.57	947.83	1674.06	718.08	1191.69	684.02	1277.29	1073.91	1208.34	1407.55	743.43	1159.07	1662.49	1322.37	551.56	2004.85	1697.45	1583.71	1286.18	1175.27	928.3	629.35	1508.65	665.29	1467.37	909.17	909.17	1001.93	1175.27	1369.04	1268.46	902.89	1175.27	1268.46	1923.14	921.88	1427.22	1277.29	1059.11	708.18	529.06	351.14	780.44
SGCG	0.0	0.88	0.0	0.0	1.43	0.55	0.0	0.0	0.0	0.15	0.0	2.39	4.39	1.81	5.23	0.0	223.41	279.14	241.19	65.26	156.59	376.41	212.78	55.49	389.72	441.64	518.15	198.47	87.65	183.82	181.28	842.36	674.59	403.5	603.67	167.9	197.09	277.2	48.87	483.38	13.22	70.51	8.19	114.36	63.0	426.57	620.67	86.43	473.41	102.25	144.01	529.06	86.43	237.86	265.87	92.7	137.14	177.53	74.58	0.48	81.71	0.0
SOX5	1.87	4.94	1.83	3.79	6.46	0.53	5.06	3.29	1.35	5.96	1.45	5.87	7.22	3.17	5.32	0.0	82.29	113.56	85.82	17.9	27.25	153.34	30.56	63.45	183.82	82.29	96.68	43.32	36.79	182.55	75.11	107.38	71.5	65.72	64.8	74.06	28.45	94.67	55.89	57.49	11.82	41.52	43.32	67.59	63.45	112.77	94.67	27.84	74.58	50.63	81.71	134.3	77.25	52.08	59.97	38.67	53.19	112.77	48.52	4.94	14.03	16.03
SYDE1	111.21	165.57	50.63	47.17	24.11	29.7	92.7	45.53	46.5	143.01	19.97	28.86	68.07	49.91	51.71	0.0	221.86	470.14	162.14	358.54	329.84	264.03	108.9	476.71	183.82	381.68	684.02	289.02	555.41	186.4	507.46	348.71	429.54	204.07	532.74	470.14	379.04	743.43	234.57	341.51	389.72	175.07	154.42	336.79	212.78	532.74	242.88	228.13	420.68	148.09	204.07	293.07	314.17	297.17	118.43	316.37	231.32	144.01	438.59	120.1	45.85	106.63
TBX2	65.26	35.0	14.56	51.71	11.82	10.0	80.01	47.5	45.53	121.79	23.76	145.02	205.5	237.86	191.67	0.0	2485.67	934.76	921.88	612.11	1044.52	1697.45	1313.23	1572.76	2935.74	3443.31	4210.15	1304.15	1111.82	3060.45	921.88	3419.52	3303.0	1127.35	4972.34	1277.29	1662.49	2119.22	1572.76	3955.48	490.14	693.58	571.05	1457.23	651.58	3614.55	3303.0	884.29	2520.38	902.89	1331.57	5006.93	1159.07	2303.12	1051.79	624.99	2573.36	1508.65	450.94	90.77	53.57	180.02
TBX5	2.18	0.4	0.0	2.61	0.0	0.0	2.68	0.57	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	518.15	285.03	148.09	84.04	133.36	759.08	373.81	248.0	320.8	500.46	684.02	152.28	540.19	599.49	961.07	995.0	728.11	122.64	934.76	406.31	432.53	334.46	507.46	503.95	127.89	102.97	94.67	339.14	175.07	669.92	599.49	205.5	547.75	271.48	312.0	406.31	301.33	460.44	66.18	379.04	379.04	307.69	144.01	0.0	7.75	0.0
TCEAL7	20.71	15.11	2.39	8.51	8.06	7.75	16.63	5.96	16.39	33.06	3.11	23.59	29.27	31.45	33.78	0.0	334.46	63.45	114.36	43.02	110.43	312.0	97.36	33.78	251.48	389.72	312.0	61.68	65.72	269.6	82.29	318.57	255.0	73.03	327.56	190.34	59.13	638.15	91.41	171.45	10.16	59.97	32.59	53.57	68.55	129.69	318.57	31.0	277.2	68.07	371.22	215.77	77.25	80.01	255.0	24.81	215.77	117.6	39.22	101.54	20.71	41.81
TIE1	101.54	96.68	29.91	40.93	54.33	32.82	61.68	36.53	46.18	104.42	10.88	42.11	120.94	72.01	106.63	0.0	2004.85	947.83	1304.15	429.54	1697.45	1857.6	1183.45	854.13	2915.45	3419.52	2609.3	603.67	389.72	2485.67	1781.89	4671.57	2935.74	2573.36	4123.49	748.61	620.67	3515.68	1467.37	4038.61	836.53	384.34	647.07	909.17	928.3	2271.4	688.78	860.08	4836.35	575.03	2701.35	4239.45	480.04	961.07	2178.83	802.41	4419.52	2485.67	1844.76	70.01	144.01	56.28
TMEM200B	104.42	59.97	281.09	44.57	30.78	55.1	37.32	35.0	41.22	88.26	6.41	34.02	52.08	40.07	48.87	0.0	183.82	151.22	356.05	66.65	127.0	269.6	223.41	94.01	379.04	212.78	633.73	178.77	110.43	346.29	56.28	185.11	291.04	182.55	429.54	220.32	124.37	412.0	90.14	348.71	20.26	106.63	87.03	133.36	40.36	273.37	379.04	61.68	275.28	144.01	102.25	389.72	133.36	199.85	206.94	173.85	189.02	202.66	49.21	48.52	66.65	81.71
TMEM47	1561.89	122.64	4.31	21.94	27.05	7.69	31.45	10.55	24.46	73.03	6.67	22.92	48.52	55.1	44.57	0.0	941.27	708.18	1127.35	473.41	575.03	1359.57	470.14	373.81	1295.13	1096.5	947.83	392.44	368.65	567.1	429.54	2351.53	1295.13	532.74	1259.69	836.53	559.28	1519.15	256.78	813.63	145.02	441.64	211.31	684.02	297.17	723.08	1044.52	214.27	890.44	325.29	708.18	1037.29	348.71	909.17	1819.35	595.34	1498.22	629.35	813.63	59.55	158.79	105.15
TNFSF12	279.14	379.04	251.48	133.36	287.01	71.5	66.65	73.03	305.55	432.53	241.19	140.04	303.44	267.73	226.54	0.0	3515.68	4239.45	3280.18	1487.87	2287.2	1883.54	1350.18	2335.28	1870.53	2816.11	7857.29	2163.77	2520.38	4210.15	738.29	3039.3	3928.15	813.63	2255.7	2935.74	3235.01	4937.99	878.17	3564.78	279.14	1909.85	684.02	2682.69	813.63	1295.13	3103.19	2835.7	5076.84	3103.19	1674.06	2895.31	1685.71	3491.39	1417.35	1870.53	2335.28	1896.65	1896.65	316.37	518.15	620.67
VASH1	112.77	106.63	74.58	50.63	117.6	37.59	75.11	37.32	33.3	73.03	28.04	17.64	90.14	45.85	66.18	0.0	1104.13	271.48	438.59	157.68	583.07	607.87	348.71	450.94	656.11	316.37	848.22	191.67	341.51	902.89	156.59	379.04	647.07	228.13	988.12	518.15	241.19	429.54	253.23	934.76	100.13	255.0	353.59	381.68	218.79	575.03	246.28	507.46	921.88	215.77	563.18	463.65	229.72	551.56	159.9	291.04	289.02	211.31	202.66	51.35	56.68	109.66
ZEB1	45.53	48.52	19.25	32.13	48.18	10.31	44.25	19.25	22.26	101.54	18.56	35.76	55.89	61.68	57.08	50.63	660.68	466.88	551.56	246.28	381.68	909.17	612.11	202.66	620.67	575.03	525.39	232.94	186.4	759.08	555.41	813.63	587.13	1023.0	974.5	457.25	314.17	547.75	473.41	454.09	493.56	426.57	320.8	423.61	426.57	860.08	698.41	175.07	507.46	307.69	420.68	728.11	262.2	371.22	769.69	320.8	915.51	684.02	381.68	71.5	51.71	129.69
ZFPM2	9.85	8.71	0.0	3.17	38.12	3.2	2.66	1.3	3.82	13.72	0.96	1.51	5.23	7.75	14.14	0.0	85.22	128.79	72.52	46.84	89.51	121.79	72.01	41.52	244.57	162.14	229.72	63.0	46.84	397.93	87.03	301.33	262.2	108.14	138.1	84.63	54.33	130.6	85.82	169.07	37.85	62.12	23.42	51.71	76.17	115.97	91.41	25.91	96.68	43.02	73.54	127.0	86.43	114.36	152.28	44.89	120.94	72.01	56.28	4.66	15.56	28.04
