	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07
KIF27	12.18	21.01	8.51	43.63	35.76	104.42	38.12	50.98	90.14	94.67	99.43	27.44	33.54	82.87	53.19	28.65	48.52	72.52	55.89	38.12	92.7	99.43	20.11	61.25	39.22	146.03	32.59	26.28	165.57	124.37	80.01	112.77	140.04	150.17	214.27	123.5	136.19	99.43	100.13	140.04	75.64	66.65	132.44	178.77	48.18	171.45	12.09	37.59	15.34	14.35	14.78	2.16	0.0
KLHDC1	6.11	8.92	19.53	48.87	50.63	31.67	10.79	65.72	48.52	46.18	45.21	10.24	26.47	42.71	19.82	39.79	33.54	23.25	23.76	21.78	55.89	78.34	18.16	50.27	63.0	131.51	40.07	64.8	158.79	102.97	83.45	169.07	256.78	132.44	201.25	127.89	146.03	143.01	108.9	89.51	54.33	64.34	267.73	141.02	54.33	144.01	7.34	17.64	10.31	12.83	15.22	13.03	0.0
KMT2E	111.99	84.63	158.79	301.33	583.07	665.29	303.44	878.17	967.76	540.19	444.72	343.89	361.04	486.75	507.46	460.44	318.57	595.34	511.0	329.84	674.59	728.11	256.78	559.28	444.72	1199.98	271.48	473.41	1322.37	896.64	733.19	995.0	1088.92	1104.13	1111.82	988.12	1023.0	981.29	780.44	813.63	599.49	329.84	1233.75	1104.13	368.65	1073.91	133.36	91.41	82.29	223.41	108.14	46.18	246.28
LRRC57	142.01	134.3	171.45	309.83	329.84	339.14	190.34	575.03	332.14	166.73	320.8	231.32	119.26	248.0	253.23	183.82	281.09	341.51	220.32	249.73	264.03	409.15	142.01	361.04	218.79	384.34	237.86	258.57	460.44	432.53	379.04	435.55	392.44	351.14	417.77	325.29	348.71	872.1	395.18	417.77	191.67	244.57	507.46	361.04	392.44	473.41	119.26	89.51	88.26	115.97	63.0	59.55	0.0
MATR3	1844.76	1487.87	2271.4	4543.8	5954.47	4671.57	2701.35	5219.6	5913.33	5076.84	5711.87	3168.41	2133.97	5633.22	4937.99	4543.8	3955.48	3491.39	3564.78	2178.83	4903.87	6207.38	2956.17	3901.01	4937.99	6381.92	3874.05	5076.84	8778.97	5831.91	6207.38	7230.1	7911.95	6037.61	7280.4	5366.37	4972.34	5594.3	7803.01	4836.35	4836.35	4010.71	8247.98	5633.22	4512.4	6337.83	1322.37	1096.5	1151.06	1819.35	1397.83	514.56	2682.69
MEGF9	45.53	77.25	84.63	204.07	260.38	147.06	204.07	332.14	323.03	363.56	890.44	92.7	58.71	486.75	351.14	454.09	232.94	332.14	151.22	56.28	547.75	647.07	149.12	214.27	264.03	638.15	426.57	358.54	480.04	470.14	547.75	518.15	483.38	642.59	3515.68	518.15	234.57	555.41	325.29	435.55	269.6	164.42	1191.69	463.65	480.04	575.03	500.46	176.29	334.46	211.31	148.09	190.34	0.0
MFAP3	178.77	128.79	149.12	473.41	629.35	301.33	320.8	368.65	547.75	616.37	503.95	164.42	166.73	460.44	361.04	387.02	366.09	279.14	242.88	147.06	361.04	483.38	228.13	1167.14	314.17	587.13	231.32	395.18	674.59	444.72	454.09	638.15	414.87	194.36	450.94	281.09	543.96	305.55	172.65	435.55	974.5	204.07	567.1	327.56	307.69	884.29	104.42	107.38	101.54	186.4	126.12	110.43	0.0
MGP	323.03	48307.85	275175.93	998912.34	1139523.1	659036.03	593956.43	502929.67	736332.6	623486.02	716197.51	360589.03	350728.68	546551.29	569761.05	1196176.45	411347.03	405683.88	539026.74	443937.41	623486.02	434801.29	402881.61	706337.4	687022.54	343510.77	301123.38	425853.18	110983.6	462789.59	800198.39	397335.0	358098.26	598087.73	585779.24	1524599.69	496005.67	400098.69	565825.41	565825.41	869603.57	1100706.72	845824.19	496005.67	1308968.45	614902.29	251.48	5441.3	1350.18	1487.87	6250.56	387.02	3419.52
NEK1	80.57	24.99	38.12	115.16	134.3	105.89	64.8	105.89	220.32	123.5	111.99	68.55	38.95	99.43	85.82	87.03	102.97	61.68	96.68	52.45	143.01	185.11	43.94	111.21	82.87	199.85	107.38	135.24	287.01	169.07	159.9	244.57	366.09	299.25	269.6	244.57	202.66	211.31	167.9	194.36	98.04	93.35	262.2	194.36	112.77	332.14	33.3	21.32	25.35	24.99	20.41	19.53	0.0
NOL8	314.17	248.0	228.13	283.05	309.83	435.55	273.37	291.04	638.15	543.96	518.15	536.45	271.48	532.74	486.75	343.89	514.56	339.14	371.22	320.8	555.41	490.14	392.44	417.77	325.29	595.34	373.81	371.22	733.19	463.65	470.14	497.0	819.3	406.31	684.02	514.56	395.18	616.37	373.81	525.39	567.1	346.29	665.29	733.19	262.2	532.74	161.02	260.38	164.42	234.57	176.29	38.95	0.0
PCNXL4	295.11	211.31	277.2	454.09	334.46	426.57	178.77	447.82	567.1	435.55	591.22	281.09	211.31	358.54	392.44	420.68	486.75	271.48	316.37	262.2	547.75	551.56	301.33	429.54	332.14	698.41	363.56	500.46	1030.12	629.35	559.28	836.53	743.43	616.37	1015.93	518.15	612.11	624.99	423.61	612.11	395.18	400.71	620.67	647.07	307.69	759.08	85.82	106.63	80.01	80.57	215.77	126.12	0.0
PGGT1B	149.12	171.45	173.85	450.94	470.14	242.88	258.57	473.41	575.03	493.56	616.37	166.73	150.17	447.82	371.22	444.72	400.71	197.09	209.84	95.34	406.31	476.71	201.25	323.03	395.18	450.94	242.88	320.8	599.49	409.15	395.18	607.87	486.75	307.69	571.05	379.04	371.22	353.59	309.83	327.56	521.76	323.03	514.56	514.56	409.15	890.44	102.25	111.21	88.88	120.94	55.49	129.69	138.1
PHF2	185.11	189.02	258.57	384.34	301.33	346.29	209.84	329.84	616.37	532.74	559.28	384.34	287.01	438.59	387.02	392.44	249.73	242.88	327.56	361.04	674.59	603.67	366.09	473.41	460.44	620.67	441.64	571.05	587.13	612.11	540.19	511.0	780.44	642.59	651.58	796.86	743.43	688.78	878.17	684.02	480.04	356.05	514.56	780.44	447.82	612.11	107.38	111.21	102.25	110.43	100.13	124.37	173.85
PKP4	381.68	307.69	423.61	941.27	1561.89	708.18	1487.87	785.88	1427.22	1259.69	1487.87	1051.79	559.28	1073.91	988.12	825.0	612.11	878.17	728.11	563.18	1508.65	2004.85	713.11	1233.75	1051.79	1870.53	1167.14	1159.07	1936.53	1529.73	1819.35	1286.18	2075.59	2485.67	2004.85	2133.97	2032.85	1551.09	1709.26	2018.8	1096.5	698.41	1313.23	2520.38	896.64	1605.83	371.22	620.67	356.05	607.87	819.3	376.41	325.29
PRMT10	69.52	60.39	62.56	102.97	152.28	161.02	161.02	154.42	183.82	131.51	126.12	72.52	80.01	128.79	81.14	152.28	122.64	101.54	109.66	123.5	194.36	171.45	87.03	130.6	81.14	234.57	120.1	165.57	329.84	193.01	193.01	384.34	271.48	167.9	253.23	229.72	195.72	202.66	182.55	229.72	151.22	120.1	329.84	273.37	126.12	253.23	63.45	58.71	43.94	102.97	40.36	61.25	0.0
PRPF39	159.9	125.24	194.36	248.0	273.37	450.94	353.59	493.56	511.0	384.34	473.41	289.02	236.21	309.83	269.6	368.65	258.57	275.28	327.56	412.0	371.22	441.64	214.27	218.79	190.34	780.44	239.52	214.27	1044.52	591.22	457.25	718.08	860.08	460.44	819.3	708.18	470.14	656.11	381.68	616.37	332.14	271.48	738.29	890.44	336.79	612.11	126.12	199.85	125.24	182.55	211.31	27.64	281.09
RAB2B	126.12	98.04	140.04	301.33	234.57	346.29	169.07	412.0	287.01	325.29	457.25	189.02	147.06	244.57	185.11	289.02	248.0	264.03	348.71	187.71	353.59	444.72	120.94	307.69	218.79	559.28	191.67	208.38	656.11	518.15	366.09	511.0	642.59	518.15	890.44	466.88	483.38	536.45	620.67	587.13	329.84	191.67	878.17	819.3	295.11	579.04	75.11	87.03	89.51	82.29	105.89	108.9	262.2
RALGAPA1	93.35	87.03	217.27	441.64	309.83	414.87	297.17	371.22	514.56	409.15	567.1	186.4	134.3	329.84	334.46	559.28	255.0	305.55	267.73	224.97	444.72	555.41	158.79	301.33	412.0	698.41	215.77	316.37	1037.29	575.03	483.38	669.92	1059.11	567.1	743.43	629.35	551.56	738.29	1313.23	624.99	353.59	182.55	547.75	674.59	258.57	616.37	68.07	120.1	105.89	90.14	132.44	59.97	0.0
RAPGEF6	31.45	25.72	47.5	112.77	195.72	90.77	84.63	123.5	159.9	163.28	152.28	51.71	31.45	115.16	110.43	135.24	110.43	88.88	78.34	35.76	97.36	170.25	59.55	124.37	96.01	241.19	56.28	87.65	320.8	176.29	147.06	197.09	293.07	253.23	232.94	281.09	234.57	185.11	183.82	190.34	130.6	65.26	217.27	271.48	66.18	226.54	49.21	25.54	32.13	36.79	28.65	14.14	38.67
RICTOR	55.89	50.27	40.36	110.43	198.47	186.4	161.02	177.53	163.28	158.79	152.28	126.12	44.57	165.57	80.01	136.19	98.04	154.42	98.73	62.56	152.28	258.57	80.01	170.25	130.6	397.93	73.03	107.38	480.04	269.6	212.78	353.59	454.09	470.14	265.87	400.71	325.29	339.14	297.17	271.48	165.57	57.89	412.0	346.29	111.21	361.04	40.07	76.17	45.21	72.01	43.63	24.11	0.0
RUFY2	75.11	87.65	96.68	141.02	201.25	159.9	151.22	183.82	265.87	169.07	148.09	120.94	67.59	186.4	154.42	231.32	108.14	159.9	155.5	99.43	133.36	211.31	111.21	117.6	147.06	297.17	101.54	173.85	466.88	244.57	205.5	444.72	483.38	297.17	351.14	285.03	244.57	260.38	275.28	289.02	131.51	161.02	323.03	346.29	140.04	279.14	53.19	81.14	33.06	62.56	66.18	13.03	0.0
SAMD8	129.69	84.04	84.04	92.05	208.38	199.85	132.44	127.0	251.48	209.84	151.22	88.26	88.88	190.34	111.99	162.14	127.0	146.03	134.3	55.49	157.68	297.17	98.73	167.9	173.85	327.56	108.14	172.65	466.88	262.2	197.09	473.41	371.22	346.29	329.84	273.37	277.2	358.54	241.19	205.5	208.38	64.34	441.64	260.38	97.36	312.0	27.84	40.93	55.89	48.18	50.27	25.54	115.97
SLC4A7	40.07	23.42	126.12	529.06	3820.7	242.88	305.55	86.43	518.15	366.09	414.87	185.11	32.13	738.29	265.87	341.51	164.42	92.05	258.57	63.89	497.0	1991.0	116.78	297.17	543.96	842.36	163.28	403.5	583.07	1151.06	785.88	981.29	1073.91	656.11	1001.93	1081.39	947.83	1051.79	412.0	1295.13	1073.91	293.07	1467.37	1819.35	1088.92	1322.37	19.11	18.16	17.25	59.97	44.25	15.8	0.0
SLFN12	98.04	22.43	25.54	67.12	73.54	271.48	85.82	30.12	167.9	220.32	182.55	19.39	30.56	186.4	656.11	143.01	156.59	56.68	64.8	40.93	126.12	164.42	63.0	182.55	20.56	215.77	89.51	82.87	197.09	170.25	92.05	201.25	262.2	92.7	412.0	103.69	85.22	334.46	80.01	62.56	53.95	63.45	119.26	187.71	159.9	181.28	15.11	21.78	9.7	39.5	29.27	7.75	0.0
SNAP23	759.08	432.53	540.19	1322.37	1208.34	1088.92	802.41	2047.0	1259.69	1104.13	1175.27	769.69	872.1	1407.55	1286.18	808.0	1001.93	1073.91	532.74	764.36	1369.04	1651.0	728.11	1685.71	802.41	1447.15	1096.5	1088.92	1498.22	1378.57	1437.15	1551.09	1359.57	1757.34	1594.73	1119.56	1322.37	2004.85	1143.1	1769.57	718.08	825.0	1081.39	1407.55	1594.73	1359.57	567.1	638.15	607.87	1059.11	450.94	417.77	961.07
SPIN1	423.61	265.87	303.44	1286.18	1030.12	1286.18	507.46	1044.52	1662.49	1331.57	1733.13	921.88	571.05	1359.57	884.29	1127.35	674.59	1044.52	921.88	656.11	1447.15	1819.35	642.59	830.75	571.05	1733.13	775.05	1088.92	2090.03	1519.15	1651.0	1794.29	2193.99	1407.55	2351.53	1639.59	1259.69	1819.35	1745.2	1378.57	830.75	854.13	2163.77	2104.58	1008.9	1733.13	205.5	173.85	109.66	291.04	169.07	183.82	0.0
STX17	78.34	115.97	64.8	173.85	339.14	460.44	231.32	190.34	363.56	293.07	361.04	166.73	127.0	273.37	293.07	426.57	111.21	181.28	163.28	128.79	293.07	346.29	151.22	320.8	115.97	490.14	154.42	198.47	567.1	373.81	336.79	423.61	563.18	473.41	463.65	567.1	563.18	466.88	334.46	473.41	262.2	194.36	575.03	555.41	301.33	532.74	128.79	71.5	65.26	105.15	67.12	146.03	0.0
TCF12	157.68	105.89	182.55	435.55	703.28	1340.84	256.78	967.76	884.29	575.03	638.15	503.95	435.55	665.29	759.08	341.51	500.46	830.75	599.49	209.84	872.1	1066.48	420.68	961.07	476.71	1167.14	466.88	633.73	1407.55	848.22	854.13	1350.18	1199.98	1498.22	1250.98	941.27	1104.13	1151.06	995.0	1111.82	934.76	329.84	1427.22	902.89	454.09	1359.57	155.5	120.1	141.02	297.17	119.26	87.03	0.0
TCP11L2	14.78	12.27	16.39	79.45	80.57	88.26	56.68	121.79	155.5	147.06	255.0	32.36	31.0	148.09	86.43	144.01	74.58	96.68	73.54	64.34	125.24	265.87	46.18	224.97	34.75	371.22	60.39	145.02	429.54	397.93	291.04	444.72	420.68	384.34	441.64	579.04	371.22	351.14	483.38	253.23	264.03	62.56	480.04	346.29	198.47	432.53	26.28	21.32	17.38	47.17	25.72	20.11	0.0
TEP1	325.29	275.28	191.67	226.54	209.84	277.2	220.32	384.34	460.44	420.68	547.75	173.85	255.0	256.78	521.76	351.14	384.34	379.04	279.14	376.41	571.05	420.68	173.85	647.07	155.5	660.68	336.79	327.56	571.05	493.56	444.72	547.75	571.05	698.41	595.34	620.67	713.11	435.55	395.18	1008.9	318.57	246.28	571.05	638.15	191.67	543.96	132.44	151.22	117.6	101.54	231.32	94.01	0.0
TJP1	139.07	193.01	167.9	595.34	748.61	536.45	316.37	738.29	921.88	624.99	543.96	346.29	438.59	669.92	507.46	376.41	417.77	551.56	318.57	353.59	753.83	819.3	373.81	651.58	253.23	1111.82	480.04	764.36	1015.93	780.44	825.0	1322.37	703.28	674.59	872.1	642.59	921.88	748.61	753.83	764.36	579.04	486.75	988.12	688.78	543.96	1225.22	309.83	215.77	253.23	285.03	141.02	163.28	307.69
TMED8	69.03	82.29	105.15	277.2	156.59	162.14	72.52	187.71	248.0	163.28	183.82	89.51	62.56	189.02	129.69	281.09	98.04	108.9	108.14	85.82	141.02	220.32	110.43	155.5	125.24	228.13	107.38	132.44	251.48	176.29	195.72	244.57	329.84	165.57	361.04	281.09	204.07	206.94	162.14	197.09	143.01	52.82	275.28	190.34	144.01	239.52	25.72	31.9	19.97	27.44	37.32	23.93	0.0
TMEM87B	256.78	312.0	211.31	728.11	780.44	336.79	511.0	441.64	896.64	529.06	693.58	279.14	265.87	521.76	718.08	307.69	320.8	414.87	217.27	164.42	507.46	624.99	218.79	848.22	441.64	595.34	348.71	353.59	693.58	444.72	583.07	684.02	591.22	802.41	902.89	432.53	511.0	591.22	486.75	660.68	379.04	295.11	743.43	612.11	384.34	642.59	52.82	57.49	80.01	112.77	164.42	55.1	0.0
TTC8	232.94	260.38	624.99	819.3	497.0	314.17	264.03	651.58	748.61	460.44	438.59	133.36	211.31	486.75	612.11	651.58	420.68	358.54	309.83	190.34	665.29	802.41	211.31	420.68	813.63	764.36	532.74	620.67	647.07	674.59	743.43	743.43	1037.29	1143.1	1233.75	1008.9	579.04	884.29	825.0	988.12	414.87	432.53	1277.29	1073.91	693.58	759.08	130.6	146.03	122.64	103.69	248.0	141.02	0.0
USP47	267.73	234.57	293.07	555.41	743.43	890.44	599.49	1199.98	616.37	723.08	656.11	423.61	780.44	860.08	669.92	780.44	591.22	503.95	450.94	343.89	825.0	854.13	429.54	616.37	642.59	1073.91	536.45	651.58	1088.92	860.08	836.53	915.51	981.29	1662.49	1674.06	1044.52	1023.0	848.22	1286.18	1104.13	954.43	379.04	1304.15	1259.69	381.68	718.08	381.68	277.2	256.78	323.03	450.94	172.65	273.37
VPS13A	70.01	123.5	60.82	120.94	102.97	236.21	102.25	116.78	241.19	249.73	264.03	166.73	96.01	220.32	158.79	118.43	127.89	156.59	190.34	108.14	246.28	325.29	108.9	167.9	75.11	435.55	117.6	156.59	500.46	267.73	255.0	346.29	371.22	429.54	373.81	334.46	307.69	323.03	279.14	343.89	135.24	83.45	325.29	728.11	221.86	400.71	73.03	57.08	105.89	50.63	73.03	27.44	0.0
YTHDC1	507.46	409.15	547.75	947.83	1369.04	981.29	961.07	1159.07	1369.04	1044.52	1044.52	713.11	595.34	1044.52	1030.12	848.22	934.76	713.11	1073.91	825.0	1208.34	1508.65	642.59	928.3	775.05	1794.29	947.83	1081.39	2434.5	1594.73	1350.18	1909.85	2018.8	1467.37	1697.45	1697.45	1617.0	1397.83	1769.57	1617.0	1286.18	802.41	1781.89	1909.85	1001.93	1733.13	371.22	329.84	269.6	314.17	379.04	269.6	571.05
YTHDC2	51.35	64.8	81.71	244.57	435.55	173.85	180.02	262.2	325.29	406.31	447.82	137.14	62.56	325.29	205.5	253.23	189.02	105.89	153.34	66.65	244.57	297.17	117.6	281.09	244.57	420.68	130.6	193.01	500.46	336.79	289.02	463.65	412.0	403.5	329.84	540.19	341.51	454.09	271.48	341.51	183.82	85.82	371.22	395.18	161.02	339.14	121.79	102.25	105.89	170.25	58.71	56.28	0.0
ZBTB1	190.34	143.01	185.11	307.69	295.11	368.65	165.57	543.96	563.18	480.04	583.07	193.01	194.36	483.38	341.51	476.71	384.34	309.83	301.33	236.21	536.45	514.56	271.48	426.57	273.37	775.05	381.68	368.65	1073.91	555.41	660.68	830.75	915.51	679.29	967.76	612.11	718.08	718.08	490.14	698.41	260.38	414.87	819.3	848.22	395.18	603.67	139.07	124.37	113.56	135.24	166.73	59.13	0.0
ZBTB34	34.26	26.47	31.67	82.87	42.71	93.35	38.95	72.01	102.25	120.1	107.38	63.45	52.82	82.29	48.87	96.68	70.01	73.54	56.68	67.59	102.25	119.26	58.71	68.07	30.56	178.77	51.35	45.85	117.6	87.03	125.24	94.67	127.89	117.6	128.79	81.71	56.28	148.09	35.0	75.11	41.22	31.0	133.36	108.14	53.57	80.57	23.93	21.78	19.82	24.11	18.29	14.67	0.0
ZC3H14	490.14	647.07	591.22	813.63	759.08	981.29	466.88	769.69	981.29	854.13	647.07	603.67	470.14	909.17	633.73	896.64	698.41	928.3	540.19	476.71	974.5	961.07	463.65	941.27	579.04	1199.98	738.29	1001.93	1674.06	1081.39	1208.34	1233.75	1388.16	1407.55	1733.13	1183.45	928.3	1242.34	764.36	1340.84	688.78	921.88	1508.65	1733.13	884.29	1151.06	450.94	450.94	373.81	457.25	518.15	363.56	713.11
ZC3H6	12.18	30.78	27.05	50.63	48.52	92.05	21.94	57.89	82.29	62.12	49.91	50.98	32.59	52.08	24.63	42.71	36.27	45.21	38.95	22.92	54.72	106.63	23.59	52.08	55.49	163.28	37.05	46.5	180.02	90.77	100.83	144.01	201.25	199.85	143.01	180.02	126.12	161.02	106.63	181.28	83.45	21.94	172.65	189.02	49.91	137.14	10.71	16.27	11.38	16.39	14.14	5.68	0.0
ZDHHC17	83.45	34.02	53.19	177.53	246.28	157.68	249.73	368.65	241.19	224.97	343.89	105.15	70.51	209.84	166.73	186.4	143.01	159.9	220.32	141.02	318.57	400.71	118.43	223.41	148.09	684.02	120.1	249.73	981.29	536.45	368.65	642.59	896.64	412.0	684.02	551.56	543.96	612.11	466.88	500.46	253.23	151.22	547.75	587.13	185.11	684.02	74.06	70.01	41.22	66.65	66.18	34.02	0.0
ZNF112	24.28	13.12	17.38	48.87	85.22	109.66	59.13	69.03	127.89	71.5	91.41	37.85	57.89	88.26	68.55	68.07	43.32	44.57	100.13	56.68	103.69	84.04	37.05	79.45	76.71	176.29	50.27	40.36	148.09	102.25	111.99	96.01	146.03	133.36	155.5	65.72	85.82	111.99	114.36	86.43	42.11	77.79	63.0	108.14	90.14	67.59	5.73	10.88	9.56	6.41	12.0	3.96	0.0
ZNF189	88.88	61.68	106.63	277.2	185.11	236.21	110.43	147.06	432.53	301.33	507.46	171.45	176.29	336.79	293.07	318.57	162.14	137.14	194.36	147.06	366.09	438.59	193.01	237.86	186.4	450.94	265.87	269.6	607.87	376.41	406.31	529.06	733.19	325.29	551.56	327.56	305.55	334.46	346.29	285.03	209.84	232.94	457.25	438.59	249.73	417.77	120.94	131.51	113.56	87.65	105.15	83.45	0.0
ZNF227	96.68	63.0	63.45	163.28	281.09	323.03	260.38	307.69	325.29	256.78	343.89	105.89	144.01	248.0	220.32	218.79	193.01	189.02	293.07	158.79	242.88	309.83	175.07	255.0	169.07	441.64	212.78	186.4	529.06	287.01	291.04	336.79	507.46	470.14	547.75	305.55	351.14	334.46	244.57	376.41	253.23	223.41	339.14	432.53	234.57	406.31	68.07	81.71	84.63	119.26	75.64	36.01	0.0
ZNF248	56.28	59.13	57.89	107.38	78.34	72.01	54.72	113.56	195.72	170.25	224.97	48.18	220.32	151.22	120.1	173.85	103.69	153.34	224.97	158.79	157.68	161.02	63.45	135.24	144.01	329.84	107.38	163.28	423.61	289.02	218.79	212.78	389.72	256.78	327.56	231.32	265.87	260.38	221.86	260.38	101.54	149.12	194.36	239.52	191.67	208.38	63.45	42.41	24.99	48.52	65.72	22.43	0.0
ZNF25	33.06	31.9	33.06	118.43	117.6	71.5	35.0	104.42	190.34	138.1	215.77	33.06	105.89	120.1	81.14	111.21	120.94	166.73	205.5	136.19	134.3	185.11	64.34	92.05	163.28	291.04	75.11	157.68	307.69	236.21	176.29	363.56	358.54	341.51	232.94	307.69	176.29	303.44	201.25	183.82	221.86	119.26	444.72	180.02	120.1	316.37	17.25	31.0	35.76	17.25	43.63	7.17	0.0
ZNF429	64.34	49.56	40.64	228.13	108.9	275.28	248.0	154.42	406.31	171.45	249.73	108.14	102.25	249.73	185.11	153.34	110.43	320.8	186.4	130.6	255.0	309.83	150.17	189.02	277.2	291.04	133.36	139.07	454.09	265.87	312.0	255.0	409.15	325.29	476.71	363.56	249.73	460.44	285.03	176.29	145.02	267.73	351.14	182.55	420.68	435.55	60.39	37.05	60.39	66.65	54.33	112.77	0.0
ZNF430	61.68	24.46	23.76	87.03	51.35	165.57	136.19	107.38	147.06	118.43	102.97	68.55	48.52	108.9	106.63	96.68	69.03	199.85	102.25	48.18	120.94	163.28	78.34	102.25	94.67	267.73	64.34	93.35	262.2	159.9	158.79	181.28	281.09	193.01	237.86	172.65	226.54	187.71	269.6	169.07	142.01	76.17	346.29	176.29	99.43	371.22	5.06	8.13	3.14	7.4	13.72	1.2	0.0
ZNF431	146.03	84.63	60.39	121.79	94.67	258.57	246.28	201.25	234.57	237.86	154.42	293.07	147.06	194.36	162.14	127.89	110.43	199.85	189.02	148.09	195.72	242.88	169.07	164.42	112.77	346.29	115.16	123.5	490.14	267.73	237.86	303.44	314.17	486.75	447.82	289.02	285.03	334.46	209.84	389.72	175.07	87.65	406.31	343.89	150.17	318.57	9.13	31.22	9.06	28.45	33.06	5.15	0.0
ZNF436	69.03	112.77	106.63	329.84	269.6	373.81	161.02	329.84	363.56	361.04	346.29	118.43	802.41	346.29	208.38	151.22	249.73	441.64	256.78	234.57	497.0	514.56	318.57	320.8	138.1	915.51	343.89	395.18	500.46	400.71	518.15	647.07	698.41	941.27	1037.29	540.19	896.64	351.14	450.94	363.56	688.78	339.14	688.78	521.76	426.57	514.56	55.49	80.01	36.53	71.0	88.88	23.93	0.0
ZNF441	9.63	15.8	72.01	152.28	108.9	37.05	84.04	46.84	165.57	87.65	129.69	45.53	33.06	158.79	61.25	67.12	98.73	92.05	86.43	38.95	139.07	137.14	44.25	72.52	105.89	198.47	54.33	46.5	208.38	146.03	193.01	139.07	241.19	113.56	256.78	195.72	126.12	197.09	80.57	231.32	22.1	50.63	87.65	86.43	87.03	94.67	32.13	29.7	23.59	26.67	33.54	2.84	0.0
ZNF484	18.43	18.29	14.35	55.89	50.98	23.93	25.35	45.53	79.45	68.55	124.37	26.1	13.52	62.56	38.4	40.64	66.65	55.49	44.89	12.09	51.35	77.79	34.75	41.81	32.36	105.89	33.54	36.01	108.9	67.12	93.35	100.13	87.03	93.35	102.97	82.29	73.03	75.64	72.52	87.03	83.45	36.01	158.79	102.97	31.9	130.6	8.51	12.64	14.24	9.13	9.13	2.07	0.0
ZNF510	57.08	41.81	28.86	102.25	70.51	140.04	46.5	117.6	183.82	171.45	181.28	65.26	53.57	176.29	153.34	77.79	66.65	93.35	98.73	64.34	167.9	187.71	108.14	167.9	66.18	256.78	60.39	90.77	244.57	176.29	178.77	162.14	234.57	262.2	264.03	221.86	169.07	236.21	271.48	123.5	163.28	50.27	336.79	242.88	115.16	138.1	16.27	29.91	18.84	12.0	30.34	12.83	0.0
ZNF564	64.34	57.49	96.01	231.32	135.24	62.56	93.35	63.45	251.48	132.44	267.73	65.26	66.65	185.11	125.24	127.89	165.57	175.07	117.6	96.01	201.25	178.77	97.36	110.43	187.71	220.32	111.99	82.87	265.87	121.79	206.94	197.09	265.87	262.2	224.97	198.47	150.17	212.78	151.22	224.97	173.85	175.07	346.29	241.19	144.01	176.29	72.01	91.41	57.89	59.55	82.29	53.57	0.0
