	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.AK.3425.01A.02R.1277.07	TCGA.BP.4782.01A.02R.1420.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.B0.4815.01A.01R.1503.07	TCGA.A3.3319.01A.02R.1325.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.BP.4176.01A.02R.1289.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A11A.11A.11R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13113.1326.SM.5GCOI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
FKBP4	1437.15	2555.58	2104.58	2915.45	2133.97	2537.92	2319.15	2451.44	1757.34	2104.58	1883.54	1781.89	3018.3	2287.2	1870.53	1923.14	1605.83	1529.73	1963.57	1685.71	1832.01	1617.0	1183.45	1561.89	1030.12	1437.15	2417.67	1015.93	1407.55	1457.23	3280.18	836.53	1015.93	1143.1	947.83	1242.34	1896.65	1477.58	1331.57	1059.11	1104.13	2367.9	0.0	0.27
GLRX	3982.99	6381.92	8538.88	4328.55	13776.25	7130.55	8538.88	6164.49	4802.93	13123.73	10659.59	4123.49	4903.87	5219.6	4543.8	6121.9	7911.95	7911.95	2485.67	3419.52	3768.09	4543.8	9088.59	5403.7	3614.55	3874.05	3982.99	2417.67	2976.74	6516.03	13215.02	3349.13	3325.99	5006.93	6607.01	4268.94	5594.3	7857.29	2520.38	2335.28	3467.27	4328.55	1268.46	329.84
GPN3	470.14	571.05	665.29	660.68	764.36	769.69	830.75	836.53	669.92	733.19	503.95	483.38	928.3	660.68	466.88	647.07	738.29	599.49	660.68	414.87	368.65	591.22	587.13	703.28	693.58	387.02	753.83	629.35	743.43	463.65	540.19	486.75	669.92	854.13	775.05	470.14	813.63	830.75	612.11	733.19	808.0	679.29	0.0	0.24
GPX1	9088.59	6164.49	23656.34	6471.02	13306.94	8718.32	11112.3	18819.27	10084.54	11827.67	15715.58	9876.98	11664.82	6426.31	13968.57	12502.12	8718.32	5872.48	9474.59	8963.45	8598.28	9279.58	6699.25	4481.23	13968.57	8840.04	5791.62	6561.36	8840.04	5183.54	9673.69	6471.02	6471.02	9344.14	7911.95	10733.74	4607.24	7081.29	10084.54	20310.37	15715.58	10659.59	14971.21	9945.68
HINT1	12502.12	15285.81	20170.07	18431.96	18178.19	24153.43	18819.27	17804.06	10368.08	21919.61	13492.72	11909.94	13215.02	27174.14	26431.04	23986.58	20593.91	17558.94	10808.41	10084.54	11664.82	14765.09	10154.69	16045.82	17804.06	15934.98	14765.09	16611.71	14262.1	20593.91	26986.43	13033.07	16383.0	15075.35	15499.21	14663.09	15824.9	11664.82	17197.56	16383.0	15075.35	15934.98	0.0	1.25
HIST1H2AG	4.82	35.76	27.64	8.25	22.92	30.34	52.45	20.71	24.81	29.48	105.89	12.93	64.34	48.87	5.5	5.02	35.76	30.56	35.25	4.21	6.84	18.29	8.19	6.78	3.86	1.68	38.12	1.45	31.0	5.82	86.43	28.24	12.09	2.89	1.6	1.19	16.15	1.22	1.04	30.56	28.45	37.85	0.0	0.38
HPCAL4	0.0	110.43	27.25	16.39	6.62	2.39	94.67	37.32	0.72	4.31	13.52	1.16	1.16	2.63	2.61	3.11	10.39	51.71	0.0	0.62	0.0	1.01	0.0	0.21	2.23	0.2	1.91	0.16	0.24	0.21	0.17	2.16	0.0	6.78	0.19	0.0	0.61	2.16	0.0	0.0	0.0	0.93	0.0	0.0
IGF2BP1	0.0	65.26	126.12	58.71	44.57	46.5	144.01	61.68	64.34	193.01	89.51	25.35	86.43	68.55	16.03	81.71	41.81	11.21	0.0	3.17	0.0	0.0	60.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.38	0.0	0.0	0.0	0.0	0.28
IGF2BP2	26.47	13.93	323.03	66.18	151.22	33.3	320.8	101.54	68.55	38.12	148.09	32.36	169.07	8.45	7.94	57.89	22.92	35.0	21.63	34.75	21.63	133.36	147.06	5.59	297.17	20.41	16.27	3.89	12.74	5.32	64.34	11.47	12.27	22.59	23.25	21.78	11.82	6.26	1.55	7.75	23.25	16.51	0.0	1.06
IKBIP	116.78	1447.15	2335.28	1369.04	1674.06	1963.57	2537.92	1259.69	1111.82	1572.76	1662.49	967.76	1651.0	1183.45	1447.15	1030.12	1378.57	1313.23	122.64	70.51	138.1	204.07	217.27	244.57	151.22	65.72	176.29	62.56	154.42	325.29	237.86	137.14	126.12	159.9	190.34	62.12	115.16	141.02	94.67	88.26	215.77	249.73	0.0	0.36
IL20RB	27.05	2417.67	3589.58	2224.63	4066.71	2075.59	4010.71	281.09	1030.12	9474.59	1923.14	713.11	4769.75	2133.97	5076.84	679.29	1216.75	1844.76	49.91	164.42	4.54	22.92	9.13	4.74	100.83	26.86	55.89	22.92	14.24	24.28	52.45	12.27	46.84	15.22	24.46	13.03	7.34	6.94	23.59	244.57	19.11	53.19	0.0	0.87
INO80E	503.95	1447.15	1757.34	981.29	1685.71	1167.14	1617.0	1457.23	1397.83	1295.13	1819.35	1369.04	2104.58	1331.57	1923.14	1216.75	1015.93	1104.13	432.53	529.06	612.11	1015.93	642.59	457.25	607.87	764.36	392.44	872.1	518.15	426.57	629.35	529.06	575.03	490.14	536.45	486.75	543.96	599.49	514.56	387.02	603.67	563.18	0.0	0.44
INSL3	2.14	39.22	56.68	46.18	21.16	25.17	115.16	39.79	8.25	26.28	38.12	40.93	34.26	32.13	22.75	10.63	6.36	29.48	0.0	0.0	7.0	3.76	1.38	3.76	5.63	3.92	1.43	5.82	4.03	1.3	14.03	2.07	1.33	0.0	0.84	2.46	0.0	0.0	2.97	2.76	4.58	0.84	0.0	0.4
IRAK1	693.58	1183.45	2303.12	2335.28	1044.52	1437.15	1977.24	1167.14	1437.15	1447.15	1233.75	1844.76	2287.2	1340.84	1388.16	1477.58	1487.87	1135.2	518.15	460.44	665.29	567.1	1529.73	981.29	1104.13	571.05	848.22	819.3	339.14	1477.58	1023.0	1397.83	909.17	825.0	1143.1	764.36	665.29	1331.57	954.43	371.22	854.13	743.43	0.0	0.83
ITPA	825.0	1359.57	1697.45	1286.18	1498.22	1023.0	1794.29	1561.89	1277.29	1331.57	1605.83	1685.71	497.0	1051.79	1769.57	1674.06	1242.34	1159.07	616.37	575.03	785.88	947.83	967.76	748.61	988.12	616.37	260.38	872.1	400.71	941.27	1167.14	1059.11	476.71	567.1	854.13	878.17	591.22	629.35	830.75	583.07	684.02	447.82	0.0	0.32
KCTD5	283.05	253.23	500.46	325.29	429.54	387.02	503.95	376.41	376.41	406.31	334.46	432.53	438.59	318.57	283.05	353.59	314.17	289.02	239.52	293.07	400.71	279.14	457.25	463.65	198.47	275.28	287.01	303.44	199.85	497.0	400.71	265.87	209.84	289.02	269.6	289.02	164.42	293.07	262.2	129.69	202.66	325.29	0.0	0.36
KEAP1	954.43	1467.37	2104.58	1594.73	988.12	1498.22	1721.16	1268.46	1498.22	1340.84	1950.0	1295.13	934.76	1685.71	1721.16	1277.29	1135.2	1662.49	1111.82	974.5	1081.39	1073.91	1135.2	921.88	974.5	1991.0	988.12	1378.57	1519.15	878.17	1350.18	954.43	1208.34	1135.2	1617.0	1175.27	878.17	1023.0	825.0	1037.29	775.05	1259.69	0.0	0.38
KIAA0930	555.41	1175.27	1794.29	1111.82	1295.13	1397.83	1233.75	1540.37	1037.29	1662.49	995.0	1883.54	1639.59	1250.98	1685.71	1487.87	1111.82	1709.26	813.63	961.07	1096.5	708.18	1769.57	947.83	791.35	647.07	836.53	518.15	571.05	1304.15	1388.16	836.53	514.56	486.75	775.05	1104.13	775.05	466.88	603.67	647.07	961.07	921.88	1151.06	202.66
KLK13	0.0	31.67	7.82	7.22	46.18	50.27	14.24	39.5	1.45	89.51	27.84	3.5	5.82	49.21	6.31	17.9	16.27	13.52	0.0	0.0	0.0	1.55	1.16	7.4	4.06	3.38	2.63	0.97	1.13	1.23	5.15	0.0	2.39	0.15	3.86	0.01	2.71	0.0	13.42	0.11	0.03	2.14	0.0	0.01
KLRC1	20.71	54.72	26.67	111.21	25.91	13.42	45.53	21.01	60.82	4.28	23.59	18.43	22.26	44.25	122.64	32.13	34.26	30.12	9.48	3.47	8.58	29.27	21.63	6.11	23.59	3.03	0.0	0.49	6.57	4.54	9.06	8.58	4.17	7.06	4.7	6.94	14.24	16.75	2.86	4.06	8.58	13.03	0.0	0.21
KRT18	16045.82	17681.08	27363.16	19754.96	35363.15	10014.87	21172.91	16496.96	25179.16	22225.61	20593.91	18689.27	46662.28	17804.06	32540.65	22225.61	12160.22	13872.08	10296.45	28132.47	18178.19	17437.64	48307.85	16383.0	25005.23	14561.8	28525.2	25530.66	9344.14	20737.16	26614.89	33224.42	16383.0	11664.82	32767.0	21320.18	8078.22	23330.64	16843.62	7749.1	29943.43	6207.38	0.0	0.23
KRTCAP3	327.56	1073.91	909.17	551.56	301.33	616.37	981.29	19.53	543.96	332.14	201.25	397.93	493.56	896.64	3018.3	1096.5	14.35	1088.92	88.88	241.19	251.48	1529.73	162.14	890.44	476.71	1127.35	20.26	148.09	890.44	902.89	1340.84	94.67	19.82	55.1	110.43	91.41	1135.2	358.54	94.67	336.79	32.36	295.11	0.0	0.39
LAT	89.51	255.0	587.13	348.71	195.72	109.66	1322.37	273.37	201.25	2090.03	100.13	1081.39	152.28	264.03	555.41	363.56	229.72	164.42	36.01	27.05	111.99	136.19	75.64	58.3	102.97	100.13	16.75	69.52	56.28	31.22	93.35	72.01	80.57	89.51	18.84	47.5	77.79	43.32	75.11	27.05	47.5	107.38	0.0	0.79
LDHB	909.17	19348.38	18950.18	16611.71	21026.65	18950.18	19214.73	20737.16	22380.2	14461.21	22380.2	15180.22	21768.19	13872.08	9945.68	24660.96	15392.14	10084.54	961.07	684.02	748.61	4450.27	4358.66	1135.2	1191.69	1551.09	587.13	185.11	866.07	718.08	2271.4	209.84	265.87	842.36	366.09	490.14	307.69	384.34	384.34	329.84	860.08	620.67	16045.82	1268.46
LEF1	7.17	1896.65	1313.23	1870.53	1199.98	271.48	518.15	460.44	669.92	4095.0	909.17	825.0	825.0	988.12	301.33	182.55	813.63	389.72	7.82	8.19	12.74	220.32	58.3	27.64	38.67	22.26	18.03	2.68	16.88	8.92	18.56	13.42	7.51	43.32	21.47	3.26	4.03	11.55	4.03	6.01	11.64	4.78	0.0	0.59
LIMK1	66.65	406.31	915.51	540.19	493.56	450.94	532.74	633.73	353.59	1359.57	1119.56	651.58	463.65	438.59	612.11	547.75	470.14	384.34	66.18	31.9	80.01	320.8	224.97	169.07	83.45	119.26	57.49	45.53	148.09	132.44	212.78	59.13	55.1	103.69	82.87	38.12	52.82	60.39	41.52	12.55	104.42	115.97	0.0	0.51
LLPH	435.55	703.28	941.27	854.13	780.44	830.75	813.63	890.44	728.11	1225.22	764.36	633.73	1119.56	733.19	679.29	738.29	884.29	595.34	403.5	397.93	435.55	450.94	723.08	450.94	529.06	414.87	638.15	392.44	493.56	559.28	665.29	555.41	463.65	497.0	599.49	460.44	444.72	647.07	373.81	283.05	493.56	457.25	0.0	0.27
LMAN2L	289.02	738.29	842.36	738.29	679.29	575.03	988.12	612.11	587.13	974.5	607.87	366.09	1008.9	591.22	674.59	511.0	518.15	718.08	312.0	258.57	255.0	332.14	251.48	275.28	239.52	329.84	392.44	232.94	323.03	166.73	392.44	145.02	211.31	283.05	146.03	249.73	343.89	186.4	329.84	242.88	223.41	483.38	0.0	0.28
LTBR	2351.53	5711.87	3847.29	5555.65	4869.99	3614.55	5076.84	3847.29	4671.57	3349.13	4575.41	4066.71	6121.9	2895.31	4736.79	4298.64	3491.39	3280.18	2645.74	2468.49	2855.44	2555.58	5112.16	2855.44	2739.08	2609.3	2758.13	2485.67	1963.57	2796.65	3103.19	3325.99	3060.45	2573.36	3212.66	2720.15	2609.3	2627.46	2178.83	2384.37	3103.19	3419.52	0.0	1.22
M6PR	1151.06	3690.52	3235.01	3901.01	4066.71	4298.64	4769.75	3955.48	3190.46	3716.2	2720.15	4671.57	3955.48	3395.89	3419.52	4010.71	3955.48	4543.8	1088.92	974.5	1662.49	1781.89	2148.82	1295.13	1498.22	928.3	1059.11	1233.75	1378.57	1977.24	1015.93	1477.58	1605.83	1397.83	934.76	1369.04	1023.0	1030.12	988.12	961.07	1417.35	1151.06	0.0	0.82
MANBAL	497.0	1605.83	1819.35	1685.71	1685.71	1508.65	2224.63	1806.78	1594.73	1991.0	2400.97	1745.2	2835.7	1540.37	2384.37	1350.18	1540.37	1397.83	532.74	551.56	444.72	620.67	947.83	525.39	961.07	902.89	507.46	493.56	775.05	563.18	651.58	559.28	607.87	525.39	896.64	466.88	486.75	688.78	532.74	679.29	703.28	447.82	0.0	0.87
METTL1	429.54	1250.98	1259.69	1529.73	988.12	679.29	921.88	934.76	1023.0	1551.09	1923.14	1467.37	2018.8	1369.04	1950.0	1216.75	830.75	915.51	325.29	414.87	693.58	389.72	780.44	480.04	293.07	246.28	285.03	334.46	198.47	595.34	559.28	674.59	277.2	190.34	376.41	540.19	197.09	497.0	540.19	140.04	193.01	217.27	0.0	0.0
MFAP4	417.77	38.95	921.88	497.0	395.18	629.35	4010.71	2835.7	358.54	64.8	1745.2	1104.13	2075.59	217.27	2271.4	1081.39	133.36	113.56	336.79	316.37	381.68	7230.1	1159.07	111.21	1127.35	215.77	242.88	24.11	339.14	20.86	1096.5	145.02	35.5	1066.48	171.45	332.14	98.04	136.19	104.42	108.9	194.36	258.57	0.0	0.6
MFSD5	209.84	733.19	1498.22	780.44	928.3	808.0	1208.34	728.11	733.19	1008.9	1286.18	890.44	1081.39	759.08	1216.75	830.75	693.58	848.22	341.51	182.55	303.44	341.51	567.1	320.8	376.41	353.59	351.14	265.87	366.09	305.55	555.41	287.01	403.5	305.55	307.69	229.72	226.54	214.27	224.97	140.04	348.71	309.83	0.0	0.0
MGAT4B	3540.14	4972.34	2319.15	4903.87	5403.7	5006.93	5995.9	2451.44	3955.48	4671.57	2417.67	3491.39	4066.71	5006.93	6699.25	4481.23	2627.46	4450.27	3982.99	3419.52	3235.01	3564.78	2915.45	3212.66	3716.2	3901.01	1407.55	4639.29	3874.05	2739.08	4543.8	3955.48	4903.87	2520.38	3419.52	4239.45	4358.66	3443.31	3928.15	1991.0	2537.92	6337.83	0.0	1.0
MLST8	599.49	1447.15	1350.18	967.76	1781.89	1208.34	1477.58	1233.75	1369.04	1143.1	1583.71	1119.56	1950.0	1001.93	1167.14	1467.37	825.0	896.64	583.07	551.56	490.14	583.07	1030.12	521.76	599.49	693.58	381.68	603.67	500.46	511.0	629.35	698.41	595.34	476.71	603.67	567.1	529.06	616.37	651.58	435.55	555.41	656.11	0.0	0.09
MOCS3	73.03	186.4	167.9	172.65	134.3	177.53	185.11	163.28	127.89	158.79	197.09	156.59	172.65	142.01	104.42	116.78	170.25	164.42	105.15	108.9	120.94	97.36	135.24	158.79	140.04	159.9	195.72	80.01	175.07	102.97	111.99	94.01	137.14	163.28	164.42	80.57	145.02	161.02	88.88	50.63	126.12	103.69	201.25	131.51
MRPS35	1167.14	1427.22	1487.87	1583.71	1508.65	1628.26	1529.73	1794.29	1340.84	1447.15	1286.18	1199.98	2224.63	1674.06	1369.04	1551.09	1447.15	1143.1	1167.14	1167.14	1397.83	884.29	1447.15	1322.37	1519.15	1111.82	1721.16	1119.56	1295.13	1322.37	1417.35	1639.59	1529.73	1313.23	1857.6	1340.84	1551.09	1617.0	1001.93	1216.75	1340.84	1151.06	0.0	0.0
MSC	27.84	323.03	1037.29	555.41	373.81	420.68	1832.01	674.59	441.64	1529.73	1685.71	981.29	1733.13	525.39	1857.6	656.11	206.94	738.29	14.35	44.25	36.27	246.28	287.01	48.87	58.71	74.06	29.7	1.79	60.82	137.14	224.97	9.06	2.78	29.27	3.2	4.7	5.54	50.98	20.71	1.87	20.11	48.52	0.0	0.43
MUC3A	11.47	708.18	595.34	974.5	651.58	164.42	1159.07	226.54	226.54	1388.16	5791.62	624.99	3443.31	638.15	954.43	66.18	629.35	381.68	271.48	267.73	6.89	679.29	10.16	53.95	10.47	11.04	115.97	1.87	305.55	470.14	371.22	13.03	20.56	0.16	135.24	320.8	57.49	435.55	228.13	68.07	299.25	208.38	0.0	0.46
MVK	591.22	1175.27	612.11	1096.5	1745.2	698.41	1467.37	1250.98	921.88	2796.65	2720.15	921.88	5995.9	1350.18	1709.26	967.76	503.95	796.86	718.08	967.76	825.0	928.3	723.08	2104.58	1088.92	2468.49	483.38	432.53	1331.57	1008.9	796.86	954.43	674.59	624.99	1457.23	1208.34	981.29	616.37	718.08	1304.15	361.04	947.83	0.0	0.0
MZT2A	1936.53	7433.4	11745.96	5791.62	3847.29	6792.79	9673.69	3103.19	2591.27	2935.74	4152.18	2555.58	4328.55	2400.97	5954.47	9025.81	3018.3	8479.89	1359.57	1936.53	974.5	2061.24	1233.75	1135.2	490.14	2367.9	633.73	490.14	1819.35	1268.46	1104.13	896.64	1806.78	679.29	1331.57	2319.15	1183.45	1896.65	2018.8	2193.99	1561.89	1594.73	0.0	0.71
NABP2	346.29	1378.57	1870.53	1208.34	2032.85	1259.69	1662.49	1183.45	902.89	1477.58	1857.6	1081.39	2434.5	1639.59	1628.26	1151.06	1167.14	947.83	289.02	215.77	285.03	363.56	483.38	420.68	555.41	392.44	414.87	329.84	426.57	348.71	473.41	414.87	500.46	497.0	507.46	329.84	384.34	575.03	417.77	211.31	258.57	361.04	1191.69	575.03
NAGPA	178.77	258.57	457.25	291.04	438.59	287.01	532.74	376.41	307.69	356.05	466.88	384.34	363.56	256.78	363.56	432.53	258.57	329.84	175.07	119.26	151.22	258.57	305.55	171.45	193.01	182.55	199.85	190.34	277.2	104.42	236.21	151.22	341.51	226.54	163.28	134.3	143.01	115.16	106.63	138.1	265.87	234.57	0.0	0.0
NME4	3794.3	3928.15	5594.3	2645.74	4802.93	3928.15	7130.55	4512.4	2451.44	3639.7	8901.53	3982.99	8134.41	2720.15	4181.07	4066.71	2573.36	2434.5	3146.52	2835.7	1936.53	3768.09	825.0	2915.45	2255.7	5751.61	1733.13	1081.39	2976.74	1540.37	2739.08	1561.89	2609.3	2664.15	3665.02	3039.3	1909.85	3235.01	3589.58	4903.87	2816.11	3280.18	0.0	0.97
NUDT1	147.06	896.64	1674.06	647.07	1066.48	878.17	1008.9	921.88	389.72	1359.57	1529.73	848.22	536.45	620.67	1225.22	921.88	414.87	647.07	85.22	105.15	100.83	289.02	260.38	121.79	204.07	162.14	84.63	118.43	166.73	46.84	237.86	64.34	127.0	170.25	102.25	71.0	52.08	80.57	117.6	111.21	164.42	103.69	0.0	0.56
NUP37	131.51	547.75	669.92	486.75	463.65	575.03	514.56	583.07	454.09	536.45	507.46	490.14	651.58	406.31	480.04	466.88	497.0	281.09	169.07	85.22	128.79	256.78	186.4	228.13	141.02	178.77	115.16	159.9	267.73	77.79	202.66	117.6	173.85	215.77	169.07	130.6	211.31	144.01	164.42	95.34	146.03	153.34	0.0	0.0
OAZ1	13492.72	18052.61	32767.0	19618.49	21768.19	16843.62	23492.92	26986.43	19892.37	21617.82	19754.96	20310.37	21320.18	18560.17	25005.23	27174.14	17197.56	14971.21	13968.57	12329.98	12764.83	14361.31	13399.51	15715.58	16383.0	20030.74	10296.45	9344.14	12329.98	21172.91	27553.49	6516.03	16496.96	9344.14	12676.65	13306.94	12160.22	10296.45	10154.69	15715.58	18950.18	17317.18	54349.29	5329.3
ORAI2	35.25	941.27	559.28	587.13	376.41	693.58	791.35	624.99	785.88	961.07	295.11	457.25	624.99	521.76	500.46	651.58	466.88	307.69	37.32	34.51	44.57	371.22	309.83	120.94	47.17	147.06	63.45	13.22	156.59	180.02	88.88	40.64	49.56	90.77	42.11	10.08	17.64	55.49	18.56	7.28	94.01	31.45	171.45	73.54
ORAI3	872.1	1427.22	1540.37	703.28	1250.98	974.5	1457.23	860.08	1159.07	1745.2	2645.74	854.13	1216.75	1088.92	1923.14	1044.52	703.28	1127.35	1151.06	708.18	575.03	1066.48	511.0	723.08	703.28	1059.11	638.15	1447.15	1721.16	246.28	791.35	332.14	713.11	854.13	521.76	1096.5	954.43	511.0	1081.39	1639.59	915.51	1605.83	607.87	305.55
ORM1	1246973.04	27.64	3.86	20.56	19.97	2.1	1.17	0.0	0.0	187.71	5.11	12.74	20.71	0.0	5.77	3.66	18.29	0.0	1864037.21	822695.06	1916442.45	2156109.97	4136558.78	3676749.88	3070409.25	3156730.23	3576208.94	1775752.63	3780117.42	4165330.83	2986448.72	3313672.43	5572911.22	8505707.6	4051429.61	4282434.24	3028138.0	6183532.28	4433454.0	4433454.0	3832885.91	3859545.74	0.0	0.18
OSER1	511.0	1477.58	1225.22	1883.54	1639.59	921.88	1250.98	872.1	624.99	733.19	769.69	995.0	1397.83	1073.91	743.43	703.28	1233.75	1051.79	595.34	493.56	447.82	518.15	412.0	307.69	384.34	454.09	376.41	607.87	389.72	406.31	684.02	303.44	470.14	341.51	503.95	665.29	420.68	303.44	307.69	591.22	607.87	457.25	0.0	0.78
PCBP2	8598.28	19482.97	18689.27	34396.12	20451.65	35609.13	21320.18	23656.34	24832.5	20881.4	13872.08	13306.94	20593.91	20170.07	16496.96	25179.16	22072.07	20881.4	10440.2	8963.45	9088.59	13306.94	14461.21	10296.45	8963.45	10512.82	10808.41	9474.59	17197.56	13399.51	10959.3	11035.54	12589.08	12676.65	11424.74	6516.03	12076.21	11664.82	9025.81	8134.41	9945.68	11504.21	12244.81	1662.49
PET117	178.77	412.0	403.5	412.0	323.03	244.57	387.02	283.05	239.52	154.42	289.02	348.71	162.14	348.71	271.48	320.8	406.31	220.32	301.33	234.57	153.34	183.82	258.57	194.36	223.41	186.4	397.93	172.65	226.54	195.72	209.84	435.55	309.83	190.34	511.0	223.41	187.71	232.94	190.34	251.48	256.78	307.69	0.0	0.28
PLA1A	854.13	995.0	1551.09	624.99	1242.34	1183.45	1322.37	525.39	780.44	1806.78	4575.41	995.0	878.17	1191.69	1183.45	1697.45	1111.82	2319.15	947.83	450.94	651.58	603.67	212.78	1008.9	2468.49	2047.0	842.36	848.22	532.74	373.81	693.58	848.22	1721.16	872.1	921.88	1051.79	1208.34	389.72	1073.91	387.02	1088.92	1662.49	0.0	0.48
PLK1	38.4	94.67	441.64	92.05	117.6	97.36	108.14	93.35	71.5	214.27	204.07	193.01	497.0	85.22	110.43	83.45	63.45	56.28	12.27	8.13	14.67	51.71	16.75	16.63	13.12	13.42	1.99	24.99	38.12	10.96	39.22	4.21	18.84	11.55	5.82	2.39	2.89	2.25	9.7	0.0	13.42	16.03	0.0	0.56
PLK2	412.0	1151.06	1781.89	4239.45	1369.04	2287.2	5441.3	1757.34	1143.1	314.17	669.92	3060.45	2739.08	884.29	1111.82	3794.3	1457.23	1023.0	624.99	748.61	1066.48	660.68	327.56	748.61	271.48	209.84	842.36	361.04	248.0	215.77	603.67	363.56	163.28	136.19	647.07	591.22	275.28	633.73	529.06	480.04	169.07	780.44	0.0	0.16
PLTP	551.56	13306.94	7130.55	3820.7	15824.9	4869.99	7230.1	5711.87	1529.73	20030.74	21172.91	4181.07	52497.92	4575.41	1674.06	3280.18	7589.61	1295.13	2319.15	397.93	2520.38	4937.99	6037.61	2434.5	1583.71	723.08	1359.57	291.04	2119.22	921.88	4836.35	248.0	2451.44	1225.22	2148.82	295.11	450.94	1417.35	409.15	145.02	2018.8	1216.75	4010.71	325.29
POLM	153.34	629.35	444.72	607.87	320.8	320.8	921.88	470.14	236.21	551.56	473.41	620.67	808.0	316.37	493.56	341.51	323.03	555.41	105.89	135.24	100.83	205.5	147.06	135.24	139.07	209.84	92.05	159.9	136.19	94.01	121.79	180.02	161.02	133.36	100.13	133.36	146.03	123.5	205.5	115.16	108.14	153.34	0.0	0.93
PPME1	209.84	1350.18	819.3	738.29	934.76	674.59	1183.45	1259.69	890.44	1127.35	1331.57	703.28	1457.23	1066.48	954.43	813.63	718.08	775.05	291.04	287.01	264.03	283.05	403.5	246.28	265.87	206.94	334.46	351.14	187.71	497.0	366.09	309.83	244.57	223.41	265.87	244.57	228.13	316.37	208.38	146.03	228.13	237.86	579.04	836.53
PRKAG1	660.68	1498.22	1477.58	1870.53	1540.37	1745.2	1617.0	1769.57	1617.0	1794.29	1369.04	1417.35	2520.38	1417.35	1378.57	1594.73	1769.57	1225.22	860.08	674.59	723.08	738.29	1225.22	848.22	909.17	825.0	802.41	728.11	791.35	854.13	785.88	941.27	769.69	941.27	909.17	603.67	808.0	1015.93	802.41	536.45	884.29	728.11	0.0	0.18
PRR13	3467.27	17804.06	15285.81	15499.21	19754.96	10585.95	15934.98	10659.59	10154.69	27363.16	10084.54	12589.08	44145.15	13586.57	14765.09	11909.94	11345.82	9876.98	4298.64	3395.89	3614.55	4639.29	6426.31	3982.99	5076.84	4512.4	3955.48	3124.78	4836.35	3081.75	6121.9	4328.55	3820.7	4450.27	5219.6	4481.23	3325.99	4268.94	4123.49	4769.75	4450.27	4358.66	8901.53	9540.5
PRSS57	0.0	8.78	10.63	4.35	3.08	2.76	25.91	14.45	8.13	10.0	6.89	7.63	4.62	7.06	2.58	5.77	0.74	6.89	0.0	0.0	1.91	2.86	0.0	2.53	0.0	5.82	0.0	0.0	21.78	5.96	1.07	3.76	0.0	1.69	1.75	0.0	0.0	1.85	0.0	0.0	0.0	1.1	0.0	0.04
PTTG1	52.45	287.01	2855.44	511.0	559.28	397.93	409.15	363.56	190.34	620.67	836.53	995.0	896.64	896.64	830.75	381.68	305.55	269.6	24.46	20.56	41.52	229.72	38.67	55.89	59.13	87.65	40.36	26.28	115.16	43.02	140.04	21.47	56.28	31.22	32.36	29.27	6.31	13.93	16.03	35.25	52.08	94.67	0.0	0.23
PYGB	220.32	1457.23	2018.8	2004.85	1457.23	1250.98	1397.83	1340.84	1268.46	2178.83	3257.52	1583.71	733.19	974.5	872.1	1322.37	1001.93	1407.55	199.85	133.36	195.72	303.44	1561.89	187.71	358.54	293.07	127.89	187.71	182.55	536.45	303.44	260.38	157.68	182.55	239.52	132.44	71.5	208.38	255.0	94.67	277.2	148.09	0.0	0.79
