	GTEX.S341.1326.SM.4AD72	GTEX.13OW8.2326.SM.5L3I9	GTEX.XUZC.0426.SM.4BOPE	GTEX.WH7G.0926.SM.4LVMJ	GTEX.11ZU8.1526.SM.5EGHX	GTEX.ZYVF.2226.SM.5GIDD	GTEX.13G51.0926.SM.5IFFU	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.X3Y1.0626.SM.3P5YS	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P
DCDC1	336.79	1.46	0.0	2.03	0.0	3.47	2.46	0.64	3.03	0.0	0.0	52.82	87.65	27.64	62.56	75.11	33.78	42.11	58.71	58.3	53.95	112.77	110.43	48.18	125.24	64.8	23.59	87.65	40.93
DCDC2B	2090.03	1.73	2.25	5.5	1.25	5.59	4.35	0.64	25.91	0.0	0.0	429.54	384.34	249.73	708.18	620.67	127.89	595.34	490.14	529.06	466.88	1572.76	1030.12	406.31	954.43	1088.92	248.0	860.08	358.54
DNAAF1	72213.45	1.66	10.24	1.39	3.63	22.59	16.27	7.06	38.12	0.0	0.0	878.17	1467.37	674.59	1350.18	2018.8	651.58	1183.45	1447.15	1088.92	1051.79	2816.11	3168.41	981.29	1923.14	2018.8	620.67	2287.2	836.53
DNAH2	1896.65	3.38	1.11	3.56	2.61	1.53	3.35	0.0	15.0	0.0	0.0	285.03	223.41	212.78	500.46	237.86	181.28	361.04	244.57	403.5	358.54	872.1	684.02	273.37	616.37	483.38	172.65	536.45	209.84
DNAH9	95949.32	9.2	10.16	8.51	0.66	3.23	11.64	11.82	56.68	0.0	0.0	1417.35	1096.5	830.75	1508.65	813.63	629.35	1073.91	890.44	1417.35	995.0	3491.39	1963.57	954.43	3349.13	2335.28	575.03	1832.01	808.0
DNAI1	19892.37	6.26	0.0	0.0	3.66	1.85	11.21	0.0	33.54	0.0	0.0	493.56	836.53	409.15	791.35	791.35	351.14	629.35	555.41	633.73	713.11	1322.37	1487.87	529.06	1322.37	1023.0	403.5	909.17	543.96
DNAI2	13123.73	0.73	0.75	0.0	3.23	0.0	2.58	3.0	46.18	0.0	0.0	466.88	466.88	417.77	738.29	521.76	265.87	733.19	518.15	540.19	529.06	1073.91	1551.09	417.77	775.05	902.89	325.29	842.36	356.05
DRC1	40904.3	0.3	0.0	3.76	0.64	0.0	0.0	0.44	30.12	0.0	0.0	563.18	435.55	376.41	872.1	457.25	366.09	595.34	460.44	525.39	718.08	1159.07	1081.39	620.67	1628.26	954.43	260.38	954.43	327.56
ECT2L	189.02	7.75	3.5	2.71	7.11	1.1	1.11	1.57	15.8	0.0	0.0	226.54	149.12	170.25	543.96	127.89	82.29	226.54	136.19	246.28	303.44	497.0	356.05	289.02	660.68	323.03	87.03	470.14	161.02
EFCAB1	5831.91	22.43	7.94	39.5	20.56	20.26	121.79	14.24	84.04	0.0	0.0	1498.22	1832.01	1397.83	3124.78	1857.6	1037.29	1936.53	1540.37	2303.12	2758.13	4937.99	4639.29	1757.34	4450.27	4010.71	954.43	3639.7	1295.13
EPPIN	1286.18	0.0	0.74	1.53	0.0	0.0	0.69	0.0	11.91	0.0	0.0	63.89	19.68	32.13	54.33	50.63	8.78	38.67	45.21	64.8	44.57	155.5	121.79	22.1	84.04	102.25	31.45	143.01	57.49
FAM216B	51417.5	0.75	0.0	0.0	0.0	0.0	0.75	0.0	31.67	0.0	0.0	1119.56	1081.39	1268.46	1417.35	1151.06	669.92	1378.57	1127.35	1467.37	1709.26	2645.74	2271.4	1277.29	2627.46	2485.67	733.19	2895.31	607.87
HNF1A	107.38	9.34	32.13	10.0	1.79	9.85	14.45	6.36	7.88	0.0	0.15	7.4	19.11	47.5	32.36	10.31	6.46	64.8	16.51	29.27	43.94	24.81	48.87	25.72	0.09	37.59	55.89	74.58	20.56
ICAM4	82.29	15.22	12.09	4.78	0.21	4.94	9.63	0.0	28.04	0.0	0.0	202.66	42.71	1259.69	231.32	624.99	10.08	791.35	607.87	2240.11	444.72	3325.99	3081.75	248.0	251.48	1551.09	3280.18	400.71	3716.2
KCNC3	1572.76	19.97	37.05	52.08	34.26	71.0	29.06	19.25	11.82	0.0	0.39	187.71	52.82	265.87	237.86	206.94	269.6	277.2	137.14	387.02	265.87	318.57	48.87	198.47	332.14	81.71	164.42	182.55	281.09
LAMP5	2627.46	5.63	0.0	0.62	1.71	1.35	3.44	8.65	8.85	0.0	0.0	7.69	14.56	13.42	13.12	42.71	5.68	248.0	49.21	21.32	43.32	12.74	29.27	135.24	16.88	19.25	13.42	50.27	5.96
LRRC46	17927.91	7.51	16.27	17.51	12.93	25.35	23.25	3.03	112.77	0.0	0.0	988.12	656.11	860.08	1477.58	1259.69	708.18	1295.13	921.88	1487.87	1225.22	2335.28	2520.38	1030.12	1936.53	1819.35	764.36	1685.71	808.0
LRRC48	6745.86	94.67	81.71	86.43	86.43	67.12	115.97	22.59	120.94	0.0	0.0	921.88	988.12	571.05	1467.37	1073.91	500.46	1159.07	872.1	1199.98	941.27	2573.36	2255.7	665.29	1697.45	1662.49	599.49	1572.76	830.75
MAP3K19	68793.23	1.5	4.58	0.48	0.44	0.45	0.96	0.0	10.39	0.0	0.0	312.0	291.04	142.01	277.2	267.73	111.99	363.56	202.66	265.87	248.0	473.41	780.44	199.85	620.67	444.72	170.25	500.46	172.65
MROH9	660.68	0.0	0.0	0.0	0.0	0.48	0.0	1.35	2.25	0.0	0.0	33.78	59.97	48.87	75.11	57.08	52.82	87.65	68.07	85.22	125.24	223.41	58.71	49.56	88.26	115.97	27.05	105.15	63.45
NME5	21026.65	26.67	13.93	28.86	3.66	28.04	43.94	2.41	41.22	0.0	0.05	1044.52	921.88	638.15	1651.0	961.07	368.65	928.3	444.72	1119.56	974.5	3443.31	2645.74	909.17	5366.37	3443.31	432.53	1977.24	890.44
NPHP1	995.0	74.58	45.53	51.35	28.45	33.3	73.03	24.11	49.21	0.0	0.03	381.68	441.64	314.17	579.04	444.72	211.31	470.14	301.33	583.07	529.06	872.1	848.22	460.44	769.69	764.36	314.17	633.73	358.54
PHF15	796.86	224.97	197.09	293.07	93.35	181.28	231.32	91.41	170.25	334.46	202.66	204.07	135.24	603.67	1051.79	450.94	95.34	1175.27	414.87	563.18	387.02	351.14	612.11	332.14	187.71	529.06	555.41	368.65	559.28
PIH1D3	8538.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	242.88	199.85	169.07	312.0	187.71	118.43	224.97	138.1	236.21	246.28	583.07	503.95	232.94	713.11	473.41	94.01	406.31	147.06
PPP1R42	1977.24	0.0	0.0	0.0	0.0	0.0	6.73	0.0	20.71	0.0	0.0	460.44	271.48	293.07	395.18	332.14	165.57	275.28	237.86	273.37	368.65	802.41	860.08	287.01	796.86	620.67	226.54	607.87	242.88
RIN2	967.76	429.54	256.78	493.56	348.71	521.76	555.41	285.03	612.11	559.28	1044.52	1159.07	1304.15	1073.91	708.18	624.99	830.75	486.75	860.08	890.44	1313.23	624.99	1277.29	406.31	620.67	595.34	612.11	1216.75	934.76
RNFT2	105.89	38.67	6.31	8.71	17.38	6.36	14.56	1.64	10.55	0.0	0.39	46.18	15.68	38.4	75.64	38.95	9.78	95.34	74.58	51.35	12.0	20.41	18.03	40.64	9.56	94.01	18.56	34.26	94.67
ROPN1L	184082.4	6.31	4.98	7.82	2.34	4.98	7.88	1.87	113.56	0.0	0.0	1709.26	1832.01	708.18	2119.22	1295.13	934.76	1605.83	1037.29	1407.55	1457.23	4298.64	3060.45	1508.65	5517.27	2956.17	674.59	2271.4	825.0
