	GTEX.ZVZP.1626.SM.5GIDJ	GTEX.11P81.1026.SM.5GU54	GTEX.XBEW.1526.SM.4AT4K	GTEX.ZT9W.1426.SM.4YCD2	GTEX.Y3I4.0926.SM.4TT2B	GTEX.13RTK.0426.SM.5RQHT	GTEX.131XG.1126.SM.5DUWR	GTEX.13D11.2026.SM.5IJBK	GTEX.13YAN.1826.SM.5LU3Q	GTEX.XUW1.1326.SM.4BOO1	GTEX.146FR.0526.SM.5Q5EX	GTEX.WH7G.1026.SM.4LVML	GTEX.WFG8.1026.SM.4LVMZ	GTEX.TMMY.1226.SM.4DXT6	GTEX.12C56.1126.SM.5FQTO	GTEX.ZT9W.1226.SM.57WE4	GTEX.145LV.1426.SM.5Q5BV	GTEX.1211K.1026.SM.5EQ4B	GTEX.ZXES.1226.SM.5NQ8G	GTEX.13OVI.2526.SM.5KM4V	GTEX.UPIC.0626.SM.4IHK2	GTEX.13RTK.0626.SM.5Q5EK	GTEX.145ME.0626.SM.5O99Q	GTEX.XUW1.1526.SM.4BOOY	GTEX.NFK9.1226.SM.3LK79	GTEX.OIZG.0926.SM.3LK5Y	GTEX.QCQG.0726.SM.48U1Z	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A1EL.11A.11R.A155.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4GY.11A.11R.A36D.31
HIST2H2AA3	38.12	52.08	85.22	66.65	105.15	118.43	156.59	157.68	128.79	165.57	84.04	138.1	68.07	194.36	236.21	65.72	43.32	65.72	75.11	248.0	58.3	75.64	50.63	169.07	112.77	224.97	102.97	48.18	69.03	49.91	54.33	46.84	120.94	48.52	12.18	28.45	27.05	24.99	33.06	36.79	123.5	50.98	58.71	56.68	109.66	149.12	15.56	71.0	77.25	12.18	37.32	24.81	40.93	78.34	16.15	32.13	64.8	97.36	4.66	141.02	86.43	75.11	220.32	85.82	33.54	111.21	64.8	77.79	43.32	0.0	0.06	120.1	120.94	165.57	112.77	33.06	197.09
HP	81.14	8.32	38.4	5.15	104.42	54.33	13.03	40.64	70.01	4.13	34.75	37.05	111.21	39.79	48.87	40.07	18.16	33.78	29.48	78.89	20.56	59.55	18.56	0.0	20.41	49.21	127.0	1318073.06	1100706.72	1055868.42	1493223.86	6183532.28	6357375.06	6014443.23	9635979.21	1.307221145E7	6490957.04	7560235.84	1.202888747E7	3.671840259E7	1.219680449E7	1.654623811E7	3.174442598E7	6719860.18	1.410789979E7	4252853.3	1.533154663E7	8990686.44	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	1.169995688E7	1.325469274E7	3406832.48	8159220.07	3728075.41	1.512047268E7	2442622.37	9307742.35	3995652.37	3406832.48	2.614442391E7	9179599.9	1.381756339E7	1.025624901E7	9053221.62	9838451.64	0.0	0.21	26.28	11.13	490.14	37.59	34.75	7.0
HPS4	441.64	387.02	466.88	368.65	305.55	381.68	414.87	429.54	536.45	441.64	346.29	381.68	373.81	384.34	511.0	285.03	423.61	389.72	514.56	490.14	595.34	397.93	381.68	336.79	540.19	476.71	301.33	193.01	231.32	208.38	211.31	183.82	130.6	126.12	148.09	163.28	100.13	189.02	119.26	98.04	139.07	201.25	142.01	159.9	140.04	228.13	181.28	182.55	180.02	153.34	195.72	101.54	125.24	117.6	144.01	267.73	163.28	256.78	136.19	206.94	180.02	155.5	185.11	90.77	145.02	194.36	172.65	172.65	191.67	0.0	0.68	356.05	447.82	389.72	514.56	579.04	366.09
HSF1	2163.77	2351.53	2287.2	2240.11	2090.03	2209.26	2351.53	2075.59	2573.36	2664.15	2163.77	2451.44	2287.2	2502.97	2434.5	2224.63	2193.99	2417.67	2163.77	2816.11	2502.97	2303.12	2148.82	2400.97	2573.36	2468.49	2133.97	915.51	802.41	813.63	909.17	860.08	791.35	543.96	529.06	571.05	743.43	684.02	409.15	532.74	429.54	624.99	532.74	1135.2	819.3	775.05	854.13	884.29	555.41	571.05	497.0	599.49	688.78	551.56	642.59	1225.22	579.04	1340.84	575.03	1051.79	575.03	1159.07	1477.58	656.11	579.04	759.08	642.59	1088.92	684.02	0.0	0.93	2555.58	2835.7	2720.15	2224.63	2816.11	2915.45
KCNH4	1.73	2.68	8.85	2.68	1.79	4.66	3.53	2.68	8.51	5.87	1.85	2.68	5.82	12.74	6.62	2.84	3.96	4.94	2.86	10.47	1.79	2.63	6.57	2.56	8.06	3.96	4.39	0.56	0.59	0.0	0.0	4.94	0.0	0.91	2.34	0.0	3.35	1.19	0.42	0.0	0.0	3.82	0.44	2.29	3.06	1.0	0.39	0.29	5.28	0.37	2.34	0.0	0.35	0.39	0.4	1.25	0.43	1.93	0.0	5.77	0.0	0.38	2.05	0.46	0.0	0.35	2.2	0.38	0.29	0.0	0.0	2.58	4.86	5.82	3.08	8.32	7.51
KIAA1328	102.97	124.37	103.69	104.42	98.04	105.89	99.43	110.43	218.79	138.1	127.89	114.36	105.89	109.66	95.34	110.43	93.35	98.73	123.5	153.34	140.04	90.77	84.04	154.42	148.09	122.64	81.14	34.75	21.63	30.78	22.59	52.08	63.45	26.47	22.1	31.67	23.93	43.94	27.84	23.59	28.45	29.48	36.53	12.55	24.99	23.76	15.11	19.82	34.75	32.13	37.32	30.34	38.4	27.25	29.27	60.39	16.15	41.81	30.12	25.54	24.11	51.71	37.05	22.75	23.59	13.72	29.06	9.78	12.45	0.0	0.2	115.97	112.77	166.73	97.36	115.16	170.25
KIAA1407	75.64	177.53	128.79	94.67	94.01	124.37	73.03	115.97	182.55	103.69	87.65	118.43	111.21	73.03	90.77	68.07	123.5	86.43	141.02	96.01	220.32	93.35	74.06	120.1	92.7	155.5	56.28	14.78	25.35	28.45	9.06	38.12	31.67	6.16	15.91	15.0	7.75	14.89	18.56	6.16	20.11	23.42	21.47	6.46	12.83	25.35	4.5	20.56	16.15	12.74	13.93	19.68	6.62	19.97	16.88	34.26	15.8	30.12	10.63	28.45	13.12	33.54	25.91	3.26	15.8	14.78	11.64	4.39	15.8	0.0	0.29	135.24	155.5	161.02	127.89	156.59	136.19
LA16c-431H6.6	2.03	1.5	0.96	0.95	2.66	1.5	1.46	0.0	0.88	5.68	1.57	1.5	0.96	2.46	0.0	0.97	0.0	0.0	2.73	0.0	1.53	0.95	1.48	1.45	1.48	0.93	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	5.32	6.62	4.06	2.92	11.13	5.5
LYG2	0.0	5.92	0.0	1.51	2.05	2.48	2.41	0.0	7.34	8.51	3.11	0.0	5.54	5.96	0.0	2.1	2.39	0.0	0.0	0.0	0.0	1.97	1.97	0.0	2.89	1.46	3.63	0.0	0.0	0.0	0.0	1.08	7.28	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.87	0.0	0.0	2.78	0.0	1.46	1.04	0.0	3.32	0.0	0.0	0.0	1.99	1.95	0.0	0.0	0.0	3.99	1.48	1.53	0.0	0.0	0.0	0.0	1.97	6.26	0.0	2.56	17.38	9.48
MAML1	525.39	559.28	540.19	503.95	559.28	521.76	470.14	555.41	713.11	571.05	476.71	543.96	583.07	567.1	525.39	480.04	432.53	525.39	543.96	591.22	642.59	497.0	551.56	583.07	607.87	529.06	447.82	99.43	100.83	115.16	97.36	214.27	96.68	36.27	65.72	61.68	78.89	79.45	73.54	49.91	119.26	104.42	91.41	92.7	82.29	75.11	72.01	94.01	97.36	76.71	86.43	78.89	72.52	77.79	118.43	120.1	68.07	136.19	56.68	115.16	74.06	112.77	96.01	70.51	82.87	111.21	77.79	91.41	63.89	0.0	0.74	555.41	563.18	595.34	525.39	591.22	674.59
MGC10955	1.35	8.45	19.25	5.92	11.82	0.0	6.36	10.08	9.85	2.56	9.56	2.03	4.78	1.91	3.89	6.89	8.13	6.57	1.79	10.88	1.04	0.0	6.78	2.89	0.0	0.97	3.5	1.43	2.92	0.0	0.0	0.26	1.55	0.37	2.81	0.0	0.0	0.0	1.89	0.0	1.48	0.0	0.0	0.0	0.69	0.41	0.0	0.0	0.0	0.51	0.0	0.0	0.0	1.3	0.0	4.13	0.0	0.0	1.31	4.13	0.95	1.03	0.72	0.0	1.06	1.46	0.75	0.0	0.0	0.0	0.1	0.0	1.22	9.85	2.07	5.87	21.78
MORN3	3.99	7.46	18.7	5.96	2.68	10.08	4.35	9.06	20.26	6.16	3.26	2.63	1.28	6.01	12.93	1.79	5.73	2.27	8.0	16.75	4.66	5.87	1.68	6.16	25.72	1.19	1.31	0.96	5.02	6.94	2.92	13.32	4.31	0.0	1.62	7.69	2.39	0.0	2.58	0.0	0.0	3.59	2.66	4.28	11.73	12.93	1.6	4.58	10.31	1.55	8.58	9.85	2.32	1.58	0.0	5.23	1.71	0.0	24.63	1.51	0.74	0.0	3.08	5.87	7.4	0.0	11.47	6.21	0.0	0.0	0.0	13.12	18.7	11.47	6.41	10.63	18.03
MXRA8	2417.67	2133.97	2417.67	2240.11	1870.53	1304.15	2209.26	2287.2	9025.81	2163.77	941.27	2287.2	2555.58	1350.18	1639.59	1059.11	1331.57	2255.7	1605.83	3467.27	3419.52	1378.57	1508.65	1857.6	2367.9	4328.55	1407.55	251.48	228.13	289.02	244.57	1135.2	373.81	102.25	49.91	547.75	177.53	309.83	87.03	85.22	178.77	486.75	185.11	32.82	167.9	251.48	84.63	105.89	346.29	603.67	176.29	129.69	111.99	149.12	64.34	409.15	312.0	343.89	54.72	1191.69	96.68	493.56	201.25	128.79	262.2	126.12	253.23	123.5	73.54	0.0	1.01	3146.52	2075.59	6337.83	2434.5	3540.14	2645.74
MYH11	90146.51	140478.49	89523.81	127486.83	68318.04	142439.51	104996.83	147462.67	53230.77	110983.6	202841.44	161367.56	112532.89	118127.7	164758.26	193234.41	80125.95	129266.49	201440.3	120609.84	170568.48	120609.84	149521.18	137587.47	131982.68	84109.6	122293.5	126.12	45.21	69.03	155.5	400.71	934.76	57.49	126.12	258.57	126.12	92.05	612.11	164.42	151.22	3768.09	55.1	81.71	73.03	87.03	20.11	52.45	780.44	124.37	140.04	339.14	52.08	183.82	46.5	166.73	493.56	198.47	450.94	285.03	31.0	108.9	123.5	60.82	150.17	234.57	229.72	82.87	163.28	0.0	0.79	133825.1	228208.61	82378.63	73730.83	146444.06	263966.36
MYO1H	0.6	0.0	1.66	3.06	2.78	0.96	2.97	1.66	0.83	1.23	3.59	3.06	1.35	0.89	2.14	0.27	3.63	4.74	0.65	7.34	1.35	1.28	1.62	1.25	1.28	0.58	9.13	0.0	0.0	1.5	0.0	0.39	0.0	0.26	0.0	6.31	0.0	0.0	5.36	0.42	0.0	0.41	0.0	1.03	0.0	0.29	0.0	0.3	0.0	0.0	0.0	0.46	0.34	0.38	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.37	0.33	0.43	0.38	0.0	0.36	0.0	0.0	0.0	0.16	0.91	6.26	7.63	3.69	4.58	8.45
NAA25	194.36	223.41	195.72	176.29	159.9	182.55	165.57	167.9	297.17	208.38	176.29	163.28	141.02	195.72	152.28	148.09	182.55	166.73	183.82	195.72	164.42	182.55	234.57	193.01	163.28	193.01	191.67	52.08	66.18	92.7	42.71	61.68	57.49	42.71	63.45	59.97	111.21	45.21	137.14	53.95	59.13	56.28	53.19	127.89	51.35	83.45	190.34	60.82	66.18	81.71	101.54	66.18	100.83	39.22	57.89	53.19	32.13	46.18	99.43	38.95	49.56	97.36	107.38	18.03	49.91	48.87	64.34	80.57	46.5	0.0	0.38	197.09	258.57	193.01	199.85	285.03	265.87
NOD1	237.86	193.01	204.07	232.94	145.02	132.44	163.28	158.79	525.39	183.82	157.68	140.04	199.85	231.32	115.16	125.24	229.72	353.59	249.73	438.59	204.07	110.43	457.25	124.37	295.11	285.03	291.04	28.24	33.54	40.07	25.17	76.71	43.94	12.55	39.79	28.24	19.53	49.91	23.08	16.39	34.75	36.01	37.05	20.86	37.05	31.45	29.7	40.64	30.78	29.7	20.56	40.07	26.47	21.32	10.39	45.85	17.9	82.87	27.25	46.84	35.76	19.11	46.18	7.88	33.06	47.17	32.36	17.9	21.32	0.0	0.6	470.14	144.01	688.78	348.71	403.5	547.75
NUDT2	314.17	713.11	728.11	748.61	387.02	656.11	493.56	660.68	543.96	441.64	529.06	529.06	785.88	368.65	463.65	620.67	656.11	928.3	591.22	967.76	638.15	764.36	529.06	444.72	624.99	753.83	389.72	361.04	417.77	389.72	703.28	441.64	307.69	195.72	265.87	660.68	275.28	500.46	158.79	279.14	397.93	136.19	379.04	164.42	353.59	177.53	332.14	486.75	603.67	221.86	303.44	287.01	256.78	249.73	351.14	483.38	356.05	285.03	285.03	441.64	361.04	457.25	232.94	379.04	547.75	329.84	373.81	500.46	454.09	0.0	0.54	323.03	521.76	529.06	406.31	371.22	890.44
NXPH3	224.97	353.59	136.19	647.07	293.07	343.89	275.28	412.0	244.57	234.57	149.12	379.04	379.04	137.14	205.5	220.32	251.48	223.41	229.72	483.38	339.14	299.25	67.59	229.72	271.48	269.6	31.67	6.84	5.15	5.5	4.94	15.56	8.92	3.59	3.53	4.94	2.14	2.71	3.0	5.19	4.46	25.72	2.46	3.44	3.08	3.92	0.11	0.47	11.3	2.16	0.6	10.55	4.43	4.06	4.17	2.81	10.47	1.93	0.59	17.25	0.52	8.13	3.72	0.15	7.57	7.0	5.19	1.64	6.94	0.0	0.03	389.72	368.65	312.0	87.65	279.14	334.46
OR52N4	12.09	16.15	18.84	3.26	4.39	10.24	8.32	4.98	19.53	4.39	5.23	4.98	10.79	16.39	9.13	6.94	3.47	2.41	5.96	20.86	12.83	4.86	11.73	3.47	12.27	10.39	8.65	1.27	1.99	2.34	0.0	3.79	3.14	0.0	3.5	2.32	1.25	2.46	0.0	0.0	1.85	0.0	0.0	2.23	0.0	0.0	2.86	0.0	1.71	1.89	0.0	0.0	2.97	0.0	0.0	1.6	0.66	2.56	1.62	0.91	1.19	1.28	1.79	1.77	0.0	1.83	2.18	0.95	0.0	0.0	0.24	3.14	23.08	12.09	4.82	22.59	14.89
PHF21A	441.64	703.28	521.76	633.73	463.65	599.49	638.15	616.37	743.43	703.28	688.78	579.04	579.04	607.87	579.04	748.61	571.05	718.08	708.18	1119.56	647.07	656.11	830.75	753.83	733.19	575.03	395.18	138.1	128.79	115.97	96.68	157.68	132.44	66.65	109.66	111.99	74.06	78.34	74.58	67.59	65.26	78.34	79.45	291.04	389.72	155.5	50.63	129.69	177.53	105.15	94.01	72.52	81.14	114.36	101.54	103.69	84.04	139.07	71.0	105.89	101.54	114.36	92.05	78.34	91.41	86.43	99.43	312.0	63.89	0.0	0.43	1088.92	954.43	928.3	575.03	921.88	981.29
PHOSPHO2	82.87	154.42	94.67	88.26	95.34	134.3	94.01	117.6	73.03	108.9	97.36	145.02	103.69	96.01	137.14	108.9	187.71	60.82	78.89	127.0	122.64	176.29	112.77	156.59	147.06	166.73	104.42	49.56	31.22	44.25	55.1	48.18	78.34	67.12	50.27	16.51	38.67	94.67	109.66	57.89	101.54	57.89	62.56	41.52	64.8	90.77	29.7	47.84	60.39	45.21	61.25	41.81	34.02	38.12	21.01	50.63	41.22	105.15	47.84	38.95	34.02	32.36	45.21	29.48	19.82	38.95	74.06	37.32	87.03	0.0	0.01	102.97	186.4	98.73	154.42	109.66	133.36
PLAT	679.29	684.02	981.29	941.27	525.39	483.38	759.08	500.46	620.67	470.14	507.46	1119.56	703.28	796.86	909.17	587.13	656.11	665.29	753.83	1437.15	723.08	447.82	1295.13	559.28	1081.39	674.59	679.29	102.25	74.06	59.55	99.43	432.53	387.02	37.32	28.24	44.57	87.03	28.65	40.64	119.26	85.82	152.28	105.15	48.87	53.57	186.4	24.99	56.28	154.42	75.11	18.43	51.71	30.12	127.0	23.59	285.03	97.36	220.32	22.59	212.78	34.51	142.01	145.02	54.33	52.45	56.28	49.91	94.67	55.1	0.0	0.73	1277.29	1769.57	1651.0	785.88	595.34	1844.76
PLEKHD1	4.54	0.36	6.36	3.41	2.41	4.58	0.79	2.89	3.89	2.71	0.38	2.89	0.84	8.78	2.51	4.21	0.0	0.38	0.88	4.24	4.1	5.63	1.79	3.79	0.0	0.34	0.87	0.0	0.65	1.55	0.0	0.84	0.0	0.11	2.25	0.0	0.0	2.1	0.0	0.0	0.0	0.91	0.0	0.0	2.63	2.43	2.2	0.16	1.62	0.21	0.84	3.53	2.03	0.21	0.0	0.0	0.0	0.68	2.97	1.36	0.0	0.8	4.17	0.27	2.2	0.75	2.12	1.46	0.0	0.0	0.12	2.01	3.14	2.78	0.0	4.54	5.41
PPIL2	693.58	591.22	743.43	599.49	647.07	624.99	587.13	497.0	693.58	753.83	595.34	511.0	620.67	616.37	587.13	514.56	567.1	507.46	620.67	854.13	684.02	642.59	563.18	633.73	674.59	629.35	571.05	316.37	518.15	447.82	389.72	423.61	406.31	358.54	426.57	603.67	379.04	764.36	348.71	267.73	373.81	329.84	373.81	334.46	371.22	366.09	684.02	432.53	356.05	665.29	591.22	435.55	435.55	373.81	320.8	438.59	351.14	483.38	435.55	334.46	341.51	447.82	595.34	400.71	540.19	381.68	473.41	279.14	279.14	0.0	0.77	693.58	733.19	607.87	825.0	921.88	684.02
RAD51B	94.01	84.04	64.8	28.04	38.4	46.5	45.53	120.94	180.02	56.68	45.85	37.05	45.21	42.11	57.89	39.79	69.52	43.94	59.55	49.91	71.5	82.87	102.25	75.11	114.36	76.71	80.01	52.82	96.01	57.49	52.82	64.8	77.25	38.12	64.34	38.95	39.22	74.06	48.87	32.36	47.5	64.34	133.36	53.95	96.68	71.5	15.0	87.03	64.8	60.82	43.32	32.36	18.97	41.22	80.57	116.78	51.35	151.22	27.05	69.52	59.97	73.54	36.27	40.36	47.5	44.25	19.39	51.35	92.7	0.0	0.18	123.5	107.38	137.14	78.34	111.21	96.68
RUNX1T1	163.28	332.14	180.02	175.07	206.94	159.9	226.54	242.88	221.86	181.28	149.12	170.25	175.07	165.57	107.38	108.9	162.14	137.14	185.11	211.31	177.53	127.0	103.69	189.02	187.71	234.57	159.9	7.46	11.13	23.59	6.41	32.13	17.77	3.5	2.86	10.16	1.1	6.36	12.45	14.45	5.59	13.12	7.51	0.0	3.14	17.64	3.17	6.36	13.52	9.13	3.89	13.42	7.51	3.11	7.06	14.35	10.08	37.59	4.17	26.86	11.64	22.75	15.0	0.0	5.59	10.55	9.48	4.13	5.96	0.0	0.38	511.0	346.29	341.51	246.28	403.5	507.46
SCAF8	420.68	438.59	351.14	414.87	406.31	435.55	363.56	412.0	429.54	397.93	426.57	406.31	412.0	447.82	470.14	379.04	361.04	366.09	412.0	896.64	395.18	454.09	414.87	493.56	480.04	493.56	379.04	151.22	180.02	169.07	147.06	316.37	242.88	98.73	151.22	136.19	145.02	229.72	409.15	205.5	201.25	172.65	229.72	115.16	138.1	172.65	142.01	118.43	163.28	212.78	189.02	169.07	253.23	135.24	195.72	173.85	173.85	224.97	148.09	139.07	107.38	237.86	232.94	84.04	182.55	157.68	165.57	148.09	141.02	0.0	0.45	457.25	493.56	412.0	420.68	432.53	500.46
SF3A2	1277.29	2664.15	1498.22	1733.13	1331.57	1662.49	1572.76	1437.15	2271.4	1781.89	1175.27	1674.06	1651.0	1529.73	1721.16	1467.37	1359.57	1674.06	1322.37	2303.12	2468.49	1781.89	1572.76	1819.35	1529.73	2178.83	1594.73	444.72	450.94	379.04	417.77	693.58	493.56	463.65	336.79	323.03	273.37	525.39	258.57	194.36	395.18	379.04	353.59	234.57	493.56	376.41	366.09	603.67	366.09	435.55	343.89	371.22	414.87	444.72	242.88	624.99	368.65	587.13	438.59	591.22	400.71	620.67	802.41	255.0	371.22	384.34	346.29	246.28	305.55	0.0	1.07	1733.13	1757.34	2018.8	1857.6	2163.77	1583.71
SLC9A8	262.2	209.84	273.37	267.73	241.19	251.48	232.94	209.84	343.89	255.0	189.02	194.36	265.87	228.13	269.6	189.02	199.85	260.38	244.57	329.84	253.23	239.52	198.47	215.77	269.6	265.87	244.57	111.21	116.78	111.21	180.02	108.9	109.66	82.87	172.65	153.34	217.27	193.01	116.78	166.73	206.94	99.43	100.13	267.73	130.6	148.09	209.84	120.1	119.26	127.89	139.07	209.84	150.17	100.13	115.16	90.14	133.36	135.24	229.72	103.69	171.45	111.99	124.37	43.63	135.24	136.19	137.14	94.67	96.01	0.0	0.59	239.52	291.04	271.48	457.25	341.51	231.32
SNX29	140.04	144.01	147.06	189.02	141.02	191.67	161.02	232.94	141.02	183.82	164.42	277.2	199.85	175.07	126.12	147.06	164.42	237.86	208.38	242.88	153.34	182.55	125.24	199.85	234.57	144.01	117.6	24.81	42.71	52.08	47.17	123.5	79.45	38.67	41.81	69.52	103.69	28.45	32.59	35.25	59.55	68.07	86.43	30.78	51.35	43.02	48.52	25.17	70.51	56.68	29.48	101.54	34.26	34.51	32.82	21.47	74.06	37.85	41.81	68.55	39.22	46.84	27.64	43.02	45.85	52.08	57.49	46.18	58.3	0.0	0.4	197.09	281.09	193.01	186.4	191.67	206.94
SPATA4	1.0	13.42	3.63	10.71	5.96	9.27	3.82	8.65	5.68	10.88	10.71	9.27	6.62	7.51	4.54	7.75	5.32	3.5	10.39	21.63	17.51	13.52	10.63	17.25	11.47	7.4	3.47	0.59	0.0	0.0	0.0	1.13	0.74	0.0	0.0	2.2	4.82	0.0	0.0	0.0	0.0	1.17	0.0	0.0	3.99	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	1.17	0.0	0.0	0.0	1.68	3.69	1.99	0.0	1.46	0.0	0.0	0.0	0.0	0.0	0.0	7.51	24.46	8.0	8.78	7.82	31.22
SYT11	178.77	178.77	137.14	139.07	212.78	165.57	212.78	237.86	191.67	231.32	215.77	211.31	211.31	236.21	182.55	167.9	186.4	228.13	262.2	267.73	194.36	153.34	170.25	204.07	262.2	271.48	220.32	18.97	16.63	23.42	24.81	89.51	26.28	8.51	8.06	24.81	23.59	10.16	24.28	30.78	30.56	55.89	15.56	6.57	33.78	34.51	11.38	9.56	40.36	23.76	11.47	24.28	13.22	13.32	8.78	41.52	38.12	39.22	10.63	75.64	8.32	17.77	23.08	4.1	14.35	15.34	18.16	14.03	23.42	0.0	0.47	698.41	583.07	457.25	255.0	860.08	438.59
TBC1D2B	842.36	728.11	579.04	796.86	638.15	651.58	738.29	753.83	1322.37	775.05	521.76	703.28	769.69	669.92	514.56	476.71	624.99	684.02	656.11	995.0	896.64	660.68	486.75	647.07	679.29	825.0	343.89	253.23	403.5	583.07	371.22	463.65	441.64	358.54	108.9	1001.93	988.12	223.41	429.54	463.65	633.73	307.69	211.31	248.0	529.06	223.41	915.51	255.0	417.77	860.08	981.29	866.07	688.78	633.73	426.57	348.71	500.46	438.59	718.08	251.48	146.03	329.84	679.29	612.11	988.12	305.55	486.75	291.04	120.1	0.0	0.61	693.58	476.71	698.41	780.44	423.61	607.87
TERF2	373.81	348.71	497.0	503.95	387.02	417.77	460.44	450.94	483.38	414.87	441.64	457.25	473.41	473.41	463.65	454.09	447.82	473.41	426.57	698.41	476.71	447.82	373.81	500.46	521.76	403.5	381.68	236.21	241.19	231.32	209.84	309.83	194.36	316.37	249.73	221.86	307.69	389.72	432.53	305.55	389.72	329.84	269.6	267.73	297.17	327.56	299.25	214.27	432.53	289.02	161.02	305.55	332.14	229.72	339.14	248.0	229.72	271.48	325.29	267.73	232.94	281.09	258.57	116.78	231.32	260.38	343.89	234.57	241.19	309.83	392.44	536.45	620.67	567.1	480.04	457.25	599.49
TNNI3K	62.12	66.18	53.19	45.53	65.72	64.34	77.79	49.56	124.37	24.81	25.72	87.03	43.02	34.02	70.51	58.71	43.32	62.56	88.26	71.5	55.89	72.52	38.12	25.17	55.1	88.26	57.08	2.68	6.94	4.31	2.1	3.29	12.0	2.78	2.43	8.58	0.0	8.0	5.63	2.27	0.31	3.44	2.56	1.81	3.2	3.0	0.95	3.08	3.44	6.01	0.0	0.42	4.82	4.82	2.14	0.0	1.64	7.17	5.68	4.82	2.46	3.99	7.69	1.69	2.68	7.82	5.23	0.0	0.0	0.0	0.21	80.57	129.69	79.45	40.07	65.72	92.05
UBL4B	8.78	3.0	1.64	1.62	1.31	0.6	2.58	3.35	5.63	2.2	0.64	1.97	5.19	1.85	2.1	0.0	2.23	3.17	1.0	8.25	0.61	1.27	2.27	1.55	4.98	0.57	1.36	0.0	0.0	0.0	0.0	0.0	0.38	0.0	1.17	0.0	0.0	0.0	0.0	1.27	1.07	0.0	0.0	1.14	0.0	0.0	0.39	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.0	1.99	0.0	0.0	0.0	1.06	2.86	0.0	0.0	0.0	0.06	0.67	0.0	9.06	1.08	12.74	7.51
UCP1	1.83	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.13	0.0	0.0	0.75	0.0	0.77	0.0	4.35	0.74	0.0	1.83	1.77	0.0	0.68	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	5.92	0.41
