	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.14C38.2626.SM.5RQI4	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.05.4389.01A.01R.1206.07	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.86.8358.01A.11R.2326.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.39.5011.01A.01R.1443.07	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.EL.A3GP.01A.11R.A206.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.A5.A3LP.01A.11R.A22K.07
FTL	783730.52	80683.28	469249.9	668235.84	539026.74	86474.27	1221310.69	350728.68	1422501.74	919186.72	1355129.16	932018.1	998912.34	834179.46	1422501.74	1048575.0	783730.52	992012.34	1123834.93	971597.0	677564.08	2111737.85	1327240.99	1452391.55	1026995.62	906531.99	1393227.06	875652.15	1055868.42	851707.37	696613.03	828417.36	1514068.5	623486.02	919186.72	985160.01	1100706.72	958220.73	912837.43	741454.2	434801.29	746611.43	932018.1	822695.06	857631.47	716197.51	1147449.11	894051.48	1493223.86	992012.34	811368.76	925580.18	881742.8	772940.66	822695.06	762299.34	472513.8	581732.96	489177.0	701458.36	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	573724.06	1131651.83	906531.99	925580.18	290865.98	706337.4	2326934.84	589853.66	751804.53	998912.34	978355.0	94628.34	215898.44	320506.81	411347.03	663619.99	1273174.62	329517.51	1204496.53	757033.75	938500.81	834179.46	1336472.68	938500.81	945028.61	971597.0	875652.15	783730.52	338781.54	645473.24	887875.81	1327240.99	778316.89	627822.72	687022.54	945028.61	900270.11	1179708.33	762299.34	645473.24	971597.0	645473.24	677564.08	971597.0	558035.51	66912.05	645473.24
G2E3	169.07	323.03	178.77	389.72	185.11	463.65	236.21	197.09	55.1	39.5	47.17	25.91	24.11	65.72	9.48	50.63	29.91	13.72	74.06	53.19	50.63	68.07	44.25	37.05	73.03	49.56	57.49	37.85	36.27	60.82	28.65	94.67	40.93	35.0	66.65	53.19	23.76	46.5	74.58	51.71	33.06	96.68	26.47	57.08	98.04	46.18	113.56	75.64	34.02	64.8	53.95	48.18	82.29	85.22	75.11	38.95	13.93	36.79	53.57	33.3	63.89	26.1	23.93	78.89	22.92	23.25	43.63	31.22	49.21	30.56	61.68	13.93	36.53	78.34	149.12	291.04	109.66	178.77	748.61	312.0	309.83	271.48	155.5	107.38	842.36	114.36	92.05	112.77	177.53	117.6	142.01	87.03	68.55	145.02	166.73	198.47	101.54	99.43	70.51	122.64	99.43	59.55	115.16	67.59	140.04	102.25	132.44	638.15	183.82	309.83	126.12	80.01	1104.13	283.05
GTF3C3	358.54	463.65	358.54	450.94	379.04	802.41	33.06	507.46	237.86	267.73	189.02	159.9	193.01	583.07	117.6	194.36	153.34	124.37	173.85	180.02	146.03	312.0	154.42	117.6	208.38	155.5	239.52	144.01	135.24	214.27	156.59	343.89	191.67	119.26	329.84	199.85	187.71	135.24	220.32	221.86	88.26	275.28	124.37	309.83	193.01	171.45	540.19	244.57	120.94	186.4	166.73	262.2	253.23	217.27	177.53	150.17	81.14	104.42	124.37	133.36	135.24	94.01	82.87	153.34	98.73	84.04	107.38	178.77	118.43	255.0	265.87	52.82	76.71	195.72	397.93	457.25	269.6	450.94	603.67	599.49	669.92	376.41	403.5	323.03	480.04	277.2	214.27	220.32	309.83	397.93	423.61	320.8	299.25	363.56	376.41	376.41	351.14	281.09	236.21	312.0	318.57	327.56	356.05	318.57	224.97	291.04	341.51	476.71	318.57	417.77	269.6	358.54	872.1	309.83
HMGXB4	214.27	325.29	256.78	392.44	234.57	555.41	81.71	389.72	88.26	70.51	105.89	39.22	59.97	79.45	35.25	83.45	64.8	49.91	121.79	108.9	112.77	124.37	127.0	90.14	110.43	73.03	145.02	71.0	98.04	120.1	53.95	133.36	157.68	70.01	132.44	132.44	105.89	58.3	141.02	110.43	68.07	96.68	75.11	108.9	111.99	108.14	103.69	136.19	65.72	96.01	107.38	127.0	121.79	158.79	136.19	90.77	40.93	68.55	72.52	77.25	50.98	49.56	57.49	141.02	83.45	70.01	87.03	63.0	60.82	68.07	105.89	72.52	110.43	71.5	248.0	215.77	183.82	366.09	403.5	379.04	346.29	460.44	199.85	231.32	381.68	209.84	165.57	182.55	157.68	253.23	656.11	100.83	143.01	329.84	291.04	423.61	176.29	325.29	112.77	209.84	223.41	186.4	211.31	141.02	165.57	164.42	202.66	536.45	275.28	454.09	224.97	176.29	688.78	221.86
HOOK3	204.07	480.04	251.48	753.83	275.28	674.59	114.36	241.19	82.87	72.01	78.89	41.81	43.63	76.17	11.82	25.17	37.85	31.45	79.45	143.01	66.65	169.07	48.52	27.64	52.45	56.28	77.79	131.51	46.18	98.04	72.01	106.63	60.82	132.44	72.01	60.39	92.7	101.54	65.72	159.9	36.27	138.1	34.51	65.26	63.0	60.82	90.14	113.56	25.54	55.1	75.11	44.57	78.89	99.43	74.58	87.65	11.73	87.65	40.93	70.51	71.0	31.45	36.27	73.03	28.04	37.59	54.33	113.56	132.44	73.54	320.8	29.06	33.54	94.01	1191.69	127.0	189.02	102.25	1359.57	226.54	285.03	102.25	325.29	301.33	158.79	90.14	120.94	162.14	144.01	156.59	366.09	139.07	159.9	172.65	202.66	269.6	197.09	90.14	53.19	182.55	103.69	157.68	312.0	137.14	136.19	117.6	84.63	113.56	126.12	106.63	187.71	314.17	3820.7	406.31
HSPA14	379.04	860.08	571.05	1008.9	454.09	769.69	575.03	624.99	269.6	224.97	251.48	190.34	236.21	258.57	123.5	242.88	186.4	158.79	244.57	248.0	283.05	575.03	256.78	239.52	414.87	287.01	314.17	249.73	194.36	318.57	190.34	305.55	204.07	189.02	624.99	299.25	343.89	309.83	420.68	218.79	209.84	400.71	217.27	269.6	320.8	242.88	412.0	595.34	271.48	277.2	329.84	287.01	348.71	307.69	255.0	246.28	71.0	186.4	182.55	186.4	221.86	205.5	156.59	260.38	178.77	138.1	205.5	158.79	99.43	198.47	156.59	92.7	109.66	157.68	669.92	884.29	318.57	866.07	1175.27	555.41	769.69	536.45	555.41	412.0	1001.93	500.46	473.41	638.15	463.65	327.56	224.97	429.54	361.04	441.64	301.33	529.06	351.14	303.44	182.55	320.8	547.75	318.57	395.18	248.0	426.57	353.59	486.75	591.22	529.06	612.11	444.72	368.65	748.61	836.53
ILF2	4704.07	3982.99	4937.99	4095.0	4152.18	2701.35	4358.66	5219.6	2224.63	2384.37	2287.2	4210.15	2645.74	3349.13	2468.49	2976.74	2400.97	2609.3	3325.99	2075.59	2209.26	2148.82	4450.27	1733.13	4038.61	3639.7	2502.97	2976.74	3280.18	2485.67	2148.82	2485.67	2004.85	2400.97	3168.41	4639.29	2193.99	2645.74	4937.99	2701.35	2004.85	4210.15	2935.74	3235.01	2468.49	2537.92	4607.24	3168.41	3820.7	5479.15	2739.08	2351.53	2645.74	2796.65	2537.92	2032.85	1023.0	1096.5	1199.98	947.83	1378.57	1135.2	830.75	1870.53	902.89	934.76	1832.01	819.3	1175.27	660.68	1477.58	713.11	1143.1	1397.83	6983.79	8191.0	2271.4	5594.3	7433.4	5183.54	5555.65	4704.07	8022.41	5006.93	9344.14	3039.3	2758.13	2796.65	2664.15	3690.52	1487.87	2075.59	1977.24	2367.9	3395.89	3982.99	1674.06	2956.17	3349.13	2835.7	2384.37	2319.15	3018.3	1909.85	1870.53	2224.63	2956.17	8598.28	4239.45	8840.04	3190.46	5112.16	7433.4	10014.87
IQCB1	195.72	379.04	363.56	444.72	327.56	656.11	166.73	389.72	209.84	197.09	170.25	175.07	80.01	140.04	55.1	131.51	164.42	96.01	128.79	149.12	122.64	224.97	159.9	68.55	248.0	140.04	156.59	107.38	141.02	206.94	79.45	323.03	149.12	115.16	224.97	127.0	157.68	111.99	190.34	142.01	81.71	264.03	80.57	127.89	166.73	177.53	255.0	167.9	120.1	153.34	134.3	171.45	166.73	198.47	260.38	118.43	46.5	78.34	84.63	81.71	150.17	71.5	53.19	100.83	33.3	88.88	73.54	52.08	34.26	108.14	113.56	25.91	66.18	61.25	173.85	842.36	279.14	947.83	688.78	395.18	447.82	890.44	559.28	341.51	525.39	208.38	387.02	748.61	193.01	291.04	231.32	808.0	215.77	260.38	161.02	579.04	262.2	204.07	228.13	256.78	264.03	314.17	275.28	353.59	162.14	353.59	251.48	329.84	466.88	1066.48	221.86	327.56	334.46	381.68
IWS1	866.07	860.08	642.59	599.49	633.73	941.27	514.56	866.07	414.87	536.45	447.82	234.57	283.05	363.56	150.17	351.14	309.83	215.77	476.71	521.76	587.13	483.38	525.39	392.44	656.11	473.41	376.41	406.31	567.1	571.05	406.31	511.0	379.04	435.55	669.92	473.41	356.05	318.57	591.22	457.25	379.04	514.56	518.15	532.74	441.64	480.04	497.0	587.13	353.59	543.96	493.56	435.55	571.05	595.34	368.65	493.56	199.85	376.41	318.57	341.51	329.84	447.82	379.04	651.58	295.11	269.6	363.56	220.32	470.14	327.56	420.68	414.87	172.65	366.09	473.41	392.44	529.06	470.14	753.83	769.69	599.49	575.03	733.19	669.92	529.06	366.09	490.14	866.07	607.87	813.63	733.19	854.13	341.51	642.59	728.11	1191.69	620.67	607.87	412.0	511.0	642.59	708.18	450.94	507.46	327.56	521.76	363.56	409.15	698.41	521.76	529.06	718.08	1111.82	764.36
KIN	356.05	656.11	536.45	414.87	339.14	872.1	318.57	395.18	190.34	256.78	237.86	127.89	149.12	220.32	60.39	120.94	165.57	127.89	165.57	221.86	193.01	356.05	206.94	106.63	414.87	209.84	267.73	251.48	158.79	229.72	119.26	194.36	171.45	96.68	397.93	204.07	397.93	197.09	307.69	149.12	182.55	231.32	172.65	201.25	232.94	293.07	334.46	470.14	185.11	248.0	262.2	236.21	262.2	215.77	249.73	223.41	81.14	158.79	121.79	194.36	102.97	113.56	135.24	271.48	128.79	199.85	153.34	129.69	127.0	237.86	115.97	48.52	212.78	92.7	387.02	470.14	267.73	346.29	466.88	358.54	361.04	307.69	318.57	307.69	373.81	260.38	312.0	256.78	392.44	320.8	244.57	339.14	299.25	249.73	363.56	414.87	366.09	267.73	215.77	307.69	373.81	358.54	299.25	343.89	177.53	348.71	264.03	149.12	262.2	212.78	327.56	363.56	358.54	483.38
KMT2E	417.77	848.22	521.76	567.1	507.46	1191.69	2627.46	412.0	293.07	205.5	246.28	79.45	98.04	236.21	45.85	137.14	143.01	121.79	211.31	158.79	152.28	175.07	143.01	133.36	105.15	144.01	199.85	91.41	94.01	164.42	56.28	293.07	113.56	116.78	187.71	169.07	152.28	126.12	161.02	150.17	82.29	271.48	70.51	260.38	260.38	116.78	351.14	236.21	87.03	175.07	173.85	249.73	231.32	159.9	190.34	119.26	46.18	158.79	143.01	232.94	159.9	106.63	133.36	124.37	96.01	89.51	73.03	163.28	130.6	144.01	228.13	44.25	108.9	118.43	312.0	228.13	490.14	320.8	1030.12	638.15	802.41	547.75	595.34	620.67	854.13	329.84	361.04	500.46	473.41	283.05	497.0	384.34	289.02	733.19	384.34	713.11	435.55	511.0	273.37	397.93	480.04	540.19	447.82	397.93	713.11	438.59	713.11	269.6	466.88	587.13	343.89	624.99	1208.34	379.04
KRIT1	420.68	642.59	412.0	854.13	447.82	1073.91	38.12	612.11	387.02	309.83	211.31	105.89	131.51	289.02	47.17	165.57	176.29	71.5	246.28	237.86	229.72	269.6	172.65	191.67	242.88	205.5	229.72	161.02	144.01	273.37	163.28	432.53	264.03	131.51	172.65	175.07	127.0	202.66	249.73	293.07	114.36	289.02	180.02	363.56	329.84	177.53	373.81	361.04	117.6	269.6	214.27	438.59	271.48	255.0	297.17	229.72	57.89	260.38	208.38	140.04	197.09	106.63	143.01	165.57	212.78	105.89	217.27	202.66	191.67	275.28	251.48	78.89	147.06	181.28	277.2	620.67	414.87	356.05	1127.35	638.15	633.73	412.0	633.73	518.15	432.53	273.37	303.44	289.02	547.75	336.79	387.02	435.55	483.38	470.14	387.02	603.67	514.56	323.03	295.11	457.25	500.46	460.44	423.61	571.05	403.5	395.18	656.11	409.15	423.61	688.78	332.14	454.09	612.11	303.44
KRR1	830.75	1127.35	612.11	743.43	684.02	1183.45	183.82	1259.69	412.0	395.18	209.84	147.06	185.11	450.94	33.06	98.04	146.03	100.13	447.82	253.23	327.56	463.65	295.11	327.56	371.22	305.55	285.03	297.17	318.57	392.44	291.04	409.15	277.2	281.09	387.02	325.29	295.11	351.14	466.88	232.94	204.07	463.65	241.19	371.22	423.61	426.57	583.07	656.11	320.8	256.78	339.14	318.57	397.93	536.45	358.54	285.03	82.87	379.04	341.51	297.17	327.56	444.72	283.05	316.37	368.65	279.14	346.29	271.48	392.44	267.73	351.14	226.54	244.57	251.48	921.88	1378.57	368.65	1427.22	1233.75	988.12	954.43	1477.58	842.36	813.63	884.29	532.74	483.38	607.87	642.59	698.41	356.05	470.14	379.04	733.19	511.0	902.89	591.22	583.07	239.52	547.75	497.0	532.74	703.28	497.0	376.41	780.44	981.29	1059.11	954.43	854.13	551.56	660.68	1437.15	1111.82
LRR1	122.64	368.65	224.97	307.69	381.68	224.97	228.13	454.09	98.73	108.14	171.45	93.35	159.9	103.69	108.14	115.97	117.6	82.87	215.77	183.82	120.94	84.63	112.77	156.59	185.11	176.29	102.25	186.4	124.37	334.46	113.56	161.02	136.19	137.14	132.44	180.02	53.57	177.53	297.17	73.03	134.3	153.34	145.02	69.03	281.09	121.79	166.73	176.29	231.32	120.94	139.07	157.68	258.57	120.1	149.12	165.57	79.45	57.89	102.25	132.44	65.26	29.91	100.13	195.72	81.14	108.9	127.0	87.03	85.22	71.5	49.56	50.27	35.25	86.43	314.17	547.75	175.07	555.41	559.28	329.84	255.0	371.22	490.14	307.69	414.87	226.54	195.72	297.17	264.03	323.03	128.79	239.52	199.85	241.19	287.01	251.48	161.02	166.73	199.85	256.78	170.25	148.09	205.5	127.89	145.02	281.09	536.45	688.78	191.67	460.44	297.17	251.48	279.14	260.38
MAP4K5	346.29	693.58	412.0	346.29	460.44	1044.52	336.79	684.02	218.79	165.57	226.54	105.15	100.83	231.32	86.43	119.26	122.64	70.01	171.45	116.78	153.34	100.13	106.63	92.7	119.26	175.07	96.01	98.73	114.36	165.57	85.82	159.9	98.73	95.34	152.28	110.43	78.89	100.13	156.59	108.14	65.72	202.66	63.45	178.77	202.66	119.26	241.19	202.66	71.5	133.36	162.14	125.24	189.02	178.77	162.14	85.22	40.93	152.28	88.88	100.83	125.24	101.54	66.18	171.45	73.54	87.03	102.25	74.06	83.45	59.55	206.94	64.34	77.79	218.79	281.09	269.6	392.44	165.57	693.58	679.29	713.11	392.44	493.56	348.71	454.09	234.57	255.0	438.59	287.01	249.73	497.0	395.18	271.48	444.72	332.14	486.75	463.65	309.83	193.01	295.11	329.84	547.75	351.14	269.6	698.41	397.93	409.15	264.03	447.82	269.6	269.6	480.04	1037.29	785.88
MASTL	140.04	307.69	231.32	197.09	201.25	441.64	141.02	206.94	73.03	60.82	75.11	52.08	17.25	108.9	9.63	26.47	43.94	20.11	50.63	91.41	55.89	161.02	80.57	64.8	98.73	86.43	63.45	43.32	38.4	120.1	27.64	122.64	62.56	59.55	175.07	96.01	119.26	53.57	132.44	48.18	40.07	92.7	46.84	82.87	107.38	70.01	89.51	197.09	43.94	53.95	50.27	78.34	98.04	86.43	116.78	53.19	12.0	42.11	23.42	42.41	55.49	55.1	28.45	105.15	58.3	42.11	37.32	68.07	34.02	79.45	47.84	34.51	77.25	49.21	151.22	202.66	129.69	332.14	299.25	236.21	151.22	155.5	211.31	100.83	483.38	98.73	89.51	137.14	72.01	67.59	94.67	80.01	68.07	186.4	221.86	128.79	43.02	77.79	111.21	175.07	108.14	33.06	138.1	117.6	220.32	241.19	173.85	199.85	169.07	217.27	127.0	87.65	231.32	255.0
MATR3	2520.38	6652.97	4268.94	3564.78	4152.18	10808.41	2485.67	3742.05	2573.36	2935.74	2119.22	1529.73	1572.76	2895.31	389.72	1561.89	1304.15	902.89	1721.16	1709.26	1697.45	1757.34	1662.49	1322.37	1721.16	2287.2	2018.8	1096.5	1378.57	1963.57	1008.9	2739.08	1167.14	1407.55	2609.3	2351.53	2287.2	1594.73	2400.97	1159.07	1151.06	3146.52	1378.57	3847.29	2434.5	1697.45	3018.3	3039.3	1709.26	3060.45	1806.78	2090.03	2224.63	1709.26	1923.14	1437.15	514.56	1378.57	1350.18	1350.18	1498.22	1111.82	1397.83	1662.49	1259.69	1233.75	1313.23	872.1	1870.53	1350.18	2163.77	941.27	1044.52	2032.85	2591.27	3820.7	2664.15	1857.6	4704.07	4181.07	4802.93	3665.02	2417.67	2468.49	4802.93	3081.75	2417.67	3303.0	3540.14	2682.69	3928.15	3515.68	2255.7	3589.58	3443.31	5517.27	3190.46	2720.15	1594.73	3257.52	2935.74	3742.05	3467.27	2520.38	3515.68	3039.3	2895.31	2319.15	5831.91	3168.41	2976.74	4066.71	7081.29	4123.49
METAP2	1233.75	1844.76	1313.23	1225.22	1844.76	3081.75	1104.13	2835.7	764.36	791.35	825.0	563.18	759.08	961.07	346.29	595.34	629.35	563.18	1135.2	848.22	1295.13	1467.37	896.64	1388.16	1127.35	1073.91	954.43	921.88	934.76	1359.57	854.13	1331.57	1037.29	954.43	1963.57	780.44	1340.84	961.07	1183.45	748.61	603.67	1096.5	928.3	1697.45	1225.22	954.43	890.44	1096.5	1378.57	860.08	1037.29	796.86	974.5	708.18	738.29	909.17	563.18	1073.91	981.29	934.76	967.76	947.83	836.53	1051.79	1015.93	890.44	1242.34	660.68	1407.55	848.22	1111.82	890.44	693.58	1242.34	1583.71	1617.0	1250.98	1794.29	1923.14	1870.53	1709.26	1819.35	1467.37	1313.23	1369.04	1540.37	1242.34	1583.71	1806.78	1685.71	1216.75	1331.57	1583.71	1583.71	1806.78	2627.46	1477.58	2032.85	1242.34	1794.29	1437.15	1295.13	1844.76	1127.35	1216.75	1340.84	1745.2	1870.53	1233.75	1540.37	1417.35	1427.22	1685.71	1457.23
MFN1	483.38	842.36	651.58	1159.07	444.72	1088.92	368.65	651.58	325.29	384.34	180.02	215.77	182.55	387.02	62.56	181.28	163.28	85.82	178.77	175.07	162.14	236.21	166.73	139.07	205.5	166.73	223.41	82.29	127.89	262.2	169.07	267.73	190.34	143.01	307.69	170.25	121.79	201.25	195.72	134.3	113.56	309.83	112.77	217.27	234.57	187.71	417.77	669.92	231.32	187.71	181.28	234.57	256.78	269.6	316.37	172.65	81.71	157.68	143.01	125.24	197.09	97.36	141.02	172.65	115.97	86.43	109.66	96.68	113.56	132.44	112.77	51.71	140.04	170.25	441.64	802.41	358.54	669.92	1268.46	878.17	587.13	947.83	753.83	599.49	511.0	309.83	305.55	450.94	303.44	674.59	195.72	567.1	279.14	224.97	447.82	500.46	426.57	376.41	109.66	297.17	334.46	205.5	307.69	373.81	642.59	299.25	490.14	698.41	665.29	848.22	387.02	409.15	1191.69	563.18
MITD1	759.08	759.08	624.99	567.1	688.78	1540.37	406.31	884.29	718.08	981.29	518.15	384.34	283.05	529.06	178.77	251.48	403.5	258.57	466.88	406.31	493.56	830.75	642.59	343.89	902.89	518.15	842.36	503.95	470.14	511.0	277.2	808.0	332.14	325.29	791.35	363.56	753.83	392.44	684.02	400.71	320.8	518.15	395.18	373.81	540.19	470.14	612.11	947.83	420.68	514.56	665.29	642.59	669.92	525.39	450.94	493.56	110.43	242.88	293.07	381.68	371.22	241.19	295.11	536.45	246.28	466.88	381.68	293.07	217.27	460.44	400.71	162.14	291.04	329.84	483.38	1242.34	796.86	1268.46	1225.22	612.11	647.07	830.75	1277.29	703.28	651.58	896.64	511.0	599.49	540.19	665.29	521.76	819.3	769.69	616.37	351.14	723.08	1015.93	435.55	432.53	551.56	947.83	967.76	366.09	500.46	277.2	728.11	1051.79	759.08	480.04	1127.35	813.63	656.11	1015.93	748.61
MNAT1	629.35	860.08	450.94	1001.93	483.38	1508.65	279.14	723.08	348.71	403.5	283.05	371.22	312.0	624.99	126.12	209.84	248.0	182.55	669.92	426.57	358.54	366.09	356.05	334.46	579.04	529.06	532.74	435.55	507.46	387.02	403.5	429.54	353.59	356.05	540.19	273.37	420.68	454.09	497.0	343.89	476.71	591.22	384.34	563.18	373.81	454.09	463.65	981.29	571.05	591.22	480.04	423.61	525.39	486.75	426.57	368.65	172.65	281.09	231.32	387.02	293.07	195.72	275.28	693.58	432.53	258.57	334.46	170.25	476.71	228.13	273.37	381.68	363.56	486.75	802.41	2645.74	384.34	616.37	1081.39	1242.34	723.08	825.0	878.17	713.11	2573.36	503.95	500.46	447.82	497.0	314.17	567.1	444.72	346.29	447.82	647.07	848.22	366.09	403.5	454.09	693.58	392.44	275.28	540.19	454.09	256.78	435.55	915.51	1143.1	878.17	1081.39	521.76	624.99	1628.26	1437.15
MRE11A	212.78	368.65	295.11	473.41	293.07	348.71	65.26	312.0	92.7	62.56	110.43	51.71	60.82	152.28	25.17	82.29	62.56	32.13	86.43	65.72	72.52	139.07	129.69	63.45	80.01	74.58	111.21	59.55	82.29	138.1	40.36	139.07	94.67	63.0	155.5	69.03	139.07	95.34	101.54	65.26	18.43	111.99	49.91	103.69	127.89	62.12	155.5	205.5	65.72	156.59	88.26	72.01	120.94	60.39	115.16	54.33	26.1	46.18	44.89	61.25	73.03	38.67	31.0	120.94	47.17	40.93	75.11	58.71	27.05	41.22	44.89	49.21	40.36	63.0	143.01	251.48	183.82	325.29	381.68	314.17	346.29	327.56	339.14	214.27	463.65	123.5	118.43	101.54	143.01	96.68	133.36	262.2	100.13	275.28	186.4	209.84	187.71	183.82	163.28	152.28	178.77	128.79	260.38	98.73	121.79	223.41	234.57	264.03	228.13	299.25	154.42	130.6	497.0	242.88
MTF2	187.71	444.72	368.65	191.67	323.03	490.14	258.57	214.27	163.28	162.14	120.1	57.49	69.52	162.14	34.26	95.34	99.43	85.22	126.12	74.58	108.14	159.9	96.01	105.89	190.34	100.83	96.01	85.82	70.51	181.28	63.0	229.72	117.6	63.89	239.52	117.6	109.66	95.34	167.9	92.7	63.89	105.15	56.68	136.19	161.02	108.14	273.37	172.65	124.37	66.18	108.14	91.41	124.37	149.12	78.89	93.35	29.7	77.79	91.41	111.99	66.65	106.63	76.17	130.6	107.38	67.59	51.71	118.43	48.52	152.28	38.95	34.02	101.54	50.27	183.82	260.38	285.03	273.37	473.41	384.34	607.87	358.54	733.19	182.55	486.75	172.65	189.02	329.84	148.09	267.73	307.69	246.28	173.85	283.05	171.45	251.48	215.77	165.57	157.68	180.02	194.36	195.72	166.73	154.42	206.94	275.28	262.2	193.01	376.41	264.03	248.0	295.11	995.0	363.56
