	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.AADD.01A.11R.A41C.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.R53T.0326.SM.48FEC	TCGA.55.6972.01A.11R.1949.07	TCGA.44.6147.01A.11R.A278.07	GTEX.12WSE.0826.SM.5S2VL	GTEX.12ZZY.0926.SM.5EQ6I
ZNF418	119.26	119.26	50.63	30.34	5.5	7.51	63.45	127.0	6.78	15.56	18.84	5.19	180.02	39.5	60.82	72.52	40.93	53.95	37.85	45.21	204.07	7.4	128.79	60.39	21.78	24.11	60.82	48.52	48.87	6.21	176.29	31.0	70.51	246.28	57.89	88.26	50.27	19.53	120.94	76.17	140.04	33.54	1.79	150.17	16.15	19.53	9.85	72.52	26.86	12.09	29.48	18.16	15.11	76.71	182.55	470.14	177.53
ZNF419	182.55	182.55	62.12	175.07	9.13	11.38	142.01	127.0	155.5	146.03	9.85	74.06	128.79	88.26	140.04	248.0	43.63	111.21	72.01	94.67	191.67	61.68	124.37	90.77	46.5	62.12	226.54	50.27	137.14	76.17	154.42	117.6	148.09	229.72	128.79	187.71	152.28	76.71	180.02	220.32	555.41	47.84	43.32	138.1	20.56	38.67	97.36	84.63	76.17	49.91	110.43	48.87	63.45	109.66	231.32	209.84	242.88
ZNF432	131.51	131.51	57.49	43.94	12.18	9.2	52.08	85.82	40.36	63.0	15.22	39.22	90.14	62.12	72.01	287.01	27.05	62.12	115.97	43.32	181.28	21.16	165.57	43.63	76.17	16.15	361.04	57.49	59.97	47.5	95.34	55.1	91.41	100.83	106.63	82.87	39.22	43.02	115.97	61.68	236.21	16.15	28.04	146.03	12.27	74.58	45.53	34.26	34.51	34.51	9.63	38.95	23.42	120.1	363.56	237.86	215.77
ZNF440	139.07	139.07	43.02	27.64	21.94	28.45	35.0	65.72	51.71	52.45	21.32	20.71	114.36	59.13	45.53	120.94	34.02	53.57	22.92	37.05	123.5	32.59	100.13	26.67	54.72	16.75	69.52	22.26	55.49	26.1	117.6	45.85	61.68	82.29	42.41	95.34	39.22	29.7	80.01	47.5	70.51	21.16	37.85	127.89	13.03	40.36	21.63	18.29	23.59	29.7	25.72	26.86	27.25	157.68	591.22	223.41	145.02
ZNF45	177.53	177.53	46.5	50.27	29.48	28.45	60.82	120.94	49.56	64.8	11.04	31.22	132.44	102.25	52.45	175.07	21.47	98.73	34.75	37.85	234.57	23.93	185.11	29.48	30.56	21.47	74.58	22.75	58.71	30.12	156.59	70.01	111.99	118.43	44.57	98.04	34.02	34.51	80.57	102.25	312.0	18.97	36.53	173.85	18.84	62.12	88.26	90.14	34.75	93.35	108.14	39.5	66.65	72.52	293.07	133.36	202.66
ZNF461	85.22	85.22	26.67	24.99	35.0	8.0	40.64	73.03	48.87	77.25	6.36	18.43	87.65	63.0	93.35	68.55	26.47	40.07	43.02	30.12	162.14	30.12	131.51	40.64	57.89	11.82	76.71	37.59	58.71	21.63	95.34	37.59	72.01	90.77	48.52	102.25	34.02	25.35	66.18	45.53	214.27	13.93	24.99	107.38	7.46	21.78	26.67	31.9	25.17	16.51	27.84	54.33	18.56	190.34	157.68	129.69	287.01
ZNF468	139.07	139.07	34.75	4.54	14.35	7.34	5.77	169.07	124.37	130.6	3.23	46.5	226.54	23.76	130.6	199.85	73.03	92.7	106.63	52.45	483.38	23.93	356.05	49.56	12.64	19.25	291.04	55.49	70.51	15.22	189.02	86.43	175.07	204.07	339.14	132.44	82.87	2.32	124.37	109.66	423.61	2.73	33.54	277.2	6.67	36.01	27.64	54.72	93.35	1.55	37.59	122.64	73.03	111.99	400.71	152.28	223.41
ZNF470	72.52	72.52	24.28	39.79	6.89	6.94	68.07	60.82	61.25	19.25	11.91	11.21	64.8	51.35	54.33	191.67	23.42	54.33	24.46	46.84	115.97	28.65	83.45	81.14	4.78	29.48	78.34	36.53	48.18	21.32	80.01	33.54	48.52	66.18	47.84	75.64	16.88	18.7	68.07	65.26	83.45	10.55	3.66	131.51	12.83	21.32	55.49	45.85	40.07	26.67	46.18	33.06	53.57	40.36	100.13	120.1	118.43
ZNF471	90.14	90.14	4.82	2.61	2.68	1.71	39.22	33.3	42.11	12.18	0.0	2.05	108.9	22.92	68.55	127.0	13.22	21.47	19.39	26.1	105.15	15.22	94.67	59.55	5.73	8.25	88.26	27.44	45.21	1.1	56.68	25.35	35.0	55.1	49.21	57.49	21.47	1.58	7.28	43.32	173.85	2.66	3.35	119.26	1.91	8.13	3.14	14.14	8.85	9.56	17.51	12.0	30.34	52.45	99.43	224.97	299.25
ZNF506	303.44	303.44	77.25	72.01	15.22	8.25	45.85	199.85	83.45	110.43	85.22	8.19	189.02	92.7	59.13	265.87	89.51	99.43	90.14	44.25	361.04	23.76	189.02	19.53	10.08	6.78	244.57	53.57	90.14	42.41	194.36	37.85	152.28	131.51	45.53	125.24	36.01	3.63	164.42	149.12	186.4	7.11	36.01	236.21	25.35	47.84	22.1	112.77	23.08	11.04	58.71	88.26	15.11	234.57	616.37	435.55	603.67
ZNF525	229.72	229.72	46.18	5.02	14.45	7.06	55.49	89.51	85.82	109.66	3.08	4.9	105.89	35.25	145.02	176.29	62.56	89.51	57.89	66.65	193.01	13.83	164.42	42.71	9.34	15.0	185.11	53.95	48.87	8.32	144.01	63.45	91.41	154.42	143.01	109.66	63.0	5.92	141.02	107.38	264.03	3.06	2.25	167.9	7.0	34.02	25.91	35.5	15.45	1.41	16.51	35.0	15.45	69.52	305.55	157.68	197.09
ZNF527	82.87	82.87	33.06	42.41	26.47	4.31	43.02	66.18	35.5	44.25	8.71	17.0	81.14	64.34	67.12	68.55	27.05	48.18	40.07	29.27	136.19	34.26	121.79	24.28	44.89	26.67	67.59	20.26	38.95	26.47	93.35	29.7	59.13	64.8	35.5	79.45	47.84	25.54	76.17	57.49	98.04	21.01	36.53	112.77	15.34	29.48	54.72	25.72	15.91	13.83	36.53	25.72	17.0	120.1	149.12	125.24	142.01
ZNF528	209.84	209.84	38.67	45.53	9.27	11.38	139.07	255.0	171.45	90.77	14.03	13.62	279.14	44.25	202.66	255.0	26.47	72.01	121.79	11.73	327.56	10.79	242.88	63.0	24.81	26.67	133.36	105.15	97.36	33.3	234.57	77.79	101.54	316.37	127.89	185.11	63.89	4.66	232.94	316.37	551.56	7.57	12.27	395.18	17.0	78.34	31.22	90.77	29.48	20.41	66.18	57.89	24.28	323.03	669.92	1119.56	1001.93
ZNF529	155.5	155.5	81.14	50.63	67.12	23.59	46.5	92.7	64.34	96.68	10.88	54.72	173.85	80.57	117.6	193.01	53.57	72.01	64.34	60.39	223.41	29.27	138.1	44.89	43.63	40.64	137.14	29.91	91.41	33.06	223.41	73.03	92.05	112.77	55.1	111.21	59.13	35.0	214.27	111.99	297.17	43.94	27.84	157.68	25.72	49.56	82.29	49.56	47.84	28.04	29.7	61.68	20.71	178.77	323.03	236.21	194.36
ZNF543	62.12	62.12	18.29	24.63	8.06	11.73	29.06	40.07	24.81	28.65	11.47	5.68	48.87	37.59	37.85	53.95	11.13	24.46	29.91	19.53	97.36	6.36	63.89	11.38	29.7	7.69	30.34	10.55	22.75	16.63	59.97	24.63	33.78	60.39	29.48	37.05	28.86	12.45	33.78	23.76	85.82	14.35	25.35	61.68	5.41	9.27	16.75	14.89	10.0	8.58	22.1	10.63	8.06	24.63	181.28	86.43	94.67
ZNF548	318.57	318.57	119.26	59.97	18.84	31.22	119.26	132.44	118.43	86.43	13.42	35.0	150.17	126.12	137.14	204.07	47.5	108.14	182.55	128.79	271.48	29.91	176.29	60.82	100.83	22.59	144.01	50.63	102.25	59.55	244.57	101.54	94.01	118.43	96.68	127.0	190.34	60.39	115.16	128.79	532.74	32.36	109.66	244.57	53.19	45.53	75.64	75.64	69.52	52.82	57.08	97.36	50.63	175.07	466.88	351.14	381.68
ZNF549	108.14	108.14	15.45	18.29	4.21	3.5	7.17	55.89	21.63	28.24	3.2	5.23	70.51	39.22	52.82	87.65	8.92	36.27	20.71	23.93	139.07	3.47	86.43	13.12	6.06	5.59	52.08	3.41	40.93	1.45	87.03	4.1	32.13	85.22	40.93	45.21	14.45	1.83	53.57	46.18	156.59	2.34	1.46	105.89	4.94	30.12	9.78	18.29	15.91	13.72	23.25	6.89	6.57	40.64	180.02	159.9	277.2
ZNF550	103.69	103.69	49.21	57.49	6.16	7.11	57.89	77.25	55.49	75.11	12.64	27.25	97.36	64.34	111.21	387.02	37.05	70.51	58.71	48.52	229.72	20.11	147.06	54.72	9.7	21.16	131.51	21.47	64.34	31.45	146.03	66.18	66.18	92.7	88.88	72.01	76.17	35.76	118.43	66.65	301.33	5.5	25.91	147.06	10.71	35.5	47.5	34.51	44.89	23.59	36.53	20.71	33.3	76.17	312.0	101.54	130.6
ZNF551	113.56	113.56	21.16	12.74	3.14	7.94	36.27	66.18	34.51	29.91	8.06	41.52	89.51	25.35	33.06	76.17	9.41	34.75	35.76	19.25	90.77	9.2	78.89	11.55	5.82	7.06	37.32	7.06	21.47	14.45	76.71	10.39	32.59	40.93	72.52	27.84	25.54	18.7	68.55	49.21	78.34	6.06	5.15	86.43	12.09	24.46	10.55	9.7	5.5	9.56	12.74	16.03	22.92	52.08	279.14	40.07	64.34
ZNF559	339.14	339.14	84.63	50.98	78.89	90.77	155.5	217.27	226.54	226.54	88.26	44.57	409.15	189.02	214.27	441.64	85.22	197.09	119.26	96.01	532.74	115.16	260.38	175.07	85.22	78.89	198.47	125.24	159.9	53.19	301.33	165.57	256.78	500.46	162.14	320.8	103.69	102.25	215.77	63.89	587.13	39.22	95.34	417.77	75.11	136.19	120.94	172.65	143.01	98.73	115.97	152.28	59.13	201.25	429.54	500.46	775.05
ZNF565	72.01	72.01	48.18	44.57	40.64	25.72	47.84	59.13	43.94	70.51	30.56	37.32	65.26	69.52	66.65	114.36	28.45	50.63	41.81	41.81	131.51	31.9	129.69	31.45	59.97	25.35	76.17	31.9	54.72	36.01	74.06	38.4	35.76	153.34	44.25	79.45	47.17	59.13	71.0	48.18	123.5	52.08	42.41	92.05	25.17	53.95	24.28	44.57	16.27	31.22	34.75	24.46	25.91	100.83	127.89	72.52	120.1
ZNF566	158.79	158.79	106.63	59.55	55.1	41.22	41.52	82.29	92.7	120.94	21.63	32.82	125.24	72.52	91.41	121.79	57.49	105.89	63.0	32.36	162.14	50.98	153.34	55.1	72.01	36.01	187.71	35.76	110.43	80.57	134.3	52.08	79.45	154.42	70.01	122.64	80.01	59.13	101.54	100.83	341.51	38.12	111.21	131.51	15.34	63.0	74.58	70.51	46.84	40.93	38.95	72.01	31.0	189.02	293.07	133.36	181.28
ZNF567	151.22	151.22	37.85	35.0	40.93	16.63	62.12	69.52	66.65	84.04	16.27	38.12	70.51	51.71	71.5	146.03	35.76	57.49	22.43	44.25	150.17	31.45	81.71	27.44	47.17	46.5	76.71	41.52	58.3	42.71	128.79	34.51	57.89	132.44	38.12	71.0	46.5	23.76	70.01	75.64	218.79	21.78	34.51	105.89	55.1	75.11	71.0	73.54	61.68	36.01	52.82	77.79	71.0	115.97	269.6	81.14	139.07
ZNF568	153.34	153.34	68.07	36.53	9.93	3.38	37.85	118.43	152.28	71.5	2.2	19.39	137.14	71.5	154.42	152.28	65.72	71.0	148.09	26.67	212.78	2.86	186.4	65.72	8.19	18.03	105.15	57.49	79.45	47.84	202.66	74.58	95.34	141.02	36.01	143.01	37.59	25.72	146.03	108.14	202.66	9.41	3.32	212.78	10.39	31.0	58.3	127.89	21.78	10.71	114.36	31.67	17.38	121.79	226.54	251.48	563.18
ZNF570	67.59	67.59	28.65	16.63	17.9	3.14	25.72	28.45	34.02	28.45	3.29	6.31	43.32	28.45	55.89	36.79	16.63	30.12	26.1	10.0	69.52	4.03	88.88	16.27	18.43	11.47	44.89	19.82	34.51	25.35	72.52	31.45	37.85	24.11	25.35	37.59	18.16	29.7	37.59	26.67	50.98	12.64	22.92	97.36	4.46	18.84	24.99	26.28	17.9	15.0	29.06	49.56	10.31	63.89	198.47	96.68	112.77
ZNF585B	150.17	150.17	56.28	54.72	43.32	5.32	66.65	99.43	71.0	81.71	9.48	12.18	116.78	78.89	133.36	144.01	84.63	53.57	63.89	28.24	148.09	12.74	165.57	38.12	31.0	27.05	65.72	48.87	82.29	44.89	152.28	66.65	123.5	92.7	31.9	105.15	43.63	42.71	78.89	98.04	293.07	22.92	40.64	145.02	16.63	27.84	32.36	61.68	22.1	25.35	71.0	85.82	18.56	113.56	361.04	332.14	281.09
ZNF586	156.59	156.59	49.21	44.25	8.71	41.22	78.89	93.35	54.72	47.5	34.75	42.41	155.5	72.01	74.58	136.19	34.51	52.82	53.19	43.94	154.42	15.0	128.79	23.93	50.27	33.3	87.65	35.25	50.63	22.43	120.94	47.5	46.84	109.66	94.67	78.34	56.28	44.89	82.87	90.77	65.72	58.3	43.32	112.77	24.46	41.52	42.11	70.01	36.01	37.59	50.63	74.58	37.32	101.54	341.51	201.25	309.83
ZNF587	536.45	536.45	55.89	80.01	25.17	56.28	69.52	152.28	52.45	127.89	54.33	57.89	214.27	139.07	155.5	368.65	46.18	96.68	61.25	80.57	271.48	37.85	180.02	101.54	181.28	36.53	116.78	47.17	114.36	47.5	231.32	68.07	117.6	234.57	158.79	197.09	86.43	76.71	199.85	117.6	392.44	38.95	74.06	170.25	35.25	68.55	32.59	40.93	48.52	23.76	36.79	72.01	48.87	109.66	595.34	97.36	166.73
ZNF600	57.89	57.89	99.43	28.04	27.05	9.7	54.72	146.03	102.97	106.63	12.93	119.26	189.02	85.82	158.79	289.02	90.77	127.0	58.3	53.95	236.21	34.51	215.77	104.42	43.94	37.59	223.41	75.64	56.68	42.71	153.34	119.26	135.24	249.73	141.02	214.27	97.36	1.81	287.01	140.04	633.73	12.09	58.71	150.17	23.25	85.22	76.71	72.52	41.52	32.82	7.28	58.71	18.56	80.01	327.56	234.57	361.04
ZNF606	199.85	199.85	88.26	64.34	19.25	23.76	90.77	159.9	105.89	127.0	17.77	19.97	232.94	80.57	105.89	255.0	77.25	98.73	92.7	55.89	332.14	84.04	128.79	63.45	72.52	23.76	135.24	44.25	108.14	35.0	231.32	69.52	124.37	260.38	121.79	146.03	83.45	59.55	139.07	106.63	327.56	16.03	52.08	224.97	29.27	43.02	57.89	127.89	80.57	26.86	58.3	36.01	28.04	148.09	358.54	82.87	117.6
ZNF607	79.45	79.45	13.93	17.64	5.68	4.58	28.86	67.12	33.54	48.52	21.32	3.2	73.03	19.53	77.79	122.64	24.63	18.84	15.56	19.25	120.94	22.75	72.52	25.72	6.73	5.73	36.79	19.68	35.76	11.82	92.7	13.93	60.82	97.36	15.68	74.58	21.32	2.81	47.84	32.13	143.01	16.75	36.01	85.22	2.03	3.76	19.68	6.26	5.23	4.43	14.67	8.92	7.46	195.72	173.85	110.43	156.59
ZNF610	45.21	45.21	1.57	2.41	2.89	2.25	1.79	108.14	24.11	1.99	2.05	1.25	115.16	3.69	49.91	105.89	4.5	18.7	2.63	1.73	178.77	4.66	133.36	6.01	5.68	3.66	55.1	6.62	18.16	1.36	67.12	3.99	25.35	186.4	7.82	48.18	20.26	0.51	69.03	10.96	117.6	1.39	1.39	148.09	2.92	15.68	7.51	0.53	6.78	2.07	7.06	5.28	4.24	78.34	151.22	215.77	255.0
ZNF611	125.24	125.24	33.3	15.34	6.06	14.35	62.56	65.72	36.79	35.25	4.17	9.85	67.59	30.56	101.54	71.0	36.27	47.5	23.08	20.56	175.07	14.56	99.43	31.0	7.17	22.43	59.97	12.83	35.5	13.42	100.83	39.5	78.89	100.13	111.99	72.52	38.95	0.0	61.25	44.25	191.67	12.18	11.91	112.77	28.45	6.31	16.88	14.14	10.96	5.06	7.88	37.85	19.39	76.17	277.2	177.53	193.01
ZNF613	122.64	122.64	43.02	30.12	12.74	10.31	47.17	83.45	59.13	46.84	24.63	29.7	89.51	39.79	38.4	96.68	22.92	46.84	51.71	40.64	134.3	25.17	103.69	23.76	34.26	22.59	56.68	29.48	44.25	29.7	77.79	48.87	65.72	85.22	69.52	66.65	29.48	29.7	62.12	113.56	142.01	11.04	46.5	107.38	16.51	30.78	57.89	26.1	35.0	15.56	28.86	14.24	44.89	85.82	262.2	107.38	151.22
ZNF614	105.89	105.89	30.56	14.45	6.41	3.96	46.5	66.18	35.25	49.21	12.45	22.43	86.43	28.65	46.5	131.51	6.06	39.79	28.65	25.72	155.5	2.94	81.71	15.34	15.45	15.45	72.52	14.14	35.0	17.51	70.51	23.08	40.36	71.5	88.88	50.63	19.25	11.55	90.77	45.53	107.38	1.95	1.95	106.63	5.96	20.56	37.05	46.18	40.07	7.28	29.06	19.25	24.63	78.34	309.83	130.6	131.51
ZNF615	139.07	139.07	43.32	33.06	8.06	11.04	46.18	65.72	36.79	44.89	19.39	24.28	96.01	48.52	50.27	129.69	12.74	63.45	37.59	23.08	166.73	8.51	220.32	35.0	22.92	22.1	95.34	24.28	45.21	25.72	105.89	60.39	80.01	70.51	101.54	88.88	21.32	41.52	70.51	50.98	107.38	12.64	19.25	133.36	16.15	25.91	29.91	70.01	36.53	28.04	48.52	42.41	64.8	63.0	323.03	193.01	215.77
ZNF616	146.03	146.03	54.33	46.84	27.44	39.22	64.8	69.03	59.97	59.55	34.75	41.22	77.25	77.79	95.34	123.5	38.95	88.26	65.26	40.36	142.01	48.52	163.28	31.45	52.45	22.43	177.53	44.89	70.51	48.87	91.41	94.67	127.0	76.71	94.67	91.41	47.17	64.34	53.19	96.01	141.02	24.46	52.82	176.29	32.36	62.56	27.44	43.32	47.84	30.12	58.3	38.4	67.12	46.5	206.94	121.79	166.73
ZNF621	220.32	220.32	57.49	42.11	31.45	32.13	38.4	80.57	26.67	69.52	26.47	26.67	119.26	94.01	82.87	97.36	52.82	64.34	39.5	34.02	148.09	45.85	60.82	59.55	33.06	14.56	108.14	37.59	55.89	18.03	163.28	61.68	60.82	62.56	61.25	64.34	31.0	32.13	275.28	76.71	120.94	22.43	41.22	136.19	31.22	47.5	35.25	27.25	28.24	23.25	40.36	49.21	38.67	72.52	170.25	241.19	211.31
ZNF665	127.0	127.0	0.96	0.59	0.61	0.65	5.82	34.02	9.2	56.68	0.0	6.78	29.06	1.64	22.75	55.89	8.32	38.67	2.86	5.63	57.08	2.43	15.68	4.7	1.6	0.0	45.85	7.51	5.68	1.95	56.28	1.6	36.53	48.18	25.17	21.78	11.21	2.23	33.54	61.68	130.6	1.2	4.17	59.55	3.2	6.78	6.84	5.32	30.12	0.0	0.31	7.51	12.74	56.68	134.3	77.25	69.52
ZNF667	87.03	87.03	0.73	2.12	2.18	2.32	56.28	27.25	25.54	1.41	1.68	3.76	69.52	7.46	71.5	187.71	2.07	12.83	28.45	11.04	100.83	2.29	52.45	26.28	5.36	4.9	67.12	7.51	3.38	5.5	6.52	20.26	26.47	67.12	26.47	59.97	6.01	1.22	33.3	42.41	172.65	0.68	2.29	82.29	1.46	1.23	12.27	22.43	3.79	6.31	15.8	13.32	3.79	77.79	146.03	83.45	131.51
ZNF677	353.59	353.59	6.84	17.13	13.62	12.55	12.27	205.5	14.56	10.96	7.69	10.0	167.9	39.22	275.28	63.45	9.63	52.82	15.91	24.28	228.13	6.73	320.8	3.23	14.56	11.82	45.53	1.35	18.97	7.34	118.43	12.93	105.15	241.19	27.05	145.02	12.45	4.98	206.94	14.24	327.56	5.45	5.02	161.02	10.0	23.59	18.56	10.0	12.45	7.69	28.24	8.71	24.11	285.03	406.31	1322.37	884.29
ZNF701	79.45	79.45	20.41	11.3	3.35	4.54	12.64	60.39	14.45	6.94	2.81	3.59	58.3	11.21	43.02	64.34	21.47	41.22	14.45	25.35	124.37	8.25	77.25	27.44	2.07	10.88	70.51	14.24	20.86	7.17	63.45	9.56	42.71	88.88	23.59	66.18	42.41	8.0	47.17	50.98	139.07	3.5	1.5	82.87	3.82	3.99	11.38	26.86	0.89	7.17	10.96	28.86	2.14	60.82	208.38	108.9	166.73
ZNF71	92.7	92.7	27.84	30.34	7.75	4.62	47.84	76.17	51.35	18.43	7.11	8.06	82.29	63.45	69.03	115.16	20.41	64.34	19.25	45.21	140.04	21.16	39.5	31.22	16.27	20.41	48.52	29.06	49.91	18.56	130.6	47.17	57.08	143.01	67.59	88.26	43.32	2.05	38.4	55.89	115.16	16.15	2.71	120.94	6.89	10.0	15.22	27.64	4.82	6.89	15.8	14.67	8.71	55.89	132.44	138.1	236.21
ZNF765	151.22	151.22	29.27	33.54	14.56	11.64	44.57	68.55	41.22	55.89	11.04	25.91	97.36	59.97	88.26	120.1	28.45	58.3	24.28	42.41	218.79	38.4	69.52	22.1	24.11	18.56	93.35	24.63	53.95	23.59	90.77	41.22	73.03	74.06	127.0	73.03	43.63	16.51	74.06	44.25	131.51	6.31	27.64	99.43	5.68	33.06	18.97	19.68	23.76	24.11	37.05	30.12	31.45	39.79	253.23	150.17	154.42
ZNF772	126.12	126.12	22.26	16.75	3.35	5.54	27.05	70.51	19.82	39.22	1.38	8.25	79.45	35.25	39.22	90.77	10.39	49.21	37.32	11.55	148.09	4.5	105.89	25.72	13.42	8.85	57.08	12.93	34.75	9.93	99.43	24.46	44.25	48.52	50.98	46.84	31.9	15.91	79.45	57.49	53.95	7.46	7.4	103.69	8.19	60.82	10.55	40.07	19.82	18.7	34.51	10.24	15.11	45.53	285.03	81.14	165.57
ZNF773	172.65	172.65	46.5	54.72	7.17	5.54	72.01	90.77	47.5	85.82	3.59	45.53	112.77	55.1	94.01	139.07	17.0	25.54	36.53	57.49	193.01	12.18	134.3	31.9	14.67	24.46	100.13	35.25	92.7	40.07	150.17	49.56	70.51	128.79	85.82	93.35	105.89	22.1	88.88	82.29	229.72	3.47	10.08	115.16	11.21	19.11	53.57	44.57	59.97	35.0	42.41	34.02	5.11	66.18	242.88	59.13	110.43
ZNF776	228.13	228.13	58.71	52.82	15.34	50.27	81.71	127.0	110.43	98.73	40.36	53.95	177.53	178.77	159.9	457.25	59.13	96.01	81.14	59.55	211.31	37.05	157.68	52.45	66.65	38.67	134.3	43.94	93.35	43.02	251.48	103.69	76.17	123.5	133.36	132.44	92.05	63.45	89.51	77.25	237.86	36.79	94.01	172.65	35.0	85.82	59.97	99.43	80.01	61.68	76.71	63.45	81.14	115.16	307.69	218.79	273.37
ZNF793	89.51	89.51	15.34	3.17	1.85	2.97	14.03	56.68	28.04	28.65	2.71	3.96	56.28	7.75	41.81	159.9	12.36	30.34	10.0	7.88	87.65	5.36	28.86	13.72	3.56	3.29	30.34	18.16	36.01	2.86	100.13	9.06	59.55	47.5	22.92	45.53	8.45	0.85	43.02	29.7	170.25	7.06	4.9	65.26	0.89	3.35	7.88	11.21	1.33	4.39	7.94	12.93	5.15	120.1	166.73	201.25	253.23
ZNF808	102.97	102.97	30.56	38.67	2.48	6.73	22.92	55.89	35.0	49.21	1.95	9.78	66.18	14.14	59.97	76.17	44.25	46.18	45.85	16.63	105.15	20.11	75.11	27.05	6.41	12.64	70.01	41.81	34.26	14.78	74.58	36.01	47.5	67.12	57.89	63.89	41.52	17.51	63.45	40.93	129.69	9.48	2.61	77.79	8.13	19.11	24.99	41.52	29.27	15.11	34.75	61.68	29.27	58.71	387.02	387.02	346.29
ZNF813	71.5	71.5	1.0	1.46	1.5	11.3	25.72	45.53	21.01	26.47	1.06	6.67	63.89	16.51	72.01	56.68	8.51	64.34	28.45	15.11	80.57	1.58	64.34	11.91	1.64	1.93	46.84	6.36	29.27	1.11	62.12	25.17	30.34	42.11	66.18	50.98	18.03	1.04	52.08	29.27	76.71	1.23	1.13	92.05	9.7	22.43	23.08	1.23	3.72	1.2	10.24	5.82	4.78	21.16	86.43	33.78	110.43
ZNF816	154.42	154.42	18.7	5.68	9.63	15.91	22.92	101.54	76.71	70.51	2.68	11.04	83.45	21.63	77.25	152.28	57.89	82.87	33.54	28.86	172.65	14.14	132.44	13.93	12.0	13.03	202.66	34.26	30.34	4.24	105.89	25.35	147.06	96.01	101.54	87.03	57.49	2.23	60.39	81.14	269.6	5.82	22.43	169.07	3.72	17.9	53.19	59.55	19.97	6.16	9.56	26.1	31.9	117.6	450.94	150.17	285.03
ZNF829	52.08	52.08	15.34	11.82	1.53	1.17	15.68	37.85	23.76	24.28	0.67	5.23	49.56	15.8	28.04	32.59	12.93	23.93	22.1	10.47	64.8	1.62	59.13	14.24	2.14	6.31	40.93	13.83	22.59	6.89	34.02	23.76	23.42	39.5	9.27	24.63	11.47	6.06	34.75	31.45	46.84	0.59	0.71	41.22	1.27	7.63	5.5	22.92	9.06	10.71	11.91	3.76	4.17	29.48	71.0	43.02	36.79
ZNF841	126.12	126.12	80.01	46.18	9.41	20.86	78.89	122.64	38.95	63.89	3.59	53.95	129.69	45.53	108.9	332.14	14.78	92.05	113.56	46.84	256.78	24.11	218.79	59.55	74.58	19.53	316.37	56.28	84.04	30.78	99.43	65.26	98.73	114.36	92.7	136.19	52.08	63.45	132.44	109.66	348.71	10.39	27.44	154.42	12.93	51.35	48.18	31.45	43.94	22.43	18.7	34.75	17.25	50.98	414.87	143.01	209.84
