	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.139TS.2226.SM.5J2N1	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.132NY.2026.SM.5L3FM	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.14BMV.1426.SM.5S2WA	GTEX.117YW.2026.SM.5N9BH	GTEX.148VJ.1126.SM.5NQBZ	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EO.A3AV.01A.12R.A19W.07
RALGAPB	202.66	127.0	141.02	343.89	406.31	373.81	195.72	147.06	607.87	540.19	447.82	371.22	435.55	480.04	363.56	450.94	212.78	346.29	356.05	171.45	400.71	525.39	403.5	361.04	497.0	100.13	85.82	74.06	63.45	224.97
RC3H1	53.95	44.89	39.22	109.66	143.01	100.83	91.41	52.08	185.11	166.73	212.78	182.55	206.94	269.6	185.11	316.37	93.35	140.04	202.66	97.36	255.0	376.41	341.51	187.71	438.59	27.44	71.5	71.5	25.91	68.55
RICTOR	70.01	26.67	104.42	177.53	140.04	146.03	110.43	88.26	305.55	195.72	231.32	194.36	231.32	813.63	242.88	389.72	178.77	194.36	221.86	146.03	277.2	536.45	591.22	248.0	438.59	41.81	45.21	35.76	24.11	57.08
RIF1	75.11	69.03	62.12	157.68	151.22	150.17	73.54	51.71	336.79	239.52	181.28	155.5	178.77	256.78	156.59	191.67	124.37	123.5	145.02	77.25	151.22	173.85	154.42	110.43	253.23	39.79	38.95	39.79	14.03	63.0
ROCK1	208.38	73.54	131.51	406.31	466.88	547.75	229.72	320.8	785.88	848.22	1059.11	1519.15	1001.93	743.43	743.43	878.17	376.41	591.22	392.44	341.51	591.22	848.22	921.88	536.45	595.34	75.11	80.57	93.35	31.0	99.43
RPRD1A	457.25	303.44	253.23	688.78	753.83	1001.93	647.07	642.59	669.92	825.0	848.22	1151.06	928.3	1030.12	981.29	1088.92	842.36	928.3	1023.0	878.17	1015.93	1111.82	1313.23	848.22	1044.52	279.14	277.2	305.55	180.02	318.57
RSBN1	73.03	59.55	64.8	140.04	191.67	237.86	130.6	77.25	141.02	163.28	190.34	141.02	186.4	231.32	127.89	165.57	120.94	91.41	122.64	91.41	113.56	226.54	167.9	124.37	204.07	36.27	32.82	55.1	23.59	42.11
RWDD2A	67.59	73.03	55.49	102.25	70.51	108.9	76.17	43.94	55.1	92.7	108.14	58.3	102.97	171.45	96.01	164.42	99.43	94.01	129.69	101.54	114.36	162.14	90.14	99.43	246.28	40.36	43.32	49.21	37.32	48.87
S100PBP	237.86	236.21	204.07	332.14	255.0	339.14	307.69	173.85	607.87	518.15	497.0	285.03	371.22	612.11	555.41	525.39	320.8	444.72	624.99	277.2	698.41	583.07	493.56	406.31	693.58	151.22	114.36	102.97	30.78	182.55
SBF2	206.94	85.82	95.34	325.29	450.94	536.45	305.55	212.78	642.59	536.45	629.35	599.49	603.67	909.17	591.22	743.43	444.72	507.46	595.34	466.88	866.07	693.58	612.11	525.39	1088.92	88.26	151.22	228.13	130.6	162.14
SCAF11	563.18	371.22	616.37	651.58	638.15	540.19	429.54	384.34	1295.13	1023.0	860.08	669.92	780.44	624.99	435.55	693.58	373.81	476.71	460.44	327.56	579.04	796.86	511.0	414.87	633.73	318.57	289.02	403.5	117.6	497.0
SECISBP2L	136.19	60.82	60.82	262.2	381.68	507.46	253.23	177.53	221.86	312.0	480.04	381.68	473.41	563.18	503.95	518.15	320.8	287.01	371.22	202.66	426.57	543.96	511.0	353.59	563.18	119.26	63.0	100.13	69.52	105.15
SENP2	314.17	183.82	251.48	409.15	389.72	536.45	277.2	358.54	543.96	483.38	400.71	447.82	460.44	507.46	334.46	353.59	231.32	265.87	258.57	194.36	295.11	476.71	432.53	228.13	353.59	169.07	115.16	118.43	180.02	159.9
SENP6	638.15	336.79	420.68	842.36	1119.56	1277.29	759.08	713.11	1250.98	1322.37	1447.15	1119.56	1388.16	2555.58	1359.57	1832.01	1073.91	1044.52	1605.83	981.29	1572.76	1909.85	1844.76	1199.98	2287.2	145.02	157.68	186.4	83.45	441.64
SHPRH	19.25	9.56	6.73	71.0	95.34	88.26	44.89	20.71	105.15	110.43	117.6	100.83	127.0	157.68	71.5	142.01	76.17	84.63	87.03	35.25	113.56	139.07	131.51	66.18	115.16	9.7	8.25	5.96	5.23	20.26
SIRT1	162.14	66.65	104.42	253.23	293.07	379.04	264.03	228.13	197.09	289.02	351.14	429.54	381.68	346.29	262.2	299.25	285.03	152.28	228.13	224.97	205.5	336.79	285.03	251.48	305.55	68.55	90.77	141.02	122.64	150.17
SLC11A2	387.02	236.21	265.87	571.05	397.93	412.0	329.84	209.84	629.35	665.29	642.59	457.25	624.99	934.76	420.68	769.69	420.68	483.38	450.94	325.29	497.0	674.59	447.82	450.94	830.75	246.28	438.59	356.05	158.79	392.44
SLC24A5	3.17	0.0	1.99	12.74	19.39	26.1	14.14	7.22	21.78	23.93	104.42	56.28	88.88	100.83	51.71	102.97	17.77	39.79	13.22	17.9	40.07	76.71	115.16	28.86	135.24	0.0	0.0	0.0	0.0	3.99
SLC25A36	256.78	187.71	189.02	532.74	688.78	748.61	312.0	271.48	1508.65	954.43	909.17	595.34	1295.13	2255.7	928.3	1745.2	703.28	733.19	921.88	587.13	1233.75	1896.65	1806.78	819.3	1819.35	11.47	18.03	24.63	8.71	142.01
SMTN	12943.04	2209.26	647.07	75280.1	100023.92	641014.63	22535.88	17437.64	92680.9	318292.9	93325.55	1034138.94	150561.19	31870.96	61571.56	42346.82	31870.96	41475.31	59887.86	61146.25	64632.75	34396.12	65990.84	41475.31	35363.15	291.04	244.57	547.75	348.71	775.05
SOS1	149.12	64.8	127.0	231.32	341.51	376.41	269.6	163.28	629.35	511.0	728.11	373.81	521.76	878.17	334.46	417.77	244.57	395.18	320.8	208.38	423.61	460.44	387.02	343.89	633.73	77.25	65.26	94.01	59.13	111.21
SPAG9	387.02	215.77	237.86	638.15	967.76	819.3	490.14	518.15	1340.84	1369.04	1417.35	1225.22	1225.22	2224.63	743.43	1651.0	723.08	780.44	967.76	656.11	1059.11	1457.23	1551.09	769.69	1331.57	172.65	161.02	147.06	142.01	258.57
SPG20	780.44	183.82	447.82	872.1	1096.5	1662.49	483.38	624.99	620.67	1001.93	1447.15	1529.73	1242.34	1697.45	660.68	1096.5	967.76	825.0	679.29	698.41	708.18	1359.57	1183.45	567.1	878.17	237.86	32.59	56.28	144.01	332.14
SREK1	318.57	281.09	164.42	872.1	836.53	921.88	285.03	309.83	915.51	836.53	1066.48	785.88	1225.22	1242.34	603.67	1369.04	547.75	660.68	769.69	366.09	1008.9	1066.48	995.0	616.37	1313.23	316.37	177.53	291.04	66.65	409.15
SRSF10	775.05	866.07	753.83	1268.46	1477.58	1369.04	1096.5	1322.37	2032.85	1369.04	1407.55	1322.37	1551.09	3325.99	1427.22	2468.49	1037.29	1286.18	1457.23	1051.79	1397.83	2417.67	2367.9	1286.18	2915.45	295.11	723.08	638.15	514.56	1159.07
SSBP3-AS1	6.01	1.75	0.69	11.47	10.08	12.27	18.84	1.64	11.04	13.03	19.11	15.91	29.7	61.68	39.5	58.71	9.93	47.84	42.11	20.71	21.47	36.79	46.18	10.79	47.17	1.66	2.89	2.16	0.0	0.0
STRN3	237.86	115.97	145.02	486.75	450.94	587.13	283.05	507.46	575.03	638.15	599.49	764.36	511.0	860.08	450.94	511.0	327.56	406.31	320.8	295.11	438.59	529.06	620.67	373.81	656.11	139.07	133.36	108.14	111.21	291.04
TAF1	127.89	61.68	130.6	312.0	351.14	358.54	161.02	142.01	470.14	435.55	480.04	395.18	435.55	406.31	221.86	514.56	147.06	258.57	295.11	136.19	291.04	454.09	314.17	173.85	511.0	49.56	48.52	79.45	39.79	98.73
TAOK1	118.43	91.41	98.73	269.6	305.55	348.71	147.06	165.57	423.61	387.02	368.65	339.14	336.79	406.31	253.23	361.04	153.34	262.2	251.48	139.07	275.28	376.41	353.59	220.32	353.59	59.55	64.8	72.52	28.65	107.38
TBC1D15	503.95	264.03	406.31	780.44	503.95	463.65	435.55	339.14	884.29	748.61	802.41	591.22	688.78	1781.89	543.96	921.88	525.39	429.54	583.07	470.14	500.46	934.76	961.07	612.11	1037.29	293.07	353.59	265.87	180.02	258.57
TCTE1	0.36	0.29	1.66	6.67	3.5	7.63	1.79	0.55	3.41	4.78	3.41	3.72	6.52	8.13	2.68	4.58	3.99	2.07	8.78	4.39	3.47	7.22	2.56	5.06	13.72	2.84	0.0	1.43	2.41	0.0
TMX3	256.78	137.14	183.82	403.5	348.71	435.55	167.9	173.85	466.88	403.5	575.03	387.02	417.77	669.92	486.75	616.37	353.59	297.17	406.31	242.88	435.55	607.87	426.57	543.96	616.37	94.67	111.99	131.51	44.25	237.86
TNIK	98.73	9.34	42.41	201.25	248.0	205.5	323.03	63.89	258.57	237.86	237.86	361.04	332.14	320.8	435.55	567.1	162.14	244.57	341.51	303.44	406.31	563.18	728.11	299.25	591.22	4.21	2.92	4.9	30.34	17.0
TNKS	110.43	101.54	50.27	248.0	177.53	206.94	110.43	77.25	223.41	215.77	244.57	191.67	241.19	435.55	173.85	301.33	148.09	143.01	183.82	131.51	197.09	363.56	368.65	154.42	395.18	42.41	54.72	64.8	47.5	85.22
TRAPPC10	191.67	169.07	228.13	281.09	525.39	249.73	275.28	234.57	438.59	305.55	343.89	269.6	514.56	318.57	217.27	336.79	211.31	325.29	237.86	190.34	295.11	301.33	265.87	220.32	384.34	185.11	136.19	150.17	138.1	194.36
TRIM23	73.03	47.17	42.71	138.1	146.03	305.55	98.73	81.71	102.25	148.09	246.28	162.14	185.11	166.73	148.09	149.12	139.07	97.36	106.63	88.88	143.01	170.25	116.78	119.26	175.07	55.89	66.18	52.08	35.76	43.94
TRIM33	143.01	84.63	93.35	242.88	264.03	265.87	110.43	92.05	426.57	379.04	323.03	265.87	341.51	616.37	244.57	559.28	165.57	287.01	218.79	136.19	309.83	563.18	389.72	237.86	638.15	66.65	56.68	84.04	55.49	201.25
TSTD2	63.89	99.43	110.43	231.32	205.5	258.57	162.14	182.55	291.04	307.69	444.72	368.65	423.61	417.77	246.28	353.59	165.57	239.52	291.04	176.29	376.41	325.29	221.86	157.68	444.72	19.25	69.52	61.25	68.07	46.5
TTC17	521.76	329.84	460.44	791.35	878.17	902.89	967.76	483.38	1059.11	713.11	995.0	595.34	1183.45	2367.9	1498.22	2104.58	1183.45	1447.15	1991.0	954.43	2178.83	1844.76	1936.53	1397.83	2537.92	507.46	500.46	559.28	371.22	518.15
TTC21B	69.52	64.34	49.56	107.38	125.24	151.22	106.63	84.04	253.23	169.07	232.94	186.4	205.5	295.11	185.11	293.07	162.14	170.25	178.77	140.04	190.34	312.0	221.86	239.52	318.57	68.55	38.67	35.0	45.53	45.53
TUBE1	194.36	126.12	111.21	273.37	241.19	325.29	307.69	185.11	293.07	231.32	493.56	212.78	651.58	1427.22	497.0	909.17	587.13	620.67	603.67	334.46	669.92	764.36	743.43	529.06	769.69	130.6	120.94	110.43	423.61	148.09
UBR2	145.02	85.22	154.42	265.87	295.11	320.8	221.86	156.59	358.54	301.33	318.57	320.8	309.83	486.75	295.11	403.5	258.57	224.97	291.04	204.07	258.57	423.61	412.0	215.77	500.46	99.43	98.04	201.25	121.79	117.6
UBR3	226.54	96.01	100.13	414.87	444.72	525.39	258.57	305.55	536.45	521.76	507.46	591.22	470.14	921.88	454.09	633.73	373.81	381.68	314.17	346.29	447.82	642.59	738.29	444.72	842.36	189.02	221.86	307.69	175.07	139.07
UHRF2	371.22	497.0	343.89	490.14	507.46	583.07	253.23	149.12	575.03	607.87	684.02	483.38	571.05	684.02	432.53	713.11	438.59	450.94	470.14	287.01	470.14	684.02	466.88	511.0	669.92	81.14	144.01	154.42	82.87	205.5
USP11	1008.9	1369.04	872.1	1277.29	1044.52	1594.73	848.22	825.0	1295.13	1477.58	1733.13	1583.71	1540.37	1870.53	1583.71	1832.01	1519.15	1709.26	1331.57	1427.22	1313.23	1096.5	1159.07	1023.0	1685.71	444.72	255.0	244.57	299.25	679.29
USP48	463.65	432.53	291.04	674.59	607.87	638.15	447.82	271.48	764.36	624.99	638.15	679.29	656.11	981.29	647.07	1008.9	514.56	518.15	728.11	395.18	629.35	813.63	624.99	665.29	860.08	178.77	198.47	224.97	155.5	334.46
VAMP4	199.85	129.69	258.57	260.38	251.48	289.02	218.79	267.73	381.68	525.39	521.76	435.55	363.56	669.92	532.74	629.35	309.83	320.8	397.93	303.44	403.5	713.11	500.46	389.72	728.11	116.78	130.6	187.71	109.66	121.79
WDR26	748.61	403.5	450.94	791.35	860.08	872.1	503.95	688.78	1605.83	1457.23	1225.22	1304.15	1183.45	1304.15	842.36	967.76	607.87	620.67	587.13	571.05	753.83	1001.93	947.83	684.02	1183.45	325.29	417.77	376.41	299.25	463.65
WRN	68.07	51.35	50.63	120.1	102.25	114.36	50.63	74.58	209.84	135.24	167.9	126.12	164.42	242.88	65.72	152.28	52.08	100.83	78.34	62.12	120.94	191.67	141.02	101.54	341.51	25.35	17.25	26.28	21.01	59.97
YTHDC1	651.58	409.15	438.59	967.76	1066.48	1233.75	738.29	567.1	1487.87	1572.76	1199.98	1359.57	1350.18	1583.71	836.53	1397.83	830.75	769.69	928.3	616.37	981.29	1277.29	1216.75	961.07	1151.06	301.33	269.6	406.31	269.6	540.19
YTHDC2	108.9	67.12	65.26	215.77	223.41	189.02	146.03	166.73	353.59	283.05	368.65	231.32	420.68	403.5	279.14	514.56	190.34	244.57	265.87	154.42	356.05	444.72	371.22	195.72	514.56	94.01	105.89	84.63	56.28	80.01
ZCWPW2	19.25	12.83	5.63	30.12	30.12	53.19	23.76	25.35	31.22	29.91	39.79	45.85	52.08	53.95	22.1	53.95	30.56	33.78	24.99	35.5	36.27	50.27	47.84	33.54	36.53	6.01	5.5	12.36	5.77	4.03
ZKSCAN8	80.57	50.98	51.35	249.73	264.03	389.72	117.6	75.11	307.69	295.11	493.56	303.44	384.34	563.18	170.25	563.18	155.5	154.42	275.28	133.36	285.03	536.45	281.09	141.02	872.1	35.0	30.34	77.25	24.63	37.59
ZMYM2	450.94	307.69	334.46	543.96	529.06	518.15	543.96	265.87	780.44	753.83	703.28	503.95	753.83	1417.35	674.59	1088.92	358.54	624.99	753.83	503.95	860.08	1081.39	791.35	629.35	1844.76	91.41	201.25	204.07	98.73	450.94
ZNF10	62.12	38.12	24.11	114.36	136.19	244.57	147.06	95.34	226.54	183.82	343.89	221.86	329.84	703.28	336.79	521.76	348.71	248.0	579.04	323.03	547.75	366.09	301.33	202.66	660.68	50.27	37.85	87.65	16.27	57.49
ZNF333	131.51	92.05	105.15	271.48	293.07	466.88	189.02	111.99	336.79	371.22	532.74	291.04	490.14	490.14	376.41	642.59	291.04	343.89	371.22	241.19	454.09	503.95	435.55	248.0	595.34	42.41	43.94	36.79	36.79	46.5
ZNF354C	20.86	33.78	7.69	40.93	68.07	91.41	40.64	17.25	85.82	53.95	115.16	78.89	73.54	75.11	76.71	108.9	62.12	59.97	80.57	30.56	110.43	104.42	81.14	57.89	120.94	4.06	5.06	3.08	1.64	3.79
ZNF451	182.55	111.21	125.24	260.38	287.01	358.54	205.5	115.97	511.0	379.04	414.87	293.07	397.93	1151.06	376.41	728.11	297.17	392.44	409.15	281.09	511.0	753.83	607.87	351.14	1044.52	120.1	97.36	224.97	60.39	112.77
ZNF609	138.1	108.14	84.04	265.87	293.07	366.09	253.23	165.57	403.5	420.68	371.22	381.68	384.34	447.82	295.11	435.55	228.13	361.04	277.2	223.41	361.04	381.68	376.41	287.01	387.02	59.97	68.07	56.68	75.64	127.0
ZNF615	54.72	18.03	25.72	92.05	134.3	193.01	113.56	55.89	110.43	116.78	209.84	147.06	169.07	198.47	125.24	228.13	96.68	90.14	164.42	115.16	119.26	234.57	112.77	94.67	275.28	19.39	22.1	53.95	16.15	27.25
ZNF699	9.93	4.35	3.38	22.92	28.24	35.5	10.79	9.7	48.87	44.89	54.33	45.21	44.89	15.34	20.41	50.98	19.25	11.04	34.51	23.59	14.89	29.7	18.84	18.56	38.95	4.5	1.83	0.54	1.17	2.92
ZNF728	0.0	0.0	0.0	30.78	22.26	35.5	4.58	4.74	6.78	39.79	76.17	22.1	13.62	29.27	12.27	22.43	7.34	13.42	6.16	3.35	17.77	23.76	20.11	11.55	21.16	0.0	0.0	0.0	0.0	0.0
ZNF740	236.21	241.19	236.21	387.02	376.41	470.14	312.0	99.43	470.14	387.02	624.99	373.81	454.09	297.17	414.87	583.07	258.57	325.29	450.94	258.57	457.25	540.19	368.65	244.57	507.46	157.68	126.12	153.34	75.11	209.84
ZNF791	105.15	70.01	106.63	181.28	159.9	176.29	108.9	99.43	217.27	215.77	265.87	224.97	239.52	420.68	145.02	373.81	139.07	133.36	145.02	76.71	162.14	291.04	204.07	130.6	309.83	64.34	59.97	80.57	28.65	85.22
ZRANB2	591.22	406.31	444.72	947.83	1104.13	1199.98	780.44	591.22	1896.65	1498.22	1757.34	1208.34	1594.73	3325.99	1572.76	3372.43	1427.22	1467.37	1806.78	1088.92	2163.77	3081.75	2502.97	1175.27	3103.19	177.53	356.05	447.82	123.5	500.46
