	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.8469.01A.11R.2403.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5525.01A.01R.1580.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
NAA15	281.09	122.64	194.36	249.73	339.14	181.28	420.68	169.07	389.72	176.29	346.29	167.9	152.28	223.41	373.81	135.24	258.57	156.59	169.07	198.47	141.02	253.23	199.85	169.07	129.69	150.17	172.65	503.95	143.01	183.82	267.73	220.32	173.85	271.48	177.53	414.87	242.88	228.13	169.07	224.97	277.2	258.57	185.11	332.14	131.51	323.03	162.14	100.13	124.37	141.02	239.52	175.07	193.01	101.54	128.79	186.4	232.94	221.86	327.56	246.28	341.51	220.32	152.28	182.55	305.55	514.56	218.79	198.47	159.9	172.65	208.38	285.03	157.68	201.25	148.09	186.4	316.37	178.77	248.0	287.01	111.99	251.48	212.78	165.57	151.22	214.27	277.2	199.85	249.73	191.67	115.97	153.34	146.03	146.03	178.77	141.02	191.67	147.06	209.84	214.27	197.09	157.68	202.66	206.94	156.59
NAA50	1769.57	381.68	1119.56	1286.18	1583.71	796.86	1685.71	775.05	1709.26	830.75	1991.0	1023.0	612.11	941.27	1769.57	318.57	1487.87	620.67	860.08	1037.29	567.1	1605.83	967.76	642.59	525.39	753.83	1037.29	1806.78	366.09	872.1	1037.29	1167.14	890.44	1359.57	656.11	2555.58	866.07	915.51	909.17	961.07	1066.48	878.17	748.61	1883.54	397.93	1857.6	981.29	412.0	521.76	642.59	1378.57	1159.07	947.83	497.0	426.57	808.0	1216.75	1508.65	1088.92	1437.15	1417.35	1015.93	684.02	785.88	1844.76	2119.22	1378.57	1167.14	647.07	665.29	1447.15	1350.18	493.56	884.29	486.75	941.27	1605.83	656.11	1225.22	1909.85	400.71	866.07	1066.48	836.53	703.28	780.44	988.12	813.63	1216.75	928.3	473.41	1001.93	595.34	454.09	532.74	547.75	463.65	559.28	1286.18	1529.73	860.08	656.11	1259.69	813.63	703.28
NBN	688.78	264.03	346.29	444.72	775.05	447.82	775.05	327.56	769.69	420.68	607.87	460.44	318.57	417.77	860.08	147.06	583.07	279.14	358.54	480.04	316.37	981.29	423.61	303.44	211.31	346.29	339.14	1037.29	293.07	368.65	612.11	429.54	450.94	521.76	361.04	1208.34	647.07	457.25	329.84	698.41	620.67	633.73	297.17	1081.39	189.02	723.08	420.68	253.23	320.8	260.38	674.59	457.25	387.02	332.14	246.28	363.56	629.35	603.67	612.11	791.35	1001.93	941.27	269.6	339.14	595.34	1044.52	368.65	769.69	275.28	371.22	660.68	567.1	281.09	426.57	251.48	379.04	620.67	258.57	490.14	738.29	255.0	403.5	540.19	299.25	387.02	551.56	348.71	511.0	559.28	511.0	287.01	454.09	299.25	162.14	318.57	271.48	293.07	260.38	476.71	507.46	361.04	361.04	507.46	406.31	314.17
NCOA2	555.41	133.36	248.0	285.03	540.19	249.73	612.11	191.67	480.04	289.02	575.03	412.0	256.78	275.28	490.14	81.14	368.65	376.41	307.69	376.41	217.27	563.18	368.65	202.66	105.15	251.48	295.11	791.35	231.32	215.77	423.61	346.29	287.01	525.39	204.07	791.35	500.46	384.34	226.54	412.0	414.87	559.28	193.01	669.92	102.25	967.76	325.29	132.44	348.71	176.29	490.14	281.09	301.33	218.79	159.9	229.72	575.03	500.46	432.53	616.37	981.29	642.59	211.31	208.38	769.69	785.88	392.44	583.07	180.02	186.4	466.88	473.41	158.79	351.14	191.67	265.87	457.25	183.82	403.5	785.88	147.06	583.07	529.06	236.21	255.0	518.15	189.02	309.83	395.18	332.14	161.02	279.14	169.07	226.54	217.27	224.97	162.14	159.9	420.68	463.65	299.25	159.9	483.38	305.55	205.5
NUDCD1	208.38	89.51	159.9	162.14	343.89	127.0	332.14	150.17	255.0	186.4	217.27	163.28	128.79	173.85	299.25	122.64	189.02	128.79	145.02	178.77	112.77	305.55	153.34	165.57	104.42	106.63	108.9	409.15	105.89	157.68	255.0	144.01	131.51	255.0	177.53	567.1	297.17	146.03	118.43	258.57	242.88	186.4	124.37	420.68	117.6	258.57	136.19	150.17	175.07	110.43	237.86	194.36	170.25	120.94	137.14	149.12	283.05	183.82	281.09	244.57	426.57	507.46	126.12	144.01	228.13	638.15	172.65	244.57	131.51	132.44	164.42	217.27	162.14	141.02	155.5	150.17	248.0	129.69	221.86	309.83	114.36	178.77	177.53	129.69	120.1	145.02	205.5	204.07	236.21	149.12	115.16	166.73	131.51	112.77	143.01	116.78	147.06	75.64	220.32	199.85	165.57	128.79	187.71	171.45	113.56
NUP153	379.04	112.77	246.28	218.79	476.71	209.84	457.25	198.47	441.64	234.57	409.15	307.69	208.38	248.0	473.41	103.69	265.87	178.77	234.57	246.28	171.45	251.48	285.03	214.27	139.07	253.23	253.23	507.46	165.57	211.31	371.22	293.07	215.77	371.22	195.72	486.75	264.03	299.25	251.48	246.28	329.84	341.51	226.54	325.29	114.36	426.57	241.19	119.26	189.02	178.77	241.19	205.5	239.52	251.48	157.68	226.54	293.07	334.46	283.05	336.79	395.18	239.52	195.72	258.57	473.41	503.95	316.37	262.2	186.4	193.01	253.23	348.71	155.5	185.11	140.04	228.13	381.68	176.29	303.44	525.39	152.28	305.55	281.09	228.13	202.66	273.37	279.14	199.85	334.46	198.47	144.01	241.19	177.53	194.36	177.53	165.57	189.02	193.01	267.73	334.46	269.6	218.79	312.0	237.86	218.79
OSGIN2	237.86	81.14	141.02	164.42	343.89	106.63	366.09	182.55	327.56	146.03	237.86	189.02	136.19	181.28	329.84	79.45	231.32	129.69	137.14	139.07	105.89	297.17	138.1	130.6	108.9	190.34	120.1	368.65	104.42	150.17	206.94	163.28	108.14	231.32	128.79	432.53	309.83	199.85	123.5	224.97	244.57	206.94	120.1	563.18	111.21	253.23	171.45	127.0	153.34	141.02	253.23	204.07	144.01	143.01	120.94	166.73	249.73	201.25	281.09	258.57	500.46	392.44	108.14	131.51	155.5	397.93	161.02	348.71	114.36	113.56	214.27	249.73	104.42	127.0	102.25	140.04	229.72	141.02	297.17	381.68	92.7	121.79	285.03	147.06	101.54	231.32	176.29	138.1	190.34	171.45	134.3	180.02	126.12	72.01	146.03	111.21	121.79	105.89	194.36	175.07	170.25	206.94	195.72	157.68	139.07
OTUD6B	149.12	65.26	74.58	186.4	211.31	130.6	180.02	79.45	180.02	100.83	138.1	105.89	115.97	132.44	373.81	41.81	114.36	129.69	77.25	154.42	102.97	221.86	104.42	114.36	58.71	73.03	75.64	297.17	120.1	85.82	173.85	128.79	81.14	147.06	129.69	518.15	305.55	105.89	88.88	267.73	137.14	158.79	136.19	363.56	77.25	201.25	118.43	80.01	106.63	69.03	220.32	161.02	109.66	110.43	110.43	143.01	165.57	113.56	271.48	285.03	373.81	346.29	73.54	93.35	130.6	368.65	117.6	248.0	92.05	100.83	158.79	185.11	84.63	106.63	78.89	98.04	165.57	56.68	134.3	231.32	72.52	165.57	156.59	107.38	94.01	201.25	112.77	143.01	163.28	94.67	44.57	125.24	106.63	106.63	110.43	108.9	111.21	84.63	131.51	115.16	111.21	90.77	131.51	126.12	89.51
OXR1	490.14	125.24	297.17	183.82	563.18	231.32	525.39	215.77	450.94	281.09	400.71	305.55	226.54	226.54	493.56	70.51	269.6	182.55	223.41	249.73	189.02	316.37	281.09	275.28	153.34	253.23	180.02	497.0	190.34	175.07	420.68	206.94	195.72	466.88	273.37	1096.5	384.34	275.28	173.85	356.05	343.89	346.29	236.21	599.49	127.89	507.46	299.25	211.31	232.94	193.01	397.93	242.88	239.52	208.38	204.07	258.57	368.65	323.03	460.44	460.44	764.36	536.45	212.78	214.27	454.09	802.41	303.44	470.14	211.31	242.88	307.69	395.18	215.77	186.4	209.84	279.14	441.64	201.25	392.44	392.44	141.02	339.14	236.21	267.73	231.32	301.33	178.77	301.33	351.14	234.57	158.79	325.29	217.27	128.79	198.47	154.42	206.94	177.53	486.75	447.82	384.34	255.0	376.41	366.09	275.28
PHF20L1	387.02	137.14	275.28	320.8	633.73	239.52	514.56	194.36	423.61	251.48	406.31	289.02	248.0	295.11	669.92	143.01	271.48	212.78	205.5	379.04	175.07	426.57	249.73	224.97	163.28	189.02	287.01	559.28	209.84	199.85	384.34	297.17	194.36	447.82	242.88	961.07	426.57	237.86	229.72	423.61	318.57	307.69	237.86	563.18	132.44	563.18	301.33	161.02	154.42	171.45	406.31	249.73	161.02	206.94	209.84	289.02	353.59	343.89	432.53	426.57	529.06	518.15	170.25	226.54	356.05	802.41	267.73	403.5	190.34	234.57	242.88	409.15	169.07	253.23	148.09	264.03	379.04	206.94	316.37	503.95	164.42	307.69	348.71	248.0	236.21	287.01	248.0	271.48	343.89	244.57	169.07	258.57	234.57	299.25	201.25	275.28	218.79	236.21	332.14	320.8	265.87	194.36	314.17	287.01	178.77
PHF6	269.6	105.89	138.1	215.77	334.46	157.68	327.56	157.68	318.57	163.28	239.52	217.27	151.22	166.73	346.29	90.77	228.13	148.09	198.47	267.73	110.43	287.01	212.78	159.9	172.65	145.02	146.03	423.61	122.64	165.57	323.03	171.45	166.73	255.0	158.79	441.64	351.14	241.19	134.3	358.54	215.77	256.78	170.25	366.09	92.7	307.69	169.07	132.44	217.27	114.36	242.88	205.5	204.07	139.07	135.24	164.42	301.33	211.31	297.17	239.52	397.93	309.83	143.01	148.09	309.83	400.71	327.56	215.77	145.02	157.68	215.77	273.37	120.1	242.88	169.07	149.12	301.33	187.71	223.41	262.2	153.34	190.34	205.5	154.42	221.86	198.47	157.68	166.73	309.83	176.29	99.43	144.01	146.03	154.42	139.07	131.51	149.12	145.02	186.4	241.19	162.14	162.14	209.84	181.28	157.68
PLEKHF2	173.85	84.04	115.16	136.19	466.88	88.88	366.09	144.01	323.03	122.64	231.32	163.28	131.51	170.25	343.89	88.26	182.55	82.29	81.14	121.79	60.82	293.07	73.03	197.09	94.01	187.71	193.01	612.11	110.43	118.43	242.88	157.68	93.35	146.03	113.56	409.15	316.37	273.37	199.85	307.69	173.85	211.31	98.73	624.99	96.68	253.23	141.02	85.82	220.32	99.43	255.0	108.9	109.66	108.9	144.01	126.12	181.28	159.9	327.56	195.72	318.57	285.03	66.65	149.12	202.66	412.0	182.55	361.04	66.18	155.5	151.22	221.86	152.28	211.31	109.66	128.79	251.48	146.03	152.28	248.0	118.43	176.29	248.0	114.36	144.01	256.78	314.17	131.51	173.85	127.89	75.64	164.42	120.1	121.79	209.84	100.13	143.01	104.42	269.6	215.77	195.72	164.42	211.31	172.65	190.34
PPP2R5E	384.34	115.97	228.13	141.02	414.87	150.17	450.94	182.55	480.04	221.86	361.04	242.88	178.77	215.77	387.02	129.69	279.14	170.25	204.07	212.78	139.07	318.57	232.94	164.42	172.65	190.34	163.28	395.18	120.1	209.84	281.09	234.57	193.01	295.11	150.17	358.54	214.27	287.01	202.66	251.48	316.37	314.17	177.53	295.11	121.79	373.81	182.55	130.6	119.26	163.28	195.72	246.28	197.09	182.55	134.3	165.57	285.03	348.71	239.52	275.28	318.57	246.28	148.09	180.02	379.04	563.18	264.03	218.79	164.42	172.65	214.27	358.54	153.34	173.85	120.94	156.59	392.44	148.09	297.17	293.07	142.01	253.23	246.28	170.25	161.02	237.86	244.57	202.66	293.07	226.54	158.79	232.94	151.22	125.24	165.57	132.44	140.04	150.17	253.23	295.11	208.38	199.85	309.83	185.11	166.73
PTK2	1304.15	708.18	1088.92	1096.5	1709.26	878.17	1819.35	947.83	1594.73	954.43	1304.15	1066.48	791.35	909.17	1757.34	842.36	1225.22	872.1	961.07	1259.69	759.08	2032.85	902.89	1001.93	848.22	902.89	1088.92	1936.53	775.05	785.88	981.29	1088.92	915.51	1104.13	825.0	2976.74	1870.53	1066.48	1104.13	571.05	1104.13	1088.92	825.0	2193.99	603.67	1628.26	1199.98	665.29	848.22	872.1	1167.14	921.88	1259.69	967.76	848.22	884.29	1529.73	1304.15	1697.45	1437.15	1781.89	2061.24	825.0	947.83	1286.18	2701.35	1167.14	1721.16	808.0	884.29	995.0	1331.57	830.75	1066.48	759.08	1030.12	1350.18	842.36	1066.48	1697.45	842.36	1143.1	1417.35	1001.93	872.1	1407.55	981.29	915.51	1059.11	1037.29	753.83	1167.14	819.3	947.83	934.76	1015.93	830.75	915.51	1191.69	1242.34	1183.45	896.64	1135.2	1096.5	954.43
RAD21	1529.73	620.67	1233.75	1295.13	2682.69	753.83	2609.3	1135.2	2047.0	1242.34	1457.23	1286.18	872.1	1066.48	2720.15	775.05	1477.58	743.43	902.89	1427.22	764.36	2520.38	866.07	1008.9	825.0	1183.45	1199.98	2485.67	813.63	967.76	1529.73	928.3	1059.11	1350.18	954.43	3146.52	2133.97	1369.04	988.12	1417.35	1498.22	1350.18	743.43	2627.46	764.36	2133.97	1286.18	808.0	1304.15	961.07	1457.23	1104.13	1159.07	995.0	842.36	1059.11	1806.78	1199.98	2417.67	1870.53	2609.3	2609.3	872.1	947.83	1397.83	4388.98	1477.58	2502.97	693.58	915.51	1467.37	1745.2	961.07	934.76	775.05	866.07	1605.83	995.0	1259.69	2287.2	738.29	1583.71	1844.76	1127.35	981.29	1498.22	1304.15	1119.56	1508.65	1119.56	738.29	1250.98	796.86	660.68	1051.79	1104.13	909.17	921.88	1561.89	1639.59	1216.75	1277.29	1572.76	1216.75	1127.35
RBM27	318.57	100.13	183.82	171.45	334.46	177.53	320.8	153.34	351.14	157.68	307.69	208.38	177.53	158.79	281.09	81.71	220.32	164.42	175.07	242.88	115.97	199.85	177.53	165.57	132.44	159.9	134.3	341.51	127.89	165.57	185.11	208.38	143.01	242.88	141.02	348.71	208.38	224.97	154.42	208.38	295.11	275.28	175.07	221.86	88.88	341.51	158.79	118.43	146.03	143.01	212.78	159.9	171.45	134.3	109.66	183.82	221.86	231.32	193.01	279.14	438.59	195.72	128.79	131.51	389.72	341.51	223.41	151.22	135.24	134.3	295.11	281.09	124.37	226.54	112.77	149.12	297.17	153.34	229.72	279.14	105.15	246.28	212.78	141.02	161.02	212.78	190.34	154.42	258.57	187.71	111.99	176.29	134.3	127.0	151.22	123.5	135.24	135.24	205.5	253.23	177.53	159.9	244.57	149.12	161.02
RRM2B	447.82	170.25	285.03	376.41	638.15	262.2	688.78	241.19	638.15	248.0	403.5	341.51	246.28	303.44	409.15	147.06	341.51	312.0	241.19	497.0	155.5	642.59	223.41	249.73	249.73	251.48	236.21	624.99	169.07	197.09	466.88	429.54	242.88	507.46	244.57	1023.0	414.87	346.29	283.05	497.0	395.18	414.87	242.88	1104.13	149.12	511.0	299.25	178.77	301.33	187.71	438.59	289.02	299.25	363.56	198.47	303.44	521.76	454.09	514.56	713.11	775.05	708.18	197.09	208.38	587.13	607.87	351.14	571.05	191.67	226.54	486.75	463.65	167.9	309.83	211.31	237.86	432.53	208.38	318.57	518.15	194.36	420.68	575.03	281.09	305.55	285.03	271.48	366.09	314.17	343.89	234.57	309.83	224.97	231.32	246.28	248.0	224.97	211.31	371.22	400.71	234.57	251.48	368.65	255.0	273.37
SEC24B	633.73	212.78	371.22	303.44	540.19	279.14	571.05	275.28	607.87	320.8	518.15	412.0	277.2	325.29	403.5	202.66	400.71	253.23	384.34	454.09	224.97	389.72	343.89	297.17	209.84	314.17	305.55	571.05	236.21	248.0	521.76	373.81	309.83	463.65	269.6	518.15	358.54	368.65	323.03	387.02	435.55	473.41	262.2	358.54	186.4	575.03	316.37	244.57	293.07	229.72	339.14	325.29	358.54	295.11	229.72	293.07	483.38	466.88	366.09	555.41	500.46	400.71	279.14	289.02	547.75	571.05	400.71	343.89	237.86	291.04	356.05	470.14	251.48	356.05	217.27	329.84	483.38	237.86	379.04	532.74	199.85	532.74	392.44	287.01	275.28	358.54	332.14	293.07	473.41	332.14	256.78	305.55	242.88	265.87	279.14	241.19	256.78	256.78	423.61	426.57	389.72	297.17	514.56	366.09	253.23
SLC25A32	258.57	159.9	239.52	251.48	307.69	244.57	429.54	242.88	348.71	206.94	264.03	231.32	289.02	237.86	423.61	115.97	249.73	249.73	167.9	318.57	124.37	490.14	194.36	226.54	173.85	185.11	197.09	620.67	189.02	206.94	273.37	329.84	187.71	289.02	186.4	674.59	363.56	239.52	256.78	414.87	316.37	244.57	228.13	507.46	159.9	346.29	204.07	169.07	204.07	197.09	397.93	241.19	209.84	255.0	194.36	312.0	334.46	336.79	423.61	368.65	490.14	368.65	125.24	214.27	299.25	486.75	212.78	351.14	163.28	170.25	265.87	314.17	171.45	186.4	154.42	209.84	332.14	204.07	236.21	351.14	186.4	269.6	312.0	191.67	221.86	255.0	366.09	301.33	231.32	241.19	182.55	358.54	173.85	162.14	253.23	201.25	217.27	180.02	271.48	258.57	171.45	239.52	231.32	202.66	212.78
SNX16	232.94	109.66	164.42	229.72	265.87	211.31	323.03	187.71	221.86	156.59	137.14	182.55	293.07	138.1	656.11	64.34	181.28	150.17	102.97	234.57	123.5	277.2	129.69	197.09	91.41	162.14	166.73	444.72	118.43	197.09	361.04	127.0	107.38	162.14	148.09	356.05	429.54	164.42	165.57	248.0	251.48	214.27	231.32	412.0	102.25	221.86	135.24	170.25	224.97	96.01	262.2	186.4	224.97	165.57	85.82	195.72	332.14	361.04	366.09	253.23	579.04	896.64	152.28	136.19	341.51	334.46	140.04	389.72	113.56	166.73	454.09	234.57	88.88	325.29	113.56	88.26	214.27	122.64	211.31	223.41	102.97	208.38	231.32	149.12	191.67	303.44	140.04	206.94	229.72	195.72	171.45	149.12	176.29	205.5	237.86	136.19	173.85	120.1	167.9	176.29	209.84	142.01	120.94	112.77	140.04
STAG2	967.76	409.15	551.56	878.17	1340.84	454.09	1397.83	540.19	1457.23	490.14	995.0	753.83	476.71	624.99	954.43	265.87	780.44	466.88	525.39	629.35	493.56	555.41	571.05	486.75	460.44	507.46	571.05	1331.57	423.61	525.39	764.36	559.28	571.05	842.36	493.56	1135.2	647.07	1066.48	620.67	599.49	775.05	866.07	503.95	674.59	249.73	1119.56	583.07	368.65	507.46	473.41	723.08	563.18	555.41	497.0	387.02	480.04	624.99	808.0	759.08	733.19	928.3	660.68	420.68	463.65	1081.39	1119.56	890.44	559.28	412.0	429.54	642.59	928.3	409.15	620.67	368.65	571.05	1066.48	532.74	674.59	872.1	412.0	638.15	915.51	483.38	460.44	708.18	525.39	483.38	866.07	587.13	366.09	521.76	457.25	476.71	426.57	447.82	412.0	486.75	764.36	890.44	629.35	511.0	780.44	579.04	525.39
STAU2	713.11	291.04	480.04	420.68	796.86	429.54	819.3	351.14	819.3	470.14	595.34	532.74	363.56	450.94	743.43	232.94	555.41	497.0	457.25	547.75	392.44	1208.34	525.39	381.68	283.05	392.44	361.04	842.36	356.05	406.31	674.59	483.38	412.0	708.18	384.34	2163.77	884.29	518.15	460.44	718.08	591.22	688.78	387.02	1709.26	234.57	836.53	379.04	406.31	521.76	303.44	674.59	660.68	444.72	435.55	323.03	417.77	780.44	665.29	854.13	728.11	1662.49	1331.57	384.34	325.29	480.04	1397.83	532.74	813.63	371.22	414.87	1111.82	567.1	299.25	412.0	358.54	503.95	718.08	435.55	599.49	633.73	334.46	426.57	775.05	373.81	363.56	612.11	454.09	529.06	591.22	497.0	406.31	575.03	387.02	353.59	395.18	363.56	307.69	361.04	620.67	591.22	480.04	358.54	551.56	460.44	392.44
TAF2	320.8	87.03	232.94	256.78	486.75	193.01	432.53	153.34	358.54	212.78	332.14	265.87	137.14	198.47	435.55	112.77	265.87	161.02	167.9	248.0	178.77	470.14	228.13	175.07	115.97	155.5	197.09	624.99	169.07	208.38	303.44	202.66	177.53	358.54	149.12	967.76	417.77	215.77	206.94	258.57	281.09	239.52	165.57	567.1	94.67	346.29	217.27	100.83	157.68	146.03	307.69	204.07	231.32	201.25	131.51	217.27	323.03	269.6	368.65	343.89	543.96	441.64	136.19	157.68	318.57	567.1	329.84	356.05	163.28	172.65	228.13	269.6	101.54	211.31	140.04	209.84	309.83	171.45	220.32	397.93	114.36	265.87	293.07	199.85	173.85	316.37	212.78	231.32	281.09	202.66	145.02	236.21	146.03	136.19	157.68	171.45	173.85	186.4	209.84	239.52	199.85	150.17	209.84	199.85	155.5
TAOK1	353.59	66.18	181.28	212.78	363.56	149.12	547.75	146.03	409.15	149.12	387.02	180.02	137.14	194.36	327.56	84.04	214.27	144.01	163.28	190.34	98.73	218.79	153.34	151.22	119.26	142.01	201.25	358.54	108.9	145.02	258.57	189.02	144.01	285.03	135.24	366.09	181.28	283.05	176.29	199.85	251.48	281.09	149.12	299.25	87.65	336.79	173.85	110.43	108.14	140.04	193.01	169.07	166.73	138.1	109.66	154.42	221.86	269.6	228.13	273.37	312.0	201.25	140.04	124.37	336.79	432.53	258.57	181.28	143.01	126.12	164.42	327.56	98.73	194.36	92.7	161.02	341.51	152.28	255.0	291.04	120.94	299.25	220.32	141.02	135.24	220.32	154.42	147.06	242.88	182.55	128.79	170.25	127.89	147.06	137.14	125.24	111.21	138.1	209.84	236.21	199.85	157.68	246.28	181.28	122.64
TCEA1	1697.45	954.43	1407.55	1359.57	2645.74	1268.46	2224.63	1417.35	2119.22	1467.37	1437.15	1427.22	1313.23	1359.57	2061.24	902.89	1639.59	1457.23	1388.16	2075.59	1044.52	2018.8	1437.15	1437.15	1369.04	1427.22	1183.45	2335.28	2004.85	1498.22	2004.85	1447.15	1437.15	1697.45	1457.23	4419.52	3564.78	1477.58	1096.5	2520.38	2319.15	2119.22	1340.84	2271.4	995.0	1870.53	1340.84	1135.2	1674.06	1159.07	2434.5	1304.15	819.3	1498.22	1191.69	1467.37	1529.73	1313.23	1844.76	2224.63	3190.46	3515.68	1051.79	1066.48	1551.09	3716.2	1662.49	2485.67	1250.98	1331.57	1733.13	2047.0	1233.75	1467.37	1378.57	1242.34	1909.85	1487.87	1685.71	1477.58	1104.13	1519.15	2032.85	1286.18	1407.55	2400.97	1628.26	1397.83	1757.34	1407.55	1313.23	1457.23	1277.29	1242.34	1304.15	1119.56	1143.1	1199.98	1427.22	1806.78	1277.29	1378.57	1561.89	1467.37	1551.09
TERF1	536.45	339.14	500.46	400.71	878.17	406.31	785.88	463.65	791.35	470.14	547.75	473.41	476.71	466.88	713.11	256.78	423.61	397.93	395.18	595.34	249.73	785.88	457.25	417.77	190.34	441.64	412.0	764.36	309.83	351.14	532.74	463.65	305.55	629.35	414.87	1199.98	802.41	414.87	389.72	612.11	620.67	551.56	412.0	1143.1	269.6	587.13	420.68	307.69	490.14	368.65	890.44	463.65	514.56	540.19	307.69	444.72	591.22	575.03	764.36	688.78	947.83	872.1	341.51	343.89	583.07	866.07	376.41	603.67	400.71	376.41	536.45	629.35	389.72	438.59	441.64	429.54	571.05	444.72	493.56	607.87	303.44	450.94	591.22	435.55	371.22	642.59	480.04	612.11	460.44	460.44	329.84	470.14	356.05	267.73	384.34	371.22	395.18	379.04	525.39	559.28	551.56	406.31	514.56	514.56	429.54
