	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CN.5370.01A.01R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.J2.8192.01A.11R.2241.07	TCGA.44.6775.01A.11R.1858.07	TCGA.86.8075.01A.11R.2241.07	TCGA.86.8055.01A.11R.2241.07	TCGA.44.6775.01A.11R.A278.07	TCGA.60.2704.01A.11R.2045.07	TCGA.22.1000.01A.01R.A32Z.07	TCGA.DJ.A2Q9.01A.21R.A18C.07
SWT1	112.77	36.01	36.53	44.25	37.05	46.5	33.78	41.81	34.02	36.53	45.85	31.0	32.59	34.26	42.71	67.12	48.52	19.68	42.41	46.84	31.9	32.13	24.46	38.95	27.44	81.71	67.12	63.45	87.65	100.13	74.58	61.68	56.68
TCTN3	808.0	172.65	361.04	371.22	384.34	679.29	327.56	395.18	208.38	339.14	587.13	379.04	264.03	376.41	490.14	693.58	660.68	473.41	397.93	521.76	507.46	463.65	334.46	414.87	376.41	802.41	723.08	808.0	825.0	603.67	738.29	713.11	909.17
TMEM255A	206.94	24.28	3.59	2.36	16.15	30.34	10.08	28.65	8.78	5.28	74.06	6.94	1.53	12.45	7.06	273.37	19.39	16.75	15.11	74.06	3.17	11.38	2.76	13.22	5.54	37.85	56.28	50.63	41.52	29.91	79.45	66.65	52.45
TNS3	1088.92	52.45	108.14	129.69	170.25	854.13	91.41	236.21	120.94	177.53	406.31	150.17	112.77	127.0	463.65	759.08	579.04	163.28	186.4	830.75	249.73	334.46	183.82	190.34	163.28	1233.75	1191.69	1225.22	1397.83	2133.97	1008.9	1030.12	563.18
TOX	211.31	3.99	11.47	9.06	7.46	110.43	5.15	102.97	12.36	8.58	18.03	10.71	15.22	9.13	23.76	63.45	59.55	10.16	12.83	118.43	32.36	17.38	12.09	30.12	26.47	62.12	118.43	93.35	91.41	76.71	157.68	55.49	89.51
TRABD2A	152.28	12.0	11.82	15.45	22.43	47.17	21.01	26.1	10.79	24.81	38.95	50.98	16.03	11.38	22.26	67.12	55.49	31.45	37.59	52.82	32.59	12.36	19.25	87.03	31.22	116.78	127.89	43.32	147.06	156.59	71.0	81.71	172.65
TRAK2	373.81	69.52	97.36	79.45	91.41	279.14	60.39	129.69	35.5	100.83	193.01	75.11	34.26	70.01	165.57	182.55	255.0	127.0	91.41	193.01	106.63	92.05	65.26	124.37	63.89	351.14	341.51	262.2	414.87	518.15	327.56	281.09	514.56
TRIM32	307.69	115.97	102.97	49.91	166.73	217.27	54.72	226.54	36.79	61.68	143.01	273.37	134.3	159.9	187.71	271.48	202.66	195.72	269.6	237.86	138.1	128.79	51.71	187.71	95.34	172.65	242.88	269.6	193.01	289.02	260.38	246.28	246.28
TSPAN2	159.9	17.9	3.63	18.29	31.9	249.73	12.93	63.45	6.41	16.63	55.89	22.26	20.56	14.45	45.85	103.69	165.57	35.25	8.0	223.41	111.21	32.36	27.25	47.17	18.16	108.9	180.02	202.66	307.69	185.11	171.45	221.86	267.73
UBTD2	493.56	224.97	208.38	171.45	214.27	447.82	180.02	149.12	159.9	267.73	256.78	224.97	201.25	220.32	297.17	387.02	351.14	275.28	332.14	336.79	277.2	356.05	236.21	246.28	144.01	674.59	447.82	616.37	819.3	490.14	409.15	389.72	426.57
UBXN4	2047.0	1191.69	902.89	1081.39	796.86	1242.34	1023.0	1096.5	1208.34	1044.52	825.0	780.44	915.51	947.83	941.27	1268.46	1233.75	947.83	753.83	954.43	967.76	1277.29	866.07	669.92	842.36	2240.11	1617.0	1674.06	1950.0	1617.0	2090.03	1447.15	1457.23
UGGT1	466.88	148.09	339.14	279.14	389.72	457.25	226.54	417.77	191.67	241.19	307.69	264.03	248.0	262.2	457.25	591.22	429.54	454.09	305.55	371.22	329.84	325.29	275.28	327.56	195.72	444.72	603.67	679.29	532.74	941.27	665.29	447.82	511.0
USP33	934.76	511.0	293.07	400.71	303.44	470.14	384.34	486.75	379.04	412.0	341.51	447.82	389.72	366.09	563.18	674.59	447.82	397.93	368.65	463.65	373.81	507.46	325.29	444.72	334.46	808.0	748.61	775.05	743.43	1066.48	733.19	616.37	616.37
ZBTB10	244.57	0.01	5.92	6.21	7.63	80.57	3.82	10.0	3.35	8.85	31.0	15.56	8.25	8.58	55.49	63.89	78.89	7.69	18.16	43.02	18.03	16.39	13.03	10.55	5.06	211.31	126.12	167.9	169.07	267.73	229.72	78.89	143.01
ZBTB41	209.84	33.54	51.35	49.56	33.3	111.21	42.41	53.19	23.25	37.32	59.13	35.25	57.08	42.71	59.97	102.25	71.0	51.35	46.84	73.03	57.49	77.79	38.67	50.27	28.65	208.38	142.01	190.34	236.21	271.48	163.28	85.22	129.69
ZHX2	629.35	38.95	141.02	186.4	82.87	346.29	177.53	231.32	82.87	84.04	241.19	133.36	158.79	152.28	141.02	356.05	341.51	127.89	180.02	307.69	165.57	144.01	108.9	113.56	156.59	277.2	246.28	269.6	281.09	249.73	301.33	307.69	460.44
ZKSCAN8	384.34	28.45	42.11	68.07	46.5	161.02	43.32	46.5	32.36	44.57	78.89	38.95	38.4	59.55	92.7	124.37	126.12	57.49	84.04	106.63	50.98	69.52	40.64	84.63	35.5	234.57	164.42	171.45	224.97	291.04	249.73	146.03	195.72
ZNF22	802.41	117.6	114.36	144.01	264.03	384.34	127.0	143.01	92.05	152.28	133.36	142.01	221.86	155.5	269.6	466.88	256.78	114.36	185.11	312.0	193.01	275.28	148.09	256.78	159.9	381.68	348.71	348.71	423.61	329.84	417.77	339.14	353.59
ZNF385C	54.72	47.84	0.68	1.51	6.11	12.83	2.76	5.32	1.17	7.28	2.18	7.06	7.88	3.99	9.2	23.93	10.31	6.94	10.71	17.38	8.71	4.62	2.29	4.43	7.06	17.77	10.96	51.35	50.98	8.65	17.51	21.78	15.91
ZNF660	43.94	0.0	1.68	4.58	2.58	14.03	1.48	2.18	1.66	0.58	4.66	1.0	1.55	1.46	8.0	5.5	11.73	0.58	1.97	12.0	2.34	3.72	2.27	2.89	1.11	14.78	34.26	26.47	14.03	67.59	33.06	21.47	24.46
