	GTEX.XBEW.1926.SM.4SOJO	GTEX.WYVS.0826.SM.4RTXB	GTEX.117YW.2026.SM.5N9BH	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	GTEX.WHWD.1426.SM.4OORU	GTEX.Y8E4.1526.SM.4WWDI	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZF2S.1426.SM.57WET	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	GTEX.UPK5.2126.SM.4JBJK	GTEX.V1D1.1726.SM.4JBHB	GTEX.Y3I4.1626.SM.4TT7W	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
IQSEC3	20.56	68.55	31.45	2.76	5.36	5.36	4.78	0.43	8.78	1.01	65.26	6.84	11.73	45.85	0.0	2.58	3.96	66.65	55.1	75.64	129.69	158.79	10.39	15.34	50.98	32.82	82.29	361.04	72.01	58.3	6.31	5.06	4.17	301.33	171.45	10.88	16.75	46.5
JAM2	215.77	896.64	2075.59	54.33	57.89	32.13	69.03	25.72	123.5	120.94	28.86	87.65	198.47	486.75	9.85	15.91	77.79	1519.15	1331.57	947.83	1457.23	5872.48	432.53	267.73	642.59	389.72	490.14	3515.68	353.59	796.86	246.28	226.54	141.02	808.0	974.5	144.01	295.11	301.33
JAM3	273.37	1757.34	1378.57	77.25	53.57	92.05	105.15	226.54	616.37	262.2	40.07	44.57	454.09	543.96	39.79	40.93	218.79	2104.58	1950.0	511.0	1030.12	1313.23	199.85	312.0	397.93	384.34	551.56	1457.23	329.84	674.59	336.79	244.57	269.6	318.57	583.07	104.42	336.79	299.25
JPH4	17.38	74.06	63.89	5.32	3.86	2.03	15.34	0.41	7.34	12.0	5.96	8.58	3.29	15.68	0.0	0.78	4.82	40.64	23.25	30.56	70.51	39.22	12.64	14.03	15.34	12.0	12.27	60.39	14.35	29.27	2.84	2.12	2.03	9.56	19.97	4.62	8.78	5.32
KIAA0408	29.91	723.08	242.88	1.41	1.51	1.28	10.08	0.85	0.0	2.03	112.77	332.14	12.64	88.26	1.95	2.29	46.5	587.13	529.06	199.85	384.34	339.14	44.57	48.18	126.12	58.71	106.63	241.19	79.45	105.89	12.18	5.02	4.03	102.25	119.26	17.13	10.63	8.45
KRT24	82.29	18.84	1.11	0.44	0.0	0.0	1.87	0.0	0.0	0.0	0.0	0.0	1.62	78.34	0.0	0.0	2.27	20.71	13.72	84.63	314.17	17.0	8.71	12.36	182.55	12.64	102.97	595.34	100.13	124.37	0.0	0.0	4.54	0.0	0.0	0.78	1.64	0.0
LDB3	99.43	1844.76	995.0	3.66	1.99	0.85	18.97	2.46	2.23	26.86	6.62	2.94	44.89	40.07	5.73	3.76	47.5	1359.57	1340.84	246.28	941.27	379.04	57.89	106.63	170.25	540.19	220.32	1819.35	127.89	836.53	8.99	32.82	12.93	26.67	32.13	8.85	117.6	14.14
LMO2	293.07	312.0	854.13	178.77	285.03	114.36	299.25	93.35	435.55	616.37	575.03	514.56	780.44	414.87	19.82	41.52	114.36	511.0	323.03	507.46	941.27	1051.79	287.01	271.48	500.46	339.14	500.46	1407.55	395.18	902.89	753.83	555.41	454.09	1437.15	854.13	371.22	571.05	679.29
LPAR1	450.94	575.03	954.43	305.55	269.6	73.54	15.11	2.86	2.23	15.11	23.76	68.55	34.26	878.17	13.42	154.42	61.68	842.36	1051.79	753.83	1277.29	5441.3	215.77	275.28	616.37	197.09	599.49	2240.11	229.72	1030.12	24.63	50.27	49.91	70.01	343.89	128.79	137.14	36.01
LRRC4B	29.7	126.12	166.73	15.68	9.2	11.38	20.71	3.66	19.97	53.19	9.06	3.41	170.25	59.97	9.41	7.0	34.02	88.88	60.39	128.79	212.78	279.14	34.02	55.49	97.36	69.03	64.8	872.1	129.69	132.44	81.71	45.53	41.81	98.73	37.05	31.0	85.82	72.01
LRRN4CL	102.25	339.14	624.99	1.83	2.92	7.34	3.35	0.83	0.89	9.27	15.56	2.43	1.75	181.28	4.82	5.82	57.49	432.53	368.65	147.06	514.56	1295.13	45.53	49.21	190.34	62.56	144.01	896.64	121.79	248.0	0.0	0.0	1.85	6.21	84.04	1.79	3.63	2.92
LTBP4	6652.97	6561.36	20030.74	780.44	1066.48	693.58	2609.3	674.59	146.03	796.86	2417.67	343.89	2609.3	10440.2	4152.18	1447.15	1733.13	15824.9	16843.62	7966.99	13399.51	51062.33	3146.52	5366.37	8134.41	6250.56	10659.59	16383.0	5751.61	10883.59	368.65	591.22	185.11	2935.74	2485.67	454.09	728.11	674.59
LTC4S	119.26	190.34	703.28	46.18	80.57	47.17	169.07	29.48	79.45	72.52	180.02	226.54	116.78	191.67	25.35	7.51	55.49	303.44	323.03	244.57	1159.07	1639.59	136.19	244.57	529.06	121.79	457.25	1407.55	540.19	1073.91	108.9	53.19	101.54	197.09	361.04	71.5	149.12	218.79
MAPK10	105.15	301.33	281.09	93.35	1.51	65.72	26.1	35.5	18.43	113.56	124.37	144.01	101.54	231.32	7.57	5.32	74.06	587.13	656.11	336.79	616.37	1208.34	61.68	143.01	281.09	117.6	224.97	941.27	144.01	293.07	466.88	417.77	384.34	392.44	255.0	197.09	387.02	194.36
MARVELD1	698.41	2061.24	2133.97	59.55	37.32	28.86	129.69	37.85	33.78	154.42	88.26	395.18	297.17	775.05	314.17	38.95	297.17	2104.58	1407.55	624.99	1417.35	2018.8	165.57	366.09	571.05	483.38	713.11	1769.57	612.11	1104.13	148.09	201.25	66.18	249.73	1059.11	67.59	198.47	153.34
MEIS1	260.38	1745.2	1745.2	49.56	8.45	87.03	16.39	551.56	24.81	125.24	85.22	52.82	153.34	314.17	11.04	483.38	599.49	2351.53	1896.65	470.14	1417.35	1923.14	175.07	248.0	336.79	264.03	591.22	1963.57	287.01	587.13	31.45	40.36	35.0	38.4	136.19	45.85	53.95	25.54
MEOX2	25.72	205.5	423.61	3.99	4.78	12.74	10.16	1.99	11.55	8.58	1.5	0.96	57.49	361.04	0.33	0.32	13.83	117.6	226.54	106.63	312.0	1322.37	5.63	16.03	94.01	46.18	63.89	629.35	33.78	136.19	58.3	43.63	28.45	85.82	169.07	23.93	84.04	64.34
MFAP5	1605.83	2400.97	4066.71	38.67	25.91	5.28	20.26	0.0	3.92	13.12	59.55	36.53	41.52	3212.66	7.11	7.4	215.77	4450.27	2591.27	406.31	6337.83	11827.67	239.52	1119.56	1870.53	1572.76	3124.78	2915.45	733.19	5872.48	20.41	14.03	0.0	85.82	2351.53	19.97	61.68	12.64
MRGPRF	575.03	3235.01	2895.31	7.69	1.99	1.68	25.54	2.86	5.32	46.84	21.16	3.92	144.01	409.15	10.08	10.96	395.18	5479.15	5366.37	866.07	3716.2	2178.83	122.64	353.59	660.68	320.8	1096.5	3928.15	336.79	1286.18	13.22	9.78	12.83	57.49	149.12	16.27	40.07	29.48
MSRB3	441.64	3564.78	1540.37	52.08	30.56	16.75	60.39	38.12	61.68	214.27	82.29	31.45	303.44	351.14	14.89	19.39	214.27	3847.29	3564.78	769.69	1594.73	1340.84	138.1	334.46	486.75	583.07	1051.79	1498.22	384.34	1127.35	195.72	107.38	81.14	277.2	629.35	71.0	165.57	143.01
MT-CO1	2845004.48	1482909.4	1739208.14	2546350.23	3551506.25	2263304.65	4282434.24	2201414.44	2904784.09	3383299.76	5420519.65	4342214.81	3454390.1	3049200.37	1656835.72	2294899.22	3651352.71	1751305.3	1514068.5	1668359.93	1524599.69	619179.28	3091765.64	2924988.47	2442622.37	3995652.37	2156109.97	585779.24	2805836.45	1691649.38	3832885.91	7202167.89	4885245.74	3676749.88	6956835.58	5308966.95	3676749.88	9307742.35
MUSTN1	693.58	995.0	1111.82	15.56	10.88	33.06	218.79	7.4	0.0	202.66	13.42	0.0	825.0	305.55	14.03	2.58	8.65	1651.0	748.61	1991.0	16157.44	5403.7	127.89	395.18	1594.73	8191.0	1745.2	50709.61	575.03	11664.82	0.0	29.91	14.89	303.44	289.02	0.0	155.5	58.3
NAP1L3	47.17	112.77	52.08	3.53	2.86	5.59	5.59	2.78	3.44	7.17	30.34	18.43	17.38	82.29	2.05	0.72	29.06	134.3	104.42	49.56	117.6	139.07	7.88	15.68	78.89	39.79	76.71	180.02	16.51	132.44	85.82	35.25	35.25	48.18	157.68	8.51	84.04	12.09
NDN	403.5	1233.75	1259.69	32.59	31.22	54.72	49.21	25.54	43.32	78.89	81.14	51.35	195.72	426.57	26.1	18.29	198.47	1540.37	1427.22	679.29	1498.22	3018.3	234.57	368.65	638.15	389.72	642.59	2777.33	490.14	1350.18	121.79	285.03	91.41	358.54	457.25	89.51	152.28	325.29
NFASC	116.78	1561.89	1340.84	34.26	7.46	18.29	50.63	9.48	29.27	94.01	29.27	27.44	265.87	397.93	15.45	10.31	118.43	1304.15	1709.26	303.44	1023.0	2956.17	54.72	190.34	185.11	260.38	366.09	2451.44	253.23	603.67	53.57	185.11	26.67	153.34	72.01	17.0	108.9	54.72
NPR1	348.71	473.41	624.99	82.87	72.01	57.08	208.38	58.71	162.14	199.85	358.54	890.44	406.31	258.57	8.45	8.71	74.06	713.11	656.11	215.77	665.29	432.53	68.07	137.14	127.0	248.0	387.02	860.08	123.5	629.35	327.56	229.72	140.04	143.01	323.03	85.22	409.15	470.14
NPY	43.02	1806.78	63.45	0.0	2.89	0.0	1.89	0.0	0.0	3.89	3.5	0.0	0.0	0.0	0.0	3.32	104.42	353.59	169.07	242.88	1127.35	486.75	30.56	51.35	106.63	48.87	5.15	961.07	15.8	107.38	3.14	0.0	1.51	19.39	2.27	1.45	52.08	26.28
NRIP2	90.77	130.6	87.03	60.39	41.52	71.5	97.36	103.69	100.83	220.32	34.75	35.25	171.45	211.31	15.56	24.46	19.68	211.31	98.04	177.53	384.34	529.06	60.82	48.52	130.6	108.9	88.88	1322.37	94.67	177.53	96.01	106.63	114.36	131.51	115.16	59.97	81.71	78.89
NXPH3	50.98	242.88	223.41	7.17	16.27	8.06	26.1	35.25	27.64	21.63	5.02	8.19	45.21	31.22	57.08	0.48	125.24	409.15	334.46	180.02	429.54	470.14	36.79	43.94	129.69	101.54	182.55	624.99	49.91	246.28	14.89	14.45	12.64	63.45	84.63	1.45	9.56	18.56
NYAP1	12.55	29.91	18.03	26.86	14.89	7.69	15.11	6.01	6.52	5.82	3.53	2.41	2.66	5.73	3.63	2.73	13.32	28.24	20.11	31.67	42.41	32.36	4.24	6.01	11.13	9.13	30.78	100.83	18.43	18.7	1.62	3.2	3.69	5.41	12.74	2.92	5.59	11.64
OGN	209.84	1378.57	2417.67	0.0	0.0	0.0	58.3	0.79	0.0	13.83	17.64	0.96	253.23	3103.19	13.72	2.18	121.79	4038.61	3372.43	733.19	3395.89	45386.27	57.89	185.11	4512.4	1551.09	1295.13	15715.58	769.69	2178.83	1.93	2.18	5.96	36.79	718.08	0.0	27.05	0.0
OLFML1	68.55	271.48	738.29	18.29	10.63	21.01	40.64	19.97	22.1	76.71	84.63	7.22	194.36	500.46	26.1	12.93	45.53	599.49	529.06	253.23	791.35	1769.57	82.87	92.7	547.75	147.06	267.73	1651.0	202.66	412.0	69.03	65.72	31.45	105.89	733.19	16.51	98.04	52.45
OLFML2A	172.65	819.3	796.86	125.24	109.66	120.94	129.69	101.54	283.05	441.64	16.75	21.01	295.11	220.32	33.78	61.68	71.0	579.04	825.0	334.46	738.29	1340.84	116.78	128.79	295.11	204.07	241.19	733.19	182.55	201.25	392.44	414.87	158.79	473.41	1001.93	105.89	323.03	314.17
OMD	65.72	138.1	571.05	0.45	0.0	0.4	18.97	1.19	0.0	3.38	7.94	0.0	9.85	567.1	0.87	0.46	24.63	616.37	387.02	273.37	392.44	1963.57	38.67	42.41	187.71	175.07	684.02	1259.69	59.13	525.39	3.66	3.66	2.94	21.78	679.29	2.32	19.97	2.14
OSR1	209.84	693.58	1286.18	6.84	2.97	5.77	18.16	2.05	1.36	10.88	38.95	46.18	48.87	185.11	4.03	74.58	182.55	173.85	182.55	112.77	540.19	612.11	27.84	62.12	145.02	82.87	144.01	1023.0	105.15	387.02	1.81	2.78	1.89	25.17	98.73	4.06	9.93	3.08
P2RX1	185.11	441.64	253.23	3.66	2.46	0.43	33.3	2.46	14.56	14.24	4.62	16.03	25.91	69.52	10.39	9.27	18.97	61.25	49.56	269.6	753.83	79.45	54.33	74.58	269.6	260.38	248.0	616.37	198.47	642.59	9.56	7.4	3.32	11.38	22.75	3.17	10.0	10.08
P2RX2	37.05	327.56	447.82	0.0	5.02	0.0	90.14	1.23	14.14	1.5	0.52	0.0	5.36	112.77	1.53	0.0	1.79	180.02	123.5	105.15	253.23	173.85	8.85	33.06	92.7	35.25	114.36	595.34	49.21	57.89	0.0	0.0	0.0	0.0	1.46	0.0	0.0	0.69
PALM	279.14	1151.06	2090.03	47.17	941.27	71.0	180.02	100.13	1369.04	525.39	518.15	503.95	299.25	567.1	54.72	13.93	112.77	1051.79	1208.34	642.59	1651.0	4937.99	202.66	242.88	486.75	381.68	708.18	3614.55	591.22	928.3	165.57	85.82	86.43	429.54	1378.57	35.5	123.5	176.29
PALMD	165.57	409.15	1417.35	50.63	71.0	36.01	73.03	42.71	177.53	173.85	66.65	134.3	409.15	348.71	8.65	24.63	67.12	267.73	297.17	285.03	620.67	872.1	152.28	241.19	185.11	299.25	438.59	1081.39	156.59	591.22	583.07	518.15	237.86	412.0	748.61	460.44	211.31	447.82
PBX1	438.59	2061.24	1477.58	275.28	173.85	143.01	80.01	208.38	204.07	199.85	194.36	193.01	339.14	460.44	156.59	215.77	299.25	2148.82	1628.26	1233.75	1844.76	3060.45	403.5	420.68	1044.52	318.57	1167.14	3212.66	660.68	872.1	483.38	400.71	493.56	432.53	679.29	343.89	473.41	108.14
PCDHGA2	9.56	28.24	76.17	3.08	1.43	7.17	6.94	0.39	10.24	2.41	5.92	39.5	14.89	23.59	4.39	7.94	15.22	108.14	85.82	38.67	64.8	183.82	8.58	7.06	18.03	12.83	42.41	191.67	28.45	49.91	110.43	47.5	18.03	64.8	105.89	7.63	136.19	19.25
PCDHGA3	6.26	35.0	57.89	0.92	0.0	2.84	3.79	2.01	18.43	2.92	2.53	5.28	8.85	8.78	4.46	2.23	8.0	31.67	29.91	8.92	36.79	106.63	3.14	11.3	17.64	3.53	15.0	93.35	3.92	27.64	59.97	8.51	27.44	9.7	21.01	1.36	32.59	8.65
PCOLCE2	275.28	1304.15	2777.33	122.64	351.14	108.14	9.06	12.55	154.42	162.14	11.73	108.9	35.0	159.9	0.0	5.73	67.59	738.29	728.11	92.7	733.19	3103.19	44.25	53.57	159.9	165.57	316.37	1594.73	63.45	198.47	22.92	22.43	16.63	19.25	567.1	12.83	106.63	20.41
PDLIM2	698.41	1151.06	1721.16	80.57	104.42	141.02	256.78	146.03	151.22	215.77	555.41	208.38	738.29	525.39	180.02	728.11	260.38	902.89	941.27	1037.29	2591.27	3212.66	547.75	775.05	1208.34	909.17	921.88	3742.05	1104.13	2104.58	316.37	1250.98	223.41	612.11	954.43	119.26	381.68	503.95
PDZD4	117.6	738.29	454.09	5.06	9.41	23.08	22.59	11.47	6.73	15.34	9.78	17.64	69.03	81.71	1.87	3.2	67.12	718.08	591.22	234.57	555.41	476.71	31.9	70.51	82.29	115.97	148.09	860.08	113.56	239.52	47.84	25.72	27.84	79.45	50.63	17.51	53.19	47.5
PLN	679.29	3124.78	1508.65	23.76	12.09	13.42	89.51	27.25	55.89	169.07	32.13	11.64	211.31	269.6	4.39	6.57	599.49	6337.83	8134.41	1685.71	6037.61	1977.24	129.69	438.59	642.59	3928.15	2319.15	9876.98	381.68	4607.24	36.53	57.89	48.52	123.5	316.37	29.48	211.31	54.72
PMP22	1757.34	3280.18	6250.56	142.01	62.56	55.1	309.83	71.5	117.6	348.71	277.2	708.18	1104.13	2287.2	126.12	89.51	909.17	5479.15	4704.07	2148.82	4836.35	17681.08	915.51	1216.75	2018.8	1709.26	3235.01	7485.11	1605.83	4123.49	928.3	703.28	693.58	743.43	2956.17	571.05	543.96	647.07
PNMAL2	14.78	32.82	62.12	4.46	3.86	1.22	12.18	2.01	6.52	3.89	1.51	2.89	11.38	43.63	6.11	0.71	12.27	50.63	29.48	40.07	76.71	147.06	12.0	16.88	37.05	11.3	17.0	135.24	20.71	62.12	17.13	5.54	9.34	51.71	30.34	10.96	8.45	23.93
PPAPDC3	47.17	215.77	208.38	7.28	7.34	13.93	84.63	303.44	102.97	109.66	3.11	63.89	18.16	52.08	1.95	1.14	35.76	246.28	323.03	84.63	220.32	234.57	17.51	49.21	66.65	60.82	67.59	237.86	43.02	102.25	19.68	18.16	6.41	26.67	78.89	7.51	24.99	17.9
PPP1R14A	1561.89	8778.97	10014.87	162.14	70.51	97.36	327.56	137.14	101.54	423.61	198.47	89.51	1745.2	423.61	81.14	29.7	878.17	6207.38	7749.1	1508.65	7230.1	3847.29	454.09	1008.9	708.18	2537.92	3060.45	7695.57	651.58	4704.07	285.03	189.02	62.56	417.77	409.15	115.97	376.41	379.04
PPP1R3G	26.47	141.02	212.78	37.59	2.94	8.19	7.11	5.28	7.46	3.47	14.14	55.49	336.79	14.14	0.85	2.16	37.05	59.55	67.12	76.71	147.06	312.0	11.04	23.08	80.57	53.57	43.32	186.4	39.22	58.71	6.31	8.38	2.1	21.32	22.59	3.32	6.16	11.47
PPP2R2B	34.02	141.02	16.39	0.91	2.89	0.41	1.89	0.4	5.19	6.26	7.94	5.23	17.51	22.1	2.34	0.16	13.52	116.78	71.0	100.83	180.02	693.58	10.0	29.27	72.01	41.52	52.45	389.72	57.49	91.41	341.51	132.44	395.18	14.67	26.47	312.0	183.82	343.89
PRELP	679.29	3614.55	1709.26	62.12	5.36	9.78	105.15	5.63	8.32	130.6	58.71	12.55	441.64	400.71	2.81	0.87	204.07	2915.45	2018.8	2417.67	4152.18	3847.29	183.82	684.02	708.18	1674.06	2682.69	6121.9	285.03	2468.49	73.03	44.57	14.56	351.14	718.08	19.82	208.38	32.36
PRICKLE1	24.81	175.07	218.79	14.78	20.26	29.48	23.93	16.03	16.15	20.86	31.0	224.97	27.64	175.07	7.34	7.51	47.17	173.85	154.42	108.14	255.0	825.0	26.28	34.26	127.89	48.18	81.14	348.71	92.7	108.9	99.43	66.18	54.33	166.73	713.11	112.77	158.79	42.71
PRRT4	14.24	11.47	10.55	0.0	0.48	1.22	1.43	0.4	0.0	1.97	0.0	0.0	3.11	5.73	3.53	1.07	4.1	59.13	49.91	67.12	114.36	42.41	11.47	10.39	11.55	8.45	9.48	191.67	19.39	28.86	3.5	1.16	1.69	61.68	4.5	1.1	6.31	3.99
PTGIS	120.1	1551.09	679.29	12.93	0.0	2.43	29.7	0.41	1.31	35.5	14.89	6.26	90.14	1551.09	1.66	6.94	363.56	2193.99	1208.34	470.14	2682.69	2502.97	96.01	144.01	329.84	258.57	1037.29	3325.99	220.32	2075.59	18.43	11.64	6.62	33.54	595.34	4.9	38.12	8.92
PTPLAD2	82.87	329.84	275.28	77.25	42.71	84.04	66.18	43.32	37.85	262.2	100.13	128.79	75.11	260.38	24.99	21.01	55.49	381.68	368.65	183.82	441.64	748.61	75.11	124.37	281.09	94.01	145.02	426.57	156.59	291.04	55.49	80.01	65.72	102.25	197.09	100.83	63.45	103.69
PTRF	1769.57	12244.81	13776.25	432.53	651.58	759.08	1304.15	476.71	1233.75	1745.2	1073.91	1467.37	2855.44	2956.17	202.66	125.24	1151.06	10154.69	7749.1	2537.92	7911.95	8022.41	1030.12	1844.76	2434.5	2319.15	3124.78	9215.48	1936.53	4639.29	1617.0	1561.89	854.13	2004.85	4607.24	928.3	1685.71	1508.65
RAB9B	26.47	518.15	107.38	1.79	2.89	4.43	0.47	2.01	1.75	4.35	5.5	21.01	10.08	23.59	0.0	2.73	18.7	117.6	173.85	56.68	190.34	100.13	14.78	31.9	89.51	40.07	44.25	159.9	65.72	96.68	29.48	5.45	31.0	55.1	20.71	43.32	49.91	42.71
RASGRP2	346.29	1832.01	1199.98	43.32	15.0	24.63	52.82	19.39	37.59	81.71	40.36	79.45	381.68	1583.71	44.25	13.12	145.02	1340.84	1259.69	708.18	785.88	470.14	113.56	205.5	503.95	423.61	723.08	1583.71	208.38	1519.15	102.25	85.82	66.18	185.11	201.25	78.89	191.67	144.01
REEP2	89.51	896.64	738.29	1.85	13.12	108.14	7.17	49.56	808.0	36.01	4.1	19.39	26.67	33.78	10.08	3.63	103.69	1135.2	1135.2	163.28	511.0	460.44	28.24	47.17	107.38	62.12	105.15	587.13	109.66	91.41	16.63	24.99	34.75	33.78	111.21	5.77	18.97	17.25
RERGL	334.46	265.87	106.63	15.56	4.82	6.84	62.12	0.0	5.63	74.58	13.93	16.27	54.72	201.25	0.0	11.04	11.91	514.56	283.05	1225.22	4010.71	507.46	167.9	182.55	525.39	967.76	688.78	11909.94	163.28	3168.41	5.63	13.32	14.35	181.28	57.08	15.34	143.01	53.57
RGS9	45.53	244.57	273.37	2.29	15.0	4.54	4.31	2.46	9.27	7.4	41.52	21.78	69.03	53.57	3.44	0.75	61.68	185.11	126.12	121.79	251.48	277.2	22.92	56.28	68.07	41.52	61.68	208.38	64.34	57.49	25.72	15.45	3.99	14.56	16.27	5.36	12.45	7.94
RRAS	2303.12	6607.01	7331.05	1151.06	1870.53	397.93	1806.78	1242.34	1857.6	1111.82	5006.93	1447.15	1551.09	1896.65	674.59	579.04	1733.13	7485.11	7695.57	3212.66	6745.86	8421.31	1844.76	2609.3	2591.27	3081.75	3443.31	9606.86	2400.97	5441.3	638.15	878.17	521.76	2997.45	3847.29	1135.2	1044.52	1059.11
RSPO2	44.57	62.12	15.91	0.0	0.0	1.99	0.0	0.0	0.0	0.48	1.5	0.0	1.08	20.86	1.28	0.0	119.26	182.55	265.87	197.09	647.07	108.14	27.64	70.01	343.89	65.72	249.73	368.65	127.89	59.97	0.0	0.0	0.0	2.89	7.69	0.0	0.58	0.71
SALL2	68.55	265.87	228.13	5.41	1.97	14.56	4.74	4.43	4.39	20.26	65.26	33.3	22.92	67.12	1.64	1.19	64.8	567.1	555.41	293.07	633.73	518.15	41.52	59.13	170.25	117.6	108.9	463.65	142.01	158.79	126.12	73.54	249.73	264.03	140.04	31.22	256.78	35.5
SAMD11	96.68	88.88	334.46	22.75	17.25	7.51	29.7	0.88	11.13	7.0	10.31	13.83	273.37	351.14	17.64	20.56	182.55	201.25	131.51	193.01	638.15	1498.22	42.41	134.3	242.88	204.07	102.97	1369.04	381.68	348.71	13.22	17.77	25.35	59.97	316.37	8.45	23.93	12.64
SCARA3	198.47	1685.71	1044.52	22.1	4.31	20.11	36.79	93.35	21.47	26.86	157.68	327.56	40.64	785.88	9.7	27.84	131.51	1096.5	723.08	529.06	2573.36	3589.58	98.73	183.82	555.41	204.07	547.75	2075.59	363.56	1081.39	42.11	289.02	26.67	149.12	1340.84	109.66	48.52	65.26
SCARA5	2104.58	1242.34	1617.0	0.0	0.0	1.22	6.57	4.78	0.43	0.97	3.5	0.0	242.88	599.49	3.29	11.73	16.51	1733.13	878.17	1407.55	7230.1	1259.69	163.28	185.11	1340.84	144.01	3018.3	14163.58	518.15	5041.77	0.0	1.41	1.36	26.86	241.19	1.33	23.76	0.0
SCG2	95.34	162.14	6.73	4.1	1.5	5.77	7.63	5.28	0.92	9.85	14.14	9.7	14.89	32.59	1.08	3.79	32.13	248.0	194.36	343.89	660.68	208.38	16.75	60.82	31.45	17.25	23.25	228.13	161.02	43.32	3.99	7.63	1.22	10.71	93.35	3.72	4.46	3.53
SFRP2	412.0	4512.4	8840.04	121.79	249.73	82.29	89.51	57.49	44.89	92.7	34.26	9.06	5.82	4328.55	3.92	1.93	733.19	3742.05	3168.41	2609.3	14065.74	25179.16	66.18	303.44	16960.78	2075.59	2224.63	46019.85	1923.14	10225.32	0.0	15.34	2.58	108.14	22072.07	9.7	201.25	6.16
SGCG	20.56	67.12	152.28	0.43	1.41	0.0	1.38	0.0	0.85	0.0	1.97	0.0	1.08	21.47	0.0	0.0	0.0	50.63	34.75	7.11	56.68	514.56	2.86	5.73	21.94	5.02	13.62	157.68	9.85	9.48	0.46	2.16	0.0	0.99	14.35	0.0	1.01	3.23
SHF	69.52	229.72	161.02	41.22	124.37	123.5	87.03	177.53	221.86	100.83	38.12	55.1	83.45	84.63	37.59	13.12	126.12	209.84	224.97	514.56	403.5	612.11	73.54	82.29	159.9	182.55	171.45	660.68	239.52	638.15	80.57	85.22	80.57	212.78	371.22	43.32	151.22	71.0
SHISA3	39.5	157.68	1081.39	13.83	24.81	38.95	234.57	2.84	18.97	31.67	42.11	25.72	61.25	579.04	0.0	39.79	2.92	595.34	529.06	239.52	802.41	1540.37	32.36	44.25	297.17	183.82	237.86	1832.01	197.09	429.54	7.69	16.03	7.22	7.63	15.22	63.89	59.97	17.9
SLC17A7	39.22	75.11	155.5	1.81	3.89	1.64	6.62	0.82	7.46	4.9	1.51	0.97	3.38	61.25	2.18	1.43	2.89	112.77	78.34	72.01	180.02	204.07	17.9	18.03	23.25	28.24	60.39	232.94	22.43	65.26	2.89	2.01	3.17	21.78	23.76	4.74	10.55	9.48
SLC18A3	1.79	20.86	1.48	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.96	0.0	2.39	0.0	0.0	10.55	115.97	130.6	26.47	56.68	60.39	0.0	2.23	2.32	0.0	2.23	56.28	5.59	0.0	0.0	0.0	0.0	0.0	39.79	0.74	0.0	0.0
SLC9A9	116.78	303.44	175.07	15.34	10.24	11.04	31.67	10.47	21.47	28.24	69.03	108.14	82.87	277.2	7.4	8.65	36.79	187.71	161.02	269.6	607.87	688.78	64.34	149.12	363.56	166.73	334.46	884.29	161.02	624.99	55.1	31.67	17.13	40.93	109.66	42.11	44.25	57.49
SLIT3	127.0	1023.0	954.43	102.25	25.72	61.25	124.37	56.28	72.52	373.81	74.06	43.32	265.87	1397.83	6.62	9.93	79.45	1331.57	954.43	480.04	1697.45	1936.53	84.04	119.26	934.76	454.09	718.08	4450.27	381.68	1540.37	507.46	441.64	713.11	417.77	397.93	295.11	629.35	320.8
SLITRK2	10.16	17.9	22.75	0.48	0.52	0.0	0.0	0.43	0.0	1.01	1.04	0.52	0.0	7.94	0.72	0.0	7.69	44.57	30.56	7.88	30.56	103.69	1.28	2.48	4.46	6.21	10.55	40.36	4.31	22.92	0.0	0.0	1.36	0.0	4.9	0.0	3.47	2.43
SLITRK5	3.06	18.7	25.91	0.0	0.0	0.0	0.0	0.4	0.0	0.0	1.01	5.23	0.51	11.82	0.0	0.0	1.6	105.89	124.37	40.36	63.0	490.14	10.24	6.84	52.82	23.93	24.11	102.97	17.77	70.51	1.87	1.5	0.69	1.03	1.71	1.35	12.27	1.33
