	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.E5.A2PC.01A.11R.A206.07	TCGA.AR.A0TW.01A.11R.A084.07	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W6.AA0S.01A.11R.A41I.07	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CN.4730.01A.01R.1436.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.KL.8339.01A.11R.2315.07	TCGA.KL.8323.01A.21R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KO.8406.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AA3A.01A.11R.A37K.07	TCGA.ED.A82E.01A.11R.A352.07	TCGA.RC.A6M5.01A.11R.A32O.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.2Y.A9H2.01A.12R.A38B.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A4NA.01A.11R.A266.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.ED.A7PX.01A.51R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.S32W.1926.SM.4AD63	GTEX.YFC4.1526.SM.5IFJS	GTEX.QDVN.0826.SM.48TZ2	GTEX.X4XY.1626.SM.46MVN	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZTPG.1426.SM.51MT3	GTEX.X261.1726.SM.4PQYT	GTEX.Q2AG.1126.SM.48U1P	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.XBEC.1526.SM.4AT68	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.139TU.0826.SM.5IJFG	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.132NY.0926.SM.5P9G3	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.37.4135.01A.01R.1100.07	TCGA.66.2778.01A.02R.0851.07	TCGA.BK.A139.01A.11R.A277.07
NSUN6	65.26	113.56	104.42	138.1	151.22	151.22	70.01	114.36	117.6	75.64	100.83	85.82	94.67	78.89	84.63	43.63	358.54	248.0	334.46	199.85	435.55	156.59	218.79	167.9	309.83	346.29	181.28	169.07	414.87	547.75	135.24	314.17	307.69	412.0	224.97	279.14	106.63	412.0	603.67	674.59	1051.79	896.64	713.11	612.11	1096.5	684.02	703.28	387.02	713.11	314.17	1437.15	435.55	256.78	591.22	620.67	473.41	1304.15	708.18	633.73	490.14	395.18	389.72	796.86	665.29	559.28	262.2	902.89	796.86	587.13	674.59	890.44	1001.93	532.74	595.34	334.46	629.35	0.0	0.29	100.13	195.72	236.21
NTF3	2.46	0.32	2.86	8.51	4.82	2.66	15.34	0.85	7.82	3.17	4.9	2.27	5.82	1.5	5.02	1.19	9.2	20.26	8.99	4.86	14.45	0.0	1.85	2.25	10.08	10.0	19.11	2.71	6.26	29.7	3.03	64.34	27.44	27.05	25.72	23.93	15.45	13.52	43.32	162.14	76.17	95.34	63.89	61.25	52.08	119.26	43.32	23.59	24.46	132.44	60.39	21.78	47.5	115.16	177.53	20.71	4.62	100.13	457.25	22.92	9.06	96.68	241.19	112.77	148.09	55.49	40.93	142.01	15.8	273.37	95.34	403.5	78.34	82.87	24.11	41.22	0.0	0.3	19.11	5.82	0.0
PC	559.28	309.83	366.09	267.73	511.0	234.57	450.94	1397.83	915.51	392.44	242.88	376.41	228.13	242.88	170.25	58.71	2796.65	4903.87	4010.71	4388.98	12076.21	2997.45	480.04	112.77	4239.45	6471.02	3060.45	866.07	5366.37	11745.96	223.41	2609.3	5913.33	6699.25	5041.77	3467.27	1030.12	7032.37	10808.41	13215.02	6745.86	9740.98	10883.59	11035.54	12329.98	10883.59	29124.6	4450.27	18431.96	3443.31	10296.45	15285.81	5329.3	12329.98	7911.95	19214.73	12676.65	27938.14	25005.23	19348.38	4543.8	10440.2	11664.82	26248.46	3103.19	11909.94	11909.94	13776.25	7130.55	36610.26	18304.63	24490.61	9151.82	30785.28	3874.05	22380.2	0.0	0.47	291.04	409.15	366.09
PLGLB1	3.11	28.65	11.47	967.76	139.07	356.05	13.42	1.2	5.96	7.57	16.88	10.31	7.51	22.92	13.32	5.19	2645.74	1806.78	1819.35	1143.1	3419.52	490.14	92.05	111.99	1088.92	2351.53	503.95	563.18	2287.2	3820.7	1340.84	497.0	1407.55	3235.01	1457.23	1127.35	88.88	2209.26	2758.13	2915.45	3395.89	3690.52	3794.3	3395.89	2875.3	5112.16	11504.21	4038.61	5913.33	277.2	4239.45	4575.41	2468.49	7331.05	8901.53	7695.57	1781.89	7331.05	2997.45	5517.27	2047.0	2148.82	12076.21	7695.57	217.27	1277.29	2417.67	4450.27	1208.34	6207.38	11909.94	14461.21	2777.33	2468.49	587.13	6037.61	0.0	0.46	73.54	3.79	81.71
PSD4	73.03	231.32	256.78	607.87	708.18	27.84	194.36	511.0	497.0	262.2	334.46	30.34	149.12	113.56	44.89	49.91	830.75	713.11	780.44	483.38	759.08	236.21	251.48	579.04	665.29	830.75	414.87	647.07	738.29	651.58	500.46	567.1	669.92	669.92	633.73	301.33	242.88	878.17	688.78	1199.98	1104.13	748.61	1151.06	896.64	842.36	698.41	988.12	353.59	713.11	753.83	738.29	753.83	559.28	1191.69	934.76	713.11	703.28	1088.92	1225.22	1030.12	450.94	884.29	1844.76	1369.04	441.64	854.13	1359.57	1066.48	620.67	1167.14	1417.35	921.88	642.59	612.11	406.31	1594.73	246.28	108.9	78.34	248.0	483.38
PTH1R	0.96	4.58	9.93	27.84	24.28	111.99	34.02	9.34	1.36	6.89	10.47	13.93	29.27	18.56	10.31	59.97	92.7	61.68	53.95	37.85	100.83	10.63	58.71	141.02	191.67	113.56	102.97	57.89	105.15	187.71	7.75	172.65	127.0	373.81	143.01	167.9	45.53	137.14	454.09	1498.22	371.22	591.22	642.59	808.0	1001.93	603.67	909.17	429.54	373.81	1059.11	507.46	470.14	141.02	1617.0	5555.65	796.86	6.57	1286.18	3515.68	1111.82	909.17	764.36	5076.84	3847.29	775.05	1135.2	466.88	633.73	47.17	1519.15	1594.73	2835.7	346.29	246.28	26.28	599.49	0.0	0.52	15.22	24.99	1.64
SARDH	11.82	5.11	77.25	60.39	13.03	29.7	11.38	12.83	4.94	8.71	6.73	46.84	8.38	5.82	17.77	0.0	525.39	1304.15	769.69	497.0	854.13	511.0	73.54	23.76	536.45	733.19	743.43	267.73	454.09	1594.73	20.71	154.42	629.35	974.5	743.43	275.28	68.55	1135.2	2209.26	2367.9	2224.63	2573.36	2915.45	2384.37	1832.01	2133.97	1794.29	389.72	1883.54	234.57	43.02	2485.67	215.77	1923.14	2609.3	2303.12	791.35	4038.61	1467.37	1088.92	981.29	2384.37	1977.24	1950.0	101.54	698.41	1208.34	2468.49	503.95	2502.97	2075.59	2351.53	4639.29	1457.23	7.46	1529.73	0.0	0.34	7.0	8.13	16.88
TMEM56	1.58	11.47	27.64	144.01	172.65	57.89	22.92	5.63	18.97	4.17	119.26	134.3	115.97	166.73	137.14	71.5	234.57	406.31	379.04	195.72	693.58	96.01	78.34	51.71	201.25	521.76	366.09	194.36	532.74	743.43	52.08	89.51	470.14	525.39	547.75	134.3	25.91	323.03	1498.22	1794.29	1313.23	1143.1	1359.57	775.05	1159.07	1350.18	2224.63	248.0	503.95	395.18	175.07	674.59	171.45	1322.37	3103.19	551.56	172.65	1519.15	1519.15	305.55	529.06	769.69	738.29	1286.18	366.09	915.51	426.57	1225.22	224.97	928.3	1044.52	1519.15	543.96	616.37	148.09	514.56	0.0	0.09	81.14	19.39	237.86
TMEM86B	15.11	87.65	21.16	165.57	50.27	366.09	23.42	128.79	48.87	18.43	73.03	39.5	84.63	69.52	51.35	8.0	384.34	417.77	343.89	368.65	444.72	285.03	112.77	633.73	420.68	197.09	109.66	220.32	208.38	780.44	358.54	132.44	218.79	373.81	147.06	172.65	147.06	432.53	796.86	587.13	432.53	738.29	842.36	796.86	848.22	616.37	1883.54	320.8	387.02	262.2	616.37	373.81	1977.24	3491.39	2682.69	417.77	271.48	1572.76	579.04	204.07	221.86	616.37	2047.0	961.07	583.07	140.04	753.83	836.53	547.75	860.08	454.09	1963.57	2133.97	212.78	473.41	3540.14	0.0	0.64	35.76	35.0	25.54
TTC38	189.02	358.54	447.82	872.1	429.54	490.14	406.31	99.43	140.04	236.21	466.88	429.54	275.28	429.54	267.73	587.13	1685.71	1923.14	2319.15	1551.09	5913.33	1111.82	813.63	463.65	2720.15	2193.99	2335.28	1417.35	3190.46	3982.99	275.28	1242.34	1651.0	2796.65	2956.17	1651.0	599.49	3372.43	4671.57	4298.64	6935.54	4298.64	4543.8	3665.02	5366.37	3018.3	6079.61	1519.15	9606.86	2061.24	2209.26	2163.77	896.64	4575.41	4671.57	7180.15	1583.71	9673.69	2777.33	2367.9	2163.77	3874.05	6250.56	4937.99	2417.67	4512.4	5594.3	6983.79	934.76	2682.69	5479.15	2935.74	5672.41	5112.16	1233.75	3303.0	0.0	0.68	525.39	503.95	215.77
