	TCGA.CZ.4864.01A.01R.1503.07	GTEX.U3ZN.0226.SM.3DB8D	TCGA.38.4625.01A.01R.1206.07	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.11WQC.0626.SM.5EQMF	GTEX.WFJO.0326.SM.3GIL3	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
PIK3C2B	217.27	54.33	101.54	1167.14	441.64	309.83	473.41	358.54	214.27	169.07	339.14	373.81	275.28	896.64	507.46	2367.9	135.24	607.87	204.07	2468.49	387.02	441.64	1417.35	967.76	1857.6	660.68	351.14	417.77	713.11	3901.01	323.03	155.5	521.76	547.75	253.23	791.35	376.41	246.28	224.97	151.22	232.94	1159.07	1268.46	1397.83	155.5	1088.92	457.25	1225.22
PIM3	1359.57	514.56	0.0	3716.2	1529.73	2224.63	1639.59	2682.69	1233.75	954.43	743.43	842.36	1561.89	2758.13	1467.37	4450.27	1378.57	2133.97	1225.22	6840.04	713.11	981.29	4869.99	2796.65	5329.3	2335.28	1583.71	2997.45	3060.45	6381.92	1159.07	1551.09	1277.29	2367.9	559.28	1883.54	591.22	866.07	825.0	1331.57	698.41	3564.78	2875.3	4358.66	1909.85	4210.15	1191.69	6935.54
PKIG	1757.34	503.95	0.0	10368.08	6121.9	2090.03	9344.14	7230.1	4152.18	4671.57	3190.46	5112.16	2148.82	6699.25	4239.45	7180.15	1304.15	8078.22	1359.57	10585.95	4607.24	4268.94	9025.81	7857.29	23009.42	10014.87	3018.3	5479.15	10154.69	15285.81	2555.58	1350.18	5831.91	4239.45	1936.53	6207.38	3820.7	1417.35	1519.15	1417.35	1806.78	9088.59	13776.25	16383.0	3419.52	8305.36	5329.3	5831.91
PML	1277.29	169.07	0.0	2335.28	1477.58	1529.73	1870.53	1594.73	1175.27	1427.22	1331.57	1277.29	1127.35	1950.0	2075.59	2935.74	587.13	3349.13	988.12	4512.4	1437.15	1477.58	3716.2	3847.29	6337.83	2451.44	2133.97	3742.05	2061.24	4607.24	1151.06	759.08	1963.57	1977.24	928.3	2895.31	1059.11	813.63	684.02	674.59	848.22	2935.74	3955.48	2400.97	1909.85	2935.74	3060.45	2796.65
PPP1R9B	813.63	96.01	0.0	2335.28	1757.34	1073.91	1242.34	890.44	1008.9	503.95	896.64	947.83	928.3	1909.85	1167.14	3847.29	356.05	2351.53	909.17	2417.67	819.3	872.1	2209.26	1745.2	2855.44	2193.99	1044.52	981.29	1977.24	3419.52	854.13	457.25	1561.89	764.36	633.73	1697.45	896.64	775.05	591.22	753.83	743.43	1674.06	2303.12	3146.52	684.02	1923.14	1183.45	1605.83
PXN	1268.46	277.2	0.0	5913.33	2209.26	981.29	1781.89	981.29	2133.97	1096.5	1259.69	1225.22	1923.14	3372.43	1757.34	5292.48	1191.69	3081.75	1757.34	9344.14	1757.34	2335.28	3039.3	3060.45	9808.75	3540.14	2209.26	4769.75	2835.7	8840.04	928.3	1359.57	1378.57	2090.03	1044.52	2451.44	1388.16	1857.6	1540.37	1378.57	1350.18	6037.61	2875.3	7749.1	1733.13	2895.31	3395.89	3146.52
RAB43	186.4	267.73	0.0	620.67	713.11	223.41	660.68	500.46	293.07	279.14	363.56	563.18	486.75	674.59	379.04	780.44	147.06	470.14	228.13	915.51	256.78	161.02	665.29	909.17	1369.04	813.63	334.46	759.08	738.29	1233.75	193.01	251.48	769.69	361.04	96.01	974.5	232.94	309.83	262.2	236.21	248.0	438.59	791.35	934.76	397.93	624.99	718.08	1359.57
RAD23A	2417.67	1628.26	5633.22	2485.67	3146.52	1277.29	3060.45	3018.3	2018.8	1844.76	2384.37	2032.85	2739.08	2720.15	3168.41	1896.65	1733.13	1896.65	1662.49	3235.01	1662.49	1832.01	2335.28	1883.54	5219.6	3491.39	2163.77	2701.35	3639.7	3190.46	2485.67	1883.54	2319.15	2627.46	753.83	2758.13	1697.45	1936.53	2816.11	2240.11	1733.13	2287.2	3018.3	3018.3	1857.6	2855.44	2400.97	2664.15
RBBP6	638.15	341.51	0.0	1030.12	612.11	547.75	785.88	642.59	559.28	571.05	651.58	575.03	412.0	1008.9	490.14	1519.15	525.39	1073.91	718.08	1561.89	583.07	514.56	1259.69	1286.18	1819.35	780.44	647.07	775.05	723.08	1794.29	406.31	444.72	753.83	909.17	599.49	1216.75	493.56	567.1	287.01	483.38	503.95	878.17	1378.57	1135.2	1023.0	954.43	830.75	1628.26
RELA	1313.23	555.41	1051.79	2796.65	1896.65	1437.15	1963.57	1519.15	1745.2	1407.55	1322.37	1359.57	1628.26	2645.74	1794.29	4298.64	1304.15	3124.78	1487.87	3081.75	1427.22	1733.13	4095.0	2537.92	4152.18	2193.99	2240.11	2468.49	2178.83	3928.15	1313.23	1259.69	1857.6	1769.57	1081.39	2148.82	1437.15	1477.58	1331.57	1417.35	1369.04	2796.65	2976.74	3190.46	1697.45	2520.38	2018.8	3614.55
RELB	441.64	103.69	0.0	1059.11	633.73	483.38	813.63	738.29	490.14	698.41	620.67	400.71	224.97	595.34	764.36	1304.15	223.41	830.75	246.28	1977.24	353.59	403.5	1151.06	1066.48	2224.63	791.35	728.11	1216.75	808.0	2485.67	289.02	150.17	493.56	830.75	371.22	1015.93	366.09	124.37	426.57	150.17	111.99	1008.9	1508.65	1295.13	329.84	1081.39	651.58	1674.06
RHBDF1	277.2	37.05	0.0	1662.49	1143.1	629.35	1051.79	320.8	1030.12	237.86	463.65	743.43	703.28	1936.53	909.17	2287.2	432.53	1583.71	547.75	2209.26	753.83	684.02	2032.85	1437.15	2163.77	1769.57	1143.1	1008.9	1216.75	2537.92	603.67	309.83	860.08	674.59	303.44	947.83	563.18	525.39	239.52	529.06	698.41	1605.83	2502.97	1870.53	624.99	1081.39	1159.07	2178.83
RHOC	6164.49	3419.52	0.0	8718.32	7537.18	4095.0	7537.18	5006.93	4358.66	6745.86	3491.39	6164.49	5913.33	9474.59	11992.79	10808.41	3847.29	11267.44	3419.52	25005.23	4869.99	4298.64	14663.09	8901.53	42346.82	12764.83	3794.3	10512.82	9876.98	25005.23	3303.0	2434.5	6887.62	5041.77	4450.27	10154.69	4972.34	5255.91	7695.57	2434.5	4543.8	16611.71	27745.15	17197.56	3982.99	15180.22	11504.21	17437.64
RNASEK-C17orf49	37.59	24.63	0.0	85.22	100.83	98.73	104.42	116.78	80.01	55.89	43.32	52.82	73.54	85.22	89.51	163.28	75.64	141.02	75.64	285.03	70.01	60.82	173.85	70.51	287.01	167.9	55.49	117.6	131.51	185.11	68.55	77.79	197.09	94.67	20.26	122.64	140.04	53.57	43.63	81.14	28.04	106.63	221.86	124.37	236.21	144.01	95.34	224.97
RP11-770J1.4	0.35	0.0	0.0	0.6	1.75	0.0	0.29	0.0	0.6	0.31	0.88	0.09	0.96	1.1	0.59	1.57	0.0	0.96	0.97	0.48	0.28	1.45	0.8	1.5	2.01	0.91	0.41	0.68	1.45	0.79	0.48	0.32	0.48	0.29	0.0	1.36	0.27	0.48	0.73	0.46	0.1	0.0	1.35	2.81	0.69	0.77	1.17	0.31
SAMD14	40.07	21.47	0.0	493.56	346.29	205.5	220.32	153.34	171.45	70.51	62.12	180.02	97.36	251.48	253.23	1143.1	36.01	460.44	46.18	476.71	142.01	94.67	277.2	236.21	318.57	429.54	155.5	287.01	363.56	961.07	108.14	45.21	152.28	152.28	78.34	384.34	96.68	46.5	67.12	63.45	67.59	299.25	414.87	575.03	77.25	136.19	275.28	406.31
SAP30L	915.51	480.04	0.0	995.0	1111.82	473.41	854.13	1268.46	532.74	547.75	480.04	669.92	656.11	836.53	928.3	1044.52	708.18	733.19	612.11	624.99	708.18	447.82	679.29	1023.0	1561.89	1059.11	656.11	571.05	896.64	785.88	607.87	514.56	733.19	733.19	764.36	884.29	713.11	500.46	417.77	587.13	703.28	473.41	947.83	1191.69	878.17	1023.0	633.73	884.29
SCYL1	1427.22	1037.29	0.0	1572.76	1111.82	947.83	1745.2	1350.18	1259.69	1208.34	1030.12	967.76	1857.6	1540.37	1936.53	2178.83	902.89	1378.57	1651.0	1991.0	457.25	688.78	1651.0	1651.0	3690.52	1388.16	1359.57	1417.35	1457.23	3060.45	1183.45	1015.93	988.12	909.17	555.41	1088.92	872.1	1268.46	638.15	1561.89	785.88	872.1	1896.65	1844.76	1322.37	1417.35	836.53	2133.97
SDCBP2	69.52	29.06	0.0	1151.06	1119.56	78.34	703.28	571.05	115.16	147.06	85.82	90.77	242.88	842.36	483.38	1757.34	89.51	595.34	45.21	2193.99	122.64	63.0	1183.45	791.35	10883.59	1151.06	167.9	785.88	669.92	4512.4	101.54	229.72	190.34	651.58	87.65	1322.37	152.28	76.17	70.01	147.06	79.45	1111.82	1745.2	5403.7	291.04	1119.56	1977.24	1135.2
SH3GL1	896.64	323.03	1870.53	1359.57	764.36	660.68	1183.45	616.37	802.41	1639.59	825.0	854.13	764.36	860.08	1397.83	1119.56	392.44	1073.91	753.83	1015.93	483.38	525.39	1088.92	1159.07	2400.97	1088.92	981.29	878.17	1233.75	1233.75	583.07	409.15	698.41	651.58	423.61	961.07	669.92	708.18	476.71	764.36	392.44	1023.0	1417.35	1427.22	738.29	785.88	909.17	1044.52
SHISA5	2609.3	1651.0	0.0	3349.13	4268.94	3349.13	3768.09	4328.55	4358.66	3540.14	4328.55	4671.57	4836.35	3419.52	4239.45	5076.84	2287.2	5183.54	2777.33	5555.65	2682.69	3820.7	6561.36	5403.7	10225.32	5791.62	2758.13	4736.79	6840.04	6699.25	3639.7	2875.3	3901.01	3190.46	2163.77	3768.09	2997.45	3768.09	3491.39	2119.22	3901.01	4450.27	5555.65	3146.52	1769.57	5479.15	4095.0	3168.41
SLC25A28	1628.26	733.19	0.0	2434.5	1857.6	1096.5	2090.03	2240.11	1111.82	1651.0	1322.37	1183.45	1037.29	1721.16	1963.57	2855.44	872.1	2148.82	1286.18	2351.53	785.88	1233.75	3467.27	2758.13	4419.52	1617.0	1991.0	2335.28	1870.53	3874.05	1066.48	866.07	1605.83	1594.73	769.69	2855.44	902.89	1023.0	872.1	836.53	866.07	1617.0	3168.41	2090.03	2090.03	2148.82	2119.22	2367.9
SLC39A1	3303.0	954.43	0.0	2255.7	2119.22	1561.89	2255.7	2485.67	2148.82	2664.15	1594.73	1844.76	2895.31	2417.67	3372.43	2777.33	2119.22	2645.74	1583.71	3665.02	1457.23	1477.58	2520.38	2835.7	4769.75	3665.02	1427.22	2148.82	3280.18	4937.99	1477.58	1769.57	1806.78	1639.59	1674.06	2758.13	1685.71	2133.97	3257.52	2224.63	2319.15	2537.92	2627.46	3081.75	1806.78	3564.78	2287.2	2895.31
SNN	314.17	102.25	0.0	1457.23	642.59	348.71	759.08	607.87	723.08	208.38	361.04	780.44	607.87	1073.91	497.0	1159.07	307.69	688.78	309.83	1487.87	392.44	476.71	2004.85	642.59	1883.54	988.12	320.8	1233.75	733.19	1350.18	334.46	389.72	674.59	547.75	368.65	825.0	567.1	426.57	460.44	395.18	387.02	1605.83	1583.71	2018.8	674.59	1594.73	1030.12	1529.73
SP6	9.78	0.82	0.0	96.68	84.63	141.02	26.47	18.43	40.93	20.86	15.11	27.25	86.43	23.76	100.83	420.68	14.35	55.89	45.21	169.07	20.11	19.25	34.02	38.12	291.04	277.2	9.85	87.65	41.52	341.51	24.99	167.9	22.43	13.12	20.71	65.72	49.21	19.53	31.9	40.93	24.81	37.85	171.45	220.32	119.26	29.7	55.1	60.39
SPNS2	336.79	60.82	251.48	4802.93	2609.3	1001.93	660.68	698.41	607.87	244.57	518.15	780.44	1250.98	1313.23	1407.55	8718.32	551.56	2417.67	343.89	13968.57	764.36	511.0	2997.45	2303.12	4450.27	1037.29	353.59	1883.54	3190.46	26986.43	1081.39	258.57	665.29	1191.69	283.05	2303.12	332.14	368.65	358.54	660.68	271.48	3146.52	2468.49	4038.61	241.19	2816.11	470.14	6250.56
SSSCA1	1175.27	638.15	0.0	1066.48	674.59	830.75	1277.29	974.5	854.13	967.76	764.36	1030.12	988.12	1208.34	1769.57	1135.2	1023.0	1135.2	902.89	1628.26	808.0	780.44	1709.26	791.35	4802.93	1697.45	723.08	1417.35	1242.34	2627.46	603.67	1023.0	571.05	1037.29	525.39	748.61	819.3	1259.69	660.68	1059.11	743.43	1378.57	2485.67	1991.0	988.12	1242.34	733.19	2520.38
SYNGR2	4210.15	1457.23	0.0	4388.98	6607.01	9344.14	10733.74	13586.57	10883.59	3515.68	4419.52	4607.24	11345.82	10733.74	9344.14	6699.25	6652.97	5672.41	3146.52	12589.08	5255.91	4769.75	12943.04	6652.97	30999.42	10296.45	2777.33	5403.7	9409.14	14065.74	6516.03	6983.79	7911.95	7695.57	4639.29	6607.01	5366.37	7280.4	7857.29	8247.98	4010.71	9808.75	12502.12	10659.59	5255.91	19214.73	8305.36	11112.3
TBC1D1	1268.46	444.72	583.07	1529.73	2119.22	743.43	1498.22	1487.87	400.71	1529.73	642.59	802.41	921.88	1498.22	2255.7	2627.46	848.22	2255.7	759.08	3443.31	775.05	559.28	2367.9	1794.29	4802.93	1199.98	1159.07	2104.58	1605.83	8479.89	866.07	551.56	934.76	785.88	728.11	2075.59	878.17	674.59	547.75	753.83	830.75	1225.22	3874.05	5076.84	1259.69	1923.14	1806.78	2915.45
TEAD2	202.66	81.71	665.29	1594.73	1159.07	633.73	764.36	1350.18	718.08	575.03	629.35	961.07	791.35	1088.92	1143.1	1977.24	470.14	1583.71	432.53	2240.11	503.95	780.44	1111.82	2061.24	2816.11	1950.0	420.68	1417.35	1936.53	4802.93	473.41	363.56	647.07	525.39	447.82	808.0	836.53	547.75	603.67	343.89	529.06	1508.65	1127.35	1883.54	514.56	1651.0	860.08	1806.78
TFE3	665.29	277.2	0.0	1977.24	1369.04	679.29	995.0	974.5	1073.91	738.29	638.15	872.1	928.3	1605.83	1331.57	2796.65	587.13	2133.97	693.58	2061.24	612.11	743.43	2485.67	1427.22	3665.02	1369.04	941.27	1143.1	1561.89	2976.74	753.83	540.19	1096.5	896.64	642.59	1583.71	693.58	808.0	921.88	791.35	896.64	1721.16	2104.58	3124.78	748.61	1350.18	1175.27	1806.78
TGIF2	264.03	76.71	409.15	466.88	435.55	346.29	412.0	483.38	412.0	236.21	371.22	351.14	220.32	540.19	320.8	909.17	140.04	483.38	295.11	543.96	253.23	381.68	728.11	417.77	780.44	579.04	429.54	202.66	633.73	1104.13	156.59	133.36	209.84	209.84	287.01	483.38	297.17	135.24	279.14	194.36	208.38	389.72	974.5	684.02	182.55	470.14	287.01	514.56
TMEM184B	629.35	99.43	0.0	1437.15	1417.35	660.68	1096.5	738.29	1561.89	460.44	555.41	612.11	2004.85	1407.55	1350.18	3257.52	848.22	1794.29	563.18	2468.49	656.11	1066.48	2520.38	1359.57	2485.67	1183.45	616.37	2119.22	1183.45	2720.15	674.59	954.43	1015.93	647.07	381.68	1605.83	555.41	1268.46	387.02	713.11	981.29	2178.83	1508.65	2319.15	551.56	981.29	1651.0	1561.89
TNFAIP1	819.3	466.88	0.0	1896.65	1617.0	1286.18	1051.79	1304.15	1437.15	540.19	819.3	896.64	988.12	1498.22	1487.87	3419.52	872.1	1583.71	536.45	3716.2	733.19	1313.23	2119.22	1757.34	2520.38	1498.22	947.83	1909.85	1628.26	4268.94	848.22	813.63	909.17	1540.37	860.08	1519.15	974.5	1081.39	1044.52	616.37	753.83	2319.15	1950.0	2061.24	642.59	2061.24	1407.55	2573.36
TNFRSF10A	231.32	76.17	0.0	432.53	241.19	107.38	212.78	208.38	277.2	114.36	83.45	117.6	131.51	305.55	189.02	728.11	102.25	249.73	223.41	796.86	74.58	199.85	395.18	206.94	587.13	361.04	258.57	165.57	133.36	447.82	118.43	80.01	113.56	289.02	108.9	202.66	85.22	121.79	91.41	113.56	123.5	872.1	353.59	395.18	110.43	389.72	269.6	406.31
TRAFD1	1304.15	201.25	0.0	1044.52	872.1	896.64	1111.82	1561.89	559.28	1721.16	1051.79	665.29	733.19	1233.75	1313.23	1427.22	679.29	775.05	791.35	2240.11	753.83	620.67	1674.06	1769.57	3081.75	1208.34	902.89	1242.34	1008.9	3081.75	647.07	629.35	802.41	1208.34	988.12	1662.49	688.78	612.11	753.83	684.02	703.28	1059.11	2434.5	915.51	848.22	2004.85	1127.35	1477.58
TRIP10	2367.9	115.16	0.0	4152.18	2739.08	1127.35	2319.15	2303.12	1857.6	1233.75	1407.55	2075.59	1183.45	3491.39	1757.34	4239.45	961.07	3257.52	1135.2	4239.45	1806.78	2224.63	4152.18	4481.23	4937.99	3716.2	1529.73	2485.67	3081.75	5791.62	1001.93	775.05	2240.11	1806.78	981.29	2720.15	1572.76	988.12	616.37	988.12	967.76	3257.52	3874.05	4388.98	1295.13	3874.05	2400.97	4123.49
TRPC4AP	934.76	961.07	0.0	1208.34	1605.83	1175.27	1923.14	1167.14	866.07	1277.29	1295.13	764.36	1437.15	2032.85	1551.09	1923.14	1322.37	1733.13	1407.55	1936.53	860.08	775.05	2485.67	2485.67	3491.39	1561.89	1119.56	1104.13	1088.92	3212.66	941.27	1378.57	1936.53	1721.16	1008.9	2004.85	830.75	1286.18	974.5	1594.73	1250.98	1151.06	1950.0	1304.15	2193.99	1936.53	1781.89	1721.16
TSSC4	591.22	397.93	0.0	638.15	796.86	629.35	1023.0	684.02	463.65	563.18	669.92	660.68	1529.73	909.17	915.51	521.76	503.95	738.29	848.22	909.17	441.64	525.39	713.11	693.58	2004.85	988.12	780.44	743.43	1104.13	1199.98	802.41	616.37	480.04	563.18	291.04	981.29	656.11	825.0	583.07	954.43	470.14	450.94	1242.34	954.43	780.44	921.88	473.41	974.5
UBR4	1733.13	1096.5	0.0	3928.15	2664.15	1639.59	4328.55	2645.74	1388.16	2701.35	1477.58	1340.84	2004.85	3901.01	2835.7	3874.05	1277.29	3039.3	1757.34	4239.45	1359.57	1378.57	5147.73	4181.07	7695.57	3060.45	3564.78	3280.18	2777.33	5183.54	1437.15	1561.89	3039.3	2609.3	1662.49	4543.8	1322.37	1733.13	1551.09	2090.03	1757.34	2664.15	5751.61	5594.3	3515.68	3614.55	3690.52	3955.48
USF1	1340.84	343.89	1331.57	1991.0	2119.22	1437.15	2287.2	1697.45	1135.2	1030.12	1572.76	1378.57	1498.22	1477.58	1685.71	2485.67	1096.5	2163.77	1498.22	2609.3	1233.75	1498.22	2061.24	2555.58	4543.8	2104.58	2224.63	1923.14	1733.13	2935.74	1369.04	1119.56	2133.97	1519.15	1331.57	3372.43	1437.15	909.17	1159.07	1417.35	1175.27	1437.15	2468.49	2075.59	2451.44	2351.53	1745.2	1662.49
WHAMM	180.02	75.11	63.0	265.87	242.88	158.79	223.41	171.45	152.28	197.09	182.55	170.25	124.37	279.14	164.42	312.0	138.1	309.83	162.14	273.37	158.79	166.73	454.09	295.11	460.44	239.52	244.57	177.53	239.52	450.94	166.73	146.03	202.66	215.77	123.5	417.77	146.03	147.06	98.04	172.65	171.45	169.07	397.93	339.14	267.73	329.84	209.84	381.68
YY1AP1	1066.48	575.03	0.0	2351.53	1963.57	884.29	1769.57	1572.76	1183.45	1216.75	1331.57	1159.07	915.51	2163.77	1529.73	3395.89	1008.9	2664.15	1191.69	2319.15	1135.2	1175.27	3190.46	2682.69	3874.05	1697.45	1721.16	1617.0	1519.15	4298.64	961.07	854.13	1295.13	1519.15	941.27	2224.63	1104.13	961.07	1233.75	1001.93	967.76	2178.83	2701.35	2915.45	1519.15	2032.85	1605.83	2351.53
ZBTB7A	277.2	110.43	228.13	633.73	368.65	289.02	547.75	392.44	518.15	256.78	242.88	444.72	417.77	400.71	291.04	514.56	191.67	397.93	353.59	559.28	297.17	334.46	521.76	432.53	540.19	480.04	258.57	633.73	329.84	400.71	361.04	406.31	264.03	460.44	102.97	412.0	409.15	423.61	141.02	277.2	341.51	429.54	470.14	688.78	291.04	599.49	511.0	674.59
ZNF219	221.86	47.5	0.0	1963.57	1605.83	679.29	1208.34	583.07	708.18	256.78	447.82	414.87	775.05	2895.31	866.07	3443.31	356.05	3190.46	607.87	848.22	239.52	463.65	2303.12	1135.2	2758.13	2875.3	339.14	460.44	1794.29	1950.0	567.1	450.94	503.95	307.69	246.28	1268.46	616.37	441.64	318.57	791.35	603.67	688.78	2148.82	2627.46	460.44	1066.48	836.53	642.59
ZNFX1	591.22	258.57	0.0	1617.0	733.19	555.41	981.29	698.41	563.18	256.78	493.56	624.99	860.08	842.36	684.02	1757.34	529.06	679.29	493.56	1950.0	587.13	543.96	1359.57	884.29	2434.5	915.51	791.35	1250.98	836.53	2148.82	503.95	476.71	796.86	785.88	417.77	1295.13	423.61	785.88	511.0	392.44	775.05	1540.37	1369.04	1477.58	529.06	1417.35	954.43	2178.83
ZNRF1	140.04	226.54	0.0	1662.49	947.83	575.03	836.53	521.76	497.0	348.71	607.87	728.11	435.55	836.53	791.35	1745.2	325.29	1199.98	503.95	1350.18	587.13	490.14	688.78	1044.52	1498.22	1295.13	698.41	830.75	1242.34	1733.13	503.95	325.29	571.05	595.34	420.68	718.08	718.08	305.55	361.04	303.44	417.77	796.86	1277.29	1250.98	295.11	1135.2	567.1	947.83
