	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.AACH.01A.11R.A41C.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.2Y.A9GS.01A.12R.A38B.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.AACS.01A.11R.A41C.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A3CG.01A.11R.A213.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.3K.AAZ8.01A.12R.A39D.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH
NME1	3018.3	2935.74	3820.7	3794.3	5555.65	1991.0	4328.55	2664.15	6745.86	3395.89	2835.7	3690.52	2796.65	3081.75	6887.62	2720.15	1806.78	2468.49	4358.66	4903.87	3901.01	2573.36	3235.01	2224.63	3742.05	3665.02	3372.43	1081.39	1617.0	1407.55	708.18	872.1	1104.13	698.41	1051.79	791.35	1096.5	921.88	1963.57	1225.22	1844.76	1051.79	785.88	2682.69	1277.29	988.12	909.17	1015.93	759.08	1277.29	1183.45	1378.57	1167.14	1378.57	1167.14	878.17	1059.11	941.27
POP4	2520.38	1909.85	2555.58	2193.99	1551.09	1397.83	2163.77	1583.71	2627.46	1936.53	1551.09	1388.16	1561.89	1487.87	1857.6	1594.73	2287.2	1378.57	1388.16	2240.11	1870.53	1950.0	1883.54	1388.16	2133.97	3742.05	1806.78	1088.92	967.76	1127.35	836.53	748.61	1023.0	836.53	988.12	848.22	1151.06	748.61	1199.98	791.35	1159.07	884.29	921.88	638.15	921.88	769.69	1073.91	1096.5	808.0	1119.56	1059.11	1059.11	1208.34	1044.52	1008.9	718.08	896.64	909.17
PSMB3	6887.62	7485.11	6983.79	7485.11	11424.74	5147.73	8305.36	5517.27	8963.45	6121.9	6607.01	7180.15	5183.54	7485.11	9344.14	6426.31	6294.04	4704.07	7803.01	5995.9	13123.73	10959.3	8658.09	6337.83	7537.18	12676.65	8598.28	4239.45	6037.61	4869.99	3768.09	3820.7	3589.58	3540.14	4298.64	3690.52	4181.07	3955.48	5995.9	3491.39	7485.11	3820.7	2875.3	4671.57	3303.0	4095.0	4358.66	4769.75	3349.13	6207.38	4481.23	5403.7	3614.55	4481.23	2271.4	4298.64	4095.0	3257.52
PSMB4	14361.31	14461.21	17078.76	11992.79	12589.08	12076.21	19348.38	20030.74	14461.21	15715.58	11909.94	8305.36	10883.59	11584.24	25708.25	12943.04	7857.29	8901.53	13586.57	17437.64	17804.06	24490.61	8901.53	15180.22	23986.58	30361.44	11909.94	5751.61	7280.4	6516.03	4543.8	4419.52	5366.37	5831.91	7803.01	4972.34	6079.61	6294.04	6561.36	5147.73	9215.48	5594.3	5183.54	8778.97	4802.93	6607.01	6699.25	6207.38	4802.93	11827.67	8479.89	8901.53	5366.37	7081.29	4481.23	7032.37	5954.47	4419.52
PSMC4	3325.99	3146.52	3794.3	2434.5	3443.31	1540.37	2591.27	3039.3	2664.15	2255.7	2004.85	2855.44	2758.13	2720.15	3018.3	2664.15	2303.12	2119.22	2682.69	3589.58	3395.89	4181.07	3820.7	2303.12	3190.46	4575.41	3716.2	961.07	1295.13	1216.75	974.5	954.43	1250.98	848.22	947.83	780.44	1340.84	802.41	1208.34	1127.35	1721.16	1023.0	854.13	1359.57	921.88	1127.35	947.83	988.12	866.07	1651.0	1378.57	1594.73	1183.45	1225.22	878.17	1540.37	1111.82	808.0
PSMC5	2609.3	3395.89	2451.44	4575.41	5872.48	2915.45	2720.15	3515.68	3146.52	3901.01	3372.43	3716.2	3190.46	3060.45	4239.45	5594.3	2976.74	2720.15	2555.58	5594.3	4575.41	4639.29	4512.4	3124.78	3419.52	3955.48	4095.0	1896.65	2976.74	2148.82	1977.24	2434.5	2319.15	2520.38	2758.13	2319.15	2537.92	2104.58	2645.74	2018.8	2895.31	2485.67	2434.5	2451.44	2255.7	2271.4	2240.11	2351.53	2335.28	2935.74	2451.44	2758.13	2224.63	3235.01	1844.76	1806.78	2485.67	2018.8
PSMD3	2193.99	2032.85	1991.0	3060.45	4358.66	1769.57	2004.85	2287.2	2417.67	2956.17	1963.57	2645.74	1963.57	2319.15	2915.45	2451.44	2075.59	1883.54	2004.85	2796.65	3235.01	5672.41	2758.13	2303.12	2997.45	4388.98	2573.36	1397.83	1617.0	1044.52	1519.15	1143.1	1561.89	1572.76	1950.0	1183.45	1519.15	1685.71	1674.06	1191.69	1721.16	1857.6	1407.55	2090.03	1617.0	1388.16	1883.54	1733.13	1733.13	1991.0	2018.8	2240.11	1477.58	1529.73	1208.34	1709.26	1651.0	1073.91
PSMD8	4328.55	4210.15	4937.99	4869.99	4903.87	3103.19	3874.05	3874.05	5292.48	4639.29	3982.99	3491.39	3564.78	3614.55	3589.58	4937.99	5791.62	3190.46	3467.27	5441.3	3982.99	4903.87	5403.7	3039.3	4769.75	7081.29	4836.35	2645.74	3103.19	2075.59	2004.85	1857.6	2303.12	2018.8	2816.11	1617.0	2997.45	2104.58	3349.13	2739.08	2664.15	2555.58	2319.15	3280.18	2148.82	1832.01	2997.45	2255.7	2163.77	2816.11	3467.27	2835.7	2816.11	2061.24	1844.76	2777.33	2061.24	2193.99
PTCD1	156.59	165.57	182.55	148.09	258.57	143.01	231.32	202.66	186.4	249.73	142.01	208.38	209.84	147.06	182.55	182.55	120.1	139.07	164.42	158.79	193.01	264.03	242.88	205.5	228.13	232.94	173.85	70.01	85.82	75.11	70.01	112.77	89.51	142.01	93.35	70.51	67.12	87.65	85.22	147.06	100.83	97.36	77.25	88.26	105.89	61.25	98.73	87.65	120.1	108.14	59.55	59.55	55.1	102.25	62.12	50.98	83.45	71.5
PYCR2	1191.69	3190.46	2075.59	1551.09	1151.06	1733.13	2777.33	1674.06	2434.5	947.83	1051.79	1111.82	1923.14	1651.0	1923.14	967.76	1277.29	1519.15	1508.65	2520.38	1769.57	2645.74	1208.34	1819.35	3325.99	2835.7	1508.65	860.08	753.83	708.18	497.0	669.92	547.75	651.58	551.56	540.19	693.58	514.56	764.36	532.74	723.08	567.1	607.87	521.76	693.58	674.59	718.08	679.29	808.0	728.11	785.88	915.51	616.37	684.02	463.65	466.88	599.49	536.45
PYCRL	249.73	674.59	743.43	316.37	603.67	708.18	1081.39	226.54	679.29	547.75	295.11	363.56	348.71	1183.45	438.59	314.17	358.54	241.19	651.58	493.56	1175.27	397.93	368.65	384.34	791.35	540.19	381.68	148.09	115.97	265.87	166.73	223.41	204.07	143.01	253.23	205.5	190.34	125.24	201.25	169.07	185.11	244.57	208.38	127.89	273.37	297.17	194.36	172.65	226.54	182.55	157.68	150.17	189.02	131.51	172.65	167.9	178.77	185.11
RAB24	1037.29	941.27	595.34	1295.13	1936.53	688.78	1437.15	775.05	1030.12	1277.29	693.58	872.1	1175.27	1001.93	995.0	1135.2	961.07	723.08	723.08	1936.53	1295.13	642.59	780.44	775.05	1167.14	1167.14	775.05	444.72	473.41	703.28	563.18	647.07	429.54	620.67	361.04	514.56	444.72	511.0	435.55	397.93	547.75	395.18	426.57	376.41	500.46	543.96	366.09	571.05	435.55	571.05	417.77	460.44	414.87	547.75	493.56	384.34	536.45	329.84
RABIF	291.04	323.03	221.86	211.31	253.23	155.5	246.28	175.07	291.04	463.65	155.5	248.0	234.57	223.41	341.51	148.09	123.5	165.57	205.5	400.71	277.2	327.56	204.07	329.84	543.96	518.15	157.68	84.63	104.42	63.45	59.97	59.55	100.13	75.64	71.5	65.26	112.77	52.45	87.03	67.12	82.29	84.63	76.71	75.11	71.0	93.35	75.11	83.45	95.34	100.83	90.14	92.7	120.1	69.03	95.34	54.33	90.14	76.71
RECQL4	256.78	629.35	698.41	638.15	624.99	205.5	1295.13	161.02	769.69	1088.92	120.1	616.37	246.28	343.89	688.78	312.0	186.4	267.73	325.29	395.18	819.3	660.68	400.71	129.69	316.37	406.31	175.07	17.0	39.5	108.9	35.76	94.01	53.19	35.25	36.53	62.12	21.78	25.72	58.71	40.36	47.17	19.25	50.98	41.52	75.11	83.45	36.53	41.22	64.34	71.0	20.86	31.45	82.29	50.63	16.63	20.11	53.95	30.12
RPTOR	187.71	198.47	197.09	325.29	325.29	191.67	148.09	248.0	246.28	260.38	180.02	281.09	224.97	211.31	366.09	318.57	185.11	248.0	158.79	376.41	293.07	392.44	279.14	246.28	212.78	237.86	241.19	139.07	111.21	166.73	69.03	119.26	126.12	127.89	99.43	95.34	100.13	94.67	161.02	185.11	128.79	152.28	118.43	130.6	100.13	150.17	78.34	87.03	132.44	156.59	99.43	120.94	127.0	68.55	120.94	97.36	100.13	103.69
RPUSD1	423.61	314.17	414.87	420.68	253.23	258.57	511.0	301.33	769.69	406.31	483.38	624.99	363.56	368.65	339.14	351.14	318.57	271.48	249.73	318.57	285.03	785.88	353.59	275.28	332.14	967.76	329.84	135.24	162.14	185.11	145.02	228.13	169.07	195.72	260.38	226.54	161.02	165.57	170.25	215.77	177.53	199.85	217.27	264.03	202.66	229.72	155.5	189.02	297.17	170.25	175.07	208.38	172.65	180.02	153.34	157.68	273.37	202.66
SAP30L	974.5	947.83	896.64	1111.82	1617.0	599.49	836.53	718.08	1407.55	1259.69	599.49	1250.98	1159.07	796.86	1233.75	1051.79	514.56	660.68	595.34	1963.57	1477.58	748.61	860.08	981.29	1388.16	1259.69	854.13	540.19	753.83	728.11	444.72	346.29	633.73	476.71	454.09	738.29	231.32	457.25	447.82	441.64	532.74	426.57	473.41	723.08	343.89	575.03	642.59	547.75	612.11	679.29	723.08	616.37	518.15	759.08	366.09	358.54	450.94	583.07
SCAMP3	2935.74	3564.78	5183.54	3820.7	3395.89	2047.0	4671.57	2875.3	3928.15	5147.73	2193.99	1963.57	2956.17	2720.15	6337.83	2855.44	1721.16	2935.74	3690.52	4268.94	3768.09	4038.61	2502.97	3419.52	4543.8	6699.25	2739.08	808.0	775.05	1605.83	785.88	1059.11	836.53	854.13	759.08	1199.98	1427.22	1059.11	723.08	713.11	1427.22	1498.22	612.11	967.76	665.29	995.0	1159.07	842.36	1135.2	1572.76	896.64	909.17	703.28	555.41	656.11	1159.07	791.35	848.22
SLC41A3	616.37	947.83	1259.69	403.5	651.58	748.61	660.68	967.76	733.19	836.53	684.02	1111.82	703.28	718.08	733.19	567.1	466.88	490.14	878.17	713.11	785.88	1023.0	698.41	579.04	708.18	961.07	470.14	395.18	320.8	612.11	423.61	267.73	379.04	351.14	309.83	246.28	323.03	262.2	579.04	312.0	341.51	406.31	353.59	348.71	334.46	329.84	381.68	351.14	251.48	303.44	293.07	201.25	275.28	403.5	241.19	202.66	214.27	256.78
SNRPC	3491.39	3235.01	7331.05	3467.27	6561.36	2417.67	3874.05	3847.29	5112.16	3491.39	2682.69	4298.64	2520.38	3212.66	3901.01	2758.13	2573.36	2193.99	3847.29	3372.43	4388.98	2739.08	3794.3	2997.45	2935.74	5112.16	4972.34	1806.78	2451.44	2075.59	1369.04	1304.15	1417.35	1674.06	2209.26	1295.13	2209.26	1388.16	2367.9	2032.85	2255.7	1883.54	1733.13	2119.22	1819.35	1572.76	2434.5	1457.23	1685.71	2796.65	1781.89	1883.54	2090.03	1487.87	1127.35	1594.73	1617.0	1519.15
SNRPE	4298.64	6121.9	8305.36	4181.07	4328.55	3280.18	8658.09	3690.52	7485.11	7032.37	3874.05	4152.18	3349.13	3768.09	5441.3	3690.52	3794.3	3190.46	3639.7	6164.49	6079.61	4388.98	3257.52	3716.2	8078.22	9151.82	4543.8	2224.63	2240.11	3018.3	1143.1	802.41	1697.45	1175.27	2915.45	866.07	2720.15	1350.18	2119.22	1340.84	2224.63	1457.23	1936.53	2209.26	1508.65	2319.15	1605.83	1313.23	1685.71	2240.11	1733.13	1909.85	2855.44	1883.54	1551.09	1259.69	1313.23	2090.03
SNX11	275.28	279.14	267.73	384.34	500.46	269.6	283.05	285.03	417.77	381.68	356.05	353.59	348.71	277.2	325.29	444.72	323.03	267.73	307.69	255.0	460.44	329.84	318.57	244.57	208.38	379.04	318.57	176.29	204.07	236.21	223.41	214.27	293.07	172.65	249.73	215.77	191.67	180.02	234.57	197.09	228.13	209.84	220.32	127.89	301.33	232.94	183.82	202.66	147.06	234.57	131.51	139.07	194.36	251.48	204.07	99.43	229.72	224.97
TANGO2	518.15	299.25	426.57	387.02	450.94	525.39	389.72	265.87	532.74	423.61	353.59	397.93	559.28	493.56	318.57	363.56	265.87	414.87	351.14	281.09	507.46	607.87	358.54	417.77	624.99	555.41	305.55	318.57	154.42	289.02	275.28	208.38	125.24	237.86	154.42	165.57	113.56	142.01	262.2	414.87	273.37	242.88	152.28	198.47	131.51	121.79	220.32	205.5	293.07	105.89	228.13	197.09	232.94	180.02	173.85	341.51	138.1	134.3
TBL3	1397.83	1216.75	1030.12	819.3	830.75	928.3	1175.27	947.83	1051.79	954.43	1286.18	1088.92	1277.29	1081.39	1143.1	941.27	974.5	748.61	947.83	1135.2	1104.13	1628.26	941.27	842.36	1119.56	1909.85	1378.57	698.41	728.11	703.28	633.73	660.68	514.56	688.78	669.92	909.17	1030.12	620.67	587.13	909.17	802.41	915.51	780.44	620.67	665.29	928.3	684.02	480.04	674.59	775.05	884.29	921.88	457.25	595.34	316.37	825.0	791.35	563.18
TIGD5	63.45	194.36	218.79	141.02	314.17	244.57	267.73	77.79	211.31	255.0	97.36	120.94	226.54	346.29	232.94	110.43	84.04	104.42	145.02	167.9	400.71	172.65	126.12	107.38	249.73	113.56	138.1	53.19	16.75	47.17	30.34	63.89	38.67	44.89	33.78	55.1	43.63	44.89	22.1	105.15	86.43	43.94	40.07	43.32	63.89	42.41	30.34	41.52	53.19	29.27	55.49	25.35	27.44	36.79	25.91	55.49	61.25	43.94
TMEM101	466.88	785.88	733.19	941.27	1697.45	802.41	703.28	813.63	954.43	921.88	669.92	934.76	647.07	624.99	728.11	587.13	620.67	500.46	928.3	603.67	1199.98	836.53	915.51	559.28	647.07	961.07	961.07	429.54	384.34	656.11	490.14	500.46	397.93	525.39	460.44	417.77	500.46	587.13	698.41	775.05	579.04	500.46	406.31	480.04	450.94	379.04	718.08	293.07	454.09	728.11	403.5	353.59	457.25	423.61	379.04	118.43	400.71	473.41
TSPAN17	909.17	642.59	769.69	961.07	1127.35	397.93	629.35	543.96	785.88	1066.48	587.13	819.3	848.22	551.56	872.1	748.61	579.04	490.14	878.17	1023.0	921.88	620.67	723.08	947.83	616.37	738.29	684.02	341.51	244.57	441.64	159.9	356.05	389.72	171.45	236.21	197.09	147.06	157.68	406.31	283.05	429.54	194.36	224.97	195.72	205.5	287.01	154.42	226.54	420.68	249.73	158.79	109.66	236.21	145.02	271.48	92.7	189.02	299.25
UBE2T	329.84	417.77	470.14	733.19	432.53	126.12	753.83	165.57	1023.0	1963.57	72.52	470.14	156.59	165.57	647.07	295.11	115.16	221.86	239.52	518.15	358.54	896.64	172.65	241.19	432.53	567.1	79.45	12.55	46.84	32.59	16.63	11.82	42.71	9.93	7.69	23.42	20.11	16.75	21.47	5.54	31.67	0.0	13.03	23.93	6.36	33.06	18.7	24.28	13.22	55.1	16.51	11.47	20.11	30.78	14.56	7.46	17.64	25.91
VPS72	967.76	1304.15	1508.65	1199.98	1001.93	830.75	1208.34	1001.93	1073.91	2335.28	780.44	915.51	921.88	748.61	2163.77	1037.29	830.75	698.41	669.92	1551.09	1143.1	941.27	775.05	974.5	1340.84	1857.6	866.07	389.72	500.46	363.56	295.11	348.71	224.97	373.81	420.68	258.57	358.54	368.65	373.81	389.72	441.64	356.05	525.39	457.25	368.65	463.65	518.15	305.55	507.46	384.34	447.82	301.33	490.14	432.53	273.37	217.27	376.41	275.28
YIF1B	3168.41	1529.73	2520.38	2758.13	2468.49	1191.69	2682.69	1313.23	4704.07	2591.27	1870.53	1963.57	1572.76	2104.58	2193.99	2367.9	2451.44	1540.37	3018.3	2351.53	1628.26	1119.56	1508.65	1313.23	1936.53	2796.65	1870.53	688.78	1119.56	785.88	587.13	587.13	656.11	532.74	733.19	616.37	988.12	603.67	1015.93	674.59	1259.69	616.37	603.67	854.13	575.03	728.11	896.64	684.02	518.15	1397.83	1073.91	698.41	620.67	563.18	587.13	603.67	587.13	529.06
ZFPL1	1183.45	1135.2	1498.22	1066.48	1277.29	902.89	1059.11	1008.9	1250.98	1259.69	1151.06	1233.75	890.44	1008.9	753.83	1277.29	1059.11	759.08	1143.1	1529.73	1023.0	1066.48	1437.15	1044.52	1295.13	1277.29	890.44	759.08	674.59	587.13	620.67	708.18	718.08	902.89	579.04	656.11	764.36	633.73	567.1	679.29	848.22	748.61	780.44	703.28	525.39	764.36	624.99	595.34	836.53	848.22	616.37	698.41	665.29	633.73	532.74	466.88	633.73	733.19
