	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.A3.3378.01A.02R.1325.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.AL.3467.01A.02R.1351.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.R53T.0326.SM.48FEC	GTEX.N7MT.0126.SM.2D7VT	GTEX.Q734.0626.SM.2I3EF	TCGA.HC.7737.11A.02R.2118.07	TCGA.J8.A4HW.01A.11R.A250.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.1211K.0726.SM.5FQUW	GTEX.12WSG.2126.SM.5EGJ7	GTEX.132AR.1526.SM.5KM1L
LIMD2	11992.79	237.86	1350.18	693.58	2758.13	2417.67	312.0	147.06	583.07	532.74	660.68	104.42	518.15	3146.52	511.0	825.0	718.08	420.68	629.35	954.43	860.08	301.33	148.09	813.63	2400.97	128.79	161.02	209.84	1044.52	1286.18	171.45	147.06	231.32	281.09	115.16	249.73	1259.69	116.78	1295.13	265.87	88.88	265.87	208.38	152.28	249.73	217.27	177.53	1175.27	334.46	555.41	669.92	178.77	204.07	136.19	102.97	166.73	409.15
LY86	1674.06	99.43	376.41	854.13	1639.59	1111.82	86.43	158.79	480.04	209.84	647.07	8.0	224.97	353.59	277.2	258.57	182.55	291.04	368.65	332.14	356.05	46.5	120.94	327.56	1551.09	37.85	30.78	57.89	232.94	177.53	63.89	19.11	82.29	107.38	29.7	57.49	229.72	43.32	320.8	48.52	47.5	122.64	80.57	33.78	56.28	69.52	49.56	414.87	105.15	73.54	113.56	44.25	180.02	26.67	18.97	27.84	98.73
MEI1	909.17	45.21	988.12	177.53	155.5	231.32	60.82	49.91	77.25	61.68	173.85	6.67	954.43	162.14	221.86	23.59	181.28	117.6	35.5	89.51	75.11	208.38	18.29	373.81	518.15	36.53	10.0	34.02	624.99	228.13	15.56	13.72	44.57	20.26	26.28	21.78	426.57	29.7	361.04	25.91	18.7	60.39	14.24	23.76	63.0	31.0	17.25	764.36	142.01	114.36	1023.0	17.0	105.15	40.07	22.92	93.35	18.7
MS4A6A	2319.15	728.11	1806.78	8718.32	8778.97	9808.75	536.45	1225.22	2004.85	802.41	1304.15	20.11	1721.16	14461.21	5555.65	6745.86	3768.09	6079.61	5219.6	5995.9	4268.94	2835.7	2485.67	6792.79	14663.09	314.17	167.9	493.56	2303.12	1051.79	314.17	98.73	665.29	579.04	417.77	397.93	1733.13	201.25	2701.35	454.09	358.54	854.13	656.11	256.78	336.79	518.15	283.05	3395.89	1191.69	688.78	1088.92	575.03	1350.18	215.77	406.31	42.71	884.29
MYO1F	368.65	68.07	301.33	1250.98	1199.98	1417.35	54.33	264.03	323.03	163.28	511.0	18.16	447.82	647.07	297.17	277.2	277.2	269.6	204.07	217.27	518.15	248.0	111.21	1745.2	2935.74	37.05	69.52	122.64	518.15	195.72	69.03	64.34	132.44	151.22	69.52	96.01	371.22	63.45	511.0	112.77	76.71	169.07	80.01	82.87	96.68	118.43	68.55	579.04	198.47	211.31	170.25	119.26	206.94	29.48	64.8	201.25	237.86
NCKAP1L	1437.15	88.26	126.12	1191.69	947.83	1628.26	50.27	161.02	194.36	109.66	297.17	1.57	217.27	656.11	208.38	256.78	195.72	229.72	246.28	346.29	202.66	146.03	74.58	915.51	2119.22	80.01	28.04	35.25	438.59	267.73	41.52	12.74	71.5	69.52	40.64	49.91	366.09	49.91	406.31	44.89	45.53	108.9	34.26	25.72	55.89	51.71	37.85	483.38	143.01	209.84	312.0	75.11	106.63	24.11	33.54	19.97	43.32
P2RY10	336.79	11.21	15.56	140.04	187.71	406.31	9.63	5.73	31.22	18.97	16.51	3.06	67.12	94.01	9.7	7.28	10.55	7.88	11.38	13.93	5.59	53.19	2.16	133.36	297.17	5.32	1.83	5.11	124.37	54.72	1.31	1.93	8.65	7.63	0.78	5.28	72.01	2.41	71.5	5.77	6.94	12.18	9.78	5.11	7.88	2.71	7.75	75.64	17.0	8.38	65.26	15.68	10.55	0.73	5.96	38.67	4.46
PDCD1LG2	148.09	11.91	173.85	206.94	99.43	246.28	26.28	18.03	33.54	20.56	31.0	1.27	18.97	131.51	52.45	74.58	19.82	55.49	75.64	96.01	43.94	24.63	33.3	190.34	176.29	27.64	8.13	13.12	91.41	43.63	3.89	4.35	17.25	33.54	11.04	9.41	53.57	5.11	106.63	9.41	16.15	13.93	26.28	12.74	11.3	12.36	8.0	129.69	36.79	22.26	25.72	27.64	14.35	45.21	13.03	24.28	11.91
PIK3R5	182.55	38.95	121.79	346.29	514.56	432.53	19.82	77.79	115.97	46.84	124.37	1.93	128.79	189.02	88.88	66.18	122.64	115.97	118.43	71.0	164.42	57.89	38.12	312.0	693.58	15.91	14.89	29.06	157.68	102.97	23.25	12.0	37.05	39.22	33.78	26.47	102.25	17.0	253.23	37.59	26.28	62.12	32.13	25.91	23.59	33.54	22.26	163.28	108.14	81.14	208.38	16.39	55.1	16.88	23.42	7.22	28.86
PLCB2	878.17	69.52	595.34	921.88	1508.65	1216.75	56.28	277.2	432.53	108.9	665.29	16.51	376.41	1008.9	371.22	414.87	423.61	366.09	379.04	476.71	490.14	218.79	193.01	1191.69	2255.7	62.12	82.29	130.6	514.56	275.28	92.05	68.55	139.07	137.14	81.14	108.9	457.25	29.48	669.92	165.57	41.52	231.32	55.89	105.89	88.88	119.26	112.77	555.41	194.36	204.07	199.85	142.01	111.99	34.51	68.55	82.29	116.78
PLEK	2816.11	106.63	70.51	1857.6	728.11	1883.54	97.36	265.87	267.73	177.53	733.19	4.1	351.14	1104.13	389.72	493.56	361.04	178.77	267.73	409.15	281.09	136.19	127.0	915.51	1757.34	19.25	38.12	44.57	563.18	447.82	46.18	17.13	91.41	87.65	42.11	68.55	532.74	36.53	563.18	70.01	49.91	158.79	48.52	25.17	60.39	82.87	63.89	660.68	170.25	239.52	224.97	81.14	400.71	43.02	39.79	45.85	181.28
PSMB9	7911.95	346.29	1066.48	3124.78	11189.6	10225.32	1023.0	2032.85	2417.67	1794.29	2875.3	325.29	1651.0	2997.45	1015.93	1806.78	1340.84	1605.83	2875.3	2032.85	2193.99	947.83	825.0	6250.56	6887.62	555.41	325.29	1051.79	5006.93	3303.0	759.08	497.0	775.05	961.07	941.27	1143.1	2855.44	1051.79	3491.39	1001.93	915.51	1551.09	674.59	1073.91	1313.23	802.41	866.07	4481.23	1806.78	1151.06	1313.23	642.59	866.07	1135.2	339.14	1359.57	1268.46
PTPN22	206.94	11.82	155.5	119.26	241.19	248.0	18.56	232.94	33.78	23.42	67.59	1.91	71.0	41.81	17.9	11.64	8.13	18.29	9.2	8.71	23.42	44.25	3.35	62.56	214.27	7.75	3.86	13.32	124.37	61.68	6.62	8.99	19.25	15.8	9.27	19.25	72.52	10.24	92.05	13.03	12.27	31.45	15.45	18.56	16.27	15.22	15.91	104.42	36.79	21.63	67.59	16.51	19.11	3.72	7.4	4.62	17.13
PTPRC	3372.43	126.12	406.31	2209.26	2434.5	3212.66	69.52	183.82	339.14	211.31	325.29	5.96	384.34	1135.2	361.04	314.17	251.48	232.94	228.13	197.09	334.46	226.54	87.03	1883.54	2573.36	66.18	33.3	62.56	974.5	669.92	57.08	24.46	145.02	84.04	54.33	92.05	698.41	64.34	934.76	85.22	84.63	124.37	54.72	83.45	81.71	69.52	55.1	733.19	267.73	348.71	748.61	198.47	134.3	37.59	49.21	68.07	115.97
PYHIN1	217.27	10.31	23.76	156.59	603.67	329.84	7.46	5.5	60.82	16.75	43.63	0.96	20.11	66.65	43.94	21.63	39.79	27.64	28.04	13.93	31.22	54.33	18.16	106.63	255.0	18.03	1.55	13.42	164.42	80.01	8.58	6.36	19.97	12.55	4.58	12.45	119.26	3.17	84.04	11.38	7.06	7.4	8.51	10.47	11.73	10.08	7.75	125.24	27.84	11.47	59.97	32.13	26.67	2.25	4.21	10.47	18.43
RUFY4	8.99	1.41	1.19	17.25	143.01	58.71	1.06	0.77	2.94	4.5	53.95	0.0	3.26	14.89	3.29	0.91	18.97	4.58	3.72	10.24	15.56	0.0	0.3	28.24	36.27	2.51	0.0	3.41	12.0	8.92	2.56	0.88	0.33	0.32	0.31	0.31	12.45	2.32	18.84	3.69	0.0	3.0	2.78	0.64	0.65	0.32	2.51	17.38	3.35	3.96	7.46	6.21	6.73	0.72	1.06	0.0	4.7
S1PR4	808.0	15.56	221.86	80.57	153.34	206.94	38.4	22.59	92.7	57.49	63.45	1.57	114.36	204.07	74.58	144.01	63.89	70.51	53.95	27.25	64.8	12.18	41.81	295.11	660.68	7.06	56.28	37.85	149.12	111.99	17.13	29.27	59.97	54.33	19.25	22.26	142.01	18.29	165.57	28.04	24.46	53.95	28.04	34.51	28.86	35.5	31.45	141.02	37.59	118.43	132.44	44.57	39.5	47.17	42.11	25.35	27.25
SAMSN1	708.18	90.14	155.5	463.65	603.67	703.28	61.68	145.02	119.26	120.1	126.12	1.87	198.47	336.79	145.02	130.6	127.89	108.9	121.79	138.1	129.69	92.7	47.17	417.77	301.33	16.03	7.28	20.26	275.28	143.01	13.22	12.0	31.22	43.94	28.24	25.35	161.02	23.08	341.51	24.63	32.59	50.27	23.42	34.75	26.67	30.12	41.52	253.23	90.14	89.51	287.01	31.9	105.15	26.1	12.55	14.35	52.08
SASH3	3491.39	73.03	303.44	753.83	1250.98	1397.83	50.98	147.06	279.14	124.37	287.01	3.14	336.79	595.34	165.57	204.07	118.43	137.14	211.31	167.9	325.29	51.71	59.13	819.3	3928.15	24.63	26.67	67.59	540.19	406.31	40.64	26.28	84.63	65.72	29.7	62.12	480.04	28.86	525.39	58.71	46.5	132.44	31.9	31.67	66.18	63.45	41.22	518.15	127.89	305.55	518.15	80.01	181.28	37.05	53.57	39.5	163.28
SELPLG	1096.5	110.43	1008.9	769.69	1081.39	1175.27	92.05	287.01	476.71	249.73	684.02	6.16	547.75	866.07	262.2	457.25	316.37	420.68	559.28	260.38	497.0	92.05	151.22	2119.22	4836.35	59.97	63.89	181.28	780.44	289.02	102.97	61.68	176.29	154.42	75.64	145.02	417.77	94.67	559.28	100.83	107.38	205.5	132.44	75.11	129.69	119.26	95.34	896.64	256.78	285.03	371.22	142.01	195.72	47.17	73.03	68.55	389.72
SEPT6	4543.8	368.65	866.07	1008.9	1883.54	1551.09	457.25	836.53	493.56	521.76	579.04	291.04	693.58	802.41	860.08	616.37	684.02	412.0	1378.57	791.35	2555.58	723.08	718.08	1044.52	2976.74	647.07	99.43	211.31	860.08	934.76	191.67	157.68	246.28	163.28	102.25	273.37	728.11	209.84	921.88	195.72	201.25	260.38	295.11	201.25	208.38	150.17	169.07	785.88	373.81	669.92	591.22	218.79	220.32	132.44	128.79	318.57	267.73
SH2D1A	403.5	6.41	18.29	155.5	226.54	389.72	4.31	6.46	64.8	17.9	43.63	0.61	16.88	108.9	24.81	5.45	28.86	30.34	22.92	7.28	26.28	38.4	27.05	133.36	193.01	3.32	3.0	5.19	76.71	55.49	2.51	2.78	9.13	3.86	1.27	7.88	78.89	2.58	66.18	6.31	4.35	5.82	3.0	8.45	9.7	2.89	5.5	85.82	18.56	14.89	83.45	15.11	24.46	0.35	10.63	41.81	2.71
SLAMF6	896.64	27.44	78.34	256.78	417.77	521.76	11.38	10.47	91.41	21.63	50.98	2.48	98.73	85.22	79.45	47.17	69.52	193.01	85.82	38.67	41.81	16.75	17.38	150.17	595.34	8.32	2.39	10.96	205.5	169.07	6.26	3.56	20.26	9.34	3.82	9.34	150.17	3.63	166.73	10.24	9.63	16.63	4.7	16.39	20.26	6.52	3.76	191.67	53.95	62.12	327.56	77.79	62.56	10.71	31.45	3.23	19.82
SNX20	688.78	18.56	148.09	329.84	616.37	669.92	31.67	67.12	82.29	63.0	144.01	3.14	132.44	183.82	80.01	48.87	59.55	62.12	45.21	53.57	132.44	27.84	30.34	320.8	1350.18	8.99	10.63	18.84	175.07	105.15	11.13	9.13	32.59	26.1	12.64	27.44	152.28	22.43	154.42	23.42	21.16	64.8	13.03	9.34	19.97	22.75	20.56	191.67	45.85	76.71	122.64	27.64	47.84	5.59	10.24	7.46	14.35
SPI1	2645.74	195.72	802.41	1832.01	2875.3	2682.69	158.79	785.88	878.17	444.72	1709.26	16.27	954.43	1769.57	688.78	866.07	543.96	679.29	647.07	872.1	884.29	267.73	353.59	1487.87	4123.49	127.89	138.1	224.97	1088.92	679.29	150.17	132.44	341.51	314.17	190.34	316.37	866.07	232.94	1183.45	215.77	180.02	579.04	164.42	147.06	264.03	265.87	297.17	1529.73	429.54	591.22	567.1	251.48	403.5	109.66	98.73	106.63	281.09
TLR8	36.79	5.54	20.41	336.79	187.71	236.21	8.32	14.35	21.47	16.39	42.11	0.31	40.07	88.26	35.5	25.17	23.76	42.71	21.16	17.25	51.35	5.68	11.3	134.3	316.37	0.75	2.25	1.91	41.81	15.45	1.69	0.78	11.64	10.96	2.51	5.19	28.65	0.87	40.36	3.99	4.03	11.82	4.21	1.43	3.14	4.31	1.1	59.97	16.63	16.63	22.59	10.96	8.71	2.73	5.06	0.66	9.2
TNFAIP8L2	633.73	43.63	130.6	387.02	603.67	521.76	30.78	115.97	177.53	132.44	376.41	6.67	176.29	503.95	253.23	307.69	205.5	224.97	269.6	237.86	251.48	21.94	176.29	384.34	1143.1	29.27	16.27	65.26	221.86	161.02	36.53	21.94	71.5	60.39	30.56	85.22	223.41	62.12	180.02	53.95	39.79	108.14	50.63	21.78	69.52	47.17	47.17	327.56	100.13	114.36	87.65	55.49	116.78	42.41	37.05	31.0	129.69
TRAT1	162.14	6.21	2.18	84.63	121.79	363.56	8.0	6.52	37.59	12.83	24.63	2.18	12.64	45.85	2.56	6.16	12.36	35.5	14.56	1.89	17.64	21.01	6.26	95.34	108.9	2.39	0.16	4.94	78.34	29.91	1.2	1.11	2.89	1.77	1.71	2.2	33.78	0.0	36.53	2.14	3.56	5.06	4.5	0.69	2.78	1.27	1.19	53.95	14.14	15.68	43.02	16.39	15.45	0.0	7.63	6.26	4.35
UBASH3A	121.79	3.2	36.79	75.11	131.51	221.86	4.74	5.45	34.02	10.0	35.5	0.0	21.16	36.27	17.51	9.78	14.89	28.45	9.7	17.64	36.79	21.94	1.36	58.3	242.88	1.43	0.47	7.82	74.06	21.47	4.58	4.03	10.24	3.29	1.41	8.32	46.5	2.97	36.27	8.06	4.78	11.82	2.18	7.63	13.93	3.03	3.14	59.97	15.45	16.75	30.56	8.45	15.91	5.19	3.86	18.29	12.27
VMO1	140.04	14.89	470.14	85.22	603.67	703.28	58.71	104.42	185.11	127.0	656.11	4.74	77.79	624.99	595.34	463.65	426.57	209.84	543.96	320.8	563.18	269.6	441.64	199.85	441.64	40.93	16.51	29.06	137.14	39.5	12.45	10.31	24.11	43.63	23.42	35.76	69.52	11.38	124.37	35.76	31.22	96.68	11.64	15.91	30.56	34.51	37.59	269.6	39.22	26.86	35.76	28.04	71.0	36.01	3.5	44.57	131.51
WAS	2645.74	62.12	387.02	915.51	1519.15	1551.09	65.72	193.01	312.0	170.25	384.34	19.25	389.72	780.44	221.86	277.2	279.14	283.05	289.02	151.22	291.04	146.03	115.16	941.27	2075.59	69.52	38.95	86.43	497.0	500.46	78.89	36.27	106.63	79.45	50.63	82.29	441.64	51.71	521.76	67.59	71.5	134.3	64.34	47.84	80.57	72.52	60.39	511.0	176.29	251.48	366.09	63.45	142.01	57.08	59.97	39.22	85.82
ZNF831	66.18	1.33	6.57	22.75	30.78	55.49	1.01	1.08	7.94	1.48	4.43	5.59	2.78	7.75	2.36	1.69	8.25	7.06	3.86	1.14	3.92	3.47	2.29	15.91	45.21	0.51	0.34	0.89	17.38	18.16	0.34	0.32	2.14	0.95	0.34	0.92	15.8	0.35	19.82	0.88	0.65	1.81	0.37	1.75	0.93	0.66	0.89	13.72	5.02	3.41	38.12	3.86	12.09	1.68	5.06	1.71	2.36
