	TCGA.LL.A440.01A.11R.A24H.07	TCGA.IG.A4QT.01A.21R.A260.31	TCGA.LN.A8I1.01A.11R.A36D.31	GTEX.N7MS.1626.SM.3LK5F	TCGA.A4.8518.01A.11R.2404.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.55.8510.01A.11R.2403.07	TCGA.86.8671.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.55.7728.01A.11R.2187.07	TCGA.44.7660.01A.11R.2066.07	TCGA.86.A4P7.01A.11R.A24X.07	TCGA.97.8552.01A.11R.2403.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.38.4632.11A.01R.1755.07	GTEX.P44H.1126.SM.48TBU	GTEX.QV44.0926.SM.2S1RH	GTEX.X5EB.0426.SM.46MVY	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.22.1016.01A.01R.0692.07	TCGA.18.3411.01A.01R.0980.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.90.7964.01A.21R.2187.07	TCGA.21.1081.01A.01R.0692.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07
CEP164	470.14	567.1	373.81	62.56	114.36	228.13	214.27	178.77	76.71	237.86	135.24	182.55	94.67	59.55	182.55	209.84	173.85	152.28	181.28	155.5	264.03	107.38	96.68	231.32	128.79	255.0	120.1	110.43	62.12	123.5	208.38	126.12	253.23	118.43	110.43	122.64	178.77	149.12	182.55	171.45	221.86	139.07	98.73	60.82	63.0	36.01	159.9	96.01	67.59	151.22	124.37	140.04	97.36	90.77	73.03	108.14	87.03	343.89	101.54	82.29	109.66	55.49	493.56	507.46	379.04	435.55	358.54	325.29	376.41	389.72	503.95	253.23	718.08	206.94	186.4	483.38	105.15	575.03	303.44	587.13	264.03	205.5	341.51	320.8	275.28	438.59	115.16	387.02	314.17	289.02	236.21	206.94
CEP192	295.11	420.68	186.4	105.15	76.71	211.31	128.79	178.77	69.52	167.9	83.45	151.22	48.52	102.25	75.64	122.64	90.14	94.67	145.02	126.12	209.84	92.05	90.14	108.14	147.06	150.17	105.15	88.26	34.02	64.8	118.43	175.07	185.11	63.89	82.29	156.59	124.37	72.52	86.43	133.36	208.38	92.7	62.12	49.21	57.49	76.17	158.79	120.1	79.45	130.6	198.47	50.63	96.68	99.43	103.69	102.97	127.89	111.99	53.57	69.03	35.25	84.63	353.59	248.0	358.54	334.46	162.14	273.37	429.54	423.61	339.14	447.82	255.0	232.94	348.71	279.14	155.5	312.0	191.67	435.55	323.03	318.57	205.5	409.15	341.51	269.6	197.09	236.21	249.73	500.46	255.0	182.55
CIC	1304.15	1467.37	1216.75	256.78	616.37	738.29	718.08	723.08	921.88	884.29	878.17	698.41	1015.93	493.56	1051.79	842.36	1216.75	796.86	995.0	651.58	981.29	703.28	457.25	791.35	595.34	698.41	579.04	532.74	323.03	518.15	769.69	642.59	674.59	723.08	723.08	555.41	583.07	457.25	961.07	559.28	733.19	656.11	551.56	466.88	435.55	314.17	269.6	486.75	591.22	248.0	432.53	293.07	387.02	353.59	353.59	575.03	262.2	559.28	368.65	647.07	563.18	339.14	1199.98	981.29	1331.57	808.0	743.43	974.5	1059.11	1104.13	928.3	854.13	1030.12	703.28	1498.22	1143.1	500.46	1769.57	571.05	941.27	607.87	775.05	941.27	603.67	842.36	1350.18	366.09	1183.45	1340.84	1208.34	785.88	642.59
CLASRP	1605.83	3564.78	3928.15	141.02	289.02	1081.39	1242.34	651.58	343.89	1159.07	371.22	669.92	490.14	460.44	316.37	796.86	444.72	819.3	1242.34	842.36	1331.57	684.02	500.46	947.83	1286.18	1175.27	1359.57	860.08	353.59	759.08	1427.22	660.68	1963.57	633.73	860.08	915.51	1331.57	629.35	1417.35	872.1	934.76	1208.34	808.0	316.37	246.28	183.82	567.1	1051.79	902.89	684.02	521.76	463.65	674.59	665.29	529.06	493.56	441.64	1313.23	511.0	532.74	647.07	473.41	2193.99	1794.29	1519.15	1909.85	3372.43	2701.35	2047.0	1628.26	1806.78	2875.3	2287.2	1369.04	2417.67	2384.37	397.93	1397.83	1015.93	1963.57	1407.55	785.88	1216.75	775.05	934.76	1857.6	429.54	2240.11	1806.78	3372.43	2061.24	848.22
CMTR1	540.19	796.86	669.92	265.87	325.29	466.88	373.81	460.44	361.04	507.46	414.87	412.0	460.44	463.65	529.06	432.53	438.59	450.94	397.93	343.89	497.0	579.04	406.31	441.64	753.83	463.65	264.03	356.05	353.59	376.41	612.11	447.82	507.46	373.81	503.95	406.31	674.59	356.05	688.78	356.05	423.61	532.74	432.53	373.81	289.02	258.57	400.71	414.87	414.87	384.34	532.74	409.15	463.65	339.14	221.86	450.94	339.14	466.88	339.14	387.02	242.88	409.15	759.08	595.34	819.3	587.13	638.15	748.61	579.04	723.08	567.1	902.89	703.28	363.56	759.08	723.08	444.72	693.58	769.69	713.11	656.11	532.74	738.29	698.41	802.41	830.75	486.75	490.14	567.1	961.07	571.05	447.82
CNN2	4239.45	5255.91	3060.45	1819.35	532.74	1857.6	1313.23	2468.49	277.2	909.17	974.5	389.72	2119.22	1697.45	1044.52	2119.22	1331.57	1561.89	540.19	426.57	460.44	1111.82	389.72	796.86	674.59	1447.15	486.75	361.04	507.46	872.1	514.56	878.17	115.16	236.21	1127.35	981.29	575.03	928.3	2287.2	808.0	1044.52	775.05	961.07	1135.2	651.58	1447.15	1081.39	674.59	830.75	1008.9	165.57	480.04	473.41	836.53	802.41	665.29	518.15	429.54	1529.73	1159.07	1167.14	248.0	4769.75	3874.05	4769.75	2555.58	3325.99	3847.29	2303.12	4704.07	3589.58	1467.37	6935.54	555.41	1594.73	3955.48	3540.14	7537.18	3257.52	5076.84	1066.48	5329.3	3928.15	4328.55	4481.23	3515.68	2417.67	4575.41	3303.0	5711.87	1651.0	4010.71
COX19	201.25	285.03	237.86	88.26	47.84	151.22	220.32	99.43	51.71	195.72	46.84	93.35	67.59	124.37	55.89	111.21	129.69	153.34	176.29	105.15	99.43	118.43	78.34	79.45	101.54	136.19	178.77	231.32	57.08	117.6	131.51	102.25	107.38	65.26	112.77	98.04	79.45	109.66	115.97	120.94	139.07	79.45	75.64	47.5	52.45	42.71	57.08	84.04	53.57	62.12	49.21	88.26	69.03	64.8	120.94	85.82	41.81	127.0	95.34	59.55	72.01	24.63	199.85	248.0	178.77	143.01	169.07	265.87	312.0	154.42	191.67	237.86	244.57	100.83	139.07	175.07	132.44	234.57	129.69	265.87	163.28	133.36	76.71	142.01	132.44	171.45	78.89	173.85	158.79	392.44	237.86	128.79
CPSF3L	2271.4	3515.68	2956.17	785.88	909.17	1551.09	1583.71	1167.14	1143.1	1628.26	1322.37	1498.22	1304.15	1427.22	1561.89	1519.15	1487.87	1697.45	1388.16	1295.13	1909.85	1551.09	1733.13	1059.11	1378.57	1073.91	1487.87	1313.23	1594.73	1561.89	1781.89	1551.09	1250.98	1674.06	785.88	1617.0	2664.15	2417.67	1437.15	1487.87	1104.13	2133.97	1388.16	1044.52	1001.93	457.25	954.43	1427.22	1313.23	954.43	1870.53	1044.52	1081.39	947.83	967.76	1437.15	688.78	1508.65	1242.34	1313.23	1477.58	708.18	2720.15	2502.97	2133.97	1963.57	3168.41	2609.3	1923.14	2997.45	3349.13	2434.5	3257.52	1388.16	1950.0	2895.31	1073.91	1923.14	1407.55	2451.44	2224.63	1519.15	1991.0	1733.13	1529.73	1662.49	848.22	2335.28	3103.19	3742.05	2240.11	1378.57
CTRL	18.29	47.5	17.77	11.82	7.63	18.56	33.3	11.64	7.22	34.75	9.85	3.99	4.21	7.34	6.46	10.47	9.93	14.24	15.11	18.56	46.18	14.35	19.25	2.32	10.71	10.63	20.71	18.84	5.36	10.16	16.51	6.67	10.0	6.94	9.27	3.56	17.51	15.0	18.29	20.56	15.11	11.91	11.55	1.22	4.39	3.79	9.93	15.56	3.89	11.91	9.2	14.35	13.12	7.69	6.78	6.84	2.32	6.26	5.59	5.68	1.3	6.52	84.04	46.84	53.57	70.51	63.45	59.55	65.72	50.63	67.12	61.68	52.82	13.03	26.1	91.41	19.97	57.89	12.55	19.53	33.06	22.75	28.86	13.42	17.0	44.89	20.86	47.17	38.67	100.13	37.32	25.91
DAZAP1	2061.24	2855.44	2351.53	860.08	1023.0	1594.73	1498.22	2271.4	1350.18	2367.9	1457.23	1331.57	1832.01	1427.22	1498.22	1697.45	1583.71	1685.71	1857.6	1508.65	1733.13	1936.53	2209.26	1628.26	2163.77	2319.15	1583.71	2119.22	1073.91	1417.35	1936.53	1697.45	2018.8	1529.73	1304.15	1233.75	2367.9	2384.37	2004.85	1605.83	2104.58	2758.13	1883.54	1313.23	909.17	1191.69	1340.84	1519.15	1233.75	974.5	1111.82	1159.07	1529.73	995.0	1685.71	2178.83	796.86	1605.83	1044.52	1991.0	2148.82	995.0	2193.99	2148.82	2384.37	1870.53	2609.3	2047.0	2451.44	2335.28	1870.53	1781.89	2451.44	1819.35	2209.26	2271.4	1397.83	1745.2	1674.06	1467.37	2335.28	1369.04	1208.34	1519.15	1498.22	2004.85	1427.22	2303.12	2367.9	3443.31	1909.85	1561.89
DCAF15	759.08	1806.78	1923.14	249.73	234.57	616.37	536.45	490.14	332.14	567.1	312.0	373.81	420.68	312.0	395.18	507.46	423.61	536.45	476.71	595.34	231.32	363.56	346.29	307.69	395.18	679.29	379.04	575.03	171.45	426.57	429.54	389.72	703.28	187.71	447.82	376.41	316.37	295.11	420.68	403.5	486.75	591.22	368.65	273.37	173.85	220.32	251.48	303.44	323.03	224.97	384.34	155.5	291.04	255.0	177.53	339.14	178.77	624.99	177.53	291.04	363.56	155.5	1023.0	872.1	1001.93	872.1	961.07	1286.18	638.15	1001.93	753.83	785.88	1167.14	351.14	603.67	909.17	361.04	1819.35	563.18	1417.35	813.63	808.0	656.11	674.59	444.72	743.43	1008.9	728.11	571.05	974.5	1143.1	514.56
DCAF16	366.09	265.87	175.07	167.9	78.89	135.24	130.6	156.59	87.03	175.07	98.04	162.14	84.04	115.16	147.06	93.35	126.12	99.43	57.49	85.22	84.63	94.67	33.54	92.05	74.58	134.3	56.28	39.79	72.52	44.89	69.03	40.93	98.04	64.34	31.45	112.77	112.77	60.82	140.04	80.57	111.21	96.68	74.06	32.82	30.56	65.72	81.14	52.82	137.14	63.45	112.77	54.33	23.42	28.04	18.56	102.25	28.24	101.54	46.5	41.22	56.68	11.64	327.56	161.02	237.86	223.41	232.94	223.41	426.57	229.72	223.41	237.86	241.19	191.67	212.78	277.2	115.97	351.14	165.57	185.11	218.79	169.07	92.7	138.1	301.33	540.19	128.79	279.14	211.31	500.46	183.82	172.65
DDX39B	8134.41	9945.68	14867.79	2502.97	2319.15	4704.07	4639.29	4388.98	3303.0	5672.41	3235.01	3874.05	3467.27	4512.4	4123.49	4388.98	3847.29	5041.77	4481.23	2609.3	4575.41	6079.61	3235.01	2976.74	5255.91	3742.05	3982.99	6887.62	2555.58	4836.35	6983.79	3443.31	5995.9	3901.01	3716.2	3443.31	5872.48	4388.98	5954.47	3955.48	3820.7	4066.71	3874.05	2148.82	3491.39	2148.82	2976.74	4869.99	4298.64	2835.7	3928.15	2682.69	3742.05	3395.89	2777.33	4066.71	2720.15	5441.3	3303.0	3018.3	3982.99	1639.59	8191.0	7695.57	6164.49	7280.4	11267.44	9215.48	10883.59	7803.01	6840.04	11504.21	7642.41	5183.54	8305.36	9945.68	4210.15	12160.22	5913.33	7642.41	9540.5	3820.7	6337.83	3491.39	5517.27	9151.82	2895.31	8363.13	9808.75	17197.56	9088.59	5479.15
DEF6	551.56	6079.61	476.71	10.88	46.18	547.75	368.65	718.08	136.19	444.72	190.34	14.67	256.78	108.14	320.8	327.56	348.71	486.75	226.54	109.66	124.37	130.6	73.03	58.71	224.97	71.5	185.11	122.64	9.48	51.71	29.91	56.28	37.32	48.52	134.3	39.22	31.67	63.45	55.49	244.57	457.25	94.67	125.24	53.19	58.3	70.01	143.01	102.97	98.73	87.03	127.89	70.01	234.57	61.68	39.5	59.13	92.05	267.73	182.55	35.76	65.26	32.59	947.83	909.17	1551.09	551.56	693.58	1651.0	305.55	909.17	693.58	656.11	1208.34	180.02	748.61	808.0	329.84	1583.71	507.46	1051.79	703.28	583.07	536.45	497.0	567.1	387.02	265.87	563.18	703.28	616.37	1277.29	463.65
DENND4B	872.1	2209.26	1259.69	89.51	218.79	728.11	497.0	543.96	253.23	543.96	346.29	334.46	332.14	224.97	368.65	579.04	529.06	486.75	607.87	420.68	529.06	493.56	248.0	579.04	521.76	688.78	563.18	476.71	163.28	281.09	612.11	1037.29	595.34	429.54	414.87	351.14	518.15	287.01	693.58	567.1	503.95	358.54	423.61	154.42	190.34	96.68	165.57	265.87	204.07	224.97	591.22	114.36	197.09	291.04	172.65	215.77	175.07	351.14	397.93	236.21	189.02	209.84	1359.57	1295.13	1322.37	1304.15	796.86	1437.15	1044.52	1551.09	941.27	2956.17	1378.57	616.37	1295.13	1519.15	397.93	1268.46	1111.82	1175.27	642.59	480.04	764.36	759.08	381.68	1183.45	316.37	1143.1	748.61	1167.14	1277.29	551.56
DGCR8	629.35	406.31	397.93	155.5	112.77	237.86	242.88	220.32	126.12	387.02	198.47	191.67	159.9	155.5	194.36	241.19	217.27	291.04	256.78	178.77	256.78	229.72	180.02	215.77	248.0	275.28	190.34	189.02	167.9	194.36	397.93	312.0	169.07	190.34	181.28	232.94	329.84	209.84	194.36	202.66	195.72	162.14	190.34	166.73	181.28	115.97	159.9	214.27	231.32	209.84	323.03	158.79	150.17	275.28	197.09	295.11	144.01	559.28	218.79	143.01	167.9	143.01	521.76	490.14	480.04	463.65	559.28	536.45	718.08	490.14	507.46	429.54	603.67	587.13	624.99	612.11	164.42	285.03	486.75	624.99	283.05	346.29	325.29	432.53	295.11	575.03	136.19	563.18	507.46	866.07	348.71	246.28
DIP2A	490.14	647.07	426.57	55.1	137.14	366.09	277.2	249.73	133.36	339.14	144.01	187.71	115.97	176.29	165.57	242.88	201.25	153.34	175.07	171.45	211.31	110.43	151.22	209.84	116.78	229.72	126.12	121.79	82.29	119.26	181.28	175.07	289.02	92.7	128.79	73.54	161.02	99.43	144.01	199.85	221.86	150.17	98.04	75.64	75.11	62.56	118.43	102.97	153.34	77.25	193.01	87.03	117.6	104.42	117.6	158.79	100.13	165.57	186.4	66.65	108.9	90.77	802.41	480.04	432.53	547.75	373.81	674.59	277.2	575.03	476.71	738.29	583.07	217.27	921.88	607.87	195.72	764.36	392.44	543.96	249.73	229.72	332.14	275.28	441.64	368.65	146.03	511.0	387.02	802.41	336.79	271.48
DMTF1	1286.18	2075.59	1651.0	93.35	132.44	575.03	595.34	224.97	119.26	1030.12	106.63	297.17	39.22	231.32	98.04	223.41	336.79	113.56	392.44	256.78	599.49	193.01	208.38	463.65	236.21	376.41	226.54	239.52	142.01	170.25	287.01	262.2	299.25	262.2	145.02	253.23	346.29	212.78	373.81	432.53	353.59	285.03	224.97	31.22	99.43	42.11	212.78	234.57	169.07	183.82	253.23	223.41	135.24	218.79	145.02	214.27	110.43	309.83	353.59	84.04	93.35	150.17	1709.26	902.89	995.0	1277.29	928.3	1167.14	928.3	1183.45	1127.35	890.44	1135.2	438.59	1104.13	1233.75	381.68	1250.98	603.67	1001.93	656.11	454.09	532.74	651.58	1073.91	1044.52	358.54	1417.35	543.96	1498.22	1044.52	728.11
DNHD1	214.27	400.71	152.28	14.45	19.68	107.38	105.89	36.53	12.93	104.42	20.71	42.11	17.64	23.93	14.24	57.08	24.63	18.97	101.54	142.01	146.03	63.0	72.52	193.01	102.97	77.25	83.45	101.54	41.81	52.08	376.41	73.03	85.22	76.71	90.14	87.03	94.01	103.69	97.36	127.89	88.26	98.73	37.85	18.29	21.63	7.94	71.0	117.6	74.06	54.72	27.05	43.32	51.71	46.5	56.68	24.63	26.28	221.86	37.59	15.68	36.27	45.21	341.51	151.22	244.57	187.71	159.9	176.29	158.79	283.05	228.13	122.64	334.46	134.3	152.28	356.05	41.22	457.25	81.14	316.37	149.12	96.68	137.14	140.04	182.55	178.77	42.41	260.38	239.52	116.78	149.12	103.69
DPH7	698.41	1199.98	1088.92	98.73	169.07	463.65	450.94	356.05	181.28	591.22	220.32	305.55	248.0	181.28	170.25	395.18	236.21	429.54	536.45	256.78	514.56	260.38	215.77	336.79	403.5	457.25	493.56	384.34	131.51	297.17	688.78	244.57	438.59	194.36	283.05	229.72	389.72	371.22	371.22	409.15	486.75	255.0	381.68	111.21	125.24	54.33	169.07	265.87	223.41	218.79	194.36	237.86	241.19	159.9	221.86	234.57	112.77	518.15	214.27	189.02	215.77	119.26	1030.12	769.69	780.44	703.28	842.36	902.89	808.0	698.41	708.18	1286.18	909.17	579.04	688.78	872.1	356.05	728.11	543.96	759.08	921.88	432.53	389.72	379.04	429.54	642.59	400.71	825.0	400.71	713.11	1088.92	486.75
E4F1	521.76	567.1	819.3	149.12	215.77	438.59	397.93	314.17	348.71	403.5	332.14	255.0	351.14	269.6	381.68	412.0	285.03	420.68	371.22	381.68	271.48	353.59	260.38	267.73	575.03	212.78	480.04	476.71	239.52	341.51	507.46	473.41	265.87	283.05	571.05	503.95	830.75	483.38	543.96	403.5	358.54	708.18	423.61	234.57	204.07	108.14	256.78	301.33	246.28	264.03	223.41	156.59	241.19	223.41	241.19	236.21	173.85	447.82	208.38	260.38	172.65	164.42	547.75	669.92	591.22	414.87	921.88	624.99	438.59	551.56	599.49	493.56	599.49	334.46	599.49	543.96	204.07	420.68	236.21	718.08	521.76	332.14	320.8	397.93	256.78	463.65	244.57	571.05	473.41	854.13	450.94	262.2
EIF2B5	1119.56	1721.16	1397.83	555.41	842.36	981.29	1167.14	665.29	723.08	1088.92	669.92	688.78	555.41	567.1	642.59	896.64	579.04	743.43	866.07	769.69	1167.14	819.3	603.67	595.34	902.89	1561.89	738.29	934.76	764.36	860.08	1059.11	825.0	884.29	988.12	684.02	961.07	1127.35	995.0	941.27	796.86	796.86	909.17	723.08	571.05	587.13	470.14	540.19	909.17	934.76	579.04	921.88	567.1	603.67	693.58	507.46	791.35	500.46	796.86	684.02	872.1	748.61	532.74	1250.98	1233.75	1143.1	1199.98	1639.59	1331.57	3081.75	988.12	1369.04	2133.97	1407.55	1277.29	1832.01	1340.84	698.41	1685.71	1242.34	1286.18	1529.73	718.08	872.1	713.11	1104.13	1111.82	2032.85	1417.35	1651.0	2835.7	2303.12	872.1
EME2	186.4	353.59	346.29	9.41	66.18	183.82	150.17	49.56	152.28	241.19	177.53	100.83	50.27	90.77	59.97	202.66	55.1	66.65	145.02	142.01	190.34	52.82	78.34	79.45	128.79	41.52	81.71	82.29	56.28	88.26	185.11	202.66	73.03	36.27	78.89	62.12	88.88	144.01	94.67	115.97	89.51	55.1	82.87	25.35	10.24	16.51	22.59	56.68	48.52	34.26	90.77	31.0	29.7	32.82	25.17	55.89	19.39	97.36	62.56	31.22	33.78	24.46	325.29	228.13	218.79	241.19	285.03	441.64	122.64	406.31	387.02	223.41	759.08	127.89	314.17	420.68	50.63	221.86	417.77	297.17	114.36	97.36	232.94	221.86	102.97	212.78	38.12	293.07	241.19	480.04	348.71	132.44
ERCC3	819.3	1183.45	961.07	242.88	343.89	567.1	679.29	470.14	316.37	878.17	403.5	525.39	346.29	500.46	420.68	457.25	497.0	441.64	376.41	376.41	441.64	438.59	381.68	507.46	507.46	454.09	343.89	381.68	336.79	371.22	493.56	373.81	511.0	253.23	373.81	555.41	759.08	291.04	555.41	423.61	480.04	371.22	397.93	258.57	271.48	215.77	256.78	332.14	447.82	253.23	348.71	309.83	229.72	381.68	151.22	379.04	217.27	511.0	366.09	244.57	241.19	299.25	947.83	954.43	753.83	802.41	915.51	743.43	791.35	753.83	796.86	1159.07	1023.0	703.28	981.29	872.1	486.75	1340.84	660.68	921.88	775.05	607.87	764.36	738.29	796.86	723.08	909.17	629.35	884.29	802.41	884.29	665.29
ERV3-1	389.72	244.57	325.29	70.51	100.83	124.37	56.28	137.14	106.63	325.29	49.56	68.07	323.03	70.01	92.05	236.21	121.79	84.04	88.26	98.04	70.51	27.25	40.93	117.6	123.5	61.25	47.84	34.26	35.25	48.87	43.94	54.33	45.85	127.0	61.25	42.11	79.45	33.06	116.78	52.08	115.97	71.0	48.87	18.84	32.82	80.57	57.08	27.05	34.51	45.53	88.26	23.42	29.48	53.95	37.32	38.4	84.04	59.55	156.59	15.34	19.82	54.33	181.28	223.41	420.68	303.44	802.41	769.69	208.38	211.31	432.53	91.41	813.63	343.89	1896.65	559.28	140.04	414.87	78.89	723.08	122.64	99.43	267.73	249.73	239.52	381.68	102.97	376.41	285.03	713.11	193.01	144.01
EXOSC10	1183.45	1286.18	878.17	312.0	525.39	825.0	743.43	543.96	483.38	802.41	563.18	819.3	511.0	551.56	591.22	591.22	669.92	540.19	500.46	518.15	878.17	607.87	518.15	476.71	616.37	470.14	547.75	392.44	454.09	624.99	660.68	587.13	579.04	775.05	381.68	698.41	1104.13	974.5	587.13	579.04	529.06	599.49	555.41	400.71	339.14	392.44	503.95	412.0	507.46	414.87	791.35	363.56	353.59	420.68	366.09	693.58	348.71	624.99	412.0	361.04	361.04	301.33	1167.14	1119.56	1037.29	1081.39	1295.13	1127.35	775.05	1151.06	1233.75	1199.98	1259.69	529.06	872.1	1096.5	532.74	1674.06	591.22	878.17	1037.29	733.19	497.0	1066.48	796.86	1277.29	444.72	1030.12	1551.09	1685.71	1250.98	775.05
FAM156A	599.49	607.87	769.69	4.1	68.55	265.87	332.14	112.77	37.32	339.14	34.02	92.05	84.04	87.65	26.1	148.09	72.52	102.97	201.25	180.02	185.11	71.0	44.89	251.48	144.01	62.56	260.38	264.03	43.02	169.07	105.89	132.44	187.71	81.14	82.29	133.36	117.6	55.1	299.25	246.28	142.01	126.12	99.43	37.85	41.22	23.25	63.0	106.63	71.5	50.63	187.71	72.52	82.87	88.26	89.51	90.14	19.53	194.36	126.12	32.59	102.25	37.59	848.22	567.1	264.03	633.73	480.04	624.99	285.03	490.14	733.19	395.18	674.59	260.38	325.29	616.37	147.06	633.73	368.65	521.76	389.72	339.14	303.44	307.69	273.37	397.93	62.12	647.07	256.78	291.04	457.25	223.41
FLJ00104	56.68	111.99	78.89	5.19	15.45	32.13	33.78	13.72	13.42	60.39	12.0	12.09	10.16	3.14	19.11	19.25	23.25	12.36	24.28	14.89	22.92	12.55	10.16	12.18	19.53	10.96	15.34	11.21	7.0	10.63	9.13	9.63	23.76	11.64	4.74	10.16	31.22	10.63	11.21	20.26	20.41	9.41	10.16	5.92	8.25	0.45	7.46	17.38	6.36	11.38	12.45	9.34	6.57	7.51	4.62	6.36	4.1	31.67	18.43	4.06	4.39	4.66	79.45	41.52	68.07	61.68	72.52	58.71	109.66	72.01	52.82	52.45	81.14	29.91	54.72	96.01	9.7	45.21	33.78	85.22	77.79	22.59	35.76	24.28	7.63	53.57	11.64	70.51	37.85	49.91	61.25	20.26
FLJ00418	25.72	17.77	46.84	0.02	2.58	2.68	2.16	3.92	0.84	11.82	1.91	0.92	2.32	4.21	0.8	4.54	1.95	0.39	11.82	6.36	10.16	8.92	8.45	26.1	10.31	39.5	13.03	11.3	14.24	4.46	12.45	7.34	14.78	9.7	5.23	9.13	9.2	4.7	7.75	5.68	3.66	8.0	7.0	0.0	5.73	1.14	4.28	6.06	8.78	7.63	10.31	2.71	5.45	3.32	1.06	5.11	1.46	11.38	4.86	10.31	11.3	1.16	24.11	15.91	10.31	7.75	13.03	16.51	23.76	30.12	35.25	26.1	40.07	2.66	7.69	16.75	1.79	10.24	7.82	34.26	12.09	8.25	5.5	11.82	13.22	18.43	6.01	20.26	27.05	35.76	16.88	5.41
FNBP4	1304.15	2627.46	1081.39	145.02	155.5	447.82	444.72	376.41	115.16	836.53	137.14	368.65	78.34	358.54	206.94	186.4	289.02	165.57	514.56	387.02	579.04	320.8	251.48	579.04	379.04	656.11	289.02	214.27	229.72	246.28	420.68	267.73	563.18	351.14	193.01	414.87	438.59	256.78	429.54	457.25	457.25	334.46	246.28	65.72	147.06	109.66	206.94	371.22	320.8	336.79	389.72	185.11	143.01	262.2	138.1	239.52	105.89	514.56	204.07	187.71	224.97	180.02	1896.65	693.58	1096.5	1286.18	1023.0	1709.26	1151.06	1674.06	1119.56	1359.57	1963.57	616.37	1628.26	1745.2	457.25	1313.23	423.61	947.83	748.61	511.0	303.44	703.28	1551.09	1794.29	318.57	1781.89	1015.93	896.64	1617.0	733.19
