	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.E9.A1RE.01A.11R.A157.07	TCGA.BH.A0E7.01A.11R.A034.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.BH.A0H6.01A.21R.A056.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A7.A13H.01A.11R.A22K.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.E9.A1NH.01A.11R.A14D.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E2.A1LK.01A.21R.A14D.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.EX.A3L1.01A.11R.A32Y.07	TCGA.43.6771.01A.11R.1820.07
PTDSS1	743.43	2271.4	3665.02	2485.67	1359.57	2255.7	1477.58	1216.75	5366.37	4095.0	5711.87	1721.16	2271.4	1175.27	1583.71	884.29	2148.82	2148.82	3589.58	1159.07	3303.0	1030.12	2720.15	1104.13	1977.24	2997.45	808.0	1277.29	848.22	1081.39	1709.26	1119.56	2609.3	2451.44	1167.14	2591.27	1832.01	2645.74	4704.07	2032.85	8305.36	6887.62	1437.15	1268.46	1151.06	1745.2	1551.09	2163.77	1844.76	1159.07	1037.29	3874.05	1159.07	2384.37	2061.24	1605.83	748.61	1233.75
PTK2	866.07	2209.26	4419.52	2502.97	1135.2	2555.58	1216.75	1259.69	3419.52	2104.58	3280.18	1991.0	2209.26	1427.22	1233.75	1119.56	2255.7	2627.46	3491.39	1617.0	2720.15	1487.87	2758.13	974.5	1819.35	2915.45	915.51	1081.39	1508.65	1159.07	2061.24	1051.79	1551.09	1651.0	928.3	2209.26	1088.92	3491.39	2555.58	1001.93	4038.61	5006.93	1369.04	1167.14	1304.15	1295.13	1628.26	1199.98	1104.13	1119.56	1081.39	1304.15	620.67	1950.0	753.83	1757.34	785.88	665.29
RAB2A	1001.93	4543.8	10154.69	5255.91	2682.69	9808.75	4607.24	2915.45	13033.07	5954.47	10733.74	5006.93	4543.8	5219.6	2855.44	3146.52	4010.71	5594.3	6887.62	3690.52	5633.22	4704.07	8134.41	2367.9	3928.15	6294.04	2609.3	3257.52	4010.71	3212.66	4038.61	1832.01	4512.4	6983.79	2434.5	5329.3	2895.31	6607.01	8247.98	2555.58	11584.24	10154.69	3982.99	2956.17	2997.45	2682.69	2319.15	2855.44	1950.0	2520.38	1832.01	2895.31	3443.31	2997.45	2855.44	3443.31	1286.18	1936.53
RAD21	738.29	6207.38	6164.49	5329.3	1685.71	6792.79	5366.37	1322.37	21617.82	3303.0	7911.95	2796.65	6207.38	2701.35	1709.26	3257.52	12764.83	4937.99	6207.38	2520.38	5872.48	1417.35	9945.68	1104.13	3742.05	11189.6	1268.46	2104.58	2609.3	2367.9	1923.14	1617.0	2777.33	4903.87	2163.77	3982.99	1977.24	6079.61	13215.02	1685.71	6652.97	13776.25	2664.15	4512.4	2758.13	2319.15	2720.15	1721.16	1923.14	1909.85	1561.89	1721.16	1628.26	4095.0	2319.15	4937.99	1081.39	1111.82
RAD54B	61.25	153.34	363.56	107.38	67.12	105.89	100.83	53.95	267.73	169.07	368.65	138.1	153.34	68.55	50.27	56.68	144.01	128.79	220.32	99.43	190.34	34.26	339.14	47.5	82.87	351.14	39.79	34.51	65.26	56.28	80.57	50.98	127.0	201.25	46.5	143.01	48.18	182.55	265.87	33.78	329.84	447.82	75.11	36.27	72.52	86.43	102.25	156.59	38.67	60.39	70.01	20.41	71.5	59.13	29.7	109.66	73.03	30.12
RB1CC1	98.04	988.12	1781.89	836.53	414.87	872.1	698.41	387.02	2627.46	738.29	1096.5	571.05	988.12	441.64	323.03	543.96	974.5	974.5	1313.23	420.68	1015.93	412.0	1216.75	228.13	693.58	1088.92	255.0	279.14	518.15	316.37	651.58	325.29	679.29	842.36	320.8	454.09	301.33	1369.04	1407.55	397.93	1733.13	1407.55	348.71	327.56	318.57	426.57	642.59	529.06	571.05	361.04	301.33	231.32	199.85	616.37	397.93	679.29	215.77	231.32
RMDN1	571.05	1936.53	2434.5	1119.56	447.82	2351.53	674.59	629.35	2090.03	909.17	1745.2	934.76	1936.53	743.43	718.08	638.15	1001.93	1369.04	1844.76	1023.0	2004.85	665.29	2119.22	483.38	728.11	1096.5	543.96	713.11	713.11	688.78	753.83	583.07	1295.13	748.61	583.07	748.61	733.19	1991.0	2303.12	587.13	3901.01	1769.57	934.76	571.05	595.34	785.88	1233.75	954.43	1407.55	830.75	1081.39	373.81	381.68	2004.85	830.75	1001.93	514.56	518.15
RNF139	201.25	928.3	2193.99	1081.39	688.78	1733.13	860.08	607.87	1769.57	373.81	1487.87	738.29	928.3	981.29	603.67	860.08	988.12	1233.75	1769.57	830.75	1950.0	595.34	2193.99	351.14	759.08	1628.26	555.41	769.69	693.58	567.1	848.22	463.65	1322.37	1037.29	497.0	595.34	567.1	1909.85	1721.16	395.18	2075.59	1936.53	1242.34	703.28	460.44	733.19	447.82	819.3	624.99	305.55	327.56	514.56	432.53	974.5	830.75	836.53	281.09	295.11
SLC25A32	90.14	432.53	934.76	466.88	226.54	616.37	334.46	323.03	860.08	718.08	988.12	305.55	432.53	281.09	255.0	244.57	366.09	536.45	656.11	334.46	620.67	248.0	571.05	214.27	420.68	836.53	224.97	260.38	229.72	224.97	242.88	205.5	417.77	525.39	228.13	748.61	244.57	1268.46	1044.52	271.48	1250.98	708.18	199.85	159.9	204.07	320.8	320.8	199.85	318.57	277.2	389.72	808.0	476.71	521.76	260.38	486.75	164.42	166.73
SPIDR	387.02	1407.55	1936.53	1467.37	896.64	1242.34	836.53	1023.0	5479.15	1295.13	1259.69	1340.84	1407.55	684.02	802.41	974.5	1651.0	1769.57	2835.7	665.29	2090.03	769.69	1498.22	460.44	1295.13	2075.59	1001.93	753.83	934.76	802.41	988.12	961.07	902.89	1183.45	713.11	836.53	769.69	1359.57	1651.0	785.88	2351.53	3794.3	599.49	785.88	825.0	981.29	848.22	1572.76	693.58	928.3	830.75	529.06	764.36	665.29	633.73	738.29	312.0	392.44
STAU2	215.77	2739.08	2835.7	1277.29	493.56	1781.89	674.59	656.11	3235.01	1427.22	2935.74	1096.5	2739.08	974.5	563.18	587.13	1322.37	1519.15	1781.89	1066.48	1844.76	708.18	3491.39	423.61	981.29	3665.02	457.25	532.74	961.07	674.59	819.3	435.55	693.58	921.88	665.29	954.43	629.35	2335.28	2400.97	981.29	1378.57	3589.58	769.69	567.1	738.29	651.58	1044.52	1081.39	796.86	974.5	954.43	503.95	500.46	1498.22	285.03	1378.57	244.57	178.77
TAF2	130.6	656.11	1151.06	629.35	253.23	638.15	432.53	255.0	753.83	571.05	775.05	387.02	656.11	423.61	244.57	251.48	543.96	543.96	769.69	480.04	813.63	283.05	854.13	241.19	381.68	878.17	197.09	242.88	395.18	318.57	316.37	262.2	368.65	607.87	197.09	587.13	248.0	866.07	928.3	220.32	947.83	1199.98	329.84	173.85	228.13	271.48	197.09	559.28	438.59	373.81	193.01	305.55	115.16	255.0	136.19	529.06	190.34	153.34
TATDN1	248.0	1733.13	3190.46	1208.34	743.43	2271.4	1119.56	624.99	1651.0	934.76	2739.08	866.07	1733.13	836.53	674.59	796.86	1250.98	1806.78	2384.37	612.11	2319.15	796.86	2384.37	351.14	1059.11	1651.0	674.59	629.35	620.67	480.04	1073.91	525.39	1322.37	1870.53	476.71	2255.7	995.0	2004.85	3280.18	575.03	5751.61	2573.36	1088.92	1167.14	624.99	1066.48	785.88	1001.93	1572.76	612.11	638.15	1369.04	2701.35	1832.01	2451.44	1088.92	346.29	312.0
TCEA1	387.02	4419.52	5479.15	2935.74	1167.14	5147.73	1605.83	1322.37	10512.82	2573.36	4869.99	2451.44	4419.52	2224.63	1467.37	1572.76	2758.13	3716.2	4639.29	1832.01	4388.98	1909.85	5751.61	764.36	1721.16	6516.03	1572.76	1832.01	2384.37	1870.53	1769.57	1331.57	2367.9	3491.39	1225.22	2573.36	1447.15	5517.27	6294.04	1159.07	4268.94	4095.0	1883.54	1457.23	1340.84	1745.2	1832.01	1870.53	1844.76	1066.48	909.17	1991.0	1639.59	3690.52	2303.12	2335.28	902.89	836.53
TERF1	221.86	684.02	1467.37	674.59	460.44	947.83	551.56	543.96	1277.29	842.36	1909.85	536.45	684.02	669.92	444.72	476.71	708.18	974.5	890.44	909.17	836.53	460.44	2193.99	256.78	733.19	1119.56	389.72	414.87	555.41	454.09	674.59	373.81	684.02	543.96	420.68	616.37	503.95	1322.37	1674.06	376.41	2240.11	1467.37	473.41	420.68	438.59	532.74	665.29	651.58	571.05	547.75	665.29	525.39	447.82	1044.52	395.18	967.76	189.02	189.02
TGS1	53.57	400.71	616.37	301.33	244.57	351.14	264.03	186.4	1051.79	466.88	688.78	260.38	400.71	256.78	231.32	156.59	275.28	412.0	603.67	314.17	511.0	185.11	497.0	138.1	318.57	551.56	154.42	206.94	329.84	202.66	232.94	189.02	356.05	454.09	189.02	231.32	264.03	358.54	780.44	202.66	934.76	796.86	175.07	148.09	208.38	260.38	244.57	389.72	260.38	271.48	244.57	314.17	236.21	255.0	248.0	283.05	137.14	129.69
TMEM68	88.26	1135.2	1963.57	503.95	226.54	854.13	559.28	285.03	2739.08	540.19	1286.18	860.08	1135.2	334.46	232.94	277.2	616.37	759.08	1073.91	444.72	941.27	325.29	1844.76	180.02	435.55	1685.71	241.19	279.14	358.54	312.0	555.41	283.05	447.82	718.08	206.94	363.56	332.14	1529.73	1467.37	285.03	1594.73	1896.65	417.77	412.0	273.37	389.72	497.0	555.41	480.04	318.57	392.44	281.09	575.03	679.29	460.44	559.28	148.09	130.6
TMEM70	249.73	1023.0	1909.85	1135.2	500.46	2004.85	497.0	507.46	2119.22	1023.0	2061.24	791.35	1023.0	708.18	665.29	674.59	728.11	1331.57	1447.15	547.75	1617.0	607.87	1870.53	403.5	759.08	1721.16	490.14	525.39	476.71	447.82	1059.11	493.56	1111.82	878.17	423.61	860.08	532.74	1819.35	2816.11	616.37	3325.99	1733.13	591.22	607.87	470.14	466.88	555.41	543.96	435.55	441.64	281.09	934.76	896.64	967.76	748.61	842.36	251.48	267.73
TRAPPC9	217.27	718.08	1540.37	518.15	480.04	669.92	429.54	353.59	909.17	426.57	595.34	466.88	718.08	334.46	285.03	480.04	633.73	775.05	1225.22	332.14	819.3	295.11	954.43	273.37	842.36	1030.12	343.89	305.55	395.18	297.17	476.71	414.87	511.0	518.15	211.31	473.41	275.28	438.59	1242.34	301.33	764.36	2148.82	412.0	316.37	392.44	346.29	536.45	387.02	161.02	384.34	412.0	224.97	336.79	115.16	138.1	460.44	157.68	187.71
UBE2V2	356.05	2335.28	5076.84	1745.2	928.3	3212.66	1594.73	808.0	6887.62	3564.78	4123.49	2148.82	2335.28	1617.0	1051.79	902.89	1950.0	2520.38	3639.7	780.44	2555.58	896.64	4152.18	884.29	1685.71	4481.23	988.12	836.53	1199.98	995.0	1487.87	764.36	2591.27	3349.13	941.27	1467.37	981.29	2915.45	4358.66	1023.0	7911.95	4769.75	1135.2	1135.2	1066.48	1119.56	1096.5	981.29	1417.35	934.76	633.73	1605.83	2451.44	2796.65	1628.26	1950.0	684.02	921.88
UBE2W	73.03	688.78	1044.52	684.02	236.21	921.88	607.87	358.54	1388.16	629.35	1331.57	514.56	688.78	441.64	371.22	277.2	603.67	708.18	947.83	559.28	830.75	358.54	1104.13	232.94	665.29	1167.14	249.73	318.57	447.82	318.57	559.28	232.94	518.15	660.68	309.83	457.25	283.05	1594.73	842.36	432.53	1015.93	1111.82	384.34	327.56	269.6	371.22	559.28	423.61	314.17	371.22	275.28	444.72	251.48	825.0	201.25	529.06	211.31	194.36
UBR5	579.04	3372.43	3168.41	2758.13	1216.75	2537.92	2384.37	2485.67	6037.61	1685.71	3716.2	1651.0	3372.43	1583.71	1216.75	1322.37	2193.99	3443.31	4010.71	1457.23	3564.78	1487.87	3491.39	708.18	1721.16	1819.35	1457.23	1286.18	1745.2	1388.16	2163.77	1397.83	2502.97	1685.71	947.83	1628.26	1487.87	3212.66	2720.15	947.83	4358.66	3280.18	1651.0	1268.46	1572.76	1359.57	2451.44	1870.53	1819.35	2133.97	1286.18	988.12	583.07	2627.46	947.83	1844.76	532.74	785.88
UBXN2B	48.18	547.75	1674.06	669.92	363.56	559.28	429.54	373.81	1733.13	511.0	1023.0	361.04	547.75	486.75	353.59	381.68	571.05	693.58	872.1	361.04	728.11	262.2	1119.56	161.02	543.96	1167.14	269.6	283.05	514.56	312.0	470.14	312.0	579.04	483.38	348.71	460.44	389.72	1119.56	995.0	387.02	376.41	1023.0	412.0	269.6	305.55	371.22	454.09	507.46	320.8	341.51	320.8	291.04	309.83	301.33	329.84	536.45	132.44	98.04
UTP23	72.01	728.11	1096.5	490.14	246.28	785.88	480.04	295.11	2609.3	406.31	848.22	441.64	728.11	363.56	256.78	400.71	785.88	563.18	915.51	450.94	656.11	307.69	842.36	202.66	334.46	1081.39	165.57	289.02	371.22	368.65	316.37	260.38	379.04	432.53	267.73	457.25	379.04	947.83	1023.0	265.87	921.88	1529.73	305.55	438.59	346.29	348.71	647.07	366.09	409.15	339.14	476.71	371.22	293.07	532.74	236.21	483.38	96.01	102.25
VCPIP1	40.36	363.56	441.64	540.19	115.16	384.34	182.55	119.26	486.75	239.52	432.53	201.25	363.56	164.42	164.42	96.68	269.6	297.17	423.61	164.42	379.04	95.34	348.71	67.12	193.01	279.14	75.64	152.28	165.57	154.42	163.28	117.6	171.45	204.07	117.6	197.09	111.21	486.75	575.03	135.24	379.04	476.71	110.43	102.97	139.07	131.51	158.79	209.84	163.28	82.87	84.63	74.58	40.64	232.94	90.14	231.32	54.72	63.0
YTHDF3	162.14	738.29	1685.71	995.0	470.14	1175.27	583.07	616.37	2018.8	1519.15	2133.97	728.11	738.29	878.17	612.11	567.1	1008.9	921.88	1151.06	819.3	1151.06	470.14	1259.69	392.44	813.63	1583.71	420.68	547.75	684.02	733.19	638.15	438.59	638.15	743.43	412.0	490.14	493.56	1529.73	1208.34	642.59	1119.56	2148.82	748.61	438.59	435.55	708.18	587.13	813.63	629.35	669.92	387.02	536.45	379.04	1023.0	567.1	1268.46	277.2	299.25
ZFAND1	204.07	1407.55	2555.58	1216.75	603.67	1832.01	1096.5	575.03	2816.11	1388.16	1605.83	785.88	1407.55	1051.79	607.87	785.88	995.0	1127.35	1378.57	796.86	1286.18	591.22	2075.59	432.53	878.17	2119.22	633.73	476.71	679.29	503.95	872.1	454.09	848.22	974.5	490.14	1322.37	902.89	2090.03	2627.46	934.76	2935.74	2682.69	575.03	941.27	470.14	1208.34	1745.2	1447.15	1340.84	1487.87	785.88	884.29	1844.76	2061.24	1119.56	1359.57	356.05	343.89
ZHX1	152.28	563.18	242.88	567.1	295.11	825.0	551.56	571.05	1605.83	571.05	967.76	567.1	563.18	713.11	457.25	532.74	457.25	656.11	656.11	738.29	660.68	490.14	791.35	253.23	642.59	1143.1	351.14	457.25	567.1	483.38	651.58	305.55	423.61	947.83	314.17	688.78	412.0	1111.82	860.08	460.44	1208.34	660.68	583.07	358.54	387.02	507.46	579.04	854.13	723.08	540.19	395.18	521.76	376.41	1508.65	575.03	1044.52	150.17	260.38
ZNF16	111.99	563.18	420.68	332.14	190.34	412.0	289.02	155.5	486.75	169.07	316.37	177.53	563.18	208.38	218.79	180.02	234.57	397.93	493.56	253.23	454.09	185.11	665.29	127.89	283.05	221.86	165.57	176.29	218.79	158.79	205.5	205.5	239.52	223.41	134.3	273.37	256.78	293.07	450.94	145.02	995.0	476.71	153.34	190.34	167.9	258.57	171.45	267.73	178.77	209.84	281.09	157.68	264.03	195.72	371.22	249.73	71.5	105.89
ZNF250	172.65	392.44	728.11	289.02	150.17	220.32	202.66	132.44	409.15	145.02	339.14	255.0	392.44	159.9	157.68	117.6	242.88	463.65	551.56	185.11	575.03	133.36	483.38	127.0	267.73	279.14	141.02	131.51	185.11	124.37	138.1	218.79	211.31	262.2	129.69	223.41	258.57	256.78	470.14	120.1	1051.79	669.92	91.41	86.43	182.55	251.48	277.2	353.59	309.83	332.14	281.09	149.12	246.28	217.27	170.25	204.07	60.82	69.52
ZNF251	198.47	1242.34	693.58	412.0	289.02	429.54	460.44	403.5	651.58	248.0	503.95	260.38	1242.34	251.48	170.25	301.33	579.04	612.11	896.64	237.86	836.53	165.57	1127.35	175.07	476.71	500.46	260.38	142.01	348.71	199.85	133.36	332.14	373.81	547.75	215.77	450.94	244.57	500.46	733.19	121.79	947.83	848.22	115.97	309.83	361.04	279.14	299.25	463.65	343.89	429.54	473.41	126.12	143.01	214.27	231.32	258.57	64.34	77.79
ZNF34	80.57	287.01	241.19	171.45	108.14	217.27	89.51	88.88	275.28	111.99	165.57	135.24	287.01	114.36	106.63	70.01	155.5	301.33	348.71	88.88	301.33	100.13	339.14	58.71	193.01	249.73	137.14	94.01	102.25	88.88	94.67	100.13	171.45	126.12	92.7	97.36	138.1	151.22	320.8	70.51	603.67	249.73	52.08	149.12	116.78	158.79	112.77	130.6	84.04	190.34	215.77	162.14	185.11	157.68	124.37	148.09	44.57	38.12
ZNF623	88.88	543.96	1023.0	490.14	205.5	447.82	358.54	253.23	743.43	351.14	693.58	412.0	543.96	287.01	248.0	295.11	753.83	423.61	748.61	336.79	684.02	190.34	579.04	177.53	426.57	743.43	101.54	206.94	273.37	260.38	229.72	241.19	299.25	497.0	150.17	301.33	241.19	507.46	450.94	181.28	928.3	1378.57	234.57	125.24	204.07	264.03	301.33	426.57	320.8	226.54	211.31	209.84	182.55	275.28	88.26	256.78	78.34	108.9
ZNF7	289.02	1104.13	1359.57	674.59	525.39	785.88	651.58	470.14	1268.46	400.71	866.07	567.1	1104.13	426.57	423.61	460.44	703.28	954.43	1167.14	400.71	1104.13	336.79	1199.98	277.2	753.83	669.92	486.75	316.37	417.77	358.54	480.04	500.46	587.13	532.74	327.56	607.87	417.77	629.35	967.76	295.11	2090.03	1322.37	209.84	368.65	460.44	476.71	379.04	514.56	679.29	341.51	583.07	466.88	249.73	599.49	638.15	447.82	154.42	214.27
ZNF706	2855.44	7803.01	10585.95	3146.52	2178.83	11424.74	3325.99	2104.58	8022.41	4268.94	6887.62	3639.7	7803.01	2573.36	2758.13	3901.01	3665.02	6887.62	7857.29	3491.39	6079.61	2255.7	13399.51	2032.85	3280.18	9088.59	2287.2	2367.9	2627.46	1757.34	5255.91	1870.53	5479.15	3614.55	2573.36	4481.23	3639.7	7803.01	13492.72	2591.27	20451.65	7966.99	1977.24	4802.93	2915.45	2485.67	3589.58	2303.12	5517.27	2835.7	2796.65	4639.29	5954.47	6207.38	4671.57	3168.41	1447.15	2758.13
