	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A0T1.01A.21R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.E9.A1N4.11A.33R.A14M.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.13QIC.2326.SM.5LU5N	GTEX.T6MO.1426.SM.4DM73	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CN.4742.01A.02R.1514.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07	TCGA.18.3417.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07
ZNF69	96.68	106.63	85.22	139.07	277.2	57.49	165.57	190.34	122.64	140.04	96.68	80.57	109.66	228.13	88.88	197.09	242.88	107.38	115.97	85.22	100.13	144.01	171.45	90.77	82.87	106.63	76.17	175.07	124.37	154.42	295.11	25.17	142.01	140.04	2303.12	4.31	9.48	12.64	15.45	7.57	71.5	17.38	0.0	20.86	3.08
ZNF709	41.22	49.56	35.0	24.63	66.65	20.56	70.51	48.18	40.64	45.85	40.93	29.48	45.85	44.25	29.06	48.87	48.18	26.28	22.1	20.26	39.5	22.92	45.21	27.25	19.25	42.71	33.78	78.89	84.63	100.83	105.89	39.5	55.49	69.52	107.38	2.68	7.63	3.79	4.39	10.88	3.26	11.3	0.0	2.03	6.84
ZNF75D	169.07	218.79	137.14	73.54	198.47	74.58	258.57	190.34	154.42	163.28	152.28	127.0	182.55	187.71	80.57	172.65	332.14	94.67	71.0	182.55	143.01	70.01	172.65	106.63	62.56	102.97	110.43	232.94	264.03	299.25	332.14	123.5	191.67	187.71	299.25	48.87	26.86	42.11	49.56	55.1	38.12	71.5	0.0	38.12	27.84
ZNF763	92.05	98.04	43.32	85.22	151.22	22.92	155.5	121.79	115.97	135.24	49.56	81.14	118.43	142.01	94.67	152.28	79.45	62.56	78.34	79.45	81.14	100.13	120.94	62.56	32.59	72.01	63.89	176.29	185.11	212.78	202.66	53.19	262.2	115.16	152.28	10.63	3.32	12.45	8.38	12.74	15.0	7.11	0.0	7.69	5.28
ZNF782	52.82	68.55	50.63	31.0	69.03	23.76	84.04	87.03	63.45	75.64	44.25	55.89	66.18	63.45	23.42	94.67	102.25	42.11	20.26	57.89	66.65	56.28	75.11	54.33	22.59	38.67	19.68	102.25	130.6	112.77	92.7	46.84	90.14	71.5	42.11	11.55	3.72	23.42	15.91	16.15	11.21	18.56	0.0	3.32	9.93
ZNF791	169.07	348.71	258.57	175.07	325.29	190.34	325.29	275.28	287.01	299.25	236.21	269.6	218.79	293.07	166.73	262.2	309.83	209.84	142.01	251.48	316.37	144.01	220.32	279.14	173.85	293.07	206.94	343.89	500.46	595.34	379.04	190.34	332.14	384.34	223.41	73.03	92.05	84.04	102.25	140.04	37.59	88.88	197.09	88.26	99.43
ZNF799	140.04	105.15	96.01	102.25	142.01	53.19	166.73	167.9	96.68	183.82	62.56	105.89	144.01	144.01	56.68	187.71	147.06	102.25	79.45	60.39	161.02	89.51	120.1	81.14	74.06	118.43	80.01	162.14	198.47	187.71	381.68	178.77	142.01	142.01	297.17	8.0	26.67	11.3	21.01	17.13	37.05	22.1	0.0	21.47	7.82
ZNF823	237.86	190.34	86.43	136.19	201.25	90.77	314.17	265.87	182.55	366.09	111.21	111.99	255.0	183.82	126.12	265.87	156.59	118.43	148.09	63.89	142.01	120.94	102.25	84.04	88.26	110.43	75.64	253.23	297.17	559.28	303.44	99.43	260.38	177.53	100.13	52.08	63.89	38.12	52.82	43.63	39.79	31.0	0.0	23.76	36.01
ZNF84	281.09	435.55	392.44	163.28	392.44	312.0	647.07	669.92	267.73	412.0	251.48	334.46	403.5	571.05	155.5	483.38	540.19	273.37	251.48	246.28	387.02	199.85	341.51	231.32	217.27	356.05	205.5	669.92	684.02	830.75	718.08	423.61	486.75	476.71	417.77	52.82	97.36	105.89	88.26	69.03	38.95	69.52	0.0	136.19	80.57
ZNF844	148.09	105.15	152.28	110.43	234.57	56.68	323.03	217.27	287.01	217.27	124.37	226.54	166.73	195.72	113.56	323.03	255.0	99.43	80.01	186.4	191.67	99.43	166.73	113.56	45.85	172.65	108.9	320.8	389.72	633.73	346.29	129.69	297.17	353.59	48.18	4.54	7.69	10.0	9.78	7.75	5.59	9.27	61.68	12.0	1.6
